context: D- dammit! You say the other two Saiyans are even stronger!? response:	W- what's going on here?
context: And here I've been training seriously, developing something new.\What are you two whispering about?\Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve?\Yeah.\Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time response:	in order to build up enough Ki.
context: What are you two whispering about?\Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve?\Yeah.\Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki. response:	While I'm doing that, you fight him by yourself, and draw his attention.
context: Whatever strategy you devise, it won't work!\It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve?\Yeah.\Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention. response:	Got it! Will this technique work against him?
context: It'd be easier on you if you'd just keel over right away.\Are you for real? You've got yourself a new technique up your sleeve?\Yeah.\Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him? response:	Probably. If this doesn't work, then there's no other way to defeat him.
context: Are you for real? You've got yourself a new technique up your sleeve?\Yeah.\Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him. response:	I was saving this in order to kill you.
context: Yeah.\Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you. response:	And instead, you might end up saving me with it, huh?
context: Can you do it with only one arm?\Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you.\And instead, you might end up saving me with it, huh? response:	If I am able to defeat him with this, then your turn is next.
context: Yeah, that part's okay. But this technique takes quite a bit of time\in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you.\And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next. response:	Is that right?
context: in order to build up enough Ki.\While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you.\And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next.\Is that right? response:	This is no time to be laughing, you know.
context: While I'm doing that, you fight him by yourself, and draw his attention.\Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you.\And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next.\Is that right?\This is no time to be laughing, you know. response:	They're laughing... So they're changing their posture, are they?
context: Got it! Will this technique work against him?\Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you.\And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next.\Is that right?\This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they? response:	All right, I'm looking forward to this!
context: Probably. If this doesn't work, then there's no other way to defeat him.\I was saving this in order to kill you.\And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next.\Is that right?\This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this! response:	Now then, let's see about keeping him in check!
context: I was saving this in order to kill you.\And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next.\Is that right?\This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this!\Now then, let's see about keeping him in check! response:	Hang in there as best you can!
context: And instead, you might end up saving me with it, huh?\If I am able to defeat him with this, then your turn is next.\Is that right?\This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this!\Now then, let's see about keeping him in check!\Hang in there as best you can! response:	Makankosappo!!
context: If I am able to defeat him with this, then your turn is next.\Is that right?\This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this!\Now then, let's see about keeping him in check!\Hang in there as best you can!\Makankosappo!! response:	So, you've finally resigned yourself?
context: Is that right?\This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this!\Now then, let's see about keeping him in check!\Hang in there as best you can!\Makankosappo!!\So, you've finally resigned yourself? response:	You're a persistent one!
context: This is no time to be laughing, you know.\They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this!\Now then, let's see about keeping him in check!\Hang in there as best you can!\Makankosappo!!\So, you've finally resigned yourself?\You're a persistent one! response:	Ka...
context: They're laughing... So they're changing their posture, are they?\All right, I'm looking forward to this!\Now then, let's see about keeping him in check!\Hang in there as best you can!\Makankosappo!!\So, you've finally resigned yourself?\You're a persistent one!\Ka... response:	me...
context: All right, I'm looking forward to this!\Now then, let's see about keeping him in check!\Hang in there as best you can!\Makankosappo!!\So, you've finally resigned yourself?\You're a persistent one!\Ka...\me... response:	I- impossible!
context: Now then, let's see about keeping him in check!\Hang in there as best you can!\Makankosappo!!\So, you've finally resigned yourself?\You're a persistent one!\Ka...\me...\I- impossible! response:	His battle power is rising! Battle power 924... 925!
context: Hang in there as best you can!\Makankosappo!!\So, you've finally resigned yourself?\You're a persistent one!\Ka...\me...\I- impossible!\His battle power is rising! Battle power 924... 925! response:	ha...
context: Makankosappo!!\So, you've finally resigned yourself?\You're a persistent one!\Ka...\me...\I- impossible!\His battle power is rising! Battle power 924... 925!\ha... response:	He's able to concentrate his battle power into one point and raise it up!?
context: So, you've finally resigned yourself?\You're a persistent one!\Ka...\me...\I- impossible!\His battle power is rising! Battle power 924... 925!\ha...\He's able to concentrate his battle power into one point and raise it up!? response:	me...
context: You're a persistent one!\Ka...\me...\I- impossible!\His battle power is rising! Battle power 924... 925!\ha...\He's able to concentrate his battle power into one point and raise it up!?\me... response:	T- this one's battle power is now 1020! U- unbelievable!
context: Ka...\me...\I- impossible!\His battle power is rising! Battle power 924... 925!\ha...\He's able to concentrate his battle power into one point and raise it up!?\me...\T- this one's battle power is now 1020! U- unbelievable! response:	It's still going up!
context: me...\I- impossible!\His battle power is rising! Battle power 924... 925!\ha...\He's able to concentrate his battle power into one point and raise it up!?\me...\T- this one's battle power is now 1020! U- unbelievable!\It's still going up! response:	HA!!
context: I- impossible!\His battle power is rising! Battle power 924... 925!\ha...\He's able to concentrate his battle power into one point and raise it up!?\me...\T- this one's battle power is now 1020! U- unbelievable!\It's still going up!\HA!! response:	You've got a lot of nerve!
context: His battle power is rising! Battle power 924... 925!\ha...\He's able to concentrate his battle power into one point and raise it up!?\me...\T- this one's battle power is now 1020! U- unbelievable!\It's still going up!\HA!!\You've got a lot of nerve! response:	He caught it!
context: ha...\He's able to concentrate his battle power into one point and raise it up!?\me...\T- this one's battle power is now 1020! U- unbelievable!\It's still going up!\HA!!\You've got a lot of nerve!\He caught it! response:	W- what kind of guy is this?
context: He's able to concentrate his battle power into one point and raise it up!?\me...\T- this one's battle power is now 1020! U- unbelievable!\It's still going up!\HA!!\You've got a lot of nerve!\He caught it!\W- what kind of guy is this? response:	This time, I'll present you with one!
context: me...\T- this one's battle power is now 1020! U- unbelievable!\It's still going up!\HA!!\You've got a lot of nerve!\He caught it!\W- what kind of guy is this?\This time, I'll present you with one! response:	Die!
context: T- this one's battle power is now 1020! U- unbelievable!\It's still going up!\HA!!\You've got a lot of nerve!\He caught it!\W- what kind of guy is this?\This time, I'll present you with one!\Die! response:	You're going to be the one who dies!
context: It's still going up!\HA!!\You've got a lot of nerve!\He caught it!\W- what kind of guy is this?\This time, I'll present you with one!\Die!\You're going to be the one who dies! response:	Battle power 1330!?
context: HA!!\You've got a lot of nerve!\He caught it!\W- what kind of guy is this?\This time, I'll present you with one!\Die!\You're going to be the one who dies!\Battle power 1330!? response:	A- all of his battle power is gathered into just his fingertip!
context: You've got a lot of nerve!\He caught it!\W- what kind of guy is this?\This time, I'll present you with one!\Die!\You're going to be the one who dies!\Battle power 1330!?\A- all of his battle power is gathered into just his fingertip! response:	Dammit! These guys can manipulate their powers at will!
context: He caught it!\W- what kind of guy is this?\This time, I'll present you with one!\Die!\You're going to be the one who dies!\Battle power 1330!?\A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will! response:	Try taking this on! Makankosappo!!
context: W- what kind of guy is this?\This time, I'll present you with one!\Die!\You're going to be the one who dies!\Battle power 1330!?\A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!! response:	H- he avoided it! W- what kind of bastard is he, with such speed?
context: This time, I'll present you with one!\Die!\You're going to be the one who dies!\Battle power 1330!?\A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed? response:	You pierced through this armor quite easily.
context: Die!\You're going to be the one who dies!\Battle power 1330!?\A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily. response:	That's quite a technique.
context: You're going to be the one who dies!\Battle power 1330!?\A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily.\That's quite a technique. response:	If I had taken that head-on, I would have been out!
context: Battle power 1330!?\A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily.\That's quite a technique.\If I had taken that head-on, I would have been out! response:	That doesn't mean anything if I don't hit you!
context: A- all of his battle power is gathered into just his fingertip!\Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily.\That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you! response:	To think that you would inflict injury upon me!
context: Dammit! These guys can manipulate their powers at will!\Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily.\That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me! response:	You're going to pay for this! I'm through playing around!
context: Try taking this on! Makankosappo!!\H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily.\That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around! response:	W- we've had it now!
context: H- he avoided it! W- what kind of bastard is he, with such speed?\You pierced through this armor quite easily.\That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\W- we've had it now! response:	I'll obliterate you in an instant!
context: You pierced through this armor quite easily.\That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\W- we've had it now!\I'll obliterate you in an instant! response:	Rot in hell!!
context: That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\W- we've had it now!\I'll obliterate you in an instant!\Rot in hell!! response:	You got careless, didn't you!?
context: If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\W- we've had it now!\I'll obliterate you in an instant!\Rot in hell!!\You got careless, didn't you!? response:	I've got your tail!
context: That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\W- we've had it now!\I'll obliterate you in an instant!\Rot in hell!!\You got careless, didn't you!?\I've got your tail! response:	Why, you... when did you get behind me!?
context: To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\W- we've had it now!\I'll obliterate you in an instant!\Rot in hell!!\You got careless, didn't you!?\I've got your tail!\Why, you... when did you get behind me!? response:	Piccolo! Now! Do that thing one more time!
context: You're going to pay for this! I'm through playing around!\W- we've had it now!\I'll obliterate you in an instant!\Rot in hell!!\You got careless, didn't you!?\I've got your tail!\Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time! response:	Y- you got it!
context: W- we've had it now!\I'll obliterate you in an instant!\Rot in hell!!\You got careless, didn't you!?\I've got your tail!\Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time!\Y- you got it! response:	Nicely done, Goku! Keep a firm grip on that tail!
context: I'll obliterate you in an instant!\Rot in hell!!\You got careless, didn't you!?\I've got your tail!\Why, you... when did you get behind me!?\Piccolo! Now! Do that thing one more time!\Y- you got it!\Nicely done, Goku! Keep a firm grip on that tail! response:	I'm limited to only being able to use this technique one more time.
