context: Ladies and gentlemen, good evening. response:	At Luna's Carnival, I encountered an immature soul.
context: But this is terrible! This is Luna!\Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa?\He's an up-and-coming bandit!\They say that he drags his victims into the catacombs,\How horrible! response:	Surely the police won't stand by and do nothing.
context: Strolling around alone at night is tantamount to suicide!\Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa?\He's an up-and-coming bandit!\They say that he drags his victims into the catacombs,\How horrible!\Surely the police won't stand by and do nothing. response:	You don't know?
context: Surely you're exaggerating...\It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa?\He's an up-and-coming bandit!\They say that he drags his victims into the catacombs,\How horrible!\Surely the police won't stand by and do nothing.\You don't know? response:	The police on Luna arrange their patrols to avoid the bandits.
context: It's no laughing matter. You'll get kidnapped by Luigi Vampa!\Luigi Vampa?\He's an up-and-coming bandit!\They say that he drags his victims into the catacombs,\How horrible!\Surely the police won't stand by and do nothing.\You don't know?\The police on Luna arrange their patrols to avoid the bandits. response:	My very own cousin was robbed blind, had his arms and legs broken,
context: Luigi Vampa?\He's an up-and-coming bandit!\They say that he drags his victims into the catacombs,\How horrible!\Surely the police won't stand by and do nothing.\You don't know?\The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken, response:	All because he spoke to the bandit's mistress!
context: He's an up-and-coming bandit!\They say that he drags his victims into the catacombs,\How horrible!\Surely the police won't stand by and do nothing.\You don't know?\The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress! response:	I'm sure he's fine. I bet that he's back at your hotel at this very moment.
context: They say that he drags his victims into the catacombs,\How horrible!\Surely the police won't stand by and do nothing.\You don't know?\The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment. response:	Would you care to dance?
context: How horrible!\Surely the police won't stand by and do nothing.\You don't know?\The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance? response:	I simply despise when a party ends.
context: Surely the police won't stand by and do nothing.\You don't know?\The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance?\I simply despise when a party ends. response:	First one guest leaves, then two. Especially at this hour.
context: You don't know?\The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance?\I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour. response:	You won't abandon me, will you?
context: The police on Luna arrange their patrols to avoid the bandits.\My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance?\I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you? response:	Take him away.
context: My very own cousin was robbed blind, had his arms and legs broken,\All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance?\I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you?\Take him away. response:	You can't! It's mean! Today is my birthday!
context: All because he spoke to the bandit's mistress!\I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance?\I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you?\Take him away.\You can't! It's mean! Today is my birthday! response:	I'm sorry, Franz. I have to go.
context: I'm sure he's fine. I bet that he's back at your hotel at this very moment.\Would you care to dance?\I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you?\Take him away.\You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go. response:	No, no, no!
context: Would you care to dance?\I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you?\Take him away.\You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go.\No, no, no! response:	Your father is leaving to see to some very important business.
context: I simply despise when a party ends.\First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you?\Take him away.\You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go.\No, no, no!\Your father is leaving to see to some very important business. response:	Fine, see if I care! I hope you never come back!
context: First one guest leaves, then two. Especially at this hour.\You won't abandon me, will you?\Take him away.\You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go.\No, no, no!\Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back! response:	Father...
context: You won't abandon me, will you?\Take him away.\You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go.\No, no, no!\Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back!\Father... response:	Oh, I'm sorry. Did I keep you waiting long?
context: Take him away.\You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go.\No, no, no!\Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back!\Father...\Oh, I'm sorry. Did I keep you waiting long? response:	Are you Baron Franz d'Epinay?
context: You can't! It's mean! Today is my birthday!\I'm sorry, Franz. I have to go.\No, no, no!\Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back!\Father...\Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay? response:	Hey, you're that...
context: I'm sorry, Franz. I have to go.\No, no, no!\Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back!\Father...\Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay?\Hey, you're that... response:	I'm sick of your whining!
context: No, no, no!\Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back!\Father...\Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay?\Hey, you're that...\I'm sick of your whining! response:	As for me, I killed ten people!
context: Your father is leaving to see to some very important business.\Fine, see if I care! I hope you never come back!\Father...\Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay?\Hey, you're that...\I'm sick of your whining!\As for me, I killed ten people! response:	This is for you.
context: Fine, see if I care! I hope you never come back!\Father...\Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay?\Hey, you're that...\I'm sick of your whining!\As for me, I killed ten people!\This is for you. response:	My Lord Baron Franz d'Epinay.
context: Father...\Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay?\Hey, you're that...\I'm sick of your whining!\As for me, I killed ten people!\This is for you.\My Lord Baron Franz d'Epinay. response:	I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.
context: Oh, I'm sorry. Did I keep you waiting long?\Are you Baron Franz d'Epinay?\Hey, you're that...\I'm sick of your whining!\As for me, I killed ten people!\This is for you.\My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf. response:	Hand over the sum of 50 million ducats to my messenger immediately.
context: Are you Baron Franz d'Epinay?\Hey, you're that...\I'm sick of your whining!\As for me, I killed ten people!\This is for you.\My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately. response:	If the messenger should not return by sunrise,
context: Hey, you're that...\I'm sick of your whining!\As for me, I killed ten people!\This is for you.\My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise, response:	Where is Albert?!
context: I'm sick of your whining!\As for me, I killed ten people!\This is for you.\My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise,\Where is Albert?! response:	He's a valuable hostage, so we're taking real good care of him.
context: As for me, I killed ten people!\This is for you.\My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise,\Where is Albert?!\He's a valuable hostage, so we're taking real good care of him. response:	If the money is handed over, he'll be sent home without so much as a scratch.
context: This is for you.\My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise,\Where is Albert?!\He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch. response:	You should have died! Is this how you people do things?
context: My Lord Baron Franz d'Epinay.\I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise,\Where is Albert?!\He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things? response:	Even I have a certain lifestyle to maintain.
context: I, Luigi Vampa, have taken custody of your friend, the Viscount Albert Morcerf.\Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise,\Where is Albert?!\He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain. response:	50 million is absurd!
context: Hand over the sum of 50 million ducats to my messenger immediately.\If the messenger should not return by sunrise,\Where is Albert?!\He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain.\50 million is absurd! response:	I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.
context: If the messenger should not return by sunrise,\Where is Albert?!\He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain.\50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum. response:	Dawn comes fast on Luna.
context: Where is Albert?!\He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain.\50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna. response:	If you value your friend's life,
context: He's a valuable hostage, so we're taking real good care of him.\If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain.\50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna.\If you value your friend's life, response:	I want to make an immediate withdrawal from the Bank of Paris!
context: If the money is handed over, he'll be sent home without so much as a scratch.\You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain.\50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna.\If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris! response:	I'm terribly sorry, sir,
context: You should have died! Is this how you people do things?\Even I have a certain lifestyle to maintain.\50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna.\If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir, response:	Isn't there anything you can do?!
context: Even I have a certain lifestyle to maintain.\50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna.\If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir,\Isn't there anything you can do?! response:	How much does sir require?
context: 50 million is absurd!\I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna.\If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir,\Isn't there anything you can do?!\How much does sir require? response:	Albert... Damn!
context: I'm sure that a Parisian aristocrat won't be hard pressed to come up with such a sum.\Dawn comes fast on Luna.\If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir,\Isn't there anything you can do?!\How much does sir require?\Albert... Damn! response:	Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.
context: Dawn comes fast on Luna.\If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir,\Isn't there anything you can do?!\How much does sir require?\Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival. response:	If you want, I know a fine girl who...
context: If you value your friend's life,\I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir,\Isn't there anything you can do?!\How much does sir require?\Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who... response:	Please, just be quiet and drive.
context: I want to make an immediate withdrawal from the Bank of Paris!\I'm terribly sorry, sir,\Isn't there anything you can do?!\How much does sir require?\Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who...\Please, just be quiet and drive. response:	It was at my father's funeral that I first met Albert...
context: I'm terribly sorry, sir,\Isn't there anything you can do?!\How much does sir require?\Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who...\Please, just be quiet and drive.\It was at my father's funeral that I first met Albert... response:	Don't cry.
context: Isn't there anything you can do?!\How much does sir require?\Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who...\Please, just be quiet and drive.\It was at my father's funeral that I first met Albert...\Don't cry. response:	I'm not crying...
context: How much does sir require?\Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who...\Please, just be quiet and drive.\It was at my father's funeral that I first met Albert...\Don't cry.\I'm not crying... response:	I'll play with you, so cheer up.
context: Albert... Damn!\Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who...\Please, just be quiet and drive.\It was at my father's funeral that I first met Albert...\Don't cry.\I'm not crying...\I'll play with you, so cheer up. response:	Leave me alone! Get lost!
context: Say, son, it's awfully sad to see a young fella like yourself all alone on the last night of Carnival.\If you want, I know a fine girl who...\Please, just be quiet and drive.\It was at my father's funeral that I first met Albert...\Don't cry.\I'm not crying...\I'll play with you, so cheer up.\Leave me alone! Get lost! response:	Hey...
context: If you want, I know a fine girl who...\Please, just be quiet and drive.\It was at my father's funeral that I first met Albert...\Don't cry.\I'm not crying...\I'll play with you, so cheer up.\Leave me alone! Get lost!\Hey... response:	Ever since that day, Albert and I have been inseparable.
context: Please, just be quiet and drive.\It was at my father's funeral that I first met Albert...\Don't cry.\I'm not crying...\I'll play with you, so cheer up.\Leave me alone! Get lost!\Hey...\Ever since that day, Albert and I have been inseparable. response:	Damn! What am I going to do?
context: It was at my father's funeral that I first met Albert...\Don't cry.\I'm not crying...\I'll play with you, so cheer up.\Leave me alone! Get lost!\Hey...\Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do? response:	It's almost sunrise!
context: Don't cry.\I'm not crying...\I'll play with you, so cheer up.\Leave me alone! Get lost!\Hey...\Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do?\It's almost sunrise! response:	Have you raised the money yet?
context: I'm not crying...\I'll play with you, so cheer up.\Leave me alone! Get lost!\Hey...\Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do?\It's almost sunrise!\Have you raised the money yet? response:	Give me more time!
context: I'll play with you, so cheer up.\Leave me alone! Get lost!\Hey...\Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do?\It's almost sunrise!\Have you raised the money yet?\Give me more time! response:	Once it's morning, I'll have the money transferred from Paris!
context: Leave me alone! Get lost!\Hey...\Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do?\It's almost sunrise!\Have you raised the money yet?\Give me more time!\Once it's morning, I'll have the money transferred from Paris! response:	I'm sorry, Luigi is a stickler for punctuality.
context: Hey...\Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do?\It's almost sunrise!\Have you raised the money yet?\Give me more time!\Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality. response:	If you don't have the money ready by sunrise, your friend is a goner.
context: Ever since that day, Albert and I have been inseparable.\Damn! What am I going to do?\It's almost sunrise!\Have you raised the money yet?\Give me more time!\Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner. response:	Stop messing with me!
context: Damn! What am I going to do?\It's almost sunrise!\Have you raised the money yet?\Give me more time!\Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me! response:	I suggest that you hurry.
context: It's almost sunrise!\Have you raised the money yet?\Give me more time!\Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me!\I suggest that you hurry. response:	I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.
context: Have you raised the money yet?\Give me more time!\Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me!\I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron. response:	You bastard!
context: Give me more time!\Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me!\I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard! response:	Violence is unseemly, My Lord Baron.
context: Once it's morning, I'll have the money transferred from Paris!\I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me!\I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard!\Violence is unseemly, My Lord Baron. response:	Damn it!
context: I'm sorry, Luigi is a stickler for punctuality.\If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me!\I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard!\Violence is unseemly, My Lord Baron.\Damn it! response:	Yeah, that's better. A gentleman has to worry about little things like discretion.
context: If you don't have the money ready by sunrise, your friend is a goner.\Stop messing with me!\I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard!\Violence is unseemly, My Lord Baron.\Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion. response:	There is no more fascinating spectacle than a man's death.
context: Stop messing with me!\I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard!\Violence is unseemly, My Lord Baron.\Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death. response:	Yes, it almost feels as if one has become God, does it not?
context: I suggest that you hurry.\I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard!\Violence is unseemly, My Lord Baron.\Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not? response:	His Excellency, the Baron d'Epinay.
context: I'm sure that you don't want to see your friend die a horrible death, My Lord Baron.\You bastard!\Violence is unseemly, My Lord Baron.\Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay. response:	I'm sorry to disturb you at such an hour...
context: You bastard!\Violence is unseemly, My Lord Baron.\Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour... response:	Is something the matter? You do not seem entirely well.
context: Violence is unseemly, My Lord Baron.\Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well. response:	Count! I have a favor to ask of you!
context: Damn it!\Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you! response:	What's the big idea?!
context: Yeah, that's better. A gentleman has to worry about little things like discretion.\There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you!\What's the big idea?! response:	There is your 50 million ducats.
context: There is no more fascinating spectacle than a man's death.\Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you!\What's the big idea?!\There is your 50 million ducats. response:	Now, you will take us to the hostage.
context: Yes, it almost feels as if one has become God, does it not?\His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you!\What's the big idea?!\There is your 50 million ducats.\Now, you will take us to the hostage. response:	To the Colosseum!
context: His Excellency, the Baron d'Epinay.\I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you!\What's the big idea?!\There is your 50 million ducats.\Now, you will take us to the hostage.\To the Colosseum! response:	Have the two of you been friends for a long time?
context: I'm sorry to disturb you at such an hour...\Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you!\What's the big idea?!\There is your 50 million ducats.\Now, you will take us to the hostage.\To the Colosseum!\Have the two of you been friends for a long time? response:	Yes, we've been best friends since we were children.
context: Is something the matter? You do not seem entirely well.\Count! I have a favor to ask of you!\What's the big idea?!\There is your 50 million ducats.\Now, you will take us to the hostage.\To the Colosseum!\Have the two of you been friends for a long time?\Yes, we've been best friends since we were children. response:	Ah, so you are childhood friends.
