context: I hear they're back. response:	What are you talking about?
context: and begin walking upon a new path...\Only then may we purge our sins...\This is tiring...\What can you do?\The archbishop himself invited us.\Yeah, but what about everybody else?\As if they'd come to a ceremony like this?\We Legionnaires... response:	In any case, the crisis is over.
context: Only then may we purge our sins...\This is tiring...\What can you do?\The archbishop himself invited us.\Yeah, but what about everybody else?\As if they'd come to a ceremony like this?\We Legionnaires...\In any case, the crisis is over. response:	Raise your heads.
context: This is tiring...\What can you do?\The archbishop himself invited us.\Yeah, but what about everybody else?\As if they'd come to a ceremony like this?\We Legionnaires...\In any case, the crisis is over.\Raise your heads. response:	We fought, but let that be water under the bridge.
context: What can you do?\The archbishop himself invited us.\Yeah, but what about everybody else?\As if they'd come to a ceremony like this?\We Legionnaires...\In any case, the crisis is over.\Raise your heads.\We fought, but let that be water under the bridge. response:	Let's start afresh.
context: The archbishop himself invited us.\Yeah, but what about everybody else?\As if they'd come to a ceremony like this?\We Legionnaires...\In any case, the crisis is over.\Raise your heads.\We fought, but let that be water under the bridge.\Let's start afresh. response:	My gratitude knows no bounds.
context: Yeah, but what about everybody else?\As if they'd come to a ceremony like this?\We Legionnaires...\In any case, the crisis is over.\Raise your heads.\We fought, but let that be water under the bridge.\Let's start afresh.\My gratitude knows no bounds. response:	And so...
context: As if they'd come to a ceremony like this?\We Legionnaires...\In any case, the crisis is over.\Raise your heads.\We fought, but let that be water under the bridge.\Let's start afresh.\My gratitude knows no bounds.\And so... response:	Sabertooth!
context: We Legionnaires...\In any case, the crisis is over.\Raise your heads.\We fought, but let that be water under the bridge.\Let's start afresh.\My gratitude knows no bounds.\And so...\Sabertooth! response:	The battle over the Infinity Clock was over
context: In any case, the crisis is over.\Raise your heads.\We fought, but let that be water under the bridge.\Let's start afresh.\My gratitude knows no bounds.\And so...\Sabertooth!\The battle over the Infinity Clock was over response:	and the escaped members of Oracion Seis
context: Raise your heads.\We fought, but let that be water under the bridge.\Let's start afresh.\My gratitude knows no bounds.\And so...\Sabertooth!\The battle over the Infinity Clock was over\and the escaped members of Oracion Seis response:	had been returned to prison.
context: We fought, but let that be water under the bridge.\Let's start afresh.\My gratitude knows no bounds.\And so...\Sabertooth!\The battle over the Infinity Clock was over\and the escaped members of Oracion Seis\had been returned to prison. response:	Also...
context: Let's start afresh.\My gratitude knows no bounds.\And so...\Sabertooth!\The battle over the Infinity Clock was over\and the escaped members of Oracion Seis\had been returned to prison.\Also... response:	Did you hear?!
context: My gratitude knows no bounds.\And so...\Sabertooth!\The battle over the Infinity Clock was over\and the escaped members of Oracion Seis\had been returned to prison.\Also...\Did you hear?! response:	That puny guild was the cause of all the trouble!
context: And so...\Sabertooth!\The battle over the Infinity Clock was over\and the escaped members of Oracion Seis\had been returned to prison.\Also...\Did you hear?!\That puny guild was the cause of all the trouble! response:	What a total nuisance!
context: Sabertooth!\The battle over the Infinity Clock was over\and the escaped members of Oracion Seis\had been returned to prison.\Also...\Did you hear?!\That puny guild was the cause of all the trouble!\What a total nuisance! response:	I can't even remember the name of that guild...
context: The battle over the Infinity Clock was over\and the escaped members of Oracion Seis\had been returned to prison.\Also...\Did you hear?!\That puny guild was the cause of all the trouble!\What a total nuisance!\I can't even remember the name of that guild... response:	It's Fairy Tail!
context: and the escaped members of Oracion Seis\had been returned to prison.\Also...\Did you hear?!\That puny guild was the cause of all the trouble!\What a total nuisance!\I can't even remember the name of that guild...\It's Fairy Tail! response:	And so, the brave actions of Natsu and the rest notwithstanding,
context: had been returned to prison.\Also...\Did you hear?!\That puny guild was the cause of all the trouble!\What a total nuisance!\I can't even remember the name of that guild...\It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding, response:	the guild's reputation continued to plummet.
context: Also...\Did you hear?!\That puny guild was the cause of all the trouble!\What a total nuisance!\I can't even remember the name of that guild...\It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet. response:	I see. Thank you.
context: Did you hear?!\That puny guild was the cause of all the trouble!\What a total nuisance!\I can't even remember the name of that guild...\It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet.\I see. Thank you. response:	Apparently, Neville's Celestial Spirit Wizards
context: That puny guild was the cause of all the trouble!\What a total nuisance!\I can't even remember the name of that guild...\It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet.\I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards response:	have been awakened from the 100-year sleeping spell.
context: What a total nuisance!\I can't even remember the name of that guild...\It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet.\I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell. response:	However, just as with Katja,
context: I can't even remember the name of that guild...\It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet.\I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell.\However, just as with Katja, response:	all of them have lost their magic power and are no longer Celestial Spirit Wizards.
context: It's Fairy Tail!\And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet.\I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell.\However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards. response:	What is this?!
context: And so, the brave actions of Natsu and the rest notwithstanding,\the guild's reputation continued to plummet.\I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell.\However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?! response:	Just as it says in the report.
context: the guild's reputation continued to plummet.\I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell.\However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?!\Just as it says in the report. response:	They're as they were seven years ago, back home and as boisterous as ever.
context: I see. Thank you.\Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell.\However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?!\Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever. response:	Well, so boisterous that the Chairman is miffed about it.
context: Apparently, Neville's Celestial Spirit Wizards\have been awakened from the 100-year sleeping spell.\However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?!\Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it. response:	You... You knew about this...?
context: have been awakened from the 100-year sleeping spell.\However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?!\Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...? response:	It would have been easy for me to tell you, but...
context: However, just as with Katja,\all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?!\Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...?\It would have been easy for me to tell you, but... response:	No, it's fine.
context: all of them have lost their magic power and are no longer Celestial Spirit Wizards.\What is this?!\Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...?\It would have been easy for me to tell you, but...\No, it's fine. response:	I see...
context: What is this?!\Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...?\It would have been easy for me to tell you, but...\No, it's fine.\I see... response:	They're alive...
context: Just as it says in the report.\They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...?\It would have been easy for me to tell you, but...\No, it's fine.\I see...\They're alive... response:	And now, to celebrate the successful conclusion of the latest crisis,
context: They're as they were seven years ago, back home and as boisterous as ever.\Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...?\It would have been easy for me to tell you, but...\No, it's fine.\I see...\They're alive...\And now, to celebrate the successful conclusion of the latest crisis, response:	an eating contest between Natsu and Dan... begin!
context: Well, so boisterous that the Chairman is miffed about it.\You... You knew about this...?\It would have been easy for me to tell you, but...\No, it's fine.\I see...\They're alive...\And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin! response:	I'm fired up!
context: You... You knew about this...?\It would have been easy for me to tell you, but...\No, it's fine.\I see...\They're alive...\And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin!\I'm fired up! response:	I'm gonna win this one!
context: It would have been easy for me to tell you, but...\No, it's fine.\I see...\They're alive...\And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin!\I'm fired up!\I'm gonna win this one! response:	He's as energetic as usual...
context: No, it's fine.\I see...\They're alive...\And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin!\I'm fired up!\I'm gonna win this one!\He's as energetic as usual... response:	It feels like that Infinity Clock business happened ages ago...
context: I see...\They're alive...\And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin!\I'm fired up!\I'm gonna win this one!\He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago... response:	Here!
context: They're alive...\And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin!\I'm fired up!\I'm gonna win this one!\He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago...\Here! response:	What?!
context: And now, to celebrate the successful conclusion of the latest crisis,\an eating contest between Natsu and Dan... begin!\I'm fired up!\I'm gonna win this one!\He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago...\Here!\What?! response:	That's what you get!
context: an eating contest between Natsu and Dan... begin!\I'm fired up!\I'm gonna win this one!\He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago...\Here!\What?!\That's what you get! response:	Huh? Isn't that against the rules?
context: I'm fired up!\I'm gonna win this one!\He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago...\Here!\What?!\That's what you get!\Huh? Isn't that against the rules? response:	Ah, we'll allow it.
context: I'm gonna win this one!\He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago...\Here!\What?!\That's what you get!\Huh? Isn't that against the rules?\Ah, we'll allow it. response:	Just think, right about now, Master and Wakaba are listening to a sermon.
context: He's as energetic as usual...\It feels like that Infinity Clock business happened ages ago...\Here!\What?!\That's what you get!\Huh? Isn't that against the rules?\Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon. response:	I don't know whether to say they're soft-hearted or just got the short end of the stick...
context: It feels like that Infinity Clock business happened ages ago...\Here!\What?!\That's what you get!\Huh? Isn't that against the rules?\Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick... response:	But that ceremony's a big deal to them, right?
context: Here!\What?!\That's what you get!\Huh? Isn't that against the rules?\Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right? response:	So what's Legion doing here?
context: What?!\That's what you get!\Huh? Isn't that against the rules?\Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right?\So what's Legion doing here? response:	We're the same as you guys!
context: That's what you get!\Huh? Isn't that against the rules?\Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right?\So what's Legion doing here?\We're the same as you guys! response:	For us, this is also...
context: Huh? Isn't that against the rules?\Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right?\So what's Legion doing here?\We're the same as you guys!\For us, this is also... response:	Escape!
context: Ah, we'll allow it.\Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right?\So what's Legion doing here?\We're the same as you guys!\For us, this is also...\Escape! response:	In other words, we're playing hooky!
context: Just think, right about now, Master and Wakaba are listening to a sermon.\I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right?\So what's Legion doing here?\We're the same as you guys!\For us, this is also...\Escape!\In other words, we're playing hooky! response:	Are you sure that's okay?!
context: I don't know whether to say they're soft-hearted or just got the short end of the stick...\But that ceremony's a big deal to them, right?\So what's Legion doing here?\We're the same as you guys!\For us, this is also...\Escape!\In other words, we're playing hooky!\Are you sure that's okay?! response:	Don't you take advantage of the chaos here and rub up against Gray-sama!
context: But that ceremony's a big deal to them, right?\So what's Legion doing here?\We're the same as you guys!\For us, this is also...\Escape!\In other words, we're playing hooky!\Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama! response:	Spicy...
context: So what's Legion doing here?\We're the same as you guys!\For us, this is also...\Escape!\In other words, we're playing hooky!\Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy... response:	These people are hard to talk to. Pain in the ass...
context: We're the same as you guys!\For us, this is also...\Escape!\In other words, we're playing hooky!\Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy...\These people are hard to talk to. Pain in the ass... response:	So...
context: For us, this is also...\Escape!\In other words, we're playing hooky!\Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy...\These people are hard to talk to. Pain in the ass...\So... response:	Is there something wrong?
context: Escape!\In other words, we're playing hooky!\Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy...\These people are hard to talk to. Pain in the ass...\So...\Is there something wrong? response:	I ask again...
context: In other words, we're playing hooky!\Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy...\These people are hard to talk to. Pain in the ass...\So...\Is there something wrong?\I ask again... response:	Um... Uh...
context: Are you sure that's okay?!\Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy...\These people are hard to talk to. Pain in the ass...\So...\Is there something wrong?\I ask again...\Um... Uh... response:	I said something terrible to you that last time!
context: Don't you take advantage of the chaos here and rub up against Gray-sama!\Spicy...\These people are hard to talk to. Pain in the ass...\So...\Is there something wrong?\I ask again...\Um... Uh...\I said something terrible to you that last time! response:	I said I hated cats... and...
context: Spicy...\These people are hard to talk to. Pain in the ass...\So...\Is there something wrong?\I ask again...\Um... Uh...\I said something terrible to you that last time!\I said I hated cats... and... response:	Oh, it's fine. Forget about it!
context: These people are hard to talk to. Pain in the ass...\So...\Is there something wrong?\I ask again...\Um... Uh...\I said something terrible to you that last time!\I said I hated cats... and...\Oh, it's fine. Forget about it! response:	Besides, even though you're a different person, I was still able to meet Coco again.
context: So...\Is there something wrong?\I ask again...\Um... Uh...\I said something terrible to you that last time!\I said I hated cats... and...\Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again. response:	That's more than I could've asked for.
context: Is there something wrong?\I ask again...\Um... Uh...\I said something terrible to you that last time!\I said I hated cats... and...\Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for. response:	Thank you.
context: I ask again...\Um... Uh...\I said something terrible to you that last time!\I said I hated cats... and...\Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for.\Thank you. response:	Well, from here on out, let's be friends.
context: Um... Uh...\I said something terrible to you that last time!\I said I hated cats... and...\Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for.\Thank you.\Well, from here on out, let's be friends. response:	Actually...
context: I said something terrible to you that last time!\I said I hated cats... and...\Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for.\Thank you.\Well, from here on out, let's be friends.\Actually... response:	Hold it right there.
context: I said I hated cats... and...\Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for.\Thank you.\Well, from here on out, let's be friends.\Actually...\Hold it right there. response:	Before you start talking,
context: Oh, it's fine. Forget about it!\Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for.\Thank you.\Well, from here on out, let's be friends.\Actually...\Hold it right there.\Before you start talking, response:	would you have another bout with me?
context: Besides, even though you're a different person, I was still able to meet Coco again.\That's more than I could've asked for.\Thank you.\Well, from here on out, let's be friends.\Actually...\Hold it right there.\Before you start talking,\would you have another bout with me? response:	Fine!
context: That's more than I could've asked for.\Thank you.\Well, from here on out, let's be friends.\Actually...\Hold it right there.\Before you start talking,\would you have another bout with me?\Fine! response:	Come on!
context: Thank you.\Well, from here on out, let's be friends.\Actually...\Hold it right there.\Before you start talking,\would you have another bout with me?\Fine!\Come on! response:	Why?!
context: Well, from here on out, let's be friends.\Actually...\Hold it right there.\Before you start talking,\would you have another bout with me?\Fine!\Come on!\Why?! response:	Is something wrong?
context: Actually...\Hold it right there.\Before you start talking,\would you have another bout with me?\Fine!\Come on!\Why?!\Is something wrong? response:	No.
context: Hold it right there.\Before you start talking,\would you have another bout with me?\Fine!\Come on!\Why?!\Is something wrong?\No. response:	It's fine.
context: Before you start talking,\would you have another bout with me?\Fine!\Come on!\Why?!\Is something wrong?\No.\It's fine. response:	Everything's fine.
context: would you have another bout with me?\Fine!\Come on!\Why?!\Is something wrong?\No.\It's fine.\Everything's fine. response:	That side of the room's kind of gloomy, huh?
context: Fine!\Come on!\Why?!\Is something wrong?\No.\It's fine.\Everything's fine.\That side of the room's kind of gloomy, huh? response:	Those two haven't said a word to each other...
context: Come on!\Why?!\Is something wrong?\No.\It's fine.\Everything's fine.\That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other... response:	Give me a break. That's no way to drink booze.
context: Why?!\Is something wrong?\No.\It's fine.\Everything's fine.\That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other...\Give me a break. That's no way to drink booze. response:	Huh? Is it just my imagination?
context: Is something wrong?\No.\It's fine.\Everything's fine.\That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other...\Give me a break. That's no way to drink booze.\Huh? Is it just my imagination? response:	They're smiling?
context: No.\It's fine.\Everything's fine.\That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other...\Give me a break. That's no way to drink booze.\Huh? Is it just my imagination?\They're smiling? response:	Our scrap left me numb.
context: It's fine.\Everything's fine.\That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other...\Give me a break. That's no way to drink booze.\Huh? Is it just my imagination?\They're smiling?\Our scrap left me numb. response:	I guess it's a wide world out there.
context: Everything's fine.\That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other...\Give me a break. That's no way to drink booze.\Huh? Is it just my imagination?\They're smiling?\Our scrap left me numb.\I guess it's a wide world out there. response:	I never knew there were wizards like you...
context: That side of the room's kind of gloomy, huh?\Those two haven't said a word to each other...\Give me a break. That's no way to drink booze.\Huh? Is it just my imagination?\They're smiling?\Our scrap left me numb.\I guess it's a wide world out there.\I never knew there were wizards like you... response:	It was motivation and the luck of the moment.
context: Those two haven't said a word to each other...\Give me a break. That's no way to drink booze.\Huh? Is it just my imagination?\They're smiling?\Our scrap left me numb.\I guess it's a wide world out there.\I never knew there were wizards like you...\It was motivation and the luck of the moment. response:	And there are a lot of other factors, too.
context: Give me a break. That's no way to drink booze.\Huh? Is it just my imagination?\They're smiling?\Our scrap left me numb.\I guess it's a wide world out there.\I never knew there were wizards like you...\It was motivation and the luck of the moment.\And there are a lot of other factors, too. response:	I don't know how it would turn out if we ever locked horns again.
context: Huh? Is it just my imagination?\They're smiling?\Our scrap left me numb.\I guess it's a wide world out there.\I never knew there were wizards like you...\It was motivation and the luck of the moment.\And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again. response:	You take a broad view of things.
context: They're smiling?\Our scrap left me numb.\I guess it's a wide world out there.\I never knew there were wizards like you...\It was motivation and the luck of the moment.\And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again.\You take a broad view of things. response:	I just live selfishly is all.
context: Our scrap left me numb.\I guess it's a wide world out there.\I never knew there were wizards like you...\It was motivation and the luck of the moment.\And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again.\You take a broad view of things.\I just live selfishly is all. response:	I wonder what they're talking about...
context: I guess it's a wide world out there.\I never knew there were wizards like you...\It was motivation and the luck of the moment.\And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again.\You take a broad view of things.\I just live selfishly is all.\I wonder what they're talking about... response:	Never mind. It's probably just dirty talk.
context: I never knew there were wizards like you...\It was motivation and the luck of the moment.\And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again.\You take a broad view of things.\I just live selfishly is all.\I wonder what they're talking about...\Never mind. It's probably just dirty talk. response:	Huh? Lu-pi's not here...
context: It was motivation and the luck of the moment.\And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again.\You take a broad view of things.\I just live selfishly is all.\I wonder what they're talking about...\Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here... response:	Weren't you fixated on Angel last time?
context: And there are a lot of other factors, too.\I don't know how it would turn out if we ever locked horns again.\You take a broad view of things.\I just live selfishly is all.\I wonder what they're talking about...\Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here...\Weren't you fixated on Angel last time? response:	Life is short, so it's a waste not to live it up with every chance you get.
context: I don't know how it would turn out if we ever locked horns again.\You take a broad view of things.\I just live selfishly is all.\I wonder what they're talking about...\Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here...\Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get. response:	Is that right?
context: You take a broad view of things.\I just live selfishly is all.\I wonder what they're talking about...\Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here...\Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get.\Is that right? response:	Is this the one who falls in love at the drop of a hat?
context: I just live selfishly is all.\I wonder what they're talking about...\Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here...\Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get.\Is that right?\Is this the one who falls in love at the drop of a hat? response:	Hey, don't tell me...
context: I wonder what they're talking about...\Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here...\Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get.\Is that right?\Is this the one who falls in love at the drop of a hat?\Hey, don't tell me... response:	She's scary! Help me, Er-pin!
context: Never mind. It's probably just dirty talk.\Huh? Lu-pi's not here...\Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get.\Is that right?\Is this the one who falls in love at the drop of a hat?\Hey, don't tell me...\She's scary! Help me, Er-pin! response:	Er... pin?
context: Huh? Lu-pi's not here...\Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get.\Is that right?\Is this the one who falls in love at the drop of a hat?\Hey, don't tell me...\She's scary! Help me, Er-pin!\Er... pin? response:	Scary...?
context: Weren't you fixated on Angel last time?\Life is short, so it's a waste not to live it up with every chance you get.\Is that right?\Is this the one who falls in love at the drop of a hat?\Hey, don't tell me...\She's scary! Help me, Er-pin!\Er... pin?\Scary...? response:	I'm stayin' out of this.
context: Life is short, so it's a waste not to live it up with every chance you get.\Is that right?\Is this the one who falls in love at the drop of a hat?\Hey, don't tell me...\She's scary! Help me, Er-pin!\Er... pin?\Scary...?\I'm stayin' out of this. response:	I knew from the start how you felt about me.
context: Is that right?\Is this the one who falls in love at the drop of a hat?\Hey, don't tell me...\She's scary! Help me, Er-pin!\Er... pin?\Scary...?\I'm stayin' out of this.\I knew from the start how you felt about me. response:	Now, let's become a happy cou...
context: Is this the one who falls in love at the drop of a hat?\Hey, don't tell me...\She's scary! Help me, Er-pin!\Er... pin?\Scary...?\I'm stayin' out of this.\I knew from the start how you felt about me.\Now, let's become a happy cou... response:	I can only take so much fickleness.
context: Hey, don't tell me...\She's scary! Help me, Er-pin!\Er... pin?\Scary...?\I'm stayin' out of this.\I knew from the start how you felt about me.\Now, let's become a happy cou...\I can only take so much fickleness. response:	It's not like I didn't warn you.
context: She's scary! Help me, Er-pin!\Er... pin?\Scary...?\I'm stayin' out of this.\I knew from the start how you felt about me.\Now, let's become a happy cou...\I can only take so much fickleness.\It's not like I didn't warn you. response:	Okay! Erza won with one blow!
context: Er... pin?\Scary...?\I'm stayin' out of this.\I knew from the start how you felt about me.\Now, let's become a happy cou...\I can only take so much fickleness.\It's not like I didn't warn you.\Okay! Erza won with one blow! response:	That's the proper way to use the weapon that keeps evil at bay.
