context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino, is the ultimate Queen of Vanity.
context: She doesn't easily get discouraged, after all.\And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out before we knew it\she was mixed up in another family's private problems!\I'm home. response:	Tsubasa, could you try this on?
context: And at long last, it's the first summer vacation of high school!\Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out before we knew it\she was mixed up in another family's private problems!\I'm home.\Tsubasa, could you try this on? response:	Definitely cute.
context: Sis went off to have fun with the friends she made for the first time!\They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out before we knew it\she was mixed up in another family's private problems!\I'm home.\Tsubasa, could you try this on?\Definitely cute. response:	I'm glad I have such a good model at home.
context: They manage the standard menu such as tea, karaoke, and window shopping.\It was finally Sis's debut into the world of friends,\but as it turned out before we knew it\she was mixed up in another family's private problems!\I'm home.\Tsubasa, could you try this on?\Definitely cute.\I'm glad I have such a good model at home. response:	All I have to do is come up with clothes I want you to wear.
context: It was finally Sis's debut into the world of friends,\but as it turned out before we knew it\she was mixed up in another family's private problems!\I'm home.\Tsubasa, could you try this on?\Definitely cute.\I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear. response:	Say, can I have this dress?
context: but as it turned out before we knew it\she was mixed up in another family's private problems!\I'm home.\Tsubasa, could you try this on?\Definitely cute.\I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear.\Say, can I have this dress? response:	I want to go out somewhere with it on.
context: she was mixed up in another family's private problems!\I'm home.\Tsubasa, could you try this on?\Definitely cute.\I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear.\Say, can I have this dress?\I want to go out somewhere with it on. response:	You like it? Okay, shall we go for a drive tonight?
context: I'm home.\Tsubasa, could you try this on?\Definitely cute.\I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear.\Say, can I have this dress?\I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight? response:	We can go to a Chinese restaurant in Yokohama.
context: Tsubasa, could you try this on?\Definitely cute.\I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear.\Say, can I have this dress?\I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama. response:	Why?
context: Definitely cute.\I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear.\Say, can I have this dress?\I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama.\Why? response:	Why are you talking about remarriage all of a sudden?
context: I'm glad I have such a good model at home.\All I have to do is come up with clothes I want you to wear.\Say, can I have this dress?\I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama.\Why?\Why are you talking about remarriage all of a sudden? response:	I could cook and clean and do laundry.
context: All I have to do is come up with clothes I want you to wear.\Say, can I have this dress?\I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama.\Why?\Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry. response:	I could do everything by myself.
context: Say, can I have this dress?\I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama.\Why?\Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry.\I could do everything by myself. response:	Why are you bringing up family all of a sudden?
context: I want to go out somewhere with it on.\You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama.\Why?\Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry.\I could do everything by myself.\Why are you bringing up family all of a sudden? response:	Am I not enough support for you?
context: You like it? Okay, shall we go for a drive tonight?\We can go to a Chinese restaurant in Yokohama.\Why?\Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry.\I could do everything by myself.\Why are you bringing up family all of a sudden?\Am I not enough support for you? response:	Morning.
context: We can go to a Chinese restaurant in Yokohama.\Why?\Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry.\I could do everything by myself.\Why are you bringing up family all of a sudden?\Am I not enough support for you?\Morning. response:	Morning.
context: Why?\Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry.\I could do everything by myself.\Why are you bringing up family all of a sudden?\Am I not enough support for you?\Morning.\Morning. response:	Breakfast is almost ready.
context: Why are you talking about remarriage all of a sudden?\I could cook and clean and do laundry.\I could do everything by myself.\Why are you bringing up family all of a sudden?\Am I not enough support for you?\Morning.\Morning.\Breakfast is almost ready. response:	Oh, let me help with that.
context: I could cook and clean and do laundry.\I could do everything by myself.\Why are you bringing up family all of a sudden?\Am I not enough support for you?\Morning.\Morning.\Breakfast is almost ready.\Oh, let me help with that. response:	Let's eat!
context: I could do everything by myself.\Why are you bringing up family all of a sudden?\Am I not enough support for you?\Morning.\Morning.\Breakfast is almost ready.\Oh, let me help with that.\Let's eat! response:	This is really nice.
context: Why are you bringing up family all of a sudden?\Am I not enough support for you?\Morning.\Morning.\Breakfast is almost ready.\Oh, let me help with that.\Let's eat!\This is really nice. response:	It's breakfast as usual...
context: Am I not enough support for you?\Morning.\Morning.\Breakfast is almost ready.\Oh, let me help with that.\Let's eat!\This is really nice.\It's breakfast as usual... response:	around makes the atmosphere more festive.
context: Morning.\Morning.\Breakfast is almost ready.\Oh, let me help with that.\Let's eat!\This is really nice.\It's breakfast as usual...\around makes the atmosphere more festive. response:	You know... Maybe I should have two or three more children...
context: Morning.\Breakfast is almost ready.\Oh, let me help with that.\Let's eat!\This is really nice.\It's breakfast as usual...\around makes the atmosphere more festive.\You know... Maybe I should have two or three more children... response:	I want an older brother...
context: Breakfast is almost ready.\Oh, let me help with that.\Let's eat!\This is really nice.\It's breakfast as usual...\around makes the atmosphere more festive.\You know... Maybe I should have two or three more children...\I want an older brother... response:	Please don't talk about family planning during breakfast.
context: Oh, let me help with that.\Let's eat!\This is really nice.\It's breakfast as usual...\around makes the atmosphere more festive.\You know... Maybe I should have two or three more children...\I want an older brother...\Please don't talk about family planning during breakfast. response:	Besides, there's no guarantee that they'd be all daughters.
context: Let's eat!\This is really nice.\It's breakfast as usual...\around makes the atmosphere more festive.\You know... Maybe I should have two or three more children...\I want an older brother...\Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters. response:	You might get three sons.
context: This is really nice.\It's breakfast as usual...\around makes the atmosphere more festive.\You know... Maybe I should have two or three more children...\I want an older brother...\Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters.\You might get three sons. response:	Then I'd make a baseball team.
context: It's breakfast as usual...\around makes the atmosphere more festive.\You know... Maybe I should have two or three more children...\I want an older brother...\Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters.\You might get three sons.\Then I'd make a baseball team. response:	We have Yukino(snow), Tsukino(moon), and Kano(flower),
context: around makes the atmosphere more festive.\You know... Maybe I should have two or three more children...\I want an older brother...\Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters.\You might get three sons.\Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower), response:	so their names would have to match.
context: You know... Maybe I should have two or three more children...\I want an older brother...\Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters.\You might get three sons.\Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match. response:	Like Riku (land), Kai (sea), and Kuu (air)?
context: I want an older brother...\Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters.\You might get three sons.\Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)? response:	Like Justice, Friendship, and Victory!
context: Please don't talk about family planning during breakfast.\Besides, there's no guarantee that they'd be all daughters.\You might get three sons.\Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory! response:	I want twin boys,
context: Besides, there's no guarantee that they'd be all daughters.\You might get three sons.\Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory!\I want twin boys, response:	Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)
context: You might get three sons.\Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory!\I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids) response:	Or if they're a girl and a boy, Love and Faith.
context: Then I'd make a baseball team.\We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory!\I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith. response:	Flowers and Dreams!
context: We have Yukino(snow), Tsukino(moon), and Kano(flower),\so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory!\I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams! response:	Heaven and Earth!
context: so their names would have to match.\Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory!\I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams!\Heaven and Earth! response:	The Old Man and the Sea!
context: Like Riku (land), Kai (sea), and Kuu (air)?\Like Justice, Friendship, and Victory!\I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams!\Heaven and Earth!\The Old Man and the Sea! response:	Romeo and Juliet!
context: Like Justice, Friendship, and Victory!\I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams!\Heaven and Earth!\The Old Man and the Sea!\Romeo and Juliet! response:	Beauty and the Beast!
context: I want twin boys,\Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams!\Heaven and Earth!\The Old Man and the Sea!\Romeo and Juliet!\Beauty and the Beast! response:	I can't believe them...
context: Kouichi-kun and Tsuyoshi-kun! (The Kinki-Kids)\Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams!\Heaven and Earth!\The Old Man and the Sea!\Romeo and Juliet!\Beauty and the Beast!\I can't believe them... response:	Jack and the Beanstalk!
context: Or if they're a girl and a boy, Love and Faith.\Flowers and Dreams!\Heaven and Earth!\The Old Man and the Sea!\Romeo and Juliet!\Beauty and the Beast!\I can't believe them...\Jack and the Beanstalk! response:	Fit'n Trim!
context: Flowers and Dreams!\Heaven and Earth!\The Old Man and the Sea!\Romeo and Juliet!\Beauty and the Beast!\I can't believe them...\Jack and the Beanstalk!\Fit'n Trim! response:	Floor and Matt!
context: Heaven and Earth!\The Old Man and the Sea!\Romeo and Juliet!\Beauty and the Beast!\I can't believe them...\Jack and the Beanstalk!\Fit'n Trim!\Floor and Matt! response:	Abbott and Costello!
context: The Old Man and the Sea!\Romeo and Juliet!\Beauty and the Beast!\I can't believe them...\Jack and the Beanstalk!\Fit'n Trim!\Floor and Matt!\Abbott and Costello! response:	See you later!
context: Romeo and Juliet!\Beauty and the Beast!\I can't believe them...\Jack and the Beanstalk!\Fit'n Trim!\Floor and Matt!\Abbott and Costello!\See you later! response:	Well, I guess I'll do some studying.
context: Beauty and the Beast!\I can't believe them...\Jack and the Beanstalk!\Fit'n Trim!\Floor and Matt!\Abbott and Costello!\See you later!\Well, I guess I'll do some studying. response:	Then I'll study too.
context: I can't believe them...\Jack and the Beanstalk!\Fit'n Trim!\Floor and Matt!\Abbott and Costello!\See you later!\Well, I guess I'll do some studying.\Then I'll study too. response:	Can I use a desk? Here, use Tsukino's.
context: Jack and the Beanstalk!\Fit'n Trim!\Floor and Matt!\Abbott and Costello!\See you later!\Well, I guess I'll do some studying.\Then I'll study too.\Can I use a desk? Here, use Tsukino's. response:	Ok.
context: Fit'n Trim!\Floor and Matt!\Abbott and Costello!\See you later!\Well, I guess I'll do some studying.\Then I'll study too.\Can I use a desk? Here, use Tsukino's.\Ok. response:	I'm going home.
context: Floor and Matt!\Abbott and Costello!\See you later!\Well, I guess I'll do some studying.\Then I'll study too.\Can I use a desk? Here, use Tsukino's.\Ok.\I'm going home. response:	Yes!
context: Abbott and Costello!\See you later!\Well, I guess I'll do some studying.\Then I'll study too.\Can I use a desk? Here, use Tsukino's.\Ok.\I'm going home.\Yes! response:	I'm sorry I was so selfish.
context: See you later!\Well, I guess I'll do some studying.\Then I'll study too.\Can I use a desk? Here, use Tsukino's.\Ok.\I'm going home.\Yes!\I'm sorry I was so selfish. response:	It's not like anything would happen by holing myself up here any longer.
context: Well, I guess I'll do some studying.\Then I'll study too.\Can I use a desk? Here, use Tsukino's.\Ok.\I'm going home.\Yes!\I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer. response:	But... are you sure?
context: Then I'll study too.\Can I use a desk? Here, use Tsukino's.\Ok.\I'm going home.\Yes!\I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer.\But... are you sure? response:	Yeah.
context: Can I use a desk? Here, use Tsukino's.\Ok.\I'm going home.\Yes!\I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer.\But... are you sure?\Yeah. response:	My indulgent dad refused to give in to me this time. So I have to give up.
context: Ok.\I'm going home.\Yes!\I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer.\But... are you sure?\Yeah.\My indulgent dad refused to give in to me this time. So I have to give up. response:	Tsubasa!
context: I'm going home.\Yes!\I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer.\But... are you sure?\Yeah.\My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa! response:	I'm home.
context: Yes!\I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer.\But... are you sure?\Yeah.\My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa!\I'm home. response:	I'm so glad you came back.
context: I'm sorry I was so selfish.\It's not like anything would happen by holing myself up here any longer.\But... are you sure?\Yeah.\My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa!\I'm home.\I'm so glad you came back. response:	I'm sorry,
context: It's not like anything would happen by holing myself up here any longer.\But... are you sure?\Yeah.\My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa!\I'm home.\I'm so glad you came back.\I'm sorry, response:	I should have considered your feelings more...
context: But... are you sure?\Yeah.\My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa!\I'm home.\I'm so glad you came back.\I'm sorry,\I should have considered your feelings more... response:	It's okay.
context: Yeah.\My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa!\I'm home.\I'm so glad you came back.\I'm sorry,\I should have considered your feelings more...\It's okay. response:	I just wanted to be a little selfish.
context: My indulgent dad refused to give in to me this time. So I have to give up.\Tsubasa!\I'm home.\I'm so glad you came back.\I'm sorry,\I should have considered your feelings more...\It's okay.\I just wanted to be a little selfish. response:	I'm fine now.
context: Tsubasa!\I'm home.\I'm so glad you came back.\I'm sorry,\I should have considered your feelings more...\It's okay.\I just wanted to be a little selfish.\I'm fine now. response:	You can do whatever you want.
context: I'm home.\I'm so glad you came back.\I'm sorry,\I should have considered your feelings more...\It's okay.\I just wanted to be a little selfish.\I'm fine now.\You can do whatever you want. response:	Th..Thank you.
context: I'm so glad you came back.\I'm sorry,\I should have considered your feelings more...\It's okay.\I just wanted to be a little selfish.\I'm fine now.\You can do whatever you want.\Th..Thank you. response:	Oh well. If my hopes can't be fulfilled,
context: I'm sorry,\I should have considered your feelings more...\It's okay.\I just wanted to be a little selfish.\I'm fine now.\You can do whatever you want.\Th..Thank you.\Oh well. If my hopes can't be fulfilled, response:	I don't want anything to begin with.
context: I should have considered your feelings more...\It's okay.\I just wanted to be a little selfish.\I'm fine now.\You can do whatever you want.\Th..Thank you.\Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with. response:	I don't care anymore. I don't care.
context: It's okay.\I just wanted to be a little selfish.\I'm fine now.\You can do whatever you want.\Th..Thank you.\Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with.\I don't care anymore. I don't care. response:	You've never met her son?!
context: I just wanted to be a little selfish.\I'm fine now.\You can do whatever you want.\Th..Thank you.\Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with.\I don't care anymore. I don't care.\You've never met her son?! response:	You were so gung-ho about the remarriage...
context: I'm fine now.\You can do whatever you want.\Th..Thank you.\Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with.\I don't care anymore. I don't care.\You've never met her son?!\You were so gung-ho about the remarriage... response:	You have no sense of planning.
context: You can do whatever you want.\Th..Thank you.\Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with.\I don't care anymore. I don't care.\You've never met her son?!\You were so gung-ho about the remarriage...\You have no sense of planning. response:	You're a grownup so get it together!
context: Th..Thank you.\Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with.\I don't care anymore. I don't care.\You've never met her son?!\You were so gung-ho about the remarriage...\You have no sense of planning.\You're a grownup so get it together! response:	But, but...
context: Oh well. If my hopes can't be fulfilled,\I don't want anything to begin with.\I don't care anymore. I don't care.\You've never met her son?!\You were so gung-ho about the remarriage...\You have no sense of planning.\You're a grownup so get it together!\But, but... response:	I wanted your understanding first before anything else.
context: I don't want anything to begin with.\I don't care anymore. I don't care.\You've never met her son?!\You were so gung-ho about the remarriage...\You have no sense of planning.\You're a grownup so get it together!\But, but...\I wanted your understanding first before anything else. response:	My son isn't one to worry about details like that.
context: I don't care anymore. I don't care.\You've never met her son?!\You were so gung-ho about the remarriage...\You have no sense of planning.\You're a grownup so get it together!\But, but...\I wanted your understanding first before anything else.\My son isn't one to worry about details like that. response:	He was rather indifferent
context: You've never met her son?!\You were so gung-ho about the remarriage...\You have no sense of planning.\You're a grownup so get it together!\But, but...\I wanted your understanding first before anything else.\My son isn't one to worry about details like that.\He was rather indifferent response:	when I said I wanted to get remarried.
context: You were so gung-ho about the remarriage...\You have no sense of planning.\You're a grownup so get it together!\But, but...\I wanted your understanding first before anything else.\My son isn't one to worry about details like that.\He was rather indifferent\when I said I wanted to get remarried. response:	Ah...
context: You have no sense of planning.\You're a grownup so get it together!\But, but...\I wanted your understanding first before anything else.\My son isn't one to worry about details like that.\He was rather indifferent\when I said I wanted to get remarried.\Ah... response:	I'm getting nervous.
context: You're a grownup so get it together!\But, but...\I wanted your understanding first before anything else.\My son isn't one to worry about details like that.\He was rather indifferent\when I said I wanted to get remarried.\Ah...\I'm getting nervous. response:	I wonder if he'll like me?
context: But, but...\I wanted your understanding first before anything else.\My son isn't one to worry about details like that.\He was rather indifferent\when I said I wanted to get remarried.\Ah...\I'm getting nervous.\I wonder if he'll like me? response:	Hey, calm down.
context: I wanted your understanding first before anything else.\My son isn't one to worry about details like that.\He was rather indifferent\when I said I wanted to get remarried.\Ah...\I'm getting nervous.\I wonder if he'll like me?\Hey, calm down. response:	I have to show him I'm a r..reliable man,
context: My son isn't one to worry about details like that.\He was rather indifferent\when I said I wanted to get remarried.\Ah...\I'm getting nervous.\I wonder if he'll like me?\Hey, calm down.\I have to show him I'm a r..reliable man, response:	as his f..f..father...
context: He was rather indifferent\when I said I wanted to get remarried.\Ah...\I'm getting nervous.\I wonder if he'll like me?\Hey, calm down.\I have to show him I'm a r..reliable man,\as his f..f..father... response:	You don't have to worry so much...
context: when I said I wanted to get remarried.\Ah...\I'm getting nervous.\I wonder if he'll like me?\Hey, calm down.\I have to show him I'm a r..reliable man,\as his f..f..father...\You don't have to worry so much... response:	Oops! I spilled it!
context: Ah...\I'm getting nervous.\I wonder if he'll like me?\Hey, calm down.\I have to show him I'm a r..reliable man,\as his f..f..father...\You don't have to worry so much...\Oops! I spilled it! response:	Here, wipe it with this.
context: I'm getting nervous.\I wonder if he'll like me?\Hey, calm down.\I have to show him I'm a r..reliable man,\as his f..f..father...\You don't have to worry so much...\Oops! I spilled it!\Here, wipe it with this. response:	I can't take you anywhere.
context: I wonder if he'll like me?\Hey, calm down.\I have to show him I'm a r..reliable man,\as his f..f..father...\You don't have to worry so much...\Oops! I spilled it!\Here, wipe it with this.\I can't take you anywhere. response:	I'm sorry I'm late.
context: Hey, calm down.\I have to show him I'm a r..reliable man,\as his f..f..father...\You don't have to worry so much...\Oops! I spilled it!\Here, wipe it with this.\I can't take you anywhere.\I'm sorry I'm late. response:	I'm her son, Kazuma.
context: I have to show him I'm a r..reliable man,\as his f..f..father...\You don't have to worry so much...\Oops! I spilled it!\Here, wipe it with this.\I can't take you anywhere.\I'm sorry I'm late.\I'm her son, Kazuma. response:	Yes! Kazuma.
context: as his f..f..father...\You don't have to worry so much...\Oops! I spilled it!\Here, wipe it with this.\I can't take you anywhere.\I'm sorry I'm late.\I'm her son, Kazuma.\Yes! Kazuma. response:	So, you play music?
context: You don't have to worry so much...\Oops! I spilled it!\Here, wipe it with this.\I can't take you anywhere.\I'm sorry I'm late.\I'm her son, Kazuma.\Yes! Kazuma.\So, you play music? response:	You must be really serious about it. Quite impressive.
context: Oops! I spilled it!\Here, wipe it with this.\I can't take you anywhere.\I'm sorry I'm late.\I'm her son, Kazuma.\Yes! Kazuma.\So, you play music?\You must be really serious about it. Quite impressive. response:	I'm still just dabbling in it,
context: Here, wipe it with this.\I can't take you anywhere.\I'm sorry I'm late.\I'm her son, Kazuma.\Yes! Kazuma.\So, you play music?\You must be really serious about it. Quite impressive.\I'm still just dabbling in it, response:	so I'm not that good.
context: I can't take you anywhere.\I'm sorry I'm late.\I'm her son, Kazuma.\Yes! Kazuma.\So, you play music?\You must be really serious about it. Quite impressive.\I'm still just dabbling in it,\so I'm not that good. response:	Why does the guy who might become my brother have to be
context: I'm sorry I'm late.\I'm her son, Kazuma.\Yes! Kazuma.\So, you play music?\You must be really serious about it. Quite impressive.\I'm still just dabbling in it,\so I'm not that good.\Why does the guy who might become my brother have to be response:	some rock dude?
context: I'm her son, Kazuma.\Yes! Kazuma.\So, you play music?\You must be really serious about it. Quite impressive.\I'm still just dabbling in it,\so I'm not that good.\Why does the guy who might become my brother have to be\some rock dude? response:	I'm unlucky through to the core.
context: Yes! Kazuma.\So, you play music?\You must be really serious about it. Quite impressive.\I'm still just dabbling in it,\so I'm not that good.\Why does the guy who might become my brother have to be\some rock dude?\I'm unlucky through to the core. response:	Even if I've given up already,
context: So, you play music?\You must be really serious about it. Quite impressive.\I'm still just dabbling in it,\so I'm not that good.\Why does the guy who might become my brother have to be\some rock dude?\I'm unlucky through to the core.\Even if I've given up already, response:	how am I supposed to deal with a guy like this?
context: You must be really serious about it. Quite impressive.\I'm still just dabbling in it,\so I'm not that good.\Why does the guy who might become my brother have to be\some rock dude?\I'm unlucky through to the core.\Even if I've given up already,\how am I supposed to deal with a guy like this? response:	Uh-ah.
context: I'm still just dabbling in it,\so I'm not that good.\Why does the guy who might become my brother have to be\some rock dude?\I'm unlucky through to the core.\Even if I've given up already,\how am I supposed to deal with a guy like this?\Uh-ah. response:	Well, none of it matters anymore.
