context: Okay, class! Find a partner and hold hands! response:	Friends Work Together!
context: You should at least know the names of the people in your class.\Sorry.\Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy.\Yeah.\That's why I talked to you.\But wow,\you're totally normal! response:	Hori-san's kind of weird.
context: Sorry.\Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy.\Yeah.\That's why I talked to you.\But wow,\you're totally normal!\Hori-san's kind of weird. response:	Horimiya
context: Didn't she just say she didn't know who I was, though?\Everyone says you're all dark and gloomy.\Yeah.\That's why I talked to you.\But wow,\you're totally normal!\Hori-san's kind of weird.\Horimiya response:	Where's my name?
context: Everyone says you're all dark and gloomy.\Yeah.\That's why I talked to you.\But wow,\you're totally normal!\Hori-san's kind of weird.\Horimiya\Where's my name? response:	That's Why It's Okay
context: Yeah.\That's why I talked to you.\But wow,\you're totally normal!\Hori-san's kind of weird.\Horimiya\Where's my name?\That's Why It's Okay response:	Where's my name?
context: That's why I talked to you.\But wow,\you're totally normal!\Hori-san's kind of weird.\Horimiya\Where's my name?\That's Why It's Okay\Where's my name? response:	That's Why It's Okay
context: But wow,\you're totally normal!\Hori-san's kind of weird.\Horimiya\Where's my name?\That's Why It's Okay\Where's my name?\That's Why It's Okay response:	I can't see!
context: you're totally normal!\Hori-san's kind of weird.\Horimiya\Where's my name?\That's Why It's Okay\Where's my name?\That's Why It's Okay\I can't see! response:	That's Why It's Okay
context: Hori-san's kind of weird.\Horimiya\Where's my name?\That's Why It's Okay\Where's my name?\That's Why It's Okay\I can't see!\That's Why It's Okay response:	I found my name! I'm in Class 1 with you, Yuki!
context: Horimiya\Where's my name?\That's Why It's Okay\Where's my name?\That's Why It's Okay\I can't see!\That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki! response:	I found my name! I'm in Class 1 with you, Yuki!
context: Where's my name?\That's Why It's Okay\Where's my name?\That's Why It's Okay\I can't see!\That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki! response:	Yay!
context: That's Why It's Okay\Where's my name?\That's Why It's Okay\I can't see!\That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki!\Yay! response:	Class 1, Class 1, c'mon, Class 1...
context: Where's my name?\That's Why It's Okay\I can't see!\That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki!\Yay!\Class 1, Class 1, c'mon, Class 1... response:	What class're you in, Ishikawa?
context: That's Why It's Okay\I can't see!\That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki!\Yay!\Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa? response:	Oh, I'm in Class 1.
context: I can't see!\That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki!\Yay!\Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa?\Oh, I'm in Class 1. response:	Yes! I'm in Class 1, too!
context: That's Why It's Okay\I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki!\Yay!\Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa?\Oh, I'm in Class 1.\Yes! I'm in Class 1, too! response:	Miyamura, I'm in your class!
context: I found my name! I'm in Class 1 with you, Yuki!\I found my name! I'm in Class 1 with you, Yuki!\Yay!\Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa?\Oh, I'm in Class 1.\Yes! I'm in Class 1, too!\Miyamura, I'm in your class! response:	Isn't that awesome?! It's the power of love!
context: I found my name! I'm in Class 1 with you, Yuki!\Yay!\Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa?\Oh, I'm in Class 1.\Yes! I'm in Class 1, too!\Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love! response:	Wait... love?
context: Yay!\Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa?\Oh, I'm in Class 1.\Yes! I'm in Class 1, too!\Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love!\Wait... love? response:	Wait, love? Because they're in the same class?
context: Class 1, Class 1, c'mon, Class 1...\What class're you in, Ishikawa?\Oh, I'm in Class 1.\Yes! I'm in Class 1, too!\Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love!\Wait... love?\Wait, love? Because they're in the same class? response:	Are those two dating?
context: What class're you in, Ishikawa?\Oh, I'm in Class 1.\Yes! I'm in Class 1, too!\Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love!\Wait... love?\Wait, love? Because they're in the same class?\Are those two dating? response:	Yes! We'll be together till graduation!
context: Oh, I'm in Class 1.\Yes! I'm in Class 1, too!\Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love!\Wait... love?\Wait, love? Because they're in the same class?\Are those two dating?\Yes! We'll be together till graduation! response:	What class are you in, Miyamura?
context: Yes! I'm in Class 1, too!\Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love!\Wait... love?\Wait, love? Because they're in the same class?\Are those two dating?\Yes! We'll be together till graduation!\What class are you in, Miyamura? response:	Hori-san...
context: Miyamura, I'm in your class!\Isn't that awesome?! It's the power of love!\Wait... love?\Wait, love? Because they're in the same class?\Are those two dating?\Yes! We'll be together till graduation!\What class are you in, Miyamura?\Hori-san... response:	Whoa, why are you tearing up?!
context: Isn't that awesome?! It's the power of love!\Wait... love?\Wait, love? Because they're in the same class?\Are those two dating?\Yes! We'll be together till graduation!\What class are you in, Miyamura?\Hori-san...\Whoa, why are you tearing up?! response:	They're whispering about me!
context: Wait... love?\Wait, love? Because they're in the same class?\Are those two dating?\Yes! We'll be together till graduation!\What class are you in, Miyamura?\Hori-san...\Whoa, why are you tearing up?!\They're whispering about me! response:	C'mon, man up about it!
context: Wait, love? Because they're in the same class?\Are those two dating?\Yes! We'll be together till graduation!\What class are you in, Miyamura?\Hori-san...\Whoa, why are you tearing up?!\They're whispering about me!\C'mon, man up about it! response:	Knock it off, Yoshikawa. You're gonna break his spine.
context: Are those two dating?\Yes! We'll be together till graduation!\What class are you in, Miyamura?\Hori-san...\Whoa, why are you tearing up?!\They're whispering about me!\C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine. response:	Aww.
context: Yes! We'll be together till graduation!\What class are you in, Miyamura?\Hori-san...\Whoa, why are you tearing up?!\They're whispering about me!\C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine.\Aww. response:	Hey, Ishikawa, you know how you gave me that song I wanted?
context: What class are you in, Miyamura?\Hori-san...\Whoa, why are you tearing up?!\They're whispering about me!\C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine.\Aww.\Hey, Ishikawa, you know how you gave me that song I wanted? response:	I totally deleted it by accident yesterday.
context: Hori-san...\Whoa, why are you tearing up?!\They're whispering about me!\C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine.\Aww.\Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday. response:	Ugh, c'mon, man.
context: Whoa, why are you tearing up?!\They're whispering about me!\C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine.\Aww.\Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday.\Ugh, c'mon, man. response:	-Yeah, my storage was full, so I went to delete stuff and poof.
context: They're whispering about me!\C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine.\Aww.\Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday.\Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof. response:	-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.
context: C'mon, man up about it!\Knock it off, Yoshikawa. You're gonna break his spine.\Aww.\Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday.\Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof. response:	-Sometimes, I wonder. -I thought you bought the one with the most space.
context: Knock it off, Yoshikawa. You're gonna break his spine.\Aww.\Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday.\Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space. response:	-I did! That's why I thought I'd be safe!
context: Aww.\Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday.\Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe! response:	-I'm in this group... -I did! That's why I thought I'd be safe!
context: Hey, Ishikawa, you know how you gave me that song I wanted?\I totally deleted it by accident yesterday.\Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe! response:	-I'm in this group... -Man, their new album is so good.
context: I totally deleted it by accident yesterday.\Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good. response:	-but am I really a part of it? -Man, their new album is so good.
context: Ugh, c'mon, man.\-Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good. response:	-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.
context: -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though. response:	Now I want the new album, too.
context: -Sometimes, I wonder. -Yeah, my storage was full, so I went to delete stuff and poof.\-Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too. response:	All About Chemical Reactions
context: -Sometimes, I wonder. -I thought you bought the one with the most space.\-I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too.\All About Chemical Reactions response:	All About Chemical Reactions
context: -I did! That's why I thought I'd be safe!\-I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too.\All About Chemical Reactions\All About Chemical Reactions response:	Okay! Go ahead and split up into groups of four to work on your reports.
context: -I'm in this group... -I did! That's why I thought I'd be safe!\-I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too.\All About Chemical Reactions\All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports. response:	Okay! Go ahead and split up into groups of four to work on your reports.
context: -I'm in this group... -Man, their new album is so good.\-but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too.\All About Chemical Reactions\All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports. response:	Miyamura, are you all by yourself?
context: -but am I really a part of it? -Man, their new album is so good.\-but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too.\All About Chemical Reactions\All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself? response:	Yoshikawa, gimme a pen! You've got a million, right?
context: -but am I really a part of it? -I have to wait till my older sister finishes with the CD first though.\Now I want the new album, too.\All About Chemical Reactions\All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right? response:	I don't have a million! Pen bullies like you don't get a pen!
context: Now I want the new album, too.\All About Chemical Reactions\All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen! response:	You suck.
context: All About Chemical Reactions\All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen!\You suck. response:	Anyone have the packet?
context: All About Chemical Reactions\Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen!\You suck.\Anyone have the packet? response:	Oh, I have it.
context: Okay! Go ahead and split up into groups of four to work on your reports.\Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen!\You suck.\Anyone have the packet?\Oh, I have it. response:	All About Chemical Reactions
context: Okay! Go ahead and split up into groups of four to work on your reports.\Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen!\You suck.\Anyone have the packet?\Oh, I have it.\All About Chemical Reactions response:	Mmkay, Hori'll turn our outline into a draft.
context: Miyamura, are you all by yourself?\Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen!\You suck.\Anyone have the packet?\Oh, I have it.\All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft. response:	Do we have enough paper?
context: Yoshikawa, gimme a pen! You've got a million, right?\I don't have a million! Pen bullies like you don't get a pen!\You suck.\Anyone have the packet?\Oh, I have it.\All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper? response:	Yeah, probably.
context: I don't have a million! Pen bullies like you don't get a pen!\You suck.\Anyone have the packet?\Oh, I have it.\All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper?\Yeah, probably. response:	Miyamura, you handle the chart.
context: You suck.\Anyone have the packet?\Oh, I have it.\All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper?\Yeah, probably.\Miyamura, you handle the chart. response:	Oh, okay.
context: Anyone have the packet?\Oh, I have it.\All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper?\Yeah, probably.\Miyamura, you handle the chart.\Oh, okay. response:	Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa
context: Oh, I have it.\All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper?\Yeah, probably.\Miyamura, you handle the chart.\Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa response:	Hori! Toru won't give me my pen back!
context: All About Chemical Reactions\Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper?\Yeah, probably.\Miyamura, you handle the chart.\Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back! response:	Because I'm still using it!
context: Mmkay, Hori'll turn our outline into a draft.\Do we have enough paper?\Yeah, probably.\Miyamura, you handle the chart.\Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back!\Because I'm still using it! response:	Knock it off, you two!
context: Do we have enough paper?\Yeah, probably.\Miyamura, you handle the chart.\Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back!\Because I'm still using it!\Knock it off, you two! response:	Friends...
context: Yeah, probably.\Miyamura, you handle the chart.\Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back!\Because I'm still using it!\Knock it off, you two!\Friends... response:	Are we friends, though?
context: Miyamura, you handle the chart.\Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back!\Because I'm still using it!\Knock it off, you two!\Friends...\Are we friends, though? response:	Are they cool with me being their friend?
context: Oh, okay.\Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back!\Because I'm still using it!\Knock it off, you two!\Friends...\Are we friends, though?\Are they cool with me being their friend? response:	There you are, Miyamura.
context: Kyoko Hori Yuki Yoshikawa Izumi Miyamura Toru Ishikawa\Hori! Toru won't give me my pen back!\Because I'm still using it!\Knock it off, you two!\Friends...\Are we friends, though?\Are they cool with me being their friend?\There you are, Miyamura. response:	Ishikawa-kun.
context: Hori! Toru won't give me my pen back!\Because I'm still using it!\Knock it off, you two!\Friends...\Are we friends, though?\Are they cool with me being their friend?\There you are, Miyamura.\Ishikawa-kun. response:	I heard our next class got switched from Math to Econ.
context: Because I'm still using it!\Knock it off, you two!\Friends...\Are we friends, though?\Are they cool with me being their friend?\There you are, Miyamura.\Ishikawa-kun.\I heard our next class got switched from Math to Econ. response:	Shoot, did I bring that textbook today?
context: Knock it off, you two!\Friends...\Are we friends, though?\Are they cool with me being their friend?\There you are, Miyamura.\Ishikawa-kun.\I heard our next class got switched from Math to Econ.\Shoot, did I bring that textbook today? response:	Really wish they wouldn't switch things up on a dime.
