context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	The Sleipnir Ball
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Sleipnir Ball response:	The Sleipnir Ball
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Sleipnir Ball\The Sleipnir Ball response:	Next Time
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Sleipnir Ball\The Sleipnir Ball\Next Time response:	The Eastern Pursuit
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Sleipnir Ball\The Sleipnir Ball\Next Time\The Eastern Pursuit response:	I'm feeling strangely cold.
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Sleipnir Ball\The Sleipnir Ball\Next Time\The Eastern Pursuit\I'm feeling strangely cold. response:	Saito-san, let's get closer.
context: Because I'll turn around and give you a make-up kiss\In your warm arms\The Sleipnir Ball\The Sleipnir Ball\Next Time\The Eastern Pursuit\I'm feeling strangely cold.\Saito-san, let's get closer. response:	Um...
context: In your warm arms\The Sleipnir Ball\The Sleipnir Ball\Next Time\The Eastern Pursuit\I'm feeling strangely cold.\Saito-san, let's get closer.\Um... response:	You stupid maid!
context: The Sleipnir Ball\The Sleipnir Ball\Next Time\The Eastern Pursuit\I'm feeling strangely cold.\Saito-san, let's get closer.\Um...\You stupid maid! response:	Take your hand off him!
context: The Sleipnir Ball\Next Time\The Eastern Pursuit\I'm feeling strangely cold.\Saito-san, let's get closer.\Um...\You stupid maid!\Take your hand off him! response:	How nonchalant of you to keep pushing yourself closer one night after another.
context: Next Time\The Eastern Pursuit\I'm feeling strangely cold.\Saito-san, let's get closer.\Um...\You stupid maid!\Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another. response:	Saito is my familiar!
context: The Eastern Pursuit\I'm feeling strangely cold.\Saito-san, let's get closer.\Um...\You stupid maid!\Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar! response:	I won't move.
context: I'm feeling strangely cold.\Saito-san, let's get closer.\Um...\You stupid maid!\Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar!\I won't move. response:	I have been ordered by Henrietta-sama to be his maid.
context: Saito-san, let's get closer.\Um...\You stupid maid!\Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar!\I won't move.\I have been ordered by Henrietta-sama to be his maid. response:	What are you saying?!
context: Um...\You stupid maid!\Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar!\I won't move.\I have been ordered by Henrietta-sama to be his maid.\What are you saying?! response:	What's the matter?!
context: You stupid maid!\Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar!\I won't move.\I have been ordered by Henrietta-sama to be his maid.\What are you saying?!\What's the matter?! response:	Calm down.
context: Take your hand off him!\How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar!\I won't move.\I have been ordered by Henrietta-sama to be his maid.\What are you saying?!\What's the matter?!\Calm down. response:	We're all in the same room, so there's nothing we can do.
context: How nonchalant of you to keep pushing yourself closer one night after another.\Saito is my familiar!\I won't move.\I have been ordered by Henrietta-sama to be his maid.\What are you saying?!\What's the matter?!\Calm down.\We're all in the same room, so there's nothing we can do. response:	Let's all sleep together peacefully.
context: Saito is my familiar!\I won't move.\I have been ordered by Henrietta-sama to be his maid.\What are you saying?!\What's the matter?!\Calm down.\We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully. response:	Yeah? Yeah?
context: I won't move.\I have been ordered by Henrietta-sama to be his maid.\What are you saying?!\What's the matter?!\Calm down.\We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully.\Yeah? Yeah? response:	Shut up!
context: I have been ordered by Henrietta-sama to be his maid.\What are you saying?!\What's the matter?!\Calm down.\We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully.\Yeah? Yeah?\Shut up! response:	Shut up!
context: What are you saying?!\What's the matter?!\Calm down.\We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully.\Yeah? Yeah?\Shut up!\Shut up! response:	I'm sorry.
context: What's the matter?!\Calm down.\We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully.\Yeah? Yeah?\Shut up!\Shut up!\I'm sorry. response:	How about a challenge?
context: Calm down.\We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully.\Yeah? Yeah?\Shut up!\Shut up!\I'm sorry.\How about a challenge? response:	A challenge?
context: We're all in the same room, so there's nothing we can do.\Let's all sleep together peacefully.\Yeah? Yeah?\Shut up!\Shut up!\I'm sorry.\How about a challenge?\A challenge? response:	See whom Saito-san chooses.
context: Let's all sleep together peacefully.\Yeah? Yeah?\Shut up!\Shut up!\I'm sorry.\How about a challenge?\A challenge?\See whom Saito-san chooses. response:	I think it's pointless.
context: Yeah? Yeah?\Shut up!\Shut up!\I'm sorry.\How about a challenge?\A challenge?\See whom Saito-san chooses.\I think it's pointless. response:	He's completely devoted to me.
context: Shut up!\Shut up!\I'm sorry.\How about a challenge?\A challenge?\See whom Saito-san chooses.\I think it's pointless.\He's completely devoted to me. response:	I think that's just a misunderstanding.
context: Shut up!\I'm sorry.\How about a challenge?\A challenge?\See whom Saito-san chooses.\I think it's pointless.\He's completely devoted to me.\I think that's just a misunderstanding. response:	Like how birds think whatever they see first is their mother.
context: I'm sorry.\How about a challenge?\A challenge?\See whom Saito-san chooses.\I think it's pointless.\He's completely devoted to me.\I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother. response:	That's not true!
context: How about a challenge?\A challenge?\See whom Saito-san chooses.\I think it's pointless.\He's completely devoted to me.\I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother.\That's not true! response:	If you're so confident, then you will not mind having a match over him, will you?
context: A challenge?\See whom Saito-san chooses.\I think it's pointless.\He's completely devoted to me.\I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother.\That's not true!\If you're so confident, then you will not mind having a match over him, will you? response:	S-Sure...
context: See whom Saito-san chooses.\I think it's pointless.\He's completely devoted to me.\I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother.\That's not true!\If you're so confident, then you will not mind having a match over him, will you?\S-Sure... response:	Go for it!
context: I think it's pointless.\He's completely devoted to me.\I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother.\That's not true!\If you're so confident, then you will not mind having a match over him, will you?\S-Sure...\Go for it! response:	I already know he'll choose me.
context: He's completely devoted to me.\I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother.\That's not true!\If you're so confident, then you will not mind having a match over him, will you?\S-Sure...\Go for it!\I already know he'll choose me. response:	Then how about this?
context: I think that's just a misunderstanding.\Like how birds think whatever they see first is their mother.\That's not true!\If you're so confident, then you will not mind having a match over him, will you?\S-Sure...\Go for it!\I already know he'll choose me.\Then how about this? response:	During the Sleipnir Ball tomorrow,
context: Like how birds think whatever they see first is their mother.\That's not true!\If you're so confident, then you will not mind having a match over him, will you?\S-Sure...\Go for it!\I already know he'll choose me.\Then how about this?\During the Sleipnir Ball tomorrow, response:	if Saito-san manages to find Miss Valliere, I'll give up on him.
context: That's not true!\If you're so confident, then you will not mind having a match over him, will you?\S-Sure...\Go for it!\I already know he'll choose me.\Then how about this?\During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him. response:	However!
context: If you're so confident, then you will not mind having a match over him, will you?\S-Sure...\Go for it!\I already know he'll choose me.\Then how about this?\During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him.\However! response:	W-What?
context: S-Sure...\Go for it!\I already know he'll choose me.\Then how about this?\During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him.\However!\W-What? response:	If he can't find you...
context: Go for it!\I already know he'll choose me.\Then how about this?\During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him.\However!\W-What?\If he can't find you... response:	So you're not confident after all.
context: I already know he'll choose me.\Then how about this?\During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him.\However!\W-What?\If he can't find you...\So you're not confident after all. response:	Of course I am!
context: Then how about this?\During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him.\However!\W-What?\If he can't find you...\So you're not confident after all.\Of course I am! response:	Don't act high and mighty just because you have big breasts!
context: During the Sleipnir Ball tomorrow,\if Saito-san manages to find Miss Valliere, I'll give up on him.\However!\W-What?\If he can't find you...\So you're not confident after all.\Of course I am!\Don't act high and mighty just because you have big breasts! response:	You cow boob!
context: if Saito-san manages to find Miss Valliere, I'll give up on him.\However!\W-What?\If he can't find you...\So you're not confident after all.\Of course I am!\Don't act high and mighty just because you have big breasts!\You cow boob! response:	That's a loser's cry.
context: However!\W-What?\If he can't find you...\So you're not confident after all.\Of course I am!\Don't act high and mighty just because you have big breasts!\You cow boob!\That's a loser's cry. response:	I can't imagine what'll come next.
context: W-What?\If he can't find you...\So you're not confident after all.\Of course I am!\Don't act high and mighty just because you have big breasts!\You cow boob!\That's a loser's cry.\I can't imagine what'll come next. response:	Oh, and what's Sleipnir?
context: If he can't find you...\So you're not confident after all.\Of course I am!\Don't act high and mighty just because you have big breasts!\You cow boob!\That's a loser's cry.\I can't imagine what'll come next.\Oh, and what's Sleipnir? response:	Sleipnir is a ball held at the beginning of the new semester.
context: So you're not confident after all.\Of course I am!\Don't act high and mighty just because you have big breasts!\You cow boob!\That's a loser's cry.\I can't imagine what'll come next.\Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester. response:	It's happening tonight.
context: Of course I am!\Don't act high and mighty just because you have big breasts!\You cow boob!\That's a loser's cry.\I can't imagine what'll come next.\Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight. response:	Why a ball for the new semester?
context: Don't act high and mighty just because you have big breasts!\You cow boob!\That's a loser's cry.\I can't imagine what'll come next.\Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight.\Why a ball for the new semester? response:	It's an opportunity for me to teach the newly admitted ladies about adult social occasions.
context: You cow boob!\That's a loser's cry.\I can't imagine what'll come next.\Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight.\Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions. response:	Have you heard about the monster bird that's been appearing near the border recently?
context: That's a loser's cry.\I can't imagine what'll come next.\Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight.\Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently? response:	Yeah, I heard about it.
context: I can't imagine what'll come next.\Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight.\Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it. response:	I heard it's incredibly huge.
context: Oh, and what's Sleipnir?\Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight.\Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it.\I heard it's incredibly huge. response:	My brother who is a dragon knight was talking about it.
context: Sleipnir is a ball held at the beginning of the new semester.\It's happening tonight.\Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it.\I heard it's incredibly huge.\My brother who is a dragon knight was talking about it. response:	And it's no ordinary ball!
context: It's happening tonight.\Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it.\I heard it's incredibly huge.\My brother who is a dragon knight was talking about it.\And it's no ordinary ball! response:	It's a costume ball party.
context: Why a ball for the new semester?\It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it.\I heard it's incredibly huge.\My brother who is a dragon knight was talking about it.\And it's no ordinary ball!\It's a costume ball party. response:	Using the Mirror of Truth, you use magic to garment yourself.
context: It's an opportunity for me to teach the newly admitted ladies about adult social occasions.\Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it.\I heard it's incredibly huge.\My brother who is a dragon knight was talking about it.\And it's no ordinary ball!\It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself. response:	You can take the form you most wish to become.
context: Have you heard about the monster bird that's been appearing near the border recently?\Yeah, I heard about it.\I heard it's incredibly huge.\My brother who is a dragon knight was talking about it.\And it's no ordinary ball!\It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become. response:	I wonder how many people will look like me.
context: Yeah, I heard about it.\I heard it's incredibly huge.\My brother who is a dragon knight was talking about it.\And it's no ordinary ball!\It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become.\I wonder how many people will look like me. response:	After all, I'm the world's most handsome guy.
context: I heard it's incredibly huge.\My brother who is a dragon knight was talking about it.\And it's no ordinary ball!\It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become.\I wonder how many people will look like me.\After all, I'm the world's most handsome guy. response:	What do you want to become, Saito?
context: My brother who is a dragon knight was talking about it.\And it's no ordinary ball!\It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become.\I wonder how many people will look like me.\After all, I'm the world's most handsome guy.\What do you want to become, Saito? response:	Saito?
context: And it's no ordinary ball!\It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become.\I wonder how many people will look like me.\After all, I'm the world's most handsome guy.\What do you want to become, Saito?\Saito? response:	Hey.
context: It's a costume ball party.\Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become.\I wonder how many people will look like me.\After all, I'm the world's most handsome guy.\What do you want to become, Saito?\Saito?\Hey. response:	Can you give me the details of that rumour?
context: Using the Mirror of Truth, you use magic to garment yourself.\You can take the form you most wish to become.\I wonder how many people will look like me.\After all, I'm the world's most handsome guy.\What do you want to become, Saito?\Saito?\Hey.\Can you give me the details of that rumour? response:	Sure.
context: You can take the form you most wish to become.\I wonder how many people will look like me.\After all, I'm the world's most handsome guy.\What do you want to become, Saito?\Saito?\Hey.\Can you give me the details of that rumour?\Sure. response:	It happened some nights ago.
context: I wonder how many people will look like me.\After all, I'm the world's most handsome guy.\What do you want to become, Saito?\Saito?\Hey.\Can you give me the details of that rumour?\Sure.\It happened some nights ago. response:	A dragon knight on a patrol looked up into the sky and saw...
context: After all, I'm the world's most handsome guy.\What do you want to become, Saito?\Saito?\Hey.\Can you give me the details of that rumour?\Sure.\It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw... response:	It's said that it had to be at least 150 mail long.
context: What do you want to become, Saito?\Saito?\Hey.\Can you give me the details of that rumour?\Sure.\It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long. response:	Maybe it's the legendary giant dragon.
context: Saito?\Hey.\Can you give me the details of that rumour?\Sure.\It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon. response:	No, apparently its wing shape is completely different from that of a dragon.
context: Hey.\Can you give me the details of that rumour?\Sure.\It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon. response:	But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.
context: Can you give me the details of that rumour?\Sure.\It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere. response:	It's got to be a mistake.
context: Sure.\It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake. response:	You're not the only Void mage.
context: It happened some nights ago.\A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake.\You're not the only Void mage. response:	Maybe she's up to something again.
context: A dragon knight on a patrol looked up into the sky and saw...\It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake.\You're not the only Void mage.\Maybe she's up to something again. response:	I've got to tell Louise to watch out.
context: It's said that it had to be at least 150 mail long.\Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake.\You're not the only Void mage.\Maybe she's up to something again.\I've got to tell Louise to watch out. response:	Louise, are you here?
context: Maybe it's the legendary giant dragon.\No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake.\You're not the only Void mage.\Maybe she's up to something again.\I've got to tell Louise to watch out.\Louise, are you here? response:	Miss Valliere has gone out.
context: No, apparently its wing shape is completely different from that of a dragon.\But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake.\You're not the only Void mage.\Maybe she's up to something again.\I've got to tell Louise to watch out.\Louise, are you here?\Miss Valliere has gone out. response:	What are you doing on the floor?
context: But by the time a squad of dragon knights had taken off after receiving the report, there was no sign of it anywhere.\It's got to be a mistake.\You're not the only Void mage.\Maybe she's up to something again.\I've got to tell Louise to watch out.\Louise, are you here?\Miss Valliere has gone out.\What are you doing on the floor? response:	Maid Afternoon?
context: It's got to be a mistake.\You're not the only Void mage.\Maybe she's up to something again.\I've got to tell Louise to watch out.\Louise, are you here?\Miss Valliere has gone out.\What are you doing on the floor?\Maid Afternoon? response:	Yes. A story of a young maid working at an aristocrat's manor...
context: You're not the only Void mage.\Maybe she's up to something again.\I've got to tell Louise to watch out.\Louise, are you here?\Miss Valliere has gone out.\What are you doing on the floor?\Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor... response:	I was thinking I wouldn't mind that happening to me if it's Saito-san.
context: Maybe she's up to something again.\I've got to tell Louise to watch out.\Louise, are you here?\Miss Valliere has gone out.\What are you doing on the floor?\Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san. response:	Huh?
context: I've got to tell Louise to watch out.\Louise, are you here?\Miss Valliere has gone out.\What are you doing on the floor?\Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh? response:	Slowly...
context: Louise, are you here?\Miss Valliere has gone out.\What are you doing on the floor?\Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh?\Slowly... response:	Slip.
context: Miss Valliere has gone out.\What are you doing on the floor?\Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh?\Slowly...\Slip. response:	Crash!
context: What are you doing on the floor?\Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh?\Slowly...\Slip.\Crash! response:	Huh?
context: Maid Afternoon?\Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh?\Slowly...\Slip.\Crash!\Huh? response:	Oh my gosh! I broke my master's cup!
context: Yes. A story of a young maid working at an aristocrat's manor...\I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh?\Slowly...\Slip.\Crash!\Huh?\Oh my gosh! I broke my master's cup! response:	Your turn, Saito-san.
context: I was thinking I wouldn't mind that happening to me if it's Saito-san.\Huh?\Slowly...\Slip.\Crash!\Huh?\Oh my gosh! I broke my master's cup!\Your turn, Saito-san. response:	M-My turn? What do I do?
context: Huh?\Slowly...\Slip.\Crash!\Huh?\Oh my gosh! I broke my master's cup!\Your turn, Saito-san.\M-My turn? What do I do? response:	Huh?!
context: Slowly...\Slip.\Crash!\Huh?\Oh my gosh! I broke my master's cup!\Your turn, Saito-san.\M-My turn? What do I do?\Huh?! response:	Slowly...
context: Slip.\Crash!\Huh?\Oh my gosh! I broke my master's cup!\Your turn, Saito-san.\M-My turn? What do I do?\Huh?!\Slowly... response:	Slip.
context: Crash!\Huh?\Oh my gosh! I broke my master's cup!\Your turn, Saito-san.\M-My turn? What do I do?\Huh?!\Slowly...\Slip. response:	Crash!
context: Huh?\Oh my gosh! I broke my master's cup!\Your turn, Saito-san.\M-My turn? What do I do?\Huh?!\Slowly...\Slip.\Crash! response:	Oh my gosh! I broke my master's cup!
context: Oh my gosh! I broke my master's cup!\Your turn, Saito-san.\M-My turn? What do I do?\Huh?!\Slowly...\Slip.\Crash!\Oh my gosh! I broke my master's cup! response:	Master.
context: Your turn, Saito-san.\M-My turn? What do I do?\Huh?!\Slowly...\Slip.\Crash!\Oh my gosh! I broke my master's cup!\Master. response:	Punish me as you please.
context: M-My turn? What do I do?\Huh?!\Slowly...\Slip.\Crash!\Oh my gosh! I broke my master's cup!\Master.\Punish me as you please. response:	Peek.
context: Huh?!\Slowly...\Slip.\Crash!\Oh my gosh! I broke my master's cup!\Master.\Punish me as you please.\Peek. response:	Put an end to this, you guys!
context: Slowly...\Slip.\Crash!\Oh my gosh! I broke my master's cup!\Master.\Punish me as you please.\Peek.\Put an end to this, you guys! response:	We... We will...
context: Slip.\Crash!\Oh my gosh! I broke my master's cup!\Master.\Punish me as you please.\Peek.\Put an end to this, you guys!\We... We will... response:	Maid! Familiar! Listen!
context: Crash!\Oh my gosh! I broke my master's cup!\Master.\Punish me as you please.\Peek.\Put an end to this, you guys!\We... We will...\Maid! Familiar! Listen! response:	Y-Yes!
