context: - Your Highness. - Your Highness. response:	You may all go.
context: You must not go. I'll do it.\Since I have brought her here, I won't be sending her back.\This must be handled with care.\You can like anybody but her.\I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe response:	have held increasingly less regard for Father.
context: Since I have brought her here, I won't be sending her back.\This must be handled with care.\You can like anybody but her.\I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe\have held increasingly less regard for Father. response:	Father only arranged a marriage alliance to stabilize his position.
context: This must be handled with care.\You can like anybody but her.\I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe\have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position. response:	- Second Brother, you must not- - That's enough.
context: You can like anybody but her.\I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe\have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough. response:	I understand.
context: I am the second son of the Heavenly Lord.\Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe\have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough.\I understand. response:	We must not displease Qing Qiu.
context: Can I not even decide on my own concubines?\Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe\have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough.\I understand.\We must not displease Qing Qiu. response:	It's good you understand.
context: Ever since the war 70,000 years ago when Mo Yuan's soul was scattered\the clan leaders of the Celestial Tribe\have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough.\I understand.\We must not displease Qing Qiu.\It's good you understand. response:	If I am to be forced to marry Bai Qian
context: the clan leaders of the Celestial Tribe\have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough.\I understand.\We must not displease Qing Qiu.\It's good you understand.\If I am to be forced to marry Bai Qian response:	then this maid of hers that I like must also be accepted into the palace.
context: have held increasingly less regard for Father.\Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough.\I understand.\We must not displease Qing Qiu.\It's good you understand.\If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace. response:	You absolutely must not!
context: Father only arranged a marriage alliance to stabilize his position.\- Second Brother, you must not- - That's enough.\I understand.\We must not displease Qing Qiu.\It's good you understand.\If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace.\You absolutely must not! response:	You have not married Bai Qian yet
context: - Second Brother, you must not- - That's enough.\I understand.\We must not displease Qing Qiu.\It's good you understand.\If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace.\You absolutely must not!\You have not married Bai Qian yet response:	but you take her maid here first
context: I understand.\We must not displease Qing Qiu.\It's good you understand.\If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace.\You absolutely must not!\You have not married Bai Qian yet\but you take her maid here first response:	and want to marry both mistress and maid at the same time?
context: We must not displease Qing Qiu.\It's good you understand.\If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace.\You absolutely must not!\You have not married Bai Qian yet\but you take her maid here first\and want to marry both mistress and maid at the same time? response:	Aren't you showing the whole world that Bai Qian is inferior to a snake?
context: It's good you understand.\If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace.\You absolutely must not!\You have not married Bai Qian yet\but you take her maid here first\and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake? response:	Your Highness, you had best send me back.
context: If I am to be forced to marry Bai Qian\then this maid of hers that I like must also be accepted into the palace.\You absolutely must not!\You have not married Bai Qian yet\but you take her maid here first\and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back. response:	Shao Xing, don't be afraid.
context: then this maid of hers that I like must also be accepted into the palace.\You absolutely must not!\You have not married Bai Qian yet\but you take her maid here first\and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back.\Shao Xing, don't be afraid. response:	Third Brother, you are right.
context: You absolutely must not!\You have not married Bai Qian yet\but you take her maid here first\and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back.\Shao Xing, don't be afraid.\Third Brother, you are right. response:	Consider the greater good, Second Brother.
context: You have not married Bai Qian yet\but you take her maid here first\and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back.\Shao Xing, don't be afraid.\Third Brother, you are right.\Consider the greater good, Second Brother. response:	When Father returns
context: but you take her maid here first\and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back.\Shao Xing, don't be afraid.\Third Brother, you are right.\Consider the greater good, Second Brother.\When Father returns response:	I will make a request to cancel the marriage
context: and want to marry both mistress and maid at the same time?\Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back.\Shao Xing, don't be afraid.\Third Brother, you are right.\Consider the greater good, Second Brother.\When Father returns\I will make a request to cancel the marriage response:	and then rightfully take a consort.
context: Aren't you showing the whole world that Bai Qian is inferior to a snake?\Your Highness, you had best send me back.\Shao Xing, don't be afraid.\Third Brother, you are right.\Consider the greater good, Second Brother.\When Father returns\I will make a request to cancel the marriage\and then rightfully take a consort. response:	You want to cancel the marriage?
context: Your Highness, you had best send me back.\Shao Xing, don't be afraid.\Third Brother, you are right.\Consider the greater good, Second Brother.\When Father returns\I will make a request to cancel the marriage\and then rightfully take a consort.\You want to cancel the marriage? response:	What did you say? You want to cancel the marriage?
context: Shao Xing, don't be afraid.\Third Brother, you are right.\Consider the greater good, Second Brother.\When Father returns\I will make a request to cancel the marriage\and then rightfully take a consort.\You want to cancel the marriage?\What did you say? You want to cancel the marriage? response:	Father, I had thought that as a prince of the Celestial Tribe
context: Third Brother, you are right.\Consider the greater good, Second Brother.\When Father returns\I will make a request to cancel the marriage\and then rightfully take a consort.\You want to cancel the marriage?\What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe response:	my marriage would only be for appearance's sake
context: Consider the greater good, Second Brother.\When Father returns\I will make a request to cancel the marriage\and then rightfully take a consort.\You want to cancel the marriage?\What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake response:	and for the Celestial Tribe's greater good.
context: When Father returns\I will make a request to cancel the marriage\and then rightfully take a consort.\You want to cancel the marriage?\What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good. response:	Is it not?
context: I will make a request to cancel the marriage\and then rightfully take a consort.\You want to cancel the marriage?\What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good.\Is it not? response:	That is indeed what I thought before I went to Qing Qiu.
context: and then rightfully take a consort.\You want to cancel the marriage?\What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good.\Is it not?\That is indeed what I thought before I went to Qing Qiu. response:	However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.
context: You want to cancel the marriage?\What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good.\Is it not?\That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian. response:	She only left a message
context: What did you say? You want to cancel the marriage?\Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good.\Is it not?\That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message response:	saying she was going into seclusion for self-cultivation.
context: Father, I had thought that as a prince of the Celestial Tribe\my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good.\Is it not?\That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message\saying she was going into seclusion for self-cultivation. response:	She left me at Qing Qiu's Fox Den.
context: my marriage would only be for appearance's sake\and for the Celestial Tribe's greater good.\Is it not?\That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message\saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den. response:	Although I was furious, I carefully complied with your orders.
context: and for the Celestial Tribe's greater good.\Is it not?\That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message\saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders. response:	I continued to stay there to await her return.
context: Is it not?\That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message\saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return. response:	However, the wait stretched out to a whole month.
context: That is indeed what I thought before I went to Qing Qiu.\However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message\saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return.\However, the wait stretched out to a whole month. response:	I believe Bai Qian of Qing Qiu is proud and arrogant.
context: However, after I arrived at Qing Qiu, I did not see my fiancee, Bai Qian.\She only left a message\saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return.\However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant. response:	She looks down upon the Celestial Tribe.
context: She only left a message\saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return.\However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe. response:	So what of one month?
context: saying she was going into seclusion for self-cultivation.\She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return.\However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe.\So what of one month? response:	Even if it is 30,000 years, you must still wait!
context: She left me at Qing Qiu's Fox Den.\Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return.\However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe.\So what of one month?\Even if it is 30,000 years, you must still wait! response:	Moreover, she has succeeded the throne as queen of Qing Qiu.
context: Although I was furious, I carefully complied with your orders.\I continued to stay there to await her return.\However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe.\So what of one month?\Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu. response:	A queen marrying a prince! What more could you be discontent about?
context: I continued to stay there to await her return.\However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe.\So what of one month?\Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about? response:	But, Father, I...
context: However, the wait stretched out to a whole month.\I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe.\So what of one month?\Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about?\But, Father, I... response:	Sang Ji.
context: I believe Bai Qian of Qing Qiu is proud and arrogant.\She looks down upon the Celestial Tribe.\So what of one month?\Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about?\But, Father, I...\Sang Ji. response:	Do you have something to say?
context: She looks down upon the Celestial Tribe.\So what of one month?\Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about?\But, Father, I...\Sang Ji.\Do you have something to say? response:	Let me guess what you want to say.
context: So what of one month?\Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about?\But, Father, I...\Sang Ji.\Do you have something to say?\Let me guess what you want to say. response:	Did you fall in love with another woman while at Qing Qiu
context: Even if it is 30,000 years, you must still wait!\Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about?\But, Father, I...\Sang Ji.\Do you have something to say?\Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu response:	and allowed your feelings to grow deep?
context: Moreover, she has succeeded the throne as queen of Qing Qiu.\A queen marrying a prince! What more could you be discontent about?\But, Father, I...\Sang Ji.\Do you have something to say?\Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep? response:	How would I dare do something that would defy your orders?
context: A queen marrying a prince! What more could you be discontent about?\But, Father, I...\Sang Ji.\Do you have something to say?\Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep?\How would I dare do something that would defy your orders? response:	Very well.
context: But, Father, I...\Sang Ji.\Do you have something to say?\Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep?\How would I dare do something that would defy your orders?\Very well. response:	Guards.
context: Sang Ji.\Do you have something to say?\Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep?\How would I dare do something that would defy your orders?\Very well.\Guards. response:	Bring in the snake that trespassed into the Celestial Palace.
context: Do you have something to say?\Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep?\How would I dare do something that would defy your orders?\Very well.\Guards.\Bring in the snake that trespassed into the Celestial Palace. response:	How did you meet him in Qing Qiu?
context: Let me guess what you want to say.\Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep?\How would I dare do something that would defy your orders?\Very well.\Guards.\Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu? response:	Heavenly Lord, I do not know him.
context: Did you fall in love with another woman while at Qing Qiu\and allowed your feelings to grow deep?\How would I dare do something that would defy your orders?\Very well.\Guards.\Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him. response:	You've forgotten?
context: and allowed your feelings to grow deep?\How would I dare do something that would defy your orders?\Very well.\Guards.\Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him.\You've forgotten? response:	You do not need to look at him.
context: How would I dare do something that would defy your orders?\Very well.\Guards.\Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him.\You've forgotten?\You do not need to look at him. response:	In the Celestial Palace
context: Very well.\Guards.\Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him.\You've forgotten?\You do not need to look at him.\In the Celestial Palace response:	all princes must abstain from emotions or carnal pleasures.
context: Guards.\Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him.\You've forgotten?\You do not need to look at him.\In the Celestial Palace\all princes must abstain from emotions or carnal pleasures. response:	Marriage and procreation is for the sake of the Celestial Tribe
context: Bring in the snake that trespassed into the Celestial Palace.\How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him.\You've forgotten?\You do not need to look at him.\In the Celestial Palace\all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe response:	and for the world.
context: How did you meet him in Qing Qiu?\Heavenly Lord, I do not know him.\You've forgotten?\You do not need to look at him.\In the Celestial Palace\all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe\and for the world. response:	It is not for love.
context: Heavenly Lord, I do not know him.\You've forgotten?\You do not need to look at him.\In the Celestial Palace\all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe\and for the world.\It is not for love. response:	He cannot save you.
context: You've forgotten?\You do not need to look at him.\In the Celestial Palace\all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe\and for the world.\It is not for love.\He cannot save you. response:	Nor would he dare to.
context: You do not need to look at him.\In the Celestial Palace\all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe\and for the world.\It is not for love.\He cannot save you.\Nor would he dare to. response:	Heavenly Lord, I really do not know him.
context: In the Celestial Palace\all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe\and for the world.\It is not for love.\He cannot save you.\Nor would he dare to.\Heavenly Lord, I really do not know him. response:	Take this snake who trespassed into Celestial Palace
context: all princes must abstain from emotions or carnal pleasures.\Marriage and procreation is for the sake of the Celestial Tribe\and for the world.\It is not for love.\He cannot save you.\Nor would he dare to.\Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace response:	and throw her off Zhuxian Terrace.
context: Marriage and procreation is for the sake of the Celestial Tribe\and for the world.\It is not for love.\He cannot save you.\Nor would he dare to.\Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace. response:	- Yes. - Please spare my life, Heavenly Lord!
context: and for the world.\It is not for love.\He cannot save you.\Nor would he dare to.\Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace.\- Yes. - Please spare my life, Heavenly Lord! response:	- Heavenly Lord! - Stop right there!
context: It is not for love.\He cannot save you.\Nor would he dare to.\Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace.\- Yes. - Please spare my life, Heavenly Lord!\- Heavenly Lord! - Stop right there! response:	I'm the one who wants to cancel the marriage.
context: He cannot save you.\Nor would he dare to.\Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace.\- Yes. - Please spare my life, Heavenly Lord!\- Heavenly Lord! - Stop right there!\I'm the one who wants to cancel the marriage. response:	- It has nothing to do with Shao Xing. - What did you say?
context: Nor would he dare to.\Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace.\- Yes. - Please spare my life, Heavenly Lord!\- Heavenly Lord! - Stop right there!\I'm the one who wants to cancel the marriage.\- It has nothing to do with Shao Xing. - What did you say? response:	Shao Xing may be Bai Qian's maid, but she is also my beloved.
context: Heavenly Lord, I really do not know him.\Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace.\- Yes. - Please spare my life, Heavenly Lord!\- Heavenly Lord! - Stop right there!\I'm the one who wants to cancel the marriage.\- It has nothing to do with Shao Xing. - What did you say?\Shao Xing may be Bai Qian's maid, but she is also my beloved. response:	I implore you to allow me to cancel the marriage with Bai Qian
context: Take this snake who trespassed into Celestial Palace\and throw her off Zhuxian Terrace.\- Yes. - Please spare my life, Heavenly Lord!\- Heavenly Lord! - Stop right there!\I'm the one who wants to cancel the marriage.\- It has nothing to do with Shao Xing. - What did you say?\Shao Xing may be Bai Qian's maid, but she is also my beloved.\I implore you to allow me to cancel the marriage with Bai Qian response:	and marry Shao Xing!
