context: Oh, right... response:	I'm in love with someone now.
context: Not good, not good!\Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge.\Good morning.\Good morning.\Master Raku! response:	Good morning to you!
context: Why am I jumping for joy over such blatant lip service?\Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge.\Good morning.\Good morning.\Master Raku!\Good morning to you! response:	Raku Ichijo!
context: Oh, well, I guess I might have changed in some small ways.\Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge.\Good morning.\Good morning.\Master Raku!\Good morning to you!\Raku Ichijo! response:	You bastard... how could you, when you have Young Mistress!
context: Like feeling so elated over the most trivial things.\Hey. Ichijo and Chitoge.\Good morning.\Good morning.\Master Raku!\Good morning to you!\Raku Ichijo!\You bastard... how could you, when you have Young Mistress! response:	Like getting even more pissed at annoying things!
context: Hey. Ichijo and Chitoge.\Good morning.\Good morning.\Master Raku!\Good morning to you!\Raku Ichijo!\You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things! response:	Whatever the case,
context: Good morning.\Good morning.\Master Raku!\Good morning to you!\Raku Ichijo!\You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things!\Whatever the case, response:	as you can see, the romance I'd always yearned for...
context: Good morning.\Master Raku!\Good morning to you!\Raku Ichijo!\You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things!\Whatever the case,\as you can see, the romance I'd always yearned for... response:	Now then, how is this going to turn out?
context: Master Raku!\Good morning to you!\Raku Ichijo!\You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things!\Whatever the case,\as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out? response:	Wait! Seriously, how is this going to turn out?
context: Good morning to you!\Raku Ichijo!\You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things!\Whatever the case,\as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out? response:	Hold up!
context: Raku Ichijo!\You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things!\Whatever the case,\as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out?\Hold up! response:	It's good that I know I'm in love with this guy,
context: You bastard... how could you, when you have Young Mistress!\Like getting even more pissed at annoying things!\Whatever the case,\as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out?\Hold up!\It's good that I know I'm in love with this guy, response:	Raku and Chitoge's NEXT STAGE
context: Like getting even more pissed at annoying things!\Whatever the case,\as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out?\Hold up!\It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE response:	but what happens next?
context: Whatever the case,\as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out?\Hold up!\It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE\but what happens next? response:	If I like him, then does that mean, uh... that I want to date him or something?
context: as you can see, the romance I'd always yearned for...\Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out?\Hold up!\It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE\but what happens next?\If I like him, then does that mean, uh... that I want to date him or something? response:	In other words, not be his fake girlfriend, but his real girlfriend?
context: Now then, how is this going to turn out?\Wait! Seriously, how is this going to turn out?\Hold up!\It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE\but what happens next?\If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend? response:	Mmm, that doesn't feel right somehow!
context: Wait! Seriously, how is this going to turn out?\Hold up!\It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE\but what happens next?\If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow! response:	In the first place, what would we do if we were dating?
context: Hold up!\It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE\but what happens next?\If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating? response:	Like... walk home together after school...
context: It's good that I know I'm in love with this guy,\Raku and Chitoge's NEXT STAGE\but what happens next?\If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating?\Like... walk home together after school... response:	stop for snacks on the way...
context: Raku and Chitoge's NEXT STAGE\but what happens next?\If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating?\Like... walk home together after school...\stop for snacks on the way... response:	go on dates on our days off...
context: but what happens next?\If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating?\Like... walk home together after school...\stop for snacks on the way...\go on dates on our days off... response:	Hey! Isn't that the same thing we're doing now anyway?
context: If I like him, then does that mean, uh... that I want to date him or something?\In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating?\Like... walk home together after school...\stop for snacks on the way...\go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway? response:	Then does this mean that I...
context: In other words, not be his fake girlfriend, but his real girlfriend?\Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating?\Like... walk home together after school...\stop for snacks on the way...\go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I... response:	Ichijo!
context: Mmm, that doesn't feel right somehow!\In the first place, what would we do if we were dating?\Like... walk home together after school...\stop for snacks on the way...\go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I...\Ichijo! response:	Come hither! Come hither!
context: In the first place, what would we do if we were dating?\Like... walk home together after school...\stop for snacks on the way...\go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I...\Ichijo!\Come hither! Come hither! response:	Don't call me in that creepy way!
context: Like... walk home together after school...\stop for snacks on the way...\go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I...\Ichijo!\Come hither! Come hither!\Don't call me in that creepy way! response:	I have a feeling that's close.
context: stop for snacks on the way...\go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I...\Ichijo!\Come hither! Come hither!\Don't call me in that creepy way!\I have a feeling that's close. response:	But I don't know.
context: go on dates on our days off...\Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I...\Ichijo!\Come hither! Come hither!\Don't call me in that creepy way!\I have a feeling that's close.\But I don't know. response:	Somehow that just doesn't feel right.
context: Hey! Isn't that the same thing we're doing now anyway?\Then does this mean that I...\Ichijo!\Come hither! Come hither!\Don't call me in that creepy way!\I have a feeling that's close.\But I don't know.\Somehow that just doesn't feel right. response:	Wait! What am I gonna do?
context: Then does this mean that I...\Ichijo!\Come hither! Come hither!\Don't call me in that creepy way!\I have a feeling that's close.\But I don't know.\Somehow that just doesn't feel right.\Wait! What am I gonna do? response:	Now I'm getting seriously confused!
context: Ichijo!\Come hither! Come hither!\Don't call me in that creepy way!\I have a feeling that's close.\But I don't know.\Somehow that just doesn't feel right.\Wait! What am I gonna do?\Now I'm getting seriously confused! response:	What kind of relationship do I want with him, exactly?
context: Come hither! Come hither!\Don't call me in that creepy way!\I have a feeling that's close.\But I don't know.\Somehow that just doesn't feel right.\Wait! What am I gonna do?\Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly? response:	Hey, Chitoge!
context: Don't call me in that creepy way!\I have a feeling that's close.\But I don't know.\Somehow that just doesn't feel right.\Wait! What am I gonna do?\Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly?\Hey, Chitoge! response:	What?
context: I have a feeling that's close.\But I don't know.\Somehow that just doesn't feel right.\Wait! What am I gonna do?\Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly?\Hey, Chitoge!\What? response:	You got your locket back?
context: But I don't know.\Somehow that just doesn't feel right.\Wait! What am I gonna do?\Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly?\Hey, Chitoge!\What?\You got your locket back? response:	Yeah. Well, for what it's worth.
context: Somehow that just doesn't feel right.\Wait! What am I gonna do?\Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly?\Hey, Chitoge!\What?\You got your locket back?\Yeah. Well, for what it's worth. response:	And I thought I should let you three know.
context: Wait! What am I gonna do?\Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly?\Hey, Chitoge!\What?\You got your locket back?\Yeah. Well, for what it's worth.\And I thought I should let you three know. response:	Oh, man! This makes me feel so complete!
context: Now I'm getting seriously confused!\What kind of relationship do I want with him, exactly?\Hey, Chitoge!\What?\You got your locket back?\Yeah. Well, for what it's worth.\And I thought I should let you three know.\Oh, man! This makes me feel so complete! response:	Creepy.
context: What kind of relationship do I want with him, exactly?\Hey, Chitoge!\What?\You got your locket back?\Yeah. Well, for what it's worth.\And I thought I should let you three know.\Oh, man! This makes me feel so complete!\Creepy. response:	I'm so glad for you.
context: Hey, Chitoge!\What?\You got your locket back?\Yeah. Well, for what it's worth.\And I thought I should let you three know.\Oh, man! This makes me feel so complete!\Creepy.\I'm so glad for you. response:	That you got it back safe and sound.
context: What?\You got your locket back?\Yeah. Well, for what it's worth.\And I thought I should let you three know.\Oh, man! This makes me feel so complete!\Creepy.\I'm so glad for you.\That you got it back safe and sound. response:	Well, but the thing is...
context: You got your locket back?\Yeah. Well, for what it's worth.\And I thought I should let you three know.\Oh, man! This makes me feel so complete!\Creepy.\I'm so glad for you.\That you got it back safe and sound.\Well, but the thing is... response:	All right, then, Master Raku!
context: Yeah. Well, for what it's worth.\And I thought I should let you three know.\Oh, man! This makes me feel so complete!\Creepy.\I'm so glad for you.\That you got it back safe and sound.\Well, but the thing is...\All right, then, Master Raku! response:	Without further ado! Let's open up that locket with this key, shall we?
context: And I thought I should let you three know.\Oh, man! This makes me feel so complete!\Creepy.\I'm so glad for you.\That you got it back safe and sound.\Well, but the thing is...\All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we? response:	Hey, hold up a second, Tachibana!
context: Oh, man! This makes me feel so complete!\Creepy.\I'm so glad for you.\That you got it back safe and sound.\Well, but the thing is...\All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana! response:	Oh, where's the harm?
context: Creepy.\I'm so glad for you.\That you got it back safe and sound.\Well, but the thing is...\All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana!\Oh, where's the harm? response:	Now you'll finally know who your first love was.
context: I'm so glad for you.\That you got it back safe and sound.\Well, but the thing is...\All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana!\Oh, where's the harm?\Now you'll finally know who your first love was. response:	Well, although it had to be me.
context: That you got it back safe and sound.\Well, but the thing is...\All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana!\Oh, where's the harm?\Now you'll finally know who your first love was.\Well, although it had to be me. response:	At last, we'll have proof that it was I who promised you my hand in marriage.
context: Well, but the thing is...\All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana!\Oh, where's the harm?\Now you'll finally know who your first love was.\Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage. response:	Come, come! You two standing there...
context: All right, then, Master Raku!\Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana!\Oh, where's the harm?\Now you'll finally know who your first love was.\Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there... response:	You're dying to find out as well. I just know it!
context: Without further ado! Let's open up that locket with this key, shall we?\Hey, hold up a second, Tachibana!\Oh, where's the harm?\Now you'll finally know who your first love was.\Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there...\You're dying to find out as well. I just know it! response:	Listen to me!
context: Hey, hold up a second, Tachibana!\Oh, where's the harm?\Now you'll finally know who your first love was.\Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there...\You're dying to find out as well. I just know it!\Listen to me! response:	Don't jump the gun like that!
context: Oh, where's the harm?\Now you'll finally know who your first love was.\Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there...\You're dying to find out as well. I just know it!\Listen to me!\Don't jump the gun like that! response:	Um, I...
context: Now you'll finally know who your first love was.\Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there...\You're dying to find out as well. I just know it!\Listen to me!\Don't jump the gun like that!\Um, I... response:	I don't think... um...
context: Well, although it had to be me.\At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there...\You're dying to find out as well. I just know it!\Listen to me!\Don't jump the gun like that!\Um, I...\I don't think... um... response:	That we need to open it just yet, you know?
context: At last, we'll have proof that it was I who promised you my hand in marriage.\Come, come! You two standing there...\You're dying to find out as well. I just know it!\Listen to me!\Don't jump the gun like that!\Um, I...\I don't think... um...\That we need to open it just yet, you know? response:	Chitoge?
context: Come, come! You two standing there...\You're dying to find out as well. I just know it!\Listen to me!\Don't jump the gun like that!\Um, I...\I don't think... um...\That we need to open it just yet, you know?\Chitoge? response:	Well, because! See...
context: You're dying to find out as well. I just know it!\Listen to me!\Don't jump the gun like that!\Um, I...\I don't think... um...\That we need to open it just yet, you know?\Chitoge?\Well, because! See... response:	There's no need to rush into it, right?
context: Listen to me!\Don't jump the gun like that!\Um, I...\I don't think... um...\That we need to open it just yet, you know?\Chitoge?\Well, because! See...\There's no need to rush into it, right? response:	It might be better to wait till things settle down.
context: Don't jump the gun like that!\Um, I...\I don't think... um...\That we need to open it just yet, you know?\Chitoge?\Well, because! See...\There's no need to rush into it, right?\It might be better to wait till things settle down. response:	And besides, this is just something that happened when we were kids, so...
context: Um, I...\I don't think... um...\That we need to open it just yet, you know?\Chitoge?\Well, because! See...\There's no need to rush into it, right?\It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so... response:	What's with her?
context: I don't think... um...\That we need to open it just yet, you know?\Chitoge?\Well, because! See...\There's no need to rush into it, right?\It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so...\What's with her? response:	Just the other day, she was all fired up to get to the bottom of it.
context: That we need to open it just yet, you know?\Chitoge?\Well, because! See...\There's no need to rush into it, right?\It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so...\What's with her?\Just the other day, she was all fired up to get to the bottom of it. response:	My, my, Kirisaki.
context: Chitoge?\Well, because! See...\There's no need to rush into it, right?\It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so...\What's with her?\Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki. response:	You must really be terrified to find out that you weren't his soulmate.
context: Well, because! See...\There's no need to rush into it, right?\It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so...\What's with her?\Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate. response:	There, there, I understand.
context: There's no need to rush into it, right?\It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so...\What's with her?\Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate.\There, there, I understand. response:	What the...?! That's not what I meant!
context: It might be better to wait till things settle down.\And besides, this is just something that happened when we were kids, so...\What's with her?\Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate.\There, there, I understand.\What the...?! That's not what I meant! response:	I think I kind of want to know, too...
context: And besides, this is just something that happened when we were kids, so...\What's with her?\Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate.\There, there, I understand.\What the...?! That's not what I meant!\I think I kind of want to know, too... response:	Kosaki?
context: What's with her?\Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate.\There, there, I understand.\What the...?! That's not what I meant!\I think I kind of want to know, too...\Kosaki? response:	If... No matter who opens it, see...
context: Just the other day, she was all fired up to get to the bottom of it.\My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate.\There, there, I understand.\What the...?! That's not what I meant!\I think I kind of want to know, too...\Kosaki?\If... No matter who opens it, see... response:	This was something that happened when we were kids.
context: My, my, Kirisaki.\You must really be terrified to find out that you weren't his soulmate.\There, there, I understand.\What the...?! That's not what I meant!\I think I kind of want to know, too...\Kosaki?\If... No matter who opens it, see...\This was something that happened when we were kids. response:	So I do want to, you know, find out...
context: You must really be terrified to find out that you weren't his soulmate.\There, there, I understand.\What the...?! That's not what I meant!\I think I kind of want to know, too...\Kosaki?\If... No matter who opens it, see...\This was something that happened when we were kids.\So I do want to, you know, find out... response:	Actually...
context: There, there, I understand.\What the...?! That's not what I meant!\I think I kind of want to know, too...\Kosaki?\If... No matter who opens it, see...\This was something that happened when we were kids.\So I do want to, you know, find out...\Actually... response:	That's why I'm telling you, hold up, hold up, hold up!
context: What the...?! That's not what I meant!\I think I kind of want to know, too...\Kosaki?\If... No matter who opens it, see...\This was something that happened when we were kids.\So I do want to, you know, find out...\Actually...\That's why I'm telling you, hold up, hold up, hold up! response:	It's still broken, all right? This locket.
context: I think I kind of want to know, too...\Kosaki?\If... No matter who opens it, see...\This was something that happened when we were kids.\So I do want to, you know, find out...\Actually...\That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket. response:	Hey, so long story short...
context: Kosaki?\If... No matter who opens it, see...\This was something that happened when we were kids.\So I do want to, you know, find out...\Actually...\That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket.\Hey, so long story short... response:	I got as far as extracting the stuck key and fixing it up.
context: If... No matter who opens it, see...\This was something that happened when we were kids.\So I do want to, you know, find out...\Actually...\That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket.\Hey, so long story short...\I got as far as extracting the stuck key and fixing it up. response:	But there's something stuck in the back of the locket,
context: This was something that happened when we were kids.\So I do want to, you know, find out...\Actually...\That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket.\Hey, so long story short...\I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket, response:	and there's no way to open the lock by normal means.
context: So I do want to, you know, find out...\Actually...\That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket.\Hey, so long story short...\I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means. response:	I could get it out by smashing it open.
context: Actually...\That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket.\Hey, so long story short...\I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means.\I could get it out by smashing it open. response:	What's your call?
context: That's why I'm telling you, hold up, hold up, hold up!\It's still broken, all right? This locket.\Hey, so long story short...\I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means.\I could get it out by smashing it open.\What's your call? response:	By the way, Shu, about that photo book...
context: It's still broken, all right? This locket.\Hey, so long story short...\I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means.\I could get it out by smashing it open.\What's your call?\By the way, Shu, about that photo book... response:	Well, but if it's not fixed...
context: Hey, so long story short...\I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means.\I could get it out by smashing it open.\What's your call?\By the way, Shu, about that photo book...\Well, but if it's not fixed... response:	An autographed limited edition!
context: I got as far as extracting the stuck key and fixing it up.\But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means.\I could get it out by smashing it open.\What's your call?\By the way, Shu, about that photo book...\Well, but if it's not fixed...\An autographed limited edition! response:	So anyway...
context: But there's something stuck in the back of the locket,\and there's no way to open the lock by normal means.\I could get it out by smashing it open.\What's your call?\By the way, Shu, about that photo book...\Well, but if it's not fixed...\An autographed limited edition!\So anyway... response:	Don't break it! Don't break it! This is important to me, you know!
context: and there's no way to open the lock by normal means.\I could get it out by smashing it open.\What's your call?\By the way, Shu, about that photo book...\Well, but if it's not fixed...\An autographed limited edition!\So anyway...\Don't break it! Don't break it! This is important to me, you know! response:	Anyway...
context: I could get it out by smashing it open.\What's your call?\By the way, Shu, about that photo book...\Well, but if it's not fixed...\An autographed limited edition!\So anyway...\Don't break it! Don't break it! This is important to me, you know!\Anyway... response:	Eventually we might find a way to open it,
context: What's your call?\By the way, Shu, about that photo book...\Well, but if it's not fixed...\An autographed limited edition!\So anyway...\Don't break it! Don't break it! This is important to me, you know!\Anyway...\Eventually we might find a way to open it, response:	so I want you to wait till then.
context: By the way, Shu, about that photo book...\Well, but if it's not fixed...\An autographed limited edition!\So anyway...\Don't break it! Don't break it! This is important to me, you know!\Anyway...\Eventually we might find a way to open it,\so I want you to wait till then. response:	And if we still can't figure it out,
context: Well, but if it's not fixed...\An autographed limited edition!\So anyway...\Don't break it! Don't break it! This is important to me, you know!\Anyway...\Eventually we might find a way to open it,\so I want you to wait till then.\And if we still can't figure it out, response:	and you think you just have to know the truth,
context: An autographed limited edition!\So anyway...\Don't break it! Don't break it! This is important to me, you know!\Anyway...\Eventually we might find a way to open it,\so I want you to wait till then.\And if we still can't figure it out,\and you think you just have to know the truth, response:	then let's bust this open and take a look inside.
