context: Signs response:	You're my dad?
context: the Quartz Gun is a large collection of Quartz that has taken the form of a weapon.\Yeah, it can change time and the world.\There should be one more shot left in it.\You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island?\Thank you very much.\It's been ten years since Mom disappeared.\What were you doing this entire time? response:	Ten years? Oh, right!
context: Yeah, it can change time and the world.\There should be one more shot left in it.\You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island?\Thank you very much.\It's been ten years since Mom disappeared.\What were you doing this entire time?\Ten years? Oh, right! response:	You've grown so much.
context: There should be one more shot left in it.\You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island?\Thank you very much.\It's been ten years since Mom disappeared.\What were you doing this entire time?\Ten years? Oh, right!\You've grown so much. response:	For me, it was just a short while ago that she left.
context: You've been looking for it, haven't you?\So Eureka gave birth to Ao on this island?\Thank you very much.\It's been ten years since Mom disappeared.\What were you doing this entire time?\Ten years? Oh, right!\You've grown so much.\For me, it was just a short while ago that she left. response:	A short while ago?
context: So Eureka gave birth to Ao on this island?\Thank you very much.\It's been ten years since Mom disappeared.\What were you doing this entire time?\Ten years? Oh, right!\You've grown so much.\For me, it was just a short while ago that she left.\A short while ago? response:	Mr. Thurston, what does that
context: Thank you very much.\It's been ten years since Mom disappeared.\What were you doing this entire time?\Ten years? Oh, right!\You've grown so much.\For me, it was just a short while ago that she left.\A short while ago?\Mr. Thurston, what does that response:	Ao!
context: It's been ten years since Mom disappeared.\What were you doing this entire time?\Ten years? Oh, right!\You've grown so much.\For me, it was just a short while ago that she left.\A short while ago?\Mr. Thurston, what does that\Ao! response:	Do you like soccer?
context: What were you doing this entire time?\Ten years? Oh, right!\You've grown so much.\For me, it was just a short while ago that she left.\A short while ago?\Mr. Thurston, what does that\Ao!\Do you like soccer? response:	That man who just appeared might be another threat.
context: Ten years? Oh, right!\You've grown so much.\For me, it was just a short while ago that she left.\A short while ago?\Mr. Thurston, what does that\Ao!\Do you like soccer?\That man who just appeared might be another threat. response:	We should strengthen our surveillance.
context: You've grown so much.\For me, it was just a short while ago that she left.\A short while ago?\Mr. Thurston, what does that\Ao!\Do you like soccer?\That man who just appeared might be another threat.\We should strengthen our surveillance. response:	He's Ao's father and Eureka's husband.
context: For me, it was just a short while ago that she left.\A short while ago?\Mr. Thurston, what does that\Ao!\Do you like soccer?\That man who just appeared might be another threat.\We should strengthen our surveillance.\He's Ao's father and Eureka's husband. response:	Eureka and the Gekko arrived here before, right?
context: A short while ago?\Mr. Thurston, what does that\Ao!\Do you like soccer?\That man who just appeared might be another threat.\We should strengthen our surveillance.\He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right? response:	That's how we discovered that the Scub that came to this universe went back in time.
context: Mr. Thurston, what does that\Ao!\Do you like soccer?\That man who just appeared might be another threat.\We should strengthen our surveillance.\He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time. response:	It traveled from the distant future of this Earth to countless pasts.
context: Ao!\Do you like soccer?\That man who just appeared might be another threat.\We should strengthen our surveillance.\He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts. response:	The Quartz opened the door to parallel worlds.
context: Do you like soccer?\That man who just appeared might be another threat.\We should strengthen our surveillance.\He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds. response:	This world considered that as a danger, and as a result, Secrets emerged naturally.
context: That man who just appeared might be another threat.\We should strengthen our surveillance.\He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally. response:	the past of this planet.
context: We should strengthen our surveillance.\He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet. response:	However, the Secrets chased them through the holes in time that the Scub opened.
context: He's Ao's father and Eureka's husband.\Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened. response:	Thus came the history of Scub Bursts.
context: Eureka and the Gekko arrived here before, right?\That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts. response:	In the future, mankind became extinct due to Scub Bursts.
context: That's how we discovered that the Scub that came to this universe went back in time.\It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts. response:	Hence, the Secrets considered us enemies as well and attacked us.
context: It traveled from the distant future of this Earth to countless pasts.\The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us. response:	Don't let your guard down, Eureka!
context: The Quartz opened the door to parallel worlds.\This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka! response:	Renton?
context: This world considered that as a danger, and as a result, Secrets emerged naturally.\the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka!\Renton? response:	You should go to another time through the Scub's pillar of light!
context: the past of this planet.\However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka!\Renton?\You should go to another time through the Scub's pillar of light! response:	Somewhere with less trapar.
context: However, the Secrets chased them through the holes in time that the Scub opened.\Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka!\Renton?\You should go to another time through the Scub's pillar of light!\Somewhere with less trapar. response:	What are you going to do, Renton?
context: Thus came the history of Scub Bursts.\In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka!\Renton?\You should go to another time through the Scub's pillar of light!\Somewhere with less trapar.\What are you going to do, Renton? response:	I'll destroy all the Scub here. Otherwise...
context: In the future, mankind became extinct due to Scub Bursts.\Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka!\Renton?\You should go to another time through the Scub's pillar of light!\Somewhere with less trapar.\What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise... response:	I'm coming with you!
context: Hence, the Secrets considered us enemies as well and attacked us.\Don't let your guard down, Eureka!\Renton?\You should go to another time through the Scub's pillar of light!\Somewhere with less trapar.\What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise...\I'm coming with you! response:	I don't want to make you destroy Scub!
context: Don't let your guard down, Eureka!\Renton?\You should go to another time through the Scub's pillar of light!\Somewhere with less trapar.\What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise...\I'm coming with you!\I don't want to make you destroy Scub! response:	Go!
context: Renton?\You should go to another time through the Scub's pillar of light!\Somewhere with less trapar.\What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise...\I'm coming with you!\I don't want to make you destroy Scub!\Go! response:	Renton... Renton!
context: You should go to another time through the Scub's pillar of light!\Somewhere with less trapar.\What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise...\I'm coming with you!\I don't want to make you destroy Scub!\Go!\Renton... Renton! response:	Renton! Renton! Renton! Renton! Renton!
context: Somewhere with less trapar.\What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise...\I'm coming with you!\I don't want to make you destroy Scub!\Go!\Renton... Renton!\Renton! Renton! Renton! Renton! Renton! response:	RENTON!!!
context: What are you going to do, Renton?\I'll destroy all the Scub here. Otherwise...\I'm coming with you!\I don't want to make you destroy Scub!\Go!\Renton... Renton!\Renton! Renton! Renton! Renton! Renton!\RENTON!!! response:	In the distant past, Eureka gave birth to you and tried to protect you.
context: I'll destroy all the Scub here. Otherwise...\I'm coming with you!\I don't want to make you destroy Scub!\Go!\Renton... Renton!\Renton! Renton! Renton! Renton! Renton!\RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you. response:	Renton... I mean, Dad...
context: I'm coming with you!\I don't want to make you destroy Scub!\Go!\Renton... Renton!\Renton! Renton! Renton! Renton! Renton!\RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad... response:	Why are you trying so hard to destroy the Scub?
context: I don't want to make you destroy Scub!\Go!\Renton... Renton!\Renton! Renton! Renton! Renton! Renton!\RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub? response:	It's our responsibility as adults.
context: Go!\Renton... Renton!\Renton! Renton! Renton! Renton! Renton!\RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub?\It's our responsibility as adults. response:	Responsibility as adults?
context: Renton... Renton!\Renton! Renton! Renton! Renton! Renton!\RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub?\It's our responsibility as adults.\Responsibility as adults? response:	There was a time when we fought to protect the Scub Coral.
context: Renton! Renton! Renton! Renton! Renton!\RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub?\It's our responsibility as adults.\Responsibility as adults?\There was a time when we fought to protect the Scub Coral. response:	I see... Naru said Mom's the same as the Scub.
context: RENTON!!!\In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub?\It's our responsibility as adults.\Responsibility as adults?\There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub. response:	But then why?
context: In the distant past, Eureka gave birth to you and tried to protect you.\Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub?\It's our responsibility as adults.\Responsibility as adults?\There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub.\But then why? response:	It's because we protected it that this universe has to suffer from Scub Bursts.
context: Renton... I mean, Dad...\Why are you trying so hard to destroy the Scub?\It's our responsibility as adults.\Responsibility as adults?\There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub.\But then why?\It's because we protected it that this universe has to suffer from Scub Bursts. response:	That's why!
context: Why are you trying so hard to destroy the Scub?\It's our responsibility as adults.\Responsibility as adults?\There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub.\But then why?\It's because we protected it that this universe has to suffer from Scub Bursts.\That's why! response:	Ao!
context: It's our responsibility as adults.\Responsibility as adults?\There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub.\But then why?\It's because we protected it that this universe has to suffer from Scub Bursts.\That's why!\Ao! response:	Mr. Thurston!
context: Responsibility as adults?\There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub.\But then why?\It's because we protected it that this universe has to suffer from Scub Bursts.\That's why!\Ao!\Mr. Thurston! response:	Ao!
context: There was a time when we fought to protect the Scub Coral.\I see... Naru said Mom's the same as the Scub.\But then why?\It's because we protected it that this universe has to suffer from Scub Bursts.\That's why!\Ao!\Mr. Thurston!\Ao! response:	I'm going back!
context: I see... Naru said Mom's the same as the Scub.\But then why?\It's because we protected it that this universe has to suffer from Scub Bursts.\That's why!\Ao!\Mr. Thurston!\Ao!\I'm going back! response:	Back to ten thousand years in the future!
context: But then why?\It's because we protected it that this universe has to suffer from Scub Bursts.\That's why!\Ao!\Mr. Thurston!\Ao!\I'm going back!\Back to ten thousand years in the future! response:	Wait! Hey!
context: It's because we protected it that this universe has to suffer from Scub Bursts.\That's why!\Ao!\Mr. Thurston!\Ao!\I'm going back!\Back to ten thousand years in the future!\Wait! Hey! response:	Why? Are you going to abandon Mom?!
context: That's why!\Ao!\Mr. Thurston!\Ao!\I'm going back!\Back to ten thousand years in the future!\Wait! Hey!\Why? Are you going to abandon Mom?! response:	Gramps?
context: Ao!\Mr. Thurston!\Ao!\I'm going back!\Back to ten thousand years in the future!\Wait! Hey!\Why? Are you going to abandon Mom?!\Gramps? response:	Let's go, Nirvash!
context: Mr. Thurston!\Ao!\I'm going back!\Back to ten thousand years in the future!\Wait! Hey!\Why? Are you going to abandon Mom?!\Gramps?\Let's go, Nirvash! response:	Let's end all of this!
context: Ao!\I'm going back!\Back to ten thousand years in the future!\Wait! Hey!\Why? Are you going to abandon Mom?!\Gramps?\Let's go, Nirvash!\Let's end all of this! response:	Gramps, I must go after all.
context: I'm going back!\Back to ten thousand years in the future!\Wait! Hey!\Why? Are you going to abandon Mom?!\Gramps?\Let's go, Nirvash!\Let's end all of this!\Gramps, I must go after all. response:	What?
context: Back to ten thousand years in the future!\Wait! Hey!\Why? Are you going to abandon Mom?!\Gramps?\Let's go, Nirvash!\Let's end all of this!\Gramps, I must go after all.\What? response:	Because I still think Dad's wrong.
context: Wait! Hey!\Why? Are you going to abandon Mom?!\Gramps?\Let's go, Nirvash!\Let's end all of this!\Gramps, I must go after all.\What?\Because I still think Dad's wrong. response:	Ao...
context: Why? Are you going to abandon Mom?!\Gramps?\Let's go, Nirvash!\Let's end all of this!\Gramps, I must go after all.\What?\Because I still think Dad's wrong.\Ao... response:	You can fly well.
context: Gramps?\Let's go, Nirvash!\Let's end all of this!\Gramps, I must go after all.\What?\Because I still think Dad's wrong.\Ao...\You can fly well. response:	I'm sorry, Ao.
context: Let's go, Nirvash!\Let's end all of this!\Gramps, I must go after all.\What?\Because I still think Dad's wrong.\Ao...\You can fly well.\I'm sorry, Ao. response:	Don't apologize.
context: Let's end all of this!\Gramps, I must go after all.\What?\Because I still think Dad's wrong.\Ao...\You can fly well.\I'm sorry, Ao.\Don't apologize. response:	Adults shouldn't do stuff that they'd have to apologize to kids for!
context: Gramps, I must go after all.\What?\Because I still think Dad's wrong.\Ao...\You can fly well.\I'm sorry, Ao.\Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for! response:	I'll use the Gun.
context: What?\Because I still think Dad's wrong.\Ao...\You can fly well.\I'm sorry, Ao.\Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun. response:	I'll shoot the first Scub Coral in this universe with it.
context: Because I still think Dad's wrong.\Ao...\You can fly well.\I'm sorry, Ao.\Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it. response:	The Scub Coral will then be erased from all past and future.
context: Ao...\You can fly well.\I'm sorry, Ao.\Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future. response:	Ao, I want to return this universe to its correct form!
context: You can fly well.\I'm sorry, Ao.\Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form! response:	You can only fire it once!
context: I'm sorry, Ao.\Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form!\You can only fire it once! response:	What about Mom then?!
context: Don't apologize.\Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form!\You can only fire it once!\What about Mom then?! response:	Eureka's prepared for it as well.
context: Adults shouldn't do stuff that they'd have to apologize to kids for!\I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form!\You can only fire it once!\What about Mom then?!\Eureka's prepared for it as well. response:	God dammit! I can't lose them!
context: I'll use the Gun.\I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form!\You can only fire it once!\What about Mom then?!\Eureka's prepared for it as well.\God dammit! I can't lose them! response:	Are you ready, Ao?
context: I'll shoot the first Scub Coral in this universe with it.\The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form!\You can only fire it once!\What about Mom then?!\Eureka's prepared for it as well.\God dammit! I can't lose them!\Are you ready, Ao? response:	We're fighting back!
context: The Scub Coral will then be erased from all past and future.\Ao, I want to return this universe to its correct form!\You can only fire it once!\What about Mom then?!\Eureka's prepared for it as well.\God dammit! I can't lose them!\Are you ready, Ao?\We're fighting back! response:	That movement...
context: Ao, I want to return this universe to its correct form!\You can only fire it once!\What about Mom then?!\Eureka's prepared for it as well.\God dammit! I can't lose them!\Are you ready, Ao?\We're fighting back!\That movement... response:	No way! The Neo should have no Archetype!
context: You can only fire it once!\What about Mom then?!\Eureka's prepared for it as well.\God dammit! I can't lose them!\Are you ready, Ao?\We're fighting back!\That movement...\No way! The Neo should have no Archetype! response:	Good, Ao! Follow him!
context: What about Mom then?!\Eureka's prepared for it as well.\God dammit! I can't lose them!\Are you ready, Ao?\We're fighting back!\That movement...\No way! The Neo should have no Archetype!\Good, Ao! Follow him! response:	Why the hell am I hearing Truth's voice?!
context: Eureka's prepared for it as well.\God dammit! I can't lose them!\Are you ready, Ao?\We're fighting back!\That movement...\No way! The Neo should have no Archetype!\Good, Ao! Follow him!\Why the hell am I hearing Truth's voice?! response:	What are you talking about? I've been with you this entire time.
context: God dammit! I can't lose them!\Are you ready, Ao?\We're fighting back!\That movement...\No way! The Neo should have no Archetype!\Good, Ao! Follow him!\Why the hell am I hearing Truth's voice?!\What are you talking about? I've been with you this entire time. response:	We Archetypes wish to help LFO pilots that need us.
context: Are you ready, Ao?\We're fighting back!\That movement...\No way! The Neo should have no Archetype!\Good, Ao! Follow him!\Why the hell am I hearing Truth's voice?!\What are you talking about? I've been with you this entire time.\We Archetypes wish to help LFO pilots that need us. response:	I'm awaiting your orders, Ao.
context: We're fighting back!\That movement...\No way! The Neo should have no Archetype!\Good, Ao! Follow him!\Why the hell am I hearing Truth's voice?!\What are you talking about? I've been with you this entire time.\We Archetypes wish to help LFO pilots that need us.\I'm awaiting your orders, Ao. response:	An Archetype... I see.
context: That movement...\No way! The Neo should have no Archetype!\Good, Ao! Follow him!\Why the hell am I hearing Truth's voice?!\What are you talking about? I've been with you this entire time.\We Archetypes wish to help LFO pilots that need us.\I'm awaiting your orders, Ao.\An Archetype... I see. response:	Truth was once a Secret, but in this world changed by the Quartz Gun, he exists as an Archetype.
