context: I said, do whatever you like! response:	It's not like I like Koizumi or anything.
context: President Koizumi!\President...\Maity Love\The Maity club is... is disbanded now, right?\Right?\It's so awful that Maity-sensei has a fiancee!\Seriously?!\I see. response:	I wasn't trying to hide it or anything...
context: President...\Maity Love\The Maity club is... is disbanded now, right?\Right?\It's so awful that Maity-sensei has a fiancee!\Seriously?!\I see.\I wasn't trying to hide it or anything... response:	Everyone is really down about it.
context: Maity Love\The Maity club is... is disbanded now, right?\Right?\It's so awful that Maity-sensei has a fiancee!\Seriously?!\I see.\I wasn't trying to hide it or anything...\Everyone is really down about it. response:	It hasn't got you down, has it, Koizumi-san?
context: The Maity club is... is disbanded now, right?\Right?\It's so awful that Maity-sensei has a fiancee!\Seriously?!\I see.\I wasn't trying to hide it or anything...\Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san? response:	Well, no... uh... That's...
context: Right?\It's so awful that Maity-sensei has a fiancee!\Seriously?!\I see.\I wasn't trying to hide it or anything...\Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's... response:	Maity, get this.
context: It's so awful that Maity-sensei has a fiancee!\Seriously?!\I see.\I wasn't trying to hide it or anything...\Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's...\Maity, get this. response:	Risa says she and Otani-kun are back to being a comedy duo again.
context: Seriously?!\I see.\I wasn't trying to hide it or anything...\Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's...\Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again. response:	Say something to her.
context: I see.\I wasn't trying to hide it or anything...\Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's...\Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her. response:	What?
context: I wasn't trying to hide it or anything...\Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's...\Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her.\What? response:	What nothing.
context: Everyone is really down about it.\It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's...\Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her.\What?\What nothing. response:	Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?
context: It hasn't got you down, has it, Koizumi-san?\Well, no... uh... That's...\Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her.\What?\What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san? response:	Well, in any case, I'm glad that Otani-kun is better now.
context: Well, no... uh... That's...\Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her.\What?\What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now. response:	See you.
context: Maity, get this.\Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her.\What?\What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now.\See you. response:	My magic spell hasn't broken yet, Koizumi-san
context: Risa says she and Otani-kun are back to being a comedy duo again.\Say something to her.\What?\What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now.\See you.\My magic spell hasn't broken yet, Koizumi-san response:	Gather'round! Gather'round!
context: Say something to her.\What?\What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now.\See you.\My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round! response:	His ankle has healed, so he's in top form.
context: What?\What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now.\See you.\My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round!\His ankle has healed, so he's in top form. response:	And since his final basketball competition is coming up, he's trying even harder.
context: What nothing.\Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now.\See you.\My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round!\His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder. response:	But then again...
context: Despite what people might think, you're actually quite timid, aren't you, Koizumi-san?\Well, in any case, I'm glad that Otani-kun is better now.\See you.\My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round!\His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder.\But then again... response:	Just so you know, I'm the one Koizumi-san likes.
context: Well, in any case, I'm glad that Otani-kun is better now.\See you.\My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round!\His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder.\But then again...\Just so you know, I'm the one Koizumi-san likes. response:	There's no way she'd fall for someone like you.
context: See you.\My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round!\His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder.\But then again...\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you. response:	Don't tell me...
context: My magic spell hasn't broken yet, Koizumi-san\Gather'round! Gather'round!\His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder.\But then again...\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Don't tell me... response:	Risa, what's the matter?
context: Gather'round! Gather'round!\His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder.\But then again...\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Don't tell me...\Risa, what's the matter? response:	H-Hey!
context: His ankle has healed, so he's in top form.\And since his final basketball competition is coming up, he's trying even harder.\But then again...\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Don't tell me...\Risa, what's the matter?\H-Hey! response:	No good.
context: And since his final basketball competition is coming up, he's trying even harder.\But then again...\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Don't tell me...\Risa, what's the matter?\H-Hey!\No good. response:	This is no good!
context: But then again...\Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Don't tell me...\Risa, what's the matter?\H-Hey!\No good.\This is no good! response:	I'm not going to hold on to any inappropriate hope.
context: Just so you know, I'm the one Koizumi-san likes.\There's no way she'd fall for someone like you.\Don't tell me...\Risa, what's the matter?\H-Hey!\No good.\This is no good!\I'm not going to hold on to any inappropriate hope. response:	It's gonna go back to the way it was. Back to the way it was.
context: There's no way she'd fall for someone like you.\Don't tell me...\Risa, what's the matter?\H-Hey!\No good.\This is no good!\I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was. response:	So, Risa...
context: Don't tell me...\Risa, what's the matter?\H-Hey!\No good.\This is no good!\I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was.\So, Risa... response:	Whatever is...
context: Risa, what's the matter?\H-Hey!\No good.\This is no good!\I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was.\So, Risa...\Whatever is... response:	You're in the way.
context: H-Hey!\No good.\This is no good!\I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was.\So, Risa...\Whatever is...\You're in the way. response:	That hurt!
context: No good.\This is no good!\I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was.\So, Risa...\Whatever is...\You're in the way.\That hurt! response:	You didn't have to hit me!
context: This is no good!\I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was.\So, Risa...\Whatever is...\You're in the way.\That hurt!\You didn't have to hit me! response:	Yeah, yeah. Sorry'bout that.
context: I'm not going to hold on to any inappropriate hope.\It's gonna go back to the way it was. Back to the way it was.\So, Risa...\Whatever is...\You're in the way.\That hurt!\You didn't have to hit me!\Yeah, yeah. Sorry'bout that. response:	What the hell was that?!
context: It's gonna go back to the way it was. Back to the way it was.\So, Risa...\Whatever is...\You're in the way.\That hurt!\You didn't have to hit me!\Yeah, yeah. Sorry'bout that.\What the hell was that?! response:	Oh, I'm ever so sorry.
context: So, Risa...\Whatever is...\You're in the way.\That hurt!\You didn't have to hit me!\Yeah, yeah. Sorry'bout that.\What the hell was that?!\Oh, I'm ever so sorry. response:	My legs are just sooo long...
context: Whatever is...\You're in the way.\That hurt!\You didn't have to hit me!\Yeah, yeah. Sorry'bout that.\What the hell was that?!\Oh, I'm ever so sorry.\My legs are just sooo long... response:	You got a death wish?
context: You're in the way.\That hurt!\You didn't have to hit me!\Yeah, yeah. Sorry'bout that.\What the hell was that?!\Oh, I'm ever so sorry.\My legs are just sooo long...\You got a death wish? response:	I'm gonna get you!
context: That hurt!\You didn't have to hit me!\Yeah, yeah. Sorry'bout that.\What the hell was that?!\Oh, I'm ever so sorry.\My legs are just sooo long...\You got a death wish?\I'm gonna get you! response:	Stop right there!
context: You didn't have to hit me!\Yeah, yeah. Sorry'bout that.\What the hell was that?!\Oh, I'm ever so sorry.\My legs are just sooo long...\You got a death wish?\I'm gonna get you!\Stop right there! response:	I'm gonna get you!
context: Yeah, yeah. Sorry'bout that.\What the hell was that?!\Oh, I'm ever so sorry.\My legs are just sooo long...\You got a death wish?\I'm gonna get you!\Stop right there!\I'm gonna get you! response:	Risa, are you really fine with things going back to the way they were before?
context: What the hell was that?!\Oh, I'm ever so sorry.\My legs are just sooo long...\You got a death wish?\I'm gonna get you!\Stop right there!\I'm gonna get you!\Risa, are you really fine with things going back to the way they were before? response:	So the basketball competition is going to be this weekend?
context: Oh, I'm ever so sorry.\My legs are just sooo long...\You got a death wish?\I'm gonna get you!\Stop right there!\I'm gonna get you!\Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend? response:	I might come watch.
context: My legs are just sooo long...\You got a death wish?\I'm gonna get you!\Stop right there!\I'm gonna get you!\Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend?\I might come watch. response:	You must be bored, huh?
context: You got a death wish?\I'm gonna get you!\Stop right there!\I'm gonna get you!\Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend?\I might come watch.\You must be bored, huh? response:	Not really.
context: I'm gonna get you!\Stop right there!\I'm gonna get you!\Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend?\I might come watch.\You must be bored, huh?\Not really. response:	Ah! I'll bring that with me.
context: Stop right there!\I'm gonna get you!\Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend?\I might come watch.\You must be bored, huh?\Not really.\Ah! I'll bring that with me. response:	What?
context: I'm gonna get you!\Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend?\I might come watch.\You must be bored, huh?\Not really.\Ah! I'll bring that with me.\What? response:	You know... the kind of cute things that a manager would bring.
context: Risa, are you really fine with things going back to the way they were before?\So the basketball competition is going to be this weekend?\I might come watch.\You must be bored, huh?\Not really.\Ah! I'll bring that with me.\What?\You know... the kind of cute things that a manager would bring. response:	Lemons in soy sauce.
context: So the basketball competition is going to be this weekend?\I might come watch.\You must be bored, huh?\Not really.\Ah! I'll bring that with me.\What?\You know... the kind of cute things that a manager would bring.\Lemons in soy sauce. response:	What on earth would that taste like?
context: I might come watch.\You must be bored, huh?\Not really.\Ah! I'll bring that with me.\What?\You know... the kind of cute things that a manager would bring.\Lemons in soy sauce.\What on earth would that taste like? response:	That's not it?
context: You must be bored, huh?\Not really.\Ah! I'll bring that with me.\What?\You know... the kind of cute things that a manager would bring.\Lemons in soy sauce.\What on earth would that taste like?\That's not it? response:	Then, lemons in vinegar?
context: Not really.\Ah! I'll bring that with me.\What?\You know... the kind of cute things that a manager would bring.\Lemons in soy sauce.\What on earth would that taste like?\That's not it?\Then, lemons in vinegar? response:	How sour would that be?
context: Ah! I'll bring that with me.\What?\You know... the kind of cute things that a manager would bring.\Lemons in soy sauce.\What on earth would that taste like?\That's not it?\Then, lemons in vinegar?\How sour would that be? response:	Don't. Please don't.
context: What?\You know... the kind of cute things that a manager would bring.\Lemons in soy sauce.\What on earth would that taste like?\That's not it?\Then, lemons in vinegar?\How sour would that be?\Don't. Please don't. response:	What? But I want to cheer you on...
context: You know... the kind of cute things that a manager would bring.\Lemons in soy sauce.\What on earth would that taste like?\That's not it?\Then, lemons in vinegar?\How sour would that be?\Don't. Please don't.\What? But I want to cheer you on... response:	If I eat anything weird like that, I'll be sick.
context: Lemons in soy sauce.\What on earth would that taste like?\That's not it?\Then, lemons in vinegar?\How sour would that be?\Don't. Please don't.\What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick. response:	Fine, fine.
context: What on earth would that taste like?\That's not it?\Then, lemons in vinegar?\How sour would that be?\Don't. Please don't.\What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick.\Fine, fine. response:	Then I'll make it for Maity-sensei.
context: That's not it?\Then, lemons in vinegar?\How sour would that be?\Don't. Please don't.\What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick.\Fine, fine.\Then I'll make it for Maity-sensei. response:	You idiot. The coach will be back tomorrow.
context: Then, lemons in vinegar?\How sour would that be?\Don't. Please don't.\What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick.\Fine, fine.\Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow. response:	We won't need that guy any more.
context: How sour would that be?\Don't. Please don't.\What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick.\Fine, fine.\Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow.\We won't need that guy any more. response:	Serves him right.
context: Don't. Please don't.\What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick.\Fine, fine.\Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow.\We won't need that guy any more.\Serves him right. response:	Could it be he really is jealous?
context: What? But I want to cheer you on...\If I eat anything weird like that, I'll be sick.\Fine, fine.\Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow.\We won't need that guy any more.\Serves him right.\Could it be he really is jealous? response:	What are you doing, shaking your head like that?
context: If I eat anything weird like that, I'll be sick.\Fine, fine.\Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow.\We won't need that guy any more.\Serves him right.\Could it be he really is jealous?\What are you doing, shaking your head like that? response:	What are you, a dog?
context: Fine, fine.\Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow.\We won't need that guy any more.\Serves him right.\Could it be he really is jealous?\What are you doing, shaking your head like that?\What are you, a dog? response:	No, I'm not!
context: Then I'll make it for Maity-sensei.\You idiot. The coach will be back tomorrow.\We won't need that guy any more.\Serves him right.\Could it be he really is jealous?\What are you doing, shaking your head like that?\What are you, a dog?\No, I'm not! response:	Oww... That hurt!
context: You idiot. The coach will be back tomorrow.\We won't need that guy any more.\Serves him right.\Could it be he really is jealous?\What are you doing, shaking your head like that?\What are you, a dog?\No, I'm not!\Oww... That hurt! response:	Please dip the lemons in honey, okay?
context: We won't need that guy any more.\Serves him right.\Could it be he really is jealous?\What are you doing, shaking your head like that?\What are you, a dog?\No, I'm not!\Oww... That hurt!\Please dip the lemons in honey, okay? response:	Oh, so that's it. Honey, is it?
context: Serves him right.\Could it be he really is jealous?\What are you doing, shaking your head like that?\What are you, a dog?\No, I'm not!\Oww... That hurt!\Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it? response:	Yeah, yeah. Honey.
context: Could it be he really is jealous?\What are you doing, shaking your head like that?\What are you, a dog?\No, I'm not!\Oww... That hurt!\Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it?\Yeah, yeah. Honey. response:	Don't mess it up, okay?
context: What are you doing, shaking your head like that?\What are you, a dog?\No, I'm not!\Oww... That hurt!\Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it?\Yeah, yeah. Honey.\Don't mess it up, okay? response:	Back to the way it was, back to the way it was...
context: What are you, a dog?\No, I'm not!\Oww... That hurt!\Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it?\Yeah, yeah. Honey.\Don't mess it up, okay?\Back to the way it was, back to the way it was... response:	What was that?
context: No, I'm not!\Oww... That hurt!\Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it?\Yeah, yeah. Honey.\Don't mess it up, okay?\Back to the way it was, back to the way it was...\What was that? response:	Nothing.
context: Oww... That hurt!\Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it?\Yeah, yeah. Honey.\Don't mess it up, okay?\Back to the way it was, back to the way it was...\What was that?\Nothing. response:	What's up with you?
context: Please dip the lemons in honey, okay?\Oh, so that's it. Honey, is it?\Yeah, yeah. Honey.\Don't mess it up, okay?\Back to the way it was, back to the way it was...\What was that?\Nothing.\What's up with you? response:	Nothing at all.
context: Oh, so that's it. Honey, is it?\Yeah, yeah. Honey.\Don't mess it up, okay?\Back to the way it was, back to the way it was...\What was that?\Nothing.\What's up with you?\Nothing at all. response:	Honey-dipped lemons, huh?
context: Yeah, yeah. Honey.\Don't mess it up, okay?\Back to the way it was, back to the way it was...\What was that?\Nothing.\What's up with you?\Nothing at all.\Honey-dipped lemons, huh? response:	Bittersweet, isn't it?
context: Don't mess it up, okay?\Back to the way it was, back to the way it was...\What was that?\Nothing.\What's up with you?\Nothing at all.\Honey-dipped lemons, huh?\Bittersweet, isn't it? response:	Isn't it?
context: Back to the way it was, back to the way it was...\What was that?\Nothing.\What's up with you?\Nothing at all.\Honey-dipped lemons, huh?\Bittersweet, isn't it?\Isn't it? response:	Geez! Forget reviving the comedy duo... Just hurry up and get together!
context: What was that?\Nothing.\What's up with you?\Nothing at all.\Honey-dipped lemons, huh?\Bittersweet, isn't it?\Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together! response:	Yeah. If only Otani would make a move now...
context: Nothing.\What's up with you?\Nothing at all.\Honey-dipped lemons, huh?\Bittersweet, isn't it?\Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now... response:	Yeah...
context: What's up with you?\Nothing at all.\Honey-dipped lemons, huh?\Bittersweet, isn't it?\Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now...\Yeah... response:	In the end I guess it's Otani-kun who holds the key to all this.
context: Nothing at all.\Honey-dipped lemons, huh?\Bittersweet, isn't it?\Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now...\Yeah...\In the end I guess it's Otani-kun who holds the key to all this. response:	Darling, why don't you give him a push?
context: Honey-dipped lemons, huh?\Bittersweet, isn't it?\Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now...\Yeah...\In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push? response:	No, no. Let's just leave the youngsters to their own devices.
context: Bittersweet, isn't it?\Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now...\Yeah...\In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices. response:	If we leave these two alone,
context: Isn't it?\Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now...\Yeah...\In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone, response:	Too true...
context: Geez! Forget reviving the comedy duo... Just hurry up and get together!\Yeah. If only Otani would make a move now...\Yeah...\In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone,\Too true... response:	Indeed.
context: Yeah. If only Otani would make a move now...\Yeah...\In the end I guess it's Otani-kun who holds the key to all this.\Darling, why don't you give him a push?\No, no. Let's just leave the youngsters to their own devices.\If we leave these two alone,\Too true...\Indeed. response:	Push him down...
