context: Blue Castle Academy response:	I was so concerned about the start of school,
context: She vanished, right in the middle of P.E.\Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking.\She's really cute but...\What the hell?\Creepy...\Hey!\I'm twice as bad, so why aren't you talking about... response:	Watanuki, shut up.
context: Yeah, she just disappeared during the marathon.\I mean, it's like you can never guess what she's thinking.\She's really cute but...\What the hell?\Creepy...\Hey!\I'm twice as bad, so why aren't you talking about...\Watanuki, shut up. response:	Time to eat.
context: I mean, it's like you can never guess what she's thinking.\She's really cute but...\What the hell?\Creepy...\Hey!\I'm twice as bad, so why aren't you talking about...\Watanuki, shut up.\Time to eat. response:	And now she just starts eating lunch.
context: She's really cute but...\What the hell?\Creepy...\Hey!\I'm twice as bad, so why aren't you talking about...\Watanuki, shut up.\Time to eat.\And now she just starts eating lunch. response:	She's unbelievable...
context: What the hell?\Creepy...\Hey!\I'm twice as bad, so why aren't you talking about...\Watanuki, shut up.\Time to eat.\And now she just starts eating lunch.\She's unbelievable... response:	I'm leaving now.
context: Creepy...\Hey!\I'm twice as bad, so why aren't you talking about...\Watanuki, shut up.\Time to eat.\And now she just starts eating lunch.\She's unbelievable...\I'm leaving now. response:	Here you go.
context: Hey!\I'm twice as bad, so why aren't you talking about...\Watanuki, shut up.\Time to eat.\And now she just starts eating lunch.\She's unbelievable...\I'm leaving now.\Here you go. response:	You don't have any money?
context: I'm twice as bad, so why aren't you talking about...\Watanuki, shut up.\Time to eat.\And now she just starts eating lunch.\She's unbelievable...\I'm leaving now.\Here you go.\You don't have any money? response:	Then you were quite foolish to eat your lunch early.
context: Watanuki, shut up.\Time to eat.\And now she just starts eating lunch.\She's unbelievable...\I'm leaving now.\Here you go.\You don't have any money?\Then you were quite foolish to eat your lunch early. response:	Red Bean Bun
context: Time to eat.\And now she just starts eating lunch.\She's unbelievable...\I'm leaving now.\Here you go.\You don't have any money?\Then you were quite foolish to eat your lunch early.\Red Bean Bun response:	Want this?
context: And now she just starts eating lunch.\She's unbelievable...\I'm leaving now.\Here you go.\You don't have any money?\Then you were quite foolish to eat your lunch early.\Red Bean Bun\Want this? response:	My stomach doesn't feel so great right now.
context: She's unbelievable...\I'm leaving now.\Here you go.\You don't have any money?\Then you were quite foolish to eat your lunch early.\Red Bean Bun\Want this?\My stomach doesn't feel so great right now. response:	You're giving it to me?
context: I'm leaving now.\Here you go.\You don't have any money?\Then you were quite foolish to eat your lunch early.\Red Bean Bun\Want this?\My stomach doesn't feel so great right now.\You're giving it to me? response:	If you'd like, I have some soy milk, too.
context: Here you go.\You don't have any money?\Then you were quite foolish to eat your lunch early.\Red Bean Bun\Want this?\My stomach doesn't feel so great right now.\You're giving it to me?\If you'd like, I have some soy milk, too. response:	I love you.
context: You don't have any money?\Then you were quite foolish to eat your lunch early.\Red Bean Bun\Want this?\My stomach doesn't feel so great right now.\You're giving it to me?\If you'd like, I have some soy milk, too.\I love you. response:	I've thought you were nice
context: Then you were quite foolish to eat your lunch early.\Red Bean Bun\Want this?\My stomach doesn't feel so great right now.\You're giving it to me?\If you'd like, I have some soy milk, too.\I love you.\I've thought you were nice response:	ever since I met you.
context: Red Bean Bun\Want this?\My stomach doesn't feel so great right now.\You're giving it to me?\If you'd like, I have some soy milk, too.\I love you.\I've thought you were nice\ever since I met you. response:	She just said she loves me!
context: Want this?\My stomach doesn't feel so great right now.\You're giving it to me?\If you'd like, I have some soy milk, too.\I love you.\I've thought you were nice\ever since I met you.\She just said she loves me! response:	S-Stop lying...
context: My stomach doesn't feel so great right now.\You're giving it to me?\If you'd like, I have some soy milk, too.\I love you.\I've thought you were nice\ever since I met you.\She just said she loves me!\S-Stop lying... response:	You're just saying that because I gave you some food.
context: You're giving it to me?\If you'd like, I have some soy milk, too.\I love you.\I've thought you were nice\ever since I met you.\She just said she loves me!\S-Stop lying...\You're just saying that because I gave you some food. response:	No...
context: If you'd like, I have some soy milk, too.\I love you.\I've thought you were nice\ever since I met you.\She just said she loves me!\S-Stop lying...\You're just saying that because I gave you some food.\No... response:	My sixth sense told me so.
context: I love you.\I've thought you were nice\ever since I met you.\She just said she loves me!\S-Stop lying...\You're just saying that because I gave you some food.\No...\My sixth sense told me so. response:	Y-Yeah, right...
context: I've thought you were nice\ever since I met you.\She just said she loves me!\S-Stop lying...\You're just saying that because I gave you some food.\No...\My sixth sense told me so.\Y-Yeah, right... response:	Or maybe my five senses?
context: ever since I met you.\She just said she loves me!\S-Stop lying...\You're just saying that because I gave you some food.\No...\My sixth sense told me so.\Y-Yeah, right...\Or maybe my five senses? response:	You're just making this up as you go along.
context: She just said she loves me!\S-Stop lying...\You're just saying that because I gave you some food.\No...\My sixth sense told me so.\Y-Yeah, right...\Or maybe my five senses?\You're just making this up as you go along. response:	Well...
context: S-Stop lying...\You're just saying that because I gave you some food.\No...\My sixth sense told me so.\Y-Yeah, right...\Or maybe my five senses?\You're just making this up as you go along.\Well... response:	You really should interact more with others.
context: You're just saying that because I gave you some food.\No...\My sixth sense told me so.\Y-Yeah, right...\Or maybe my five senses?\You're just making this up as you go along.\Well...\You really should interact more with others. response:	But I don't know how I'm supposed to that.
context: No...\My sixth sense told me so.\Y-Yeah, right...\Or maybe my five senses?\You're just making this up as you go along.\Well...\You really should interact more with others.\But I don't know how I'm supposed to that. response:	That's so funny!
context: My sixth sense told me so.\Y-Yeah, right...\Or maybe my five senses?\You're just making this up as you go along.\Well...\You really should interact more with others.\But I don't know how I'm supposed to that.\That's so funny! response:	But why are they rabbit ears?
context: Y-Yeah, right...\Or maybe my five senses?\You're just making this up as you go along.\Well...\You really should interact more with others.\But I don't know how I'm supposed to that.\That's so funny!\But why are they rabbit ears? response:	Rabbit ears?
context: Or maybe my five senses?\You're just making this up as you go along.\Well...\You really should interact more with others.\But I don't know how I'm supposed to that.\That's so funny!\But why are they rabbit ears?\Rabbit ears? response:	Because life is just one big game!
context: You're just making this up as you go along.\Well...\You really should interact more with others.\But I don't know how I'm supposed to that.\That's so funny!\But why are they rabbit ears?\Rabbit ears?\Because life is just one big game! response:	What's that supposed to mean?
context: Well...\You really should interact more with others.\But I don't know how I'm supposed to that.\That's so funny!\But why are they rabbit ears?\Rabbit ears?\Because life is just one big game!\What's that supposed to mean? response:	I'm a mysterious sprite, you know.
context: You really should interact more with others.\But I don't know how I'm supposed to that.\That's so funny!\But why are they rabbit ears?\Rabbit ears?\Because life is just one big game!\What's that supposed to mean?\I'm a mysterious sprite, you know. response:	Hey, Chiyo!
context: But I don't know how I'm supposed to that.\That's so funny!\But why are they rabbit ears?\Rabbit ears?\Because life is just one big game!\What's that supposed to mean?\I'm a mysterious sprite, you know.\Hey, Chiyo! response:	Haven't seen you since this morning.
context: That's so funny!\But why are they rabbit ears?\Rabbit ears?\Because life is just one big game!\What's that supposed to mean?\I'm a mysterious sprite, you know.\Hey, Chiyo!\Haven't seen you since this morning. response:	You know her?
context: But why are they rabbit ears?\Rabbit ears?\Because life is just one big game!\What's that supposed to mean?\I'm a mysterious sprite, you know.\Hey, Chiyo!\Haven't seen you since this morning.\You know her? response:	I can't reveal the nature of our relationship...
context: Rabbit ears?\Because life is just one big game!\What's that supposed to mean?\I'm a mysterious sprite, you know.\Hey, Chiyo!\Haven't seen you since this morning.\You know her?\I can't reveal the nature of our relationship... response:	That sounds shady.
context: Because life is just one big game!\What's that supposed to mean?\I'm a mysterious sprite, you know.\Hey, Chiyo!\Haven't seen you since this morning.\You know her?\I can't reveal the nature of our relationship...\That sounds shady. response:	What are you doing?
context: What's that supposed to mean?\I'm a mysterious sprite, you know.\Hey, Chiyo!\Haven't seen you since this morning.\You know her?\I can't reveal the nature of our relationship...\That sounds shady.\What are you doing? response:	Whatever do you mean?
context: I'm a mysterious sprite, you know.\Hey, Chiyo!\Haven't seen you since this morning.\You know her?\I can't reveal the nature of our relationship...\That sounds shady.\What are you doing?\Whatever do you mean? response:	All I ever try to do is enjoy life.
context: Hey, Chiyo!\Haven't seen you since this morning.\You know her?\I can't reveal the nature of our relationship...\That sounds shady.\What are you doing?\Whatever do you mean?\All I ever try to do is enjoy life. response:	That's all...
context: Haven't seen you since this morning.\You know her?\I can't reveal the nature of our relationship...\That sounds shady.\What are you doing?\Whatever do you mean?\All I ever try to do is enjoy life.\That's all... response:	He's so funny!
context: You know her?\I can't reveal the nature of our relationship...\That sounds shady.\What are you doing?\Whatever do you mean?\All I ever try to do is enjoy life.\That's all...\He's so funny! response:	I see.
context: I can't reveal the nature of our relationship...\That sounds shady.\What are you doing?\Whatever do you mean?\All I ever try to do is enjoy life.\That's all...\He's so funny!\I see. response:	Goodbye.
context: That sounds shady.\What are you doing?\Whatever do you mean?\All I ever try to do is enjoy life.\That's all...\He's so funny!\I see.\Goodbye. response:	Wait up, Chiyo...
context: What are you doing?\Whatever do you mean?\All I ever try to do is enjoy life.\That's all...\He's so funny!\I see.\Goodbye.\Wait up, Chiyo... response:	He was funny, right?
context: Whatever do you mean?\All I ever try to do is enjoy life.\That's all...\He's so funny!\I see.\Goodbye.\Wait up, Chiyo...\He was funny, right? response:	Wait for me.
context: All I ever try to do is enjoy life.\That's all...\He's so funny!\I see.\Goodbye.\Wait up, Chiyo...\He was funny, right?\Wait for me. response:	A white silk base, with an elaborate and intricate lace trim.
context: That's all...\He's so funny!\I see.\Goodbye.\Wait up, Chiyo...\He was funny, right?\Wait for me.\A white silk base, with an elaborate and intricate lace trim. response:	All rounded up with a ribbon!
context: He's so funny!\I see.\Goodbye.\Wait up, Chiyo...\He was funny, right?\Wait for me.\A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon! response:	How
context: I see.\Goodbye.\Wait up, Chiyo...\He was funny, right?\Wait for me.\A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon!\How response:	What I love about lace is how it really is an art form...
context: Goodbye.\Wait up, Chiyo...\He was funny, right?\Wait for me.\A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon!\How\What I love about lace is how it really is an art form... response:	What do you want?
context: Wait up, Chiyo...\He was funny, right?\Wait for me.\A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon!\How\What I love about lace is how it really is an art form...\What do you want? response:	It appears Watanuki got into a fight, and he's in the nurse's office now.
context: He was funny, right?\Wait for me.\A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon!\How\What I love about lace is how it really is an art form...\What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now. response:	Could you show me where that is?
context: Wait for me.\A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon!\How\What I love about lace is how it really is an art form...\What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is? response:	Wh-Why didn't you say that in the first place?!
context: A white silk base, with an elaborate and intricate lace trim.\All rounded up with a ribbon!\How\What I love about lace is how it really is an art form...\What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is?\Wh-Why didn't you say that in the first place?! response:	You're all torn up...
context: All rounded up with a ribbon!\How\What I love about lace is how it really is an art form...\What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is?\Wh-Why didn't you say that in the first place?!\You're all torn up... response:	Whatever.
context: How\What I love about lace is how it really is an art form...\What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is?\Wh-Why didn't you say that in the first place?!\You're all torn up...\Whatever. response:	A delinquent's bruises are his medals.
context: What I love about lace is how it really is an art form...\What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is?\Wh-Why didn't you say that in the first place?!\You're all torn up...\Whatever.\A delinquent's bruises are his medals. response:	You seem to have a monopoly on that distinction.
context: What do you want?\It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is?\Wh-Why didn't you say that in the first place?!\You're all torn up...\Whatever.\A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction. response:	So, what happened?
context: It appears Watanuki got into a fight, and he's in the nurse's office now.\Could you show me where that is?\Wh-Why didn't you say that in the first place?!\You're all torn up...\Whatever.\A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction.\So, what happened? response:	Chiyo,
context: Could you show me where that is?\Wh-Why didn't you say that in the first place?!\You're all torn up...\Whatever.\A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction.\So, what happened?\Chiyo, response:	do you know when Watanuki stopped wearing tighty-whities?
context: Wh-Why didn't you say that in the first place?!\You're all torn up...\Whatever.\A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction.\So, what happened?\Chiyo,\do you know when Watanuki stopped wearing tighty-whities? response:	It actually wasn't that long...
context: You're all torn up...\Whatever.\A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction.\So, what happened?\Chiyo,\do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long... response:	All right, I'll talk!
context: Whatever.\A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction.\So, what happened?\Chiyo,\do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long...\All right, I'll talk! response:	They were calling Karuta weird.
context: A delinquent's bruises are his medals.\You seem to have a monopoly on that distinction.\So, what happened?\Chiyo,\do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long...\All right, I'll talk!\They were calling Karuta weird. response:	Maybe she walks around in her own world, but so what?
context: You seem to have a monopoly on that distinction.\So, what happened?\Chiyo,\do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long...\All right, I'll talk!\They were calling Karuta weird.\Maybe she walks around in her own world, but so what? response:	She's still aware of what's going on around her.
context: So, what happened?\Chiyo,\do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long...\All right, I'll talk!\They were calling Karuta weird.\Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her. response:	She isn't just thinking... It's something deeper.
context: Chiyo,\do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long...\All right, I'll talk!\They were calling Karuta weird.\Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her.\She isn't just thinking... It's something deeper. response:	She probably knows instinctively what's right...
context: do you know when Watanuki stopped wearing tighty-whities?\It actually wasn't that long...\All right, I'll talk!\They were calling Karuta weird.\Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her.\She isn't just thinking... It's something deeper.\She probably knows instinctively what's right... response:	That's it. She's like a jungle hero.
context: It actually wasn't that long...\All right, I'll talk!\They were calling Karuta weird.\Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her.\She isn't just thinking... It's something deeper.\She probably knows instinctively what's right...\That's it. She's like a jungle hero. response:	She's like Tarzan.
context: All right, I'll talk!\They were calling Karuta weird.\Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her.\She isn't just thinking... It's something deeper.\She probably knows instinctively what's right...\That's it. She's like a jungle hero.\She's like Tarzan. response:	Stop laughing!
context: They were calling Karuta weird.\Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her.\She isn't just thinking... It's something deeper.\She probably knows instinctively what's right...\That's it. She's like a jungle hero.\She's like Tarzan.\Stop laughing! response:	Watanuki.
context: Maybe she walks around in her own world, but so what?\She's still aware of what's going on around her.\She isn't just thinking... It's something deeper.\She probably knows instinctively what's right...\That's it. She's like a jungle hero.\She's like Tarzan.\Stop laughing!\Watanuki. response:	Karuta...
context: She's still aware of what's going on around her.\She isn't just thinking... It's something deeper.\She probably knows instinctively what's right...\That's it. She's like a jungle hero.\She's like Tarzan.\Stop laughing!\Watanuki.\Karuta... response:	Shall we leave them alone?
context: She isn't just thinking... It's something deeper.\She probably knows instinctively what's right...\That's it. She's like a jungle hero.\She's like Tarzan.\Stop laughing!\Watanuki.\Karuta...\Shall we leave them alone? response:	You're right.
context: She probably knows instinctively what's right...\That's it. She's like a jungle hero.\She's like Tarzan.\Stop laughing!\Watanuki.\Karuta...\Shall we leave them alone?\You're right. response:	Are you all right?
context: That's it. She's like a jungle hero.\She's like Tarzan.\Stop laughing!\Watanuki.\Karuta...\Shall we leave them alone?\You're right.\Are you all right? response:	They're really good friends, huh?
context: She's like Tarzan.\Stop laughing!\Watanuki.\Karuta...\Shall we leave them alone?\You're right.\Are you all right?\They're really good friends, huh? response:	Well, they've known each other since childhood.
context: Stop laughing!\Watanuki.\Karuta...\Shall we leave them alone?\You're right.\Are you all right?\They're really good friends, huh?\Well, they've known each other since childhood. response:	More than friends, but not quite lovers.
context: Watanuki.\Karuta...\Shall we leave them alone?\You're right.\Are you all right?\They're really good friends, huh?\Well, they've known each other since childhood.\More than friends, but not quite lovers. response:	A truly beautiful tale...
context: Karuta...\Shall we leave them alone?\You're right.\Are you all right?\They're really good friends, huh?\Well, they've known each other since childhood.\More than friends, but not quite lovers.\A truly beautiful tale... response:	Don't invade people's privacy that way.
context: Shall we leave them alone?\You're right.\Are you all right?\They're really good friends, huh?\Well, they've known each other since childhood.\More than friends, but not quite lovers.\A truly beautiful tale...\Don't invade people's privacy that way. response:	Once upon a time, in a land far, far away,
context: You're right.\Are you all right?\They're really good friends, huh?\Well, they've known each other since childhood.\More than friends, but not quite lovers.\A truly beautiful tale...\Don't invade people's privacy that way.\Once upon a time, in a land far, far away, response:	some people mingled with supernatural creatures.
context: Are you all right?\They're really good friends, huh?\Well, they've known each other since childhood.\More than friends, but not quite lovers.\A truly beautiful tale...\Don't invade people's privacy that way.\Once upon a time, in a land far, far away,\some people mingled with supernatural creatures. response:	The families descended from them were mysteriously prosperous.
context: They're really good friends, huh?\Well, they've known each other since childhood.\More than friends, but not quite lovers.\A truly beautiful tale...\Don't invade people's privacy that way.\Once upon a time, in a land far, far away,\some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous. response:	Among them were some individuals in whom the blood of
context: Well, they've known each other since childhood.\More than friends, but not quite lovers.\A truly beautiful tale...\Don't invade people's privacy that way.\Once upon a time, in a land far, far away,\some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of response:	the creatures ran particularly strong. They are known as throwbacks.
context: More than friends, but not quite lovers.\A truly beautiful tale...\Don't invade people's privacy that way.\Once upon a time, in a land far, far away,\some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks. response:	And that's who we are.
context: A truly beautiful tale...\Don't invade people's privacy that way.\Once upon a time, in a land far, far away,\some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks.\And that's who we are. response:	We were born on the exact day, at the exact same time,
context: Don't invade people's privacy that way.\Once upon a time, in a land far, far away,\some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks.\And that's who we are.\We were born on the exact day, at the exact same time, response:	and with the exact same personalities as our ancestors.
context: Once upon a time, in a land far, far away,\some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks.\And that's who we are.\We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors. response:	It's like we've also inherited
context: some people mingled with supernatural creatures.\The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks.\And that's who we are.\We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors.\It's like we've also inherited response:	The Fate
context: The families descended from them were mysteriously prosperous.\Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks.\And that's who we are.\We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors.\It's like we've also inherited\The Fate response:	Ancestor
context: Among them were some individuals in whom the blood of\the creatures ran particularly strong. They are known as throwbacks.\And that's who we are.\We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors.\It's like we've also inherited\The Fate\Ancestor response:	their memories, and are mysteriously bound to their same fate.
context: the creatures ran particularly strong. They are known as throwbacks.\And that's who we are.\We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors.\It's like we've also inherited\The Fate\Ancestor\their memories, and are mysteriously bound to their same fate. response:	Throwback
context: And that's who we are.\We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors.\It's like we've also inherited\The Fate\Ancestor\their memories, and are mysteriously bound to their same fate.\Throwback response:	These children were regarded as the second coming of the ancestors,
context: We were born on the exact day, at the exact same time,\and with the exact same personalities as our ancestors.\It's like we've also inherited\The Fate\Ancestor\their memories, and are mysteriously bound to their same fate.\Throwback\These children were regarded as the second coming of the ancestors, response:	and were raised by the whole house.
context: and with the exact same personalities as our ancestors.\It's like we've also inherited\The Fate\Ancestor\their memories, and are mysteriously bound to their same fate.\Throwback\These children were regarded as the second coming of the ancestors,\and were raised by the whole house. response:	That is to say,
context: It's like we've also inherited\The Fate\Ancestor\their memories, and are mysteriously bound to their same fate.\Throwback\These children were regarded as the second coming of the ancestors,\and were raised by the whole house.\That is to say, response:	essentially, the parents did not factor into their upbringing.
context: The Fate\Ancestor\their memories, and are mysteriously bound to their same fate.\Throwback\These children were regarded as the second coming of the ancestors,\and were raised by the whole house.\That is to say,\essentially, the parents did not factor into their upbringing. response:	The parents were just a womb.
context: Ancestor\their memories, and are mysteriously bound to their same fate.\Throwback\These children were regarded as the second coming of the ancestors,\and were raised by the whole house.\That is to say,\essentially, the parents did not factor into their upbringing.\The parents were just a womb. response:	Having never experienced the concept of family,
context: their memories, and are mysteriously bound to their same fate.\Throwback\These children were regarded as the second coming of the ancestors,\and were raised by the whole house.\That is to say,\essentially, the parents did not factor into their upbringing.\The parents were just a womb.\Having never experienced the concept of family, response:	it's natural that we should be lonely. Waa! Waa!
context: Throwback\These children were regarded as the second coming of the ancestors,\and were raised by the whole house.\That is to say,\essentially, the parents did not factor into their upbringing.\The parents were just a womb.\Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa! response:	Why remind me again?
context: These children were regarded as the second coming of the ancestors,\and were raised by the whole house.\That is to say,\essentially, the parents did not factor into their upbringing.\The parents were just a womb.\Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa!\Why remind me again? response:	Because the story is about two people needing each other and becoming close.
context: and were raised by the whole house.\That is to say,\essentially, the parents did not factor into their upbringing.\The parents were just a womb.\Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa!\Why remind me again?\Because the story is about two people needing each other and becoming close. response:	It doesn't matter if they're good or bad.
context: That is to say,\essentially, the parents did not factor into their upbringing.\The parents were just a womb.\Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa!\Why remind me again?\Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad. response:	You need relationships with others to survive.
context: essentially, the parents did not factor into their upbringing.\The parents were just a womb.\Having never experienced the concept of family,\it's natural that we should be lonely. Waa! Waa!\Why remind me again?\Because the story is about two people needing each other and becoming close.\It doesn't matter if they're good or bad.\You need relationships with others to survive. response:	That means you, too, Chiyo!
