context: Kyousuke! response:	Could you go out shopping for me?
context: Hey, stop tha\Come here for a second.\Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross!\There's no ulterior motive!\I wasn't trying to sneak her in or anything!\I just brought here to make lunch! response:	I wonder about that.
context: Come here for a second.\Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross!\There's no ulterior motive!\I wasn't trying to sneak her in or anything!\I just brought here to make lunch!\I wonder about that. response:	And even if it weren't just for lunch, that'd have nothing to do with you.
context: Wait!\What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross!\There's no ulterior motive!\I wasn't trying to sneak her in or anything!\I just brought here to make lunch!\I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you. response:	You bring your friends here all the time, too.
context: What do you think you're doing, bringing a girl over when Mom and Dad aren't home?\That's so gross!\There's no ulterior motive!\I wasn't trying to sneak her in or anything!\I just brought here to make lunch!\I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too. response:	I don't want to hear that from you.
context: That's so gross!\There's no ulterior motive!\I wasn't trying to sneak her in or anything!\I just brought here to make lunch!\I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too.\I don't want to hear that from you. response:	So you're saying if I brought over a boyfriend,
context: There's no ulterior motive!\I wasn't trying to sneak her in or anything!\I just brought here to make lunch!\I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too.\I don't want to hear that from you.\So you're saying if I brought over a boyfriend, response:	and h-h-had s-sex in the living room...
context: I wasn't trying to sneak her in or anything!\I just brought here to make lunch!\I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too.\I don't want to hear that from you.\So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room... response:	y-you'd be okay with it?
context: I just brought here to make lunch!\I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too.\I don't want to hear that from you.\So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room...\y-you'd be okay with it? response:	How'd it turn into that?!
context: I wonder about that.\And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too.\I don't want to hear that from you.\So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room...\y-you'd be okay with it?\How'd it turn into that?! response:	We're not doing anything like that!
context: And even if it weren't just for lunch, that'd have nothing to do with you.\You bring your friends here all the time, too.\I don't want to hear that from you.\So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room...\y-you'd be okay with it?\How'd it turn into that?!\We're not doing anything like that! response:	That's a totally different ballpark!
context: You bring your friends here all the time, too.\I don't want to hear that from you.\So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room...\y-you'd be okay with it?\How'd it turn into that?!\We're not doing anything like that!\That's a totally different ballpark! response:	Um...
context: I don't want to hear that from you.\So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room...\y-you'd be okay with it?\How'd it turn into that?!\We're not doing anything like that!\That's a totally different ballpark!\Um... response:	You shouldn't fight...
context: So you're saying if I brought over a boyfriend,\and h-h-had s-sex in the living room...\y-you'd be okay with it?\How'd it turn into that?!\We're not doing anything like that!\That's a totally different ballpark!\Um...\You shouldn't fight... response:	I'm sorry for showing up so suddenly, Kirino-chan.
context: and h-h-had s-sex in the living room...\y-you'd be okay with it?\How'd it turn into that?!\We're not doing anything like that!\That's a totally different ballpark!\Um...\You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan. response:	I heard your Mom wasn't going to be home,
context: y-you'd be okay with it?\How'd it turn into that?!\We're not doing anything like that!\That's a totally different ballpark!\Um...\You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home, response:	so I thought I might help out a bit with cooking and cleaning.
context: How'd it turn into that?!\We're not doing anything like that!\That's a totally different ballpark!\Um...\You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning. response:	I'll go home right after!
context: We're not doing anything like that!\That's a totally different ballpark!\Um...\You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning.\I'll go home right after! response:	No good?
context: That's a totally different ballpark!\Um...\You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning.\I'll go home right after!\No good? response:	I wonder.
context: Um...\You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning.\I'll go home right after!\No good?\I wonder. response:	In that case, clean up the living room before you make lunch.
context: You shouldn't fight...\I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning.\I'll go home right after!\No good?\I wonder.\In that case, clean up the living room before you make lunch. response:	Hey, what do you think you're doing?!
context: I'm sorry for showing up so suddenly, Kirino-chan.\I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning.\I'll go home right after!\No good?\I wonder.\In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?! response:	Please leave it to me!
context: I heard your Mom wasn't going to be home,\so I thought I might help out a bit with cooking and cleaning.\I'll go home right after!\No good?\I wonder.\In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?!\Please leave it to me! response:	Huh?
context: so I thought I might help out a bit with cooking and cleaning.\I'll go home right after!\No good?\I wonder.\In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?!\Please leave it to me!\Huh? response:	This looks amazing!
context: I'll go home right after!\No good?\I wonder.\In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?!\Please leave it to me!\Huh?\This looks amazing! response:	I didn't know how far I could go, so I couldn't get every corner...
context: No good?\I wonder.\In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?!\Please leave it to me!\Huh?\This looks amazing!\I didn't know how far I could go, so I couldn't get every corner... response:	No, this is more than enough!
context: I wonder.\In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?!\Please leave it to me!\Huh?\This looks amazing!\I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough! response:	I'll make some tea, so have a seat.
context: In that case, clean up the living room before you make lunch.\Hey, what do you think you're doing?!\Please leave it to me!\Huh?\This looks amazing!\I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough!\I'll make some tea, so have a seat. response:	Okay! Thanks!
context: Hey, what do you think you're doing?!\Please leave it to me!\Huh?\This looks amazing!\I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough!\I'll make some tea, so have a seat.\Okay! Thanks! response:	Kirino-chan!
context: Please leave it to me!\Huh?\This looks amazing!\I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough!\I'll make some tea, so have a seat.\Okay! Thanks!\Kirino-chan! response:	We're taking a break after finishing cleaning.
context: Huh?\This looks amazing!\I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough!\I'll make some tea, so have a seat.\Okay! Thanks!\Kirino-chan!\We're taking a break after finishing cleaning. response:	Would you like to join us?
context: This looks amazing!\I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough!\I'll make some tea, so have a seat.\Okay! Thanks!\Kirino-chan!\We're taking a break after finishing cleaning.\Would you like to join us? response:	So this is the best you can do?
context: I didn't know how far I could go, so I couldn't get every corner...\No, this is more than enough!\I'll make some tea, so have a seat.\Okay! Thanks!\Kirino-chan!\We're taking a break after finishing cleaning.\Would you like to join us?\So this is the best you can do? response:	What are you, some mother-in-law?!
context: No, this is more than enough!\I'll make some tea, so have a seat.\Okay! Thanks!\Kirino-chan!\We're taking a break after finishing cleaning.\Would you like to join us?\So this is the best you can do?\What are you, some mother-in-law?! response:	Also, you've cleaned everything up so much that I don't know where anything is anymore!
context: I'll make some tea, so have a seat.\Okay! Thanks!\Kirino-chan!\We're taking a break after finishing cleaning.\Would you like to join us?\So this is the best you can do?\What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore! response:	It looked messy before, but I knew exactly where I put everything.
context: Okay! Thanks!\Kirino-chan!\We're taking a break after finishing cleaning.\Would you like to join us?\So this is the best you can do?\What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything. response:	You overdid it.
context: Kirino-chan!\We're taking a break after finishing cleaning.\Would you like to join us?\So this is the best you can do?\What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything.\You overdid it. response:	I'm so sorry!
context: We're taking a break after finishing cleaning.\Would you like to join us?\So this is the best you can do?\What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything.\You overdid it.\I'm so sorry! response:	Where are my fashion magazines?
context: Would you like to join us?\So this is the best you can do?\What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything.\You overdid it.\I'm so sorry!\Where are my fashion magazines? response:	I left them here so I could find them easily.
context: So this is the best you can do?\What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything.\You overdid it.\I'm so sorry!\Where are my fashion magazines?\I left them here so I could find them easily. response:	They're right here!
context: What are you, some mother-in-law?!\Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything.\You overdid it.\I'm so sorry!\Where are my fashion magazines?\I left them here so I could find them easily.\They're right here! response:	Oh, I see...
context: Also, you've cleaned everything up so much that I don't know where anything is anymore!\It looked messy before, but I knew exactly where I put everything.\You overdid it.\I'm so sorry!\Where are my fashion magazines?\I left them here so I could find them easily.\They're right here!\Oh, I see... response:	What about the pedicure box I left here?
context: It looked messy before, but I knew exactly where I put everything.\You overdid it.\I'm so sorry!\Where are my fashion magazines?\I left them here so I could find them easily.\They're right here!\Oh, I see...\What about the pedicure box I left here? response:	That had stuff inside it, so you'd better not have thrown it away.
context: You overdid it.\I'm so sorry!\Where are my fashion magazines?\I left them here so I could find them easily.\They're right here!\Oh, I see...\What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away. response:	I tidied it up for you.
context: I'm so sorry!\Where are my fashion magazines?\I left them here so I could find them easily.\They're right here!\Oh, I see...\What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you. response:	Did we always have a box like that?
context: Where are my fashion magazines?\I left them here so I could find them easily.\They're right here!\Oh, I see...\What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you.\Did we always have a box like that? response:	I re-used an empty tissue box!
context: I left them here so I could find them easily.\They're right here!\Oh, I see...\What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you.\Did we always have a box like that?\I re-used an empty tissue box! response:	That's so ghetto!
context: They're right here!\Oh, I see...\What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you.\Did we always have a box like that?\I re-used an empty tissue box!\That's so ghetto! response:	Well?
context: Oh, I see...\What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you.\Did we always have a box like that?\I re-used an empty tissue box!\That's so ghetto!\Well? response:	Any other complaints?
context: What about the pedicure box I left here?\That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you.\Did we always have a box like that?\I re-used an empty tissue box!\That's so ghetto!\Well?\Any other complaints? response:	Go away, then.
context: That had stuff inside it, so you'd better not have thrown it away.\I tidied it up for you.\Did we always have a box like that?\I re-used an empty tissue box!\That's so ghetto!\Well?\Any other complaints?\Go away, then. response:	If that's all you came down to
context: I tidied it up for you.\Did we always have a box like that?\I re-used an empty tissue box!\That's so ghetto!\Well?\Any other complaints?\Go away, then.\If that's all you came down to response:	Wh-What is it?
context: Did we always have a box like that?\I re-used an empty tissue box!\That's so ghetto!\Well?\Any other complaints?\Go away, then.\If that's all you came down to\Wh-What is it? response:	Remember this!
context: I re-used an empty tissue box!\That's so ghetto!\Well?\Any other complaints?\Go away, then.\If that's all you came down to\Wh-What is it?\Remember this! response:	This isn't over.
context: That's so ghetto!\Well?\Any other complaints?\Go away, then.\If that's all you came down to\Wh-What is it?\Remember this!\This isn't over. response:	What's wrong with her?
context: Well?\Any other complaints?\Go away, then.\If that's all you came down to\Wh-What is it?\Remember this!\This isn't over.\What's wrong with her? response:	Hey, lunch is ready!
context: Any other complaints?\Go away, then.\If that's all you came down to\Wh-What is it?\Remember this!\This isn't over.\What's wrong with her?\Hey, lunch is ready! response:	Manami's asking you to come eat with us.
context: Go away, then.\If that's all you came down to\Wh-What is it?\Remember this!\This isn't over.\What's wrong with her?\Hey, lunch is ready!\Manami's asking you to come eat with us. response:	I'll come down after I'm done with this call.
context: If that's all you came down to\Wh-What is it?\Remember this!\This isn't over.\What's wrong with her?\Hey, lunch is ready!\Manami's asking you to come eat with us.\I'll come down after I'm done with this call. response:	Oh, okay...
context: Wh-What is it?\Remember this!\This isn't over.\What's wrong with her?\Hey, lunch is ready!\Manami's asking you to come eat with us.\I'll come down after I'm done with this call.\Oh, okay... response:	Did she calm down?
context: Remember this!\This isn't over.\What's wrong with her?\Hey, lunch is ready!\Manami's asking you to come eat with us.\I'll come down after I'm done with this call.\Oh, okay...\Did she calm down? response:	Thanks for the meal.
context: This isn't over.\What's wrong with her?\Hey, lunch is ready!\Manami's asking you to come eat with us.\I'll come down after I'm done with this call.\Oh, okay...\Did she calm down?\Thanks for the meal. response:	It was delicious.
context: What's wrong with her?\Hey, lunch is ready!\Manami's asking you to come eat with us.\I'll come down after I'm done with this call.\Oh, okay...\Did she calm down?\Thanks for the meal.\It was delicious. response:	Oh, thanks!
context: Hey, lunch is ready!\Manami's asking you to come eat with us.\I'll come down after I'm done with this call.\Oh, okay...\Did she calm down?\Thanks for the meal.\It was delicious.\Oh, thanks! response:	I can do that!
context: Manami's asking you to come eat with us.\I'll come down after I'm done with this call.\Oh, okay...\Did she calm down?\Thanks for the meal.\It was delicious.\Oh, thanks!\I can do that! response:	I can handle it.
context: I'll come down after I'm done with this call.\Oh, okay...\Did she calm down?\Thanks for the meal.\It was delicious.\Oh, thanks!\I can do that!\I can handle it. response:	Hear that? She said she liked it.
context: Oh, okay...\Did she calm down?\Thanks for the meal.\It was delicious.\Oh, thanks!\I can do that!\I can handle it.\Hear that? She said she liked it. response:	That's good...
context: Did she calm down?\Thanks for the meal.\It was delicious.\Oh, thanks!\I can do that!\I can handle it.\Hear that? She said she liked it.\That's good... response:	My room?
context: Thanks for the meal.\It was delicious.\Oh, thanks!\I can do that!\I can handle it.\Hear that? She said she liked it.\That's good...\My room? response:	It's nothing special, so don't get your hopes up.
context: It was delicious.\Oh, thanks!\I can do that!\I can handle it.\Hear that? She said she liked it.\That's good...\My room?\It's nothing special, so don't get your hopes up. response:	Well, come in.
context: Oh, thanks!\I can do that!\I can handle it.\Hear that? She said she liked it.\That's good...\My room?\It's nothing special, so don't get your hopes up.\Well, come in. response:	Kyou-chan's room...
context: I can do that!\I can handle it.\Hear that? She said she liked it.\That's good...\My room?\It's nothing special, so don't get your hopes up.\Well, come in.\Kyou-chan's room... response:	Why?
context: I can handle it.\Hear that? She said she liked it.\That's good...\My room?\It's nothing special, so don't get your hopes up.\Well, come in.\Kyou-chan's room...\Why? response:	Why?!
context: Hear that? She said she liked it.\That's good...\My room?\It's nothing special, so don't get your hopes up.\Well, come in.\Kyou-chan's room...\Why?\Why?! response:	I already gave this back to Kirino!
context: That's good...\My room?\It's nothing special, so don't get your hopes up.\Well, come in.\Kyou-chan's room...\Why?\Why?!\I already gave this back to Kirino! response:	Why is it here with an eroge on?!
context: My room?\It's nothing special, so don't get your hopes up.\Well, come in.\Kyou-chan's room...\Why?\Why?!\I already gave this back to Kirino!\Why is it here with an eroge on?! response:	Who set up this trap
context: It's nothing special, so don't get your hopes up.\Well, come in.\Kyou-chan's room...\Why?\Why?!\I already gave this back to Kirino!\Why is it here with an eroge on?!\Who set up this trap response:	Kirino...
context: Well, come in.\Kyou-chan's room...\Why?\Why?!\I already gave this back to Kirino!\Why is it here with an eroge on?!\Who set up this trap\Kirino... response:	It must have been her! Dammit!
context: Kyou-chan's room...\Why?\Why?!\I already gave this back to Kirino!\Why is it here with an eroge on?!\Who set up this trap\Kirino...\It must have been her! Dammit! response:	That's why she was in a good mood!
context: Why?\Why?!\I already gave this back to Kirino!\Why is it here with an eroge on?!\Who set up this trap\Kirino...\It must have been her! Dammit!\That's why she was in a good mood! response:	Evil! Pure evil!
context: Why?!\I already gave this back to Kirino!\Why is it here with an eroge on?!\Who set up this trap\Kirino...\It must have been her! Dammit!\That's why she was in a good mood!\Evil! Pure evil! response:	What's wrong?
context: I already gave this back to Kirino!\Why is it here with an eroge on?!\Who set up this trap\Kirino...\It must have been her! Dammit!\That's why she was in a good mood!\Evil! Pure evil!\What's wrong? response:	Nothing, really!
context: Why is it here with an eroge on?!\Who set up this trap\Kirino...\It must have been her! Dammit!\That's why she was in a good mood!\Evil! Pure evil!\What's wrong?\Nothing, really! response:	Really!
context: Who set up this trap\Kirino...\It must have been her! Dammit!\That's why she was in a good mood!\Evil! Pure evil!\What's wrong?\Nothing, really!\Really! response:	It's nothing... nothing...
context: Kirino...\It must have been her! Dammit!\That's why she was in a good mood!\Evil! Pure evil!\What's wrong?\Nothing, really!\Really!\It's nothing... nothing... response:	Kyou-chan! Your eyes are rolling around...
context: It must have been her! Dammit!\That's why she was in a good mood!\Evil! Pure evil!\What's wrong?\Nothing, really!\Really!\It's nothing... nothing...\Kyou-chan! Your eyes are rolling around... response:	Are you feeling okay?
context: That's why she was in a good mood!\Evil! Pure evil!\What's wrong?\Nothing, really!\Really!\It's nothing... nothing...\Kyou-chan! Your eyes are rolling around...\Are you feeling okay? response:	No, wait! Wait!
context: Evil! Pure evil!\What's wrong?\Nothing, really!\Really!\It's nothing... nothing...\Kyou-chan! Your eyes are rolling around...\Are you feeling okay?\No, wait! Wait! response:	Oh! I can just hit the emergency escape key!
context: What's wrong?\Nothing, really!\Really!\It's nothing... nothing...\Kyou-chan! Your eyes are rolling around...\Are you feeling okay?\No, wait! Wait!\Oh! I can just hit the emergency escape key! response:	Wait! Wait!!
context: Nothing, really!\Really!\It's nothing... nothing...\Kyou-chan! Your eyes are rolling around...\Are you feeling okay?\No, wait! Wait!\Oh! I can just hit the emergency escape key!\Wait! Wait!! response:	Kyou-chan?
context: Really!\It's nothing... nothing...\Kyou-chan! Your eyes are rolling around...\Are you feeling okay?\No, wait! Wait!\Oh! I can just hit the emergency escape key!\Wait! Wait!!\Kyou-chan? response:	Emergency escape key!
context: It's nothing... nothing...\Kyou-chan! Your eyes are rolling around...\Are you feeling okay?\No, wait! Wait!\Oh! I can just hit the emergency escape key!\Wait! Wait!!\Kyou-chan?\Emergency escape key! response:	Sorry to surprise you like that, Manami.
