context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: Dijun, my second brother and Ye Hua both fell into their hands.\You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit?\Go ask your woman about it.\- Dijun. - Dijun.\Where does Feng Jiu sleep?\That bed. response:	Dong Hua... Dong Hua.
context: You have to think about this carefully.\It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit?\Go ask your woman about it.\- Dijun. - Dijun.\Where does Feng Jiu sleep?\That bed.\Dong Hua... Dong Hua. response:	Dijun.
context: It's not easy being a son-in-law of the Fox Clan.\Did she get tricked into eating a drunken fruit?\Go ask your woman about it.\- Dijun. - Dijun.\Where does Feng Jiu sleep?\That bed.\Dong Hua... Dong Hua.\Dijun. response:	Did you carry me back to the palace yesterday?
context: Did she get tricked into eating a drunken fruit?\Go ask your woman about it.\- Dijun. - Dijun.\Where does Feng Jiu sleep?\That bed.\Dong Hua... Dong Hua.\Dijun.\Did you carry me back to the palace yesterday? response:	That's right.
context: Go ask your woman about it.\- Dijun. - Dijun.\Where does Feng Jiu sleep?\That bed.\Dong Hua... Dong Hua.\Dijun.\Did you carry me back to the palace yesterday?\That's right. response:	Then... were you the one who fed me two bowls of sobering soup?
context: - Dijun. - Dijun.\Where does Feng Jiu sleep?\That bed.\Dong Hua... Dong Hua.\Dijun.\Did you carry me back to the palace yesterday?\That's right.\Then... were you the one who fed me two bowls of sobering soup? response:	No, it was three bowls.
context: Where does Feng Jiu sleep?\That bed.\Dong Hua... Dong Hua.\Dijun.\Did you carry me back to the palace yesterday?\That's right.\Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls. response:	Is there anything else you want to ask?
context: That bed.\Dong Hua... Dong Hua.\Dijun.\Did you carry me back to the palace yesterday?\That's right.\Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls.\Is there anything else you want to ask? response:	If there's nothing else, then I have to head to court.
context: Dong Hua... Dong Hua.\Dijun.\Did you carry me back to the palace yesterday?\That's right.\Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls.\Is there anything else you want to ask?\If there's nothing else, then I have to head to court. response:	Then... how should we account for the sobering soup?
context: Dijun.\Did you carry me back to the palace yesterday?\That's right.\Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls.\Is there anything else you want to ask?\If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup? response:	I don't mind if you add it to the debt of having saved your life.
context: Did you carry me back to the palace yesterday?\That's right.\Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls.\Is there anything else you want to ask?\If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life. response:	What?
context: That's right.\Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls.\Is there anything else you want to ask?\If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life.\What? response:	What? You don't want to pay that debt?
context: Then... were you the one who fed me two bowls of sobering soup?\No, it was three bowls.\Is there anything else you want to ask?\If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life.\What?\What? You don't want to pay that debt? response:	- No, that's not it. - That's fine too.
context: No, it was three bowls.\Is there anything else you want to ask?\If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life.\What?\What? You don't want to pay that debt?\- No, that's not it. - That's fine too. response:	A couple bowls of sobering soup are not a big deal.
context: Is there anything else you want to ask?\If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life.\What?\What? You don't want to pay that debt?\- No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal. response:	No, I have to pay back the debt of sobering soup too.
context: If there's nothing else, then I have to head to court.\Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life.\What?\What? You don't want to pay that debt?\- No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too. response:	I can't break Qing Qiu's rules.
context: Then... how should we account for the sobering soup?\I don't mind if you add it to the debt of having saved your life.\What?\What? You don't want to pay that debt?\- No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules. response:	I can't embarrass Aunt.
context: I don't mind if you add it to the debt of having saved your life.\What?\What? You don't want to pay that debt?\- No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules.\I can't embarrass Aunt. response:	Seems like your aunt taught you quite well.
context: What?\What? You don't want to pay that debt?\- No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules.\I can't embarrass Aunt.\Seems like your aunt taught you quite well. response:	My aunt has always taught me by words and example.
context: What? You don't want to pay that debt?\- No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules.\I can't embarrass Aunt.\Seems like your aunt taught you quite well.\My aunt has always taught me by words and example. response:	Even my mom and dad say I'm most like my aunt when she was young.
context: - No, that's not it. - That's fine too.\A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules.\I can't embarrass Aunt.\Seems like your aunt taught you quite well.\My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young. response:	Oh?
context: A couple bowls of sobering soup are not a big deal.\No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules.\I can't embarrass Aunt.\Seems like your aunt taught you quite well.\My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young.\Oh? response:	You're most like your aunt?
context: No, I have to pay back the debt of sobering soup too.\I can't break Qing Qiu's rules.\I can't embarrass Aunt.\Seems like your aunt taught you quite well.\My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young.\Oh?\You're most like your aunt? response:	When your aunt was young, she was a disciple at Kunlun Mountain.
context: I can't break Qing Qiu's rules.\I can't embarrass Aunt.\Seems like your aunt taught you quite well.\My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young.\Oh?\You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain. response:	She was more overbearing than you.
context: I can't embarrass Aunt.\Seems like your aunt taught you quite well.\My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young.\Oh?\You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you. response:	With one wave of the Jade Purity Fan of Kunlun
context: Seems like your aunt taught you quite well.\My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young.\Oh?\You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun response:	she got rid of 18 immortals.
context: My aunt has always taught me by words and example.\Even my mom and dad say I'm most like my aunt when she was young.\Oh?\You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals. response:	How come I've never heard Aunt talk about that?
context: Even my mom and dad say I'm most like my aunt when she was young.\Oh?\You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals.\How come I've never heard Aunt talk about that? response:	While you were at the Celestial Palace, has Si Ming told you about
context: Oh?\You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals.\How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about response:	what kind of person Dong Hua Dijun is?
context: You're most like your aunt?\When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals.\How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is? response:	He keeps away from worldly affairs
context: When your aunt was young, she was a disciple at Kunlun Mountain.\She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals.\How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs response:	even major events that deal with the peace of all the realms.
context: She was more overbearing than you.\With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals.\How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs\even major events that deal with the peace of all the realms. response:	He doesn't respect others, and doesn't go to banquets.
context: With one wave of the Jade Purity Fan of Kunlun\she got rid of 18 immortals.\How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs\even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets. response:	He's the kind of immortal you would hang a portrait of on your wall.
context: she got rid of 18 immortals.\How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs\even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall. response:	So you don't have to worry about me knowing about this.
context: How come I've never heard Aunt talk about that?\While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs\even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this. response:	I'm an immortal who doesn't gossip with others.
context: While you were at the Celestial Palace, has Si Ming told you about\what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs\even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others. response:	Really? You really won't tell others that my Aunt is Si Yin?
context: what kind of person Dong Hua Dijun is?\He keeps away from worldly affairs\even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin? response:	I won't.
context: He keeps away from worldly affairs\even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin?\I won't. response:	This is Qing Qiu's biggest secret.
context: even major events that deal with the peace of all the realms.\He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin?\I won't.\This is Qing Qiu's biggest secret. response:	I just accidentally overheard it.
context: He doesn't respect others, and doesn't go to banquets.\He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin?\I won't.\This is Qing Qiu's biggest secret.\I just accidentally overheard it. response:	Even Mo Yuan's...
context: He's the kind of immortal you would hang a portrait of on your wall.\So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin?\I won't.\This is Qing Qiu's biggest secret.\I just accidentally overheard it.\Even Mo Yuan's... response:	Come to think of it
context: So you don't have to worry about me knowing about this.\I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin?\I won't.\This is Qing Qiu's biggest secret.\I just accidentally overheard it.\Even Mo Yuan's...\Come to think of it response:	Lord of Numinous Treasures and I have a special fate with your aunt.
context: I'm an immortal who doesn't gossip with others.\Really? You really won't tell others that my Aunt is Si Yin?\I won't.\This is Qing Qiu's biggest secret.\I just accidentally overheard it.\Even Mo Yuan's...\Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt. response:	After your aunt marries and comes to the Celestial Palace
context: Really? You really won't tell others that my Aunt is Si Yin?\I won't.\This is Qing Qiu's biggest secret.\I just accidentally overheard it.\Even Mo Yuan's...\Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace response:	I will talk to her about this.
context: I won't.\This is Qing Qiu's biggest secret.\I just accidentally overheard it.\Even Mo Yuan's...\Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace\I will talk to her about this. response:	Didn't you promise me you wouldn't tell outsiders about this?
context: This is Qing Qiu's biggest secret.\I just accidentally overheard it.\Even Mo Yuan's...\Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace\I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this? response:	Does your aunt count as an outsider?
context: I just accidentally overheard it.\Even Mo Yuan's...\Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace\I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider? response:	No.
context: Even Mo Yuan's...\Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace\I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider?\No. response:	Then I'll head over to court.
context: Come to think of it\Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace\I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider?\No.\Then I'll head over to court. response:	Okay.
context: Lord of Numinous Treasures and I have a special fate with your aunt.\After your aunt marries and comes to the Celestial Palace\I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider?\No.\Then I'll head over to court.\Okay. response:	You're back. Hurry and add some firewood.
context: After your aunt marries and comes to the Celestial Palace\I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider?\No.\Then I'll head over to court.\Okay.\You're back. Hurry and add some firewood. response:	What's wrong? Did smoke get in your eyes?
context: I will talk to her about this.\Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider?\No.\Then I'll head over to court.\Okay.\You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes? response:	Come here.
context: Didn't you promise me you wouldn't tell outsiders about this?\Does your aunt count as an outsider?\No.\Then I'll head over to court.\Okay.\You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes?\Come here. response:	Let me see.
context: Does your aunt count as an outsider?\No.\Then I'll head over to court.\Okay.\You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes?\Come here.\Let me see. response:	Do you know that you've been gone for one year and nine months?
context: No.\Then I'll head over to court.\Okay.\You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes?\Come here.\Let me see.\Do you know that you've been gone for one year and nine months? response:	I know.
context: Then I'll head over to court.\Okay.\You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes?\Come here.\Let me see.\Do you know that you've been gone for one year and nine months?\I know. response:	Aren't you scared that I'll be old when you come back?
context: Okay.\You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes?\Come here.\Let me see.\Do you know that you've been gone for one year and nine months?\I know.\Aren't you scared that I'll be old when you come back? response:	I am. That's why I'm making plans for us to stay together for a long, long time.
context: You're back. Hurry and add some firewood.\What's wrong? Did smoke get in your eyes?\Come here.\Let me see.\Do you know that you've been gone for one year and nine months?\I know.\Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time. response:	Is it because your family doesn't like me?
context: What's wrong? Did smoke get in your eyes?\Come here.\Let me see.\Do you know that you've been gone for one year and nine months?\I know.\Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me? response:	Or is it because you already have a wife?
context: Come here.\Let me see.\Do you know that you've been gone for one year and nine months?\I know.\Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me?\Or is it because you already have a wife? response:	Before marrying you, I've never been married before.
context: Let me see.\Do you know that you've been gone for one year and nine months?\I know.\Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me?\Or is it because you already have a wife?\Before marrying you, I've never been married before. response:	Don't cry.
context: Do you know that you've been gone for one year and nine months?\I know.\Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me?\Or is it because you already have a wife?\Before marrying you, I've never been married before.\Don't cry. response:	I kept thinking about what I should do if you already had a wife.
context: I know.\Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me?\Or is it because you already have a wife?\Before marrying you, I've never been married before.\Don't cry.\I kept thinking about what I should do if you already had a wife. response:	All right. Everything's okay now.
context: Aren't you scared that I'll be old when you come back?\I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me?\Or is it because you already have a wife?\Before marrying you, I've never been married before.\Don't cry.\I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now. response:	Why did you make such a complicated dish?
context: I am. That's why I'm making plans for us to stay together for a long, long time.\Is it because your family doesn't like me?\Or is it because you already have a wife?\Before marrying you, I've never been married before.\Don't cry.\I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now.\Why did you make such a complicated dish? response:	Why not? Should I make you eat raw meat every day?
context: Is it because your family doesn't like me?\Or is it because you already have a wife?\Before marrying you, I've never been married before.\Don't cry.\I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now.\Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day? response:	What's with your face of disgust?
context: Or is it because you already have a wife?\Before marrying you, I've never been married before.\Don't cry.\I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now.\Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day?\What's with your face of disgust? response:	It's like someone has forced you to eat raw meat before.
context: Before marrying you, I've never been married before.\Don't cry.\I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now.\Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day?\What's with your face of disgust?\It's like someone has forced you to eat raw meat before. response:	Someone has.
context: Don't cry.\I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now.\Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day?\What's with your face of disgust?\It's like someone has forced you to eat raw meat before.\Someone has. response:	Really? Who was so tactless and forced you to eat raw meat?
context: I kept thinking about what I should do if you already had a wife.\All right. Everything's okay now.\Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day?\What's with your face of disgust?\It's like someone has forced you to eat raw meat before.\Someone has.\Really? Who was so tactless and forced you to eat raw meat? response:	All right, get ready to eat.
context: All right. Everything's okay now.\Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day?\What's with your face of disgust?\It's like someone has forced you to eat raw meat before.\Someone has.\Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat. response:	Okay.
context: Why did you make such a complicated dish?\Why not? Should I make you eat raw meat every day?\What's with your face of disgust?\It's like someone has forced you to eat raw meat before.\Someone has.\Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat.\Okay. response:	Eat while it's hot.
context: Why not? Should I make you eat raw meat every day?\What's with your face of disgust?\It's like someone has forced you to eat raw meat before.\Someone has.\Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat.\Okay.\Eat while it's hot. response:	I have to go far away again.
context: What's with your face of disgust?\It's like someone has forced you to eat raw meat before.\Someone has.\Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat.\Okay.\Eat while it's hot.\I have to go far away again. response:	You have to leave again?
context: It's like someone has forced you to eat raw meat before.\Someone has.\Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat.\Okay.\Eat while it's hot.\I have to go far away again.\You have to leave again? response:	I have to leave tomorrow morning.
context: Someone has.\Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat.\Okay.\Eat while it's hot.\I have to go far away again.\You have to leave again?\I have to leave tomorrow morning. response:	How long will you be gone for this time?
context: Really? Who was so tactless and forced you to eat raw meat?\All right, get ready to eat.\Okay.\Eat while it's hot.\I have to go far away again.\You have to leave again?\I have to leave tomorrow morning.\How long will you be gone for this time? response:	One year? Two years? Or ten years?
context: All right, get ready to eat.\Okay.\Eat while it's hot.\I have to go far away again.\You have to leave again?\I have to leave tomorrow morning.\How long will you be gone for this time?\One year? Two years? Or ten years? response:	Su Su.
context: Okay.\Eat while it's hot.\I have to go far away again.\You have to leave again?\I have to leave tomorrow morning.\How long will you be gone for this time?\One year? Two years? Or ten years?\Su Su. response:	Take me with you this time.
context: Eat while it's hot.\I have to go far away again.\You have to leave again?\I have to leave tomorrow morning.\How long will you be gone for this time?\One year? Two years? Or ten years?\Su Su.\Take me with you this time. response:	No.
context: I have to go far away again.\You have to leave again?\I have to leave tomorrow morning.\How long will you be gone for this time?\One year? Two years? Or ten years?\Su Su.\Take me with you this time.\No. response:	Why not?
context: You have to leave again?\I have to leave tomorrow morning.\How long will you be gone for this time?\One year? Two years? Or ten years?\Su Su.\Take me with you this time.\No.\Why not? response:	It's dangerous. I can't take you with me.
context: I have to leave tomorrow morning.\How long will you be gone for this time?\One year? Two years? Or ten years?\Su Su.\Take me with you this time.\No.\Why not?\It's dangerous. I can't take you with me. response:	I'm not scared of danger, no matter how bad it is.
context: How long will you be gone for this time?\One year? Two years? Or ten years?\Su Su.\Take me with you this time.\No.\Why not?\It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is. response:	I'm scared of not being with you.
context: One year? Two years? Or ten years?\Su Su.\Take me with you this time.\No.\Why not?\It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you. response:	I never know where you are.
context: Su Su.\Take me with you this time.\No.\Why not?\It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you.\I never know where you are. response:	I never know when you'll be back.
context: Take me with you this time.\No.\Why not?\It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you.\I never know where you are.\I never know when you'll be back. response:	I really don't want to continue like this.
context: No.\Why not?\It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you.\I never know where you are.\I never know when you'll be back.\I really don't want to continue like this. response:	Ye Hua, what do you take me for?
context: Why not?\It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you.\I never know where you are.\I never know when you'll be back.\I really don't want to continue like this.\Ye Hua, what do you take me for? response:	Do you think of me as your wife?
context: It's dangerous. I can't take you with me.\I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you.\I never know where you are.\I never know when you'll be back.\I really don't want to continue like this.\Ye Hua, what do you take me for?\Do you think of me as your wife? response:	If so, then we should be interdependent and go through everything together.
context: I'm not scared of danger, no matter how bad it is.\I'm scared of not being with you.\I never know where you are.\I never know when you'll be back.\I really don't want to continue like this.\Ye Hua, what do you take me for?\Do you think of me as your wife?\If so, then we should be interdependent and go through everything together. response:	Su Su, you don't understand.
context: I'm scared of not being with you.\I never know where you are.\I never know when you'll be back.\I really don't want to continue like this.\Ye Hua, what do you take me for?\Do you think of me as your wife?\If so, then we should be interdependent and go through everything together.\Su Su, you don't understand. response:	I don't want you to be in any danger.
context: I never know where you are.\I never know when you'll be back.\I really don't want to continue like this.\Ye Hua, what do you take me for?\Do you think of me as your wife?\If so, then we should be interdependent and go through everything together.\Su Su, you don't understand.\I don't want you to be in any danger. response:	You don't understand either.
context: I never know when you'll be back.\I really don't want to continue like this.\Ye Hua, what do you take me for?\Do you think of me as your wife?\If so, then we should be interdependent and go through everything together.\Su Su, you don't understand.\I don't want you to be in any danger.\You don't understand either. response:	I'd rather be with you and in danger.
context: I really don't want to continue like this.\Ye Hua, what do you take me for?\Do you think of me as your wife?\If so, then we should be interdependent and go through everything together.\Su Su, you don't understand.\I don't want you to be in any danger.\You don't understand either.\I'd rather be with you and in danger. response:	Pack up tonight. We'll head out tomorrow morning.
