context: All right! It cleared up response:	Really it's like last night's rain was a lie
context: He eats three times as much as I do\Th' Three times?\You don't have to hold back\It is my treat\Kero-chan is waiting for me at home\Kero-chan?\No Uh\It's good to eat a lot response:	health wise
context: Th' Three times?\You don't have to hold back\It is my treat\Kero-chan is waiting for me at home\Kero-chan?\No Uh\It's good to eat a lot\health wise response:	It's tough on the allowance though
context: You don't have to hold back\It is my treat\Kero-chan is waiting for me at home\Kero-chan?\No Uh\It's good to eat a lot\health wise\It's tough on the allowance though response:	Yukito-san
context: It is my treat\Kero-chan is waiting for me at home\Kero-chan?\No Uh\It's good to eat a lot\health wise\It's tough on the allowance though\Yukito-san response:	Thank you Dad
context: Kero-chan is waiting for me at home\Kero-chan?\No Uh\It's good to eat a lot\health wise\It's tough on the allowance though\Yukito-san\Thank you Dad response:	I was able to see Yukito-san
context: Kero-chan?\No Uh\It's good to eat a lot\health wise\It's tough on the allowance though\Yukito-san\Thank you Dad\I was able to see Yukito-san response:	I'm home
context: No Uh\It's good to eat a lot\health wise\It's tough on the allowance though\Yukito-san\Thank you Dad\I was able to see Yukito-san\I'm home response:	Kero-chan!
context: It's good to eat a lot\health wise\It's tough on the allowance though\Yukito-san\Thank you Dad\I was able to see Yukito-san\I'm home\Kero-chan! response:	Thanks
context: health wise\It's tough on the allowance though\Yukito-san\Thank you Dad\I was able to see Yukito-san\I'm home\Kero-chan!\Thanks response:	I can't spin anymore
context: It's tough on the allowance though\Yukito-san\Thank you Dad\I was able to see Yukito-san\I'm home\Kero-chan!\Thanks\I can't spin anymore response:	I'll make lunch right away
context: Yukito-san\Thank you Dad\I was able to see Yukito-san\I'm home\Kero-chan!\Thanks\I can't spin anymore\I'll make lunch right away response:	Kero-chan Kero-chan! Hey Kero-chan!
context: Thank you Dad\I was able to see Yukito-san\I'm home\Kero-chan!\Thanks\I can't spin anymore\I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan! response:	What? Lunch time?
context: I was able to see Yukito-san\I'm home\Kero-chan!\Thanks\I can't spin anymore\I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time? response:	What is this sound?
context: I'm home\Kero-chan!\Thanks\I can't spin anymore\I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time?\What is this sound? response:	Sound?
context: Kero-chan!\Thanks\I can't spin anymore\I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time?\What is this sound?\Sound? response:	I wonder if it is a thief
context: Thanks\I can't spin anymore\I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time?\What is this sound?\Sound?\I wonder if it is a thief response:	Sounds like downstairs
context: I can't spin anymore\I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time?\What is this sound?\Sound?\I wonder if it is a thief\Sounds like downstairs response:	It couldn't be a monster could it?
context: I'll make lunch right away\Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time?\What is this sound?\Sound?\I wonder if it is a thief\Sounds like downstairs\It couldn't be a monster could it? response:	Would they come out at day?
context: Kero-chan Kero-chan! Hey Kero-chan!\What? Lunch time?\What is this sound?\Sound?\I wonder if it is a thief\Sounds like downstairs\It couldn't be a monster could it?\Would they come out at day? response:	They might be there and come out
context: What? Lunch time?\What is this sound?\Sound?\I wonder if it is a thief\Sounds like downstairs\It couldn't be a monster could it?\Would they come out at day?\They might be there and come out response:	It's from the basement
context: What is this sound?\Sound?\I wonder if it is a thief\Sounds like downstairs\It couldn't be a monster could it?\Would they come out at day?\They might be there and come out\It's from the basement response:	In here
context: Sound?\I wonder if it is a thief\Sounds like downstairs\It couldn't be a monster could it?\Would they come out at day?\They might be there and come out\It's from the basement\In here response:	Well.
context: I wonder if it is a thief\Sounds like downstairs\It couldn't be a monster could it?\Would they come out at day?\They might be there and come out\It's from the basement\In here\Well. response:	Open'
context: Sounds like downstairs\It couldn't be a monster could it?\Would they come out at day?\They might be there and come out\It's from the basement\In here\Well.\Open' response:	What? I can't really see
context: It couldn't be a monster could it?\Would they come out at day?\They might be there and come out\It's from the basement\In here\Well.\Open'\What? I can't really see response:	What was that just now?
context: Would they come out at day?\They might be there and come out\It's from the basement\In here\Well.\Open'\What? I can't really see\What was that just now? response:	This is the branch from a plant
context: They might be there and come out\It's from the basement\In here\Well.\Open'\What? I can't really see\What was that just now?\This is the branch from a plant response:	Why would something like that be coming in from the basement?
context: It's from the basement\In here\Well.\Open'\What? I can't really see\What was that just now?\This is the branch from a plant\Why would something like that be coming in from the basement? response:	This is the work of Wood
context: In here\Well.\Open'\What? I can't really see\What was that just now?\This is the branch from a plant\Why would something like that be coming in from the basement?\This is the work of Wood response:	A Clow Card? Now that you mention it today
context: Well.\Open'\What? I can't really see\What was that just now?\This is the branch from a plant\Why would something like that be coming in from the basement?\This is the work of Wood\A Clow Card? Now that you mention it today response:	You left a card you found out
context: Open'\What? I can't really see\What was that just now?\This is the branch from a plant\Why would something like that be coming in from the basement?\This is the work of Wood\A Clow Card? Now that you mention it today\You left a card you found out response:	without writing your name on it?
context: What? I can't really see\What was that just now?\This is the branch from a plant\Why would something like that be coming in from the basement?\This is the work of Wood\A Clow Card? Now that you mention it today\You left a card you found out\without writing your name on it? response:	But when I found it it was just a card
context: What was that just now?\This is the branch from a plant\Why would something like that be coming in from the basement?\This is the work of Wood\A Clow Card? Now that you mention it today\You left a card you found out\without writing your name on it?\But when I found it it was just a card response:	I had to answer the phone
context: This is the branch from a plant\Why would something like that be coming in from the basement?\This is the work of Wood\A Clow Card? Now that you mention it today\You left a card you found out\without writing your name on it?\But when I found it it was just a card\I had to answer the phone response:	That's not good
