context: The Earth has a skin, response:	and that skin is plagued by many different things.
context: Yuri?!\You want to get some crepes on the way back?\I'll buy.\I gain weight every time I eat too much.\My boobs, anyway.\The world's so unfair!\A person with the same power as me...\Who is this girl? response:	You just sighed looking at someone. Who was it, Sou-kun?
context: You want to get some crepes on the way back?\I'll buy.\I gain weight every time I eat too much.\My boobs, anyway.\The world's so unfair!\A person with the same power as me...\Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun? response:	My name was on the list.
context: I'll buy.\I gain weight every time I eat too much.\My boobs, anyway.\The world's so unfair!\A person with the same power as me...\Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list. response:	I'm going to the forest with you!
context: I gain weight every time I eat too much.\My boobs, anyway.\The world's so unfair!\A person with the same power as me...\Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list.\I'm going to the forest with you! response:	I get to go on the ocean trip with Souta-kun!
context: My boobs, anyway.\The world's so unfair!\A person with the same power as me...\Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list.\I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun! response:	Huh?
context: The world's so unfair!\A person with the same power as me...\Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list.\I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun!\Huh? response:	Wait a second.
context: A person with the same power as me...\Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list.\I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun!\Huh?\Wait a second. response:	What's going on...
context: Who is this girl?\You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list.\I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun!\Huh?\Wait a second.\What's going on... response:	Ocean Field Trip
context: You just sighed looking at someone. Who was it, Sou-kun?\My name was on the list.\I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun!\Huh?\Wait a second.\What's going on...\Ocean Field Trip response:	Forest Field Trip
context: My name was on the list.\I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun!\Huh?\Wait a second.\What's going on...\Ocean Field Trip\Forest Field Trip response:	Hatate Souta
context: I'm going to the forest with you!\I get to go on the ocean trip with Souta-kun!\Huh?\Wait a second.\What's going on...\Ocean Field Trip\Forest Field Trip\Hatate Souta response:	Hatate Souta
context: I get to go on the ocean trip with Souta-kun!\Huh?\Wait a second.\What's going on...\Ocean Field Trip\Forest Field Trip\Hatate Souta\Hatate Souta response:	Why is my name on both lists?
context: Huh?\Wait a second.\What's going on...\Ocean Field Trip\Forest Field Trip\Hatate Souta\Hatate Souta\Why is my name on both lists? response:	Would you like me to clear that up for you?
context: Wait a second.\What's going on...\Ocean Field Trip\Forest Field Trip\Hatate Souta\Hatate Souta\Why is my name on both lists?\Would you like me to clear that up for you? response:	Yes or no?
context: What's going on...\Ocean Field Trip\Forest Field Trip\Hatate Souta\Hatate Souta\Why is my name on both lists?\Would you like me to clear that up for you?\Yes or no? response:	Yes, I guess.
context: Ocean Field Trip\Forest Field Trip\Hatate Souta\Hatate Souta\Why is my name on both lists?\Would you like me to clear that up for you?\Yes or no?\Yes, I guess. response:	Sorry about that, Hatate-kun.
context: Forest Field Trip\Hatate Souta\Hatate Souta\Why is my name on both lists?\Would you like me to clear that up for you?\Yes or no?\Yes, I guess.\Sorry about that, Hatate-kun. response:	We normally would have you go on the ocean trip
context: Hatate Souta\Hatate Souta\Why is my name on both lists?\Would you like me to clear that up for you?\Yes or no?\Yes, I guess.\Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip response:	since your swimming grades are bad,
context: Hatate Souta\Why is my name on both lists?\Would you like me to clear that up for you?\Yes or no?\Yes, I guess.\Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip\since your swimming grades are bad, response:	but Eiyuuzaki-kun threatened me...
context: Why is my name on both lists?\Would you like me to clear that up for you?\Yes or no?\Yes, I guess.\Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip\since your swimming grades are bad,\but Eiyuuzaki-kun threatened me... response:	I mean, asked me to do something.
context: Would you like me to clear that up for you?\Yes or no?\Yes, I guess.\Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip\since your swimming grades are bad,\but Eiyuuzaki-kun threatened me...\I mean, asked me to do something. response:	So I put you on the ocean trip during the first half of the trip,
context: Yes or no?\Yes, I guess.\Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip\since your swimming grades are bad,\but Eiyuuzaki-kun threatened me...\I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip, response:	and the forest trip for the second half.
context: Yes, I guess.\Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip\since your swimming grades are bad,\but Eiyuuzaki-kun threatened me...\I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half. response:	That doesn't really sound like...
context: Sorry about that, Hatate-kun.\We normally would have you go on the ocean trip\since your swimming grades are bad,\but Eiyuuzaki-kun threatened me...\I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half.\That doesn't really sound like... response:	You get to see the ocean and the mountains,
context: We normally would have you go on the ocean trip\since your swimming grades are bad,\but Eiyuuzaki-kun threatened me...\I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half.\That doesn't really sound like...\You get to see the ocean and the mountains, response:	and you get to have fun with everyone from Quest Dorm easily.
context: since your swimming grades are bad,\but Eiyuuzaki-kun threatened me...\I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half.\That doesn't really sound like...\You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily. response:	Sweet, huh?
context: but Eiyuuzaki-kun threatened me...\I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half.\That doesn't really sound like...\You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh? response:	Oh, yeah, how about going on a date with me,
context: I mean, asked me to do something.\So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half.\That doesn't really sound like...\You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh?\Oh, yeah, how about going on a date with me, response:	while you're at it-
context: So I put you on the ocean trip during the first half of the trip,\and the forest trip for the second half.\That doesn't really sound like...\You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh?\Oh, yeah, how about going on a date with me,\while you're at it- response:	That sounds like a good time, then.
context: and the forest trip for the second half.\That doesn't really sound like...\You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh?\Oh, yeah, how about going on a date with me,\while you're at it-\That sounds like a good time, then. response:	Yes, everyone in Quest Dorm gets to spend half their time with you.
context: That doesn't really sound like...\You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh?\Oh, yeah, how about going on a date with me,\while you're at it-\That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you. response:	Sou-kun, Sou-kun,
context: You get to see the ocean and the mountains,\and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh?\Oh, yeah, how about going on a date with me,\while you're at it-\That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun, response:	if you ever get lonely, just come to my room.
context: and you get to have fun with everyone from Quest Dorm easily.\Sweet, huh?\Oh, yeah, how about going on a date with me,\while you're at it-\That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun,\if you ever get lonely, just come to my room. response:	H-Huh?
context: Sweet, huh?\Oh, yeah, how about going on a date with me,\while you're at it-\That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun,\if you ever get lonely, just come to my room.\H-Huh? response:	I get the feeling there was just a this is going to be trouble flag.
context: Oh, yeah, how about going on a date with me,\while you're at it-\That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun,\if you ever get lonely, just come to my room.\H-Huh?\I get the feeling there was just a this is going to be trouble flag. response:	Non non!
context: while you're at it-\That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun,\if you ever get lonely, just come to my room.\H-Huh?\I get the feeling there was just a this is going to be trouble flag.\Non non! response:	Non non!
context: That sounds like a good time, then.\Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun,\if you ever get lonely, just come to my room.\H-Huh?\I get the feeling there was just a this is going to be trouble flag.\Non non!\Non non! response:	Yay...
context: Yes, everyone in Quest Dorm gets to spend half their time with you.\Sou-kun, Sou-kun,\if you ever get lonely, just come to my room.\H-Huh?\I get the feeling there was just a this is going to be trouble flag.\Non non!\Non non!\Yay... response:	The beach, huh?
context: Sou-kun, Sou-kun,\if you ever get lonely, just come to my room.\H-Huh?\I get the feeling there was just a this is going to be trouble flag.\Non non!\Non non!\Yay...\The beach, huh? response:	The beach!
context: if you ever get lonely, just come to my room.\H-Huh?\I get the feeling there was just a this is going to be trouble flag.\Non non!\Non non!\Yay...\The beach, huh?\The beach! response:	Great. Now we're here.
context: H-Huh?\I get the feeling there was just a this is going to be trouble flag.\Non non!\Non non!\Yay...\The beach, huh?\The beach!\Great. Now we're here. response:	Let's go!
context: I get the feeling there was just a this is going to be trouble flag.\Non non!\Non non!\Yay...\The beach, huh?\The beach!\Great. Now we're here.\Let's go! response:	After hiking you've got make-up lessons, Akane-chan.
context: Non non!\Non non!\Yay...\The beach, huh?\The beach!\Great. Now we're here.\Let's go!\After hiking you've got make-up lessons, Akane-chan. response:	We're going to get you into shape on those mountains.
context: Non non!\Yay...\The beach, huh?\The beach!\Great. Now we're here.\Let's go!\After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains. response:	Beach!
context: Yay...\The beach, huh?\The beach!\Great. Now we're here.\Let's go!\After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains.\Beach! response:	Souta-kun!
context: The beach, huh?\The beach!\Great. Now we're here.\Let's go!\After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains.\Beach!\Souta-kun! response:	You kind of feel bad for Akane-chan.
context: The beach!\Great. Now we're here.\Let's go!\After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains.\Beach!\Souta-kun!\You kind of feel bad for Akane-chan. response:	Don't worry about it.
context: Great. Now we're here.\Let's go!\After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains.\Beach!\Souta-kun!\You kind of feel bad for Akane-chan.\Don't worry about it. response:	We'll be lodging in the same place.
context: Let's go!\After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains.\Beach!\Souta-kun!\You kind of feel bad for Akane-chan.\Don't worry about it.\We'll be lodging in the same place. response:	So this is the ocean?!
context: After hiking you've got make-up lessons, Akane-chan.\We're going to get you into shape on those mountains.\Beach!\Souta-kun!\You kind of feel bad for Akane-chan.\Don't worry about it.\We'll be lodging in the same place.\So this is the ocean?! response:	This is your first time seeing the ocean?
context: We're going to get you into shape on those mountains.\Beach!\Souta-kun!\You kind of feel bad for Akane-chan.\Don't worry about it.\We'll be lodging in the same place.\So this is the ocean?!\This is your first time seeing the ocean? response:	Yeah, my country is surrounded by land.
context: Beach!\Souta-kun!\You kind of feel bad for Akane-chan.\Don't worry about it.\We'll be lodging in the same place.\So this is the ocean?!\This is your first time seeing the ocean?\Yeah, my country is surrounded by land. response:	Anyway, you should come in, too!
context: Souta-kun!\You kind of feel bad for Akane-chan.\Don't worry about it.\We'll be lodging in the same place.\So this is the ocean?!\This is your first time seeing the ocean?\Yeah, my country is surrounded by land.\Anyway, you should come in, too! response:	Sure.
context: You kind of feel bad for Akane-chan.\Don't worry about it.\We'll be lodging in the same place.\So this is the ocean?!\This is your first time seeing the ocean?\Yeah, my country is surrounded by land.\Anyway, you should come in, too!\Sure. response:	It feels good on my feet!
context: Don't worry about it.\We'll be lodging in the same place.\So this is the ocean?!\This is your first time seeing the ocean?\Yeah, my country is surrounded by land.\Anyway, you should come in, too!\Sure.\It feels good on my feet! response:	You won't rust if you get in the water, will you, Ruri?
context: We'll be lodging in the same place.\So this is the ocean?!\This is your first time seeing the ocean?\Yeah, my country is surrounded by land.\Anyway, you should come in, too!\Sure.\It feels good on my feet!\You won't rust if you get in the water, will you, Ruri? response:	I have special waterproof coating,
context: So this is the ocean?!\This is your first time seeing the ocean?\Yeah, my country is surrounded by land.\Anyway, you should come in, too!\Sure.\It feels good on my feet!\You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating, response:	so I should be fine.
context: This is your first time seeing the ocean?\Yeah, my country is surrounded by land.\Anyway, you should come in, too!\Sure.\It feels good on my feet!\You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating,\so I should be fine. response:	Souta, don't just stand there. Join us.
context: Yeah, my country is surrounded by land.\Anyway, you should come in, too!\Sure.\It feels good on my feet!\You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating,\so I should be fine.\Souta, don't just stand there. Join us. response:	R-Right...
context: Anyway, you should come in, too!\Sure.\It feels good on my feet!\You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating,\so I should be fine.\Souta, don't just stand there. Join us.\R-Right... response:	I'm surprised you can't swim though, Megu.
context: Sure.\It feels good on my feet!\You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating,\so I should be fine.\Souta, don't just stand there. Join us.\R-Right...\I'm surprised you can't swim though, Megu. response:	You were great at track.
context: It feels good on my feet!\You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating,\so I should be fine.\Souta, don't just stand there. Join us.\R-Right...\I'm surprised you can't swim though, Megu.\You were great at track. response:	I didn't do any swimming at all...
context: You won't rust if you get in the water, will you, Ruri?\I have special waterproof coating,\so I should be fine.\Souta, don't just stand there. Join us.\R-Right...\I'm surprised you can't swim though, Megu.\You were great at track.\I didn't do any swimming at all... response:	Why?
context: I have special waterproof coating,\so I should be fine.\Souta, don't just stand there. Join us.\R-Right...\I'm surprised you can't swim though, Megu.\You were great at track.\I didn't do any swimming at all...\Why? response:	Y-You know boy swimsuits
context: so I should be fine.\Souta, don't just stand there. Join us.\R-Right...\I'm surprised you can't swim though, Megu.\You were great at track.\I didn't do any swimming at all...\Why?\Y-You know boy swimsuits response:	only have bottoms...
context: Souta, don't just stand there. Join us.\R-Right...\I'm surprised you can't swim though, Megu.\You were great at track.\I didn't do any swimming at all...\Why?\Y-You know boy swimsuits\only have bottoms... response:	But I don't mind now because...
context: R-Right...\I'm surprised you can't swim though, Megu.\You were great at track.\I didn't do any swimming at all...\Why?\Y-You know boy swimsuits\only have bottoms...\But I don't mind now because... response:	Wh-Why'd you poke me in the eyes?!
context: I'm surprised you can't swim though, Megu.\You were great at track.\I didn't do any swimming at all...\Why?\Y-You know boy swimsuits\only have bottoms...\But I don't mind now because...\Wh-Why'd you poke me in the eyes?! response:	I guess I shouldn't have... Sorry.
context: You were great at track.\I didn't do any swimming at all...\Why?\Y-You know boy swimsuits\only have bottoms...\But I don't mind now because...\Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry. response:	They have boy swimsuits with a top now!
context: I didn't do any swimming at all...\Why?\Y-You know boy swimsuits\only have bottoms...\But I don't mind now because...\Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now! response:	Tee-hee.
context: Why?\Y-You know boy swimsuits\only have bottoms...\But I don't mind now because...\Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now!\Tee-hee. response:	Uh, right.
context: Y-You know boy swimsuits\only have bottoms...\But I don't mind now because...\Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now!\Tee-hee.\Uh, right. response:	Why can't you swim, Souta-kun?
context: only have bottoms...\But I don't mind now because...\Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now!\Tee-hee.\Uh, right.\Why can't you swim, Souta-kun? response:	I-I...
context: But I don't mind now because...\Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now!\Tee-hee.\Uh, right.\Why can't you swim, Souta-kun?\I-I... response:	So this is where you guys have been...
context: Wh-Why'd you poke me in the eyes?!\I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now!\Tee-hee.\Uh, right.\Why can't you swim, Souta-kun?\I-I...\So this is where you guys have been... response:	Big!
context: I guess I shouldn't have... Sorry.\They have boy swimsuits with a top now!\Tee-hee.\Uh, right.\Why can't you swim, Souta-kun?\I-I...\So this is where you guys have been...\Big! response:	Wh-What's wrong?
context: They have boy swimsuits with a top now!\Tee-hee.\Uh, right.\Why can't you swim, Souta-kun?\I-I...\So this is where you guys have been...\Big!\Wh-What's wrong? response:	Who knew you had such big boobs...
context: Tee-hee.\Uh, right.\Why can't you swim, Souta-kun?\I-I...\So this is where you guys have been...\Big!\Wh-What's wrong?\Who knew you had such big boobs... response:	Girls with bigger boobs look good in kimonos, don't they?
context: Uh, right.\Why can't you swim, Souta-kun?\I-I...\So this is where you guys have been...\Big!\Wh-What's wrong?\Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they? response:	She was wearing a uniform, though.
context: Why can't you swim, Souta-kun?\I-I...\So this is where you guys have been...\Big!\Wh-What's wrong?\Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though. response:	Well, whatever.
context: I-I...\So this is where you guys have been...\Big!\Wh-What's wrong?\Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though.\Well, whatever. response:	Go for a swim.
context: So this is where you guys have been...\Big!\Wh-What's wrong?\Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though.\Well, whatever.\Go for a swim. response:	Barf, barf, barf.
context: Big!\Wh-What's wrong?\Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though.\Well, whatever.\Go for a swim.\Barf, barf, barf. response:	That's gross!
context: Wh-What's wrong?\Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though.\Well, whatever.\Go for a swim.\Barf, barf, barf.\That's gross! response:	Are you okay, Souta-kun?
context: Who knew you had such big boobs...\Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though.\Well, whatever.\Go for a swim.\Barf, barf, barf.\That's gross!\Are you okay, Souta-kun? response:	Do you not feel well?
context: Girls with bigger boobs look good in kimonos, don't they?\She was wearing a uniform, though.\Well, whatever.\Go for a swim.\Barf, barf, barf.\That's gross!\Are you okay, Souta-kun?\Do you not feel well? response:	I can't handle getting too close to the ocean.
context: She was wearing a uniform, though.\Well, whatever.\Go for a swim.\Barf, barf, barf.\That's gross!\Are you okay, Souta-kun?\Do you not feel well?\I can't handle getting too close to the ocean. response:	It all comes back to me...
context: Well, whatever.\Go for a swim.\Barf, barf, barf.\That's gross!\Are you okay, Souta-kun?\Do you not feel well?\I can't handle getting too close to the ocean.\It all comes back to me... response:	The Premium Ambriel, correct?
context: Go for a swim.\Barf, barf, barf.\That's gross!\Are you okay, Souta-kun?\Do you not feel well?\I can't handle getting too close to the ocean.\It all comes back to me...\The Premium Ambriel, correct? response:	Yeah.
context: Barf, barf, barf.\That's gross!\Are you okay, Souta-kun?\Do you not feel well?\I can't handle getting too close to the ocean.\It all comes back to me...\The Premium Ambriel, correct?\Yeah. response:	What's that about?
context: That's gross!\Are you okay, Souta-kun?\Do you not feel well?\I can't handle getting too close to the ocean.\It all comes back to me...\The Premium Ambriel, correct?\Yeah.\What's that about? response:	You don't know, Granny?
context: Are you okay, Souta-kun?\Do you not feel well?\I can't handle getting too close to the ocean.\It all comes back to me...\The Premium Ambriel, correct?\Yeah.\What's that about?\You don't know, Granny? response:	Souta-kun...
