context: Damn. response:	Really, now!
context: Hurry!\We can't have you die too, idiot!\Go, hurry!\Ranta, you idiot!\You shouldn't be acting all noble.\You're Rantaf damn it!\What?\Man, I sounded just like a Dark Knight just now. response:	What, arrows?
context: We can't have you die too, idiot!\Go, hurry!\Ranta, you idiot!\You shouldn't be acting all noble.\You're Rantaf damn it!\What?\Man, I sounded just like a Dark Knight just now.\What, arrows? response:	Hey, we should go one-on-one or something! It's cooler!
context: Go, hurry!\Ranta, you idiot!\You shouldn't be acting all noble.\You're Rantaf damn it!\What?\Man, I sounded just like a Dark Knight just now.\What, arrows?\Hey, we should go one-on-one or something! It's cooler! response:	Come and get me!
context: Ranta, you idiot!\You shouldn't be acting all noble.\You're Rantaf damn it!\What?\Man, I sounded just like a Dark Knight just now.\What, arrows?\Hey, we should go one-on-one or something! It's cooler!\Come and get me! response:	There you are, Merry.
context: You shouldn't be acting all noble.\You're Rantaf damn it!\What?\Man, I sounded just like a Dark Knight just now.\What, arrows?\Hey, we should go one-on-one or something! It's cooler!\Come and get me!\There you are, Merry. response:	Sorry, I must have...
context: You're Rantaf damn it!\What?\Man, I sounded just like a Dark Knight just now.\What, arrows?\Hey, we should go one-on-one or something! It's cooler!\Come and get me!\There you are, Merry.\Sorry, I must have... response:	Our princess says she's feeling weary.
context: What?\Man, I sounded just like a Dark Knight just now.\What, arrows?\Hey, we should go one-on-one or something! It's cooler!\Come and get me!\There you are, Merry.\Sorry, I must have...\Our princess says she's feeling weary. response:	Ow!
context: Man, I sounded just like a Dark Knight just now.\What, arrows?\Hey, we should go one-on-one or something! It's cooler!\Come and get me!\There you are, Merry.\Sorry, I must have...\Our princess says she's feeling weary.\Ow! response:	You're too energetic, Og.
context: What, arrows?\Hey, we should go one-on-one or something! It's cooler!\Come and get me!\There you are, Merry.\Sorry, I must have...\Our princess says she's feeling weary.\Ow!\You're too energetic, Og. response:	I wouldn't be able to stand it if you were that insensitive to me.
context: Hey, we should go one-on-one or something! It's cooler!\Come and get me!\There you are, Merry.\Sorry, I must have...\Our princess says she's feeling weary.\Ow!\You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me. response:	Here you go.
context: Come and get me!\There you are, Merry.\Sorry, I must have...\Our princess says she's feeling weary.\Ow!\You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me.\Here you go. response:	Are we going into the Cyrene Mine again?
context: There you are, Merry.\Sorry, I must have...\Our princess says she's feeling weary.\Ow!\You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me.\Here you go.\Are we going into the Cyrene Mine again? response:	Yeah.
context: Sorry, I must have...\Our princess says she's feeling weary.\Ow!\You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me.\Here you go.\Are we going into the Cyrene Mine again?\Yeah. response:	The other parties are also aiming to get farther in, so we can't fall behind.
context: Our princess says she's feeling weary.\Ow!\You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me.\Here you go.\Are we going into the Cyrene Mine again?\Yeah.\The other parties are also aiming to get farther in, so we can't fall behind. response:	I give up.
context: Ow!\You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me.\Here you go.\Are we going into the Cyrene Mine again?\Yeah.\The other parties are also aiming to get farther in, so we can't fall behind.\I give up. response:	Everything is a competition to you, huh.
context: You're too energetic, Og.\I wouldn't be able to stand it if you were that insensitive to me.\Here you go.\Are we going into the Cyrene Mine again?\Yeah.\The other parties are also aiming to get farther in, so we can't fall behind.\I give up.\Everything is a competition to you, huh. response:	Is that a problem?
context: I wouldn't be able to stand it if you were that insensitive to me.\Here you go.\Are we going into the Cyrene Mine again?\Yeah.\The other parties are also aiming to get farther in, so we can't fall behind.\I give up.\Everything is a competition to you, huh.\Is that a problem? response:	It's okay.
context: Here you go.\Are we going into the Cyrene Mine again?\Yeah.\The other parties are also aiming to get farther in, so we can't fall behind.\I give up.\Everything is a competition to you, huh.\Is that a problem?\It's okay. response:	You are our leader.
context: Are we going into the Cyrene Mine again?\Yeah.\The other parties are also aiming to get farther in, so we can't fall behind.\I give up.\Everything is a competition to you, huh.\Is that a problem?\It's okay.\You are our leader. response:	Then all you have to do is follow me.
context: Yeah.\The other parties are also aiming to get farther in, so we can't fall behind.\I give up.\Everything is a competition to you, huh.\Is that a problem?\It's okay.\You are our leader.\Then all you have to do is follow me. response:	This guy...
context: The other parties are also aiming to get farther in, so we can't fall behind.\I give up.\Everything is a competition to you, huh.\Is that a problem?\It's okay.\You are our leader.\Then all you have to do is follow me.\This guy... response:	He can be kind of pushy, but I like him.
context: I give up.\Everything is a competition to you, huh.\Is that a problem?\It's okay.\You are our leader.\Then all you have to do is follow me.\This guy...\He can be kind of pushy, but I like him. response:	I'd say you feel the same way.
context: Everything is a competition to you, huh.\Is that a problem?\It's okay.\You are our leader.\Then all you have to do is follow me.\This guy...\He can be kind of pushy, but I like him.\I'd say you feel the same way. response:	He can get a little tiring sometimes.
context: Is that a problem?\It's okay.\You are our leader.\Then all you have to do is follow me.\This guy...\He can be kind of pushy, but I like him.\I'd say you feel the same way.\He can get a little tiring sometimes. response:	So you are tired, Merry.
context: It's okay.\You are our leader.\Then all you have to do is follow me.\This guy...\He can be kind of pushy, but I like him.\I'd say you feel the same way.\He can get a little tiring sometimes.\So you are tired, Merry. response:	No, that's not!
context: You are our leader.\Then all you have to do is follow me.\This guy...\He can be kind of pushy, but I like him.\I'd say you feel the same way.\He can get a little tiring sometimes.\So you are tired, Merry.\No, that's not! response:	Come on now...
context: Then all you have to do is follow me.\This guy...\He can be kind of pushy, but I like him.\I'd say you feel the same way.\He can get a little tiring sometimes.\So you are tired, Merry.\No, that's not!\Come on now... response:	Well, make sure to take care of yourself.
context: This guy...\He can be kind of pushy, but I like him.\I'd say you feel the same way.\He can get a little tiring sometimes.\So you are tired, Merry.\No, that's not!\Come on now...\Well, make sure to take care of yourself. response:	Thanks, Mutsumi.
context: He can be kind of pushy, but I like him.\I'd say you feel the same way.\He can get a little tiring sometimes.\So you are tired, Merry.\No, that's not!\Come on now...\Well, make sure to take care of yourself.\Thanks, Mutsumi. response:	Merry.
context: I'd say you feel the same way.\He can get a little tiring sometimes.\So you are tired, Merry.\No, that's not!\Come on now...\Well, make sure to take care of yourself.\Thanks, Mutsumi.\Merry. response:	What's the matter?
context: He can get a little tiring sometimes.\So you are tired, Merry.\No, that's not!\Come on now...\Well, make sure to take care of yourself.\Thanks, Mutsumi.\Merry.\What's the matter? response:	Merry!
context: So you are tired, Merry.\No, that's not!\Come on now...\Well, make sure to take care of yourself.\Thanks, Mutsumi.\Merry.\What's the matter?\Merry! response:	Merry!
context: No, that's not!\Come on now...\Well, make sure to take care of yourself.\Thanks, Mutsumi.\Merry.\What's the matter?\Merry!\Merry! response:	I'm sorry, I...
context: Come on now...\Well, make sure to take care of yourself.\Thanks, Mutsumi.\Merry.\What's the matter?\Merry!\Merry!\I'm sorry, I... response:	You okay?
context: Well, make sure to take care of yourself.\Thanks, Mutsumi.\Merry.\What's the matter?\Merry!\Merry!\I'm sorry, I...\You okay? response:	This way.
context: Thanks, Mutsumi.\Merry.\What's the matter?\Merry!\Merry!\I'm sorry, I...\You okay?\This way. response:	Repeating a yesterday filled with scrapes,
context: Merry.\What's the matter?\Merry!\Merry!\I'm sorry, I...\You okay?\This way.\Repeating a yesterday filled with scrapes, response:	We clear the path to a hopeful tomorrow.
context: What's the matter?\Merry!\Merry!\I'm sorry, I...\You okay?\This way.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow. response:	I wonder what remains
context: Merry!\Merry!\I'm sorry, I...\You okay?\This way.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains response:	in both these tiny hands?
context: Merry!\I'm sorry, I...\You okay?\This way.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands? response:	The voice I raised upwards scattered into the air.
context: I'm sorry, I...\You okay?\This way.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air. response:	The reality I've gamed is hazy,
context: You okay?\This way.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy, response:	and even if I can't see ahead of me,
context: This way.\Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me, response:	I can keep moving forward on this long road
context: Repeating a yesterday filled with scrapes,\We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road response:	if I'm with you.
context: We clear the path to a hopeful tomorrow.\I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you. response:	Connecting a bond covered in dust,
context: I wonder what remains\in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust, response:	We join back to back in the past and future.
context: in both these tiny hands?\The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future. response:	Repeating an answer full of mistakes,
context: The voice I raised upwards scattered into the air.\The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes, response:	I will reach out my hands to seek the light, again and again.
context: The reality I've gamed is hazy,\and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again. response:	The first thing we felt when we went down to the fifth level...
context: and even if I can't see ahead of me,\I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level... response:	It's hot.
context: I can keep moving forward on this long road\if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level...\It's hot. response:	It was pleasantly cool up to the fourth evel, but the fifth level was different.
context: if I'm with you.\Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level...\It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different. response:	This level was for metal smelting...
context: Connecting a bond covered in dust,\We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level...\It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting... response:	I'll lead us to a different well.
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level...\It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting...\I'll lead us to a different well. response:	We can return to the fourth level from there...
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level...\It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting...\I'll lead us to a different well.\We can return to the fourth level from there... response:	Merry-san, are you okay?
context: I will reach out my hands to seek the light, again and again.\The first thing we felt when we went down to the fifth level...\It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting...\I'll lead us to a different well.\We can return to the fourth level from there...\Merry-san, are you okay? response:	You look pale.
context: The first thing we felt when we went down to the fifth level...\It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting...\I'll lead us to a different well.\We can return to the fourth level from there...\Merry-san, are you okay?\You look pale. response:	I'm fine.
context: It's hot.\It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting...\I'll lead us to a different well.\We can return to the fourth level from there...\Merry-san, are you okay?\You look pale.\I'm fine. response:	This level is where Merry's friends spent their last moments.
context: It was pleasantly cool up to the fourth evel, but the fifth level was different.\This level was for metal smelting...\I'll lead us to a different well.\We can return to the fourth level from there...\Merry-san, are you okay?\You look pale.\I'm fine.\This level is where Merry's friends spent their last moments. response:	We can't get down from there without being seen.
context: This level was for metal smelting...\I'll lead us to a different well.\We can return to the fourth level from there...\Merry-san, are you okay?\You look pale.\I'm fine.\This level is where Merry's friends spent their last moments.\We can't get down from there without being seen. response:	This way.
context: I'll lead us to a different well.\We can return to the fourth level from there...\Merry-san, are you okay?\You look pale.\I'm fine.\This level is where Merry's friends spent their last moments.\We can't get down from there without being seen.\This way. response:	Should we take a break?
context: We can return to the fourth level from there...\Merry-san, are you okay?\You look pale.\I'm fine.\This level is where Merry's friends spent their last moments.\We can't get down from there without being seen.\This way.\Should we take a break? response:	We can rest, but we'll need to move away from here.
context: Merry-san, are you okay?\You look pale.\I'm fine.\This level is where Merry's friends spent their last moments.\We can't get down from there without being seen.\This way.\Should we take a break?\We can rest, but we'll need to move away from here. response:	It's dangerous to linger near the wells.
context: You look pale.\I'm fine.\This level is where Merry's friends spent their last moments.\We can't get down from there without being seen.\This way.\Should we take a break?\We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells. response:	There's a place we used as a resting area.
context: I'm fine.\This level is where Merry's friends spent their last moments.\We can't get down from there without being seen.\This way.\Should we take a break?\We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells.\There's a place we used as a resting area. response:	There...
context: This level is where Merry's friends spent their last moments.\We can't get down from there without being seen.\This way.\Should we take a break?\We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells.\There's a place we used as a resting area.\There... response:	Careful!
context: We can't get down from there without being seen.\This way.\Should we take a break?\We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells.\There's a place we used as a resting area.\There...\Careful! response:	I know!
context: This way.\Should we take a break?\We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells.\There's a place we used as a resting area.\There...\Careful!\I know! response:	Is this... that place?
context: Should we take a break?\We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells.\There's a place we used as a resting area.\There...\Careful!\I know!\Is this... that place? response:	This place used to be a Temple of Lumiaris.
context: We can rest, but we'll need to move away from here.\It's dangerous to linger near the wells.\There's a place we used as a resting area.\There...\Careful!\I know!\Is this... that place?\This place used to be a Temple of Lumiaris. response:	Kobolds don't worship God, so they rarely come here.
context: It's dangerous to linger near the wells.\There's a place we used as a resting area.\There...\Careful!\I know!\Is this... that place?\This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here. response:	This...
context: There's a place we used as a resting area.\There...\Careful!\I know!\Is this... that place?\This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here.\This... response:	Do you...
context: There...\Careful!\I know!\Is this... that place?\This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here.\This...\Do you... response:	Wh-What are you doing?
context: Careful!\I know!\Is this... that place?\This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here.\This...\Do you...\Wh-What are you doing? response:	Y-You're the one who grabbed me!
context: I know!\Is this... that place?\This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here.\This...\Do you...\Wh-What are you doing?\Y-You're the one who grabbed me! response:	That's...
context: Is this... that place?\This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here.\This...\Do you...\Wh-What are you doing?\Y-You're the one who grabbed me!\That's... response:	Because of No Life King's curse...
context: This place used to be a Temple of Lumiaris.\Kobolds don't worship God, so they rarely come here.\This...\Do you...\Wh-What are you doing?\Y-You're the one who grabbed me!\That's...\Because of No Life King's curse... response:	This is what they look like after decaying.
context: Kobolds don't worship God, so they rarely come here.\This...\Do you...\Wh-What are you doing?\Y-You're the one who grabbed me!\That's...\Because of No Life King's curse...\This is what they look like after decaying. response:	Michiki... Og... Mutsumi...
context: This...\Do you...\Wh-What are you doing?\Y-You're the one who grabbed me!\That's...\Because of No Life King's curse...\This is what they look like after decaying.\Michiki... Og... Mutsumi... response:	Long time... no see.
context: Do you...\Wh-What are you doing?\Y-You're the one who grabbed me!\That's...\Because of No Life King's curse...\This is what they look like after decaying.\Michiki... Og... Mutsumi...\Long time... no see. response:	Do you... recognize me?
context: Wh-What are you doing?\Y-You're the one who grabbed me!\That's...\Because of No Life King's curse...\This is what they look like after decaying.\Michiki... Og... Mutsumi...\Long time... no see.\Do you... recognize me? response:	I've missed you!
context: Y-You're the one who grabbed me!\That's...\Because of No Life King's curse...\This is what they look like after decaying.\Michiki... Og... Mutsumi...\Long time... no see.\Do you... recognize me?\I've missed you! response:	Get ready!
context: That's...\Because of No Life King's curse...\This is what they look like after decaying.\Michiki... Og... Mutsumi...\Long time... no see.\Do you... recognize me?\I've missed you!\Get ready! response:	That's hot!
context: Because of No Life King's curse...\This is what they look like after decaying.\Michiki... Og... Mutsumi...\Long time... no see.\Do you... recognize me?\I've missed you!\Get ready!\That's hot! response:	Haru.
context: This is what they look like after decaying.\Michiki... Og... Mutsumi...\Long time... no see.\Do you... recognize me?\I've missed you!\Get ready!\That's hot!\Haru. response:	Cover me.
context: Michiki... Og... Mutsumi...\Long time... no see.\Do you... recognize me?\I've missed you!\Get ready!\That's hot!\Haru.\Cover me. response:	I want to go to the front.
context: Long time... no see.\Do you... recognize me?\I've missed you!\Get ready!\That's hot!\Haru.\Cover me.\I want to go to the front. response:	Merry's going to the front?
context: Do you... recognize me?\I've missed you!\Get ready!\That's hot!\Haru.\Cover me.\I want to go to the front.\Merry's going to the front? response:	Merry learned the Light Magic called Dispel.
context: I've missed you!\Get ready!\That's hot!\Haru.\Cover me.\I want to go to the front.\Merry's going to the front?\Merry learned the Light Magic called Dispel. response:	Using Lumiaris' divine protection, it breaks the undead king's spell.
context: Get ready!\That's hot!\Haru.\Cover me.\I want to go to the front.\Merry's going to the front?\Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell. response:	She probably learned it knowing this day would come.
context: That's hot!\Haru.\Cover me.\I want to go to the front.\Merry's going to the front?\Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come. response:	It has a short range, so she needs to get close by going to the front.
context: Haru.\Cover me.\I want to go to the front.\Merry's going to the front?\Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front. response:	We can't stop her.
context: Cover me.\I want to go to the front.\Merry's going to the front?\Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front.\We can't stop her. response:	It'd be no use trying.
context: I want to go to the front.\Merry's going to the front?\Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front.\We can't stop her.\It'd be no use trying. response:	Haruhiro-kun?
context: Merry's going to the front?\Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front.\We can't stop her.\It'd be no use trying.\Haruhiro-kun? response:	Moguzo, go for the Warrior.
context: Merry learned the Light Magic called Dispel.\Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front.\We can't stop her.\It'd be no use trying.\Haruhiro-kun?\Moguzo, go for the Warrior. response:	Ranta, you get the Thief.
context: Using Lumiaris' divine protection, it breaks the undead king's spell.\She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front.\We can't stop her.\It'd be no use trying.\Haruhiro-kun?\Moguzo, go for the Warrior.\Ranta, you get the Thief. response:	Shihoru will be backup.
context: She probably learned it knowing this day would come.\It has a short range, so she needs to get close by going to the front.\We can't stop her.\It'd be no use trying.\Haruhiro-kun?\Moguzo, go for the Warrior.\Ranta, you get the Thief.\Shihoru will be backup. response:	Yume, you come with me.
context: It has a short range, so she needs to get close by going to the front.\We can't stop her.\It'd be no use trying.\Haruhiro-kun?\Moguzo, go for the Warrior.\Ranta, you get the Thief.\Shihoru will be backup.\Yume, you come with me. response:	Okay.
context: We can't stop her.\It'd be no use trying.\Haruhiro-kun?\Moguzo, go for the Warrior.\Ranta, you get the Thief.\Shihoru will be backup.\Yume, you come with me.\Okay. response:	The undead.
context: It'd be no use trying.\Haruhiro-kun?\Moguzo, go for the Warrior.\Ranta, you get the Thief.\Shihoru will be backup.\Yume, you come with me.\Okay.\The undead. response:	What a sad curse.
context: Haruhiro-kun?\Moguzo, go for the Warrior.\Ranta, you get the Thief.\Shihoru will be backup.\Yume, you come with me.\Okay.\The undead.\What a sad curse. response:	They look like people you know well, but they're not.
context: Moguzo, go for the Warrior.\Ranta, you get the Thief.\Shihoru will be backup.\Yume, you come with me.\Okay.\The undead.\What a sad curse.\They look like people you know well, but they're not. response:	What remains of their bodies no longer hold memories, and they continue to move forever.
context: Ranta, you get the Thief.\Shihoru will be backup.\Yume, you come with me.\Okay.\The undead.\What a sad curse.\They look like people you know well, but they're not.\What remains of their bodies no longer hold memories, and they continue to move forever. response:	We have to let them rest.
context: Shihoru will be backup.\Yume, you come with me.\Okay.\The undead.\What a sad curse.\They look like people you know well, but they're not.\What remains of their bodies no longer hold memories, and they continue to move forever.\We have to let them rest. response:	Huh?! Where are they?
context: Yume, you come with me.\Okay.\The undead.\What a sad curse.\They look like people you know well, but they're not.\What remains of their bodies no longer hold memories, and they continue to move forever.\We have to let them rest.\Huh?! Where are they? response:	I can't see anything!
