context: The three of us, in our two-timing relationship, response:	started living together so we could grow closer.
context: Do not try this at home\Why did you leave?\Saki-san...\Saki-chan...\B-Because Nagisa-chan's...\better than me.\She tries so hard for you!\She's even good at cooking! response:	That's not true! You're perfectly...
context: Why did you leave?\Saki-san...\Saki-chan...\B-Because Nagisa-chan's...\better than me.\She tries so hard for you!\She's even good at cooking!\That's not true! You're perfectly... response:	I can't do anything!
context: Saki-san...\Saki-chan...\B-Because Nagisa-chan's...\better than me.\She tries so hard for you!\She's even good at cooking!\That's not true! You're perfectly...\I can't do anything! response:	My boobs aren't even as big!
context: Saki-chan...\B-Because Nagisa-chan's...\better than me.\She tries so hard for you!\She's even good at cooking!\That's not true! You're perfectly...\I can't do anything!\My boobs aren't even as big! response:	Let's not go there!
context: B-Because Nagisa-chan's...\better than me.\She tries so hard for you!\She's even good at cooking!\That's not true! You're perfectly...\I can't do anything!\My boobs aren't even as big!\Let's not go there! response:	Besides, I can't even think of anything I can do for you.
context: better than me.\She tries so hard for you!\She's even good at cooking!\That's not true! You're perfectly...\I can't do anything!\My boobs aren't even as big!\Let's not go there!\Besides, I can't even think of anything I can do for you. response:	Saki-chan...
context: She tries so hard for you!\She's even good at cooking!\That's not true! You're perfectly...\I can't do anything!\My boobs aren't even as big!\Let's not go there!\Besides, I can't even think of anything I can do for you.\Saki-chan... response:	Anyway, that's all I've got to say.
context: She's even good at cooking!\That's not true! You're perfectly...\I can't do anything!\My boobs aren't even as big!\Let's not go there!\Besides, I can't even think of anything I can do for you.\Saki-chan...\Anyway, that's all I've got to say. response:	You'll be happy with just Nagisa-chan soon enough!
context: That's not true! You're perfectly...\I can't do anything!\My boobs aren't even as big!\Let's not go there!\Besides, I can't even think of anything I can do for you.\Saki-chan...\Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough! response:	That's not true!
context: I can't do anything!\My boobs aren't even as big!\Let's not go there!\Besides, I can't even think of anything I can do for you.\Saki-chan...\Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough!\That's not true! response:	He's right, Saki-san.
context: My boobs aren't even as big!\Let's not go there!\Besides, I can't even think of anything I can do for you.\Saki-chan...\Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough!\That's not true!\He's right, Saki-san. response:	Forget it.
context: Let's not go there!\Besides, I can't even think of anything I can do for you.\Saki-chan...\Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough!\That's not true!\He's right, Saki-san.\Forget it. response:	Let me go!
context: Besides, I can't even think of anything I can do for you.\Saki-chan...\Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough!\That's not true!\He's right, Saki-san.\Forget it.\Let me go! response:	I'm really happy just getting to be with you.
context: Saki-chan...\Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough!\That's not true!\He's right, Saki-san.\Forget it.\Let me go!\I'm really happy just getting to be with you. response:	I don't care!
context: Anyway, that's all I've got to say.\You'll be happy with just Nagisa-chan soon enough!\That's not true!\He's right, Saki-san.\Forget it.\Let me go!\I'm really happy just getting to be with you.\I don't care! response:	At least tell me what you want me to do!
context: You'll be happy with just Nagisa-chan soon enough!\That's not true!\He's right, Saki-san.\Forget it.\Let me go!\I'm really happy just getting to be with you.\I don't care!\At least tell me what you want me to do! response:	You're good enough as you are!
context: That's not true!\He's right, Saki-san.\Forget it.\Let me go!\I'm really happy just getting to be with you.\I don't care!\At least tell me what you want me to do!\You're good enough as you are! response:	You idiot!
context: He's right, Saki-san.\Forget it.\Let me go!\I'm really happy just getting to be with you.\I don't care!\At least tell me what you want me to do!\You're good enough as you are!\You idiot! response:	Girlfriend, Girlfriend
context: Forget it.\Let me go!\I'm really happy just getting to be with you.\I don't care!\At least tell me what you want me to do!\You're good enough as you are!\You idiot!\Girlfriend, Girlfriend response:	Girlfriend, Girlfriend
context: Let me go!\I'm really happy just getting to be with you.\I don't care!\At least tell me what you want me to do!\You're good enough as you are!\You idiot!\Girlfriend, Girlfriend\Girlfriend, Girlfriend response:	Episode 4
context: I'm really happy just getting to be with you.\I don't care!\At least tell me what you want me to do!\You're good enough as you are!\You idiot!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 4 response:	Girlfriend and Girlfriend
context: I don't care!\At least tell me what you want me to do!\You're good enough as you are!\You idiot!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 4\Girlfriend and Girlfriend response:	N-Naoya-kun...
context: At least tell me what you want me to do!\You're good enough as you are!\You idiot!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 4\Girlfriend and Girlfriend\N-Naoya-kun... response:	I want to...
context: You're good enough as you are!\You idiot!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 4\Girlfriend and Girlfriend\N-Naoya-kun...\I want to... response:	I want to do something for Naoya, too.
context: You idiot!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 4\Girlfriend and Girlfriend\N-Naoya-kun...\I want to...\I want to do something for Naoya, too. response:	Even just the other day...
context: Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 4\Girlfriend and Girlfriend\N-Naoya-kun...\I want to...\I want to do something for Naoya, too.\Even just the other day... response:	Naoya, is there anything you want me to do?
context: Girlfriend, Girlfriend\Episode 4\Girlfriend and Girlfriend\N-Naoya-kun...\I want to...\I want to do something for Naoya, too.\Even just the other day...\Naoya, is there anything you want me to do? response:	No. In fact, is there anything you want me to do?
context: Episode 4\Girlfriend and Girlfriend\N-Naoya-kun...\I want to...\I want to do something for Naoya, too.\Even just the other day...\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do? response:	No, it's always been like that.
context: Girlfriend and Girlfriend\N-Naoya-kun...\I want to...\I want to do something for Naoya, too.\Even just the other day...\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\No, it's always been like that. response:	I don't mean to brag, but I'm terrible at doing chores.
context: N-Naoya-kun...\I want to...\I want to do something for Naoya, too.\Even just the other day...\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores. response:	Of course. You can take a break.
context: I want to...\I want to do something for Naoya, too.\Even just the other day...\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break. response:	The bath's ready, too.
context: I want to do something for Naoya, too.\Even just the other day...\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break.\The bath's ready, too. response:	I made some tea.
context: Even just the other day...\Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break.\The bath's ready, too.\I made some tea. response:	Even now!
context: Naoya, is there anything you want me to do?\No. In fact, is there anything you want me to do?\No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break.\The bath's ready, too.\I made some tea.\Even now! response:	Why don't you ask anything of me?!
context: No. In fact, is there anything you want me to do?\No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break.\The bath's ready, too.\I made some tea.\Even now!\Why don't you ask anything of me?! response:	S-S-Saki-san!
context: No, it's always been like that.\I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break.\The bath's ready, too.\I made some tea.\Even now!\Why don't you ask anything of me?!\S-S-Saki-san! response:	Sure, there's a lot that I wish I could have you do for me.
context: I don't mean to brag, but I'm terrible at doing chores.\Of course. You can take a break.\The bath's ready, too.\I made some tea.\Even now!\Why don't you ask anything of me?!\S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me. response:	But I'm still responsible for having started this relationship.
context: Of course. You can take a break.\The bath's ready, too.\I made some tea.\Even now!\Why don't you ask anything of me?!\S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship. response:	I think I need to first do my best for the both of you.
context: The bath's ready, too.\I made some tea.\Even now!\Why don't you ask anything of me?!\S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you. response:	May I?
context: I made some tea.\Even now!\Why don't you ask anything of me?!\S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you.\May I? response:	I can't blame Saki-san for having left.
context: Even now!\Why don't you ask anything of me?!\S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you.\May I?\I can't blame Saki-san for having left. response:	Huh? Minase-san?
context: Why don't you ask anything of me?!\S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you.\May I?\I can't blame Saki-san for having left.\Huh? Minase-san? response:	There's so much I want to do for you, too, but you always tell me I'm doing enough.
context: S-S-Saki-san!\Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you.\May I?\I can't blame Saki-san for having left.\Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough. response:	You tell me you'll do it.
context: Sure, there's a lot that I wish I could have you do for me.\But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you.\May I?\I can't blame Saki-san for having left.\Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it. response:	I can't stand that.
context: But I'm still responsible for having started this relationship.\I think I need to first do my best for the both of you.\May I?\I can't blame Saki-san for having left.\Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it.\I can't stand that. response:	No!
context: I think I need to first do my best for the both of you.\May I?\I can't blame Saki-san for having left.\Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it.\I can't stand that.\No! response:	Minase-san...
context: May I?\I can't blame Saki-san for having left.\Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it.\I can't stand that.\No!\Minase-san... response:	I want to devote at least 18 hours a day to you!
context: I can't blame Saki-san for having left.\Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it.\I can't stand that.\No!\Minase-san...\I want to devote at least 18 hours a day to you! response:	That's too much.
context: Huh? Minase-san?\There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it.\I can't stand that.\No!\Minase-san...\I want to devote at least 18 hours a day to you!\That's too much. response:	She's right, though.
context: There's so much I want to do for you, too, but you always tell me I'm doing enough.\You tell me you'll do it.\I can't stand that.\No!\Minase-san...\I want to devote at least 18 hours a day to you!\That's too much.\She's right, though. response:	I appreciate you doing things for me...
context: You tell me you'll do it.\I can't stand that.\No!\Minase-san...\I want to devote at least 18 hours a day to you!\That's too much.\She's right, though.\I appreciate you doing things for me... response:	But I want to make you happy, too.
context: I can't stand that.\No!\Minase-san...\I want to devote at least 18 hours a day to you!\That's too much.\She's right, though.\I appreciate you doing things for me...\But I want to make you happy, too. response:	I want to make you love me more.
context: No!\Minase-san...\I want to devote at least 18 hours a day to you!\That's too much.\She's right, though.\I appreciate you doing things for me...\But I want to make you happy, too.\I want to make you love me more. response:	I get it, Saki-san.
context: Minase-san...\I want to devote at least 18 hours a day to you!\That's too much.\She's right, though.\I appreciate you doing things for me...\But I want to make you happy, too.\I want to make you love me more.\I get it, Saki-san. response:	Right?
context: I want to devote at least 18 hours a day to you!\That's too much.\She's right, though.\I appreciate you doing things for me...\But I want to make you happy, too.\I want to make you love me more.\I get it, Saki-san.\Right? response:	I'm Naoya's...
context: That's too much.\She's right, though.\I appreciate you doing things for me...\But I want to make you happy, too.\I want to make you love me more.\I get it, Saki-san.\Right?\I'm Naoya's... response:	I'm also Naoya-kun's...
context: She's right, though.\I appreciate you doing things for me...\But I want to make you happy, too.\I want to make you love me more.\I get it, Saki-san.\Right?\I'm Naoya's...\I'm also Naoya-kun's... response:	Saki-chan, Minase-san...
context: I appreciate you doing things for me...\But I want to make you happy, too.\I want to make you love me more.\I get it, Saki-san.\Right?\I'm Naoya's...\I'm also Naoya-kun's...\Saki-chan, Minase-san... response:	Please don't take on the responsibility for dating two people all on your own!
context: But I want to make you happy, too.\I want to make you love me more.\I get it, Saki-san.\Right?\I'm Naoya's...\I'm also Naoya-kun's...\Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own! response:	You're an equal with the two of us.
context: I want to make you love me more.\I get it, Saki-san.\Right?\I'm Naoya's...\I'm also Naoya-kun's...\Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us. response:	Isn't that the whole point of dating?
context: I get it, Saki-san.\Right?\I'm Naoya's...\I'm also Naoya-kun's...\Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us.\Isn't that the whole point of dating? response:	I thought I couldn't be allowed to be happy until I made the two of you happy,
context: Right?\I'm Naoya's...\I'm also Naoya-kun's...\Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us.\Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy, response:	because I'm two-timing.
context: I'm Naoya's...\I'm also Naoya-kun's...\Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us.\Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing. response:	I was stupid!
context: I'm also Naoya-kun's...\Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us.\Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing.\I was stupid! response:	Hit me!
context: Saki-chan, Minase-san...\Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us.\Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing.\I was stupid!\Hit me! response:	No...
context: Please don't take on the responsibility for dating two people all on your own!\You're an equal with the two of us.\Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing.\I was stupid!\Hit me!\No... response:	Saki-san?!
context: You're an equal with the two of us.\Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing.\I was stupid!\Hit me!\No...\Saki-san?! response:	He told me what he wanted, so...
context: Isn't that the whole point of dating?\I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing.\I was stupid!\Hit me!\No...\Saki-san?!\He told me what he wanted, so... response:	That's how you took it?!
context: I thought I couldn't be allowed to be happy until I made the two of you happy,\because I'm two-timing.\I was stupid!\Hit me!\No...\Saki-san?!\He told me what he wanted, so...\That's how you took it?! response:	That's what I like about you.
context: because I'm two-timing.\I was stupid!\Hit me!\No...\Saki-san?!\He told me what he wanted, so...\That's how you took it?!\That's what I like about you. response:	It's why you're fun to be around.
context: I was stupid!\Hit me!\No...\Saki-san?!\He told me what he wanted, so...\That's how you took it?!\That's what I like about you.\It's why you're fun to be around. response:	Naoya...
context: Hit me!\No...\Saki-san?!\He told me what he wanted, so...\That's how you took it?!\That's what I like about you.\It's why you're fun to be around.\Naoya... response:	And there's a lot that I want you to do.
context: No...\Saki-san?!\He told me what he wanted, so...\That's how you took it?!\That's what I like about you.\It's why you're fun to be around.\Naoya...\And there's a lot that I want you to do. response:	I want to see you smile more!
context: Saki-san?!\He told me what he wanted, so...\That's how you took it?!\That's what I like about you.\It's why you're fun to be around.\Naoya...\And there's a lot that I want you to do.\I want to see you smile more! response:	Y-You got it!
context: He told me what he wanted, so...\That's how you took it?!\That's what I like about you.\It's why you're fun to be around.\Naoya...\And there's a lot that I want you to do.\I want to see you smile more!\Y-You got it! response:	And I want to see you angry more!
context: That's how you took it?!\That's what I like about you.\It's why you're fun to be around.\Naoya...\And there's a lot that I want you to do.\I want to see you smile more!\Y-You got it!\And I want to see you angry more! response:	How's this?
context: That's what I like about you.\It's why you're fun to be around.\Naoya...\And there's a lot that I want you to do.\I want to see you smile more!\Y-You got it!\And I want to see you angry more!\How's this? response:	I want your home cooking!
context: It's why you're fun to be around.\Naoya...\And there's a lot that I want you to do.\I want to see you smile more!\Y-You got it!\And I want to see you angry more!\How's this?\I want your home cooking! response:	I'll feed you char!
context: Naoya...\And there's a lot that I want you to do.\I want to see you smile more!\Y-You got it!\And I want to see you angry more!\How's this?\I want your home cooking!\I'll feed you char! response:	I want to see your swimsuit in summer!
context: And there's a lot that I want you to do.\I want to see you smile more!\Y-You got it!\And I want to see you angry more!\How's this?\I want your home cooking!\I'll feed you char!\I want to see your swimsuit in summer! response:	You'll see it!
context: I want to see you smile more!\Y-You got it!\And I want to see you angry more!\How's this?\I want your home cooking!\I'll feed you char!\I want to see your swimsuit in summer!\You'll see it! response:	And someday, a three
context: Y-You got it!\And I want to see you angry more!\How's this?\I want your home cooking!\I'll feed you char!\I want to see your swimsuit in summer!\You'll see it!\And someday, a three response:	Not happening!
context: And I want to see you angry more!\How's this?\I want your home cooking!\I'll feed you char!\I want to see your swimsuit in summer!\You'll see it!\And someday, a three\Not happening! response:	And more than anything,
context: How's this?\I want your home cooking!\I'll feed you char!\I want to see your swimsuit in summer!\You'll see it!\And someday, a three\Not happening!\And more than anything, response:	I want the three of us to continue living together.
context: I want your home cooking!\I'll feed you char!\I want to see your swimsuit in summer!\You'll see it!\And someday, a three\Not happening!\And more than anything,\I want the three of us to continue living together. response:	I know that.
context: I'll feed you char!\I want to see your swimsuit in summer!\You'll see it!\And someday, a three\Not happening!\And more than anything,\I want the three of us to continue living together.\I know that. response:	Jeez.
context: I want to see your swimsuit in summer!\You'll see it!\And someday, a three\Not happening!\And more than anything,\I want the three of us to continue living together.\I know that.\Jeez. response:	Saki-san!
context: You'll see it!\And someday, a three\Not happening!\And more than anything,\I want the three of us to continue living together.\I know that.\Jeez.\Saki-san! response:	Hey...
context: And someday, a three\Not happening!\And more than anything,\I want the three of us to continue living together.\I know that.\Jeez.\Saki-san!\Hey... response:	Thanks.
context: Not happening!\And more than anything,\I want the three of us to continue living together.\I know that.\Jeez.\Saki-san!\Hey...\Thanks. response:	I'm glad you two are on the same page.
context: And more than anything,\I want the three of us to continue living together.\I know that.\Jeez.\Saki-san!\Hey...\Thanks.\I'm glad you two are on the same page. response:	N-Nah, but...
context: I want the three of us to continue living together.\I know that.\Jeez.\Saki-san!\Hey...\Thanks.\I'm glad you two are on the same page.\N-Nah, but... response:	Nagisa-chan is still...
context: I know that.\Jeez.\Saki-san!\Hey...\Thanks.\I'm glad you two are on the same page.\N-Nah, but...\Nagisa-chan is still... response:	my r-rival!
context: Jeez.\Saki-san!\Hey...\Thanks.\I'm glad you two are on the same page.\N-Nah, but...\Nagisa-chan is still...\my r-rival! response:	Right.
context: Saki-san!\Hey...\Thanks.\I'm glad you two are on the same page.\N-Nah, but...\Nagisa-chan is still...\my r-rival!\Right. response:	I'm going to put up a fight.
context: Hey...\Thanks.\I'm glad you two are on the same page.\N-Nah, but...\Nagisa-chan is still...\my r-rival!\Right.\I'm going to put up a fight. response:	Nuh... G-g-ggh...
context: Thanks.\I'm glad you two are on the same page.\N-Nah, but...\Nagisa-chan is still...\my r-rival!\Right.\I'm going to put up a fight.\Nuh... G-g-ggh... response:	Saki has returned home.
context: I'm glad you two are on the same page.\N-Nah, but...\Nagisa-chan is still...\my r-rival!\Right.\I'm going to put up a fight.\Nuh... G-g-ggh...\Saki has returned home. response:	Girlfriend, Girlfriend
context: N-Nah, but...\Nagisa-chan is still...\my r-rival!\Right.\I'm going to put up a fight.\Nuh... G-g-ggh...\Saki has returned home.\Girlfriend, Girlfriend response:	Staaare...
context: Nagisa-chan is still...\my r-rival!\Right.\I'm going to put up a fight.\Nuh... G-g-ggh...\Saki has returned home.\Girlfriend, Girlfriend\Staaare... response:	Those must be nice to squeeze.
context: my r-rival!\Right.\I'm going to put up a fight.\Nuh... G-g-ggh...\Saki has returned home.\Girlfriend, Girlfriend\Staaare...\Those must be nice to squeeze. response:	Saki-san, dinner's ready!
context: Right.\I'm going to put up a fight.\Nuh... G-g-ggh...\Saki has returned home.\Girlfriend, Girlfriend\Staaare...\Those must be nice to squeeze.\Saki-san, dinner's ready! response:	I worked really hard on dinner to commemorate your return.
context: I'm going to put up a fight.\Nuh... G-g-ggh...\Saki has returned home.\Girlfriend, Girlfriend\Staaare...\Those must be nice to squeeze.\Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return. response:	It looks delicious.
context: Nuh... G-g-ggh...\Saki has returned home.\Girlfriend, Girlfriend\Staaare...\Those must be nice to squeeze.\Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return.\It looks delicious. response:	You worked so hard on this dinner,
context: Saki has returned home.\Girlfriend, Girlfriend\Staaare...\Those must be nice to squeeze.\Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return.\It looks delicious.\You worked so hard on this dinner, response:	and Naoya is...
context: Girlfriend, Girlfriend\Staaare...\Those must be nice to squeeze.\Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return.\It looks delicious.\You worked so hard on this dinner,\and Naoya is... response:	He stayed up three whole nights to try to patch things up with you.
context: Staaare...\Those must be nice to squeeze.\Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return.\It looks delicious.\You worked so hard on this dinner,\and Naoya is...\He stayed up three whole nights to try to patch things up with you. response:	Oh, yeah...
context: Those must be nice to squeeze.\Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return.\It looks delicious.\You worked so hard on this dinner,\and Naoya is...\He stayed up three whole nights to try to patch things up with you.\Oh, yeah... response:	Well, let's eat before it gets cold.
context: Saki-san, dinner's ready!\I worked really hard on dinner to commemorate your return.\It looks delicious.\You worked so hard on this dinner,\and Naoya is...\He stayed up three whole nights to try to patch things up with you.\Oh, yeah...\Well, let's eat before it gets cold. response:	Time to eat!
context: I worked really hard on dinner to commemorate your return.\It looks delicious.\You worked so hard on this dinner,\and Naoya is...\He stayed up three whole nights to try to patch things up with you.\Oh, yeah...\Well, let's eat before it gets cold.\Time to eat! response:	Yum!
context: It looks delicious.\You worked so hard on this dinner,\and Naoya is...\He stayed up three whole nights to try to patch things up with you.\Oh, yeah...\Well, let's eat before it gets cold.\Time to eat!\Yum! response:	I'm glad you like it.
context: You worked so hard on this dinner,\and Naoya is...\He stayed up three whole nights to try to patch things up with you.\Oh, yeah...\Well, let's eat before it gets cold.\Time to eat!\Yum!\I'm glad you like it. response:	B-But just to be clear, you and I are still rivals.
context: and Naoya is...\He stayed up three whole nights to try to patch things up with you.\Oh, yeah...\Well, let's eat before it gets cold.\Time to eat!\Yum!\I'm glad you like it.\B-But just to be clear, you and I are still rivals. response:	I-I know.
context: He stayed up three whole nights to try to patch things up with you.\Oh, yeah...\Well, let's eat before it gets cold.\Time to eat!\Yum!\I'm glad you like it.\B-But just to be clear, you and I are still rivals.\I-I know. response:	But I like you, Saki-san.
context: Oh, yeah...\Well, let's eat before it gets cold.\Time to eat!\Yum!\I'm glad you like it.\B-But just to be clear, you and I are still rivals.\I-I know.\But I like you, Saki-san. response:	I want us to be friends.
context: Well, let's eat before it gets cold.\Time to eat!\Yum!\I'm glad you like it.\B-But just to be clear, you and I are still rivals.\I-I know.\But I like you, Saki-san.\I want us to be friends. response:	I do, too!
context: Time to eat!\Yum!\I'm glad you like it.\B-But just to be clear, you and I are still rivals.\I-I know.\But I like you, Saki-san.\I want us to be friends.\I do, too! response:	You're so adorable.
