context: That's hot! Ouchie! response:	Calm down Menma.
context: I want you to tell me directly.\Please tell me Menma.\Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels.\Let's see...\What the? It doesn't work Jintan.\Why is that? You could write in the diary. response:	Let me try.
context: Please tell me Menma.\Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels.\Let's see...\What the? It doesn't work Jintan.\Why is that? You could write in the diary.\Let me try. response:	It looks like it still has ink in it.
context: Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels.\Let's see...\What the? It doesn't work Jintan.\Why is that? You could write in the diary.\Let me try.\It looks like it still has ink in it. response:	Give it back! Let me try again!
context: Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels.\Let's see...\What the? It doesn't work Jintan.\Why is that? You could write in the diary.\Let me try.\It looks like it still has ink in it.\Give it back! Let me try again! response:	Hold on.
context: Now Menma can show how she feels.\Let's see...\What the? It doesn't work Jintan.\Why is that? You could write in the diary.\Let me try.\It looks like it still has ink in it.\Give it back! Let me try again!\Hold on. response:	Tsuruko that hurts.
context: Let's see...\What the? It doesn't work Jintan.\Why is that? You could write in the diary.\Let me try.\It looks like it still has ink in it.\Give it back! Let me try again!\Hold on.\Tsuruko that hurts. response:	Tsuruko.
context: What the? It doesn't work Jintan.\Why is that? You could write in the diary.\Let me try.\It looks like it still has ink in it.\Give it back! Let me try again!\Hold on.\Tsuruko that hurts.\Tsuruko. response:	I feel really sleepy for some reason.
context: Why is that? You could write in the diary.\Let me try.\It looks like it still has ink in it.\Give it back! Let me try again!\Hold on.\Tsuruko that hurts.\Tsuruko.\I feel really sleepy for some reason. response:	I know what you mean. It's like I'm too relaxed.
context: Let me try.\It looks like it still has ink in it.\Give it back! Let me try again!\Hold on.\Tsuruko that hurts.\Tsuruko.\I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed. response:	What's wrong?
context: It looks like it still has ink in it.\Give it back! Let me try again!\Hold on.\Tsuruko that hurts.\Tsuruko.\I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed.\What's wrong? response:	Menma isn't angry at us.
context: Give it back! Let me try again!\Hold on.\Tsuruko that hurts.\Tsuruko.\I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed.\What's wrong?\Menma isn't angry at us. response:	She forgave us.
context: Hold on.\Tsuruko that hurts.\Tsuruko.\I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed.\What's wrong?\Menma isn't angry at us.\She forgave us. response:	We don't know whether she's really forgiven us or not.
context: Tsuruko that hurts.\Tsuruko.\I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed.\What's wrong?\Menma isn't angry at us.\She forgave us.\We don't know whether she's really forgiven us or not. response:	What do you mean? I don't think she'd have made muffin bread for us if she was angry.
context: Tsuruko.\I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed.\What's wrong?\Menma isn't angry at us.\She forgave us.\We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry. response:	It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.
context: I feel really sleepy for some reason.\I know what you mean. It's like I'm too relaxed.\What's wrong?\Menma isn't angry at us.\She forgave us.\We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us. response:	That aside...
context: I know what you mean. It's like I'm too relaxed.\What's wrong?\Menma isn't angry at us.\She forgave us.\We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside... response:	If she could write all along, why didn't she just do that from the start?
context: What's wrong?\Menma isn't angry at us.\She forgave us.\We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside...\If she could write all along, why didn't she just do that from the start? response:	You have a point there. If she did, we could have communicated with her and believed in her existence immediately.
context: Menma isn't angry at us.\She forgave us.\We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside...\If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately. response:	Both Menma and Jintan can be real airheads.
context: She forgave us.\We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside...\If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads. response:	That's not it.
context: We don't know whether she's really forgiven us or not.\What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside...\If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads.\That's not it. response:	He told us to believe in Menma.
context: What do you mean? I don't think she'd have made muffin bread for us if she was angry.\It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside...\If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads.\That's not it.\He told us to believe in Menma. response:	But really he just wanted to keep her for himself.
context: It's also possible that she's appeared in order to condemn us precisely because she hasn't forgiven us.\That aside...\If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads.\That's not it.\He told us to believe in Menma.\But really he just wanted to keep her for himself. response:	Hisakawa, Anjou, make sure to save up what you earn from your jobs.
context: That aside...\If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads.\That's not it.\He told us to believe in Menma.\But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs. response:	Sure.
context: If she could write all along, why didn't she just do that from the start?\You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads.\That's not it.\He told us to believe in Menma.\But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure. response:	We'll make fireworks.
context: You have a point there. If she did, we could have communicated with her and believed in her existence immediately.\Both Menma and Jintan can be real airheads.\That's not it.\He told us to believe in Menma.\But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure.\We'll make fireworks. response:	Definitely.
context: Both Menma and Jintan can be real airheads.\That's not it.\He told us to believe in Menma.\But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure.\We'll make fireworks.\Definitely. response:	I'll definitely make Menma go to heaven.
context: That's not it.\He told us to believe in Menma.\But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure.\We'll make fireworks.\Definitely.\I'll definitely make Menma go to heaven. response:	Yukiatsu.
context: He told us to believe in Menma.\But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure.\We'll make fireworks.\Definitely.\I'll definitely make Menma go to heaven.\Yukiatsu. response:	You ran around in top gear for so long it's no wonder you're tired.
context: But really he just wanted to keep her for himself.\Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure.\We'll make fireworks.\Definitely.\I'll definitely make Menma go to heaven.\Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired. response:	We all want to make fireworks together.
context: Hisakawa, Anjou, make sure to save up what you earn from your jobs.\Sure.\We'll make fireworks.\Definitely.\I'll definitely make Menma go to heaven.\Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together. response:	To make you...
context: Sure.\We'll make fireworks.\Definitely.\I'll definitely make Menma go to heaven.\Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together.\To make you... response:	Go to heaven.
context: We'll make fireworks.\Definitely.\I'll definitely make Menma go to heaven.\Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together.\To make you...\Go to heaven. response:	Would you like that?
context: Definitely.\I'll definitely make Menma go to heaven.\Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together.\To make you...\Go to heaven.\Would you like that? response:	You were awake?
context: I'll definitely make Menma go to heaven.\Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together.\To make you...\Go to heaven.\Would you like that?\You were awake? response:	Thank you Jintan.
context: Yukiatsu.\You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together.\To make you...\Go to heaven.\Would you like that?\You were awake?\Thank you Jintan. response:	Thank you.
context: You ran around in top gear for so long it's no wonder you're tired.\We all want to make fireworks together.\To make you...\Go to heaven.\Would you like that?\You were awake?\Thank you Jintan.\Thank you. response:	It's fine like this.
context: We all want to make fireworks together.\To make you...\Go to heaven.\Would you like that?\You were awake?\Thank you Jintan.\Thank you.\It's fine like this. response:	It's fine.
context: To make you...\Go to heaven.\Would you like that?\You were awake?\Thank you Jintan.\Thank you.\It's fine like this.\It's fine. response:	Just like this.
context: Go to heaven.\Would you like that?\You were awake?\Thank you Jintan.\Thank you.\It's fine like this.\It's fine.\Just like this. response:	Please!
context: Would you like that?\You were awake?\Thank you Jintan.\Thank you.\It's fine like this.\It's fine.\Just like this.\Please! response:	Maybe it's really hopeless.
context: You were awake?\Thank you Jintan.\Thank you.\It's fine like this.\It's fine.\Just like this.\Please!\Maybe it's really hopeless. response:	Round and round I go!
context: Thank you Jintan.\Thank you.\It's fine like this.\It's fine.\Just like this.\Please!\Maybe it's really hopeless.\Round and round I go! response:	Menma! Running around like that is dangerous.
context: Thank you.\It's fine like this.\It's fine.\Just like this.\Please!\Maybe it's really hopeless.\Round and round I go!\Menma! Running around like that is dangerous. response:	I'll be fine!
context: It's fine like this.\It's fine.\Just like this.\Please!\Maybe it's really hopeless.\Round and round I go!\Menma! Running around like that is dangerous.\I'll be fine! response:	Menma is running? Then I will too!
context: It's fine.\Just like this.\Please!\Maybe it's really hopeless.\Round and round I go!\Menma! Running around like that is dangerous.\I'll be fine!\Menma is running? Then I will too! response:	Wait for me Menma!
context: Just like this.\Please!\Maybe it's really hopeless.\Round and round I go!\Menma! Running around like that is dangerous.\I'll be fine!\Menma is running? Then I will too!\Wait for me Menma! response:	I'm over here Poppo.
context: Please!\Maybe it's really hopeless.\Round and round I go!\Menma! Running around like that is dangerous.\I'll be fine!\Menma is running? Then I will too!\Wait for me Menma!\I'm over here Poppo. response:	Well that's something.
context: Maybe it's really hopeless.\Round and round I go!\Menma! Running around like that is dangerous.\I'll be fine!\Menma is running? Then I will too!\Wait for me Menma!\I'm over here Poppo.\Well that's something. response:	I couldn't forgive myself for liking you.
context: Round and round I go!\Menma! Running around like that is dangerous.\I'll be fine!\Menma is running? Then I will too!\Wait for me Menma!\I'm over here Poppo.\Well that's something.\I couldn't forgive myself for liking you. response:	Menma!
context: Menma! Running around like that is dangerous.\I'll be fine!\Menma is running? Then I will too!\Wait for me Menma!\I'm over here Poppo.\Well that's something.\I couldn't forgive myself for liking you.\Menma! response:	Yeah?
context: I'll be fine!\Menma is running? Then I will too!\Wait for me Menma!\I'm over here Poppo.\Well that's something.\I couldn't forgive myself for liking you.\Menma!\Yeah? response:	That's the way it is.
context: Menma is running? Then I will too!\Wait for me Menma!\I'm over here Poppo.\Well that's something.\I couldn't forgive myself for liking you.\Menma!\Yeah?\That's the way it is. response:	I'm sorry.
context: Wait for me Menma!\I'm over here Poppo.\Well that's something.\I couldn't forgive myself for liking you.\Menma!\Yeah?\That's the way it is.\I'm sorry. response:	Could you cover my shift for next week?
context: I'm over here Poppo.\Well that's something.\I couldn't forgive myself for liking you.\Menma!\Yeah?\That's the way it is.\I'm sorry.\Could you cover my shift for next week? response:	Your shift?
context: Well that's something.\I couldn't forgive myself for liking you.\Menma!\Yeah?\That's the way it is.\I'm sorry.\Could you cover my shift for next week?\Your shift? response:	On Thursday they're doing construction on the bridge.
context: I couldn't forgive myself for liking you.\Menma!\Yeah?\That's the way it is.\I'm sorry.\Could you cover my shift for next week?\Your shift?\On Thursday they're doing construction on the bridge. response:	The pay is high so I want to be there.
context: Menma!\Yeah?\That's the way it is.\I'm sorry.\Could you cover my shift for next week?\Your shift?\On Thursday they're doing construction on the bridge.\The pay is high so I want to be there. response:	Jintan.
context: Yeah?\That's the way it is.\I'm sorry.\Could you cover my shift for next week?\Your shift?\On Thursday they're doing construction on the bridge.\The pay is high so I want to be there.\Jintan. response:	So she's finally gotten tired.
context: That's the way it is.\I'm sorry.\Could you cover my shift for next week?\Your shift?\On Thursday they're doing construction on the bridge.\The pay is high so I want to be there.\Jintan.\So she's finally gotten tired. response:	Hey, listen listen, over there...
context: I'm sorry.\Could you cover my shift for next week?\Your shift?\On Thursday they're doing construction on the bridge.\The pay is high so I want to be there.\Jintan.\So she's finally gotten tired.\Hey, listen listen, over there... response:	Good afternoon.
context: Could you cover my shift for next week?\Your shift?\On Thursday they're doing construction on the bridge.\The pay is high so I want to be there.\Jintan.\So she's finally gotten tired.\Hey, listen listen, over there...\Good afternoon. response:	You two are...
context: Your shift?\On Thursday they're doing construction on the bridge.\The pay is high so I want to be there.\Jintan.\So she's finally gotten tired.\Hey, listen listen, over there...\Good afternoon.\You two are... response:	Yeah, that woman...
context: On Thursday they're doing construction on the bridge.\The pay is high so I want to be there.\Jintan.\So she's finally gotten tired.\Hey, listen listen, over there...\Good afternoon.\You two are...\Yeah, that woman... response:	Meiko's mother probably told Yama about it.
context: The pay is high so I want to be there.\Jintan.\So she's finally gotten tired.\Hey, listen listen, over there...\Good afternoon.\You two are...\Yeah, that woman...\Meiko's mother probably told Yama about it. response:	So it was her after all.
context: Jintan.\So she's finally gotten tired.\Hey, listen listen, over there...\Good afternoon.\You two are...\Yeah, that woman...\Meiko's mother probably told Yama about it.\So it was her after all. response:	So you're not the one against the fireworks.
context: So she's finally gotten tired.\Hey, listen listen, over there...\Good afternoon.\You two are...\Yeah, that woman...\Meiko's mother probably told Yama about it.\So it was her after all.\So you're not the one against the fireworks. response:	She's still living in the past.
context: Hey, listen listen, over there...\Good afternoon.\You two are...\Yeah, that woman...\Meiko's mother probably told Yama about it.\So it was her after all.\So you're not the one against the fireworks.\She's still living in the past. response:	Time hasn't moved at all for her since what happened to Meiko.
context: Good afternoon.\You two are...\Yeah, that woman...\Meiko's mother probably told Yama about it.\So it was her after all.\So you're not the one against the fireworks.\She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko. response:	I want to pull her back into the present.
context: You two are...\Yeah, that woman...\Meiko's mother probably told Yama about it.\So it was her after all.\So you're not the one against the fireworks.\She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present. response:	That's why I don't want to force her to remember any more. Forgive me.
context: Yeah, that woman...\Meiko's mother probably told Yama about it.\So it was her after all.\So you're not the one against the fireworks.\She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me. response:	Please!
context: Meiko's mother probably told Yama about it.\So it was her after all.\So you're not the one against the fireworks.\She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me.\Please! response:	Yukiatsu.
context: So it was her after all.\So you're not the one against the fireworks.\She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me.\Please!\Yukiatsu. response:	Matsuyuki.
context: So you're not the one against the fireworks.\She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me.\Please!\Yukiatsu.\Matsuyuki. response:	I don't want to sound pretentious, but I think I understand how your wife feels.
context: She's still living in the past.\Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me.\Please!\Yukiatsu.\Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels. response:	I liked your daughter Meiko.
context: Time hasn't moved at all for her since what happened to Meiko.\I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me.\Please!\Yukiatsu.\Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko. response:	I want to do something for Meiko.
context: I want to pull her back into the present.\That's why I don't want to force her to remember any more. Forgive me.\Please!\Yukiatsu.\Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko.\I want to do something for Meiko. response:	I was also living in the past, which is all the more reason I...
context: That's why I don't want to force her to remember any more. Forgive me.\Please!\Yukiatsu.\Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko.\I want to do something for Meiko.\I was also living in the past, which is all the more reason I... response:	I was surprised you did something so uncool.
context: Please!\Yukiatsu.\Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko.\I want to do something for Meiko.\I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool. response:	I even surprised myself.
context: Yukiatsu.\Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko.\I want to do something for Meiko.\I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool.\I even surprised myself. response:	You really haven't changed.
context: Matsuyuki.\I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko.\I want to do something for Meiko.\I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool.\I even surprised myself.\You really haven't changed. response:	You'd do anything for Menma.
context: I don't want to sound pretentious, but I think I understand how your wife feels.\I liked your daughter Meiko.\I want to do something for Meiko.\I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool.\I even surprised myself.\You really haven't changed.\You'd do anything for Menma. response:	Tsuruko.
context: I liked your daughter Meiko.\I want to do something for Meiko.\I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool.\I even surprised myself.\You really haven't changed.\You'd do anything for Menma.\Tsuruko. response:	Are you OK with it?
context: I want to do something for Meiko.\I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool.\I even surprised myself.\You really haven't changed.\You'd do anything for Menma.\Tsuruko.\Are you OK with it? response:	What?
context: I was also living in the past, which is all the more reason I...\I was surprised you did something so uncool.\I even surprised myself.\You really haven't changed.\You'd do anything for Menma.\Tsuruko.\Are you OK with it?\What? response:	If you really believe in Menma, are you okay with making her go to heaven?
context: I was surprised you did something so uncool.\I even surprised myself.\You really haven't changed.\You'd do anything for Menma.\Tsuruko.\Are you OK with it?\What?\If you really believe in Menma, are you okay with making her go to heaven? response:	You were so obsessed with Menma, and now you can even talk to her through Yadomi.
context: I even surprised myself.\You really haven't changed.\You'd do anything for Menma.\Tsuruko.\Are you OK with it?\What?\If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi. response:	And yet...
context: You really haven't changed.\You'd do anything for Menma.\Tsuruko.\Are you OK with it?\What?\If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet... response:	Only through Yadomi.
context: You'd do anything for Menma.\Tsuruko.\Are you OK with it?\What?\If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet...\Only through Yadomi. response:	Hey.
context: Tsuruko.\Are you OK with it?\What?\If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet...\Only through Yadomi.\Hey. response:	Hey.
context: Are you OK with it?\What?\If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet...\Only through Yadomi.\Hey.\Hey. response:	Yo. What's up.
context: What?\If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet...\Only through Yadomi.\Hey.\Hey.\Yo. What's up. response:	Are you heading to work?
context: If you really believe in Menma, are you okay with making her go to heaven?\You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet...\Only through Yadomi.\Hey.\Hey.\Yo. What's up.\Are you heading to work? response:	Yeah. I'll be working late tonight so I thought I'd take Menma home first.
context: You were so obsessed with Menma, and now you can even talk to her through Yadomi.\And yet...\Only through Yadomi.\Hey.\Hey.\Yo. What's up.\Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first. response:	Is Menma here?
context: And yet...\Only through Yadomi.\Hey.\Hey.\Yo. What's up.\Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here? response:	She doesn't want to be locked up inside so she's been following me everywhere.
context: Only through Yadomi.\Hey.\Hey.\Yo. What's up.\Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here?\She doesn't want to be locked up inside so she's been following me everywhere. response:	Yeah. I want to try my best together with everyone.
context: Hey.\Hey.\Yo. What's up.\Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here?\She doesn't want to be locked up inside so she's been following me everywhere.\Yeah. I want to try my best together with everyone. response:	Yeah, yeah.
context: Hey.\Yo. What's up.\Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here?\She doesn't want to be locked up inside so she's been following me everywhere.\Yeah. I want to try my best together with everyone.\Yeah, yeah. response:	She says she wants to be together with everyone.
context: Yo. What's up.\Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here?\She doesn't want to be locked up inside so she's been following me everywhere.\Yeah. I want to try my best together with everyone.\Yeah, yeah.\She says she wants to be together with everyone. response:	Is Menma's hair still long?
context: Are you heading to work?\Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here?\She doesn't want to be locked up inside so she's been following me everywhere.\Yeah. I want to try my best together with everyone.\Yeah, yeah.\She says she wants to be together with everyone.\Is Menma's hair still long? response:	Yukiatsu.
context: Yeah. I'll be working late tonight so I thought I'd take Menma home first.\Is Menma here?\She doesn't want to be locked up inside so she's been following me everywhere.\Yeah. I want to try my best together with everyone.\Yeah, yeah.\She says she wants to be together with everyone.\Is Menma's hair still long?\Yukiatsu. response:	Yeah. Actually she's grown like the rest of us.
