context: May I ask a question? response:	Queen to F3.
context: But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka?\No.\I'll go into battle.\Queen to F6, check.\King to F6, king takes queen.\We're in agreement, then.\Bishop to E5, check. response:	I'll put it on the monitor.
context: Do you want to be removed from the front lines, Ensign Kaizuka?\No.\I'll go into battle.\Queen to F6, check.\King to F6, king takes queen.\We're in agreement, then.\Bishop to E5, check.\I'll put it on the monitor. response:	Did you come up with that move yourself?
context: No.\I'll go into battle.\Queen to F6, check.\King to F6, king takes queen.\We're in agreement, then.\Bishop to E5, check.\I'll put it on the monitor.\Did you come up with that move yourself? response:	Or is it something that analytical engine of yours cooked up?
context: I'll go into battle.\Queen to F6, check.\King to F6, king takes queen.\We're in agreement, then.\Bishop to E5, check.\I'll put it on the monitor.\Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up? response:	It's mine, about 70-30.
context: Queen to F6, check.\King to F6, king takes queen.\We're in agreement, then.\Bishop to E5, check.\I'll put it on the monitor.\Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30. response:	About 70-30?
context: King to F6, king takes queen.\We're in agreement, then.\Bishop to E5, check.\I'll put it on the monitor.\Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30.\About 70-30? response:	I'm assigning tasks to unused brain cells to try to optimize its processing.
context: We're in agreement, then.\Bishop to E5, check.\I'll put it on the monitor.\Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30.\About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing. response:	So it's both the device's suggestion and my own idea at the same time.
context: Bishop to E5, check.\I'll put it on the monitor.\Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30.\About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time. response:	This ship and her crew both owe you our lives.
context: I'll put it on the monitor.\Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30.\About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives. response:	If you want to fight, I think we should support that.
context: Did you come up with that move yourself?\Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30.\About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives.\If you want to fight, I think we should support that. response:	I don't deserve any special treatment.
context: Or is it something that analytical engine of yours cooked up?\It's mine, about 70-30.\About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives.\If you want to fight, I think we should support that.\I don't deserve any special treatment. response:	Did you hear that Aldnoah activation tests were conducted
context: It's mine, about 70-30.\About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives.\If you want to fight, I think we should support that.\I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted response:	using blood samples that had been drawn from the princess?
context: About 70-30?\I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives.\If you want to fight, I think we should support that.\I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess? response:	King to G5.
context: I'm assigning tasks to unused brain cells to try to optimize its processing.\So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives.\If you want to fight, I think we should support that.\I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess?\King to G5. response:	Result, failure. Blood alone was not sufficient for Aldnoah activation.
context: So it's both the device's suggestion and my own idea at the same time.\This ship and her crew both owe you our lives.\If you want to fight, I think we should support that.\I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess?\King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation. response:	So you could be considered a special case indeed, Ensign.
context: This ship and her crew both owe you our lives.\If you want to fight, I think we should support that.\I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess?\King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign. response:	When you resuscitated the princess, the activation factor transferred to...
context: If you want to fight, I think we should support that.\I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess?\King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to... response:	no, infected you.
context: I don't deserve any special treatment.\Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess?\King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to...\no, infected you. response:	Then it was fully activated when you came into contact with royal blood.
context: Did you hear that Aldnoah activation tests were conducted\using blood samples that had been drawn from the princess?\King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to...\no, infected you.\Then it was fully activated when you came into contact with royal blood. response:	Over the past ten months or so,
context: using blood samples that had been drawn from the princess?\King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to...\no, infected you.\Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so, response:	we've obtained plenty of intel on Aldnoah and their Kataphrakts.
context: King to G5.\Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to...\no, infected you.\Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts. response:	But they still have the overwhelming edge in military strength.
context: Result, failure. Blood alone was not sufficient for Aldnoah activation.\So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to...\no, infected you.\Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength. response:	There's no guarantee that we'll win if we keep on fighting.
context: So you could be considered a special case indeed, Ensign.\When you resuscitated the princess, the activation factor transferred to...\no, infected you.\Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting. response:	But if we do, Ensign Kaizuka... I'll put my money on you.
context: When you resuscitated the princess, the activation factor transferred to...\no, infected you.\Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you. response:	Bishop to G7.
context: no, infected you.\Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7. response:	Do you resign?
context: Then it was fully activated when you came into contact with royal blood.\Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7.\Do you resign? response:	Was that move yours? Or your left eye's?
context: Over the past ten months or so,\we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7.\Do you resign?\Was that move yours? Or your left eye's? response:	I'll leave that to your imagination.
context: we've obtained plenty of intel on Aldnoah and their Kataphrakts.\But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7.\Do you resign?\Was that move yours? Or your left eye's?\I'll leave that to your imagination. response:	I suppose not even the Tharsis can see that far into the future.
context: But they still have the overwhelming edge in military strength.\There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7.\Do you resign?\Was that move yours? Or your left eye's?\I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future. response:	See to it.
context: There's no guarantee that we'll win if we keep on fighting.\But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7.\Do you resign?\Was that move yours? Or your left eye's?\I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future.\See to it. response:	Yes, sir.
context: But if we do, Ensign Kaizuka... I'll put my money on you.\Bishop to G7.\Do you resign?\Was that move yours? Or your left eye's?\I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future.\See to it.\Yes, sir. response:	I clustered my shots in the region that you calculated, Mr. Harklight.
context: Bishop to G7.\Do you resign?\Was that move yours? Or your left eye's?\I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future.\See to it.\Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight. response:	Let us pray that they won't be influenced by some unexpected wind.
context: Do you resign?\Was that move yours? Or your left eye's?\I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future.\See to it.\Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind. response:	Ah, I thought I smelled something. A dog has snuck aboard.
context: Was that move yours? Or your left eye's?\I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future.\See to it.\Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard. response:	A rather grubby one, at that.
context: I'll leave that to your imagination.\I suppose not even the Tharsis can see that far into the future.\See to it.\Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that. response:	What are you doing here?
context: I suppose not even the Tharsis can see that far into the future.\See to it.\Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that.\What are you doing here? response:	Good day, Count Barouhcruz. Count Marylcian.
context: See to it.\Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that.\What are you doing here?\Good day, Count Barouhcruz. Count Marylcian. response:	I rushed here so that I might join in the battle as well.
context: Yes, sir.\I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that.\What are you doing here?\Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well. response:	Terran dog...
context: I clustered my shots in the region that you calculated, Mr. Harklight.\Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that.\What are you doing here?\Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well.\Terran dog... response:	Mind your tongue!
context: Let us pray that they won't be influenced by some unexpected wind.\Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that.\What are you doing here?\Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well.\Terran dog...\Mind your tongue! response:	Count Saazbaum!
context: Ah, I thought I smelled something. A dog has snuck aboard.\A rather grubby one, at that.\What are you doing here?\Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well.\Terran dog...\Mind your tongue!\Count Saazbaum! response:	Slaine Troyard here is my vassal.
context: A rather grubby one, at that.\What are you doing here?\Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well.\Terran dog...\Mind your tongue!\Count Saazbaum!\Slaine Troyard here is my vassal. response:	If he has given some offense, I offer my apologies.
context: What are you doing here?\Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well.\Terran dog...\Mind your tongue!\Count Saazbaum!\Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies. response:	However, if this treatment is unwarranted,
context: Good day, Count Barouhcruz. Count Marylcian.\I rushed here so that I might join in the battle as well.\Terran dog...\Mind your tongue!\Count Saazbaum!\Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted, response:	Count Marylcian,
context: I rushed here so that I might join in the battle as well.\Terran dog...\Mind your tongue!\Count Saazbaum!\Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted,\Count Marylcian, response:	it will not go well for you.
context: Terran dog...\Mind your tongue!\Count Saazbaum!\Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted,\Count Marylcian,\it will not go well for you. response:	If this Terran were merely your pet, it would be eccentric, but tolerable.
context: Mind your tongue!\Count Saazbaum!\Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted,\Count Marylcian,\it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable. response:	But to appoint him a knight?
context: Count Saazbaum!\Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted,\Count Marylcian,\it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight? response:	Is that not taking your game too far?
context: Slaine Troyard here is my vassal.\If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted,\Count Marylcian,\it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight?\Is that not taking your game too far? response:	Count Barouhcruz, it is not your place to offer opinions regarding my vassals.
context: If he has given some offense, I offer my apologies.\However, if this treatment is unwarranted,\Count Marylcian,\it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight?\Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals. response:	Perhaps, but him fighting alongside us is another matter entirely!
context: However, if this treatment is unwarranted,\Count Marylcian,\it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight?\Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely! response:	One cannot take to the field of battle
context: Count Marylcian,\it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight?\Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle response:	with someone who might turn traitor at any moment!
context: it will not go well for you.\If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight?\Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle\with someone who might turn traitor at any moment! response:	If that is your concern, please strike me down right here.
context: If this Terran were merely your pet, it would be eccentric, but tolerable.\But to appoint him a knight?\Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle\with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here. response:	You are entirely correct. If I go into battle with you,
context: But to appoint him a knight?\Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle\with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you, response:	it might very well be me who is attacked from behind.
context: Is that not taking your game too far?\Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle\with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind. response:	How dare you!
context: Count Barouhcruz, it is not your place to offer opinions regarding my vassals.\Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle\with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind.\How dare you! response:	Men!
context: Perhaps, but him fighting alongside us is another matter entirely!\One cannot take to the field of battle\with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind.\How dare you!\Men! response:	Hear me, all of you!
context: One cannot take to the field of battle\with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind.\How dare you!\Men!\Hear me, all of you! response:	By the grace of the emperor of Vers,
context: with someone who might turn traitor at any moment!\If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind.\How dare you!\Men!\Hear me, all of you!\By the grace of the emperor of Vers, response:	I name Slaine Troyard my son right here and now.
context: If that is your concern, please strike me down right here.\You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind.\How dare you!\Men!\Hear me, all of you!\By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now. response:	All of you here are my witnesses!
context: You are entirely correct. If I go into battle with you,\it might very well be me who is attacked from behind.\How dare you!\Men!\Hear me, all of you!\By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now.\All of you here are my witnesses! response:	Milord Count...
context: it might very well be me who is attacked from behind.\How dare you!\Men!\Hear me, all of you!\By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now.\All of you here are my witnesses!\Milord Count... response:	Stand, Slaine.
context: How dare you!\Men!\Hear me, all of you!\By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now.\All of you here are my witnesses!\Milord Count...\Stand, Slaine. response:	From this day forth, you are my son.
context: Men!\Hear me, all of you!\By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now.\All of you here are my witnesses!\Milord Count...\Stand, Slaine.\From this day forth, you are my son. response:	Will you raise a hand to him even now, Count Marylcian?
context: Hear me, all of you!\By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now.\All of you here are my witnesses!\Milord Count...\Stand, Slaine.\From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian? response:	If you are prepared to go to such lengths, so be it.
context: By the grace of the emperor of Vers,\I name Slaine Troyard my son right here and now.\All of you here are my witnesses!\Milord Count...\Stand, Slaine.\From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it. response:	But if his behavior is the least bit suspicious, I will put him down without mercy.
context: I name Slaine Troyard my son right here and now.\All of you here are my witnesses!\Milord Count...\Stand, Slaine.\From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy. response:	Forgive me. I have put you in an awkward position.
context: All of you here are my witnesses!\Milord Count...\Stand, Slaine.\From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position. response:	It is fine. I had decided to do this long ago.
context: Milord Count...\Stand, Slaine.\From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago. response:	I, too, take to the field of battle. I must have a successor just in case.
context: Stand, Slaine.\From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case. response:	From now on, think of me as your father.
context: From this day forth, you are my son.\Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father. response:	Congratulations, Milord Slaine!
context: Will you raise a hand to him even now, Count Marylcian?\If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father.\Congratulations, Milord Slaine! response:	The count's heir... This puts you one step closer to your dream.
context: If you are prepared to go to such lengths, so be it.\But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father.\Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream. response:	That's enough, Mr. Harklight.
context: But if his behavior is the least bit suspicious, I will put him down without mercy.\Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father.\Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight. response:	I don't have any dreams.
context: Forgive me. I have put you in an awkward position.\It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father.\Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight.\I don't have any dreams. response:	It's almost time.
context: It is fine. I had decided to do this long ago.\I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father.\Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight.\I don't have any dreams.\It's almost time. response:	Yes...
context: I, too, take to the field of battle. I must have a successor just in case.\From now on, think of me as your father.\Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight.\I don't have any dreams.\It's almost time.\Yes... response:	Who do you think will win, Eddelrittuo?
context: From now on, think of me as your father.\Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight.\I don't have any dreams.\It's almost time.\Yes...\Who do you think will win, Eddelrittuo? response:	Th-The glorious Vers Imperial Forces will emerge victorious, of course!
context: Congratulations, Milord Slaine!\The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight.\I don't have any dreams.\It's almost time.\Yes...\Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course! response:	Oh? Doesn't that trouble you?
context: The count's heir... This puts you one step closer to your dream.\That's enough, Mr. Harklight.\I don't have any dreams.\It's almost time.\Yes...\Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you? response:	You have friends aboard a United Earth Forces ship, don't you?
context: That's enough, Mr. Harklight.\I don't have any dreams.\It's almost time.\Yes...\Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you? response:	Perish the thought! Friends on Earth?
context: I don't have any dreams.\It's almost time.\Yes...\Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth? response:	Of course. Let's have a wager, then.
context: It's almost time.\Yes...\Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth?\Of course. Let's have a wager, then. response:	A wager?
context: Yes...\Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth?\Of course. Let's have a wager, then.\A wager? response:	If the Vers Empire wins, I bet...
context: Who do you think will win, Eddelrittuo?\Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth?\Of course. Let's have a wager, then.\A wager?\If the Vers Empire wins, I bet... response:	Let me think...
context: Th-The glorious Vers Imperial Forces will emerge victorious, of course!\Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth?\Of course. Let's have a wager, then.\A wager?\If the Vers Empire wins, I bet...\Let me think... response:	My sister's life, perhaps?
context: Oh? Doesn't that trouble you?\You have friends aboard a United Earth Forces ship, don't you?\Perish the thought! Friends on Earth?\Of course. Let's have a wager, then.\A wager?\If the Vers Empire wins, I bet...\Let me think...\My sister's life, perhaps? response:	I'm joking.
