context: (Where did that even come from, right?) response:	I decided I'm going to confess to my crush.
context: Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls.\But you don't have a girlfriend.\Why's that?\Are you gay?\I'm not popular!\I'm not gay! response:	I want a girlfriend!
context: It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls.\But you don't have a girlfriend.\Why's that?\Are you gay?\I'm not popular!\I'm not gay!\I want a girlfriend! response:	I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)
context: but you seem surprisingly popular with girls.\But you don't have a girlfriend.\Why's that?\Are you gay?\I'm not popular!\I'm not gay!\I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><) response:	Yes!
context: But you don't have a girlfriend.\Why's that?\Are you gay?\I'm not popular!\I'm not gay!\I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes! response:	Yes, yes, yes!
context: Why's that?\Are you gay?\I'm not popular!\I'm not gay!\I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes!\Yes, yes, yes! response:	Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)
context: Are you gay?\I'm not popular!\I'm not gay!\I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes!\Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><) response:	Oh, yeah? You want a girlfriend, huh?
context: I'm not popular!\I'm not gay!\I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes!\Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh? response:	I want a boyfriend, too!
context: I'm not gay!\I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes!\Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too! response:	Nii-chan, can I play video games?
context: I want a girlfriend!\I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes!\Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too!\Nii-chan, can I play video games? response:	Saki-chan, want some peaches?
context: I'm not popular!! I'm not gay!! () I want a girlfriend!! (><)\Yes!\Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too!\Nii-chan, can I play video games?\Saki-chan, want some peaches? response:	No thanks!
context: Yes!\Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too!\Nii-chan, can I play video games?\Saki-chan, want some peaches?\No thanks! response:	Why don't you find a boyfriend? Aren't you interested in anyone? v)
context: Yes, yes, yes!\Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too!\Nii-chan, can I play video games?\Saki-chan, want some peaches?\No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v) response:	Why don't you find a boyfriend?
context: Oh, yeah? You want a girlfriend, huh? I want a boyfriend, too! (><)\Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too!\Nii-chan, can I play video games?\Saki-chan, want some peaches?\No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend? response:	Aren't you interested in anyone?
context: Oh, yeah? You want a girlfriend, huh?\I want a boyfriend, too!\Nii-chan, can I play video games?\Saki-chan, want some peaches?\No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend?\Aren't you interested in anyone? response:	Actually, I do!
context: I want a boyfriend, too!\Nii-chan, can I play video games?\Saki-chan, want some peaches?\No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend?\Aren't you interested in anyone?\Actually, I do! response:	She's not replying.
context: Nii-chan, can I play video games?\Saki-chan, want some peaches?\No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend?\Aren't you interested in anyone?\Actually, I do!\She's not replying. response:	Was that a bad thing to ask?
context: Saki-chan, want some peaches?\No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend?\Aren't you interested in anyone?\Actually, I do!\She's not replying.\Was that a bad thing to ask? response:	Should I confess now?
context: No thanks!\Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend?\Aren't you interested in anyone?\Actually, I do!\She's not replying.\Was that a bad thing to ask?\Should I confess now? response:	But by text?
context: Why don't you find a boyfriend? Aren't you interested in anyone? v)\Why don't you find a boyfriend?\Aren't you interested in anyone?\Actually, I do!\She's not replying.\Was that a bad thing to ask?\Should I confess now?\But by text? response:	But when am I going to do it if not now?
context: Why don't you find a boyfriend?\Aren't you interested in anyone?\Actually, I do!\She's not replying.\Was that a bad thing to ask?\Should I confess now?\But by text?\But when am I going to do it if not now? response:	What if he rejects me, though?
context: Aren't you interested in anyone?\Actually, I do!\She's not replying.\Was that a bad thing to ask?\Should I confess now?\But by text?\But when am I going to do it if not now?\What if he rejects me, though? response:	Dammit!
context: Actually, I do!\She's not replying.\Was that a bad thing to ask?\Should I confess now?\But by text?\But when am I going to do it if not now?\What if he rejects me, though?\Dammit! response:	Tell him! Tell him! Tell him!
context: She's not replying.\Was that a bad thing to ask?\Should I confess now?\But by text?\But when am I going to do it if not now?\What if he rejects me, though?\Dammit!\Tell him! Tell him! Tell him! response:	Wait, this conversation...
context: Was that a bad thing to ask?\Should I confess now?\But by text?\But when am I going to do it if not now?\What if he rejects me, though?\Dammit!\Tell him! Tell him! Tell him!\Wait, this conversation... response:	Is it safe for me to confess?
context: Should I confess now?\But by text?\But when am I going to do it if not now?\What if he rejects me, though?\Dammit!\Tell him! Tell him! Tell him!\Wait, this conversation...\Is it safe for me to confess? response:	No, by text, though?
context: But by text?\But when am I going to do it if not now?\What if he rejects me, though?\Dammit!\Tell him! Tell him! Tell him!\Wait, this conversation...\Is it safe for me to confess?\No, by text, though? response:	Urgh...
context: But when am I going to do it if not now?\What if he rejects me, though?\Dammit!\Tell him! Tell him! Tell him!\Wait, this conversation...\Is it safe for me to confess?\No, by text, though?\Urgh... response:	Someone I'm interested in? I'm interested in...
context: What if he rejects me, though?\Dammit!\Tell him! Tell him! Tell him!\Wait, this conversation...\Is it safe for me to confess?\No, by text, though?\Urgh...\Someone I'm interested in? I'm interested in... response:	Urgh...
context: Dammit!\Tell him! Tell him! Tell him!\Wait, this conversation...\Is it safe for me to confess?\No, by text, though?\Urgh...\Someone I'm interested in? I'm interested in...\Urgh... response:	I'm interested in you, Takase.
context: Tell him! Tell him! Tell him!\Wait, this conversation...\Is it safe for me to confess?\No, by text, though?\Urgh...\Someone I'm interested in? I'm interested in...\Urgh...\I'm interested in you, Takase. response:	Sorry to tell you like this, but I like you.
context: Wait, this conversation...\Is it safe for me to confess?\No, by text, though?\Urgh...\Someone I'm interested in? I'm interested in...\Urgh...\I'm interested in you, Takase.\Sorry to tell you like this, but I like you. response:	Please go out with me.
context: Is it safe for me to confess?\No, by text, though?\Urgh...\Someone I'm interested in? I'm interested in...\Urgh...\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\Please go out with me. response:	I don't care if you reject me. Just please don't hate me...
context: No, by text, though?\Urgh...\Someone I'm interested in? I'm interested in...\Urgh...\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\Please go out with me.\I don't care if you reject me. Just please don't hate me... response:	I don't care if you reject me. Just please don't hate me!
context: Urgh...\Someone I'm interested in? I'm interested in...\Urgh...\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\Please go out with me.\I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me! response:	Can I tell her?
context: Someone I'm interested in? I'm interested in...\Urgh...\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\Please go out with me.\I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me!\Can I tell her? response:	But by text, though?
context: Urgh...\I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\Please go out with me.\I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me!\Can I tell her?\But by text, though? response:	I mean, this is going well, but...
context: I'm interested in you, Takase.\Sorry to tell you like this, but I like you.\Please go out with me.\I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me!\Can I tell her?\But by text, though?\I mean, this is going well, but... response:	Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.
context: Sorry to tell you like this, but I like you.\Please go out with me.\I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me!\Can I tell her?\But by text, though?\I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend. response:	Are you asleep? Passed out?
context: Please go out with me.\I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me!\Can I tell her?\But by text, though?\I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out? response:	About what we were saying, there's actually someone I like.
context: I don't care if you reject me. Just please don't hate me...\I don't care if you reject me. Just please don't hate me!\Can I tell her?\But by text, though?\I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out?\About what we were saying, there's actually someone I like. response:	I like you, Kanda-san.
context: I don't care if you reject me. Just please don't hate me!\Can I tell her?\But by text, though?\I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I like you, Kanda-san. response:	Please be my girlfriend.
context: Can I tell her?\But by text, though?\I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I like you, Kanda-san.\Please be my girlfriend. response:	Send
context: But by text, though?\I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I like you, Kanda-san.\Please be my girlfriend.\Send response:	Cancel
context: I mean, this is going well, but...\Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I like you, Kanda-san.\Please be my girlfriend.\Send\Cancel response:	New Message
context: Are you asleep? Passed out? About what we were saying, there's actually someone I like. I like you, Kanda-san. Please be my girlfriend.\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I like you, Kanda-san.\Please be my girlfriend.\Send\Cancel\New Message response:	To: Kanda Saki
context: Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I like you, Kanda-san.\Please be my girlfriend.\Send\Cancel\New Message\To: Kanda Saki response:	Message Sent
context: About what we were saying, there's actually someone I like.\I like you, Kanda-san.\Please be my girlfriend.\Send\Cancel\New Message\To: Kanda Saki\Message Sent response:	tremble tremble
context: I like you, Kanda-san.\Please be my girlfriend.\Send\Cancel\New Message\To: Kanda Saki\Message Sent\tremble tremble response:	That was a quick reply.
context: Please be my girlfriend.\Send\Cancel\New Message\To: Kanda Saki\Message Sent\tremble tremble\That was a quick reply. response:	Maybe he sent me something at the same time.
context: Send\Cancel\New Message\To: Kanda Saki\Message Sent\tremble tremble\That was a quick reply.\Maybe he sent me something at the same time. response:	Huh?
context: Cancel\New Message\To: Kanda Saki\Message Sent\tremble tremble\That was a quick reply.\Maybe he sent me something at the same time.\Huh? response:	Are you asleep? Passed out?
context: New Message\To: Kanda Saki\Message Sent\tremble tremble\That was a quick reply.\Maybe he sent me something at the same time.\Huh?\Are you asleep? Passed out? response:	About what we were saying, there's actually someone I like.
context: To: Kanda Saki\Message Sent\tremble tremble\That was a quick reply.\Maybe he sent me something at the same time.\Huh?\Are you asleep? Passed out?\About what we were saying, there's actually someone I like. response:	I'll tell you at school tomorrow. Can you wait for me after school?
context: Message Sent\tremble tremble\That was a quick reply.\Maybe he sent me something at the same time.\Huh?\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school? response:	You know those people who confess by text?
context: tremble tremble\That was a quick reply.\Maybe he sent me something at the same time.\Huh?\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text? response:	You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!
context: That was a quick reply.\Maybe he sent me something at the same time.\Huh?\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night! response:	I think that's pretty shitty.
context: Maybe he sent me something at the same time.\Huh?\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty. response:	Okay, good night!
context: Huh?\Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty.\Okay, good night! response:	I think that's pretty shitty... I think that's pretty shitty...
context: Are you asleep? Passed out?\About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty.\Okay, good night!\I think that's pretty shitty... I think that's pretty shitty... response:	Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.
context: About what we were saying, there's actually someone I like.\I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty.\Okay, good night!\I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me. response:	Nii-chan, I'm going to sleep, so turn off the lights
context: I'll tell you at school tomorrow. Can you wait for me after school?\You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty.\Okay, good night!\I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights response:	Nii-chan?
context: You know those people who confess by text?\You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty.\Okay, good night!\I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan? response:	Saki-chan, I need the peach plate back.
context: You know those people who confess by text? I think that's pretty shitty (Where did that even come from, right?) Okay, good night!\I think that's pretty shitty.\Okay, good night!\I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan?\Saki-chan, I need the peach plate back. response:	Saki-chan, are you asleep?
context: I think that's pretty shitty.\Okay, good night!\I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan?\Saki-chan, I need the peach plate back.\Saki-chan, are you asleep? response:	The End
context: Okay, good night!\I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan?\Saki-chan, I need the peach plate back.\Saki-chan, are you asleep?\The End response:	My childhood friend, Nanase, always looks grouchy.
context: I think that's pretty shitty... I think that's pretty shitty...\Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan?\Saki-chan, I need the peach plate back.\Saki-chan, are you asleep?\The End\My childhood friend, Nanase, always looks grouchy. response:	That's just my normal face.
context: Someone I'm interested in? I'm interested in... I'm interested in you, Takase. Sorry to tell you like this, but I like you. Please go out with me.\Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan?\Saki-chan, I need the peach plate back.\Saki-chan, are you asleep?\The End\My childhood friend, Nanase, always looks grouchy.\That's just my normal face. response:	Childhood Friend
context: Nii-chan, I'm going to sleep, so turn off the lights\Nii-chan?\Saki-chan, I need the peach plate back.\Saki-chan, are you asleep?\The End\My childhood friend, Nanase, always looks grouchy.\That's just my normal face.\Childhood Friend response:	Good job, Kaga-kun!
context: Nii-chan?\Saki-chan, I need the peach plate back.\Saki-chan, are you asleep?\The End\My childhood friend, Nanase, always looks grouchy.\That's just my normal face.\Childhood Friend\Good job, Kaga-kun! response:	You found us a really cute new member!
context: Saki-chan, I need the peach plate back.\Saki-chan, are you asleep?\The End\My childhood friend, Nanase, always looks grouchy.\That's just my normal face.\Childhood Friend\Good job, Kaga-kun!\You found us a really cute new member! response:	Nah, not really.
context: Saki-chan, are you asleep?\The End\My childhood friend, Nanase, always looks grouchy.\That's just my normal face.\Childhood Friend\Good job, Kaga-kun!\You found us a really cute new member!\Nah, not really. response:	That's the next president for you!
context: The End\My childhood friend, Nanase, always looks grouchy.\That's just my normal face.\Childhood Friend\Good job, Kaga-kun!\You found us a really cute new member!\Nah, not really.\That's the next president for you! response:	Shall I rub your shoulders?
context: My childhood friend, Nanase, always looks grouchy.\That's just my normal face.\Childhood Friend\Good job, Kaga-kun!\You found us a really cute new member!\Nah, not really.\That's the next president for you!\Shall I rub your shoulders? response:	Wait, Sasahara-senpai!
context: That's just my normal face.\Childhood Friend\Good job, Kaga-kun!\You found us a really cute new member!\Nah, not really.\That's the next president for you!\Shall I rub your shoulders?\Wait, Sasahara-senpai! response:	No, thank you!
context: Childhood Friend\Good job, Kaga-kun!\You found us a really cute new member!\Nah, not really.\That's the next president for you!\Shall I rub your shoulders?\Wait, Sasahara-senpai!\No, thank you! response:	I'm only here because I'm interested in stars.
context: Good job, Kaga-kun!\You found us a really cute new member!\Nah, not really.\That's the next president for you!\Shall I rub your shoulders?\Wait, Sasahara-senpai!\No, thank you!\I'm only here because I'm interested in stars. response:	It's not because Kaga invited me.
context: You found us a really cute new member!\Nah, not really.\That's the next president for you!\Shall I rub your shoulders?\Wait, Sasahara-senpai!\No, thank you!\I'm only here because I'm interested in stars.\It's not because Kaga invited me. response:	Oh? Really?
context: Nah, not really.\That's the next president for you!\Shall I rub your shoulders?\Wait, Sasahara-senpai!\No, thank you!\I'm only here because I'm interested in stars.\It's not because Kaga invited me.\Oh? Really? response:	You two seem close, I thought you were dati
context: That's the next president for you!\Shall I rub your shoulders?\Wait, Sasahara-senpai!\No, thank you!\I'm only here because I'm interested in stars.\It's not because Kaga invited me.\Oh? Really?\You two seem close, I thought you were dati response:	We aren't!
context: Shall I rub your shoulders?\Wait, Sasahara-senpai!\No, thank you!\I'm only here because I'm interested in stars.\It's not because Kaga invited me.\Oh? Really?\You two seem close, I thought you were dati\We aren't! response:	Nanase and I just happen to live close together.
context: Wait, Sasahara-senpai!\No, thank you!\I'm only here because I'm interested in stars.\It's not because Kaga invited me.\Oh? Really?\You two seem close, I thought you were dati\We aren't!\Nanase and I just happen to live close together. response:	This happens as soon as I say we're childhood friends.
context: No, thank you!\I'm only here because I'm interested in stars.\It's not because Kaga invited me.\Oh? Really?\You two seem close, I thought you were dati\We aren't!\Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends. response:	I don't think anything of Nanase.
context: I'm only here because I'm interested in stars.\It's not because Kaga invited me.\Oh? Really?\You two seem close, I thought you were dati\We aren't!\Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends.\I don't think anything of Nanase. response:	I don't think anything of him, either.
context: It's not because Kaga invited me.\Oh? Really?\You two seem close, I thought you were dati\We aren't!\Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends.\I don't think anything of Nanase.\I don't think anything of him, either. response:	Besides, it seems Kaga has a crush on someone else.
context: Oh? Really?\You two seem close, I thought you were dati\We aren't!\Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends.\I don't think anything of Nanase.\I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else. response:	Really, Kaga-kun?
context: You two seem close, I thought you were dati\We aren't!\Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends.\I don't think anything of Nanase.\I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun? response:	O-Of course I don't!
context: We aren't!\Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends.\I don't think anything of Nanase.\I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun?\O-Of course I don't! response:	Are you sure?
context: Nanase and I just happen to live close together.\This happens as soon as I say we're childhood friends.\I don't think anything of Nanase.\I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun?\O-Of course I don't!\Are you sure? response:	I can more-or-less tell.
context: This happens as soon as I say we're childhood friends.\I don't think anything of Nanase.\I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun?\O-Of course I don't!\Are you sure?\I can more-or-less tell. response:	Want me to take a guess?
context: I don't think anything of Nanase.\I don't think anything of him, either.\Besides, it seems Kaga has a crush on someone else.\Really, Kaga-kun?\O-Of course I don't!\Are you sure?\I can more-or-less tell.\Want me to take a guess? response:	Hmm?
