context: Beasts of Love response:	Next Time
context: I've had a long journey on the vast wheel of fate, gathering sorrows along the way\I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta response:	yume kara sameta ato mo kanashii sora miteta
context: I'm not perfect, but I'm giving all I have\If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta response:	kono kimochi happa no ue ni susunderu
context: If I open my fragile heart to you, I know I'll bleed...\But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu response:	asatsuyu wo ochiru oto ni mimi wo sumaseteru no
context: But I'll always be with you, always be in your arms\We'll get on a shining ship of light\And call forth the wind with our voices\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no response:	kamisama anata ga tsukutta sekai wa kanpeki ja nai
context: We'll get on a shining ship of light\And call forth the wind with our voices\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai response:	koko de wa mainichi koi ga boroboro shindeku
context: And call forth the wind with our voices\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku response:	hajimete suki ni natta no wo anata wa shiranai deshou
context: kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou response:	chikyuu no uragawa de ii kara soba ni ite hoshikatta
context: shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta response:	watashi wo wasuretemo ii kara soba ni ite hoshikatta
context: yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta response:	There were white flowers growing
context: kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing response:	on the road on the hill that leads to you
context: asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you response:	When I woke from the dream, the sky still looked sad
context: kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad response:	My feelings drift on a leaf in the wind
context: koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind response:	I'm straining my ears for the sound of the dew falling
context: hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling response:	God in Heaven, this world You made is far from perfect
context: chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect response:	Down here, love is shattered day by day
context: watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day response:	You don't know what it's like to fall in love for the first time
context: There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time response:	Let it be on the other end of the world, but I wanted to be with him
context: on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him response:	Even if You were to forget me, I wanted to be with him
context: When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him response:	kimi he tsuzuku sakamichi ni
context: My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni response:	shiroi hana ga saiteta
context: I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta response:	yume kara sameta ato mo kanashii sora miteta
context: God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta response:	kono kimochi happa no ue ni susunderu
context: Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu response:	asatsuyu wo ochiru oto ni mimi wo sumaseteru no
context: You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no response:	kamisama anata ga tsukutta sekai wa kanpeki ja nai
context: Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai response:	koko de wa mainichi koi ga boroboro shindeku
context: Even if You were to forget me, I wanted to be with him\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku response:	hajimete suki ni natta no wo anata wa shiranai deshou
context: kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou response:	chikyuu no uragawa de ii kara soba ni ite hoshikatta
context: shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta response:	watashi wo wasuretemo ii kara soba ni ite hoshikatta
context: yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta response:	There were white flowers growing
context: kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing response:	on the road on the hill that leads to you
context: asatsuyu wo ochiru oto ni mimi wo sumaseteru no\kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you response:	When I woke from the dream, the sky still looked sad
context: kamisama anata ga tsukutta sekai wa kanpeki ja nai\koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad response:	My feelings drift on a leaf in the wind
context: koko de wa mainichi koi ga boroboro shindeku\hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind response:	I'm straining my ears for the sound of the dew falling
context: hajimete suki ni natta no wo anata wa shiranai deshou\chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling response:	God in Heaven, this world You made is far from perfect
context: chikyuu no uragawa de ii kara soba ni ite hoshikatta\watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect response:	Down here, love is shattered day by day
context: watashi wo wasuretemo ii kara soba ni ite hoshikatta\There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day response:	You don't know what it's like to fall in love for the first time
context: There were white flowers growing\on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time response:	Let it be on the other end of the world, but I wanted to be with him
context: on the road on the hill that leads to you\When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him response:	Even if You were to forget me, I wanted to be with him
context: When I woke from the dream, the sky still looked sad\My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him response:	All of you are going to be born again!
context: My feelings drift on a leaf in the wind\I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\All of you are going to be born again! response:	And I'll be waiting for you!
context: I'm straining my ears for the sound of the dew falling\God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\All of you are going to be born again!\And I'll be waiting for you! response:	As time flows on, we are all being born moment by moment and reborn moment by moment.
context: God in Heaven, this world You made is far from perfect\Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\All of you are going to be born again!\And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment. response:	The instant that nothing becomes something...
context: Down here, love is shattered day by day\You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\All of you are going to be born again!\And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something... response:	is now!
context: You don't know what it's like to fall in love for the first time\Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\All of you are going to be born again!\And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something...\is now! response:	What happened?
context: Let it be on the other end of the world, but I wanted to be with him\Even if You were to forget me, I wanted to be with him\All of you are going to be born again!\And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something...\is now!\What happened? response:	Mikono?
context: Even if You were to forget me, I wanted to be with him\All of you are going to be born again!\And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something...\is now!\What happened?\Mikono? response:	Happy birthday!
context: All of you are going to be born again!\And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something...\is now!\What happened?\Mikono?\Happy birthday! response:	No way!
context: And I'll be waiting for you!\As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something...\is now!\What happened?\Mikono?\Happy birthday!\No way! response:	How is he here?
context: As time flows on, we are all being born moment by moment and reborn moment by moment.\The instant that nothing becomes something...\is now!\What happened?\Mikono?\Happy birthday!\No way!\How is he here? response:	It's that beast boy!
context: The instant that nothing becomes something...\is now!\What happened?\Mikono?\Happy birthday!\No way!\How is he here?\It's that beast boy! response:	Those who do not complete the rite of passage will not grow.
context: is now!\What happened?\Mikono?\Happy birthday!\No way!\How is he here?\It's that beast boy!\Those who do not complete the rite of passage will not grow. response:	Being reborn from the darkness was a good trial for them.
context: What happened?\Mikono?\Happy birthday!\No way!\How is he here?\It's that beast boy!\Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them. response:	Get the girls back! He's after women!
context: Mikono?\Happy birthday!\No way!\How is he here?\It's that beast boy!\Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women! response:	That's discrimination!
context: Happy birthday!\No way!\How is he here?\It's that beast boy!\Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women!\That's discrimination! response:	Give it a rest! Do what he said and get away!
context: No way!\How is he here?\It's that beast boy!\Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women!\That's discrimination!\Give it a rest! Do what he said and get away! response:	We're just up against a person!
context: How is he here?\It's that beast boy!\Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women!\That's discrimination!\Give it a rest! Do what he said and get away!\We're just up against a person! response:	Show me what you learned in hand-to-hand training!
context: It's that beast boy!\Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women!\That's discrimination!\Give it a rest! Do what he said and get away!\We're just up against a person!\Show me what you learned in hand-to-hand training! response:	Follow my lead!
context: Those who do not complete the rite of passage will not grow.\Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women!\That's discrimination!\Give it a rest! Do what he said and get away!\We're just up against a person!\Show me what you learned in hand-to-hand training!\Follow my lead! response:	What?
context: Being reborn from the darkness was a good trial for them.\Get the girls back! He's after women!\That's discrimination!\Give it a rest! Do what he said and get away!\We're just up against a person!\Show me what you learned in hand-to-hand training!\Follow my lead!\What? response:	Donar!
context: Get the girls back! He's after women!\That's discrimination!\Give it a rest! Do what he said and get away!\We're just up against a person!\Show me what you learned in hand-to-hand training!\Follow my lead!\What?\Donar! response:	Professor!
