context: I'm sorry. response:	I'm sorry, Tanaka-san.
context: You're a busy guy.\There he goes again. How pathetic.\I'm going to knock some courage into him.\What are you thinking?\That kind of thing won't work on Hinata.\But we won't know'til we try it.\Tanaka! Keep this simpleton away from him.\Right. response:	Haikyu!!
context: There he goes again. How pathetic.\I'm going to knock some courage into him.\What are you thinking?\That kind of thing won't work on Hinata.\But we won't know'til we try it.\Tanaka! Keep this simpleton away from him.\Right.\Haikyu!! response:	Episode 6: An Interesting Team
context: I'm going to knock some courage into him.\What are you thinking?\That kind of thing won't work on Hinata.\But we won't know'til we try it.\Tanaka! Keep this simpleton away from him.\Right.\Haikyu!!\Episode 6: An Interesting Team response:	Hey, that Karasuno team that's coming today...
context: What are you thinking?\That kind of thing won't work on Hinata.\But we won't know'til we try it.\Tanaka! Keep this simpleton away from him.\Right.\Haikyu!!\Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today... response:	isn't that where you-know-who is?
context: That kind of thing won't work on Hinata.\But we won't know'til we try it.\Tanaka! Keep this simpleton away from him.\Right.\Haikyu!!\Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today...\isn't that where you-know-who is? response:	Who?
context: But we won't know'til we try it.\Tanaka! Keep this simpleton away from him.\Right.\Haikyu!!\Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today...\isn't that where you-know-who is?\Who? response:	The King of the Court.
context: Tanaka! Keep this simpleton away from him.\Right.\Haikyu!!\Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today...\isn't that where you-know-who is?\Who?\The King of the Court. response:	You went to the same junior high he did, didn't you, Kindaichi?
context: Right.\Haikyu!!\Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today...\isn't that where you-know-who is?\Who?\The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi? response:	Oh, you mean Kageyama?
context: Haikyu!!\Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today...\isn't that where you-know-who is?\Who?\The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama? response:	He's no big deal.
context: Episode 6: An Interesting Team\Hey, that Karasuno team that's coming today...\isn't that where you-know-who is?\Who?\The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama?\He's no big deal. response:	Sure, he was head and shoulders above the rest in skill,
context: Hey, that Karasuno team that's coming today...\isn't that where you-know-who is?\Who?\The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama?\He's no big deal.\Sure, he was head and shoulders above the rest in skill, response:	but he's just not cut out to be a team player, at all.
context: isn't that where you-know-who is?\Who?\The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama?\He's no big deal.\Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all. response:	He's too self-centered.
context: Who?\The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama?\He's no big deal.\Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all.\He's too self-centered. response:	I see... I guess since he went to Karasuno,
context: The King of the Court.\You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama?\He's no big deal.\Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all.\He's too self-centered.\I see... I guess since he went to Karasuno, response:	his strength as a player must be a thing of the past.
context: You went to the same junior high he did, didn't you, Kindaichi?\Oh, you mean Kageyama?\He's no big deal.\Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all.\He's too self-centered.\I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past. response:	Besides, all I know about Karasuno is that their manager is a beauty.
context: Oh, you mean Kageyama?\He's no big deal.\Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all.\He's too self-centered.\I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty. response:	Are you serious?
context: He's no big deal.\Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all.\He's too self-centered.\I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious? response:	That's right. She's kind of sexy.
context: Sure, he was head and shoulders above the rest in skill,\but he's just not cut out to be a team player, at all.\He's too self-centered.\I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious?\That's right. She's kind of sexy. response:	Oh yeah, and there's a riffraff kind of guy there, too.
context: but he's just not cut out to be a team player, at all.\He's too self-centered.\I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious?\That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too. response:	He's got a shaved head, and an unpleasant look in his eyes.
context: He's too self-centered.\I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious?\That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes. response:	He looks real stupid.
context: I see... I guess since he went to Karasuno,\his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious?\That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid. response:	Um...
context: his strength as a player must be a thing of the past.\Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious?\That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid.\Um... response:	Don't underestimate us too much,
context: Besides, all I know about Karasuno is that their manager is a beauty.\Are you serious?\That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid.\Um...\Don't underestimate us too much, response:	or we'll eat you alive.
context: Are you serious?\That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid.\Um...\Don't underestimate us too much,\or we'll eat you alive. response:	You shouldn't say things like that, Tanaka-san.
context: That's right. She's kind of sexy.\Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid.\Um...\Don't underestimate us too much,\or we'll eat you alive.\You shouldn't say things like that, Tanaka-san. response:	Look what you did. You scared these poor elites.
context: Oh yeah, and there's a riffraff kind of guy there, too.\He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid.\Um...\Don't underestimate us too much,\or we'll eat you alive.\You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites. response:	Now I feel sorry for them.
context: He's got a shaved head, and an unpleasant look in his eyes.\He looks real stupid.\Um...\Don't underestimate us too much,\or we'll eat you alive.\You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites.\Now I feel sorry for them. response:	We're not intimidated.
context: He looks real stupid.\Um...\Don't underestimate us too much,\or we'll eat you alive.\You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites.\Now I feel sorry for them.\We're not intimidated. response:	Who's the guy with the glasses?
context: Um...\Don't underestimate us too much,\or we'll eat you alive.\You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites.\Now I feel sorry for them.\We're not intimidated.\Who's the guy with the glasses? response:	Was there a guy that tall at Karasuno?
context: Don't underestimate us too much,\or we'll eat you alive.\You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites.\Now I feel sorry for them.\We're not intimidated.\Who's the guy with the glasses?\Was there a guy that tall at Karasuno? response:	Oh, you're right. We should save our bullying for the match.
context: or we'll eat you alive.\You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites.\Now I feel sorry for them.\We're not intimidated.\Who's the guy with the glasses?\Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match. response:	You guys.
context: You shouldn't say things like that, Tanaka-san.\Look what you did. You scared these poor elites.\Now I feel sorry for them.\We're not intimidated.\Who's the guy with the glasses?\Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match.\You guys. response:	I can't let you out of my sight.
context: Look what you did. You scared these poor elites.\Now I feel sorry for them.\We're not intimidated.\Who's the guy with the glasses?\Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match.\You guys.\I can't let you out of my sight. response:	We apologize.
context: Now I feel sorry for them.\We're not intimidated.\Who's the guy with the glasses?\Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match.\You guys.\I can't let you out of my sight.\We apologize. response:	Oh, it's all right.
context: We're not intimidated.\Who's the guy with the glasses?\Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match.\You guys.\I can't let you out of my sight.\We apologize.\Oh, it's all right. response:	Tanaka, stop that look.
context: Who's the guy with the glasses?\Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match.\You guys.\I can't let you out of my sight.\We apologize.\Oh, it's all right.\Tanaka, stop that look. response:	It's been a while, King.
context: Was there a guy that tall at Karasuno?\Oh, you're right. We should save our bullying for the match.\You guys.\I can't let you out of my sight.\We apologize.\Oh, it's all right.\Tanaka, stop that look.\It's been a while, King. response:	Karasuno High School Volleyball Team
context: Oh, you're right. We should save our bullying for the match.\You guys.\I can't let you out of my sight.\We apologize.\Oh, it's all right.\Tanaka, stop that look.\It's been a while, King.\Karasuno High School Volleyball Team response:	What sort of dictatorship do you belong to these days?
context: You guys.\I can't let you out of my sight.\We apologize.\Oh, it's all right.\Tanaka, stop that look.\It's been a while, King.\Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days? response:	I'm looking forward to seeing it in the match.
context: I can't let you out of my sight.\We apologize.\Oh, it's all right.\Tanaka, stop that look.\It's been a while, King.\Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match. response:	Yeah.
context: We apologize.\Oh, it's all right.\Tanaka, stop that look.\It's been a while, King.\Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match.\Yeah. response:	Why's he pretending to be passive?
context: Oh, it's all right.\Tanaka, stop that look.\It's been a while, King.\Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match.\Yeah.\Why's he pretending to be passive? response:	Gymnasium No.3
context: Tanaka, stop that look.\It's been a while, King.\Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match.\Yeah.\Why's he pretending to be passive?\Gymnasium No.3 response:	H-Huge.
context: It's been a while, King.\Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match.\Yeah.\Why's he pretending to be passive?\Gymnasium No.3\H-Huge. response:	The gym. The people.
context: Karasuno High School Volleyball Team\What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match.\Yeah.\Why's he pretending to be passive?\Gymnasium No.3\H-Huge.\The gym. The people. response:	Greeting.
context: What sort of dictatorship do you belong to these days?\I'm looking forward to seeing it in the match.\Yeah.\Why's he pretending to be passive?\Gymnasium No.3\H-Huge.\The gym. The people.\Greeting. response:	Nice to meet you.
context: I'm looking forward to seeing it in the match.\Yeah.\Why's he pretending to be passive?\Gymnasium No.3\H-Huge.\The gym. The people.\Greeting.\Nice to meet you. response:	Nice to meet you.
context: Yeah.\Why's he pretending to be passive?\Gymnasium No.3\H-Huge.\The gym. The people.\Greeting.\Nice to meet you.\Nice to meet you. response:	Aoba Johsai is known for each of its members being highly skilled
context: Why's he pretending to be passive?\Gymnasium No.3\H-Huge.\The gym. The people.\Greeting.\Nice to meet you.\Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled response:	equally in offense and defense.
context: Gymnasium No.3\H-Huge.\The gym. The people.\Greeting.\Nice to meet you.\Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense. response:	These guys could go to any school and become the ace.
context: H-Huge.\The gym. The people.\Greeting.\Nice to meet you.\Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense.\These guys could go to any school and become the ace. response:	Here goes.
context: The gym. The people.\Greeting.\Nice to meet you.\Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense.\These guys could go to any school and become the ace.\Here goes. response:	Their powerful blocks are famous.
context: Greeting.\Nice to meet you.\Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense.\These guys could go to any school and become the ace.\Here goes.\Their powerful blocks are famous. response:	What's the matter, you two?
context: Nice to meet you.\Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense.\These guys could go to any school and become the ace.\Here goes.\Their powerful blocks are famous.\What's the matter, you two? response:	Hinata's here to throw them for a loop, right?
context: Nice to meet you.\Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense.\These guys could go to any school and become the ace.\Here goes.\Their powerful blocks are famous.\What's the matter, you two?\Hinata's here to throw them for a loop, right? response:	We know you're lousy, so we'll cover you. Leave it to us.
context: Aoba Johsai is known for each of its members being highly skilled\equally in offense and defense.\These guys could go to any school and become the ace.\Here goes.\Their powerful blocks are famous.\What's the matter, you two?\Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us. response:	But when you hit a serve, you're on your own.
context: equally in offense and defense.\These guys could go to any school and become the ace.\Here goes.\Their powerful blocks are famous.\What's the matter, you two?\Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own. response:	You'd better not miss.
context: These guys could go to any school and become the ace.\Here goes.\Their powerful blocks are famous.\What's the matter, you two?\Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own.\You'd better not miss. response:	Just kidding, just kidding. A missed serve is no big deal.
context: Here goes.\Their powerful blocks are famous.\What's the matter, you two?\Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own.\You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal. response:	You don't have to worry about a thing, just give them your...
context: Their powerful blocks are famous.\What's the matter, you two?\Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own.\You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your... response:	Huh? Where did Hinata go?
context: What's the matter, you two?\Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own.\You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go? response:	He went to the toilet.
context: Hinata's here to throw them for a loop, right?\We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own.\You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go?\He went to the toilet. response:	Again?
context: We know you're lousy, so we'll cover you. Leave it to us.\But when you hit a serve, you're on your own.\You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go?\He went to the toilet.\Again? response:	This is bad...
context: But when you hit a serve, you're on your own.\You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go?\He went to the toilet.\Again?\This is bad... response:	What's the matter with these guys from Karasuno?
context: You'd better not miss.\Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go?\He went to the toilet.\Again?\This is bad...\What's the matter with these guys from Karasuno? response:	All they've got is a big attitude.
context: Just kidding, just kidding. A missed serve is no big deal.\You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go?\He went to the toilet.\Again?\This is bad...\What's the matter with these guys from Karasuno?\All they've got is a big attitude. response:	That's true.
context: You don't have to worry about a thing, just give them your...\Huh? Where did Hinata go?\He went to the toilet.\Again?\This is bad...\What's the matter with these guys from Karasuno?\All they've got is a big attitude.\That's true. response:	This guy...
context: Huh? Where did Hinata go?\He went to the toilet.\Again?\This is bad...\What's the matter with these guys from Karasuno?\All they've got is a big attitude.\That's true.\This guy... response:	He was next to Kageyama in the junior high match.
context: He went to the toilet.\Again?\This is bad...\What's the matter with these guys from Karasuno?\All they've got is a big attitude.\That's true.\This guy...\He was next to Kageyama in the junior high match. response:	His silhouette is like a turnip.
context: Again?\This is bad...\What's the matter with these guys from Karasuno?\All they've got is a big attitude.\That's true.\This guy...\He was next to Kageyama in the junior high match.\His silhouette is like a turnip. response:	I remember him.
context: This is bad...\What's the matter with these guys from Karasuno?\All they've got is a big attitude.\That's true.\This guy...\He was next to Kageyama in the junior high match.\His silhouette is like a turnip.\I remember him. response:	Hey. You're a first-year at Karasuno?
context: What's the matter with these guys from Karasuno?\All they've got is a big attitude.\That's true.\This guy...\He was next to Kageyama in the junior high match.\His silhouette is like a turnip.\I remember him.\Hey. You're a first-year at Karasuno? response:	Y-Yeah, I am.
context: All they've got is a big attitude.\That's true.\This guy...\He was next to Kageyama in the junior high match.\His silhouette is like a turnip.\I remember him.\Hey. You're a first-year at Karasuno?\Y-Yeah, I am. response:	Well, then how is Kageyama doing?
context: That's true.\This guy...\He was next to Kageyama in the junior high match.\His silhouette is like a turnip.\I remember him.\Hey. You're a first-year at Karasuno?\Y-Yeah, I am.\Well, then how is Kageyama doing? response:	Our King seems pompous, as usual.
context: This guy...\He was next to Kageyama in the junior high match.\His silhouette is like a turnip.\I remember him.\Hey. You're a first-year at Karasuno?\Y-Yeah, I am.\Well, then how is Kageyama doing?\Our King seems pompous, as usual. response:	That's not how he is.
context: He was next to Kageyama in the junior high match.\His silhouette is like a turnip.\I remember him.\Hey. You're a first-year at Karasuno?\Y-Yeah, I am.\Well, then how is Kageyama doing?\Our King seems pompous, as usual.\That's not how he is. response:	It's not about being pompous.
context: His silhouette is like a turnip.\I remember him.\Hey. You're a first-year at Karasuno?\Y-Yeah, I am.\Well, then how is Kageyama doing?\Our King seems pompous, as usual.\That's not how he is.\It's not about being pompous. response:	Under the dictatorship of the great King Kageyama,
context: I remember him.\Hey. You're a first-year at Karasuno?\Y-Yeah, I am.\Well, then how is Kageyama doing?\Our King seems pompous, as usual.\That's not how he is.\It's not about being pompous.\Under the dictatorship of the great King Kageyama, response:	commoners like me are cruelly oppressed, made to bitterly suffer.
context: Hey. You're a first-year at Karasuno?\Y-Yeah, I am.\Well, then how is Kageyama doing?\Our King seems pompous, as usual.\That's not how he is.\It's not about being pompous.\Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer. response:	Just because he's a little skilled! Who does he think he is?
context: Y-Yeah, I am.\Well, then how is Kageyama doing?\Our King seems pompous, as usual.\That's not how he is.\It's not about being pompous.\Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is? response:	What did I tell you?
context: Well, then how is Kageyama doing?\Our King seems pompous, as usual.\That's not how he is.\It's not about being pompous.\Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is?\What did I tell you? response:	He's utterly despised.
context: Our King seems pompous, as usual.\That's not how he is.\It's not about being pompous.\Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is?\What did I tell you?\He's utterly despised. response:	There's no doubting his skill at receiving, blocking, and serving.
context: That's not how he is.\It's not about being pompous.\Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is?\What did I tell you?\He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving. response:	That's right. It's aggravating.
context: It's not about being pompous.\Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is?\What did I tell you?\He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating. response:	But his toss is amazing.
context: Under the dictatorship of the great King Kageyama,\commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is?\What did I tell you?\He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating.\But his toss is amazing. response:	But his toss is the worst.
context: commoners like me are cruelly oppressed, made to bitterly suffer.\Just because he's a little skilled! Who does he think he is?\What did I tell you?\He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating.\But his toss is amazing.\But his toss is the worst. response:	His toss?
context: Just because he's a little skilled! Who does he think he is?\What did I tell you?\He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating.\But his toss is amazing.\But his toss is the worst.\His toss? response:	Is amazing.
context: What did I tell you?\He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating.\But his toss is amazing.\But his toss is the worst.\His toss?\Is amazing. response:	You've never spiked one of his tosses in a match before, have you?
context: He's utterly despised.\There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating.\But his toss is amazing.\But his toss is the worst.\His toss?\Is amazing.\You've never spiked one of his tosses in a match before, have you? response:	They're terrible. They're too difficult to spike.
context: There's no doubting his skill at receiving, blocking, and serving.\That's right. It's aggravating.\But his toss is amazing.\But his toss is the worst.\His toss?\Is amazing.\You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike. response:	Is that so?
context: That's right. It's aggravating.\But his toss is amazing.\But his toss is the worst.\His toss?\Is amazing.\You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike.\Is that so? response:	Because he's a self-centered king.
context: But his toss is amazing.\But his toss is the worst.\His toss?\Is amazing.\You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike.\Is that so?\Because he's a self-centered king. response:	He's a setter, and yet he can't do his most important job.
context: But his toss is the worst.\His toss?\Is amazing.\You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike.\Is that so?\Because he's a self-centered king.\He's a setter, and yet he can't do his most important job. response:	Letting the spiker spike the ball.
context: His toss?\Is amazing.\You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike.\Is that so?\Because he's a self-centered king.\He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball. response:	What Kageyama needs are pawns he can maneuver as he wills.
context: Is amazing.\You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike.\Is that so?\Because he's a self-centered king.\He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills. response:	Anything he doesn't need to win, he discards.
context: You've never spiked one of his tosses in a match before, have you?\They're terrible. They're too difficult to spike.\Is that so?\Because he's a self-centered king.\He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards. response:	Let's wait until the match to see if Kageyama
context: They're terrible. They're too difficult to spike.\Is that so?\Because he's a self-centered king.\He's a setter, and yet he can't do his most important job.\Letting the spiker spike the ball.\What Kageyama needs are pawns he can maneuver as he wills.\Anything he doesn't need to win, he discards.\Let's wait until the match to see if Kageyama response:	is still the same as he was in junior high, turnip-kun.
