context: Those guys are freaks. response:	You really are a good little girl, Chane.
context: Glad to have you here. What's your name?\They still won't let me out of here.\Sorry. It seems like you're having to hang around here\like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay? response:	I just meant I didn't want you to pay too much mind to me, that's all.
context: They still won't let me out of here.\Sorry. It seems like you're having to hang around here\like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all. response:	Listen, Chane,
context: Sorry. It seems like you're having to hang around here\like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane, response:	your last name is Laforet, right?
context: like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane,\your last name is Laforet, right? response:	By any chance, are you a relative of that Huey fellow, or anything?
context: D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane,\your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything? response:	Sorry! If it's a complicated matter,
context: I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane,\your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter, response:	then you don't have to force yourself to talk about it,
context: A-And by stuff like the papers, I wasn't in any way trying to make fun of you.\Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane,\your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it, response:	and if you're not related, and it's just a coincidence,
context: Don't misunderstand, okay?\I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane,\your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence, response:	I hope you'll forgive me. In any case, I'm sorry!
context: I just meant I didn't want you to pay too much mind to me, that's all.\Listen, Chane,\your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry! response:	He is my father. I-Is that right?
context: Listen, Chane,\your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right? response:	I was with the terrorists that attacked the train.
context: your last name is Laforet, right?\By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right?\I was with the terrorists that attacked the train. response:	I sort of knew that, from the way that Nice and Nick were acting.
context: By any chance, are you a relative of that Huey fellow, or anything?\Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right?\I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting. response:	Why don't you report me?
context: Sorry! If it's a complicated matter,\then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right?\I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me? response:	Why?
context: then you don't have to force yourself to talk about it,\and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right?\I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me?\Why? response:	Well, while I may not be able to excuse what those black suits did on the train,
context: and if you're not related, and it's just a coincidence,\I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right?\I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me?\Why?\Well, while I may not be able to excuse what those black suits did on the train, response:	we stole some freight from the train ourselves,
context: I hope you'll forgive me. In any case, I'm sorry!\He is my father. I-Is that right?\I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me?\Why?\Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves, response:	so we can't complain too loudly.
context: He is my father. I-Is that right?\I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me?\Why?\Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves,\so we can't complain too loudly. response:	Besides, you more or less seem like a good person. I mean...
context: I was with the terrorists that attacked the train.\I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me?\Why?\Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves,\so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean... response:	I don't know for sure whether or not you're a good person.
context: I sort of knew that, from the way that Nice and Nick were acting.\Why don't you report me?\Why?\Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves,\so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person. response:	But it doesn't matter, does it? We're friends, after all.
context: Why don't you report me?\Why?\Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves,\so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all. response:	I don't understand you people.
context: Why?\Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves,\so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all.\I don't understand you people. response:	You people? Does she mean Nice and Donny?
context: Well, while I may not be able to excuse what those black suits did on the train,\we stole some freight from the train ourselves,\so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all.\I don't understand you people.\You people? Does she mean Nice and Donny? response:	And that's about the size of it.
context: we stole some freight from the train ourselves,\so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all.\I don't understand you people.\You people? Does she mean Nice and Donny?\And that's about the size of it. response:	You don't believe me?
context: so we can't complain too loudly.\Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all.\I don't understand you people.\You people? Does she mean Nice and Donny?\And that's about the size of it.\You don't believe me? response:	I suppose you wouldn't. Not that easily.
context: Besides, you more or less seem like a good person. I mean...\I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all.\I don't understand you people.\You people? Does she mean Nice and Donny?\And that's about the size of it.\You don't believe me?\I suppose you wouldn't. Not that easily. response:	I don't show this to people very often, but you're special, miss.
context: I don't know for sure whether or not you're a good person.\But it doesn't matter, does it? We're friends, after all.\I don't understand you people.\You people? Does she mean Nice and Donny?\And that's about the size of it.\You don't believe me?\I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss. response:	Do you believe me now?
context: But it doesn't matter, does it? We're friends, after all.\I don't understand you people.\You people? Does she mean Nice and Donny?\And that's about the size of it.\You don't believe me?\I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss.\Do you believe me now? response:	Yes.
context: I don't understand you people.\You people? Does she mean Nice and Donny?\And that's about the size of it.\You don't believe me?\I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss.\Do you believe me now?\Yes. response:	I may be older than you, but it gets awkward,
context: You people? Does she mean Nice and Donny?\And that's about the size of it.\You don't believe me?\I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss.\Do you believe me now?\Yes.\I may be older than you, but it gets awkward, response:	so you can talk to me like you were talking to a child.
context: And that's about the size of it.\You don't believe me?\I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss.\Do you believe me now?\Yes.\I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child. response:	Thank you very much. I mean, thanks, Czes- kun.
context: You don't believe me?\I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss.\Do you believe me now?\Yes.\I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun. response:	Oh, hey, this is a hell of a coincidence, huh?
context: I suppose you wouldn't. Not that easily.\I don't show this to people very often, but you're special, miss.\Do you believe me now?\Yes.\I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh? response:	I came by to see Firo, a childhood buddy of mine.
context: I don't show this to people very often, but you're special, miss.\Do you believe me now?\Yes.\I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine. response:	It turns out he went out with a couple of acquaintances, or something.
context: Do you believe me now?\Yes.\I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something. response:	I figured it would be wrong to intrude when he has company,
context: Yes.\I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company, response:	so I decided to call it a day and head back.
context: I may be older than you, but it gets awkward,\so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back. response:	What are you guys up to?
context: so you can talk to me like you were talking to a child.\Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back.\What are you guys up to? response:	Have you gone and become chummy, now?
context: Thank you very much. I mean, thanks, Czes- kun.\Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back.\What are you guys up to?\Have you gone and become chummy, now? response:	I'm telling you, that Chane woman is a problem.
context: Oh, hey, this is a hell of a coincidence, huh?\I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back.\What are you guys up to?\Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem. response:	If we let her become one of us,
context: I came by to see Firo, a childhood buddy of mine.\It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back.\What are you guys up to?\Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem.\If we let her become one of us, response:	there's definitely gonna be trouble ahead.
context: It turns out he went out with a couple of acquaintances, or something.\I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back.\What are you guys up to?\Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem.\If we let her become one of us,\there's definitely gonna be trouble ahead. response:	She's gonna draw the attention of the police our way.
context: I figured it would be wrong to intrude when he has company,\so I decided to call it a day and head back.\What are you guys up to?\Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem.\If we let her become one of us,\there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way. response:	After all, she was in with those terrorists.
context: so I decided to call it a day and head back.\What are you guys up to?\Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem.\If we let her become one of us,\there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way.\After all, she was in with those terrorists. response:	Doesn't matter to me,
context: What are you guys up to?\Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem.\If we let her become one of us,\there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way.\After all, she was in with those terrorists.\Doesn't matter to me, response:	but I'm a little wary about making trouble for Genoard- san.
context: Have you gone and become chummy, now?\I'm telling you, that Chane woman is a problem.\If we let her become one of us,\there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way.\After all, she was in with those terrorists.\Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san. response:	Still, Jacuzzi has already made up his mind.
context: I'm telling you, that Chane woman is a problem.\If we let her become one of us,\there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way.\After all, she was in with those terrorists.\Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind. response:	Boss...
context: If we let her become one of us,\there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way.\After all, she was in with those terrorists.\Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind.\Boss... response:	Sure, she's a girl we don't know anything about,
context: there's definitely gonna be trouble ahead.\She's gonna draw the attention of the police our way.\After all, she was in with those terrorists.\Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind.\Boss...\Sure, she's a girl we don't know anything about, response:	but the fact is, just like us,
context: She's gonna draw the attention of the police our way.\After all, she was in with those terrorists.\Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind.\Boss...\Sure, she's a girl we don't know anything about,\but the fact is, just like us, response:	she's down and out, and has no one she can depend on.
context: After all, she was in with those terrorists.\Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind.\Boss...\Sure, she's a girl we don't know anything about,\but the fact is, just like us,\she's down and out, and has no one she can depend on. response:	Chane- san!
context: Doesn't matter to me,\but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind.\Boss...\Sure, she's a girl we don't know anything about,\but the fact is, just like us,\she's down and out, and has no one she can depend on.\Chane- san! response:	A-A package just arrived, addressed to you, Chane- san.
context: but I'm a little wary about making trouble for Genoard- san.\Still, Jacuzzi has already made up his mind.\Boss...\Sure, she's a girl we don't know anything about,\but the fact is, just like us,\she's down and out, and has no one she can depend on.\Chane- san!\A-A package just arrived, addressed to you, Chane- san. response:	Wow.
context: Still, Jacuzzi has already made up his mind.\Boss...\Sure, she's a girl we don't know anything about,\but the fact is, just like us,\she's down and out, and has no one she can depend on.\Chane- san!\A-A package just arrived, addressed to you, Chane- san.\Wow. response:	It's pretty, isn't it?
context: Boss...\Sure, she's a girl we don't know anything about,\but the fact is, just like us,\she's down and out, and has no one she can depend on.\Chane- san!\A-A package just arrived, addressed to you, Chane- san.\Wow.\It's pretty, isn't it? response:	Why don't you try it on, Chane- san?
context: Sure, she's a girl we don't know anything about,\but the fact is, just like us,\she's down and out, and has no one she can depend on.\Chane- san!\A-A package just arrived, addressed to you, Chane- san.\Wow.\It's pretty, isn't it?\Why don't you try it on, Chane- san? response:	Please, excuse us...
context: but the fact is, just like us,\she's down and out, and has no one she can depend on.\Chane- san!\A-A package just arrived, addressed to you, Chane- san.\Wow.\It's pretty, isn't it?\Why don't you try it on, Chane- san?\Please, excuse us... response:	Hya-ha...
context: she's down and out, and has no one she can depend on.\Chane- san!\A-A package just arrived, addressed to you, Chane- san.\Wow.\It's pretty, isn't it?\Why don't you try it on, Chane- san?\Please, excuse us...\Hya-ha... response:	It's pretty. It looks good on you.
context: Chane- san!\A-A package just arrived, addressed to you, Chane- san.\Wow.\It's pretty, isn't it?\Why don't you try it on, Chane- san?\Please, excuse us...\Hya-ha...\It's pretty. It looks good on you. response:	Who sent it to you?
context: A-A package just arrived, addressed to you, Chane- san.\Wow.\It's pretty, isn't it?\Why don't you try it on, Chane- san?\Please, excuse us...\Hya-ha...\It's pretty. It looks good on you.\Who sent it to you? response:	It's from him. What could he be thinking?
context: Wow.\It's pretty, isn't it?\Why don't you try it on, Chane- san?\Please, excuse us...\Hya-ha...\It's pretty. It looks good on you.\Who sent it to you?\It's from him. What could he be thinking? response:	Clothes...
context: It's pretty, isn't it?\Why don't you try it on, Chane- san?\Please, excuse us...\Hya-ha...\It's pretty. It looks good on you.\Who sent it to you?\It's from him. What could he be thinking?\Clothes... response:	This is the first time anyone besides Dad
context: Why don't you try it on, Chane- san?\Please, excuse us...\Hya-ha...\It's pretty. It looks good on you.\Who sent it to you?\It's from him. What could he be thinking?\Clothes...\This is the first time anyone besides Dad response:	has given me something like this.
context: Please, excuse us...\Hya-ha...\It's pretty. It looks good on you.\Who sent it to you?\It's from him. What could he be thinking?\Clothes...\This is the first time anyone besides Dad\has given me something like this. response:	Dad would often provide me with clothes when I was little.
context: Hya-ha...\It's pretty. It looks good on you.\Who sent it to you?\It's from him. What could he be thinking?\Clothes...\This is the first time anyone besides Dad\has given me something like this.\Dad would often provide me with clothes when I was little. response:	It made me very happy.
context: It's pretty. It looks good on you.\Who sent it to you?\It's from him. What could he be thinking?\Clothes...\This is the first time anyone besides Dad\has given me something like this.\Dad would often provide me with clothes when I was little.\It made me very happy. response:	But I don't know how I should feel, receiving clothes from him.
context: Who sent it to you?\It's from him. What could he be thinking?\Clothes...\This is the first time anyone besides Dad\has given me something like this.\Dad would often provide me with clothes when I was little.\It made me very happy.\But I don't know how I should feel, receiving clothes from him. response:	I don't know. I don't know. I understand less and less about him.
context: It's from him. What could he be thinking?\Clothes...\This is the first time anyone besides Dad\has given me something like this.\Dad would often provide me with clothes when I was little.\It made me very happy.\But I don't know how I should feel, receiving clothes from him.\I don't know. I don't know. I understand less and less about him. response:	He said he would protect Dad.
context: Clothes...\This is the first time anyone besides Dad\has given me something like this.\Dad would often provide me with clothes when I was little.\It made me very happy.\But I don't know how I should feel, receiving clothes from him.\I don't know. I don't know. I understand less and less about him.\He said he would protect Dad. response:	He said he would marry me to do so, too.
context: This is the first time anyone besides Dad\has given me something like this.\Dad would often provide me with clothes when I was little.\It made me very happy.\But I don't know how I should feel, receiving clothes from him.\I don't know. I don't know. I understand less and less about him.\He said he would protect Dad.\He said he would marry me to do so, too. response:	I don't know what he was thinking to make him say that.
