context: What's going on? response:	Aren't you getting up way too early, Sakura?
context: You're right. If anything's gonna happen,\I gotta do the best\I can with my cards.\All right! And on that note,\cheer up and go to school!\I'm leaving.\Well, it can't be helped since I got here so early.\Come to think of it, response:	Touya said they're having a morning game today.
context: I gotta do the best\I can with my cards.\All right! And on that note,\cheer up and go to school!\I'm leaving.\Well, it can't be helped since I got here so early.\Come to think of it,\Touya said they're having a morning game today. response:	Big Brother!
context: I can with my cards.\All right! And on that note,\cheer up and go to school!\I'm leaving.\Well, it can't be helped since I got here so early.\Come to think of it,\Touya said they're having a morning game today.\Big Brother! response:	Yuki!
context: All right! And on that note,\cheer up and go to school!\I'm leaving.\Well, it can't be helped since I got here so early.\Come to think of it,\Touya said they're having a morning game today.\Big Brother!\Yuki! response:	Yukito!!
context: cheer up and go to school!\I'm leaving.\Well, it can't be helped since I got here so early.\Come to think of it,\Touya said they're having a morning game today.\Big Brother!\Yuki!\Yukito!! response:	Touya!!
context: I'm leaving.\Well, it can't be helped since I got here so early.\Come to think of it,\Touya said they're having a morning game today.\Big Brother!\Yuki!\Yukito!!\Touya!! response:	Nice shoot!
context: Well, it can't be helped since I got here so early.\Come to think of it,\Touya said they're having a morning game today.\Big Brother!\Yuki!\Yukito!!\Touya!!\Nice shoot! response:	That's your nice pass.
context: Come to think of it,\Touya said they're having a morning game today.\Big Brother!\Yuki!\Yukito!!\Touya!!\Nice shoot!\That's your nice pass. response:	Touya!! You are caught!
context: Touya said they're having a morning game today.\Big Brother!\Yuki!\Yukito!!\Touya!!\Nice shoot!\That's your nice pass.\Touya!! You are caught! response:	Hey you, stop it!!
context: Big Brother!\Yuki!\Yukito!!\Touya!!\Nice shoot!\That's your nice pass.\Touya!! You are caught!\Hey you, stop it!! response:	I don't mean being caught!
context: Yuki!\Yukito!!\Touya!!\Nice shoot!\That's your nice pass.\Touya!! You are caught!\Hey you, stop it!!\I don't mean being caught! response:	I'm in the middle of a game right now!!
context: Yukito!!\Touya!!\Nice shoot!\That's your nice pass.\Touya!! You are caught!\Hey you, stop it!!\I don't mean being caught!\I'm in the middle of a game right now!! response:	Akizuki! I can't move!
context: Touya!!\Nice shoot!\That's your nice pass.\Touya!! You are caught!\Hey you, stop it!!\I don't mean being caught!\I'm in the middle of a game right now!!\Akizuki! I can't move! response:	It's starting already,
context: Nice shoot!\That's your nice pass.\Touya!! You are caught!\Hey you, stop it!!\I don't mean being caught!\I'm in the middle of a game right now!!\Akizuki! I can't move!\It's starting already, response:	come on, Let's go!
context: That's your nice pass.\Touya!! You are caught!\Hey you, stop it!!\I don't mean being caught!\I'm in the middle of a game right now!!\Akizuki! I can't move!\It's starting already,\come on, Let's go! response:	Great!
context: Touya!! You are caught!\Hey you, stop it!!\I don't mean being caught!\I'm in the middle of a game right now!!\Akizuki! I can't move!\It's starting already,\come on, Let's go!\Great! response:	I'm glad that a new piano is coming in today.
context: Hey you, stop it!!\I don't mean being caught!\I'm in the middle of a game right now!!\Akizuki! I can't move!\It's starting already,\come on, Let's go!\Great!\I'm glad that a new piano is coming in today. response:	Yes, this way the choir can resume practice.
context: I don't mean being caught!\I'm in the middle of a game right now!!\Akizuki! I can't move!\It's starting already,\come on, Let's go!\Great!\I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice. response:	Miss Tsujitani was glad about it.
context: I'm in the middle of a game right now!!\Akizuki! I can't move!\It's starting already,\come on, Let's go!\Great!\I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it. response:	It was such a mess.
context: Akizuki! I can't move!\It's starting already,\come on, Let's go!\Great!\I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it.\It was such a mess. response:	' What happened?!' The piano suddenly'
context: It's starting already,\come on, Let's go!\Great!\I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it.\It was such a mess.\' What happened?!' The piano suddenly' response:	Watch out!
context: come on, Let's go!\Great!\I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it.\It was such a mess.\' What happened?!' The piano suddenly'\Watch out! response:	Why did the piano move all of a sudden?
context: Great!\I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it.\It was such a mess.\' What happened?!' The piano suddenly'\Watch out!\Why did the piano move all of a sudden? response:	I have never dreamed
context: I'm glad that a new piano is coming in today.\Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it.\It was such a mess.\' What happened?!' The piano suddenly'\Watch out!\Why did the piano move all of a sudden?\I have never dreamed response:	that I would be chased by a piano
context: Yes, this way the choir can resume practice.\Miss Tsujitani was glad about it.\It was such a mess.\' What happened?!' The piano suddenly'\Watch out!\Why did the piano move all of a sudden?\I have never dreamed\that I would be chased by a piano response:	Me neither'
context: Miss Tsujitani was glad about it.\It was such a mess.\' What happened?!' The piano suddenly'\Watch out!\Why did the piano move all of a sudden?\I have never dreamed\that I would be chased by a piano\Me neither' response:	Do we not know who is the one behind this?
context: It was such a mess.\' What happened?!' The piano suddenly'\Watch out!\Why did the piano move all of a sudden?\I have never dreamed\that I would be chased by a piano\Me neither'\Do we not know who is the one behind this? response:	I was sure
context: ' What happened?!' The piano suddenly'\Watch out!\Why did the piano move all of a sudden?\I have never dreamed\that I would be chased by a piano\Me neither'\Do we not know who is the one behind this?\I was sure response:	I sensed Clow's aura,
context: Watch out!\Why did the piano move all of a sudden?\I have never dreamed\that I would be chased by a piano\Me neither'\Do we not know who is the one behind this?\I was sure\I sensed Clow's aura, response:	but'
context: Why did the piano move all of a sudden?\I have never dreamed\that I would be chased by a piano\Me neither'\Do we not know who is the one behind this?\I was sure\I sensed Clow's aura,\but' response:	But Clow has passed away a long time ago, right?
context: I have never dreamed\that I would be chased by a piano\Me neither'\Do we not know who is the one behind this?\I was sure\I sensed Clow's aura,\but'\But Clow has passed away a long time ago, right? response:	But it is no use keep thinking about it.
context: that I would be chased by a piano\Me neither'\Do we not know who is the one behind this?\I was sure\I sensed Clow's aura,\but'\But Clow has passed away a long time ago, right?\But it is no use keep thinking about it. response:	When anything happens,
context: Me neither'\Do we not know who is the one behind this?\I was sure\I sensed Clow's aura,\but'\But Clow has passed away a long time ago, right?\But it is no use keep thinking about it.\When anything happens, response:	I'll still be cheerful
context: Do we not know who is the one behind this?\I was sure\I sensed Clow's aura,\but'\But Clow has passed away a long time ago, right?\But it is no use keep thinking about it.\When anything happens,\I'll still be cheerful response:	and everything'll work out.
context: I was sure\I sensed Clow's aura,\but'\But Clow has passed away a long time ago, right?\But it is no use keep thinking about it.\When anything happens,\I'll still be cheerful\and everything'll work out. response:	Right, right.
context: I sensed Clow's aura,\but'\But Clow has passed away a long time ago, right?\But it is no use keep thinking about it.\When anything happens,\I'll still be cheerful\and everything'll work out.\Right, right. response:	A smile suits best for you, Sakura.
context: but'\But Clow has passed away a long time ago, right?\But it is no use keep thinking about it.\When anything happens,\I'll still be cheerful\and everything'll work out.\Right, right.\A smile suits best for you, Sakura. response:	Sakura! Tomoyo!
context: But Clow has passed away a long time ago, right?\But it is no use keep thinking about it.\When anything happens,\I'll still be cheerful\and everything'll work out.\Right, right.\A smile suits best for you, Sakura.\Sakura! Tomoyo! response:	Hurry, hurry
context: But it is no use keep thinking about it.\When anything happens,\I'll still be cheerful\and everything'll work out.\Right, right.\A smile suits best for you, Sakura.\Sakura! Tomoyo!\Hurry, hurry response:	Sorry to keep you waiting!
context: When anything happens,\I'll still be cheerful\and everything'll work out.\Right, right.\A smile suits best for you, Sakura.\Sakura! Tomoyo!\Hurry, hurry\Sorry to keep you waiting! response:	Let's eat!
context: I'll still be cheerful\and everything'll work out.\Right, right.\A smile suits best for you, Sakura.\Sakura! Tomoyo!\Hurry, hurry\Sorry to keep you waiting!\Let's eat! response:	It testes so good!
context: and everything'll work out.\Right, right.\A smile suits best for you, Sakura.\Sakura! Tomoyo!\Hurry, hurry\Sorry to keep you waiting!\Let's eat!\It testes so good! response:	Rika, this is good!
context: Right, right.\A smile suits best for you, Sakura.\Sakura! Tomoyo!\Hurry, hurry\Sorry to keep you waiting!\Let's eat!\It testes so good!\Rika, this is good! response:	Thank goodness.
context: A smile suits best for you, Sakura.\Sakura! Tomoyo!\Hurry, hurry\Sorry to keep you waiting!\Let's eat!\It testes so good!\Rika, this is good!\Thank goodness. response:	Let's eat.
context: Sakura! Tomoyo!\Hurry, hurry\Sorry to keep you waiting!\Let's eat!\It testes so good!\Rika, this is good!\Thank goodness.\Let's eat. response:	Really, this is good.
context: Hurry, hurry\Sorry to keep you waiting!\Let's eat!\It testes so good!\Rika, this is good!\Thank goodness.\Let's eat.\Really, this is good. response:	I would not believe this is home-made.
context: Sorry to keep you waiting!\Let's eat!\It testes so good!\Rika, this is good!\Thank goodness.\Let's eat.\Really, this is good.\I would not believe this is home-made. response:	Rika, you're really good at baking cookies.
context: Let's eat!\It testes so good!\Rika, this is good!\Thank goodness.\Let's eat.\Really, this is good.\I would not believe this is home-made.\Rika, you're really good at baking cookies. response:	I'm glad
context: It testes so good!\Rika, this is good!\Thank goodness.\Let's eat.\Really, this is good.\I would not believe this is home-made.\Rika, you're really good at baking cookies.\I'm glad response:	you like it.
context: Rika, this is good!\Thank goodness.\Let's eat.\Really, this is good.\I would not believe this is home-made.\Rika, you're really good at baking cookies.\I'm glad\you like it. response:	Lately, you don't seem cheerful, Sakura'
context: Thank goodness.\Let's eat.\Really, this is good.\I would not believe this is home-made.\Rika, you're really good at baking cookies.\I'm glad\you like it.\Lately, you don't seem cheerful, Sakura' response:	Oh, I might have been mistaken'
context: Let's eat.\Really, this is good.\I would not believe this is home-made.\Rika, you're really good at baking cookies.\I'm glad\you like it.\Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken' response:	That's not it,
context: Really, this is good.\I would not believe this is home-made.\Rika, you're really good at baking cookies.\I'm glad\you like it.\Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken'\That's not it, response:	Rika. Thanks'
context: I would not believe this is home-made.\Rika, you're really good at baking cookies.\I'm glad\you like it.\Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken'\That's not it,\Rika. Thanks' response:	Excuse me,
context: Rika, you're really good at baking cookies.\I'm glad\you like it.\Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken'\That's not it,\Rika. Thanks'\Excuse me, response:	I hope you don't mind me trying to finish up my sewing.
context: I'm glad\you like it.\Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken'\That's not it,\Rika. Thanks'\Excuse me,\I hope you don't mind me trying to finish up my sewing. response:	Cute bear!!
context: you like it.\Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken'\That's not it,\Rika. Thanks'\Excuse me,\I hope you don't mind me trying to finish up my sewing.\Cute bear!! response:	Rika, did you make that yourself.?
context: Lately, you don't seem cheerful, Sakura'\Oh, I might have been mistaken'\That's not it,\Rika. Thanks'\Excuse me,\I hope you don't mind me trying to finish up my sewing.\Cute bear!!\Rika, did you make that yourself.? response:	' That's awesome!' Awesome!
context: Oh, I might have been mistaken'\That's not it,\Rika. Thanks'\Excuse me,\I hope you don't mind me trying to finish up my sewing.\Cute bear!!\Rika, did you make that yourself.?\' That's awesome!' Awesome! response:	Rika, you really can make anything.
context: That's not it,\Rika. Thanks'\Excuse me,\I hope you don't mind me trying to finish up my sewing.\Cute bear!!\Rika, did you make that yourself.?\' That's awesome!' Awesome!\Rika, you really can make anything. response:	If you follow the instructions in the book, it's quite simple.
context: Rika. Thanks'\Excuse me,\I hope you don't mind me trying to finish up my sewing.\Cute bear!!\Rika, did you make that yourself.?\' That's awesome!' Awesome!\Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple. response:	By the way, do you know
context: Excuse me,\I hope you don't mind me trying to finish up my sewing.\Cute bear!!\Rika, did you make that yourself.?\' That's awesome!' Awesome!\Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple.\By the way, do you know response:	when a stuffed bear's birthday is?
context: I hope you don't mind me trying to finish up my sewing.\Cute bear!!\Rika, did you make that yourself.?\' That's awesome!' Awesome!\Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple.\By the way, do you know\when a stuffed bear's birthday is? response:	The day it is finished?
context: Cute bear!!\Rika, did you make that yourself.?\' That's awesome!' Awesome!\Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple.\By the way, do you know\when a stuffed bear's birthday is?\The day it is finished? response:	That would have been a good day.
context: Rika, did you make that yourself.?\' That's awesome!' Awesome!\Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple.\By the way, do you know\when a stuffed bear's birthday is?\The day it is finished?\That would have been a good day. response:	But if you buy from a store,
context: ' That's awesome!' Awesome!\Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple.\By the way, do you know\when a stuffed bear's birthday is?\The day it is finished?\That would have been a good day.\But if you buy from a store, response:	you would not know
context: Rika, you really can make anything.\If you follow the instructions in the book, it's quite simple.\By the way, do you know\when a stuffed bear's birthday is?\The day it is finished?\That would have been a good day.\But if you buy from a store,\you would not know response:	when it is finished, right?
context: If you follow the instructions in the book, it's quite simple.\By the way, do you know\when a stuffed bear's birthday is?\The day it is finished?\That would have been a good day.\But if you buy from a store,\you would not know\when it is finished, right? response:	That's why
context: By the way, do you know\when a stuffed bear's birthday is?\The day it is finished?\That would have been a good day.\But if you buy from a store,\you would not know\when it is finished, right?\That's why response:	its birthday is the day
context: when a stuffed bear's birthday is?\The day it is finished?\That would have been a good day.\But if you buy from a store,\you would not know\when it is finished, right?\That's why\its birthday is the day response:	that you name the bear
context: The day it is finished?\That would have been a good day.\But if you buy from a store,\you would not know\when it is finished, right?\That's why\its birthday is the day\that you name the bear response:	and put a ribbon on it.
context: That would have been a good day.\But if you buy from a store,\you would not know\when it is finished, right?\That's why\its birthday is the day\that you name the bear\and put a ribbon on it. response:	That's quite wonderful, isn't it?
context: But if you buy from a store,\you would not know\when it is finished, right?\That's why\its birthday is the day\that you name the bear\and put a ribbon on it.\That's quite wonderful, isn't it? response:	Also overseas,
context: you would not know\when it is finished, right?\That's why\its birthday is the day\that you name the bear\and put a ribbon on it.\That's quite wonderful, isn't it?\Also overseas, response:	they said if you name the stuffed bear
context: when it is finished, right?\That's why\its birthday is the day\that you name the bear\and put a ribbon on it.\That's quite wonderful, isn't it?\Also overseas,\they said if you name the stuffed bear response:	you made with your own name.
context: That's why\its birthday is the day\that you name the bear\and put a ribbon on it.\That's quite wonderful, isn't it?\Also overseas,\they said if you name the stuffed bear\you made with your own name. response:	And then give it to the person you love,
context: its birthday is the day\that you name the bear\and put a ribbon on it.\That's quite wonderful, isn't it?\Also overseas,\they said if you name the stuffed bear\you made with your own name.\And then give it to the person you love, response:	the two of you will fall in love
context: that you name the bear\and put a ribbon on it.\That's quite wonderful, isn't it?\Also overseas,\they said if you name the stuffed bear\you made with your own name.\And then give it to the person you love,\the two of you will fall in love response:	Is that so?
context: and put a ribbon on it.\That's quite wonderful, isn't it?\Also overseas,\they said if you name the stuffed bear\you made with your own name.\And then give it to the person you love,\the two of you will fall in love\Is that so? response:	Fall in love'
context: That's quite wonderful, isn't it?\Also overseas,\they said if you name the stuffed bear\you made with your own name.\And then give it to the person you love,\the two of you will fall in love\Is that so?\Fall in love' response:	Rika, you're blushing.
context: Also overseas,\they said if you name the stuffed bear\you made with your own name.\And then give it to the person you love,\the two of you will fall in love\Is that so?\Fall in love'\Rika, you're blushing. response:	No, I'm not'
context: they said if you name the stuffed bear\you made with your own name.\And then give it to the person you love,\the two of you will fall in love\Is that so?\Fall in love'\Rika, you're blushing.\No, I'm not' response:	Fall in love'
context: you made with your own name.\And then give it to the person you love,\the two of you will fall in love\Is that so?\Fall in love'\Rika, you're blushing.\No, I'm not'\Fall in love' response:	The girls are so cute talking about
context: And then give it to the person you love,\the two of you will fall in love\Is that so?\Fall in love'\Rika, you're blushing.\No, I'm not'\Fall in love'\The girls are so cute talking about response:	a stuffed bear's birthday.
context: the two of you will fall in love\Is that so?\Fall in love'\Rika, you're blushing.\No, I'm not'\Fall in love'\The girls are so cute talking about\a stuffed bear's birthday. response:	You always look at me
context: Is that so?\Fall in love'\Rika, you're blushing.\No, I'm not'\Fall in love'\The girls are so cute talking about\a stuffed bear's birthday.\You always look at me response:	with such scary face.
context: Fall in love'\Rika, you're blushing.\No, I'm not'\Fall in love'\The girls are so cute talking about\a stuffed bear's birthday.\You always look at me\with such scary face. response:	Did I do something
context: Rika, you're blushing.\No, I'm not'\Fall in love'\The girls are so cute talking about\a stuffed bear's birthday.\You always look at me\with such scary face.\Did I do something response:	that displeased you?
context: No, I'm not'\Fall in love'\The girls are so cute talking about\a stuffed bear's birthday.\You always look at me\with such scary face.\Did I do something\that displeased you? response:	No, you didn't.
context: Fall in love'\The girls are so cute talking about\a stuffed bear's birthday.\You always look at me\with such scary face.\Did I do something\that displeased you?\No, you didn't. response:	You were from Hong Kong, were you not?
context: The girls are so cute talking about\a stuffed bear's birthday.\You always look at me\with such scary face.\Did I do something\that displeased you?\No, you didn't.\You were from Hong Kong, were you not? response:	I have just come to Japan,
context: a stuffed bear's birthday.\You always look at me\with such scary face.\Did I do something\that displeased you?\No, you didn't.\You were from Hong Kong, were you not?\I have just come to Japan, response:	would you mind showing me various things?
context: You always look at me\with such scary face.\Did I do something\that displeased you?\No, you didn't.\You were from Hong Kong, were you not?\I have just come to Japan,\would you mind showing me various things? response:	Shao Lan Li'
context: with such scary face.\Did I do something\that displeased you?\No, you didn't.\You were from Hong Kong, were you not?\I have just come to Japan,\would you mind showing me various things?\Shao Lan Li' response:	Are you ok?
context: Did I do something\that displeased you?\No, you didn't.\You were from Hong Kong, were you not?\I have just come to Japan,\would you mind showing me various things?\Shao Lan Li'\Are you ok? response:	I'm fine!!!
context: that displeased you?\No, you didn't.\You were from Hong Kong, were you not?\I have just come to Japan,\would you mind showing me various things?\Shao Lan Li'\Are you ok?\I'm fine!!! response:	So' Sorry about that'
context: No, you didn't.\You were from Hong Kong, were you not?\I have just come to Japan,\would you mind showing me various things?\Shao Lan Li'\Are you ok?\I'm fine!!!\So' Sorry about that' response:	What an interesting person.
context: You were from Hong Kong, were you not?\I have just come to Japan,\would you mind showing me various things?\Shao Lan Li'\Are you ok?\I'm fine!!!\So' Sorry about that'\What an interesting person. response:	Maybe you can help me out'
context: I have just come to Japan,\would you mind showing me various things?\Shao Lan Li'\Are you ok?\I'm fine!!!\So' Sorry about that'\What an interesting person.\Maybe you can help me out' response:	Good-bye!
context: would you mind showing me various things?\Shao Lan Li'\Are you ok?\I'm fine!!!\So' Sorry about that'\What an interesting person.\Maybe you can help me out'\Good-bye! response:	' Good-bye!' Take care.
context: Shao Lan Li'\Are you ok?\I'm fine!!!\So' Sorry about that'\What an interesting person.\Maybe you can help me out'\Good-bye!\' Good-bye!' Take care. response:	I'm sorry, Sakura.
context: Are you ok?\I'm fine!!!\So' Sorry about that'\What an interesting person.\Maybe you can help me out'\Good-bye!\' Good-bye!' Take care.\I'm sorry, Sakura. response:	I can't make it to the handicraft store together.
context: I'm fine!!!\So' Sorry about that'\What an interesting person.\Maybe you can help me out'\Good-bye!\' Good-bye!' Take care.\I'm sorry, Sakura.\I can't make it to the handicraft store together. response:	It's okay, Tomoyo's coming with me.
context: So' Sorry about that'\What an interesting person.\Maybe you can help me out'\Good-bye!\' Good-bye!' Take care.\I'm sorry, Sakura.\I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me. response:	Don't worry about it.
context: What an interesting person.\Maybe you can help me out'\Good-bye!\' Good-bye!' Take care.\I'm sorry, Sakura.\I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me.\Don't worry about it. response:	Go home now, okay?
context: Maybe you can help me out'\Good-bye!\' Good-bye!' Take care.\I'm sorry, Sakura.\I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me.\Don't worry about it.\Go home now, okay? response:	Then, I'll see you later.
context: Good-bye!\' Good-bye!' Take care.\I'm sorry, Sakura.\I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me.\Don't worry about it.\Go home now, okay?\Then, I'll see you later. response:	I wonder if Rika finished her bear.
context: ' Good-bye!' Take care.\I'm sorry, Sakura.\I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me.\Don't worry about it.\Go home now, okay?\Then, I'll see you later.\I wonder if Rika finished her bear. response:	Yes, during break time.
context: I'm sorry, Sakura.\I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me.\Don't worry about it.\Go home now, okay?\Then, I'll see you later.\I wonder if Rika finished her bear.\Yes, during break time. response:	About bears, you know'
context: I can't make it to the handicraft store together.\It's okay, Tomoyo's coming with me.\Don't worry about it.\Go home now, okay?\Then, I'll see you later.\I wonder if Rika finished her bear.\Yes, during break time.\About bears, you know' response:	They were originally sea-animals.
context: It's okay, Tomoyo's coming with me.\Don't worry about it.\Go home now, okay?\Then, I'll see you later.\I wonder if Rika finished her bear.\Yes, during break time.\About bears, you know'\They were originally sea-animals. response:	Apparently, they used to swim
context: Don't worry about it.\Go home now, okay?\Then, I'll see you later.\I wonder if Rika finished her bear.\Yes, during break time.\About bears, you know'\They were originally sea-animals.\Apparently, they used to swim response:	the seven seas in pursuit of salmon.
context: Go home now, okay?\Then, I'll see you later.\I wonder if Rika finished her bear.\Yes, during break time.\About bears, you know'\They were originally sea-animals.\Apparently, they used to swim\the seven seas in pursuit of salmon. response:	Is that so?
context: Then, I'll see you later.\I wonder if Rika finished her bear.\Yes, during break time.\About bears, you know'\They were originally sea-animals.\Apparently, they used to swim\the seven seas in pursuit of salmon.\Is that so? response:	From Alaska and the Arctic Ocean in the north,
context: I wonder if Rika finished her bear.\Yes, during break time.\About bears, you know'\They were originally sea-animals.\Apparently, they used to swim\the seven seas in pursuit of salmon.\Is that so?\From Alaska and the Arctic Ocean in the north, response:	to Antarctica in the south.
context: Yes, during break time.\About bears, you know'\They were originally sea-animals.\Apparently, they used to swim\the seven seas in pursuit of salmon.\Is that so?\From Alaska and the Arctic Ocean in the north,\to Antarctica in the south. response:	It was truly a great voyage
context: About bears, you know'\They were originally sea-animals.\Apparently, they used to swim\the seven seas in pursuit of salmon.\Is that so?\From Alaska and the Arctic Ocean in the north,\to Antarctica in the south.\It was truly a great voyage response:	that spanned the world
context: They were originally sea-animals.\Apparently, they used to swim\the seven seas in pursuit of salmon.\Is that so?\From Alaska and the Arctic Ocean in the north,\to Antarctica in the south.\It was truly a great voyage\that spanned the world response:	On top of that, bears back then
context: Apparently, they used to swim\the seven seas in pursuit of salmon.\Is that so?\From Alaska and the Arctic Ocean in the north,\to Antarctica in the south.\It was truly a great voyage\that spanned the world\On top of that, bears back then response:	used to able to dive deep into the ocean
context: the seven seas in pursuit of salmon.\Is that so?\From Alaska and the Arctic Ocean in the north,\to Antarctica in the south.\It was truly a great voyage\that spanned the world\On top of that, bears back then\used to able to dive deep into the ocean response:	That's incredible.
context: Is that so?\From Alaska and the Arctic Ocean in the north,\to Antarctica in the south.\It was truly a great voyage\that spanned the world\On top of that, bears back then\used to able to dive deep into the ocean\That's incredible. response:	Yeah. I've heard that the white part on the neck
context: From Alaska and the Arctic Ocean in the north,\to Antarctica in the south.\It was truly a great voyage\that spanned the world\On top of that, bears back then\used to able to dive deep into the ocean\That's incredible.\Yeah. I've heard that the white part on the neck response:	of a Japanese moonbear is'
context: to Antarctica in the south.\It was truly a great voyage\that spanned the world\On top of that, bears back then\used to able to dive deep into the ocean\That's incredible.\Yeah. I've heard that the white part on the neck\of a Japanese moonbear is' response:	a marking so that they don't lose sight of each other in the dark depths of the ocean.
context: It was truly a great voyage\that spanned the world\On top of that, bears back then\used to able to dive deep into the ocean\That's incredible.\Yeah. I've heard that the white part on the neck\of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean. response:	And the thing that caused them to come up on land is'
context: that spanned the world\On top of that, bears back then\used to able to dive deep into the ocean\That's incredible.\Yeah. I've heard that the white part on the neck\of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is' response:	No these lies again!!
context: On top of that, bears back then\used to able to dive deep into the ocean\That's incredible.\Yeah. I've heard that the white part on the neck\of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is'\No these lies again!! response:	'Because of the existence of a salmon
context: used to able to dive deep into the ocean\That's incredible.\Yeah. I've heard that the white part on the neck\of a Japanese moonbear is'\a marking so that they don't lose sight of each other in the dark depths of the ocean.\And the thing that caused them to come up on land is'\No these lies again!!\'Because of the existence of a salmon response:	big enough to be mistaken for a whale'
