context: Inbox response:	Email Received
context: You okay?\Yeah. I'll be fine.\It's cold.\Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold.\Dad...\Oh, morning.\There's a letter for you. response:	It's on your desk.
context: Yeah. I'll be fine.\It's cold.\Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold.\Dad...\Oh, morning.\There's a letter for you.\It's on your desk. response:	Thanks.
context: It's cold.\Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold.\Dad...\Oh, morning.\There's a letter for you.\It's on your desk.\Thanks. response:	I know!
context: Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold.\Dad...\Oh, morning.\There's a letter for you.\It's on your desk.\Thanks.\I know! response:	What was I supposed to do?
context: If you just pour it from the top, Dad's gonna get cold.\Dad...\Oh, morning.\There's a letter for you.\It's on your desk.\Thanks.\I know!\What was I supposed to do? response:	Rikka!
context: Dad...\Oh, morning.\There's a letter for you.\It's on your desk.\Thanks.\I know!\What was I supposed to do?\Rikka! response:	Are you there, Rikka?
context: Oh, morning.\There's a letter for you.\It's on your desk.\Thanks.\I know!\What was I supposed to do?\Rikka!\Are you there, Rikka? response:	I'm so stupid!
context: There's a letter for you.\It's on your desk.\Thanks.\I know!\What was I supposed to do?\Rikka!\Are you there, Rikka?\I'm so stupid! response:	Takanashi?
context: It's on your desk.\Thanks.\I know!\What was I supposed to do?\Rikka!\Are you there, Rikka?\I'm so stupid!\Takanashi? response:	I haven't really heard from her.
context: Thanks.\I know!\What was I supposed to do?\Rikka!\Are you there, Rikka?\I'm so stupid!\Takanashi?\I haven't really heard from her. response:	Don't tell me you two got in a fight.
context: I know!\What was I supposed to do?\Rikka!\Are you there, Rikka?\I'm so stupid!\Takanashi?\I haven't really heard from her.\Don't tell me you two got in a fight. response:	No, it's not like that...
context: What was I supposed to do?\Rikka!\Are you there, Rikka?\I'm so stupid!\Takanashi?\I haven't really heard from her.\Don't tell me you two got in a fight.\No, it's not like that... response:	Yeah, right! You totally did!
context: Rikka!\Are you there, Rikka?\I'm so stupid!\Takanashi?\I haven't really heard from her.\Don't tell me you two got in a fight.\No, it's not like that...\Yeah, right! You totally did! response:	Excuse me...
context: Are you there, Rikka?\I'm so stupid!\Takanashi?\I haven't really heard from her.\Don't tell me you two got in a fight.\No, it's not like that...\Yeah, right! You totally did!\Excuse me... response:	Who're you?
context: I'm so stupid!\Takanashi?\I haven't really heard from her.\Don't tell me you two got in a fight.\No, it's not like that...\Yeah, right! You totally did!\Excuse me...\Who're you? response:	Oh, you're so funny.
context: Takanashi?\I haven't really heard from her.\Don't tell me you two got in a fight.\No, it's not like that...\Yeah, right! You totally did!\Excuse me...\Who're you?\Oh, you're so funny. response:	I'm Dekomori!
context: I haven't really heard from her.\Don't tell me you two got in a fight.\No, it's not like that...\Yeah, right! You totally did!\Excuse me...\Who're you?\Oh, you're so funny.\I'm Dekomori! response:	Dekomori Sanae.
context: Don't tell me you two got in a fight.\No, it's not like that...\Yeah, right! You totally did!\Excuse me...\Who're you?\Oh, you're so funny.\I'm Dekomori!\Dekomori Sanae. response:	Bleh!
context: No, it's not like that...\Yeah, right! You totally did!\Excuse me...\Who're you?\Oh, you're so funny.\I'm Dekomori!\Dekomori Sanae.\Bleh! response:	Are you not well?
context: Yeah, right! You totally did!\Excuse me...\Who're you?\Oh, you're so funny.\I'm Dekomori!\Dekomori Sanae.\Bleh!\Are you not well? response:	Did you eat a dark plant?
context: Excuse me...\Who're you?\Oh, you're so funny.\I'm Dekomori!\Dekomori Sanae.\Bleh!\Are you not well?\Did you eat a dark plant? response:	Who'd eat something like that?!
context: Who're you?\Oh, you're so funny.\I'm Dekomori!\Dekomori Sanae.\Bleh!\Are you not well?\Did you eat a dark plant?\Who'd eat something like that?! response:	You're the one who's creeping me out!
context: Oh, you're so funny.\I'm Dekomori!\Dekomori Sanae.\Bleh!\Are you not well?\Did you eat a dark plant?\Who'd eat something like that?!\You're the one who's creeping me out! response:	What the hell did you do to your hair?
context: I'm Dekomori!\Dekomori Sanae.\Bleh!\Are you not well?\Did you eat a dark plant?\Who'd eat something like that?!\You're the one who's creeping me out!\What the hell did you do to your hair? response:	I thought I was getting a little old for pigtails. Don't you think, my dear senior?
context: Dekomori Sanae.\Bleh!\Are you not well?\Did you eat a dark plant?\Who'd eat something like that?!\You're the one who's creeping me out!\What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior? response:	Stop that! You're killing me here!
context: Bleh!\Are you not well?\Did you eat a dark plant?\Who'd eat something like that?!\You're the one who's creeping me out!\What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here! response:	Hang in there!
context: Are you not well?\Did you eat a dark plant?\Who'd eat something like that?!\You're the one who's creeping me out!\What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here!\Hang in there! response:	Stop it!
context: Did you eat a dark plant?\Who'd eat something like that?!\You're the one who's creeping me out!\What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here!\Hang in there!\Stop it! response:	Hearing you talk like that makes my skin crawl.
context: Who'd eat something like that?!\You're the one who's creeping me out!\What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here!\Hang in there!\Stop it!\Hearing you talk like that makes my skin crawl. response:	Please, let go of me!
context: You're the one who's creeping me out!\What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here!\Hang in there!\Stop it!\Hearing you talk like that makes my skin crawl.\Please, let go of me! response:	A woman's hair is vital!
context: What the hell did you do to your hair?\I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here!\Hang in there!\Stop it!\Hearing you talk like that makes my skin crawl.\Please, let go of me!\A woman's hair is vital! response:	You can't just grab on to it as you please.
context: I thought I was getting a little old for pigtails. Don't you think, my dear senior?\Stop that! You're killing me here!\Hang in there!\Stop it!\Hearing you talk like that makes my skin crawl.\Please, let go of me!\A woman's hair is vital!\You can't just grab on to it as you please. response:	This is totally out of left field!
context: Stop that! You're killing me here!\Hang in there!\Stop it!\Hearing you talk like that makes my skin crawl.\Please, let go of me!\A woman's hair is vital!\You can't just grab on to it as you please.\This is totally out of left field! response:	What happened?
context: Hang in there!\Stop it!\Hearing you talk like that makes my skin crawl.\Please, let go of me!\A woman's hair is vital!\You can't just grab on to it as you please.\This is totally out of left field!\What happened? response:	Well... I spent a lot of time thinking after what happened...
context: Stop it!\Hearing you talk like that makes my skin crawl.\Please, let go of me!\A woman's hair is vital!\You can't just grab on to it as you please.\This is totally out of left field!\What happened?\Well... I spent a lot of time thinking after what happened... response:	Like about Master... I mean, Takanashi.
context: Hearing you talk like that makes my skin crawl.\Please, let go of me!\A woman's hair is vital!\You can't just grab on to it as you please.\This is totally out of left field!\What happened?\Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi. response:	And about what you said.
context: Please, let go of me!\A woman's hair is vital!\You can't just grab on to it as you please.\This is totally out of left field!\What happened?\Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi.\And about what you said. response:	Yuuta!
context: A woman's hair is vital!\You can't just grab on to it as you please.\This is totally out of left field!\What happened?\Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi.\And about what you said.\Yuuta! response:	Kumin... Kumin's...
context: You can't just grab on to it as you please.\This is totally out of left field!\What happened?\Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi.\And about what you said.\Yuuta!\Kumin... Kumin's... response:	Wait, who's this cutie?
context: This is totally out of left field!\What happened?\Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi.\And about what you said.\Yuuta!\Kumin... Kumin's...\Wait, who's this cutie? response:	See?
context: What happened?\Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi.\And about what you said.\Yuuta!\Kumin... Kumin's...\Wait, who's this cutie?\See? response:	Hey, Tsuyuri, is your eye all right?
context: Well... I spent a lot of time thinking after what happened...\Like about Master... I mean, Takanashi.\And about what you said.\Yuuta!\Kumin... Kumin's...\Wait, who's this cutie?\See?\Hey, Tsuyuri, is your eye all right? response:	Yes. I'm fine.
context: Like about Master... I mean, Takanashi.\And about what you said.\Yuuta!\Kumin... Kumin's...\Wait, who's this cutie?\See?\Hey, Tsuyuri, is your eye all right?\Yes. I'm fine. response:	Did you catch a cold?
context: And about what you said.\Yuuta!\Kumin... Kumin's...\Wait, who's this cutie?\See?\Hey, Tsuyuri, is your eye all right?\Yes. I'm fine.\Did you catch a cold? response:	I wish...
context: Yuuta!\Kumin... Kumin's...\Wait, who's this cutie?\See?\Hey, Tsuyuri, is your eye all right?\Yes. I'm fine.\Did you catch a cold?\I wish... response:	I'll be all right.
context: Kumin... Kumin's...\Wait, who's this cutie?\See?\Hey, Tsuyuri, is your eye all right?\Yes. I'm fine.\Did you catch a cold?\I wish...\I'll be all right. response:	If I drink this...
context: Wait, who's this cutie?\See?\Hey, Tsuyuri, is your eye all right?\Yes. I'm fine.\Did you catch a cold?\I wish...\I'll be all right.\If I drink this... response:	What's that?
context: See?\Hey, Tsuyuri, is your eye all right?\Yes. I'm fine.\Did you catch a cold?\I wish...\I'll be all right.\If I drink this...\What's that? response:	You wanna know?
context: Hey, Tsuyuri, is your eye all right?\Yes. I'm fine.\Did you catch a cold?\I wish...\I'll be all right.\If I drink this...\What's that?\You wanna know? response:	Uh, I...
context: Yes. I'm fine.\Did you catch a cold?\I wish...\I'll be all right.\If I drink this...\What's that?\You wanna know?\Uh, I... response:	Kumin...
context: Did you catch a cold?\I wish...\I'll be all right.\If I drink this...\What's that?\You wanna know?\Uh, I...\Kumin... response:	My goodness, she does look rather strange.
context: I wish...\I'll be all right.\If I drink this...\What's that?\You wanna know?\Uh, I...\Kumin...\My goodness, she does look rather strange. response:	How shameful.
context: I'll be all right.\If I drink this...\What's that?\You wanna know?\Uh, I...\Kumin...\My goodness, she does look rather strange.\How shameful. response:	Like you can talk.
context: If I drink this...\What's that?\You wanna know?\Uh, I...\Kumin...\My goodness, she does look rather strange.\How shameful.\Like you can talk. response:	Ow!
context: What's that?\You wanna know?\Uh, I...\Kumin...\My goodness, she does look rather strange.\How shameful.\Like you can talk.\Ow! response:	That deathly hurt!
context: You wanna know?\Uh, I...\Kumin...\My goodness, she does look rather strange.\How shameful.\Like you can talk.\Ow!\That deathly hurt! response:	Huh? Death?
context: Uh, I...\Kumin...\My goodness, she does look rather strange.\How shameful.\Like you can talk.\Ow!\That deathly hurt!\Huh? Death? response:	You're that middle schooler?
context: Kumin...\My goodness, she does look rather strange.\How shameful.\Like you can talk.\Ow!\That deathly hurt!\Huh? Death?\You're that middle schooler? response:	Little slow on the uptake, aren't we?
context: My goodness, she does look rather strange.\How shameful.\Like you can talk.\Ow!\That deathly hurt!\Huh? Death?\You're that middle schooler?\Little slow on the uptake, aren't we? response:	So you've come...
context: How shameful.\Like you can talk.\Ow!\That deathly hurt!\Huh? Death?\You're that middle schooler?\Little slow on the uptake, aren't we?\So you've come... response:	Dark Flame Master!
context: Like you can talk.\Ow!\That deathly hurt!\Huh? Death?\You're that middle schooler?\Little slow on the uptake, aren't we?\So you've come...\Dark Flame Master! response:	Please don't call me that.
context: Ow!\That deathly hurt!\Huh? Death?\You're that middle schooler?\Little slow on the uptake, aren't we?\So you've come...\Dark Flame Master!\Please don't call me that. response:	Do you want to see my eye?
context: That deathly hurt!\Huh? Death?\You're that middle schooler?\Little slow on the uptake, aren't we?\So you've come...\Dark Flame Master!\Please don't call me that.\Do you want to see my eye? response:	No, thank you.
context: Huh? Death?\You're that middle schooler?\Little slow on the uptake, aren't we?\So you've come...\Dark Flame Master!\Please don't call me that.\Do you want to see my eye?\No, thank you. response:	What? You can't say that...
context: You're that middle schooler?\Little slow on the uptake, aren't we?\So you've come...\Dark Flame Master!\Please don't call me that.\Do you want to see my eye?\No, thank you.\What? You can't say that... response:	But...
context: Little slow on the uptake, aren't we?\So you've come...\Dark Flame Master!\Please don't call me that.\Do you want to see my eye?\No, thank you.\What? You can't say that...\But... response:	Anyway, what's with the Rikka impression?
context: So you've come...\Dark Flame Master!\Please don't call me that.\Do you want to see my eye?\No, thank you.\What? You can't say that...\But...\Anyway, what's with the Rikka impression? response:	This is no mere act.
context: Dark Flame Master!\Please don't call me that.\Do you want to see my eye?\No, thank you.\What? You can't say that...\But...\Anyway, what's with the Rikka impression?\This is no mere act. response:	I inherited it...
context: Please don't call me that.\Do you want to see my eye?\No, thank you.\What? You can't say that...\But...\Anyway, what's with the Rikka impression?\This is no mere act.\I inherited it... response:	from the wielder of the Wicked Eye.
context: Do you want to see my eye?\No, thank you.\What? You can't say that...\But...\Anyway, what's with the Rikka impression?\This is no mere act.\I inherited it...\from the wielder of the Wicked Eye. response:	Inherited it?
context: No, thank you.\What? You can't say that...\But...\Anyway, what's with the Rikka impression?\This is no mere act.\I inherited it...\from the wielder of the Wicked Eye.\Inherited it? response:	Yes.
context: What? You can't say that...\But...\Anyway, what's with the Rikka impression?\This is no mere act.\I inherited it...\from the wielder of the Wicked Eye.\Inherited it?\Yes. response:	On the final eve of the new moon, I was entrusted with the full measure of that dark power.
context: But...\Anyway, what's with the Rikka impression?\This is no mere act.\I inherited it...\from the wielder of the Wicked Eye.\Inherited it?\Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power. response:	In other words, I am the Wicked Eye's successor.
context: Anyway, what's with the Rikka impression?\This is no mere act.\I inherited it...\from the wielder of the Wicked Eye.\Inherited it?\Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor. response:	Does that thing really need a successor?!
context: This is no mere act.\I inherited it...\from the wielder of the Wicked Eye.\Inherited it?\Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?! response:	But of course.
context: I inherited it...\from the wielder of the Wicked Eye.\Inherited it?\Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?!\But of course. response:	The Wicked Eye must live on.
context: from the wielder of the Wicked Eye.\Inherited it?\Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?!\But of course.\The Wicked Eye must live on. response:	So long as the Dark Flame Master draws breath.
context: Inherited it?\Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?!\But of course.\The Wicked Eye must live on.\So long as the Dark Flame Master draws breath. response:	Is that what Rikka said?
context: Yes.\On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?!\But of course.\The Wicked Eye must live on.\So long as the Dark Flame Master draws breath.\Is that what Rikka said? response:	Yes.
context: On the final eve of the new moon, I was entrusted with the full measure of that dark power.\In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?!\But of course.\The Wicked Eye must live on.\So long as the Dark Flame Master draws breath.\Is that what Rikka said?\Yes. response:	Wow, that sounds so... deathly cool!
context: In other words, I am the Wicked Eye's successor.\Does that thing really need a successor?!\But of course.\The Wicked Eye must live on.\So long as the Dark Flame Master draws breath.\Is that what Rikka said?\Yes.\Wow, that sounds so... deathly cool! response:	And whose side are you supposed to be on?
context: Does that thing really need a successor?!\But of course.\The Wicked Eye must live on.\So long as the Dark Flame Master draws breath.\Is that what Rikka said?\Yes.\Wow, that sounds so... deathly cool!\And whose side are you supposed to be on? response:	Well, that didn't take long to clean up.
context: But of course.\The Wicked Eye must live on.\So long as the Dark Flame Master draws breath.\Is that what Rikka said?\Yes.\Wow, that sounds so... deathly cool!\And whose side are you supposed to be on?\Well, that didn't take long to clean up. response:	Yeah.
context: The Wicked Eye must live on.\So long as the Dark Flame Master draws breath.\Is that what Rikka said?\Yes.\Wow, that sounds so... deathly cool!\And whose side are you supposed to be on?\Well, that didn't take long to clean up.\Yeah. response:	Looking back at it, we really weren't doing much.
context: So long as the Dark Flame Master draws breath.\Is that what Rikka said?\Yes.\Wow, that sounds so... deathly cool!\And whose side are you supposed to be on?\Well, that didn't take long to clean up.\Yeah.\Looking back at it, we really weren't doing much. response:	By the way, how was the Drama Club?
context: Is that what Rikka said?\Yes.\Wow, that sounds so... deathly cool!\And whose side are you supposed to be on?\Well, that didn't take long to clean up.\Yeah.\Looking back at it, we really weren't doing much.\By the way, how was the Drama Club? response:	Oh, I went to check it out.
context: Yes.\Wow, that sounds so... deathly cool!\And whose side are you supposed to be on?\Well, that didn't take long to clean up.\Yeah.\Looking back at it, we really weren't doing much.\By the way, how was the Drama Club?\Oh, I went to check it out. response:	But...
context: Wow, that sounds so... deathly cool!\And whose side are you supposed to be on?\Well, that didn't take long to clean up.\Yeah.\Looking back at it, we really weren't doing much.\By the way, how was the Drama Club?\Oh, I went to check it out.\But... response:	But what?
context: And whose side are you supposed to be on?\Well, that didn't take long to clean up.\Yeah.\Looking back at it, we really weren't doing much.\By the way, how was the Drama Club?\Oh, I went to check it out.\But...\But what? response:	The President's a bit over-enthusiastic.
context: Well, that didn't take long to clean up.\Yeah.\Looking back at it, we really weren't doing much.\By the way, how was the Drama Club?\Oh, I went to check it out.\But...\But what?\The President's a bit over-enthusiastic. response:	They were like, we'll do things no one has ever done before!
context: Yeah.\Looking back at it, we really weren't doing much.\By the way, how was the Drama Club?\Oh, I went to check it out.\But...\But what?\The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before! response:	And we'll pave the way for a new age!. That kind of thing.
context: Looking back at it, we really weren't doing much.\By the way, how was the Drama Club?\Oh, I went to check it out.\But...\But what?\The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing. response:	Oh, one of those people...
context: By the way, how was the Drama Club?\Oh, I went to check it out.\But...\But what?\The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people... response:	I mean, I have no problem with enthusiasm.
context: Oh, I went to check it out.\But...\But what?\The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people...\I mean, I have no problem with enthusiasm. response:	It's just... this really seemed like a case of eighth-grader syndrome to me.
context: But...\But what?\The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people...\I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me. response:	Was it really eighth-grader syndrome?
context: But what?\The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people...\I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome? response:	Maybe not exactly, but like...
context: The President's a bit over-enthusiastic.\They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people...\I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome?\Maybe not exactly, but like... response:	I got the impression they felt like they were different to other people.
context: They were like, we'll do things no one has ever done before!\And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people...\I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome?\Maybe not exactly, but like...\I got the impression they felt like they were different to other people. response:	Like they were special because they could see something others couldn't.
context: And we'll pave the way for a new age!. That kind of thing.\Oh, one of those people...\I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome?\Maybe not exactly, but like...\I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't. response:	It felt like they were a bit full of themselves, you know?
context: Oh, one of those people...\I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome?\Maybe not exactly, but like...\I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know? response:	I mean, remember how we both wanted to put our eighth-grader syndrome behind us
context: I mean, I have no problem with enthusiasm.\It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome?\Maybe not exactly, but like...\I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us response:	and just be normal high schoolers once we got here?
context: It's just... this really seemed like a case of eighth-grader syndrome to me.\Was it really eighth-grader syndrome?\Maybe not exactly, but like...\I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here? response:	Yeah.
context: Was it really eighth-grader syndrome?\Maybe not exactly, but like...\I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here?\Yeah. response:	But I think we were just caught up in our own ideas of what a normal high schooler should be.
context: Maybe not exactly, but like...\I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here?\Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be. response:	What are you trying to say?
context: I got the impression they felt like they were different to other people.\Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here?\Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say? response:	Nothing much.
context: Like they were special because they could see something others couldn't.\It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here?\Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say?\Nothing much. response:	Just that maybe everyone always has some kind of syndrome, you know?
context: It felt like they were a bit full of themselves, you know?\I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here?\Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say?\Nothing much.\Just that maybe everyone always has some kind of syndrome, you know? response:	That's deep.
context: I mean, remember how we both wanted to put our eighth-grader syndrome behind us\and just be normal high schoolers once we got here?\Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say?\Nothing much.\Just that maybe everyone always has some kind of syndrome, you know?\That's deep. response:	No...
context: and just be normal high schoolers once we got here?\Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say?\Nothing much.\Just that maybe everyone always has some kind of syndrome, you know?\That's deep.\No... response:	You're just shallow.
context: Yeah.\But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say?\Nothing much.\Just that maybe everyone always has some kind of syndrome, you know?\That's deep.\No...\You're just shallow. response:	Oh, don't worry about it. I'll do the dishes.
context: But I think we were just caught up in our own ideas of what a normal high schooler should be.\What are you trying to say?\Nothing much.\Just that maybe everyone always has some kind of syndrome, you know?\That's deep.\No...\You're just shallow.\Oh, don't worry about it. I'll do the dishes. response:	You sure?
context: What are you trying to say?\Nothing much.\Just that maybe everyone always has some kind of syndrome, you know?\That's deep.\No...\You're just shallow.\Oh, don't worry about it. I'll do the dishes.\You sure? response:	I don't want you to break any more of them.
context: Nothing much.\Just that maybe everyone always has some kind of syndrome, you know?\That's deep.\No...\You're just shallow.\Oh, don't worry about it. I'll do the dishes.\You sure?\I don't want you to break any more of them. response:	I don't break them that much, do I?
context: Just that maybe everyone always has some kind of syndrome, you know?\That's deep.\No...\You're just shallow.\Oh, don't worry about it. I'll do the dishes.\You sure?\I don't want you to break any more of them.\I don't break them that much, do I? response:	I understand you're sad because Takanashi's gone, but...
context: That's deep.\No...\You're just shallow.\Oh, don't worry about it. I'll do the dishes.\You sure?\I don't want you to break any more of them.\I don't break them that much, do I?\I understand you're sad because Takanashi's gone, but... response:	She's not gone.
context: No...\You're just shallow.\Oh, don't worry about it. I'll do the dishes.\You sure?\I don't want you to break any more of them.\I don't break them that much, do I?\I understand you're sad because Takanashi's gone, but...\She's not gone. response:	And I'm not sad.
context: You're just shallow.\Oh, don't worry about it. I'll do the dishes.\You sure?\I don't want you to break any more of them.\I don't break them that much, do I?\I understand you're sad because Takanashi's gone, but...\She's not gone.\And I'm not sad. response:	What?
