context: That girl still believes in the future. response:	How's the audience tonight, X22?
context: Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes.\What I am interested in is...\The reason you have not killed me so far.\Is that all?\Yeah.\I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly. response:	How many men can you bring down in a minute?
context: Thanks, but I am not interested in nickels and dimes.\What I am interested in is...\The reason you have not killed me so far.\Is that all?\Yeah.\I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute? response:	Ten? A hundred?
context: What I am interested in is...\The reason you have not killed me so far.\Is that all?\Yeah.\I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute?\Ten? A hundred? response:	My high score is 375.
context: The reason you have not killed me so far.\Is that all?\Yeah.\I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute?\Ten? A hundred?\My high score is 375. response:	I may not be gunned down by you quite quietly.
context: Is that all?\Yeah.\I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute?\Ten? A hundred?\My high score is 375.\I may not be gunned down by you quite quietly. response:	Eleanor told me to come meet you here.
context: Yeah.\I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute?\Ten? A hundred?\My high score is 375.\I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here. response:	If you do not have any business with me, I'd like to leave.
context: I know I can't kill you with a gun like this.\Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute?\Ten? A hundred?\My high score is 375.\I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave. response:	It was you who called me out here!
context: Killing us is just as easy for you as killing a fly.\How many men can you bring down in a minute?\Ten? A hundred?\My high score is 375.\I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave.\It was you who called me out here! response:	No, I did not.
context: How many men can you bring down in a minute?\Ten? A hundred?\My high score is 375.\I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave.\It was you who called me out here!\No, I did not. response:	I do not trust you yet.
context: Ten? A hundred?\My high score is 375.\I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave.\It was you who called me out here!\No, I did not.\I do not trust you yet. response:	You are a machine.
context: My high score is 375.\I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave.\It was you who called me out here!\No, I did not.\I do not trust you yet.\You are a machine. response:	Yes, but I am a friend of Eleanor.
context: I may not be gunned down by you quite quietly.\Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave.\It was you who called me out here!\No, I did not.\I do not trust you yet.\You are a machine.\Yes, but I am a friend of Eleanor. response:	Don't tell me you're broken.
context: Eleanor told me to come meet you here.\If you do not have any business with me, I'd like to leave.\It was you who called me out here!\No, I did not.\I do not trust you yet.\You are a machine.\Yes, but I am a friend of Eleanor.\Don't tell me you're broken. response:	Broken? I might well be.
context: If you do not have any business with me, I'd like to leave.\It was you who called me out here!\No, I did not.\I do not trust you yet.\You are a machine.\Yes, but I am a friend of Eleanor.\Don't tell me you're broken.\Broken? I might well be. response:	I know it now.
context: It was you who called me out here!\No, I did not.\I do not trust you yet.\You are a machine.\Yes, but I am a friend of Eleanor.\Don't tell me you're broken.\Broken? I might well be.\I know it now. response:	You are in love with Eleanor?
context: No, I did not.\I do not trust you yet.\You are a machine.\Yes, but I am a friend of Eleanor.\Don't tell me you're broken.\Broken? I might well be.\I know it now.\You are in love with Eleanor? response:	Don't tell me it's true!
context: I do not trust you yet.\You are a machine.\Yes, but I am a friend of Eleanor.\Don't tell me you're broken.\Broken? I might well be.\I know it now.\You are in love with Eleanor?\Don't tell me it's true! response:	Hey, this is a trap!
context: You are a machine.\Yes, but I am a friend of Eleanor.\Don't tell me you're broken.\Broken? I might well be.\I know it now.\You are in love with Eleanor?\Don't tell me it's true!\Hey, this is a trap! response:	You sold me out?!
context: Yes, but I am a friend of Eleanor.\Don't tell me you're broken.\Broken? I might well be.\I know it now.\You are in love with Eleanor?\Don't tell me it's true!\Hey, this is a trap!\You sold me out?! response:	You are such a dumb nut!
context: Don't tell me you're broken.\Broken? I might well be.\I know it now.\You are in love with Eleanor?\Don't tell me it's true!\Hey, this is a trap!\You sold me out?!\You are such a dumb nut! response:	I've got a pair of Super Chip 11s in my head.
context: Broken? I might well be.\I know it now.\You are in love with Eleanor?\Don't tell me it's true!\Hey, this is a trap!\You sold me out?!\You are such a dumb nut!\I've got a pair of Super Chip 11s in my head. response:	Truly unexpected.
context: I know it now.\You are in love with Eleanor?\Don't tell me it's true!\Hey, this is a trap!\You sold me out?!\You are such a dumb nut!\I've got a pair of Super Chip 11s in my head.\Truly unexpected. response:	Would you like to join Eleven?
context: You are in love with Eleanor?\Don't tell me it's true!\Hey, this is a trap!\You sold me out?!\You are such a dumb nut!\I've got a pair of Super Chip 11s in my head.\Truly unexpected.\Would you like to join Eleven? response:	This head cannot be broken down!
context: Don't tell me it's true!\Hey, this is a trap!\You sold me out?!\You are such a dumb nut!\I've got a pair of Super Chip 11s in my head.\Truly unexpected.\Would you like to join Eleven?\This head cannot be broken down! response:	Transformation!
context: Hey, this is a trap!\You sold me out?!\You are such a dumb nut!\I've got a pair of Super Chip 11s in my head.\Truly unexpected.\Would you like to join Eleven?\This head cannot be broken down!\Transformation! response:	Are you Xiaogang?
context: You sold me out?!\You are such a dumb nut!\I've got a pair of Super Chip 11s in my head.\Truly unexpected.\Would you like to join Eleven?\This head cannot be broken down!\Transformation!\Are you Xiaogang? response:	Hey! Are you dead?
context: You are such a dumb nut!\I've got a pair of Super Chip 11s in my head.\Truly unexpected.\Would you like to join Eleven?\This head cannot be broken down!\Transformation!\Are you Xiaogang?\Hey! Are you dead? response:	What? What happened?
context: I've got a pair of Super Chip 11s in my head.\Truly unexpected.\Would you like to join Eleven?\This head cannot be broken down!\Transformation!\Are you Xiaogang?\Hey! Are you dead?\What? What happened? response:	You don't remember?
context: Truly unexpected.\Would you like to join Eleven?\This head cannot be broken down!\Transformation!\Are you Xiaogang?\Hey! Are you dead?\What? What happened?\You don't remember? response:	No.
context: Would you like to join Eleven?\This head cannot be broken down!\Transformation!\Are you Xiaogang?\Hey! Are you dead?\What? What happened?\You don't remember?\No. response:	Look at that.
context: This head cannot be broken down!\Transformation!\Are you Xiaogang?\Hey! Are you dead?\What? What happened?\You don't remember?\No.\Look at that. response:	It can't be, are you Xiaogang?
context: Transformation!\Are you Xiaogang?\Hey! Are you dead?\What? What happened?\You don't remember?\No.\Look at that.\It can't be, are you Xiaogang? response:	Such devastating violence.
context: Are you Xiaogang?\Hey! Are you dead?\What? What happened?\You don't remember?\No.\Look at that.\It can't be, are you Xiaogang?\Such devastating violence. response:	Oh hell...
context: Hey! Are you dead?\What? What happened?\You don't remember?\No.\Look at that.\It can't be, are you Xiaogang?\Such devastating violence.\Oh hell... response:	Admission procedure?
context: What? What happened?\You don't remember?\No.\Look at that.\It can't be, are you Xiaogang?\Such devastating violence.\Oh hell...\Admission procedure? response:	What's going on?
context: You don't remember?\No.\Look at that.\It can't be, are you Xiaogang?\Such devastating violence.\Oh hell...\Admission procedure?\What's going on? response:	What the hell was that?
context: No.\Look at that.\It can't be, are you Xiaogang?\Such devastating violence.\Oh hell...\Admission procedure?\What's going on?\What the hell was that? response:	I can give you details
context: Look at that.\It can't be, are you Xiaogang?\Such devastating violence.\Oh hell...\Admission procedure?\What's going on?\What the hell was that?\I can give you details response:	after you join.
context: It can't be, are you Xiaogang?\Such devastating violence.\Oh hell...\Admission procedure?\What's going on?\What the hell was that?\I can give you details\after you join. response:	What's wrong?
context: Such devastating violence.\Oh hell...\Admission procedure?\What's going on?\What the hell was that?\I can give you details\after you join.\What's wrong? response:	I feel sick.
context: Oh hell...\Admission procedure?\What's going on?\What the hell was that?\I can give you details\after you join.\What's wrong?\I feel sick. response:	No more... Just no more.
context: Admission procedure?\What's going on?\What the hell was that?\I can give you details\after you join.\What's wrong?\I feel sick.\No more... Just no more. response:	Who are you?
context: What's going on?\What the hell was that?\I can give you details\after you join.\What's wrong?\I feel sick.\No more... Just no more.\Who are you? response:	My name is Jay...
context: What the hell was that?\I can give you details\after you join.\What's wrong?\I feel sick.\No more... Just no more.\Who are you?\My name is Jay... response:	This place shall be your grave, today.
context: I can give you details\after you join.\What's wrong?\I feel sick.\No more... Just no more.\Who are you?\My name is Jay...\This place shall be your grave, today. response:	Yeah?
context: after you join.\What's wrong?\I feel sick.\No more... Just no more.\Who are you?\My name is Jay...\This place shall be your grave, today.\Yeah? response:	Sorry you went through the effort. I won't be needing it.
context: What's wrong?\I feel sick.\No more... Just no more.\Who are you?\My name is Jay...\This place shall be your grave, today.\Yeah?\Sorry you went through the effort. I won't be needing it. response:	Fast!
context: I feel sick.\No more... Just no more.\Who are you?\My name is Jay...\This place shall be your grave, today.\Yeah?\Sorry you went through the effort. I won't be needing it.\Fast! response:	The bullet turned.
context: No more... Just no more.\Who are you?\My name is Jay...\This place shall be your grave, today.\Yeah?\Sorry you went through the effort. I won't be needing it.\Fast!\The bullet turned. response:	That's what he meant!
context: Who are you?\My name is Jay...\This place shall be your grave, today.\Yeah?\Sorry you went through the effort. I won't be needing it.\Fast!\The bullet turned.\That's what he meant! response:	He has a special gun, I heard.
context: My name is Jay...\This place shall be your grave, today.\Yeah?\Sorry you went through the effort. I won't be needing it.\Fast!\The bullet turned.\That's what he meant!\He has a special gun, I heard. response:	Special? How?
context: This place shall be your grave, today.\Yeah?\Sorry you went through the effort. I won't be needing it.\Fast!\The bullet turned.\That's what he meant!\He has a special gun, I heard.\Special? How? response:	You cannot run away!
context: Yeah?\Sorry you went through the effort. I won't be needing it.\Fast!\The bullet turned.\That's what he meant!\He has a special gun, I heard.\Special? How?\You cannot run away! response:	Touka!
context: Sorry you went through the effort. I won't be needing it.\Fast!\The bullet turned.\That's what he meant!\He has a special gun, I heard.\Special? How?\You cannot run away!\Touka! response:	Yes!
context: Fast!\The bullet turned.\That's what he meant!\He has a special gun, I heard.\Special? How?\You cannot run away!\Touka!\Yes! response:	What the hell?
context: The bullet turned.\That's what he meant!\He has a special gun, I heard.\Special? How?\You cannot run away!\Touka!\Yes!\What the hell? response:	It can't be.
context: That's what he meant!\He has a special gun, I heard.\Special? How?\You cannot run away!\Touka!\Yes!\What the hell?\It can't be. response:	Non-quantifiable energy system.
context: He has a special gun, I heard.\Special? How?\You cannot run away!\Touka!\Yes!\What the hell?\It can't be.\Non-quantifiable energy system. response:	What the hell is it?
context: Special? How?\You cannot run away!\Touka!\Yes!\What the hell?\It can't be.\Non-quantifiable energy system.\What the hell is it? response:	Here I come!
context: You cannot run away!\Touka!\Yes!\What the hell?\It can't be.\Non-quantifiable energy system.\What the hell is it?\Here I come! response:	Hup!
context: Touka!\Yes!\What the hell?\It can't be.\Non-quantifiable energy system.\What the hell is it?\Here I come!\Hup! response:	Heck of good reflexes.
context: Yes!\What the hell?\It can't be.\Non-quantifiable energy system.\What the hell is it?\Here I come!\Hup!\Heck of good reflexes. response:	Tell me why a machine like you is siding with humans.
context: What the hell?\It can't be.\Non-quantifiable energy system.\What the hell is it?\Here I come!\Hup!\Heck of good reflexes.\Tell me why a machine like you is siding with humans. response:	I don't know.
context: It can't be.\Non-quantifiable energy system.\What the hell is it?\Here I come!\Hup!\Heck of good reflexes.\Tell me why a machine like you is siding with humans.\I don't know. response:	What do you mean you don't know?
context: Non-quantifiable energy system.\What the hell is it?\Here I come!\Hup!\Heck of good reflexes.\Tell me why a machine like you is siding with humans.\I don't know.\What do you mean you don't know? response:	Machines are never ambiugous about anything, are they?
context: What the hell is it?\Here I come!\Hup!\Heck of good reflexes.\Tell me why a machine like you is siding with humans.\I don't know.\What do you mean you don't know?\Machines are never ambiugous about anything, are they? response:	That's the thing, I don't know.
context: Here I come!\Hup!\Heck of good reflexes.\Tell me why a machine like you is siding with humans.\I don't know.\What do you mean you don't know?\Machines are never ambiugous about anything, are they?\That's the thing, I don't know. response:	I don't know what's happening inside my head.
context: Hup!\Heck of good reflexes.\Tell me why a machine like you is siding with humans.\I don't know.\What do you mean you don't know?\Machines are never ambiugous about anything, are they?\That's the thing, I don't know.\I don't know what's happening inside my head. response:	What??
context: Heck of good reflexes.\Tell me why a machine like you is siding with humans.\I don't know.\What do you mean you don't know?\Machines are never ambiugous about anything, are they?\That's the thing, I don't know.\I don't know what's happening inside my head.\What?? response:	I am a friend of Eleanor.
context: Tell me why a machine like you is siding with humans.\I don't know.\What do you mean you don't know?\Machines are never ambiugous about anything, are they?\That's the thing, I don't know.\I don't know what's happening inside my head.\What??\I am a friend of Eleanor. response:	so Eleanor's friends are my friends.
