context: Episode 8: Memories Draw Spirals of the Past... response:	Looks like the rain's stopped.
context: Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like?\It's about Shirayuki.\Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor. response:	I told Shirayuki to be careful, too, but...
context: Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like?\It's about Shirayuki.\Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but... response:	She has her job, too.
context: Anyway, what don't you like?\It's about Shirayuki.\Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but...\She has her job, too. response:	All right. Obi, I'll have you act as Shirayuki's bodyguard.
context: It's about Shirayuki.\Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but...\She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard. response:	Me...?
context: Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but...\She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...? response:	No way, that's impossible.
context: People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but...\She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...?\No way, that's impossible. response:	I have a record of threatening her, you know.
context: Some wonder if they will gain anything from being in her good graces,\and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but...\She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...?\No way, that's impossible.\I have a record of threatening her, you know. response:	That part depends on Shirayuki.
context: and countless others are investigating to see if another house has fallen from favor.\I told Shirayuki to be careful, too, but...\She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...?\No way, that's impossible.\I have a record of threatening her, you know.\That part depends on Shirayuki. response:	When I gave you permission to leave the grounds by yourself,
context: I told Shirayuki to be careful, too, but...\She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...?\No way, that's impossible.\I have a record of threatening her, you know.\That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself, response:	I did think of the possibility that you wouldn't come back.
context: She has her job, too.\All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...?\No way, that's impossible.\I have a record of threatening her, you know.\That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back. response:	Forgive me.
context: All right. Obi, I'll have you act as Shirayuki's bodyguard.\Me...?\No way, that's impossible.\I have a record of threatening her, you know.\That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me. response:	I'll start from the west side.
context: Me...?\No way, that's impossible.\I have a record of threatening her, you know.\That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\I'll start from the west side. response:	Okay.
context: No way, that's impossible.\I have a record of threatening her, you know.\That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\I'll start from the west side.\Okay. response:	Shirayuki.
context: I have a record of threatening her, you know.\That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\I'll start from the west side.\Okay.\Shirayuki. response:	It's the first time I've seen you two together.
context: That part depends on Shirayuki.\When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\I'll start from the west side.\Okay.\Shirayuki.\It's the first time I've seen you two together. response:	Oh no, Miss Kiki and I have had fun on watch together, too, you know.
context: When I gave you permission to leave the grounds by yourself,\I did think of the possibility that you wouldn't come back.\Forgive me.\I'll start from the west side.\Okay.\Shirayuki.\It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know. response:	I have no recollection of that.
context: I did think of the possibility that you wouldn't come back.\Forgive me.\I'll start from the west side.\Okay.\Shirayuki.\It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that. response:	Shirayuki, you knew that this man was one of Zen's attendants?
context: Forgive me.\I'll start from the west side.\Okay.\Shirayuki.\It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants? response:	Yeah, I met him before.
context: I'll start from the west side.\Okay.\Shirayuki.\It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before. response:	The master forgot his own shortcomings and got mad.
context: Okay.\Shirayuki.\It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before.\The master forgot his own shortcomings and got mad. response:	Oh...
context: Shirayuki.\It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before.\The master forgot his own shortcomings and got mad.\Oh... response:	Zen said he wanted to leave this man with you for a while.
context: It's the first time I've seen you two together.\Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before.\The master forgot his own shortcomings and got mad.\Oh...\Zen said he wanted to leave this man with you for a while. response:	Huh?
context: Oh no, Miss Kiki and I have had fun on watch together, too, you know.\I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before.\The master forgot his own shortcomings and got mad.\Oh...\Zen said he wanted to leave this man with you for a while.\Huh? response:	The chief herbalist also said it was okay if that was what the prince wanted.
context: I have no recollection of that.\Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before.\The master forgot his own shortcomings and got mad.\Oh...\Zen said he wanted to leave this man with you for a while.\Huh?\The chief herbalist also said it was okay if that was what the prince wanted. response:	In fact, she said she would aggressively, vigorously,
context: Shirayuki, you knew that this man was one of Zen's attendants?\Yeah, I met him before.\The master forgot his own shortcomings and got mad.\Oh...\Zen said he wanted to leave this man with you for a while.\Huh?\The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously, response:	and thoroughly make the most use of him she could.
context: Yeah, I met him before.\The master forgot his own shortcomings and got mad.\Oh...\Zen said he wanted to leave this man with you for a while.\Huh?\The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could. response:	Huh?
context: The master forgot his own shortcomings and got mad.\Oh...\Zen said he wanted to leave this man with you for a while.\Huh?\The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could.\Huh? response:	You can decide to send him away whenever you want, Shirayuki.
context: Oh...\Zen said he wanted to leave this man with you for a while.\Huh?\The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could.\Huh?\You can decide to send him away whenever you want, Shirayuki. response:	Please keep him with you for now.
context: Zen said he wanted to leave this man with you for a while.\Huh?\The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could.\Huh?\You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now. response:	Huh? But... um...
context: Huh?\The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could.\Huh?\You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now.\Huh? But... um... response:	Oh, need an introduction?
context: The chief herbalist also said it was okay if that was what the prince wanted.\In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could.\Huh?\You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now.\Huh? But... um...\Oh, need an introduction? response:	I'm Obi. I have fake names, too.
context: In fact, she said she would aggressively, vigorously,\and thoroughly make the most use of him she could.\Huh?\You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now.\Huh? But... um...\Oh, need an introduction?\I'm Obi. I have fake names, too. response:	The rest is secret.
context: and thoroughly make the most use of him she could.\Huh?\You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now.\Huh? But... um...\Oh, need an introduction?\I'm Obi. I have fake names, too.\The rest is secret. response:	So, why are you wearing a mask?
context: Huh?\You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now.\Huh? But... um...\Oh, need an introduction?\I'm Obi. I have fake names, too.\The rest is secret.\So, why are you wearing a mask? response:	We're harvesting roka fruit, but the smell they give off makes people drunk.
context: You can decide to send him away whenever you want, Shirayuki.\Please keep him with you for now.\Huh? But... um...\Oh, need an introduction?\I'm Obi. I have fake names, too.\The rest is secret.\So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk. response:	I see, I see.
context: Please keep him with you for now.\Huh? But... um...\Oh, need an introduction?\I'm Obi. I have fake names, too.\The rest is secret.\So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see. response:	What are you doing?
context: Huh? But... um...\Oh, need an introduction?\I'm Obi. I have fake names, too.\The rest is secret.\So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see.\What are you doing? response:	I thought I'd help.
context: Oh, need an introduction?\I'm Obi. I have fake names, too.\The rest is secret.\So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see.\What are you doing?\I thought I'd help. response:	Oh, Ryu. This person is-
context: I'm Obi. I have fake names, too.\The rest is secret.\So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see.\What are you doing?\I thought I'd help.\Oh, Ryu. This person is- response:	I heard. It's fine. The prince and chief herbalist both gave their permission, right?
context: The rest is secret.\So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see.\What are you doing?\I thought I'd help.\Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right? response:	Th-That's true, but...
context: So, why are you wearing a mask?\We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see.\What are you doing?\I thought I'd help.\Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but... response:	Let's finish this quickly, Miss.
context: We're harvesting roka fruit, but the smell they give off makes people drunk.\I see, I see.\What are you doing?\I thought I'd help.\Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but...\Let's finish this quickly, Miss. response:	Only pick the ones that have a four-pointed star pattern at the tip of the fruit.
context: I see, I see.\What are you doing?\I thought I'd help.\Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but...\Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit. response:	Stay away from the shriveled ones.
context: What are you doing?\I thought I'd help.\Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but...\Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones. response:	Roger.
context: I thought I'd help.\Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but...\Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones.\Roger. response:	Are you okay?
context: Oh, Ryu. This person is-\I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but...\Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones.\Roger.\Are you okay? response:	Huh?
context: I heard. It's fine. The prince and chief herbalist both gave their permission, right?\Th-That's true, but...\Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones.\Roger.\Are you okay?\Huh? response:	Are you getting drunk on the smell?
context: Th-That's true, but...\Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones.\Roger.\Are you okay?\Huh?\Are you getting drunk on the smell? response:	I don't think so. As long as this is what you mean by a four-pointed star.
context: Let's finish this quickly, Miss.\Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones.\Roger.\Are you okay?\Huh?\Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star. response:	It is.
context: Only pick the ones that have a four-pointed star pattern at the tip of the fruit.\Stay away from the shriveled ones.\Roger.\Are you okay?\Huh?\Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star.\It is. response:	Wh-What is it?
context: Stay away from the shriveled ones.\Roger.\Are you okay?\Huh?\Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star.\It is.\Wh-What is it? response:	Oh, uh... Huh?
context: Roger.\Are you okay?\Huh?\Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star.\It is.\Wh-What is it?\Oh, uh... Huh? response:	My hand's moving on its own?
context: Are you okay?\Huh?\Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star.\It is.\Wh-What is it?\Oh, uh... Huh?\My hand's moving on its own? response:	If you're going to move your hands, then take these, too.
context: Huh?\Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star.\It is.\Wh-What is it?\Oh, uh... Huh?\My hand's moving on its own?\If you're going to move your hands, then take these, too. response:	Okay, okay.
context: Are you getting drunk on the smell?\I don't think so. As long as this is what you mean by a four-pointed star.\It is.\Wh-What is it?\Oh, uh... Huh?\My hand's moving on its own?\If you're going to move your hands, then take these, too.\Okay, okay. response:	We'll put these in underground storage now, right?
context: I don't think so. As long as this is what you mean by a four-pointed star.\It is.\Wh-What is it?\Oh, uh... Huh?\My hand's moving on its own?\If you're going to move your hands, then take these, too.\Okay, okay.\We'll put these in underground storage now, right? response:	Yeah, the jars placed there six months ago should be ready,
context: It is.\Wh-What is it?\Oh, uh... Huh?\My hand's moving on its own?\If you're going to move your hands, then take these, too.\Okay, okay.\We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready, response:	so we'll see how those are doing and bring them back to the medicine room.
context: Wh-What is it?\Oh, uh... Huh?\My hand's moving on its own?\If you're going to move your hands, then take these, too.\Okay, okay.\We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room. response:	This work could try your patience, huh?
context: Oh, uh... Huh?\My hand's moving on its own?\If you're going to move your hands, then take these, too.\Okay, okay.\We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh? response:	You think so? If you keep doing it, it's interesting.
context: My hand's moving on its own?\If you're going to move your hands, then take these, too.\Okay, okay.\We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh?\You think so? If you keep doing it, it's interesting. response:	Really? As an apprentice court herbalist, and a friend of the prince,
context: If you're going to move your hands, then take these, too.\Okay, okay.\We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh?\You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince, response:	you seem to be having a lot of fun with what you have right now.
context: Okay, okay.\We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh?\You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now. response:	That was a long meeting...
context: We'll put these in underground storage now, right?\Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh?\You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now.\That was a long meeting... response:	Zen.
context: Yeah, the jars placed there six months ago should be ready,\so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh?\You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now.\That was a long meeting...\Zen. response:	Hm?
context: so we'll see how those are doing and bring them back to the medicine room.\This work could try your patience, huh?\You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now.\That was a long meeting...\Zen.\Hm? response:	It looks like he's doing his job properly, huh?
context: This work could try your patience, huh?\You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now.\That was a long meeting...\Zen.\Hm?\It looks like he's doing his job properly, huh? response:	Yeah.
context: You think so? If you keep doing it, it's interesting.\Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now.\That was a long meeting...\Zen.\Hm?\It looks like he's doing his job properly, huh?\Yeah. response:	Hey, Miss. Do you ever wish Prince Zen wasn't a prince?
context: Really? As an apprentice court herbalist, and a friend of the prince,\you seem to be having a lot of fun with what you have right now.\That was a long meeting...\Zen.\Hm?\It looks like he's doing his job properly, huh?\Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince? response:	Give that back.
context: you seem to be having a lot of fun with what you have right now.\That was a long meeting...\Zen.\Hm?\It looks like he's doing his job properly, huh?\Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back. response:	Huh?
context: That was a long meeting...\Zen.\Hm?\It looks like he's doing his job properly, huh?\Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back.\Huh? response:	The next time you say that, I'll take it as an insult.
context: Zen.\Hm?\It looks like he's doing his job properly, huh?\Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back.\Huh?\The next time you say that, I'll take it as an insult. response:	Okay...
context: Hm?\It looks like he's doing his job properly, huh?\Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back.\Huh?\The next time you say that, I'll take it as an insult.\Okay... response:	Man, he's amazing... That Prince Zen...
context: It looks like he's doing his job properly, huh?\Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back.\Huh?\The next time you say that, I'll take it as an insult.\Okay...\Man, he's amazing... That Prince Zen... response:	Miss, please wait!
context: Yeah.\Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back.\Huh?\The next time you say that, I'll take it as an insult.\Okay...\Man, he's amazing... That Prince Zen...\Miss, please wait! response:	Miss!
context: Hey, Miss. Do you ever wish Prince Zen wasn't a prince?\Give that back.\Huh?\The next time you say that, I'll take it as an insult.\Okay...\Man, he's amazing... That Prince Zen...\Miss, please wait!\Miss! response:	It's roka that has been soaked for six months.
context: Give that back.\Huh?\The next time you say that, I'll take it as an insult.\Okay...\Man, he's amazing... That Prince Zen...\Miss, please wait!\Miss!\It's roka that has been soaked for six months. response:	You should try drinking it so you know what it tastes like, Shirayuki.
context: Huh?\The next time you say that, I'll take it as an insult.\Okay...\Man, he's amazing... That Prince Zen...\Miss, please wait!\Miss!\It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki. response:	You, too, um...
context: The next time you say that, I'll take it as an insult.\Okay...\Man, he's amazing... That Prince Zen...\Miss, please wait!\Miss!\It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um... response:	I'm Obi!
context: Okay...\Man, he's amazing... That Prince Zen...\Miss, please wait!\Miss!\It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um...\I'm Obi! response:	You, too, Obi.
context: Man, he's amazing... That Prince Zen...\Miss, please wait!\Miss!\It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um...\I'm Obi!\You, too, Obi. response:	-It burns! -It's delicious!
context: Miss, please wait!\Miss!\It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um...\I'm Obi!\You, too, Obi.\-It burns! -It's delicious! response:	Chief Herbalist, that's not roka, it's alcohol, isn't it?
context: Miss!\It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um...\I'm Obi!\You, too, Obi.\-It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it? response:	That's right! Good job figuring it out.
context: It's roka that has been soaked for six months.\You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um...\I'm Obi!\You, too, Obi.\-It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out. response:	No wonder it was delicious!
context: You should try drinking it so you know what it tastes like, Shirayuki.\You, too, um...\I'm Obi!\You, too, Obi.\-It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out.\No wonder it was delicious! response:	Huh?
context: You, too, um...\I'm Obi!\You, too, Obi.\-It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out.\No wonder it was delicious!\Huh? response:	Shirayuki!
context: I'm Obi!\You, too, Obi.\-It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out.\No wonder it was delicious!\Huh?\Shirayuki! response:	Hey, hey...
context: You, too, Obi.\-It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out.\No wonder it was delicious!\Huh?\Shirayuki!\Hey, hey... response:	Oh dear...
context: -It burns! -It's delicious!\Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out.\No wonder it was delicious!\Huh?\Shirayuki!\Hey, hey...\Oh dear... response:	Shirayuki, you can't hold your liquor?
context: Chief Herbalist, that's not roka, it's alcohol, isn't it?\That's right! Good job figuring it out.\No wonder it was delicious!\Huh?\Shirayuki!\Hey, hey...\Oh dear...\Shirayuki, you can't hold your liquor? response:	Do you ever wish Prince Zen wasn't a prince?
context: That's right! Good job figuring it out.\No wonder it was delicious!\Huh?\Shirayuki!\Hey, hey...\Oh dear...\Shirayuki, you can't hold your liquor?\Do you ever wish Prince Zen wasn't a prince? response:	Zen!
context: No wonder it was delicious!\Huh?\Shirayuki!\Hey, hey...\Oh dear...\Shirayuki, you can't hold your liquor?\Do you ever wish Prince Zen wasn't a prince?\Zen! response:	Zen!
context: Huh?\Shirayuki!\Hey, hey...\Oh dear...\Shirayuki, you can't hold your liquor?\Do you ever wish Prince Zen wasn't a prince?\Zen!\Zen! response:	What is it, Lord Brother?
context: Shirayuki!\Hey, hey...\Oh dear...\Shirayuki, you can't hold your liquor?\Do you ever wish Prince Zen wasn't a prince?\Zen!\Zen!\What is it, Lord Brother? response:	This is Mitsuhide Louen, of the Sereg Knights from the east.
