context: Apollon, do you remember the day the world began? response:	Due to a miracle, the sacred and formless void
context: Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know.\No one else cares about it one bit.\I'll never forget how lovely you smell.\What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off...\When I see her, that's all I can think. response:	You're a strange one.
context: You're the only reason it keeps getting shown, you know.\No one else cares about it one bit.\I'll never forget how lovely you smell.\What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off...\When I see her, that's all I can think.\You're a strange one. response:	I'll take over loading the films.
context: No one else cares about it one bit.\I'll never forget how lovely you smell.\What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off...\When I see her, that's all I can think.\You're a strange one.\I'll take over loading the films. response:	Go take a break, Amata.
context: I'll never forget how lovely you smell.\What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off...\When I see her, that's all I can think.\You're a strange one.\I'll take over loading the films.\Go take a break, Amata. response:	Just clean up the seats before you go.
context: What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off...\When I see her, that's all I can think.\You're a strange one.\I'll take over loading the films.\Go take a break, Amata.\Just clean up the seats before you go. response:	Thank you, sir!
context: I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off...\When I see her, that's all I can think.\You're a strange one.\I'll take over loading the films.\Go take a break, Amata.\Just clean up the seats before you go.\Thank you, sir! response:	I'll be waiting for you.
context: You can't just watch as destiny flies off...\When I see her, that's all I can think.\You're a strange one.\I'll take over loading the films.\Go take a break, Amata.\Just clean up the seats before you go.\Thank you, sir!\I'll be waiting for you. response:	Even if I have to wait for 12,000 years.
context: When I see her, that's all I can think.\You're a strange one.\I'll take over loading the films.\Go take a break, Amata.\Just clean up the seats before you go.\Thank you, sir!\I'll be waiting for you.\Even if I have to wait for 12,000 years. response:	Damn, there's still trash down here.
context: You're a strange one.\I'll take over loading the films.\Go take a break, Amata.\Just clean up the seats before you go.\Thank you, sir!\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Damn, there's still trash down here. response:	This sucks.
context: I'll take over loading the films.\Go take a break, Amata.\Just clean up the seats before you go.\Thank you, sir!\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Damn, there's still trash down here.\This sucks. response:	E-Excuse me...
context: Go take a break, Amata.\Just clean up the seats before you go.\Thank you, sir!\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Damn, there's still trash down here.\This sucks.\E-Excuse me... response:	I'm sorry! I'll leave!
context: Just clean up the seats before you go.\Thank you, sir!\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Damn, there's still trash down here.\This sucks.\E-Excuse me...\I'm sorry! I'll leave! response:	Wait!
context: Thank you, sir!\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Damn, there's still trash down here.\This sucks.\E-Excuse me...\I'm sorry! I'll leave!\Wait! response:	Are you a fan... of Skies of Aquaria?
context: I'll be waiting for you.\Even if I have to wait for 12,000 years.\Damn, there's still trash down here.\This sucks.\E-Excuse me...\I'm sorry! I'll leave!\Wait!\Are you a fan... of Skies of Aquaria? response:	Oh, no. This is the first time I've seen it.
context: Even if I have to wait for 12,000 years.\Damn, there's still trash down here.\This sucks.\E-Excuse me...\I'm sorry! I'll leave!\Wait!\Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it. response:	Oh. Okay.
context: Damn, there's still trash down here.\This sucks.\E-Excuse me...\I'm sorry! I'll leave!\Wait!\Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it.\Oh. Okay. response:	Well then.
context: This sucks.\E-Excuse me...\I'm sorry! I'll leave!\Wait!\Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it.\Oh. Okay.\Well then. response:	Wait!
context: E-Excuse me...\I'm sorry! I'll leave!\Wait!\Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it.\Oh. Okay.\Well then.\Wait! response:	Could you please, um, tell me your name? Maybe?
context: I'm sorry! I'll leave!\Wait!\Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it.\Oh. Okay.\Well then.\Wait!\Could you please, um, tell me your name? Maybe? response:	I'm Mikono Suzushiro.
context: Wait!\Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it.\Oh. Okay.\Well then.\Wait!\Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro. response:	My name is Amata! Amata Sora!
context: Are you a fan... of Skies of Aquaria?\Oh, no. This is the first time I've seen it.\Oh. Okay.\Well then.\Wait!\Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro.\My name is Amata! Amata Sora! response:	Oh.
context: Oh, no. This is the first time I've seen it.\Oh. Okay.\Well then.\Wait!\Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro.\My name is Amata! Amata Sora!\Oh. response:	Um...
context: Oh. Okay.\Well then.\Wait!\Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro.\My name is Amata! Amata Sora!\Oh.\Um... response:	Yes?
context: Well then.\Wait!\Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro.\My name is Amata! Amata Sora!\Oh.\Um...\Yes? response:	Thanks for coming today.
context: Wait!\Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro.\My name is Amata! Amata Sora!\Oh.\Um...\Yes?\Thanks for coming today. response:	Excuse me...
context: Could you please, um, tell me your name? Maybe?\I'm Mikono Suzushiro.\My name is Amata! Amata Sora!\Oh.\Um...\Yes?\Thanks for coming today.\Excuse me... response:	Do you sell posters for this movie?
context: I'm Mikono Suzushiro.\My name is Amata! Amata Sora!\Oh.\Um...\Yes?\Thanks for coming today.\Excuse me...\Do you sell posters for this movie? response:	Sorry. It's over ten years old. They don't make them anymore.
context: My name is Amata! Amata Sora!\Oh.\Um...\Yes?\Thanks for coming today.\Excuse me...\Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore. response:	Then, would you mind talking to me for a while?
context: Oh.\Um...\Yes?\Thanks for coming today.\Excuse me...\Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while? response:	I want to hear more about Skies of Aquaria.
context: Um...\Yes?\Thanks for coming today.\Excuse me...\Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria. response:	Really?
context: Yes?\Thanks for coming today.\Excuse me...\Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria.\Really? response:	I need to finish up some work, but...
context: Thanks for coming today.\Excuse me...\Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria.\Really?\I need to finish up some work, but... response:	I'll be waiting for you.
context: Excuse me...\Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria.\Really?\I need to finish up some work, but...\I'll be waiting for you. response:	Even if I have to wait for 12,000 years.
context: Do you sell posters for this movie?\Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria.\Really?\I need to finish up some work, but...\I'll be waiting for you.\Even if I have to wait for 12,000 years. response:	I'm kidding.
context: Sorry. It's over ten years old. They don't make them anymore.\Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria.\Really?\I need to finish up some work, but...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\I'm kidding. response:	I just wanted to say that.
context: Then, would you mind talking to me for a while?\I want to hear more about Skies of Aquaria.\Really?\I need to finish up some work, but...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\I'm kidding.\I just wanted to say that. response:	Damn it! No! Not now!
context: I want to hear more about Skies of Aquaria.\Really?\I need to finish up some work, but...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\I'm kidding.\I just wanted to say that.\Damn it! No! Not now! response:	Do you mind waiting just outside?
context: Really?\I need to finish up some work, but...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\I'm kidding.\I just wanted to say that.\Damn it! No! Not now!\Do you mind waiting just outside? response:	I'll be out in five, no, three minutes!
context: I need to finish up some work, but...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\I'm kidding.\I just wanted to say that.\Damn it! No! Not now!\Do you mind waiting just outside?\I'll be out in five, no, three minutes! response:	Three in each should be enough.
context: I'll be waiting for you.\Even if I have to wait for 12,000 years.\I'm kidding.\I just wanted to say that.\Damn it! No! Not now!\Do you mind waiting just outside?\I'll be out in five, no, three minutes!\Three in each should be enough. response:	I can't believe she spoke to me.
context: Even if I have to wait for 12,000 years.\I'm kidding.\I just wanted to say that.\Damn it! No! Not now!\Do you mind waiting just outside?\I'll be out in five, no, three minutes!\Three in each should be enough.\I can't believe she spoke to me. response:	And it's a cute girl to boot. I must be dreaming.
context: I'm kidding.\I just wanted to say that.\Damn it! No! Not now!\Do you mind waiting just outside?\I'll be out in five, no, three minutes!\Three in each should be enough.\I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming. response:	Stop! Don't go! Don't go away!
context: I just wanted to say that.\Damn it! No! Not now!\Do you mind waiting just outside?\I'll be out in five, no, three minutes!\Three in each should be enough.\I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away! response:	I could only watch as destiny flew away.
context: Damn it! No! Not now!\Do you mind waiting just outside?\I'll be out in five, no, three minutes!\Three in each should be enough.\I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away!\I could only watch as destiny flew away. response:	But I'm different now.
context: Do you mind waiting just outside?\I'll be out in five, no, three minutes!\Three in each should be enough.\I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away!\I could only watch as destiny flew away.\But I'm different now. response:	Don't freak out, Amata.
context: I'll be out in five, no, three minutes!\Three in each should be enough.\I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away!\I could only watch as destiny flew away.\But I'm different now.\Don't freak out, Amata. response:	She did say...
context: Three in each should be enough.\I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away!\I could only watch as destiny flew away.\But I'm different now.\Don't freak out, Amata.\She did say... response:	I'll be waiting for you.
context: I can't believe she spoke to me.\And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away!\I could only watch as destiny flew away.\But I'm different now.\Don't freak out, Amata.\She did say...\I'll be waiting for you. response:	Even if I have to wait for 12,000 years.
context: And it's a cute girl to boot. I must be dreaming.\Stop! Don't go! Don't go away!\I could only watch as destiny flew away.\But I'm different now.\Don't freak out, Amata.\She did say...\I'll be waiting for you.\Even if I have to wait for 12,000 years. response:	When this song was composed, I'm sure no one even imagined
context: Stop! Don't go! Don't go away!\I could only watch as destiny flew away.\But I'm different now.\Don't freak out, Amata.\She did say...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined response:	that the Aquarias would have to go into battle.
context: I could only watch as destiny flew away.\But I'm different now.\Don't freak out, Amata.\She did say...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle. response:	Then the Abductors came through the Dimension Gates.
context: But I'm different now.\Don't freak out, Amata.\She did say...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates. response:	They've destroyed our cities and taken away our people.
context: Don't freak out, Amata.\She did say...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people. response:	We still don't know why they do this.
context: She did say...\I'll be waiting for you.\Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people.\We still don't know why they do this. response:	In fact, we know nothing about them.
context: I'll be waiting for you.\Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people.\We still don't know why they do this.\In fact, we know nothing about them. response:	But if we, the Daughters of Heaven, work together, we
context: Even if I have to wait for 12,000 years.\When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people.\We still don't know why they do this.\In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we response:	Excuse me, Miss Zessica!
context: When this song was composed, I'm sure no one even imagined\that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people.\We still don't know why they do this.\In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica! response:	Yeah?
context: that the Aquarias would have to go into battle.\Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people.\We still don't know why they do this.\In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica!\Yeah? response:	You have deployed four times and experienced Union in an Aquaria, correct?
context: Then the Abductors came through the Dimension Gates.\They've destroyed our cities and taken away our people.\We still don't know why they do this.\In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica!\Yeah?\You have deployed four times and experienced Union in an Aquaria, correct? response:	Tell your fellow Daughters about the rapture
context: They've destroyed our cities and taken away our people.\We still don't know why they do this.\In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica!\Yeah?\You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture response:	of being chosen by the holy guardian.
context: We still don't know why they do this.\In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica!\Yeah?\You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture\of being chosen by the holy guardian. response:	Oh yeah, about that.
context: In fact, we know nothing about them.\But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica!\Yeah?\You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture\of being chosen by the holy guardian.\Oh yeah, about that. response:	It feels really good.
context: But if we, the Daughters of Heaven, work together, we\Excuse me, Miss Zessica!\Yeah?\You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture\of being chosen by the holy guardian.\Oh yeah, about that.\It feels really good. response:	Of course it does!
context: Excuse me, Miss Zessica!\Yeah?\You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture\of being chosen by the holy guardian.\Oh yeah, about that.\It feels really good.\Of course it does! response:	Offering your purity to an Aquaria is pure
context: Yeah?\You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture\of being chosen by the holy guardian.\Oh yeah, about that.\It feels really good.\Of course it does!\Offering your purity to an Aquaria is pure response:	But I'm sure Union with boys is so much more intense than doing it with girls!
context: You have deployed four times and experienced Union in an Aquaria, correct?\Tell your fellow Daughters about the rapture\of being chosen by the holy guardian.\Oh yeah, about that.\It feels really good.\Of course it does!\Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls! response:	Impure thoughts!
context: Tell your fellow Daughters about the rapture\of being chosen by the holy guardian.\Oh yeah, about that.\It feels really good.\Of course it does!\Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts! response:	Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.
context: of being chosen by the holy guardian.\Oh yeah, about that.\It feels really good.\Of course it does!\Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven. response:	Impure Unions are completely impossible!
context: Oh yeah, about that.\It feels really good.\Of course it does!\Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible! response:	But
context: It feels really good.\Of course it does!\Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible!\But response:	An Aquaria is a sacred cradle.
context: Of course it does!\Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible!\But\An Aquaria is a sacred cradle. response:	It cannot brook a woman who has been sullied by a man's touch.
context: Offering your purity to an Aquaria is pure\But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible!\But\An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch. response:	Exactly!
context: But I'm sure Union with boys is so much more intense than doing it with girls!\Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible!\But\An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch.\Exactly! response:	Let us on, mister!
context: Impure thoughts!\Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible!\But\An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch.\Exactly!\Let us on, mister! response:	New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...
context: Fortunately, the Guize Stone protects the purity of the Daughters of Heaven.\Impure Unions are completely impossible!\But\An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch.\Exactly!\Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway... response:	The Abductors attacked again.
context: Impure Unions are completely impossible!\But\An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch.\Exactly!\Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again. response:	Sounds like it.
context: But\An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch.\Exactly!\Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again.\Sounds like it. response:	Those Abductors are making this place too quiet.
context: An Aquaria is a sacred cradle.\It cannot brook a woman who has been sullied by a man's touch.\Exactly!\Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again.\Sounds like it.\Those Abductors are making this place too quiet. response:	The theater's customers are drying up.
context: It cannot brook a woman who has been sullied by a man's touch.\Exactly!\Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again.\Sounds like it.\Those Abductors are making this place too quiet.\The theater's customers are drying up. response:	They could come out anywhere at any time.
context: Exactly!\Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again.\Sounds like it.\Those Abductors are making this place too quiet.\The theater's customers are drying up.\They could come out anywhere at any time. response:	The Aquarias fight them off, but they just keep on coming.
context: Let us on, mister!\New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again.\Sounds like it.\Those Abductors are making this place too quiet.\The theater's customers are drying up.\They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming. response:	Abductors or not, I can't stand being cooped up at home.
context: New China City's traffic core was paralyzed in an Abductor attack. Repairs are underway...\The Abductors attacked again.\Sounds like it.\Those Abductors are making this place too quiet.\The theater's customers are drying up.\They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home. response:	I have to get some sun!
context: The Abductors attacked again.\Sounds like it.\Those Abductors are making this place too quiet.\The theater's customers are drying up.\They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home.\I have to get some sun! response:	That's some optimistic thinking.
context: Sounds like it.\Those Abductors are making this place too quiet.\The theater's customers are drying up.\They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home.\I have to get some sun!\That's some optimistic thinking. response:	Most people call it stupid.
context: Those Abductors are making this place too quiet.\The theater's customers are drying up.\They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home.\I have to get some sun!\That's some optimistic thinking.\Most people call it stupid. response:	Are you okay?
context: The theater's customers are drying up.\They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home.\I have to get some sun!\That's some optimistic thinking.\Most people call it stupid.\Are you okay? response:	What the hell is that?!
context: They could come out anywhere at any time.\The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home.\I have to get some sun!\That's some optimistic thinking.\Most people call it stupid.\Are you okay?\What the hell is that?! response:	I'm sorry!
context: The Aquarias fight them off, but they just keep on coming.\Abductors or not, I can't stand being cooped up at home.\I have to get some sun!\That's some optimistic thinking.\Most people call it stupid.\Are you okay?\What the hell is that?!\I'm sorry! response:	This is my cat, Shush.
context: Abductors or not, I can't stand being cooped up at home.\I have to get some sun!\That's some optimistic thinking.\Most people call it stupid.\Are you okay?\What the hell is that?!\I'm sorry!\This is my cat, Shush. response:	I think he likes being around here.
context: I have to get some sun!\That's some optimistic thinking.\Most people call it stupid.\Are you okay?\What the hell is that?!\I'm sorry!\This is my cat, Shush.\I think he likes being around here. response:	That's a cat?
context: That's some optimistic thinking.\Most people call it stupid.\Are you okay?\What the hell is that?!\I'm sorry!\This is my cat, Shush.\I think he likes being around here.\That's a cat? response:	Of course it's a cat!
context: Most people call it stupid.\Are you okay?\What the hell is that?!\I'm sorry!\This is my cat, Shush.\I think he likes being around here.\That's a cat?\Of course it's a cat! response:	Kind of a weird-looking cat.
context: Are you okay?\What the hell is that?!\I'm sorry!\This is my cat, Shush.\I think he likes being around here.\That's a cat?\Of course it's a cat!\Kind of a weird-looking cat. response:	I found him running from the Abductors.
context: What the hell is that?!\I'm sorry!\This is my cat, Shush.\I think he likes being around here.\That's a cat?\Of course it's a cat!\Kind of a weird-looking cat.\I found him running from the Abductors. response:	Oh yeah, tell me about the movie!
context: I'm sorry!\This is my cat, Shush.\I think he likes being around here.\That's a cat?\Of course it's a cat!\Kind of a weird-looking cat.\I found him running from the Abductors.\Oh yeah, tell me about the movie! response:	All right.
context: This is my cat, Shush.\I think he likes being around here.\That's a cat?\Of course it's a cat!\Kind of a weird-looking cat.\I found him running from the Abductors.\Oh yeah, tell me about the movie!\All right. response:	Skies of Aquaria.
context: I think he likes being around here.\That's a cat?\Of course it's a cat!\Kind of a weird-looking cat.\I found him running from the Abductors.\Oh yeah, tell me about the movie!\All right.\Skies of Aquaria. response:	It's based on a book about a war with the Dark Angels
context: That's a cat?\Of course it's a cat!\Kind of a weird-looking cat.\I found him running from the Abductors.\Oh yeah, tell me about the movie!\All right.\Skies of Aquaria.\It's based on a book about a war with the Dark Angels response:	that supposedly took place a long time ago.
context: Of course it's a cat!\Kind of a weird-looking cat.\I found him running from the Abductors.\Oh yeah, tell me about the movie!\All right.\Skies of Aquaria.\It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago. response:	That children's story about what happened 12,000 years ago?
context: Kind of a weird-looking cat.\I found him running from the Abductors.\Oh yeah, tell me about the movie!\All right.\Skies of Aquaria.\It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago? response:	Yeah, the movie didn't do that well,
context: I found him running from the Abductors.\Oh yeah, tell me about the movie!\All right.\Skies of Aquaria.\It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well, response:	but the theme song won awards at film festivals.
context: Oh yeah, tell me about the movie!\All right.\Skies of Aquaria.\It's based on a book about a war with the Dark Angels\that supposedly took place a long time ago.\That children's story about what happened 12,000 years ago?\Yeah, the movie didn't do that well,\but the theme song won awards at film festivals. response:	Oh, I love that song!
