context: We're almost done with this area. response:	We missed two platoons or so.
context: They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy.\Yeah, that's it.\We'll be with them. Don't worry.\It's going to be a long night.\Yeah.\But we aren't alone, are we? response:	As long as they have something to protect, anyone would...
context: And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy.\Yeah, that's it.\We'll be with them. Don't worry.\It's going to be a long night.\Yeah.\But we aren't alone, are we?\As long as they have something to protect, anyone would... response:	Marie tells me they're going to be defending Choushu.
context: Honestly, it isn't a bad strategy.\Yeah, that's it.\We'll be with them. Don't worry.\It's going to be a long night.\Yeah.\But we aren't alone, are we?\As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu. response:	Naotsugu and his group are preparing a surprise attack.
context: Yeah, that's it.\We'll be with them. Don't worry.\It's going to be a long night.\Yeah.\But we aren't alone, are we?\As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack. response:	What? We haven't even finished discussing things here.
context: We'll be with them. Don't worry.\It's going to be a long night.\Yeah.\But we aren't alone, are we?\As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here. response:	If you were actually there, seeing it,
context: It's going to be a long night.\Yeah.\But we aren't alone, are we?\As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here.\If you were actually there, seeing it, response:	you naturally wouldn't want to just ignore it.
context: Yeah.\But we aren't alone, are we?\As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here.\If you were actually there, seeing it,\you naturally wouldn't want to just ignore it. response:	The three of us hold all power over decisions in this matter, which includes sending troops.
context: But we aren't alone, are we?\As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here.\If you were actually there, seeing it,\you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops. response:	We must quickly come to a consensus before the next full conference.
context: As long as they have something to protect, anyone would...\Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here.\If you were actually there, seeing it,\you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference. response:	A plot?
context: Marie tells me they're going to be defending Choushu.\Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here.\If you were actually there, seeing it,\you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference.\A plot? response:	You're saying the goblin attack is an adventurer plot?
context: Naotsugu and his group are preparing a surprise attack.\What? We haven't even finished discussing things here.\If you were actually there, seeing it,\you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference.\A plot?\You're saying the goblin attack is an adventurer plot? response:	If the adventurers had acted to weaken them from the start, this wouldn't have happened.
context: What? We haven't even finished discussing things here.\If you were actually there, seeing it,\you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference.\A plot?\You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened. response:	Though I think calling it a plot is a rather drastic leap...
context: If you were actually there, seeing it,\you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference.\A plot?\You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap... response:	Baron Krendit,
context: you naturally wouldn't want to just ignore it.\The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference.\A plot?\You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap...\Baron Krendit, response:	right now, it's important that no one withhold their thoughts.
context: The three of us hold all power over decisions in this matter, which includes sending troops.\We must quickly come to a consensus before the next full conference.\A plot?\You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap...\Baron Krendit,\right now, it's important that no one withhold their thoughts. response:	Isn't that why we've held this conference without them?
context: We must quickly come to a consensus before the next full conference.\A plot?\You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap...\Baron Krendit,\right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them? response:	To be honest, I don't expect Choushu to last for long.
context: A plot?\You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap...\Baron Krendit,\right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long. response:	Most likely, their next target will be Tsukuba, Lord Kiliva's territory.
context: You're saying the goblin attack is an adventurer plot?\If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap...\Baron Krendit,\right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory. response:	Or possibly...
context: If the adventurers had acted to weaken them from the start, this wouldn't have happened.\Though I think calling it a plot is a rather drastic leap...\Baron Krendit,\right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly... response:	Maihama?
context: Though I think calling it a plot is a rather drastic leap...\Baron Krendit,\right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly...\Maihama? response:	A Lazy, Cowardly Princess
context: Baron Krendit,\right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly...\Maihama?\A Lazy, Cowardly Princess response:	A Lazy, Cowardly Princess.
context: right now, it's important that no one withhold their thoughts.\Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly...\Maihama?\A Lazy, Cowardly Princess\A Lazy, Cowardly Princess. response:	What?
context: Isn't that why we've held this conference without them?\To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly...\Maihama?\A Lazy, Cowardly Princess\A Lazy, Cowardly Princess.\What? response:	Are they still having their little secret meeting?
context: To be honest, I don't expect Choushu to last for long.\Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly...\Maihama?\A Lazy, Cowardly Princess\A Lazy, Cowardly Princess.\What?\Are they still having their little secret meeting? response:	It's probably about something they really don't want us to hear.
context: Most likely, their next target will be Tsukuba, Lord Kiliva's territory.\Or possibly...\Maihama?\A Lazy, Cowardly Princess\A Lazy, Cowardly Princess.\What?\Are they still having their little secret meeting?\It's probably about something they really don't want us to hear. response:	They haven't settled on a course of action,
context: Or possibly...\Maihama?\A Lazy, Cowardly Princess\A Lazy, Cowardly Princess.\What?\Are they still having their little secret meeting?\It's probably about something they really don't want us to hear.\They haven't settled on a course of action, response:	and they have to consider their pride.
context: Maihama?\A Lazy, Cowardly Princess\A Lazy, Cowardly Princess.\What?\Are they still having their little secret meeting?\It's probably about something they really don't want us to hear.\They haven't settled on a course of action,\and they have to consider their pride. response:	They'd prefer not to owe the adventurers anything.
context: A Lazy, Cowardly Princess\A Lazy, Cowardly Princess.\What?\Are they still having their little secret meeting?\It's probably about something they really don't want us to hear.\They haven't settled on a course of action,\and they have to consider their pride.\They'd prefer not to owe the adventurers anything. response:	The first group they're likely to turn to is...
context: A Lazy, Cowardly Princess.\What?\Are they still having their little secret meeting?\It's probably about something they really don't want us to hear.\They haven't settled on a course of action,\and they have to consider their pride.\They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is... response:	Yes, the guardians they've held in high esteem since ancient times...
context: What?\Are they still having their little secret meeting?\It's probably about something they really don't want us to hear.\They haven't settled on a course of action,\and they have to consider their pride.\They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times... response:	The Izumo Knights.
context: Are they still having their little secret meeting?\It's probably about something they really don't want us to hear.\They haven't settled on a course of action,\and they have to consider their pride.\They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights. response:	But...
context: It's probably about something they really don't want us to hear.\They haven't settled on a course of action,\and they have to consider their pride.\They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights.\But... response:	Then, as we thought...
context: They haven't settled on a course of action,\and they have to consider their pride.\They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights.\But...\Then, as we thought... response:	Yes, none of us has any idea why,
context: and they have to consider their pride.\They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights.\But...\Then, as we thought...\Yes, none of us has any idea why, response:	but the Knights of Izumo are gone.
context: They'd prefer not to owe the adventurers anything.\The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights.\But...\Then, as we thought...\Yes, none of us has any idea why,\but the Knights of Izumo are gone. response:	Our recon teams report
context: The first group they're likely to turn to is...\Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights.\But...\Then, as we thought...\Yes, none of us has any idea why,\but the Knights of Izumo are gone.\Our recon teams report response:	that several of the fortresses they once used are empty.
context: Yes, the guardians they've held in high esteem since ancient times...\The Izumo Knights.\But...\Then, as we thought...\Yes, none of us has any idea why,\but the Knights of Izumo are gone.\Our recon teams report\that several of the fortresses they once used are empty. response:	And they found no corpses or signs of combat.
context: The Izumo Knights.\But...\Then, as we thought...\Yes, none of us has any idea why,\but the Knights of Izumo are gone.\Our recon teams report\that several of the fortresses they once used are empty.\And they found no corpses or signs of combat. response:	It's as if they've been spirited away.
context: But...\Then, as we thought...\Yes, none of us has any idea why,\but the Knights of Izumo are gone.\Our recon teams report\that several of the fortresses they once used are empty.\And they found no corpses or signs of combat.\It's as if they've been spirited away. response:	But in any case, the fact is that they're gone.
context: Then, as we thought...\Yes, none of us has any idea why,\but the Knights of Izumo are gone.\Our recon teams report\that several of the fortresses they once used are empty.\And they found no corpses or signs of combat.\It's as if they've been spirited away.\But in any case, the fact is that they're gone. response:	Th-Then our only hope is for all the lords to unite and attack the goblins...
context: Yes, none of us has any idea why,\but the Knights of Izumo are gone.\Our recon teams report\that several of the fortresses they once used are empty.\And they found no corpses or signs of combat.\It's as if they've been spirited away.\But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins... response:	Strategically speaking,
context: but the Knights of Izumo are gone.\Our recon teams report\that several of the fortresses they once used are empty.\And they found no corpses or signs of combat.\It's as if they've been spirited away.\But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking, response:	surrounding them is the most feasible plan.
context: Our recon teams report\that several of the fortresses they once used are empty.\And they found no corpses or signs of combat.\It's as if they've been spirited away.\But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking,\surrounding them is the most feasible plan. response:	We force them to lay siege to a well-defended stronghold city,
context: that several of the fortresses they once used are empty.\And they found no corpses or signs of combat.\It's as if they've been spirited away.\But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking,\surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city, response:	and when they're tired, we surround them with a large, combined army, and attack.
context: And they found no corpses or signs of combat.\It's as if they've been spirited away.\But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking,\surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack. response:	Oh, my...
context: It's as if they've been spirited away.\But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking,\surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack.\Oh, my... response:	That sounds like you're telling us to sacrifice one of the cities.
context: But in any case, the fact is that they're gone.\Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking,\surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack.\Oh, my...\That sounds like you're telling us to sacrifice one of the cities. response:	You aren't...
context: Th-Then our only hope is for all the lords to unite and attack the goblins...\Strategically speaking,\surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack.\Oh, my...\That sounds like you're telling us to sacrifice one of the cities.\You aren't... response:	going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?
context: Strategically speaking,\surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack.\Oh, my...\That sounds like you're telling us to sacrifice one of the cities.\You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you? response:	No, no one's saying that.
context: surrounding them is the most feasible plan.\We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack.\Oh, my...\That sounds like you're telling us to sacrifice one of the cities.\You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that. response:	Of course not!
context: We force them to lay siege to a well-defended stronghold city,\and when they're tired, we surround them with a large, combined army, and attack.\Oh, my...\That sounds like you're telling us to sacrifice one of the cities.\You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that.\Of course not! response:	I won't let Tsukuba be sacrificed!
context: and when they're tired, we surround them with a large, combined army, and attack.\Oh, my...\That sounds like you're telling us to sacrifice one of the cities.\You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that.\Of course not!\I won't let Tsukuba be sacrificed! response:	Calm down, Lord Kiliva.
context: Oh, my...\That sounds like you're telling us to sacrifice one of the cities.\You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that.\Of course not!\I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva. response:	Let's take a break.
context: That sounds like you're telling us to sacrifice one of the cities.\You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that.\Of course not!\I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva.\Let's take a break. response:	They're approaching!
context: You aren't...\going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that.\Of course not!\I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva.\Let's take a break.\They're approaching! response:	Two platoons.
context: going to tell me to sacrifice Tsukuba since it's the one they're likely to target, are you?\No, no one's saying that.\Of course not!\I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva.\Let's take a break.\They're approaching!\Two platoons. response:	Ten or so...
context: No, no one's saying that.\Of course not!\I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva.\Let's take a break.\They're approaching!\Two platoons.\Ten or so... response:	Tohya's succeeded in luring them out.
context: Of course not!\I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva.\Let's take a break.\They're approaching!\Two platoons.\Ten or so...\Tohya's succeeded in luring them out. response:	Okay...
context: I won't let Tsukuba be sacrificed!\Calm down, Lord Kiliva.\Let's take a break.\They're approaching!\Two platoons.\Ten or so...\Tohya's succeeded in luring them out.\Okay... response:	Start the countdown!
context: Calm down, Lord Kiliva.\Let's take a break.\They're approaching!\Two platoons.\Ten or so...\Tohya's succeeded in luring them out.\Okay...\Start the countdown! response:	Five,
context: Let's take a break.\They're approaching!\Two platoons.\Ten or so...\Tohya's succeeded in luring them out.\Okay...\Start the countdown!\Five, response:	four,
context: They're approaching!\Two platoons.\Ten or so...\Tohya's succeeded in luring them out.\Okay...\Start the countdown!\Five,\four, response:	three,
context: Two platoons.\Ten or so...\Tohya's succeeded in luring them out.\Okay...\Start the countdown!\Five,\four,\three, response:	two,
context: Ten or so...\Tohya's succeeded in luring them out.\Okay...\Start the countdown!\Five,\four,\three,\two, response:	one...
context: Tohya's succeeded in luring them out.\Okay...\Start the countdown!\Five,\four,\three,\two,\one... response:	Zero!
context: Okay...\Start the countdown!\Five,\four,\three,\two,\one...\Zero! response:	Willow Spirits!
context: Start the countdown!\Five,\four,\three,\two,\one...\Zero!\Willow Spirits! response:	I've rooted them!
context: Five,\four,\three,\two,\one...\Zero!\Willow Spirits!\I've rooted them! response:	Okay!
context: four,\three,\two,\one...\Zero!\Willow Spirits!\I've rooted them!\Okay! response:	Here I go.
context: three,\two,\one...\Zero!\Willow Spirits!\I've rooted them!\Okay!\Here I go. response:	Icicle Blade!
context: two,\one...\Zero!\Willow Spirits!\I've rooted them!\Okay!\Here I go.\Icicle Blade! response:	Thank you, Rudy!
context: one...\Zero!\Willow Spirits!\I've rooted them!\Okay!\Here I go.\Icicle Blade!\Thank you, Rudy! response:	Save your big spells and attack small-scale for now.
context: Zero!\Willow Spirits!\I've rooted them!\Okay!\Here I go.\Icicle Blade!\Thank you, Rudy!\Save your big spells and attack small-scale for now. response:	I'll back you up for thirty seconds.
context: Willow Spirits!\I've rooted them!\Okay!\Here I go.\Icicle Blade!\Thank you, Rudy!\Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds. response:	Got it.
context: I've rooted them!\Okay!\Here I go.\Icicle Blade!\Thank you, Rudy!\Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds.\Got it. response:	Second wave at two o'clock.
context: Okay!\Here I go.\Icicle Blade!\Thank you, Rudy!\Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds.\Got it.\Second wave at two o'clock. response:	Flare Arrow!
context: Here I go.\Icicle Blade!\Thank you, Rudy!\Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds.\Got it.\Second wave at two o'clock.\Flare Arrow! response:	Maestro Echo!
context: Icicle Blade!\Thank you, Rudy!\Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds.\Got it.\Second wave at two o'clock.\Flare Arrow!\Maestro Echo! response:	Wonderful, Miss Isuzu.
context: Thank you, Rudy!\Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds.\Got it.\Second wave at two o'clock.\Flare Arrow!\Maestro Echo!\Wonderful, Miss Isuzu. response:	Not now!
context: Save your big spells and attack small-scale for now.\I'll back you up for thirty seconds.\Got it.\Second wave at two o'clock.\Flare Arrow!\Maestro Echo!\Wonderful, Miss Isuzu.\Not now! response:	Seconds Left
context: I'll back you up for thirty seconds.\Got it.\Second wave at two o'clock.\Flare Arrow!\Maestro Echo!\Wonderful, Miss Isuzu.\Not now!\Seconds Left response:	Once your cool down finishes, attack again!
context: Got it.\Second wave at two o'clock.\Flare Arrow!\Maestro Echo!\Wonderful, Miss Isuzu.\Not now!\Seconds Left\Once your cool down finishes, attack again! response:	Leave it to me.
context: Second wave at two o'clock.\Flare Arrow!\Maestro Echo!\Wonderful, Miss Isuzu.\Not now!\Seconds Left\Once your cool down finishes, attack again!\Leave it to me. response:	If they aren't able to rely on the Izumo Knights...
context: Flare Arrow!\Maestro Echo!\Wonderful, Miss Isuzu.\Not now!\Seconds Left\Once your cool down finishes, attack again!\Leave it to me.\If they aren't able to rely on the Izumo Knights... response:	That would make us their only other option.
context: Maestro Echo!\Wonderful, Miss Isuzu.\Not now!\Seconds Left\Once your cool down finishes, attack again!\Leave it to me.\If they aren't able to rely on the Izumo Knights...\That would make us their only other option. response:	As long as we're here, in this world,
context: Wonderful, Miss Isuzu.\Not now!\Seconds Left\Once your cool down finishes, attack again!\Leave it to me.\If they aren't able to rely on the Izumo Knights...\That would make us their only other option.\As long as we're here, in this world, response:	we won't be able to avoid fighting in its wars.
context: Not now!\Seconds Left\Once your cool down finishes, attack again!\Leave it to me.\If they aren't able to rely on the Izumo Knights...\That would make us their only other option.\As long as we're here, in this world,\we won't be able to avoid fighting in its wars. response:	But it wouldn't be a good idea for either side
