context: I can't hear... response:	Did Uroko-sama just fart?
context: They were talking about the rules of the village.\There might be some reason that people get banished.\Who the hell cares about that?\This is all Akari's guy's fault.\But he seemed nice.\Chisaki, your taste in guys sucks.\Ain't that the truth...\Damn it. response:	Since it's come to this, I'm going to find out everything about this guy.
context: There might be some reason that people get banished.\Who the hell cares about that?\This is all Akari's guy's fault.\But he seemed nice.\Chisaki, your taste in guys sucks.\Ain't that the truth...\Damn it.\Since it's come to this, I'm going to find out everything about this guy. response:	And if he's an asshole, I'm going to punch him!
context: Who the hell cares about that?\This is all Akari's guy's fault.\But he seemed nice.\Chisaki, your taste in guys sucks.\Ain't that the truth...\Damn it.\Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him! response:	And if he ends up being a decent guy?
context: This is all Akari's guy's fault.\But he seemed nice.\Chisaki, your taste in guys sucks.\Ain't that the truth...\Damn it.\Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy? response:	I'll punch him gently!
context: But he seemed nice.\Chisaki, your taste in guys sucks.\Ain't that the truth...\Damn it.\Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy?\I'll punch him gently! response:	V-Violence is wrong.
context: Chisaki, your taste in guys sucks.\Ain't that the truth...\Damn it.\Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy?\I'll punch him gently!\V-Violence is wrong. response:	It's his fault for putting his hands on a girl from the sea when he's from the surface!
context: Ain't that the truth...\Damn it.\Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy?\I'll punch him gently!\V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface! response:	But...
context: Damn it.\Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy?\I'll punch him gently!\V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface!\But... response:	You stupid girls go over there.
context: Since it's come to this, I'm going to find out everything about this guy.\And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy?\I'll punch him gently!\V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface!\But...\You stupid girls go over there. response:	This is now a guys-only planning meeting.
context: And if he's an asshole, I'm going to punch him!\And if he ends up being a decent guy?\I'll punch him gently!\V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface!\But...\You stupid girls go over there.\This is now a guys-only planning meeting. response:	Let's go, Manaka.
context: And if he ends up being a decent guy?\I'll punch him gently!\V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface!\But...\You stupid girls go over there.\This is now a guys-only planning meeting.\Let's go, Manaka. response:	Yeah.
context: I'll punch him gently!\V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface!\But...\You stupid girls go over there.\This is now a guys-only planning meeting.\Let's go, Manaka.\Yeah. response:	Music Room
context: V-Violence is wrong.\It's his fault for putting his hands on a girl from the sea when he's from the surface!\But...\You stupid girls go over there.\This is now a guys-only planning meeting.\Let's go, Manaka.\Yeah.\Music Room response:	I hope Hikari calms down a little...
context: It's his fault for putting his hands on a girl from the sea when he's from the surface!\But...\You stupid girls go over there.\This is now a guys-only planning meeting.\Let's go, Manaka.\Yeah.\Music Room\I hope Hikari calms down a little... response:	He's impossible when he's like that.
context: But...\You stupid girls go over there.\This is now a guys-only planning meeting.\Let's go, Manaka.\Yeah.\Music Room\I hope Hikari calms down a little...\He's impossible when he's like that. response:	Manaka?
context: You stupid girls go over there.\This is now a guys-only planning meeting.\Let's go, Manaka.\Yeah.\Music Room\I hope Hikari calms down a little...\He's impossible when he's like that.\Manaka? response:	Chii-chan! A sea slug!
context: This is now a guys-only planning meeting.\Let's go, Manaka.\Yeah.\Music Room\I hope Hikari calms down a little...\He's impossible when he's like that.\Manaka?\Chii-chan! A sea slug! response:	Wow, it's one with a red belly.
context: Let's go, Manaka.\Yeah.\Music Room\I hope Hikari calms down a little...\He's impossible when he's like that.\Manaka?\Chii-chan! A sea slug!\Wow, it's one with a red belly. response:	If you tell a red-bellied sea slug about feelings you can't tell anyone else,
context: Yeah.\Music Room\I hope Hikari calms down a little...\He's impossible when he's like that.\Manaka?\Chii-chan! A sea slug!\Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else, response:	it'll tell you what's going to happen in the future.
context: Music Room\I hope Hikari calms down a little...\He's impossible when he's like that.\Manaka?\Chii-chan! A sea slug!\Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future. response:	Yeah, if it spits up a black rock,
context: I hope Hikari calms down a little...\He's impossible when he's like that.\Manaka?\Chii-chan! A sea slug!\Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock, response:	your feelings are wrong,
context: He's impossible when he's like that.\Manaka?\Chii-chan! A sea slug!\Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock,\your feelings are wrong, response:	and if it spits up a pretty rock...
context: Manaka?\Chii-chan! A sea slug!\Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock,\your feelings are wrong,\and if it spits up a pretty rock... response:	Hey, Manaka.
context: Chii-chan! A sea slug!\Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock,\your feelings are wrong,\and if it spits up a pretty rock...\Hey, Manaka. response:	Do you like Tsumugu-kun?
context: Wow, it's one with a red belly.\If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock,\your feelings are wrong,\and if it spits up a pretty rock...\Hey, Manaka.\Do you like Tsumugu-kun? response:	Wh-What...
context: If you tell a red-bellied sea slug about feelings you can't tell anyone else,\it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock,\your feelings are wrong,\and if it spits up a pretty rock...\Hey, Manaka.\Do you like Tsumugu-kun?\Wh-What... response:	What are you talking about, Chii-chan?!
context: it'll tell you what's going to happen in the future.\Yeah, if it spits up a black rock,\your feelings are wrong,\and if it spits up a pretty rock...\Hey, Manaka.\Do you like Tsumugu-kun?\Wh-What...\What are you talking about, Chii-chan?! response:	I'm not really sure.
context: Yeah, if it spits up a black rock,\your feelings are wrong,\and if it spits up a pretty rock...\Hey, Manaka.\Do you like Tsumugu-kun?\Wh-What...\What are you talking about, Chii-chan?!\I'm not really sure. response:	All right, we'll do this tomorrow.
context: your feelings are wrong,\and if it spits up a pretty rock...\Hey, Manaka.\Do you like Tsumugu-kun?\Wh-What...\What are you talking about, Chii-chan?!\I'm not really sure.\All right, we'll do this tomorrow. response:	I wonder if this will even work though.
context: and if it spits up a pretty rock...\Hey, Manaka.\Do you like Tsumugu-kun?\Wh-What...\What are you talking about, Chii-chan?!\I'm not really sure.\All right, we'll do this tomorrow.\I wonder if this will even work though. response:	That car had a fishery cooperative mark, right?
context: Hey, Manaka.\Do you like Tsumugu-kun?\Wh-What...\What are you talking about, Chii-chan?!\I'm not really sure.\All right, we'll do this tomorrow.\I wonder if this will even work though.\That car had a fishery cooperative mark, right? response:	Even if he tried to run...
context: Do you like Tsumugu-kun?\Wh-What...\What are you talking about, Chii-chan?!\I'm not really sure.\All right, we'll do this tomorrow.\I wonder if this will even work though.\That car had a fishery cooperative mark, right?\Even if he tried to run... response:	But if I like him,
context: Wh-What...\What are you talking about, Chii-chan?!\I'm not really sure.\All right, we'll do this tomorrow.\I wonder if this will even work though.\That car had a fishery cooperative mark, right?\Even if he tried to run...\But if I like him, response:	I wonder if I'd want to go out with him...
context: What are you talking about, Chii-chan?!\I'm not really sure.\All right, we'll do this tomorrow.\I wonder if this will even work though.\That car had a fishery cooperative mark, right?\Even if he tried to run...\But if I like him,\I wonder if I'd want to go out with him... response:	If I went out with him, um...
context: I'm not really sure.\All right, we'll do this tomorrow.\I wonder if this will even work though.\That car had a fishery cooperative mark, right?\Even if he tried to run...\But if I like him,\I wonder if I'd want to go out with him...\If I went out with him, um... response:	maybe we'd kiss like Akari-san...
context: All right, we'll do this tomorrow.\I wonder if this will even work though.\That car had a fishery cooperative mark, right?\Even if he tried to run...\But if I like him,\I wonder if I'd want to go out with him...\If I went out with him, um...\maybe we'd kiss like Akari-san... response:	Did you think I'm a pervert?
context: I wonder if this will even work though.\That car had a fishery cooperative mark, right?\Even if he tried to run...\But if I like him,\I wonder if I'd want to go out with him...\If I went out with him, um...\maybe we'd kiss like Akari-san...\Did you think I'm a pervert? response:	No, not at all.
context: That car had a fishery cooperative mark, right?\Even if he tried to run...\But if I like him,\I wonder if I'd want to go out with him...\If I went out with him, um...\maybe we'd kiss like Akari-san...\Did you think I'm a pervert?\No, not at all. response:	Continue.
context: Even if he tried to run...\But if I like him,\I wonder if I'd want to go out with him...\If I went out with him, um...\maybe we'd kiss like Akari-san...\Did you think I'm a pervert?\No, not at all.\Continue. response:	And if I thought about getting married,
context: But if I like him,\I wonder if I'd want to go out with him...\If I went out with him, um...\maybe we'd kiss like Akari-san...\Did you think I'm a pervert?\No, not at all.\Continue.\And if I thought about getting married, response:	I wonder if I wouldn't be able to come back here...
context: I wonder if I'd want to go out with him...\If I went out with him, um...\maybe we'd kiss like Akari-san...\Did you think I'm a pervert?\No, not at all.\Continue.\And if I thought about getting married,\I wonder if I wouldn't be able to come back here... response:	You don't have to think about that yet.
context: If I went out with him, um...\maybe we'd kiss like Akari-san...\Did you think I'm a pervert?\No, not at all.\Continue.\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\You don't have to think about that yet. response:	You're not even sure if you like him yet, right?
context: maybe we'd kiss like Akari-san...\Did you think I'm a pervert?\No, not at all.\Continue.\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\You don't have to think about that yet.\You're not even sure if you like him yet, right? response:	Yeah...
context: Did you think I'm a pervert?\No, not at all.\Continue.\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\You don't have to think about that yet.\You're not even sure if you like him yet, right?\Yeah... response:	But I like you, and Hii-kun and Kaname.
context: No, not at all.\Continue.\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\You don't have to think about that yet.\You're not even sure if you like him yet, right?\Yeah...\But I like you, and Hii-kun and Kaname. response:	I know that much.
context: Continue.\And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\You don't have to think about that yet.\You're not even sure if you like him yet, right?\Yeah...\But I like you, and Hii-kun and Kaname.\I know that much. response:	But Tsu
context: And if I thought about getting married,\I wonder if I wouldn't be able to come back here...\You don't have to think about that yet.\You're not even sure if you like him yet, right?\Yeah...\But I like you, and Hii-kun and Kaname.\I know that much.\But Tsu response:	It's a little different with Kihara-kun...
context: I wonder if I wouldn't be able to come back here...\You don't have to think about that yet.\You're not even sure if you like him yet, right?\Yeah...\But I like you, and Hii-kun and Kaname.\I know that much.\But Tsu\It's a little different with Kihara-kun... response:	and I'm not really sure.
context: You don't have to think about that yet.\You're not even sure if you like him yet, right?\Yeah...\But I like you, and Hii-kun and Kaname.\I know that much.\But Tsu\It's a little different with Kihara-kun...\and I'm not really sure. response:	I see.
context: You're not even sure if you like him yet, right?\Yeah...\But I like you, and Hii-kun and Kaname.\I know that much.\But Tsu\It's a little different with Kihara-kun...\and I'm not really sure.\I see. response:	Hikari...
context: Yeah...\But I like you, and Hii-kun and Kaname.\I know that much.\But Tsu\It's a little different with Kihara-kun...\and I'm not really sure.\I see.\Hikari... response:	We're going home, Manaka, Chisaki!
context: But I like you, and Hii-kun and Kaname.\I know that much.\But Tsu\It's a little different with Kihara-kun...\and I'm not really sure.\I see.\Hikari...\We're going home, Manaka, Chisaki! response:	Oh, Hii-kun.
context: I know that much.\But Tsu\It's a little different with Kihara-kun...\and I'm not really sure.\I see.\Hikari...\We're going home, Manaka, Chisaki!\Oh, Hii-kun. response:	You're done already?
context: But Tsu\It's a little different with Kihara-kun...\and I'm not really sure.\I see.\Hikari...\We're going home, Manaka, Chisaki!\Oh, Hii-kun.\You're done already? response:	Th-That was faster than expected.
context: It's a little different with Kihara-kun...\and I'm not really sure.\I see.\Hikari...\We're going home, Manaka, Chisaki!\Oh, Hii-kun.\You're done already?\Th-That was faster than expected. response:	That night...
context: and I'm not really sure.\I see.\Hikari...\We're going home, Manaka, Chisaki!\Oh, Hii-kun.\You're done already?\Th-That was faster than expected.\That night... response:	Dinner's ready.
context: I see.\Hikari...\We're going home, Manaka, Chisaki!\Oh, Hii-kun.\You're done already?\Th-That was faster than expected.\That night...\Dinner's ready. response:	R-Right...
context: Hikari...\We're going home, Manaka, Chisaki!\Oh, Hii-kun.\You're done already?\Th-That was faster than expected.\That night...\Dinner's ready.\R-Right... response:	Dad and Akari acted like they usually do...
context: We're going home, Manaka, Chisaki!\Oh, Hii-kun.\You're done already?\Th-That was faster than expected.\That night...\Dinner's ready.\R-Right...\Dad and Akari acted like they usually do... response:	and didn't say a word about anything that happened at Uroko-sama's.
context: Oh, Hii-kun.\You're done already?\Th-That was faster than expected.\That night...\Dinner's ready.\R-Right...\Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's. response:	How stupid.
context: You're done already?\Th-That was faster than expected.\That night...\Dinner's ready.\R-Right...\Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's.\How stupid. response:	But...
context: Th-That was faster than expected.\That night...\Dinner's ready.\R-Right...\Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's.\How stupid.\But... response:	All throughout the night, I could hear soft, soft, crying...
context: That night...\Dinner's ready.\R-Right...\Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's.\How stupid.\But...\All throughout the night, I could hear soft, soft, crying... response:	There were two nights like this up until now...
context: Dinner's ready.\R-Right...\Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's.\How stupid.\But...\All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now... response:	I used to call Akari Nee-chan.
context: R-Right...\Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's.\How stupid.\But...\All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now...\I used to call Akari Nee-chan. response:	Sea that's full of compassion, waves that flutter, the bright light...
context: Dad and Akari acted like they usually do...\and didn't say a word about anything that happened at Uroko-sama's.\How stupid.\But...\All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now...\I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light... response:	The sea that nurtures all life.
context: and didn't say a word about anything that happened at Uroko-sama's.\How stupid.\But...\All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now...\I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life. response:	The turning storm, the tide that takes all...
context: How stupid.\But...\All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now...\I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life.\The turning storm, the tide that takes all... response:	Mom! Mom! Mom!
context: But...\All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now...\I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life.\The turning storm, the tide that takes all...\Mom! Mom! Mom! response:	The abyss that opens Agito...
context: All throughout the night, I could hear soft, soft, crying...\There were two nights like this up until now...\I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life.\The turning storm, the tide that takes all...\Mom! Mom! Mom!\The abyss that opens Agito... response:	The master of the sea, Sea God, the exalted one I am born from,
context: There were two nights like this up until now...\I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life.\The turning storm, the tide that takes all...\Mom! Mom! Mom!\The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from, response:	save the soul of Sakishima Hokage.
context: I used to call Akari Nee-chan.\Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life.\The turning storm, the tide that takes all...\Mom! Mom! Mom!\The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage. response:	Nee-chan!
context: Sea that's full of compassion, waves that flutter, the bright light...\The sea that nurtures all life.\The turning storm, the tide that takes all...\Mom! Mom! Mom!\The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage.\Nee-chan! response:	Guide her soul along with the sacred fire to where you are.
context: The sea that nurtures all life.\The turning storm, the tide that takes all...\Mom! Mom! Mom!\The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage.\Nee-chan!\Guide her soul along with the sacred fire to where you are. response:	She didn't cry at all.
context: The turning storm, the tide that takes all...\Mom! Mom! Mom!\The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage.\Nee-chan!\Guide her soul along with the sacred fire to where you are.\She didn't cry at all. response:	Let us praise all of the good she did in this life...
context: Mom! Mom! Mom!\The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage.\Nee-chan!\Guide her soul along with the sacred fire to where you are.\She didn't cry at all.\Let us praise all of the good she did in this life... response:	Nee-chan?
context: The abyss that opens Agito...\The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage.\Nee-chan!\Guide her soul along with the sacred fire to where you are.\She didn't cry at all.\Let us praise all of the good she did in this life...\Nee-chan? response:	I thought that it was weird that she
context: The master of the sea, Sea God, the exalted one I am born from,\save the soul of Sakishima Hokage.\Nee-chan!\Guide her soul along with the sacred fire to where you are.\She didn't cry at all.\Let us praise all of the good she did in this life...\Nee-chan?\I thought that it was weird that she response:	was acting like an adult and wasn't crying even though she was a kid too.
context: save the soul of Sakishima Hokage.\Nee-chan!\Guide her soul along with the sacred fire to where you are.\She didn't cry at all.\Let us praise all of the good she did in this life...\Nee-chan?\I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too. response:	So...
context: Nee-chan!\Guide her soul along with the sacred fire to where you are.\She didn't cry at all.\Let us praise all of the good she did in this life...\Nee-chan?\I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too.\So... response:	Akari!
context: Guide her soul along with the sacred fire to where you are.\She didn't cry at all.\Let us praise all of the good she did in this life...\Nee-chan?\I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too.\So...\Akari! response:	What's going on?!
context: She didn't cry at all.\Let us praise all of the good she did in this life...\Nee-chan?\I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too.\So...\Akari!\What's going on?! response:	Didn't I tell you?
context: Let us praise all of the good she did in this life...\Nee-chan?\I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too.\So...\Akari!\What's going on?!\Didn't I tell you? response:	I'm going to start working at Oshiooshi's Saya Mart.
context: Nee-chan?\I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too.\So...\Akari!\What's going on?!\Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart. response:	Why?! You said you wanted to be a manga artist!
context: I thought that it was weird that she\was acting like an adult and wasn't crying even though she was a kid too.\So...\Akari!\What's going on?!\Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist! response:	That you were going to go to school for it on the surface...
context: was acting like an adult and wasn't crying even though she was a kid too.\So...\Akari!\What's going on?!\Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface... response:	Oh, but they said they'd let me draw the signs at the shop.
context: So...\Akari!\What's going on?!\Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop. response:	I'm totally going to create a famous mascot and bring in the sales!
context: Akari!\What's going on?!\Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales! response:	Cut the crap, Akari! Stop trying to gloss things over!
context: What's going on?!\Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over! response:	We don't have enough money for both of us to go to college.
context: Didn't I tell you?\I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college. response:	I don't plan on going to college! But you did!
context: I'm going to start working at Oshiooshi's Saya Mart.\Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did! response:	You don't know yet.
context: Why?! You said you wanted to be a manga artist!\That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did!\You don't know yet. response:	You might change your mind once you're in high school, Hikari.
context: That you were going to go to school for it on the surface...\Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did!\You don't know yet.\You might change your mind once you're in high school, Hikari. response:	Then I won't even go to high school!
context: Oh, but they said they'd let me draw the signs at the shop.\I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did!\You don't know yet.\You might change your mind once you're in high school, Hikari.\Then I won't even go to high school! response:	I hate studying anyway!
context: I'm totally going to create a famous mascot and bring in the sales!\Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did!\You don't know yet.\You might change your mind once you're in high school, Hikari.\Then I won't even go to high school!\I hate studying anyway! response:	Wha L-Let me go, Akari!
context: Cut the crap, Akari! Stop trying to gloss things over!\We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did!\You don't know yet.\You might change your mind once you're in high school, Hikari.\Then I won't even go to high school!\I hate studying anyway!\Wha L-Let me go, Akari! response:	I love you, Hikari.
context: We don't have enough money for both of us to go to college.\I don't plan on going to college! But you did!\You don't know yet.\You might change your mind once you're in high school, Hikari.\Then I won't even go to high school!\I hate studying anyway!\Wha L-Let me go, Akari!\I love you, Hikari. response:	Nothing changed with me calling Nee-chan Akari.
context: I don't plan on going to college! But you did!\You don't know yet.\You might change your mind once you're in high school, Hikari.\Then I won't even go to high school!\I hate studying anyway!\Wha L-Let me go, Akari!\I love you, Hikari.\Nothing changed with me calling Nee-chan Akari. response:	What I called her didn't change anything between us.
context: You don't know yet.\You might change your mind once you're in high school, Hikari.\Then I won't even go to high school!\I hate studying anyway!\Wha L-Let me go, Akari!\I love you, Hikari.\Nothing changed with me calling Nee-chan Akari.\What I called her didn't change anything between us. response:	I realized it was my fault that she was becoming an adult more and more.
