context: This is bad... Very bad... response:	Subaru? What's wrong?
context: This stuff obviously isn't fake.\Which means...\So does this mean...\I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world\with the typical medieval-style culture.\A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well. response:	And here, I'm...
context: Which means...\So does this mean...\I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world\with the typical medieval-style culture.\A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well.\And here, I'm... response:	Hey!
context: So does this mean...\I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world\with the typical medieval-style culture.\A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well.\And here, I'm...\Hey! response:	Watch out!
context: I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world\with the typical medieval-style culture.\A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well.\And here, I'm...\Hey!\Watch out! response:	This is it! It's my turn!
context: I guess I can assume this is a fantasy world\with the typical medieval-style culture.\A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well.\And here, I'm...\Hey!\Watch out!\This is it! It's my turn! response:	This must be the event where I produce my first magic!
context: with the typical medieval-style culture.\A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well.\And here, I'm...\Hey!\Watch out!\This is it! It's my turn!\This must be the event where I produce my first magic! response:	Look out!
context: A realm where demihumans are commonplace,\and probably stuff like wars and adventures, as well.\And here, I'm...\Hey!\Watch out!\This is it! It's my turn!\This must be the event where I produce my first magic!\Look out! response:	Way to go!
context: and probably stuff like wars and adventures, as well.\And here, I'm...\Hey!\Watch out!\This is it! It's my turn!\This must be the event where I produce my first magic!\Look out!\Way to go! response:	Well done!
context: And here, I'm...\Hey!\Watch out!\This is it! It's my turn!\This must be the event where I produce my first magic!\Look out!\Way to go!\Well done! response:	I guess I'm not quite ready to use magic...
context: Hey!\Watch out!\This is it! It's my turn!\This must be the event where I produce my first magic!\Look out!\Way to go!\Well done!\I guess I'm not quite ready to use magic... response:	I can't read this.
context: Watch out!\This is it! It's my turn!\This must be the event where I produce my first magic!\Look out!\Way to go!\Well done!\I guess I'm not quite ready to use magic...\I can't read this. response:	Hey, boy.
context: This is it! It's my turn!\This must be the event where I produce my first magic!\Look out!\Way to go!\Well done!\I guess I'm not quite ready to use magic...\I can't read this.\Hey, boy. response:	Those are some weird clothes. Are you traveling?
context: This must be the event where I produce my first magic!\Look out!\Way to go!\Well done!\I guess I'm not quite ready to use magic...\I can't read this.\Hey, boy.\Those are some weird clothes. Are you traveling? response:	What are these?
context: Look out!\Way to go!\Well done!\I guess I'm not quite ready to use magic...\I can't read this.\Hey, boy.\Those are some weird clothes. Are you traveling?\What are these? response:	Those are appas.
context: Way to go!\Well done!\I guess I'm not quite ready to use magic...\I can't read this.\Hey, boy.\Those are some weird clothes. Are you traveling?\What are these?\Those are appas. response:	They understand me, though. The question is...
context: Well done!\I guess I'm not quite ready to use magic...\I can't read this.\Hey, boy.\Those are some weird clothes. Are you traveling?\What are these?\Those are appas.\They understand me, though. The question is... response:	Huh? What kind of money is that?
context: I guess I'm not quite ready to use magic...\I can't read this.\Hey, boy.\Those are some weird clothes. Are you traveling?\What are these?\Those are appas.\They understand me, though. The question is...\Huh? What kind of money is that? response:	You can't use that stuff in Lugunica.
context: I can't read this.\Hey, boy.\Those are some weird clothes. Are you traveling?\What are these?\Those are appas.\They understand me, though. The question is...\Huh? What kind of money is that?\You can't use that stuff in Lugunica. response:	That means you're flat broke, huh?
context: Hey, boy.\Those are some weird clothes. Are you traveling?\What are these?\Those are appas.\They understand me, though. The question is...\Huh? What kind of money is that?\You can't use that stuff in Lugunica.\That means you're flat broke, huh? response:	Get outta here! Don't interfere with my business!
context: Those are some weird clothes. Are you traveling?\What are these?\Those are appas.\They understand me, though. The question is...\Huh? What kind of money is that?\You can't use that stuff in Lugunica.\That means you're flat broke, huh?\Get outta here! Don't interfere with my business! response:	There's no other way...
context: What are these?\Those are appas.\They understand me, though. The question is...\Huh? What kind of money is that?\You can't use that stuff in Lugunica.\That means you're flat broke, huh?\Get outta here! Don't interfere with my business!\There's no other way... response:	I'll just have to go around gathering information first.
context: Those are appas.\They understand me, though. The question is...\Huh? What kind of money is that?\You can't use that stuff in Lugunica.\That means you're flat broke, huh?\Get outta here! Don't interfere with my business!\There's no other way...\I'll just have to go around gathering information first. response:	This place is for demihumans only.
context: They understand me, though. The question is...\Huh? What kind of money is that?\You can't use that stuff in Lugunica.\That means you're flat broke, huh?\Get outta here! Don't interfere with my business!\There's no other way...\I'll just have to go around gathering information first.\This place is for demihumans only. response:	Ow! I can't... see...
context: Huh? What kind of money is that?\You can't use that stuff in Lugunica.\That means you're flat broke, huh?\Get outta here! Don't interfere with my business!\There's no other way...\I'll just have to go around gathering information first.\This place is for demihumans only.\Ow! I can't... see... response:	Is this how it's supposed to be?
context: You can't use that stuff in Lugunica.\That means you're flat broke, huh?\Get outta here! Don't interfere with my business!\There's no other way...\I'll just have to go around gathering information first.\This place is for demihumans only.\Ow! I can't... see...\Is this how it's supposed to be? response:	Wasn't I summoned into a parallel world?!
context: That means you're flat broke, huh?\Get outta here! Don't interfere with my business!\There's no other way...\I'll just have to go around gathering information first.\This place is for demihumans only.\Ow! I can't... see...\Is this how it's supposed to be?\Wasn't I summoned into a parallel world?! response:	Where'd my protagonist status go?!
context: Get outta here! Don't interfere with my business!\There's no other way...\I'll just have to go around gathering information first.\This place is for demihumans only.\Ow! I can't... see...\Is this how it's supposed to be?\Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?! response:	Damn it.
context: There's no other way...\I'll just have to go around gathering information first.\This place is for demihumans only.\Ow! I can't... see...\Is this how it's supposed to be?\Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?!\Damn it. response:	(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts
context: I'll just have to go around gathering information first.\This place is for demihumans only.\Ow! I can't... see...\Is this how it's supposed to be?\Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?!\Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts response:	City Hall Dad Mom Pizza
context: This place is for demihumans only.\Ow! I can't... see...\Is this how it's supposed to be?\Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?!\Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza response:	My cell phone still works...
context: Ow! I can't... see...\Is this how it's supposed to be?\Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?!\Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza\My cell phone still works... response:	Out of Range
context: Is this how it's supposed to be?\Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?!\Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza\My cell phone still works...\Out of Range response:	But what's the point in having it?!
context: Wasn't I summoned into a parallel world?!\Where'd my protagonist status go?!\Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza\My cell phone still works...\Out of Range\But what's the point in having it?! response:	And my starting gear is way too wimpy!
context: Where'd my protagonist status go?!\Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza\My cell phone still works...\Out of Range\But what's the point in having it?!\And my starting gear is way too wimpy! response:	You need a more substantial welfare program
context: Damn it.\(1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza\My cell phone still works...\Out of Range\But what's the point in having it?!\And my starting gear is way too wimpy!\You need a more substantial welfare program response:	to satisfy pressure-free generation kids like me!
context: (1)Contacts (2)Group Search (3)Abbreviations (4)New Contacts\City Hall Dad Mom Pizza\My cell phone still works...\Out of Range\But what's the point in having it?!\And my starting gear is way too wimpy!\You need a more substantial welfare program\to satisfy pressure-free generation kids like me! response:	I don't even have Excalibur or anything!
context: City Hall Dad Mom Pizza\My cell phone still works...\Out of Range\But what's the point in having it?!\And my starting gear is way too wimpy!\You need a more substantial welfare program\to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything! response:	And besides, if I was summoned, where's the cute girl who summoned me?
context: My cell phone still works...\Out of Range\But what's the point in having it?!\And my starting gear is way too wimpy!\You need a more substantial welfare program\to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me? response:	Did she summon me only to leave me here alone?
context: Out of Range\But what's the point in having it?!\And my starting gear is way too wimpy!\You need a more substantial welfare program\to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone? response:	Hey, is she finally here?! The cute girl who summoned... me...
context: But what's the point in having it?!\And my starting gear is way too wimpy!\You need a more substantial welfare program\to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me... response:	What are you babbling about?
context: And my starting gear is way too wimpy!\You need a more substantial welfare program\to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about? response:	If you don't wanna get hurt, cough up whatever you've got!
context: You need a more substantial welfare program\to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got! response:	Crap, it's a compulsory event...
context: to satisfy pressure-free generation kids like me!\I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event... response:	Move it, move it!
context: I don't even have Excalibur or anything!\And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event...\Move it, move it! response:	You guys!
context: And besides, if I was summoned, where's the cute girl who summoned me?\Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event...\Move it, move it!\You guys! response:	Out of my way!
context: Did she summon me only to leave me here alone?\Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event...\Move it, move it!\You guys!\Out of my way! response:	Here we go!
context: Hey, is she finally here?! The cute girl who summoned... me...\What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event...\Move it, move it!\You guys!\Out of my way!\Here we go! response:	Is that the cute girl who summoned me?!
context: What are you babbling about?\If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event...\Move it, move it!\You guys!\Out of my way!\Here we go!\Is that the cute girl who summoned me?! response:	Summoned? I dunno what you're talkin' about, but I'm busy!
context: If you don't wanna get hurt, cough up whatever you've got!\Crap, it's a compulsory event...\Move it, move it!\You guys!\Out of my way!\Here we go!\Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy! response:	Sorry! Live strong!
context: Crap, it's a compulsory event...\Move it, move it!\You guys!\Out of my way!\Here we go!\Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong! response:	Wait, what? What?!
context: Move it, move it!\You guys!\Out of my way!\Here we go!\Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong!\Wait, what? What?! response:	Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?
context: You guys!\Out of my way!\Here we go!\Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong!\Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it? response:	Actually, it rained on our parade and made things worse.
context: Out of my way!\Here we go!\Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong!\Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse. response:	Yeah, of course...
context: Here we go!\Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong!\Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse.\Yeah, of course... response:	Just calm down, Natsuki Subaru.
context: Is that the cute girl who summoned me?!\Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong!\Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse.\Yeah, of course...\Just calm down, Natsuki Subaru. response:	Since ancient times, it's the rule that anyone
context: Summoned? I dunno what you're talkin' about, but I'm busy!\Sorry! Live strong!\Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse.\Yeah, of course...\Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone response:	summoned into a parallel world will display supernatural powers!
context: Sorry! Live strong!\Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse.\Yeah, of course...\Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers! response:	I'll mow these guys down and make them fuel for my shining future!
context: Wait, what? What?!\Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse.\Yeah, of course...\Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future! response:	You lumps of EXP!
context: Hey, that didn't make you decide to be less hostile toward me, by any chance, did it?\Actually, it rained on our parade and made things worse.\Yeah, of course...\Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP! response:	That's the first time I ever hit someone!
context: Actually, it rained on our parade and made things worse.\Yeah, of course...\Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP!\That's the first time I ever hit someone! response:	I didn't expect it to hurt me that much...
context: Yeah, of course...\Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP!\That's the first time I ever hit someone!\I didn't expect it to hurt me that much... response:	But this world is set up so that I'll be strong!
context: Just calm down, Natsuki Subaru.\Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP!\That's the first time I ever hit someone!\I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong! response:	My adrenaline is surging! I've got this!
context: Since ancient times, it's the rule that anyone\summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP!\That's the first time I ever hit someone!\I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this! response:	I'm sorry! It was all my fault! Forgive me! Spare me!
context: summoned into a parallel world will display supernatural powers!\I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP!\That's the first time I ever hit someone!\I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me! response:	Play games with us, will you?! Die, scum!
context: I'll mow these guys down and make them fuel for my shining future!\You lumps of EXP!\That's the first time I ever hit someone!\I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum! response:	And don't think it'll be painless!
context: You lumps of EXP!\That's the first time I ever hit someone!\I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum!\And don't think it'll be painless! response:	That's enough.
context: That's the first time I ever hit someone!\I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum!\And don't think it'll be painless!\That's enough. response:	Who the hell are you?!
context: I didn't expect it to hurt me that much...\But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum!\And don't think it'll be painless!\That's enough.\Who the hell are you?! response:	Stop now, and I'll let this slide.
context: But this world is set up so that I'll be strong!\My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum!\And don't think it'll be painless!\That's enough.\Who the hell are you?!\Stop now, and I'll let this slide. response:	So just graciously return what you stole.
context: My adrenaline is surging! I've got this!\I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum!\And don't think it'll be painless!\That's enough.\Who the hell are you?!\Stop now, and I'll let this slide.\So just graciously return what you stole. response:	What we stole?
context: I'm sorry! It was all my fault! Forgive me! Spare me!\Play games with us, will you?! Die, scum!\And don't think it'll be painless!\That's enough.\Who the hell are you?!\Stop now, and I'll let this slide.\So just graciously return what you stole.\What we stole? response:	Now, please. It's important to me.
context: Play games with us, will you?! Die, scum!\And don't think it'll be painless!\That's enough.\Who the hell are you?!\Stop now, and I'll let this slide.\So just graciously return what you stole.\What we stole?\Now, please. It's important to me. response:	I'll give up on the other stuff, but I can't let you have that.
context: And don't think it'll be painless!\That's enough.\Who the hell are you?!\Stop now, and I'll let this slide.\So just graciously return what you stole.\What we stole?\Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that. response:	Be good and hand it over, please.
context: That's enough.\Who the hell are you?!\Stop now, and I'll let this slide.\So just graciously return what you stole.\What we stole?\Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please. response:	You didn't come to save this kid?
context: Who the hell are you?!\Stop now, and I'll let this slide.\So just graciously return what you stole.\What we stole?\Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please.\You didn't come to save this kid? response:	What strange clothes he has...
context: Stop now, and I'll let this slide.\So just graciously return what you stole.\What we stole?\Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please.\You didn't come to save this kid?\What strange clothes he has... response:	If you asked me whether I had any connection to him, I'd have to say no.
context: So just graciously return what you stole.\What we stole?\Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please.\You didn't come to save this kid?\What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no. response:	Then you've got no business with us!
context: What we stole?\Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please.\You didn't come to save this kid?\What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us! response:	If someone stole from you, it was that brat who just ran by!
context: Now, please. It's important to me.\I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please.\You didn't come to save this kid?\What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us!\If someone stole from you, it was that brat who just ran by! response:	Yeah! That way! She ran that way!
context: I'll give up on the other stuff, but I can't let you have that.\Be good and hand it over, please.\You didn't come to save this kid?\What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us!\If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way! response:	Hmm... They don't seem to be lying...
context: Be good and hand it over, please.\You didn't come to save this kid?\What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us!\If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way!\Hmm... They don't seem to be lying... response:	I need to go after her!
context: You didn't come to save this kid?\What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us!\If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way!\Hmm... They don't seem to be lying...\I need to go after her! response:	But regardless of that...
context: What strange clothes he has...\If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us!\If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way!\Hmm... They don't seem to be lying...\I need to go after her!\But regardless of that... response:	I can't overlook what's going on here.
context: If you asked me whether I had any connection to him, I'd have to say no.\Then you've got no business with us!\If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way!\Hmm... They don't seem to be lying...\I need to go after her!\But regardless of that...\I can't overlook what's going on here. response:	Magic?
context: Then you've got no business with us!\If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way!\Hmm... They don't seem to be lying...\I need to go after her!\But regardless of that...\I can't overlook what's going on here.\Magic? response:	Mess with us, will you?!
context: If someone stole from you, it was that brat who just ran by!\Yeah! That way! She ran that way!\Hmm... They don't seem to be lying...\I need to go after her!\But regardless of that...\I can't overlook what's going on here.\Magic?\Mess with us, will you?! response:	I don't care if you can use magic! I'll kill you!
context: Yeah! That way! She ran that way!\Hmm... They don't seem to be lying...\I need to go after her!\But regardless of that...\I can't overlook what's going on here.\Magic?\Mess with us, will you?!\I don't care if you can use magic! I'll kill you! response:	You think you can win when it's two against one?! Huh?!
context: Hmm... They don't seem to be lying...\I need to go after her!\But regardless of that...\I can't overlook what's going on here.\Magic?\Mess with us, will you?!\I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?! response:	You're right. Two against one may be unfair.
context: I need to go after her!\But regardless of that...\I can't overlook what's going on here.\Magic?\Mess with us, will you?!\I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair. response:	Two against two should make it fair, then.
context: But regardless of that...\I can't overlook what's going on here.\Magic?\Mess with us, will you?!\I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair.\Two against two should make it fair, then. response:	You're a user of the spiritual arts?
context: I can't overlook what's going on here.\Magic?\Mess with us, will you?!\I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair.\Two against two should make it fair, then.\You're a user of the spiritual arts? response:	Correct. Back off now and I won't come after you.
context: Magic?\Mess with us, will you?!\I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair.\Two against two should make it fair, then.\You're a user of the spiritual arts?\Correct. Back off now and I won't come after you. response:	Decide quick. I'm in a hurry.
context: Mess with us, will you?!\I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair.\Two against two should make it fair, then.\You're a user of the spiritual arts?\Correct. Back off now and I won't come after you.\Decide quick. I'm in a hurry. response:	You bitch! Next time I see you, I won't go easy on you!
context: I don't care if you can use magic! I'll kill you!\You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair.\Two against two should make it fair, then.\You're a user of the spiritual arts?\Correct. Back off now and I won't come after you.\Decide quick. I'm in a hurry.\You bitch! Next time I see you, I won't go easy on you! response:	Do anything to her, and I'll haunt you and your kin forever.
context: You think you can win when it's two against one?! Huh?!\You're right. Two against one may be unfair.\Two against two should make it fair, then.\You're a user of the spiritual arts?\Correct. Back off now and I won't come after you.\Decide quick. I'm in a hurry.\You bitch! Next time I see you, I won't go easy on you!\Do anything to her, and I'll haunt you and your kin forever. response:	Not that you'll have any kin if I do that.
context: You're right. Two against one may be unfair.\Two against two should make it fair, then.\You're a user of the spiritual arts?\Correct. Back off now and I won't come after you.\Decide quick. I'm in a hurry.\You bitch! Next time I see you, I won't go easy on you!\Do anything to her, and I'll haunt you and your kin forever.\Not that you'll have any kin if I do that. response:	You saved me. Thanks.
