context: I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Oh! I don't have time for this!\Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry.\I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?! response:	That's why you get failing grades!
context: Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry.\I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?!\That's why you get failing grades! response:	What?! 30 percent?!
context: Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry.\I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?!\That's why you get failing grades!\What?! 30 percent?! response:	Yup!
context: Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry.\I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?!\That's why you get failing grades!\What?! 30 percent?!\Yup! response:	Usagi, I can't believe you.
context: It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry.\I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?!\That's why you get failing grades!\What?! 30 percent?!\Yup!\Usagi, I can't believe you. response:	You're a girl and you were going to eat your lunch early?
context: I'm hungry.\I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?!\That's why you get failing grades!\What?! 30 percent?!\Yup!\Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early? response:	But I'm a growing girl.
context: I did skip breakfast, so... time to eat!\What are you doing, Miss Tsukino?!\That's why you get failing grades!\What?! 30 percent?!\Yup!\Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early?\But I'm a growing girl. response:	You're my best friend, Naru. You understand, don't you?
context: What are you doing, Miss Tsukino?!\That's why you get failing grades!\What?! 30 percent?!\Yup!\Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early?\But I'm a growing girl.\You're my best friend, Naru. You understand, don't you? response:	Usagi, how did you do on your test?
context: That's why you get failing grades!\What?! 30 percent?!\Yup!\Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early?\But I'm a growing girl.\You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test? response:	Umino...
context: What?! 30 percent?!\Yup!\Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early?\But I'm a growing girl.\You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test?\Umino... response:	Can't you tell by how depressed she is? Of course it was bad.
context: Yup!\Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early?\But I'm a growing girl.\You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test?\Umino...\Can't you tell by how depressed she is? Of course it was bad. response:	Oh, did that hurt? I'm sorry.
context: Usagi, I can't believe you.\You're a girl and you were going to eat your lunch early?\But I'm a growing girl.\You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test?\Umino...\Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry. response:	You don't have to be so upset!
context: You're a girl and you were going to eat your lunch early?\But I'm a growing girl.\You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test?\Umino...\Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry.\You don't have to be so upset! response:	I didn't get a perfect this time because I didn't really try.
context: But I'm a growing girl.\You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test?\Umino...\Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry.\You don't have to be so upset!\I didn't get a perfect this time because I didn't really try. response:	A test is like a game.
context: You're my best friend, Naru. You understand, don't you?\Usagi, how did you do on your test?\Umino...\Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry.\You don't have to be so upset!\I didn't get a perfect this time because I didn't really try.\A test is like a game. response:	How annoying!
context: Usagi, how did you do on your test?\Umino...\Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry.\You don't have to be so upset!\I didn't get a perfect this time because I didn't really try.\A test is like a game.\How annoying! response:	Oh! Did you hear that Sailor V appeared again?
context: Umino...\Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry.\You don't have to be so upset!\I didn't get a perfect this time because I didn't really try.\A test is like a game.\How annoying!\Oh! Did you hear that Sailor V appeared again? response:	Sailor V?
context: Can't you tell by how depressed she is? Of course it was bad.\Oh, did that hurt? I'm sorry.\You don't have to be so upset!\I didn't get a perfect this time because I didn't really try.\A test is like a game.\How annoying!\Oh! Did you hear that Sailor V appeared again?\Sailor V? response:	Yeah. She caught the robbers from the jewelry heist.
context: Oh, did that hurt? I'm sorry.\You don't have to be so upset!\I didn't get a perfect this time because I didn't really try.\A test is like a game.\How annoying!\Oh! Did you hear that Sailor V appeared again?\Sailor V?\Yeah. She caught the robbers from the jewelry heist. response:	Wow!
context: You don't have to be so upset!\I didn't get a perfect this time because I didn't really try.\A test is like a game.\How annoying!\Oh! Did you hear that Sailor V appeared again?\Sailor V?\Yeah. She caught the robbers from the jewelry heist.\Wow! response:	Isn't it great?
context: I didn't get a perfect this time because I didn't really try.\A test is like a game.\How annoying!\Oh! Did you hear that Sailor V appeared again?\Sailor V?\Yeah. She caught the robbers from the jewelry heist.\Wow!\Isn't it great? response:	What is a Sailor V?
context: A test is like a game.\How annoying!\Oh! Did you hear that Sailor V appeared again?\Sailor V?\Yeah. She caught the robbers from the jewelry heist.\Wow!\Isn't it great?\What is a Sailor V? response:	Don't be so impressed if you don't know her!
context: How annoying!\Oh! Did you hear that Sailor V appeared again?\Sailor V?\Yeah. She caught the robbers from the jewelry heist.\Wow!\Isn't it great?\What is a Sailor V?\Don't be so impressed if you don't know her! response:	Sailor V is the heroine in a school uniform that's been causing an uproar.
context: Oh! Did you hear that Sailor V appeared again?\Sailor V?\Yeah. She caught the robbers from the jewelry heist.\Wow!\Isn't it great?\What is a Sailor V?\Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar. response:	Sailor V.
context: Sailor V?\Yeah. She caught the robbers from the jewelry heist.\Wow!\Isn't it great?\What is a Sailor V?\Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V. response:	There's a rumor that she's actually
context: Yeah. She caught the robbers from the jewelry heist.\Wow!\Isn't it great?\What is a Sailor V?\Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V.\There's a rumor that she's actually response:	a special agent from the police department.
context: Wow!\Isn't it great?\What is a Sailor V?\Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V.\There's a rumor that she's actually\a special agent from the police department. response:	Oh, there's stuff like that now. Must be the end of the century.
context: Isn't it great?\What is a Sailor V?\Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V.\There's a rumor that she's actually\a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century. response:	But gems are beautiful,
context: What is a Sailor V?\Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V.\There's a rumor that she's actually\a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful, response:	I'd understand why they'd want to steal them.
context: Don't be so impressed if you don't know her!\Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V.\There's a rumor that she's actually\a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful,\I'd understand why they'd want to steal them. response:	I know what you mean. I want a diamond ring.
context: Sailor V is the heroine in a school uniform that's been causing an uproar.\Sailor V.\There's a rumor that she's actually\a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful,\I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring. response:	I want ruby earrings.
context: Sailor V.\There's a rumor that she's actually\a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful,\I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring.\I want ruby earrings. response:	I wish.
context: There's a rumor that she's actually\a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful,\I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring.\I want ruby earrings.\I wish. response:	Oh yeah, our store has been having a jewelry sale since yesterday.
context: a special agent from the police department.\Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful,\I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring.\I want ruby earrings.\I wish.\Oh yeah, our store has been having a jewelry sale since yesterday. response:	Want to come?
context: Oh, there's stuff like that now. Must be the end of the century.\But gems are beautiful,\I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring.\I want ruby earrings.\I wish.\Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come? response:	Jewelry sale?
context: But gems are beautiful,\I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring.\I want ruby earrings.\I wish.\Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come?\Jewelry sale? response:	They'll have rings and stuff that even we can buy.
context: I'd understand why they'd want to steal them.\I know what you mean. I want a diamond ring.\I want ruby earrings.\I wish.\Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come?\Jewelry sale?\They'll have rings and stuff that even we can buy. response:	Really? I'll go!
context: I know what you mean. I want a diamond ring.\I want ruby earrings.\I wish.\Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come?\Jewelry sale?\They'll have rings and stuff that even we can buy.\Really? I'll go! response:	Okay, then come over on your way home.
context: I want ruby earrings.\I wish.\Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come?\Jewelry sale?\They'll have rings and stuff that even we can buy.\Really? I'll go!\Okay, then come over on your way home. response:	I'll definitely go. I wish school would end soon.
context: I wish.\Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come?\Jewelry sale?\They'll have rings and stuff that even we can buy.\Really? I'll go!\Okay, then come over on your way home.\I'll definitely go. I wish school would end soon. response:	Umm... Usagi...
context: Oh yeah, our store has been having a jewelry sale since yesterday.\Want to come?\Jewelry sale?\They'll have rings and stuff that even we can buy.\Really? I'll go!\Okay, then come over on your way home.\I'll definitely go. I wish school would end soon.\Umm... Usagi... response:	Have you still not found the legendary silver crystal?
context: Want to come?\Jewelry sale?\They'll have rings and stuff that even we can buy.\Really? I'll go!\Okay, then come over on your way home.\I'll definitely go. I wish school would end soon.\Umm... Usagi...\Have you still not found the legendary silver crystal? response:	No, my lady.
context: Jewelry sale?\They'll have rings and stuff that even we can buy.\Really? I'll go!\Okay, then come over on your way home.\I'll definitely go. I wish school would end soon.\Umm... Usagi...\Have you still not found the legendary silver crystal?\No, my lady. response:	Our great ruler wants a plentiful amount of energy.
context: They'll have rings and stuff that even we can buy.\Really? I'll go!\Okay, then come over on your way home.\I'll definitely go. I wish school would end soon.\Umm... Usagi...\Have you still not found the legendary silver crystal?\No, my lady.\Our great ruler wants a plentiful amount of energy. response:	If you cannot obtain the silver crystal,
context: Really? I'll go!\Okay, then come over on your way home.\I'll definitely go. I wish school would end soon.\Umm... Usagi...\Have you still not found the legendary silver crystal?\No, my lady.\Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal, response:	then let us first give our ruler human energy.
context: Okay, then come over on your way home.\I'll definitely go. I wish school would end soon.\Umm... Usagi...\Have you still not found the legendary silver crystal?\No, my lady.\Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal,\then let us first give our ruler human energy. response:	Queen Beryl.
context: I'll definitely go. I wish school would end soon.\Umm... Usagi...\Have you still not found the legendary silver crystal?\No, my lady.\Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal,\then let us first give our ruler human energy.\Queen Beryl. response:	Will you leave that duty to me, Jadeite?
context: Umm... Usagi...\Have you still not found the legendary silver crystal?\No, my lady.\Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal,\then let us first give our ruler human energy.\Queen Beryl.\Will you leave that duty to me, Jadeite? response:	My minion, the monster Morga, is already gathering human energy.
context: Have you still not found the legendary silver crystal?\No, my lady.\Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal,\then let us first give our ruler human energy.\Queen Beryl.\Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy. response:	I will leave it to you, Jadeite.
context: No, my lady.\Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal,\then let us first give our ruler human energy.\Queen Beryl.\Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite. response:	Yes, my lady.
context: Our great ruler wants a plentiful amount of energy.\If you cannot obtain the silver crystal,\then let us first give our ruler human energy.\Queen Beryl.\Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite.\Yes, my lady. response:	Oh, how pretty!
context: If you cannot obtain the silver crystal,\then let us first give our ruler human energy.\Queen Beryl.\Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite.\Yes, my lady.\Oh, how pretty! response:	It's so cheap!
context: then let us first give our ruler human energy.\Queen Beryl.\Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite.\Yes, my lady.\Oh, how pretty!\It's so cheap! response:	Wow, there are a lot of people.
context: Queen Beryl.\Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite.\Yes, my lady.\Oh, how pretty!\It's so cheap!\Wow, there are a lot of people. response:	Thank you for always choosing us.
context: Will you leave that duty to me, Jadeite?\My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite.\Yes, my lady.\Oh, how pretty!\It's so cheap!\Wow, there are a lot of people.\Thank you for always choosing us. response:	Maybe she's inspired.
context: My minion, the monster Morga, is already gathering human energy.\I will leave it to you, Jadeite.\Yes, my lady.\Oh, how pretty!\It's so cheap!\Wow, there are a lot of people.\Thank you for always choosing us.\Maybe she's inspired. response:	Come on in. They're all on sale!
context: I will leave it to you, Jadeite.\Yes, my lady.\Oh, how pretty!\It's so cheap!\Wow, there are a lot of people.\Thank you for always choosing us.\Maybe she's inspired.\Come on in. They're all on sale! response:	Foolish humans.
context: Yes, my lady.\Oh, how pretty!\It's so cheap!\Wow, there are a lot of people.\Thank you for always choosing us.\Maybe she's inspired.\Come on in. They're all on sale!\Foolish humans. response:	Give all your energy to our great ruler.
context: Oh, how pretty!\It's so cheap!\Wow, there are a lot of people.\Thank you for always choosing us.\Maybe she's inspired.\Come on in. They're all on sale!\Foolish humans.\Give all your energy to our great ruler. response:	It's gathering, the energy of the foolish humans
context: It's so cheap!\Wow, there are a lot of people.\Thank you for always choosing us.\Maybe she's inspired.\Come on in. They're all on sale!\Foolish humans.\Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans response:	who are taken by the brilliance of the gems.
context: Wow, there are a lot of people.\Thank you for always choosing us.\Maybe she's inspired.\Come on in. They're all on sale!\Foolish humans.\Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems. response:	Queen Beryl will be very pleased.
context: Thank you for always choosing us.\Maybe she's inspired.\Come on in. They're all on sale!\Foolish humans.\Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems.\Queen Beryl will be very pleased. response:	Morga, collect even more energy.
context: Maybe she's inspired.\Come on in. They're all on sale!\Foolish humans.\Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems.\Queen Beryl will be very pleased.\Morga, collect even more energy. response:	Yes, sir.
context: Come on in. They're all on sale!\Foolish humans.\Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems.\Queen Beryl will be very pleased.\Morga, collect even more energy.\Yes, sir. response:	Mom.
context: Foolish humans.\Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems.\Queen Beryl will be very pleased.\Morga, collect even more energy.\Yes, sir.\Mom. response:	I brought a friend.
context: Give all your energy to our great ruler.\It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems.\Queen Beryl will be very pleased.\Morga, collect even more energy.\Yes, sir.\Mom.\I brought a friend. response:	Hello.
context: It's gathering, the energy of the foolish humans\who are taken by the brilliance of the gems.\Queen Beryl will be very pleased.\Morga, collect even more energy.\Yes, sir.\Mom.\I brought a friend.\Hello. response:	Thank you for coming.
context: who are taken by the brilliance of the gems.\Queen Beryl will be very pleased.\Morga, collect even more energy.\Yes, sir.\Mom.\I brought a friend.\Hello.\Thank you for coming. response:	It's crowded, but please look around.
context: Queen Beryl will be very pleased.\Morga, collect even more energy.\Yes, sir.\Mom.\I brought a friend.\Hello.\Thank you for coming.\It's crowded, but please look around. response:	Thank you.
context: Morga, collect even more energy.\Yes, sir.\Mom.\I brought a friend.\Hello.\Thank you for coming.\It's crowded, but please look around.\Thank you. response:	I know, since you are Naru's friend, I'll give you a discount.
