context: Here. response:	Why did she have to glare at us like that?
context: I watched my mother fly out a number of times,\but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly...\How do I use this?\Same question! Same question!\It says Games...\Um, you press this... response:	Is this soba?
context: but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly...\How do I use this?\Same question! Same question!\It says Games...\Um, you press this...\Is this soba? response:	Can I trade my celery for your sweet egg?
context: I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly...\How do I use this?\Same question! Same question!\It says Games...\Um, you press this...\Is this soba?\Can I trade my celery for your sweet egg? response:	No.
context: For work, certainly...\How do I use this?\Same question! Same question!\It says Games...\Um, you press this...\Is this soba?\Can I trade my celery for your sweet egg?\No. response:	Green tea.
context: How do I use this?\Same question! Same question!\It says Games...\Um, you press this...\Is this soba?\Can I trade my celery for your sweet egg?\No.\Green tea. response:	Right! Go right!
context: Same question! Same question!\It says Games...\Um, you press this...\Is this soba?\Can I trade my celery for your sweet egg?\No.\Green tea.\Right! Go right! response:	Hey, stay on your side!
context: It says Games...\Um, you press this...\Is this soba?\Can I trade my celery for your sweet egg?\No.\Green tea.\Right! Go right!\Hey, stay on your side! response:	Why? Why am I the only one who didn't get any?
context: Um, you press this...\Is this soba?\Can I trade my celery for your sweet egg?\No.\Green tea.\Right! Go right!\Hey, stay on your side!\Why? Why am I the only one who didn't get any? response:	Because you were asleep.
context: Is this soba?\Can I trade my celery for your sweet egg?\No.\Green tea.\Right! Go right!\Hey, stay on your side!\Why? Why am I the only one who didn't get any?\Because you were asleep. response:	Um, turn off this data roaming thing...
context: Can I trade my celery for your sweet egg?\No.\Green tea.\Right! Go right!\Hey, stay on your side!\Why? Why am I the only one who didn't get any?\Because you were asleep.\Um, turn off this data roaming thing... response:	Wake her up.
context: No.\Green tea.\Right! Go right!\Hey, stay on your side!\Why? Why am I the only one who didn't get any?\Because you were asleep.\Um, turn off this data roaming thing...\Wake her up. response:	Kimari-san!
context: Green tea.\Right! Go right!\Hey, stay on your side!\Why? Why am I the only one who didn't get any?\Because you were asleep.\Um, turn off this data roaming thing...\Wake her up.\Kimari-san! response:	I can't believe you slept through all that.
context: Right! Go right!\Hey, stay on your side!\Why? Why am I the only one who didn't get any?\Because you were asleep.\Um, turn off this data roaming thing...\Wake her up.\Kimari-san!\I can't believe you slept through all that. response:	We're here?
context: Hey, stay on your side!\Why? Why am I the only one who didn't get any?\Because you were asleep.\Um, turn off this data roaming thing...\Wake her up.\Kimari-san!\I can't believe you slept through all that.\We're here? response:	Wow! So much English!
context: Why? Why am I the only one who didn't get any?\Because you were asleep.\Um, turn off this data roaming thing...\Wake her up.\Kimari-san!\I can't believe you slept through all that.\We're here?\Wow! So much English! response:	Of course there is.
context: Because you were asleep.\Um, turn off this data roaming thing...\Wake her up.\Kimari-san!\I can't believe you slept through all that.\We're here?\Wow! So much English!\Of course there is. response:	Which way do we go?
context: Um, turn off this data roaming thing...\Wake her up.\Kimari-san!\I can't believe you slept through all that.\We're here?\Wow! So much English!\Of course there is.\Which way do we go? response:	We're taking the subway, so we'll follow the MRT signs.
context: Wake her up.\Kimari-san!\I can't believe you slept through all that.\We're here?\Wow! So much English!\Of course there is.\Which way do we go?\We're taking the subway, so we'll follow the MRT signs. response:	What do you mean, you forgot to change your money?
context: Kimari-san!\I can't believe you slept through all that.\We're here?\Wow! So much English!\Of course there is.\Which way do we go?\We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money? response:	And to change all your money...
context: I can't believe you slept through all that.\We're here?\Wow! So much English!\Of course there is.\Which way do we go?\We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money?\And to change all your money... response:	we're leaving in two days, you know.
context: We're here?\Wow! So much English!\Of course there is.\Which way do we go?\We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money?\And to change all your money...\we're leaving in two days, you know. response:	You need to tell me this stuff in advance!
context: Wow! So much English!\Of course there is.\Which way do we go?\We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money?\And to change all your money...\we're leaving in two days, you know.\You need to tell me this stuff in advance! response:	It's hot...
context: Of course there is.\Which way do we go?\We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money?\And to change all your money...\we're leaving in two days, you know.\You need to tell me this stuff in advance!\It's hot... response:	It's summer!
context: Which way do we go?\We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money?\And to change all your money...\we're leaving in two days, you know.\You need to tell me this stuff in advance!\It's hot...\It's summer! response:	Well, we're right by the equator, after all.
context: We're taking the subway, so we'll follow the MRT signs.\What do you mean, you forgot to change your money?\And to change all your money...\we're leaving in two days, you know.\You need to tell me this stuff in advance!\It's hot...\It's summer!\Well, we're right by the equator, after all. response:	Last time I came, I could have just died right then.
context: What do you mean, you forgot to change your money?\And to change all your money...\we're leaving in two days, you know.\You need to tell me this stuff in advance!\It's hot...\It's summer!\Well, we're right by the equator, after all.\Last time I came, I could have just died right then. response:	Where's the merlion? The merlion!
context: And to change all your money...\we're leaving in two days, you know.\You need to tell me this stuff in advance!\It's hot...\It's summer!\Well, we're right by the equator, after all.\Last time I came, I could have just died right then.\Where's the merlion? The merlion! response:	It's not here, clearly.
context: we're leaving in two days, you know.\You need to tell me this stuff in advance!\It's hot...\It's summer!\Well, we're right by the equator, after all.\Last time I came, I could have just died right then.\Where's the merlion? The merlion!\It's not here, clearly. response:	What a strange building...
context: You need to tell me this stuff in advance!\It's hot...\It's summer!\Well, we're right by the equator, after all.\Last time I came, I could have just died right then.\Where's the merlion? The merlion!\It's not here, clearly.\What a strange building... response:	Shirase-san!
context: It's hot...\It's summer!\Well, we're right by the equator, after all.\Last time I came, I could have just died right then.\Where's the merlion? The merlion!\It's not here, clearly.\What a strange building...\Shirase-san! response:	Discount please!
context: It's summer!\Well, we're right by the equator, after all.\Last time I came, I could have just died right then.\Where's the merlion? The merlion!\It's not here, clearly.\What a strange building...\Shirase-san!\Discount please! response:	Please!
context: Well, we're right by the equator, after all.\Last time I came, I could have just died right then.\Where's the merlion? The merlion!\It's not here, clearly.\What a strange building...\Shirase-san!\Discount please!\Please! response:	We can shop later!
context: Last time I came, I could have just died right then.\Where's the merlion? The merlion!\It's not here, clearly.\What a strange building...\Shirase-san!\Discount please!\Please!\We can shop later! response:	Darn it. It took us forever just to get to the hotel...
context: Where's the merlion? The merlion!\It's not here, clearly.\What a strange building...\Shirase-san!\Discount please!\Please!\We can shop later!\Darn it. It took us forever just to get to the hotel... response:	Did it?
context: It's not here, clearly.\What a strange building...\Shirase-san!\Discount please!\Please!\We can shop later!\Darn it. It took us forever just to get to the hotel...\Did it? response:	Because you bought all that stuff!
context: What a strange building...\Shirase-san!\Discount please!\Please!\We can shop later!\Darn it. It took us forever just to get to the hotel...\Did it?\Because you bought all that stuff! response:	We only have one day before we have to get on a plane to Fremantle.
context: Shirase-san!\Discount please!\Please!\We can shop later!\Darn it. It took us forever just to get to the hotel...\Did it?\Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle. response:	We need to be efficient...
context: Discount please!\Please!\We can shop later!\Darn it. It took us forever just to get to the hotel...\Did it?\Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle.\We need to be efficient... response:	A double bed!
context: Please!\We can shop later!\Darn it. It took us forever just to get to the hotel...\Did it?\Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle.\We need to be efficient...\A double bed! response:	One, two!
context: We can shop later!\Darn it. It took us forever just to get to the hotel...\Did it?\Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle.\We need to be efficient...\A double bed!\One, two! response:	First comes rock! Rock-paper-scissors!
context: Darn it. It took us forever just to get to the hotel...\Did it?\Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle.\We need to be efficient...\A double bed!\One, two!\First comes rock! Rock-paper-scissors! response:	Yes!
context: Did it?\Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle.\We need to be efficient...\A double bed!\One, two!\First comes rock! Rock-paper-scissors!\Yes! response:	What's going on?
context: Because you bought all that stuff!\We only have one day before we have to get on a plane to Fremantle.\We need to be efficient...\A double bed!\One, two!\First comes rock! Rock-paper-scissors!\Yes!\What's going on? response:	We're betting on who has to sleep next to you, Kimari.
context: We only have one day before we have to get on a plane to Fremantle.\We need to be efficient...\A double bed!\One, two!\First comes rock! Rock-paper-scissors!\Yes!\What's going on?\We're betting on who has to sleep next to you, Kimari. response:	Kimari-san, why don't you just start out on the floor?
context: We need to be efficient...\A double bed!\One, two!\First comes rock! Rock-paper-scissors!\Yes!\What's going on?\We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor? response:	You'll probably fall sooner or later anyway...
context: A double bed!\One, two!\First comes rock! Rock-paper-scissors!\Yes!\What's going on?\We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway... response:	Why?
context: One, two!\First comes rock! Rock-paper-scissors!\Yes!\What's going on?\We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway...\Why? response:	Because that's what you did during training!
context: First comes rock! Rock-paper-scissors!\Yes!\What's going on?\We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway...\Why?\Because that's what you did during training! response:	So cold...
context: Yes!\What's going on?\We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway...\Why?\Because that's what you did during training!\So cold... response:	So warm...
context: What's going on?\We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway...\Why?\Because that's what you did during training!\So cold...\So warm... response:	I don't remember at all.
context: We're betting on who has to sleep next to you, Kimari.\Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway...\Why?\Because that's what you did during training!\So cold...\So warm...\I don't remember at all. response:	That's why it's a problem!
context: Kimari-san, why don't you just start out on the floor?\You'll probably fall sooner or later anyway...\Why?\Because that's what you did during training!\So cold...\So warm...\I don't remember at all.\That's why it's a problem! response:	Hey, let's put our valuables in here before we head out!
context: You'll probably fall sooner or later anyway...\Why?\Because that's what you did during training!\So cold...\So warm...\I don't remember at all.\That's why it's a problem!\Hey, let's put our valuables in here before we head out! response:	Japanese yen, plane ticket, and...
context: Why?\Because that's what you did during training!\So cold...\So warm...\I don't remember at all.\That's why it's a problem!\Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and... response:	Huh?
context: Because that's what you did during training!\So cold...\So warm...\I don't remember at all.\That's why it's a problem!\Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and...\Huh? response:	What's wrong?
context: So cold...\So warm...\I don't remember at all.\That's why it's a problem!\Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and...\Huh?\What's wrong? response:	N-Nothing!
context: So warm...\I don't remember at all.\That's why it's a problem!\Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and...\Huh?\What's wrong?\N-Nothing! response:	We'll get ready in our rooms and meet in the lobby in 30 minutes.
context: I don't remember at all.\That's why it's a problem!\Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and...\Huh?\What's wrong?\N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes. response:	I've seen that! It's a pool, right?
context: That's why it's a problem!\Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and...\Huh?\What's wrong?\N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right? response:	Yes, it is!
context: Hey, let's put our valuables in here before we head out!\Japanese yen, plane ticket, and...\Huh?\What's wrong?\N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right?\Yes, it is! response:	What's that?
context: Japanese yen, plane ticket, and...\Huh?\What's wrong?\N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right?\Yes, it is!\What's that? response:	There it is!
context: Huh?\What's wrong?\N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right?\Yes, it is!\What's that?\There it is! response:	It's so...
context: What's wrong?\N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right?\Yes, it is!\What's that?\There it is!\It's so... response:	It's not as disappointing as I expected.
context: N-Nothing!\We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right?\Yes, it is!\What's that?\There it is!\It's so...\It's not as disappointing as I expected. response:	Yeah! I'd heard it was more disappointing!
context: We'll get ready in our rooms and meet in the lobby in 30 minutes.\I've seen that! It's a pool, right?\Yes, it is!\What's that?\There it is!\It's so...\It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing! response:	Were you hoping for disappointment?
context: I've seen that! It's a pool, right?\Yes, it is!\What's that?\There it is!\It's so...\It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment? response:	Line up.
context: Yes, it is!\What's that?\There it is!\It's so...\It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment?\Line up. response:	We gotta pose! We gotta pose!
context: What's that?\There it is!\It's so...\It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment?\Line up.\We gotta pose! We gotta pose! response:	Then...
context: There it is!\It's so...\It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment?\Line up.\We gotta pose! We gotta pose!\Then... response:	What, exactly, is this?
context: It's so...\It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment?\Line up.\We gotta pose! We gotta pose!\Then...\What, exactly, is this? response:	Is this really oolong tea?
context: It's not as disappointing as I expected.\Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment?\Line up.\We gotta pose! We gotta pose!\Then...\What, exactly, is this?\Is this really oolong tea? response:	That's what it says.
context: Yeah! I'd heard it was more disappointing!\Were you hoping for disappointment?\Line up.\We gotta pose! We gotta pose!\Then...\What, exactly, is this?\Is this really oolong tea?\That's what it says. response:	Miso ramen?
context: Were you hoping for disappointment?\Line up.\We gotta pose! We gotta pose!\Then...\What, exactly, is this?\Is this really oolong tea?\That's what it says.\Miso ramen? response:	I told you, they won't have any.
context: Line up.\We gotta pose! We gotta pose!\Then...\What, exactly, is this?\Is this really oolong tea?\That's what it says.\Miso ramen?\I told you, they won't have any. response:	But it's ramen!
context: We gotta pose! We gotta pose!\Then...\What, exactly, is this?\Is this really oolong tea?\That's what it says.\Miso ramen?\I told you, they won't have any.\But it's ramen! response:	Because of the miso.
context: Then...\What, exactly, is this?\Is this really oolong tea?\That's what it says.\Miso ramen?\I told you, they won't have any.\But it's ramen!\Because of the miso. response:	It's so...
context: What, exactly, is this?\Is this really oolong tea?\That's what it says.\Miso ramen?\I told you, they won't have any.\But it's ramen!\Because of the miso.\It's so... response:	There must be some mistake...
context: Is this really oolong tea?\That's what it says.\Miso ramen?\I told you, they won't have any.\But it's ramen!\Because of the miso.\It's so...\There must be some mistake... response:	Stuffed to bursting.
context: That's what it says.\Miso ramen?\I told you, they won't have any.\But it's ramen!\Because of the miso.\It's so...\There must be some mistake...\Stuffed to bursting. response:	Shirase-san, your mouth's hanging open.
context: Miso ramen?\I told you, they won't have any.\But it's ramen!\Because of the miso.\It's so...\There must be some mistake...\Stuffed to bursting.\Shirase-san, your mouth's hanging open. response:	Look what I bought!
context: I told you, they won't have any.\But it's ramen!\Because of the miso.\It's so...\There must be some mistake...\Stuffed to bursting.\Shirase-san, your mouth's hanging open.\Look what I bought! response:	Durian ice cream!
context: But it's ramen!\Because of the miso.\It's so...\There must be some mistake...\Stuffed to bursting.\Shirase-san, your mouth's hanging open.\Look what I bought!\Durian ice cream! response:	How do you even have room?
context: Because of the miso.\It's so...\There must be some mistake...\Stuffed to bursting.\Shirase-san, your mouth's hanging open.\Look what I bought!\Durian ice cream!\How do you even have room? response:	It's dessert!
context: It's so...\There must be some mistake...\Stuffed to bursting.\Shirase-san, your mouth's hanging open.\Look what I bought!\Durian ice cream!\How do you even have room?\It's dessert! response:	Join me, Hinata-chan!
context: There must be some mistake...\Stuffed to bursting.\Shirase-san, your mouth's hanging open.\Look what I bought!\Durian ice cream!\How do you even have room?\It's dessert!\Join me, Hinata-chan! response:	You want me to eat that?
context: Stuffed to bursting.\Shirase-san, your mouth's hanging open.\Look what I bought!\Durian ice cream!\How do you even have room?\It's dessert!\Join me, Hinata-chan!\You want me to eat that? response:	Oh? Shirase-chan, then!
context: Shirase-san, your mouth's hanging open.\Look what I bought!\Durian ice cream!\How do you even have room?\It's dessert!\Join me, Hinata-chan!\You want me to eat that?\Oh? Shirase-chan, then! response:	What?
context: Look what I bought!\Durian ice cream!\How do you even have room?\It's dessert!\Join me, Hinata-chan!\You want me to eat that?\Oh? Shirase-chan, then!\What? response:	Huh?
context: Durian ice cream!\How do you even have room?\It's dessert!\Join me, Hinata-chan!\You want me to eat that?\Oh? Shirase-chan, then!\What?\Huh? response:	I warned you...
context: How do you even have room?\It's dessert!\Join me, Hinata-chan!\You want me to eat that?\Oh? Shirase-chan, then!\What?\Huh?\I warned you... response:	Hey, Yuzu?
context: It's dessert!\Join me, Hinata-chan!\You want me to eat that?\Oh? Shirase-chan, then!\What?\Huh?\I warned you...\Hey, Yuzu? response:	Yes?
context: Join me, Hinata-chan!\You want me to eat that?\Oh? Shirase-chan, then!\What?\Huh?\I warned you...\Hey, Yuzu?\Yes? response:	You took out your passport when we went through customs, right?
context: You want me to eat that?\Oh? Shirase-chan, then!\What?\Huh?\I warned you...\Hey, Yuzu?\Yes?\You took out your passport when we went through customs, right? response:	Well... yes.
context: Oh? Shirase-chan, then!\What?\Huh?\I warned you...\Hey, Yuzu?\Yes?\You took out your passport when we went through customs, right?\Well... yes. response:	You still have yours, right?
context: What?\Huh?\I warned you...\Hey, Yuzu?\Yes?\You took out your passport when we went through customs, right?\Well... yes.\You still have yours, right? response:	Of course. It's right here.
context: Huh?\I warned you...\Hey, Yuzu?\Yes?\You took out your passport when we went through customs, right?\Well... yes.\You still have yours, right?\Of course. It's right here. response:	Of course it is.
context: I warned you...\Hey, Yuzu?\Yes?\You took out your passport when we went through customs, right?\Well... yes.\You still have yours, right?\Of course. It's right here.\Of course it is. response:	Wow, cool!
context: Hey, Yuzu?\Yes?\You took out your passport when we went through customs, right?\Well... yes.\You still have yours, right?\Of course. It's right here.\Of course it is.\Wow, cool! response:	Where's the pool?
context: Yes?\You took out your passport when we went through customs, right?\Well... yes.\You still have yours, right?\Of course. It's right here.\Of course it is.\Wow, cool!\Where's the pool? response:	It's over there, but you can't go in unless you're a guest.
context: You took out your passport when we went through customs, right?\Well... yes.\You still have yours, right?\Of course. It's right here.\Of course it is.\Wow, cool!\Where's the pool?\It's over there, but you can't go in unless you're a guest. response:	What? Really?
context: Well... yes.\You still have yours, right?\Of course. It's right here.\Of course it is.\Wow, cool!\Where's the pool?\It's over there, but you can't go in unless you're a guest.\What? Really? response:	It's just an ordinary pool.
context: You still have yours, right?\Of course. It's right here.\Of course it is.\Wow, cool!\Where's the pool?\It's over there, but you can't go in unless you're a guest.\What? Really?\It's just an ordinary pool. response:	Though it does have a nice view...
context: Of course. It's right here.\Of course it is.\Wow, cool!\Where's the pool?\It's over there, but you can't go in unless you're a guest.\What? Really?\It's just an ordinary pool.\Though it does have a nice view... response:	No way! You've been in it?
context: Of course it is.\Wow, cool!\Where's the pool?\It's over there, but you can't go in unless you're a guest.\What? Really?\It's just an ordinary pool.\Though it does have a nice view...\No way! You've been in it? response:	Once, for a shoot...
context: Wow, cool!\Where's the pool?\It's over there, but you can't go in unless you're a guest.\What? Really?\It's just an ordinary pool.\Though it does have a nice view...\No way! You've been in it?\Once, for a shoot... response:	Hey, w-was it a sexy bikini pin-up?!
context: Where's the pool?\It's over there, but you can't go in unless you're a guest.\What? Really?\It's just an ordinary pool.\Though it does have a nice view...\No way! You've been in it?\Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?! response:	Are you making fun of me?
context: It's over there, but you can't go in unless you're a guest.\What? Really?\It's just an ordinary pool.\Though it does have a nice view...\No way! You've been in it?\Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me? response:	Was it?!
context: What? Really?\It's just an ordinary pool.\Though it does have a nice view...\No way! You've been in it?\Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me?\Was it?! response:	No!
context: It's just an ordinary pool.\Though it does have a nice view...\No way! You've been in it?\Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me?\Was it?!\No! response:	It's a bit like the crossroads of the sea, isn't it?
context: Though it does have a nice view...\No way! You've been in it?\Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me?\Was it?!\No!\It's a bit like the crossroads of the sea, isn't it? response:	Is it?
context: No way! You've been in it?\Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me?\Was it?!\No!\It's a bit like the crossroads of the sea, isn't it?\Is it? response:	Then people leave here to go all over the world, huh?
context: Once, for a shoot...\Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me?\Was it?!\No!\It's a bit like the crossroads of the sea, isn't it?\Is it?\Then people leave here to go all over the world, huh? response:	Probably.
context: Hey, w-was it a sexy bikini pin-up?!\Are you making fun of me?\Was it?!\No!\It's a bit like the crossroads of the sea, isn't it?\Is it?\Then people leave here to go all over the world, huh?\Probably. response:	It's kind of amazing, isn't it?
context: Are you making fun of me?\Was it?!\No!\It's a bit like the crossroads of the sea, isn't it?\Is it?\Then people leave here to go all over the world, huh?\Probably.\It's kind of amazing, isn't it? response:	What is?
