context: Uh.. response:	Er...
context: I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san!\It's so tasty, I'm gonna explode!\Thanks.\You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too.\Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan. response:	How pretty!
context: It's delicious, Mami-san!\It's so tasty, I'm gonna explode!\Thanks.\You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too.\Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan.\How pretty! response:	This is a Soul Gem.
context: It's so tasty, I'm gonna explode!\Thanks.\You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too.\Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan.\How pretty!\This is a Soul Gem. response:	It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.
context: Thanks.\You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too.\Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan.\How pretty!\This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl. response:	It's a source of magical power and proof of a Magical Girl's identity.
context: You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too.\Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan.\How pretty!\This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity. response:	And the contract?
context: I'd like to explain some important things to you too.\Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan.\How pretty!\This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity.\And the contract? response:	I can fulfill one of your wishes.
context: Just ask whatever you'd like to know.\That's the opposite, Sayaka-chan.\How pretty!\This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity.\And the contract?\I can fulfill one of your wishes. response:	Really?
context: That's the opposite, Sayaka-chan.\How pretty!\This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity.\And the contract?\I can fulfill one of your wishes.\Really? response:	Wishes... Meaning?
context: How pretty!\This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity.\And the contract?\I can fulfill one of your wishes.\Really?\Wishes... Meaning? response:	It can be anything, I'll be able to grant it, no matter how miraculous.
context: This is a Soul Gem.\It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity.\And the contract?\I can fulfill one of your wishes.\Really?\Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous. response:	Like riches, long life, something like great food?
context: It's a precious stone, born out of the contract formed between Kyubei and a chosen girl.\It's a source of magical power and proof of a Magical Girl's identity.\And the contract?\I can fulfill one of your wishes.\Really?\Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food? response:	That last one is a little...
context: It's a source of magical power and proof of a Magical Girl's identity.\And the contract?\I can fulfill one of your wishes.\Really?\Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food?\That last one is a little... response:	However, in doing so, a Soul Gem will be created.
context: And the contract?\I can fulfill one of your wishes.\Really?\Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food?\That last one is a little...\However, in doing so, a Soul Gem will be created. response:	The receiver of the stone becomes obligated to fight Witches as a Magical Girl.
context: I can fulfill one of your wishes.\Really?\Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food?\That last one is a little...\However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl. response:	Witches?
context: Really?\Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food?\That last one is a little...\However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches? response:	Hey, Mama?
context: Wishes... Meaning?\It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food?\That last one is a little...\However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches?\Hey, Mama? response:	Yeah?
context: It can be anything, I'll be able to grant it, no matter how miraculous.\Like riches, long life, something like great food?\That last one is a little...\However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches?\Hey, Mama?\Yeah? response:	What if, just if,
context: Like riches, long life, something like great food?\That last one is a little...\However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches?\Hey, Mama?\Yeah?\What if, just if, response:	someone told you that you could use magic to fulfill one wish,
context: That last one is a little...\However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches?\Hey, Mama?\Yeah?\What if, just if,\someone told you that you could use magic to fulfill one wish, response:	what would you
context: However, in doing so, a Soul Gem will be created.\The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches?\Hey, Mama?\Yeah?\What if, just if,\someone told you that you could use magic to fulfill one wish,\what would you response:	I'd wish for my two managers to screw around somewhere else.
context: The receiver of the stone becomes obligated to fight Witches as a Magical Girl.\Witches?\Hey, Mama?\Yeah?\What if, just if,\someone told you that you could use magic to fulfill one wish,\what would you\I'd wish for my two managers to screw around somewhere else. response:	What else, let me think...
context: Witches?\Hey, Mama?\Yeah?\What if, just if,\someone told you that you could use magic to fulfill one wish,\what would you\I'd wish for my two managers to screw around somewhere else.\What else, let me think... response:	The CEO isn't young anymore,
context: Hey, Mama?\Yeah?\What if, just if,\someone told you that you could use magic to fulfill one wish,\what would you\I'd wish for my two managers to screw around somewhere else.\What else, let me think...\The CEO isn't young anymore, response:	I wish he would consider retiring.
context: Yeah?\What if, just if,\someone told you that you could use magic to fulfill one wish,\what would you\I'd wish for my two managers to screw around somewhere else.\What else, let me think...\The CEO isn't young anymore,\I wish he would consider retiring. response:	But there's no one to replace him.
context: What if, just if,\someone told you that you could use magic to fulfill one wish,\what would you\I'd wish for my two managers to screw around somewhere else.\What else, let me think...\The CEO isn't young anymore,\I wish he would consider retiring.\But there's no one to replace him. response:	Why don't you become the CEO then?
context: someone told you that you could use magic to fulfill one wish,\what would you\I'd wish for my two managers to screw around somewhere else.\What else, let me think...\The CEO isn't young anymore,\I wish he would consider retiring.\But there's no one to replace him.\Why don't you become the CEO then? response:	There's always that possibility, isn't there?
context: what would you\I'd wish for my two managers to screw around somewhere else.\What else, let me think...\The CEO isn't young anymore,\I wish he would consider retiring.\But there's no one to replace him.\Why don't you become the CEO then?\There's always that possibility, isn't there? response:	Once we've dealt with the sales department,
context: I'd wish for my two managers to screw around somewhere else.\What else, let me think...\The CEO isn't young anymore,\I wish he would consider retiring.\But there's no one to replace him.\Why don't you become the CEO then?\There's always that possibility, isn't there?\Once we've dealt with the sales department, response:	Corporate Planning and the General Manager will be easy to manipulate.
context: What else, let me think...\The CEO isn't young anymore,\I wish he would consider retiring.\But there's no one to replace him.\Why don't you become the CEO then?\There's always that possibility, isn't there?\Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate. response:	In that case, the problem lies with that bald-headed manager.
context: The CEO isn't young anymore,\I wish he would consider retiring.\But there's no one to replace him.\Why don't you become the CEO then?\There's always that possibility, isn't there?\Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager. response:	We'll just do it this way and pull our hair out.
context: I wish he would consider retiring.\But there's no one to replace him.\Why don't you become the CEO then?\There's always that possibility, isn't there?\Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out. response:	Your eyes look really scary, Mama.
context: But there's no one to replace him.\Why don't you become the CEO then?\There's always that possibility, isn't there?\Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama. response:	What are Witches, are they different from Magical Girls?
context: Why don't you become the CEO then?\There's always that possibility, isn't there?\Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls? response:	If Magical Girls are born from wishes,
context: There's always that possibility, isn't there?\Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes, response:	then Witches are born from curses.
context: Once we've dealt with the sales department,\Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes,\then Witches are born from curses. response:	Magical girls help fulfill wishes, while Witches spread despair.
context: Corporate Planning and the General Manager will be easy to manipulate.\In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes,\then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair. response:	What's more, they can't be seen by normal people. They are really evil.
context: In that case, the problem lies with that bald-headed manager.\We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes,\then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil. response:	Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.
context: We'll just do it this way and pull our hair out.\Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes,\then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world. response:	Unreasonable suicides and killings primarily stem from the curses of Witches.
context: Your eyes look really scary, Mama.\What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes,\then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches. response:	This unseen enemy has begun to move against the hearts of the people.
context: What are Witches, are they different from Magical Girls?\If Magical Girls are born from wishes,\then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people. response:	If such dangerous people exist, why doesn't anyone know about them?
context: If Magical Girls are born from wishes,\then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them? response:	Witches have always remained hidden and would never reveal themselves to anyone.
context: then Witches are born from curses.\Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone. response:	The maze-like structure you were trapped in before is a reality marble.
context: Magical girls help fulfill wishes, while Witches spread despair.\What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble. response:	It was really dangerous, wasn't it?
context: What's more, they can't be seen by normal people. They are really evil.\Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it? response:	People who are swallowed by that world never return alive.
context: Anxiety and suspicion, rage and hate, they bring such seeds of discord into the world.\Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it?\People who are swallowed by that world never return alive. response:	You were fighting such a scary enemy?
context: Unreasonable suicides and killings primarily stem from the curses of Witches.\This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it?\People who are swallowed by that world never return alive.\You were fighting such a scary enemy? response:	Yes, staking my life on it.
context: This unseen enemy has begun to move against the hearts of the people.\If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it?\People who are swallowed by that world never return alive.\You were fighting such a scary enemy?\Yes, staking my life on it. response:	That's why the two of you should think this over carefully.
context: If such dangerous people exist, why doesn't anyone know about them?\Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it?\People who are swallowed by that world never return alive.\You were fighting such a scary enemy?\Yes, staking my life on it.\That's why the two of you should think this over carefully. response:	You two, chosen by Kyubei,
context: Witches have always remained hidden and would never reveal themselves to anyone.\The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it?\People who are swallowed by that world never return alive.\You were fighting such a scary enemy?\Yes, staking my life on it.\That's why the two of you should think this over carefully.\You two, chosen by Kyubei, response:	given an opportunity to fulfill any dream, would you be willing to face death at any time?
context: The maze-like structure you were trapped in before is a reality marble.\It was really dangerous, wasn't it?\People who are swallowed by that world never return alive.\You were fighting such a scary enemy?\Yes, staking my life on it.\That's why the two of you should think this over carefully.\You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time? response:	This is a difficult decision, isn't it?
context: It was really dangerous, wasn't it?\People who are swallowed by that world never return alive.\You were fighting such a scary enemy?\Yes, staking my life on it.\That's why the two of you should think this over carefully.\You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it? response:	Therefore, I have an idea.
context: People who are swallowed by that world never return alive.\You were fighting such a scary enemy?\Yes, staking my life on it.\That's why the two of you should think this over carefully.\You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it?\Therefore, I have an idea. response:	Why don't you accompany me in vanquishing Witches for a while?
context: You were fighting such a scary enemy?\Yes, staking my life on it.\That's why the two of you should think this over carefully.\You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it?\Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while? response:	In doing so, you will come to understand what exactly it means to be a Magical Girl.
context: Yes, staking my life on it.\That's why the two of you should think this over carefully.\You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it?\Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl. response:	Use your very own eyes to verify
context: That's why the two of you should think this over carefully.\You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it?\Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify response:	whether your dreams need to be fulfilled at the risk of your life.
context: You two, chosen by Kyubei,\given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it?\Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life. response:	You need to consider this seriously.
context: given an opportunity to fulfill any dream, would you be willing to face death at any time?\This is a difficult decision, isn't it?\Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously. response:	Good morning!
context: This is a difficult decision, isn't it?\Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously.\Good morning! response:	Good morning.
context: Therefore, I have an idea.\Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously.\Good morning!\Good morning. response:	Good morn
context: Why don't you accompany me in vanquishing Witches for a while?\In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously.\Good morning!\Good morning.\Good morn response:	Good morning, Sayaka.
context: In doing so, you will come to understand what exactly it means to be a Magical Girl.\Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously.\Good morning!\Good morning.\Good morn\Good morning, Sayaka. response:	Is something wrong, Sayaka-san?
context: Use your very own eyes to verify\whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously.\Good morning!\Good morning.\Good morn\Good morning, Sayaka.\Is something wrong, Sayaka-san? response:	Is it really true that only we can see this guy?
context: whether your dreams need to be fulfilled at the risk of your life.\You need to consider this seriously.\Good morning!\Good morning.\Good morn\Good morning, Sayaka.\Is something wrong, Sayaka-san?\Is it really true that only we can see this guy? response:	It seems so.
context: You need to consider this seriously.\Good morning!\Good morning.\Good morn\Good morning, Sayaka.\Is something wrong, Sayaka-san?\Is it really true that only we can see this guy?\It seems so. response:	Nothing, let's go, let's go.
context: Good morning!\Good morning.\Good morn\Good morning, Sayaka.\Is something wrong, Sayaka-san?\Is it really true that only we can see this guy?\It seems so.\Nothing, let's go, let's go. response:	It seems that we can communicate with each other if we speak in our mind.
context: Good morning.\Good morn\Good morning, Sayaka.\Is something wrong, Sayaka-san?\Is it really true that only we can see this guy?\It seems so.\Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind. response:	We have magical powers already?
context: Good morn\Good morning, Sayaka.\Is something wrong, Sayaka-san?\Is it really true that only we can see this guy?\It seems so.\Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind.\We have magical powers already? response:	No, no, you're just communicating through me for now.
context: Good morning, Sayaka.\Is something wrong, Sayaka-san?\Is it really true that only we can see this guy?\It seems so.\Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind.\We have magical powers already?\No, no, you're just communicating through me for now. response:	But isn't it convenient to be able to talk secretly?
context: Is something wrong, Sayaka-san?\Is it really true that only we can see this guy?\It seems so.\Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind.\We have magical powers already?\No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly? response:	It feels really weird.
context: Is it really true that only we can see this guy?\It seems so.\Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind.\We have magical powers already?\No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly?\It feels really weird. response:	What's going on between you two?
context: It seems so.\Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind.\We have magical powers already?\No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly?\It feels really weird.\What's going on between you two? response:	You keep staring at each other.
context: Nothing, let's go, let's go.\It seems that we can communicate with each other if we speak in our mind.\We have magical powers already?\No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly?\It feels really weird.\What's going on between you two?\You keep staring at each other. response:	No... this is...
context: It seems that we can communicate with each other if we speak in our mind.\We have magical powers already?\No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly?\It feels really weird.\What's going on between you two?\You keep staring at each other.\No... this is... response:	Don't tell me the two of you...
context: We have magical powers already?\No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly?\It feels really weird.\What's going on between you two?\You keep staring at each other.\No... this is...\Don't tell me the two of you... response:	have already reached the point where you can understand each other with just your eyes.
context: No, no, you're just communicating through me for now.\But isn't it convenient to be able to talk secretly?\It feels really weird.\What's going on between you two?\You keep staring at each other.\No... this is...\Don't tell me the two of you...\have already reached the point where you can understand each other with just your eyes. response:	It's only been a day, and you've already progressed to this point so quickly.
context: But isn't it convenient to be able to talk secretly?\It feels really weird.\What's going on between you two?\You keep staring at each other.\No... this is...\Don't tell me the two of you...\have already reached the point where you can understand each other with just your eyes.\It's only been a day, and you've already progressed to this point so quickly. response:	What exactly happened yesterday?
context: It feels really weird.\What's going on between you two?\You keep staring at each other.\No... this is...\Don't tell me the two of you...\have already reached the point where you can understand each other with just your eyes.\It's only been a day, and you've already progressed to this point so quickly.\What exactly happened yesterday? response:	No matter how you look at it, you're exaggerating.
context: What's going on between you two?\You keep staring at each other.\No... this is...\Don't tell me the two of you...\have already reached the point where you can understand each other with just your eyes.\It's only been a day, and you've already progressed to this point so quickly.\What exactly happened yesterday?\No matter how you look at it, you're exaggerating. response:	Although a lot of things did happen.
context: You keep staring at each other.\No... this is...\Don't tell me the two of you...\have already reached the point where you can understand each other with just your eyes.\It's only been a day, and you've already progressed to this point so quickly.\What exactly happened yesterday?\No matter how you look at it, you're exaggerating.\Although a lot of things did happen. response:	But you two can't.
