context: You are one of the Seafolk, correct? response:	What if I am?
context: Any other class C hero I'd stop\This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE\Those who can walk, leave the shelter now!\I cannot promise I will win.\Run, while I keep him busy!\None of you monkeys will escape me! response:	Lightning Eye!
context: This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE\Those who can walk, leave the shelter now!\I cannot promise I will win.\Run, while I keep him busy!\None of you monkeys will escape me!\Lightning Eye! response:	I can't see
context: Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE\Those who can walk, leave the shelter now!\I cannot promise I will win.\Run, while I keep him busy!\None of you monkeys will escape me!\Lightning Eye!\I can't see response:	Machinegun Blows!
context: UNYIELDING JUSTICE\Those who can walk, leave the shelter now!\I cannot promise I will win.\Run, while I keep him busy!\None of you monkeys will escape me!\Lightning Eye!\I can't see\Machinegun Blows! response:	You do like combo attacks, don't you?
context: Those who can walk, leave the shelter now!\I cannot promise I will win.\Run, while I keep him busy!\None of you monkeys will escape me!\Lightning Eye!\I can't see\Machinegun Blows!\You do like combo attacks, don't you? response:	You can do it!
context: I cannot promise I will win.\Run, while I keep him busy!\None of you monkeys will escape me!\Lightning Eye!\I can't see\Machinegun Blows!\You do like combo attacks, don't you?\You can do it! response:	Quiet!
context: Run, while I keep him busy!\None of you monkeys will escape me!\Lightning Eye!\I can't see\Machinegun Blows!\You do like combo attacks, don't you?\You can do it!\Quiet! response:	Now you melt, girl.
context: None of you monkeys will escape me!\Lightning Eye!\I can't see\Machinegun Blows!\You do like combo attacks, don't you?\You can do it!\Quiet!\Now you melt, girl. response:	If you'd focused on me,
context: Lightning Eye!\I can't see\Machinegun Blows!\You do like combo attacks, don't you?\You can do it!\Quiet!\Now you melt, girl.\If you'd focused on me, response:	you could have easily dodged my little ball of acid.
context: I can't see\Machinegun Blows!\You do like combo attacks, don't you?\You can do it!\Quiet!\Now you melt, girl.\If you'd focused on me,\you could have easily dodged my little ball of acid. response:	Instead, you chose to sacrifice yourself to save a runt.
context: Machinegun Blows!\You do like combo attacks, don't you?\You can do it!\Quiet!\Now you melt, girl.\If you'd focused on me,\you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt. response:	You're a fool, but I give you credit for giving me a few scratches.
context: You do like combo attacks, don't you?\You can do it!\Quiet!\Now you melt, girl.\If you'd focused on me,\you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches. response:	Of course, they've already healed.
context: You can do it!\Quiet!\Now you melt, girl.\If you'd focused on me,\you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed. response:	Now, die.
context: Quiet!\Now you melt, girl.\If you'd focused on me,\you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed.\Now, die. response:	Justice Crash!!
context: Now you melt, girl.\If you'd focused on me,\you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed.\Now, die.\Justice Crash!! response:	The Cyclist for Justice, Mumen Rider is here!
context: If you'd focused on me,\you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed.\Now, die.\Justice Crash!!\The Cyclist for Justice, Mumen Rider is here! response:	The top hero in Class C?
context: you could have easily dodged my little ball of acid.\Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed.\Now, die.\Justice Crash!!\The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C? response:	D-Don't
context: Instead, you chose to sacrifice yourself to save a runt.\You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed.\Now, die.\Justice Crash!!\The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C?\D-Don't response:	It's Mumen Rider!
context: You're a fool, but I give you credit for giving me a few scratches.\Of course, they've already healed.\Now, die.\Justice Crash!!\The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C?\D-Don't\It's Mumen Rider! response:	Mumen Rider came for us.
context: Of course, they've already healed.\Now, die.\Justice Crash!!\The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C?\D-Don't\It's Mumen Rider!\Mumen Rider came for us. response:	But he
context: Now, die.\Justice Crash!!\The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C?\D-Don't\It's Mumen Rider!\Mumen Rider came for us.\But he response:	I'm bored already.
context: Justice Crash!!\The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C?\D-Don't\It's Mumen Rider!\Mumen Rider came for us.\But he\I'm bored already. response:	Oh, my apologies. I nearly forgot to kill you.
context: The Cyclist for Justice, Mumen Rider is here!\The top hero in Class C?\D-Don't\It's Mumen Rider!\Mumen Rider came for us.\But he\I'm bored already.\Oh, my apologies. I nearly forgot to kill you. response:	Justice Tackle
context: The top hero in Class C?\D-Don't\It's Mumen Rider!\Mumen Rider came for us.\But he\I'm bored already.\Oh, my apologies. I nearly forgot to kill you.\Justice Tackle response:	No one expects much
context: D-Don't\It's Mumen Rider!\Mumen Rider came for us.\But he\I'm bored already.\Oh, my apologies. I nearly forgot to kill you.\Justice Tackle\No one expects much response:	from me.
context: It's Mumen Rider!\Mumen Rider came for us.\But he\I'm bored already.\Oh, my apologies. I nearly forgot to kill you.\Justice Tackle\No one expects much\from me. response:	They think a Class C hero won't be much help.
context: Mumen Rider came for us.\But he\I'm bored already.\Oh, my apologies. I nearly forgot to kill you.\Justice Tackle\No one expects much\from me.\They think a Class C hero won't be much help. response:	I know that better than anyone!
context: But he\I'm bored already.\Oh, my apologies. I nearly forgot to kill you.\Justice Tackle\No one expects much\from me.\They think a Class C hero won't be much help.\I know that better than anyone! response:	I'm not good enough for Class B.
context: I'm bored already.\Oh, my apologies. I nearly forgot to kill you.\Justice Tackle\No one expects much\from me.\They think a Class C hero won't be much help.\I know that better than anyone!\I'm not good enough for Class B. response:	I'm weak. I know that much.
context: Oh, my apologies. I nearly forgot to kill you.\Justice Tackle\No one expects much\from me.\They think a Class C hero won't be much help.\I know that better than anyone!\I'm not good enough for Class B.\I'm weak. I know that much. response:	No one has to tell me I have no chance of beating you.
context: Justice Tackle\No one expects much\from me.\They think a Class C hero won't be much help.\I know that better than anyone!\I'm not good enough for Class B.\I'm weak. I know that much.\No one has to tell me I have no chance of beating you. response:	I alreadyknow that!
context: No one expects much\from me.\They think a Class C hero won't be much help.\I know that better than anyone!\I'm not good enough for Class B.\I'm weak. I know that much.\No one has to tell me I have no chance of beating you.\I alreadyknow that! response:	What are you babbling about? Begging for your life?
context: from me.\They think a Class C hero won't be much help.\I know that better than anyone!\I'm not good enough for Class B.\I'm weak. I know that much.\No one has to tell me I have no chance of beating you.\I alreadyknow that!\What are you babbling about? Begging for your life? response:	And yet, I must try.
context: They think a Class C hero won't be much help.\I know that better than anyone!\I'm not good enough for Class B.\I'm weak. I know that much.\No one has to tell me I have no chance of beating you.\I alreadyknow that!\What are you babbling about? Begging for your life?\And yet, I must try. response:	It's not about winning or losing!
context: I know that better than anyone!\I'm not good enough for Class B.\I'm weak. I know that much.\No one has to tell me I have no chance of beating you.\I alreadyknow that!\What are you babbling about? Begging for your life?\And yet, I must try.\It's not about winning or losing! response:	It's about me taking you on right here, right now!
context: I'm not good enough for Class B.\I'm weak. I know that much.\No one has to tell me I have no chance of beating you.\I alreadyknow that!\What are you babbling about? Begging for your life?\And yet, I must try.\It's not about winning or losing!\It's about me taking you on right here, right now! response:	Enough of your rambling. Time to finish you off.
context: I'm weak. I know that much.\No one has to tell me I have no chance of beating you.\I alreadyknow that!\What are you babbling about? Begging for your life?\And yet, I must try.\It's not about winning or losing!\It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off. response:	You can do it!
context: No one has to tell me I have no chance of beating you.\I alreadyknow that!\What are you babbling about? Begging for your life?\And yet, I must try.\It's not about winning or losing!\It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off.\You can do it! response:	Mumen Rider, you can do it!
context: I alreadyknow that!\What are you babbling about? Begging for your life?\And yet, I must try.\It's not about winning or losing!\It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off.\You can do it!\Mumen Rider, you can do it! response:	You're the Cyclist for Justice!
context: What are you babbling about? Begging for your life?\And yet, I must try.\It's not about winning or losing!\It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off.\You can do it!\Mumen Rider, you can do it!\You're the Cyclist for Justice! response:	Beat that weird monster, beat him!
context: And yet, I must try.\It's not about winning or losing!\It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off.\You can do it!\Mumen Rider, you can do it!\You're the Cyclist for Justice!\Beat that weird monster, beat him! response:	You can do it!
context: It's not about winning or losing!\It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off.\You can do it!\Mumen Rider, you can do it!\You're the Cyclist for Justice!\Beat that weird monster, beat him!\You can do it! response:	Yeah, get him!
context: It's about me taking you on right here, right now!\Enough of your rambling. Time to finish you off.\You can do it!\Mumen Rider, you can do it!\You're the Cyclist for Justice!\Beat that weird monster, beat him!\You can do it!\Yeah, get him! response:	Beat him up!
context: Enough of your rambling. Time to finish you off.\You can do it!\Mumen Rider, you can do it!\You're the Cyclist for Justice!\Beat that weird monster, beat him!\You can do it!\Yeah, get him!\Beat him up! response:	We're counting on you, Mumen Rider.
context: You can do it!\Mumen Rider, you can do it!\You're the Cyclist for Justice!\Beat that weird monster, beat him!\You can do it!\Yeah, get him!\Beat him up!\We're counting on you, Mumen Rider. response:	You can do it! Beat him!
context: Mumen Rider, you can do it!\You're the Cyclist for Justice!\Beat that weird monster, beat him!\You can do it!\Yeah, get him!\Beat him up!\We're counting on you, Mumen Rider.\You can do it! Beat him! response:	Good luck!
context: You're the Cyclist for Justice!\Beat that weird monster, beat him!\You can do it!\Yeah, get him!\Beat him up!\We're counting on you, Mumen Rider.\You can do it! Beat him!\Good luck! response:	I think not!
context: Beat that weird monster, beat him!\You can do it!\Yeah, get him!\Beat him up!\We're counting on you, Mumen Rider.\You can do it! Beat him!\Good luck!\I think not! response:	You did fine. Nice fight.
context: You can do it!\Yeah, get him!\Beat him up!\We're counting on you, Mumen Rider.\You can do it! Beat him!\Good luck!\I think not!\You did fine. Nice fight. response:	Yet another piece of garbage washed up on my shore?
context: Yeah, get him!\Beat him up!\We're counting on you, Mumen Rider.\You can do it! Beat him!\Good luck!\I think not!\You did fine. Nice fight.\Yet another piece of garbage washed up on my shore? response:	H-Hey, Genos!
context: Beat him up!\We're counting on you, Mumen Rider.\You can do it! Beat him!\Good luck!\I think not!\You did fine. Nice fight.\Yet another piece of garbage washed up on my shore?\H-Hey, Genos! response:	Are you still alive?!
context: We're counting on you, Mumen Rider.\You can do it! Beat him!\Good luck!\I think not!\You did fine. Nice fight.\Yet another piece of garbage washed up on my shore?\H-Hey, Genos!\Are you still alive?! response:	Master
context: You can do it! Beat him!\Good luck!\I think not!\You did fine. Nice fight.\Yet another piece of garbage washed up on my shore?\H-Hey, Genos!\Are you still alive?!\Master response:	Hang on for a second.
context: Good luck!\I think not!\You did fine. Nice fight.\Yet another piece of garbage washed up on my shore?\H-Hey, Genos!\Are you still alive?!\Master\Hang on for a second. response:	I've gotta pound this Seafreak or whatever it's called.
context: I think not!\You did fine. Nice fight.\Yet another piece of garbage washed up on my shore?\H-Hey, Genos!\Are you still alive?!\Master\Hang on for a second.\I've gotta pound this Seafreak or whatever it's called. response:	I heard that!
context: You did fine. Nice fight.\Yet another piece of garbage washed up on my shore?\H-Hey, Genos!\Are you still alive?!\Master\Hang on for a second.\I've gotta pound this Seafreak or whatever it's called.\I heard that! response:	Impressive. You're still on your feet after one of my punches.
context: Yet another piece of garbage washed up on my shore?\H-Hey, Genos!\Are you still alive?!\Master\Hang on for a second.\I've gotta pound this Seafreak or whatever it's called.\I heard that!\Impressive. You're still on your feet after one of my punches. response:	Clearly you're different from the rest of this trash.
context: H-Hey, Genos!\Are you still alive?!\Master\Hang on for a second.\I've gotta pound this Seafreak or whatever it's called.\I heard that!\Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash. response:	Huh? Your punch was too weak, that's all.
context: Are you still alive?!\Master\Hang on for a second.\I've gotta pound this Seafreak or whatever it's called.\I heard that!\Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all. response:	Hey, someone else is over there. Who is that? A hero?
context: Master\Hang on for a second.\I've gotta pound this Seafreak or whatever it's called.\I heard that!\Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero? response:	That head
context: Hang on for a second.\I've gotta pound this Seafreak or whatever it's called.\I heard that!\Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero?\That head response:	I remember it from the Hero Registry.
context: I've gotta pound this Seafreak or whatever it's called.\I heard that!\Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero?\That head\I remember it from the Hero Registry. response:	I know him! He's a Class C rookie.
context: I heard that!\Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero?\That head\I remember it from the Hero Registry.\I know him! He's a Class C rookie. response:	I think he's Rank 2.
context: Impressive. You're still on your feet after one of my punches.\Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero?\That head\I remember it from the Hero Registry.\I know him! He's a Class C rookie.\I think he's Rank 2. response:	Class C?
context: Clearly you're different from the rest of this trash.\Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero?\That head\I remember it from the Hero Registry.\I know him! He's a Class C rookie.\I think he's Rank 2.\Class C? response:	So we're still gonna get killed
context: Huh? Your punch was too weak, that's all.\Hey, someone else is over there. Who is that? A hero?\That head\I remember it from the Hero Registry.\I know him! He's a Class C rookie.\I think he's Rank 2.\Class C?\So we're still gonna get killed response:	But that punch didn't hurt him at all.
context: Hey, someone else is over there. Who is that? A hero?\That head\I remember it from the Hero Registry.\I know him! He's a Class C rookie.\I think he's Rank 2.\Class C?\So we're still gonna get killed\But that punch didn't hurt him at all. response:	That's your imagination.
context: That head\I remember it from the Hero Registry.\I know him! He's a Class C rookie.\I think he's Rank 2.\Class C?\So we're still gonna get killed\But that punch didn't hurt him at all.\That's your imagination. response:	You saw how many heroes were blown away
context: I remember it from the Hero Registry.\I know him! He's a Class C rookie.\I think he's Rank 2.\Class C?\So we're still gonna get killed\But that punch didn't hurt him at all.\That's your imagination.\You saw how many heroes were blown away response:	by that thing's punches, right?
context: I know him! He's a Class C rookie.\I think he's Rank 2.\Class C?\So we're still gonna get killed\But that punch didn't hurt him at all.\That's your imagination.\You saw how many heroes were blown away\by that thing's punches, right? response:	I am the King of the Deep, Lord of the Seas.
context: I think he's Rank 2.\Class C?\So we're still gonna get killed\But that punch didn't hurt him at all.\That's your imagination.\You saw how many heroes were blown away\by that thing's punches, right?\I am the King of the Deep, Lord of the Seas. response:	All life on Earth comes from the sea, as if she were our mother.
context: Class C?\So we're still gonna get killed\But that punch didn't hurt him at all.\That's your imagination.\You saw how many heroes were blown away\by that thing's punches, right?\I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother. response:	In other words, as ruler of the seas,
context: So we're still gonna get killed\But that punch didn't hurt him at all.\That's your imagination.\You saw how many heroes were blown away\by that thing's punches, right?\I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas, response:	I am the pinnacle of a pyramid
context: But that punch didn't hurt him at all.\That's your imagination.\You saw how many heroes were blown away\by that thing's punches, right?\I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas,\I am the pinnacle of a pyramid response:	that includes every living organism on this world!
context: That's your imagination.\You saw how many heroes were blown away\by that thing's punches, right?\I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas,\I am the pinnacle of a pyramid\that includes every living organism on this world! response:	To defy me, means Yeah, yeah, I got it.
context: You saw how many heroes were blown away\by that thing's punches, right?\I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas,\I am the pinnacle of a pyramid\that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it. response:	It's raining out, so let's do this.
context: by that thing's punches, right?\I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas,\I am the pinnacle of a pyramid\that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this. response:	Whaattt!!
context: I am the King of the Deep, Lord of the Seas.\All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas,\I am the pinnacle of a pyramid\that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this.\Whaattt!! response:	Awesome!
context: All life on Earth comes from the sea, as if she were our mother.\In other words, as ruler of the seas,\I am the pinnacle of a pyramid\that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this.\Whaattt!!\Awesome! response:	That was amazing!
context: In other words, as ruler of the seas,\I am the pinnacle of a pyramid\that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this.\Whaattt!!\Awesome!\That was amazing! response:	Thank goodness! He did it!
context: I am the pinnacle of a pyramid\that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this.\Whaattt!!\Awesome!\That was amazing!\Thank goodness! He did it! response:	Well that was lame. I kinda had my hopes up, too.
context: that includes every living organism on this world!\To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this.\Whaattt!!\Awesome!\That was amazing!\Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too. response:	I'm back with my weapons.
context: To defy me, means Yeah, yeah, I got it.\It's raining out, so let's do this.\Whaattt!!\Awesome!\That was amazing!\Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons. response:	But damn you, Deep Sea King. You got away.
context: It's raining out, so let's do this.\Whaattt!!\Awesome!\That was amazing!\Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons.\But damn you, Deep Sea King. You got away. response:	Hey, what's that?
context: Whaattt!!\Awesome!\That was amazing!\Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons.\But damn you, Deep Sea King. You got away.\Hey, what's that? response:	It is the mail.
context: Awesome!\That was amazing!\Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons.\But damn you, Deep Sea King. You got away.\Hey, what's that?\It is the mail. response:	The post office cannot come here, so the drone now delivers the mail.
context: That was amazing!\Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons.\But damn you, Deep Sea King. You got away.\Hey, what's that?\It is the mail.\The post office cannot come here, so the drone now delivers the mail. response:	The post office's drone?
context: Thank goodness! He did it!\Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons.\But damn you, Deep Sea King. You got away.\Hey, what's that?\It is the mail.\The post office cannot come here, so the drone now delivers the mail.\The post office's drone? response:	No, it belongs to the Hero Association.
context: Well that was lame. I kinda had my hopes up, too.\I'm back with my weapons.\But damn you, Deep Sea King. You got away.\Hey, what's that?\It is the mail.\The post office cannot come here, so the drone now delivers the mail.\The post office's drone?\No, it belongs to the Hero Association. response:	I see.
context: I'm back with my weapons.\But damn you, Deep Sea King. You got away.\Hey, what's that?\It is the mail.\The post office cannot come here, so the drone now delivers the mail.\The post office's drone?\No, it belongs to the Hero Association.\I see. response:	The public sends these to the heroes, much like fan letters.
context: But damn you, Deep Sea King. You got away.\Hey, what's that?\It is the mail.\The post office cannot come here, so the drone now delivers the mail.\The post office's drone?\No, it belongs to the Hero Association.\I see.\The public sends these to the heroes, much like fan letters. response:	Seriously? Are there any for me?
context: Hey, what's that?\It is the mail.\The post office cannot come here, so the drone now delivers the mail.\The post office's drone?\No, it belongs to the Hero Association.\I see.\The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me? response:	TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!
context: It is the mail.\The post office cannot come here, so the drone now delivers the mail.\The post office's drone?\No, it belongs to the Hero Association.\I see.\The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them! response:	MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!
context: The post office cannot come here, so the drone now delivers the mail.\The post office's drone?\No, it belongs to the Hero Association.\I see.\The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU! response:	NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD.
context: The post office's drone?\No, it belongs to the Hero Association.\I see.\The public sends these to the heroes, much like fan letters.\Seriously? Are there any for me?\TO C CLASS HERO SAITAMA There are. Oh! Let's go in and open them!\MR. GENOS, I'VE BEEN A HUGE FAN OF YOURS SINCE I FIRST LAID EYES ON YOU! I THINK YOU ARE A TRUE HERO. I EVEN JOINED YOUR FAN CLUB! I'M JUST CRAZY ABOUT YOU!\NO ONE CARES ABOUT YOU, YOU COWARDLY, CHEATING BASTARD. response:	Damn it I'll find out who sent it.
