context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting response:	Danger Prophecy Emergency Countermeasures Team Explanation Meeting
context: Let's find out who's the strongest.\That's why I came here.\Don't. This is nonsense.\Nonsense?\I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed response:	and have myself a massacre party.
context: That's why I came here.\Don't. This is nonsense.\Nonsense?\I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed\and have myself a massacre party. response:	I'm very sorry to bother you three, but it's time to work.
context: Don't. This is nonsense.\Nonsense?\I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed\and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work. response:	Show him the door.
context: Nonsense?\I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed\and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work.\Show him the door. response:	With pleasure.
context: I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed\and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work.\Show him the door.\With pleasure. response:	Come on, old man. Are you sure you hit me with conviction?
context: Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed\and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work.\Show him the door.\With pleasure.\Come on, old man. Are you sure you hit me with conviction? response:	You don't actually need that if you're strong, though.
context: Welp, I've made up my mind. Cowards need to be punished.\I'm about to commit an evil deed\and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work.\Show him the door.\With pleasure.\Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though. response:	Moron!
context: I'm about to commit an evil deed\and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work.\Show him the door.\With pleasure.\Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though.\Moron! response:	Not bad!
context: and have myself a massacre party.\I'm very sorry to bother you three, but it's time to work.\Show him the door.\With pleasure.\Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though.\Moron!\Not bad! response:	Great job! Kick their asses even more!
context: I'm very sorry to bother you three, but it's time to work.\Show him the door.\With pleasure.\Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though.\Moron!\Not bad!\Great job! Kick their asses even more! response:	Huh? What the hell are you riffraff talking about?
context: Show him the door.\With pleasure.\Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though.\Moron!\Not bad!\Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about? response:	You're all going to die, too.
context: With pleasure.\Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though.\Moron!\Not bad!\Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about?\You're all going to die, too. response:	What'd you say?!
context: Come on, old man. Are you sure you hit me with conviction?\You don't actually need that if you're strong, though.\Moron!\Not bad!\Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about?\You're all going to die, too.\What'd you say?! response:	You're one of us, too!
context: You don't actually need that if you're strong, though.\Moron!\Not bad!\Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about?\You're all going to die, too.\What'd you say?!\You're one of us, too! response:	You're wrong. Heroes always arrive late, but monsters are always first to the party.
context: Moron!\Not bad!\Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about?\You're all going to die, too.\What'd you say?!\You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party. response:	They show up out of the blue for no reason.
context: Not bad!\Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about?\You're all going to die, too.\What'd you say?!\You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason. response:	Listen up. You're all on the human side.
context: Great job! Kick their asses even more!\Huh? What the hell are you riffraff talking about?\You're all going to die, too.\What'd you say?!\You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason.\Listen up. You're all on the human side. response:	I'm on the monster side.
context: Huh? What the hell are you riffraff talking about?\You're all going to die, too.\What'd you say?!\You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason.\Listen up. You're all on the human side.\I'm on the monster side. response:	A human calling himself a monster? You pathetic fool.
context: You're all going to die, too.\What'd you say?!\You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason.\Listen up. You're all on the human side.\I'm on the monster side.\A human calling himself a monster? You pathetic fool. response:	I'll send you to a fiery grave!
context: What'd you say?!\You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason.\Listen up. You're all on the human side.\I'm on the monster side.\A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave! response:	I do enjoy little tricks like this,
context: You're one of us, too!\You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason.\Listen up. You're all on the human side.\I'm on the monster side.\A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave!\I do enjoy little tricks like this, response:	but it's a bit embarrassing when you know how they work.
context: You're wrong. Heroes always arrive late, but monsters are always first to the party.\They show up out of the blue for no reason.\Listen up. You're all on the human side.\I'm on the monster side.\A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave!\I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work. response:	That bastard...
context: They show up out of the blue for no reason.\Listen up. You're all on the human side.\I'm on the monster side.\A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave!\I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work.\That bastard... response:	Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.
context: Listen up. You're all on the human side.\I'm on the monster side.\A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave!\I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work.\That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters. response:	Send all the heroes currently in HQ at once. All of them!
context: I'm on the monster side.\A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave!\I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work.\That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them! response:	Taking on a group of Class S heroes would sorta suck right now.
context: A human calling himself a monster? You pathetic fool.\I'll send you to a fiery grave!\I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work.\That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now. response:	Then again, I think this will suffice for the debut show of the monster Garo.
context: I'll send you to a fiery grave!\I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work.\That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo. response:	You can consider this a declaration of war.
context: I do enjoy little tricks like this,\but it's a bit embarrassing when you know how they work.\That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war. response:	I'll return in six months, even stronger.
context: but it's a bit embarrassing when you know how they work.\That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war.\I'll return in six months, even stronger. response:	See ya.
context: That bastard...\Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war.\I'll return in six months, even stronger.\See ya. response:	You know what you have to do?
context: Yes. The multi-purpose hall on floor 7 of the central tower of Headquarters.\Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war.\I'll return in six months, even stronger.\See ya.\You know what you have to do? response:	Yes, ma'am!
context: Send all the heroes currently in HQ at once. All of them!\Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war.\I'll return in six months, even stronger.\See ya.\You know what you have to do?\Yes, ma'am! response:	Class B Rank 2 Eyelashes
context: Taking on a group of Class S heroes would sorta suck right now.\Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war.\I'll return in six months, even stronger.\See ya.\You know what you have to do?\Yes, ma'am!\Class B Rank 2 Eyelashes response:	Class B Rank 3 Wild Monkey
context: Then again, I think this will suffice for the debut show of the monster Garo.\You can consider this a declaration of war.\I'll return in six months, even stronger.\See ya.\You know what you have to do?\Yes, ma'am!\Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey response:	What are we going to do if he cops an attitude?
context: You can consider this a declaration of war.\I'll return in six months, even stronger.\See ya.\You know what you have to do?\Yes, ma'am!\Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude? response:	We'll make sure he can never cop an attitude again!
context: I'll return in six months, even stronger.\See ya.\You know what you have to do?\Yes, ma'am!\Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again! response:	Very good.
context: See ya.\You know what you have to do?\Yes, ma'am!\Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again!\Very good. response:	Yes, Lady Blizzard!
context: You know what you have to do?\Yes, ma'am!\Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again!\Very good.\Yes, Lady Blizzard! response:	Human Monster
context: Yes, ma'am!\Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again!\Very good.\Yes, Lady Blizzard!\Human Monster response:	Your rank has increased to Class B Rank 7, Master Saitama.
context: Class B Rank 2 Eyelashes\Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again!\Very good.\Yes, Lady Blizzard!\Human Monster\Your rank has increased to Class B Rank 7, Master Saitama. response:	I've increased to Class S Rank 14.
context: Class B Rank 3 Wild Monkey\What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again!\Very good.\Yes, Lady Blizzard!\Human Monster\Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14. response:	All I'm doing is pummeling monsters I stumble across.
context: What are we going to do if he cops an attitude?\We'll make sure he can never cop an attitude again!\Very good.\Yes, Lady Blizzard!\Human Monster\Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across. response:	I've gone up that much?
context: We'll make sure he can never cop an attitude again!\Very good.\Yes, Lady Blizzard!\Human Monster\Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across.\I've gone up that much? response:	Well, monsters are appearing on a daily basis now.
context: Very good.\Yes, Lady Blizzard!\Human Monster\Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across.\I've gone up that much?\Well, monsters are appearing on a daily basis now. response:	Even though you defeat monsters, you aren't reporting them to the Hero Association.
context: Yes, Lady Blizzard!\Human Monster\Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across.\I've gone up that much?\Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association. response:	Your rank is still increasing, though, so that must mean
context: Human Monster\Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across.\I've gone up that much?\Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean response:	there are witnesses reporting your victories to the association.
context: Your rank has increased to Class B Rank 7, Master Saitama.\I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across.\I've gone up that much?\Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association. response:	That means you're becoming more recognized as a hero among the masses.
context: I've increased to Class S Rank 14.\All I'm doing is pummeling monsters I stumble across.\I've gone up that much?\Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses. response:	I think you might even have a fan club soon, Master Saitama.
context: All I'm doing is pummeling monsters I stumble across.\I've gone up that much?\Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama. response:	Yeah, right. You're Class S, and you don't have a fan club.
context: I've gone up that much?\Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club. response:	Actually, I do have a fan club.
context: Well, monsters are appearing on a daily basis now.\Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club. response:	Seriously?
context: Even though you defeat monsters, you aren't reporting them to the Hero Association.\Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club.\Seriously? response:	I detect something approaching.
context: Your rank is still increasing, though, so that must mean\there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club.\Seriously?\I detect something approaching. response:	Humans can't move that fast. Is it a monster?
context: there are witnesses reporting your victories to the association.\That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club.\Seriously?\I detect something approaching.\Humans can't move that fast. Is it a monster? response:	Oh, hey. An item.
context: That means you're becoming more recognized as a hero among the masses.\I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club.\Seriously?\I detect something approaching.\Humans can't move that fast. Is it a monster?\Oh, hey. An item. response:	Master seems a bit busy, so I'll go fight it.
context: I think you might even have a fan club soon, Master Saitama.\Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club.\Seriously?\I detect something approaching.\Humans can't move that fast. Is it a monster?\Oh, hey. An item.\Master seems a bit busy, so I'll go fight it. response:	This will be the perfect opportunity to test out my new parts.
context: Yeah, right. You're Class S, and you don't have a fan club.\Actually, I do have a fan club.\Seriously?\I detect something approaching.\Humans can't move that fast. Is it a monster?\Oh, hey. An item.\Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts. response:	Show yourself.
context: Actually, I do have a fan club.\Seriously?\I detect something approaching.\Humans can't move that fast. Is it a monster?\Oh, hey. An item.\Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts.\Show yourself. response:	A human?
context: Seriously?\I detect something approaching.\Humans can't move that fast. Is it a monster?\Oh, hey. An item.\Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts.\Show yourself.\A human? response:	What do you want?
context: I detect something approaching.\Humans can't move that fast. Is it a monster?\Oh, hey. An item.\Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts.\Show yourself.\A human?\What do you want? response:	Tell Saitama to get out here. I know he lives here.
context: Humans can't move that fast. Is it a monster?\Oh, hey. An item.\Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts.\Show yourself.\A human?\What do you want?\Tell Saitama to get out here. I know he lives here. response:	Are you an acquaintance of Master Saitama's?
context: Oh, hey. An item.\Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts.\Show yourself.\A human?\What do you want?\Tell Saitama to get out here. I know he lives here.\Are you an acquaintance of Master Saitama's? response:	I've run into you before.
context: Master seems a bit busy, so I'll go fight it.\This will be the perfect opportunity to test out my new parts.\Show yourself.\A human?\What do you want?\Tell Saitama to get out here. I know he lives here.\Are you an acquaintance of Master Saitama's?\I've run into you before. response:	I'm Speed-o'-Sound Sonic. I'm Saitama's rival.
context: This will be the perfect opportunity to test out my new parts.\Show yourself.\A human?\What do you want?\Tell Saitama to get out here. I know he lives here.\Are you an acquaintance of Master Saitama's?\I've run into you before.\I'm Speed-o'-Sound Sonic. I'm Saitama's rival. response:	I've come here today to settle the score. If you understand, then stand aside.
context: Show yourself.\A human?\What do you want?\Tell Saitama to get out here. I know he lives here.\Are you an acquaintance of Master Saitama's?\I've run into you before.\I'm Speed-o'-Sound Sonic. I'm Saitama's rival.\I've come here today to settle the score. If you understand, then stand aside. response:	Speed-o'-Sound Sonic? So it's you, you freak.
context: A human?\What do you want?\Tell Saitama to get out here. I know he lives here.\Are you an acquaintance of Master Saitama's?\I've run into you before.\I'm Speed-o'-Sound Sonic. I'm Saitama's rival.\I've come here today to settle the score. If you understand, then stand aside.\Speed-o'-Sound Sonic? So it's you, you freak. response:	You have the nerve to claim that you're Master's rival?
