context: THE OBSESSIVE SCIENTIST response:	Long ago, there existed a brilliant young scientist.
context: have no right to pass on their genes!\Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth.\Next, he began cloning himself.\He named his laboratory the House of Evolution, response:	and together with his clones
context: Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth.\Next, he began cloning himself.\He named his laboratory the House of Evolution,\and together with his clones response:	he conducted countless experiments with animals to create new species.
context: I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth.\Next, he began cloning himself.\He named his laboratory the House of Evolution,\and together with his clones\he conducted countless experiments with animals to create new species. response:	Eventually, his experiments shifted to human subjects
context: Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth.\Next, he began cloning himself.\He named his laboratory the House of Evolution,\and together with his clones\he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects response:	This is taking too long!
context: It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth.\Next, he began cloning himself.\He named his laboratory the House of Evolution,\and together with his clones\he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects\This is taking too long! response:	Huh?
context: First, the scientist regained his youth.\Next, he began cloning himself.\He named his laboratory the House of Evolution,\and together with his clones\he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects\This is taking too long!\Huh? response:	What's this got to do with me? You're just trying to act cool again.
context: Next, he began cloning himself.\He named his laboratory the House of Evolution,\and together with his clones\he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects\This is taking too long!\Huh?\What's this got to do with me? You're just trying to act cool again. response:	Just get to the point, okay?
context: He named his laboratory the House of Evolution,\and together with his clones\he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects\This is taking too long!\Huh?\What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay? response:	My master is a busy man. Summarize it in 20 words or less.
context: and together with his clones\he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects\This is taking too long!\Huh?\What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less. response:	I-I'm sorry.
context: he conducted countless experiments with animals to create new species.\Eventually, his experiments shifted to human subjects\This is taking too long!\Huh?\What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry. response:	So, in other words, my boss has become very curious about your body.
context: Eventually, his experiments shifted to human subjects\This is taking too long!\Huh?\What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry.\So, in other words, my boss has become very curious about your body. response:	I'm not interested in dudes.
context: This is taking too long!\Huh?\What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry.\So, in other words, my boss has become very curious about your body.\I'm not interested in dudes. response:	I think you misunderstood, Master.
context: Huh?\What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry.\So, in other words, my boss has become very curious about your body.\I'm not interested in dudes.\I think you misunderstood, Master. response:	He plans to use your body, which surpasses normal human limitations,
context: What's this got to do with me? You're just trying to act cool again.\Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry.\So, in other words, my boss has become very curious about your body.\I'm not interested in dudes.\I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations, response:	for his research on evolution.
context: Just get to the point, okay?\My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry.\So, in other words, my boss has become very curious about your body.\I'm not interested in dudes.\I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations,\for his research on evolution. response:	If we don't do something, I'm sure he'll try again.
context: My master is a busy man. Summarize it in 20 words or less.\I-I'm sorry.\So, in other words, my boss has become very curious about your body.\I'm not interested in dudes.\I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations,\for his research on evolution.\If we don't do something, I'm sure he'll try again. response:	We cannot allow him a free hand.
context: I-I'm sorry.\So, in other words, my boss has become very curious about your body.\I'm not interested in dudes.\I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations,\for his research on evolution.\If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand. response:	Our move should be to attack him.
context: So, in other words, my boss has become very curious about your body.\I'm not interested in dudes.\I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations,\for his research on evolution.\If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand.\Our move should be to attack him. response:	Sure, let's go.
context: I'm not interested in dudes.\I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations,\for his research on evolution.\If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand.\Our move should be to attack him.\Sure, let's go. response:	Okay.
context: I think you misunderstood, Master.\He plans to use your body, which surpasses normal human limitations,\for his research on evolution.\If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand.\Our move should be to attack him.\Sure, let's go.\Okay. response:	Huh?
context: He plans to use your body, which surpasses normal human limitations,\for his research on evolution.\If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand.\Our move should be to attack him.\Sure, let's go.\Okay.\Huh? response:	Now?!
context: for his research on evolution.\If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand.\Our move should be to attack him.\Sure, let's go.\Okay.\Huh?\Now?! response:	Yeah, there's a sale on tomorrow. Can't do it then.
context: If we don't do something, I'm sure he'll try again.\We cannot allow him a free hand.\Our move should be to attack him.\Sure, let's go.\Okay.\Huh?\Now?!\Yeah, there's a sale on tomorrow. Can't do it then. response:	Master!
context: We cannot allow him a free hand.\Our move should be to attack him.\Sure, let's go.\Okay.\Huh?\Now?!\Yeah, there's a sale on tomorrow. Can't do it then.\Master! response:	This doesn't sound good. Better tell the Doctor.
context: Our move should be to attack him.\Sure, let's go.\Okay.\Huh?\Now?!\Yeah, there's a sale on tomorrow. Can't do it then.\Master!\This doesn't sound good. Better tell the Doctor. response:	Hey, you.
context: Sure, let's go.\Okay.\Huh?\Now?!\Yeah, there's a sale on tomorrow. Can't do it then.\Master!\This doesn't sound good. Better tell the Doctor.\Hey, you. response:	Oh. Yes?
context: Okay.\Huh?\Now?!\Yeah, there's a sale on tomorrow. Can't do it then.\Master!\This doesn't sound good. Better tell the Doctor.\Hey, you.\Oh. Yes? response:	I have one last question.
context: Huh?\Now?!\Yeah, there's a sale on tomorrow. Can't do it then.\Master!\This doesn't sound good. Better tell the Doctor.\Hey, you.\Oh. Yes?\I have one last question. response:	Was the House of Evolution developing cyborgs prior to four years ago?
context: Now?!\Yeah, there's a sale on tomorrow. Can't do it then.\Master!\This doesn't sound good. Better tell the Doctor.\Hey, you.\Oh. Yes?\I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago? response:	How many more cyborgs are there?
context: Yeah, there's a sale on tomorrow. Can't do it then.\Master!\This doesn't sound good. Better tell the Doctor.\Hey, you.\Oh. Yes?\I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there? response:	Have any of them destroyed towns in the past?
context: Master!\This doesn't sound good. Better tell the Doctor.\Hey, you.\Oh. Yes?\I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there?\Have any of them destroyed towns in the past? response:	I'm not sure,
context: This doesn't sound good. Better tell the Doctor.\Hey, you.\Oh. Yes?\I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there?\Have any of them destroyed towns in the past?\I'm not sure, response:	but at the House of Evolution, I'm the only combat cyborg.
context: Hey, you.\Oh. Yes?\I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there?\Have any of them destroyed towns in the past?\I'm not sure,\but at the House of Evolution, I'm the only combat cyborg. response:	Impossible!
context: Oh. Yes?\I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there?\Have any of them destroyed towns in the past?\I'm not sure,\but at the House of Evolution, I'm the only combat cyborg.\Impossible! response:	Our elite force, formed for the extermination of these obsolete humans, wiped out?!
context: I have one last question.\Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there?\Have any of them destroyed towns in the past?\I'm not sure,\but at the House of Evolution, I'm the only combat cyborg.\Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?! response:	According to Armored Gorilla's report, the two responsible are on their way here.
context: Was the House of Evolution developing cyborgs prior to four years ago?\How many more cyborgs are there?\Have any of them destroyed towns in the past?\I'm not sure,\but at the House of Evolution, I'm the only combat cyborg.\Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here. response:	If they come,
context: How many more cyborgs are there?\Have any of them destroyed towns in the past?\I'm not sure,\but at the House of Evolution, I'm the only combat cyborg.\Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here.\If they come, response:	all our research, everything we've been working on, could be destroyed.
context: Have any of them destroyed towns in the past?\I'm not sure,\but at the House of Evolution, I'm the only combat cyborg.\Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here.\If they come,\all our research, everything we've been working on, could be destroyed. response:	This is a serious matter.
context: I'm not sure,\but at the House of Evolution, I'm the only combat cyborg.\Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here.\If they come,\all our research, everything we've been working on, could be destroyed.\This is a serious matter. response:	The only option is to use our trump card.
context: but at the House of Evolution, I'm the only combat cyborg.\Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here.\If they come,\all our research, everything we've been working on, could be destroyed.\This is a serious matter.\The only option is to use our trump card. response:	Begin preparations for the release of Carnage Kabuto.
context: Impossible!\Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here.\If they come,\all our research, everything we've been working on, could be destroyed.\This is a serious matter.\The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto. response:	What?!
context: Our elite force, formed for the extermination of these obsolete humans, wiped out?!\According to Armored Gorilla's report, the two responsible are on their way here.\If they come,\all our research, everything we've been working on, could be destroyed.\This is a serious matter.\The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto.\What?! response:	No, not him! That's crazy!
context: According to Armored Gorilla's report, the two responsible are on their way here.\If they come,\all our research, everything we've been working on, could be destroyed.\This is a serious matter.\The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto.\What?!\No, not him! That's crazy! response:	He'll finally be released? He's right. That might be the only way.
context: If they come,\all our research, everything we've been working on, could be destroyed.\This is a serious matter.\The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto.\What?!\No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way. response:	But maybe we should stop him. It's too dangerous.
context: all our research, everything we've been working on, could be destroyed.\This is a serious matter.\The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto.\What?!\No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous. response:	I have a bad feeling about this. Is that the only way?
context: This is a serious matter.\The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto.\What?!\No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way? response:	Be calm! He will be our last resort.
context: The only option is to use our trump card.\Begin preparations for the release of Carnage Kabuto.\What?!\No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort. response:	But
context: Begin preparations for the release of Carnage Kabuto.\What?!\No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort.\But response:	First, from the first to the eighth floor, we'll activate all our traps.
context: What?!\No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort.\But\First, from the first to the eighth floor, we'll activate all our traps. response:	If we're lucky, they will take care of the intruders.
context: No, not him! That's crazy!\He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort.\But\First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders. response:	I'm fully aware of what will happen to me
context: He'll finally be released? He's right. That might be the only way.\But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort.\But\First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me response:	should we fail.
context: But maybe we should stop him. It's too dangerous.\I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort.\But\First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me\should we fail. response:	I didn't think we'd be running the whole way.
context: I have a bad feeling about this. Is that the only way?\Be calm! He will be our last resort.\But\First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me\should we fail.\I didn't think we'd be running the whole way. response:	How else are we gonna get there?
context: Be calm! He will be our last resort.\But\First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me\should we fail.\I didn't think we'd be running the whole way.\How else are we gonna get there? response:	I was sure you could fly or something.
context: But\First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me\should we fail.\I didn't think we'd be running the whole way.\How else are we gonna get there?\I was sure you could fly or something. response:	Humans can't fly, you know.
context: First, from the first to the eighth floor, we'll activate all our traps.\If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me\should we fail.\I didn't think we'd be running the whole way.\How else are we gonna get there?\I was sure you could fly or something.\Humans can't fly, you know. response:	It's amazing that you are never late. You are a true hero.
context: If we're lucky, they will take care of the intruders.\I'm fully aware of what will happen to me\should we fail.\I didn't think we'd be running the whole way.\How else are we gonna get there?\I was sure you could fly or something.\Humans can't fly, you know.\It's amazing that you are never late. You are a true hero. response:	Actually, I hardly ever arrive on time.
context: I'm fully aware of what will happen to me\should we fail.\I didn't think we'd be running the whole way.\How else are we gonna get there?\I was sure you could fly or something.\Humans can't fly, you know.\It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time. response:	We're here.
context: should we fail.\I didn't think we'd be running the whole way.\How else are we gonna get there?\I was sure you could fly or something.\Humans can't fly, you know.\It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time.\We're here. response:	This is the place Gorilla told us of.
context: I didn't think we'd be running the whole way.\How else are we gonna get there?\I was sure you could fly or something.\Humans can't fly, you know.\It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time.\We're here.\This is the place Gorilla told us of. response:	So this is
context: How else are we gonna get there?\I was sure you could fly or something.\Humans can't fly, you know.\It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time.\We're here.\This is the place Gorilla told us of.\So this is response:	the House of Evolution.
context: I was sure you could fly or something.\Humans can't fly, you know.\It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time.\We're here.\This is the place Gorilla told us of.\So this is\the House of Evolution. response:	One, two, three, four, five, six Looks like it's about eight stories high
context: Humans can't fly, you know.\It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time.\We're here.\This is the place Gorilla told us of.\So this is\the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high response:	Uhwhat was that all of a sudden?
context: It's amazing that you are never late. You are a true hero.\Actually, I hardly ever arrive on time.\We're here.\This is the place Gorilla told us of.\So this is\the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden? response:	Yes. I decided it would be most efficient to destroy them all in one swoop.
context: Actually, I hardly ever arrive on time.\We're here.\This is the place Gorilla told us of.\So this is\the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop. response:	Well, that's true but
context: We're here.\This is the place Gorilla told us of.\So this is\the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but response:	We could have at least seen what the bad guys had in store for us.
context: This is the place Gorilla told us of.\So this is\the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but\We could have at least seen what the bad guys had in store for us. response:	That was kind of mean.
context: So this is\the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but\We could have at least seen what the bad guys had in store for us.\That was kind of mean. response:	Looks like there's a basement.
context: the House of Evolution.\One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but\We could have at least seen what the bad guys had in store for us.\That was kind of mean.\Looks like there's a basement. response:	S-Stop!!
context: One, two, three, four, five, six Looks like it's about eight stories high\Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but\We could have at least seen what the bad guys had in store for us.\That was kind of mean.\Looks like there's a basement.\S-Stop!! response:	Hey, Carnage Kabuto.
context: Uhwhat was that all of a sudden?\Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but\We could have at least seen what the bad guys had in store for us.\That was kind of mean.\Looks like there's a basement.\S-Stop!!\Hey, Carnage Kabuto. response:	Are you well?
context: Yes. I decided it would be most efficient to destroy them all in one swoop.\Well, that's true but\We could have at least seen what the bad guys had in store for us.\That was kind of mean.\Looks like there's a basement.\S-Stop!!\Hey, Carnage Kabuto.\Are you well? response:	It appears you've killed a bunch of my clones again.
context: Well, that's true but\We could have at least seen what the bad guys had in store for us.\That was kind of mean.\Looks like there's a basement.\S-Stop!!\Hey, Carnage Kabuto.\Are you well?\It appears you've killed a bunch of my clones again. response:	Satisfied?
context: We could have at least seen what the bad guys had in store for us.\That was kind of mean.\Looks like there's a basement.\S-Stop!!\Hey, Carnage Kabuto.\Are you well?\It appears you've killed a bunch of my clones again.\Satisfied? response:	Huh?
context: That was kind of mean.\Looks like there's a basement.\S-Stop!!\Hey, Carnage Kabuto.\Are you well?\It appears you've killed a bunch of my clones again.\Satisfied?\Huh? response:	Fool! Why would I be satisfied?
context: Looks like there's a basement.\S-Stop!!\Hey, Carnage Kabuto.\Are you well?\It appears you've killed a bunch of my clones again.\Satisfied?\Huh?\Fool! Why would I be satisfied? response:	I've been kept locked up deep beneath the Earth.
context: S-Stop!!\Hey, Carnage Kabuto.\Are you well?\It appears you've killed a bunch of my clones again.\Satisfied?\Huh?\Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth. response:	You are mentally unstable. We couldn't control you. There was no choice.
context: Hey, Carnage Kabuto.\Are you well?\It appears you've killed a bunch of my clones again.\Satisfied?\Huh?\Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice. response:	Control? You moron!
context: Are you well?\It appears you've killed a bunch of my clones again.\Satisfied?\Huh?\Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron! response:	I am the culmination of the New Human you guys have sought for so long.
context: It appears you've killed a bunch of my clones again.\Satisfied?\Huh?\Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron!\I am the culmination of the New Human you guys have sought for so long. response:	My intelligence and physical strength and your own are incomparable!
context: Satisfied?\Huh?\Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron!\I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable! response:	You should be the ones obeying me.
context: Huh?\Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron!\I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me. response:	No. You're a failure.
context: Fool! Why would I be satisfied?\I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron!\I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me.\No. You're a failure. response:	It's true you perform at unheard of levels,
context: I've been kept locked up deep beneath the Earth.\You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron!\I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me.\No. You're a failure.\It's true you perform at unheard of levels, response:	but it is humanity you lack.
context: You are mentally unstable. We couldn't control you. There was no choice.\Control? You moron!\I am the culmination of the New Human you guys have sought for so long.\My intelligence and physical strength and your own are incomparable!\You should be the ones obeying me.\No. You're a failure.\It's true you perform at unheard of levels,\but it is humanity you lack. response:	Go ahead, kill me. Plenty of clones could take my place.
