context: Hamu, how's it going? response:	Hamu?
context: What would you like me to do, Grand Master?\Stop them.\Yes, sir.\The issue is that their intentions...\The Octobrists\We must find out what they are somehow...\Act 2 Footsteps\You two, I've told you so many times! response:	You guys went to that deserted castle again, didn't you?
context: Stop them.\Yes, sir.\The issue is that their intentions...\The Octobrists\We must find out what they are somehow...\Act 2 Footsteps\You two, I've told you so many times!\You guys went to that deserted castle again, didn't you? response:	I've repeatedly told you not to get involved with Drifters!
context: Yes, sir.\The issue is that their intentions...\The Octobrists\We must find out what they are somehow...\Act 2 Footsteps\You two, I've told you so many times!\You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters! response:	I've warned you about entering the forest, going to that deserted castle,
context: The issue is that their intentions...\The Octobrists\We must find out what they are somehow...\Act 2 Footsteps\You two, I've told you so many times!\You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle, response:	and associating with Drifters!
context: The Octobrists\We must find out what they are somehow...\Act 2 Footsteps\You two, I've told you so many times!\You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters! response:	If the lord and his men ever find out, they will kill you!
context: We must find out what they are somehow...\Act 2 Footsteps\You two, I've told you so many times!\You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters!\If the lord and his men ever find out, they will kill you! response:	But he was dying.
context: Act 2 Footsteps\You two, I've told you so many times!\You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters!\If the lord and his men ever find out, they will kill you!\But he was dying. response:	No buts!
context: You two, I've told you so many times!\You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters!\If the lord and his men ever find out, they will kill you!\But he was dying.\No buts! response:	Stay away from them, got it?! Am I understood?!
context: You guys went to that deserted castle again, didn't you?\I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters!\If the lord and his men ever find out, they will kill you!\But he was dying.\No buts!\Stay away from them, got it?! Am I understood?! response:	Damn it! It's before the harvest. Well, let's go!
context: I've repeatedly told you not to get involved with Drifters!\I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters!\If the lord and his men ever find out, they will kill you!\But he was dying.\No buts!\Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go! response:	You've noticed, huh?
context: I've warned you about entering the forest, going to that deserted castle,\and associating with Drifters!\If the lord and his men ever find out, they will kill you!\But he was dying.\No buts!\Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go!\You've noticed, huh? response:	What is...
context: and associating with Drifters!\If the lord and his men ever find out, they will kill you!\But he was dying.\No buts!\Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go!\You've noticed, huh?\What is... response:	Is this the smell of battle?
context: If the lord and his men ever find out, they will kill you!\But he was dying.\No buts!\Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go!\You've noticed, huh?\What is...\Is this the smell of battle? response:	There's fire.
context: But he was dying.\No buts!\Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go!\You've noticed, huh?\What is...\Is this the smell of battle?\There's fire. response:	They are the Elves.
context: No buts!\Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go!\You've noticed, huh?\What is...\Is this the smell of battle?\There's fire.\They are the Elves. response:	There must be bandits or brigands.
context: Stay away from them, got it?! Am I understood?!\Damn it! It's before the harvest. Well, let's go!\You've noticed, huh?\What is...\Is this the smell of battle?\There's fire.\They are the Elves.\There must be bandits or brigands. response:	The Elves are under attack. I smell the battle.
context: Damn it! It's before the harvest. Well, let's go!\You've noticed, huh?\What is...\Is this the smell of battle?\There's fire.\They are the Elves.\There must be bandits or brigands.\The Elves are under attack. I smell the battle. response:	What are Elves?
context: You've noticed, huh?\What is...\Is this the smell of battle?\There's fire.\They are the Elves.\There must be bandits or brigands.\The Elves are under attack. I smell the battle.\What are Elves? response:	They are the strange folks who live beyond the forest.
context: What is...\Is this the smell of battle?\There's fire.\They are the Elves.\There must be bandits or brigands.\The Elves are under attack. I smell the battle.\What are Elves?\They are the strange folks who live beyond the forest. response:	The ones with long ears who dragged you here.
context: Is this the smell of battle?\There's fire.\They are the Elves.\There must be bandits or brigands.\The Elves are under attack. I smell the battle.\What are Elves?\They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here. response:	Hey!
context: There's fire.\They are the Elves.\There must be bandits or brigands.\The Elves are under attack. I smell the battle.\What are Elves?\They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here.\Hey! response:	Hey! Wait! Are you going over there?!
context: They are the Elves.\There must be bandits or brigands.\The Elves are under attack. I smell the battle.\What are Elves?\They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here.\Hey!\Hey! Wait! Are you going over there?! response:	I don't know where I am or what's going on!
context: There must be bandits or brigands.\The Elves are under attack. I smell the battle.\What are Elves?\They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here.\Hey!\Hey! Wait! Are you going over there?!\I don't know where I am or what's going on! response:	I don't know if this is a dream or reality!
context: The Elves are under attack. I smell the battle.\What are Elves?\They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here.\Hey!\Hey! Wait! Are you going over there?!\I don't know where I am or what's going on!\I don't know if this is a dream or reality! response:	So, the only thing left for me is to charge forward!
context: What are Elves?\They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here.\Hey!\Hey! Wait! Are you going over there?!\I don't know where I am or what's going on!\I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward! response:	He's the idiot, not me. He was dying not long ago.
context: They are the strange folks who live beyond the forest.\The ones with long ears who dragged you here.\Hey!\Hey! Wait! Are you going over there?!\I don't know where I am or what's going on!\I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago. response:	Is he a human bullet or something?
context: The ones with long ears who dragged you here.\Hey!\Hey! Wait! Are you going over there?!\I don't know where I am or what's going on!\I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something? response:	Are they on the move?
context: Hey!\Hey! Wait! Are you going over there?!\I don't know where I am or what's going on!\I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something?\Are they on the move? response:	Let's go!
context: Hey! Wait! Are you going over there?!\I don't know where I am or what's going on!\I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something?\Are they on the move?\Let's go! response:	What are they going to do? What will happen to them?
context: I don't know where I am or what's going on!\I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something?\Are they on the move?\Let's go!\What are they going to do? What will happen to them? response:	You're slow, too slow, Nobunaga!
context: I don't know if this is a dream or reality!\So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something?\Are they on the move?\Let's go!\What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga! response:	What's wrong with you, Demon King of the Sixth Heaven?
context: So, the only thing left for me is to charge forward!\He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something?\Are they on the move?\Let's go!\What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven? response:	Shut up! I'm already fifty, you idiot!
context: He's the idiot, not me. He was dying not long ago.\Is he a human bullet or something?\Are they on the move?\Let's go!\What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot! response:	How old are you, Lord Toyohisa?
context: Is he a human bullet or something?\Are they on the move?\Let's go!\What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa? response:	I'm thirty.
context: Are they on the move?\Let's go!\What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa?\I'm thirty. response:	Nineteen
context: Let's go!\What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa?\I'm thirty.\Nineteen response:	What's with that smug smile?!
context: What are they going to do? What will happen to them?\You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa?\I'm thirty.\Nineteen\What's with that smug smile?! response:	This punk is completely different from the character in the
context: You're slow, too slow, Nobunaga!\What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa?\I'm thirty.\Nineteen\What's with that smug smile?!\This punk is completely different from the character in the response:	chronicle of the Genpei War.
context: What's wrong with you, Demon King of the Sixth Heaven?\Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa?\I'm thirty.\Nineteen\What's with that smug smile?!\This punk is completely different from the character in the\chronicle of the Genpei War. response:	He-Help...
context: Shut up! I'm already fifty, you idiot!\How old are you, Lord Toyohisa?\I'm thirty.\Nineteen\What's with that smug smile?!\This punk is completely different from the character in the\chronicle of the Genpei War.\He-Help... response:	Hey, kids!
context: How old are you, Lord Toyohisa?\I'm thirty.\Nineteen\What's with that smug smile?!\This punk is completely different from the character in the\chronicle of the Genpei War.\He-Help...\Hey, kids! response:	Leave your head with me! All right?!
context: I'm thirty.\Nineteen\What's with that smug smile?!\This punk is completely different from the character in the\chronicle of the Genpei War.\He-Help...\Hey, kids!\Leave your head with me! All right?! response:	Wh-Who the hell are you?!
context: Nineteen\What's with that smug smile?!\This punk is completely different from the character in the\chronicle of the Genpei War.\He-Help...\Hey, kids!\Leave your head with me! All right?!\Wh-Who the hell are you?! response:	Are you the Drifters in the deserted castle?
context: What's with that smug smile?!\This punk is completely different from the character in the\chronicle of the Genpei War.\He-Help...\Hey, kids!\Leave your head with me! All right?!\Wh-Who the hell are you?!\Are you the Drifters in the deserted castle? response:	I don't understand you. I don't know what the hell you're talking about.
context: This punk is completely different from the character in the\chronicle of the Genpei War.\He-Help...\Hey, kids!\Leave your head with me! All right?!\Wh-Who the hell are you?!\Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about. response:	Speak Japanese.
context: chronicle of the Genpei War.\He-Help...\Hey, kids!\Leave your head with me! All right?!\Wh-Who the hell are you?!\Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about.\Speak Japanese. response:	If you can't speak Japanese...
context: He-Help...\Hey, kids!\Leave your head with me! All right?!\Wh-Who the hell are you?!\Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about.\Speak Japanese.\If you can't speak Japanese... response:	You two have strange-looking ears.
context: Hey, kids!\Leave your head with me! All right?!\Wh-Who the hell are you?!\Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about.\Speak Japanese.\If you can't speak Japanese...\You two have strange-looking ears. response:	You two saved my life, didn't you? Now it's my turn.
context: Leave your head with me! All right?!\Wh-Who the hell are you?!\Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about.\Speak Japanese.\If you can't speak Japanese...\You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn. response:	Mutter mutter mutter
context: Wh-Who the hell are you?!\Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about.\Speak Japanese.\If you can't speak Japanese...\You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter response:	Are you okay with these two?
context: Are you the Drifters in the deserted castle?\I don't understand you. I don't know what the hell you're talking about.\Speak Japanese.\If you can't speak Japanese...\You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter\Are you okay with these two? response:	They can't speak Japanese, either.
context: I don't understand you. I don't know what the hell you're talking about.\Speak Japanese.\If you can't speak Japanese...\You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter\Are you okay with these two?\They can't speak Japanese, either. response:	Why don't you tell them to die, too?
context: Speak Japanese.\If you can't speak Japanese...\You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter\Are you okay with these two?\They can't speak Japanese, either.\Why don't you tell them to die, too? response:	Help! Repeat after me. Help!
context: If you can't speak Japanese...\You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter\Are you okay with these two?\They can't speak Japanese, either.\Why don't you tell them to die, too?\Help! Repeat after me. Help! response:	Say it! Help! Help!
context: You two have strange-looking ears.\You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter\Are you okay with these two?\They can't speak Japanese, either.\Why don't you tell them to die, too?\Help! Repeat after me. Help!\Say it! Help! Help! response:	Help, help, help!
context: You two saved my life, didn't you? Now it's my turn.\Mutter mutter mutter\Are you okay with these two?\They can't speak Japanese, either.\Why don't you tell them to die, too?\Help! Repeat after me. Help!\Say it! Help! Help!\Help, help, help! response:	Good! That's that, then!
context: Mutter mutter mutter\Are you okay with these two?\They can't speak Japanese, either.\Why don't you tell them to die, too?\Help! Repeat after me. Help!\Say it! Help! Help!\Help, help, help!\Good! That's that, then! response:	Rumble rumble rumble
context: Are you okay with these two?\They can't speak Japanese, either.\Why don't you tell them to die, too?\Help! Repeat after me. Help!\Say it! Help! Help!\Help, help, help!\Good! That's that, then!\Rumble rumble rumble response:	Way to force the conclusion you want.
context: They can't speak Japanese, either.\Why don't you tell them to die, too?\Help! Repeat after me. Help!\Say it! Help! Help!\Help, help, help!\Good! That's that, then!\Rumble rumble rumble\Way to force the conclusion you want. response:	I've just witnessed fast-talking on par with that of the Ikko sect.
context: Why don't you tell them to die, too?\Help! Repeat after me. Help!\Say it! Help! Help!\Help, help, help!\Good! That's that, then!\Rumble rumble rumble\Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect. response:	They are very well equipped. They can't be brigands or bandits...
context: Help! Repeat after me. Help!\Say it! Help! Help!\Help, help, help!\Good! That's that, then!\Rumble rumble rumble\Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits... response:	Regular soldiers? Are they the lord's forces?
context: Say it! Help! Help!\Help, help, help!\Good! That's that, then!\Rumble rumble rumble\Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces? response:	These idiots. It's like they're asking me to seize their land.
context: Help, help, help!\Good! That's that, then!\Rumble rumble rumble\Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land. response:	Okay, now.
context: Good! That's that, then!\Rumble rumble rumble\Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land.\Okay, now. response:	Let's claim the village.
context: Rumble rumble rumble\Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land.\Okay, now.\Let's claim the village. response:	Claim? Did he actually say, claim?
context: Way to force the conclusion you want.\I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land.\Okay, now.\Let's claim the village.\Claim? Did he actually say, claim? response:	Yes.
context: I've just witnessed fast-talking on par with that of the Ikko sect.\They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land.\Okay, now.\Let's claim the village.\Claim? Did he actually say, claim?\Yes. response:	Instead of saying take back, or help them, he said, claim, right?
context: They are very well equipped. They can't be brigands or bandits...\Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land.\Okay, now.\Let's claim the village.\Claim? Did he actually say, claim?\Yes.\Instead of saying take back, or help them, he said, claim, right? response:	That's their nature, and it's innate and pathological.
context: Regular soldiers? Are they the lord's forces?\These idiots. It's like they're asking me to seize their land.\Okay, now.\Let's claim the village.\Claim? Did he actually say, claim?\Yes.\Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological. response:	It's their most powerful ability.
context: These idiots. It's like they're asking me to seize their land.\Okay, now.\Let's claim the village.\Claim? Did he actually say, claim?\Yes.\Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological.\It's their most powerful ability. response:	No. It's the only ability they have.
context: Okay, now.\Let's claim the village.\Claim? Did he actually say, claim?\Yes.\Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological.\It's their most powerful ability.\No. It's the only ability they have. response:	No matter when or where they live, they have only one governing principle.
context: Let's claim the village.\Claim? Did he actually say, claim?\Yes.\Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological.\It's their most powerful ability.\No. It's the only ability they have.\No matter when or where they live, they have only one governing principle. response:	They want to conquer territory.
context: Claim? Did he actually say, claim?\Yes.\Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological.\It's their most powerful ability.\No. It's the only ability they have.\No matter when or where they live, they have only one governing principle.\They want to conquer territory. response:	Line up!
context: Yes.\Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological.\It's their most powerful ability.\No. It's the only ability they have.\No matter when or where they live, they have only one governing principle.\They want to conquer territory.\Line up! response:	What on earth is going on? What are you accusing us of?
context: Instead of saying take back, or help them, he said, claim, right?\That's their nature, and it's innate and pathological.\It's their most powerful ability.\No. It's the only ability they have.\No matter when or where they live, they have only one governing principle.\They want to conquer territory.\Line up!\What on earth is going on? What are you accusing us of? response:	You entered the forest and saved a Drifter, didn't you?
context: That's their nature, and it's innate and pathological.\It's their most powerful ability.\No. It's the only ability they have.\No matter when or where they live, they have only one governing principle.\They want to conquer territory.\Line up!\What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you? response:	Entering the forest, making bows, and associating with Drifters...
context: It's their most powerful ability.\No. It's the only ability they have.\No matter when or where they live, they have only one governing principle.\They want to conquer territory.\Line up!\What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters... response:	These are all serious crimes for Elves.
context: No. It's the only ability they have.\No matter when or where they live, they have only one governing principle.\They want to conquer territory.\Line up!\What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves. response:	Th-That was...
context: No matter when or where they live, they have only one governing principle.\They want to conquer territory.\Line up!\What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves.\Th-That was... response:	In order to save a dying man, the children...
context: They want to conquer territory.\Line up!\What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves.\Th-That was...\In order to save a dying man, the children... response:	Children? Is that the reason you're asking me to overlook this?
context: Line up!\What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves.\Th-That was...\In order to save a dying man, the children...\Children? Is that the reason you're asking me to overlook this? response:	You Elves are really disgraceful and insolent.
context: What on earth is going on? What are you accusing us of?\You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves.\Th-That was...\In order to save a dying man, the children...\Children? Is that the reason you're asking me to overlook this?\You Elves are really disgraceful and insolent. response:	The administration of Drifters is a job for magicians of the Octobrist Organization.
context: You entered the forest and saved a Drifter, didn't you?\Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves.\Th-That was...\In order to save a dying man, the children...\Children? Is that the reason you're asking me to overlook this?\You Elves are really disgraceful and insolent.\The administration of Drifters is a job for magicians of the Octobrist Organization. response:	It's a serious crime for demihumans like you to get involved.
context: Entering the forest, making bows, and associating with Drifters...\These are all serious crimes for Elves.\Th-That was...\In order to save a dying man, the children...\Children? Is that the reason you're asking me to overlook this?\You Elves are really disgraceful and insolent.\The administration of Drifters is a job for magicians of the Octobrist Organization.\It's a serious crime for demihumans like you to get involved. response:	Did you think we didn't notice?
context: These are all serious crimes for Elves.\Th-That was...\In order to save a dying man, the children...\Children? Is that the reason you're asking me to overlook this?\You Elves are really disgraceful and insolent.\The administration of Drifters is a job for magicians of the Octobrist Organization.\It's a serious crime for demihumans like you to get involved.\Did you think we didn't notice? response:	Shut up!
context: Th-That was...\In order to save a dying man, the children...\Children? Is that the reason you're asking me to overlook this?\You Elves are really disgraceful and insolent.\The administration of Drifters is a job for magicians of the Octobrist Organization.\It's a serious crime for demihumans like you to get involved.\Did you think we didn't notice?\Shut up! response:	First of all, you've been unreasonable!
