context: I wonder if I'm useful to the Aria Company? response:	What's with you all of a sudden?
context: Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless?\It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed. response:	I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.
context: Useless?\It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice. response:	Okay, let's work hard today, too!
context: It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too! response:	Do you remember that day Oboeteimasuka ano hi o
context: It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.\When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: When the weather is nice, for some reason, you just feel refreshed.\I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: I'm done with my usual early morning practice, so now I'm starting today's work as an apprentice.\Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	I want to spend my days waving to you Itsumademo te o furitai hibi
context: Okay, let's work hard today, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi response:	This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi response:	An eternal spiral Zutto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare response:	There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru response:	When you climb the next hill, Tsugi no saka o nobottara
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara response:	Let's meet again Mata aimashou
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou response:	President Aria...
context: It's just like a spiral Marude supiraare\I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\President Aria... response:	Alicia's really busy, isn't she?
context: I want to spend my days waving to you Itsumademo te o furitai hibi\This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\President Aria...\Alicia's really busy, isn't she? response:	She only gets one day off a month, if that.
context: This is my proof that I was here with you Koko ni tashika ni kimi to ita akashi\An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\President Aria...\Alicia's really busy, isn't she?\She only gets one day off a month, if that. response:	Those Who Aim For Tomorrow...
context: An eternal spiral Zutto supiraare\There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\President Aria...\Alicia's really busy, isn't she?\She only gets one day off a month, if that.\Those Who Aim For Tomorrow... response:	Akari?
context: There's a path which stretches on ahead Kono saki mo tsuzuiteru michi ga aru\When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\President Aria...\Alicia's really busy, isn't she?\She only gets one day off a month, if that.\Those Who Aim For Tomorrow...\Akari? response:	Yes?
context: When you climb the next hill, Tsugi no saka o nobottara\Let's meet again Mata aimashou\President Aria...\Alicia's really busy, isn't she?\She only gets one day off a month, if that.\Those Who Aim For Tomorrow...\Akari?\Yes? response:	What's the matter?
context: Let's meet again Mata aimashou\President Aria...\Alicia's really busy, isn't she?\She only gets one day off a month, if that.\Those Who Aim For Tomorrow...\Akari?\Yes?\What's the matter? response:	No, umm...
context: President Aria...\Alicia's really busy, isn't she?\She only gets one day off a month, if that.\Those Who Aim For Tomorrow...\Akari?\Yes?\What's the matter?\No, umm... response:	I want to be more useful, Alicia.
context: Alicia's really busy, isn't she?\She only gets one day off a month, if that.\Those Who Aim For Tomorrow...\Akari?\Yes?\What's the matter?\No, umm...\I want to be more useful, Alicia. response:	My, my.
context: She only gets one day off a month, if that.\Those Who Aim For Tomorrow...\Akari?\Yes?\What's the matter?\No, umm...\I want to be more useful, Alicia.\My, my. response:	You're already a big help.
context: Those Who Aim For Tomorrow...\Akari?\Yes?\What's the matter?\No, umm...\I want to be more useful, Alicia.\My, my.\You're already a big help. response:	More...
context: Akari?\Yes?\What's the matter?\No, umm...\I want to be more useful, Alicia.\My, my.\You're already a big help.\More... response:	I want to be even more useful to the company.
context: Yes?\What's the matter?\No, umm...\I want to be more useful, Alicia.\My, my.\You're already a big help.\More...\I want to be even more useful to the company. response:	But there's only so much I can do as a Single...
context: What's the matter?\No, umm...\I want to be more useful, Alicia.\My, my.\You're already a big help.\More...\I want to be even more useful to the company.\But there's only so much I can do as a Single... response:	Akari, are you having joint practice tomorrow?
context: No, umm...\I want to be more useful, Alicia.\My, my.\You're already a big help.\More...\I want to be even more useful to the company.\But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow? response:	Well...
context: I want to be more useful, Alicia.\My, my.\You're already a big help.\More...\I want to be even more useful to the company.\But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow?\Well... response:	Aika has to take care of some company business, with Akira as her instructor.
context: My, my.\You're already a big help.\More...\I want to be even more useful to the company.\But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow?\Well...\Aika has to take care of some company business, with Akira as her instructor. response:	And Alice has something to do for school, so she can't come tomorrow, either.
context: You're already a big help.\More...\I want to be even more useful to the company.\But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow?\Well...\Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either. response:	I see.
context: More...\I want to be even more useful to the company.\But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow?\Well...\Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either.\I see. response:	Then, how about trying your hand at the traghetto?
context: I want to be even more useful to the company.\But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow?\Well...\Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either.\I see.\Then, how about trying your hand at the traghetto? response:	Traghetto?
context: But there's only so much I can do as a Single...\Akari, are you having joint practice tomorrow?\Well...\Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either.\I see.\Then, how about trying your hand at the traghetto?\Traghetto? response:	Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.
context: Akari, are you having joint practice tomorrow?\Well...\Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either.\I see.\Then, how about trying your hand at the traghetto?\Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto. response:	A traghetto is a gondola that's used as a ferry.
context: Well...\Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either.\I see.\Then, how about trying your hand at the traghetto?\Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry. response:	There are several boarding points along the city's main thoroughfare, the Canal Grande.
context: Aika has to take care of some company business, with Akira as her instructor.\And Alice has something to do for school, so she can't come tomorrow, either.\I see.\Then, how about trying your hand at the traghetto?\Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande. response:	Two gondoliers, one at the front and one at the back, transport the passengers.
context: And Alice has something to do for school, so she can't come tomorrow, either.\I see.\Then, how about trying your hand at the traghetto?\Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers. response:	The traghetto is the only place where Singles are allowed to take customers without supervision.
context: I see.\Then, how about trying your hand at the traghetto?\Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision. response:	Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.
context: Then, how about trying your hand at the traghetto?\Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia. response:	Um, the meeting point should be...
context: Traghetto?\Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be... response:	Gather around, Singles!
context: Dear Ai, at Alicia's suggestion, I've decided to challenge myself on the traghetto.\A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be...\Gather around, Singles! response:	Ah, this is it.
context: A traghetto is a gondola that's used as a ferry.\There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be...\Gather around, Singles!\Ah, this is it. response:	Yes, yes!
context: There are several boarding points along the city's main thoroughfare, the Canal Grande.\Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be...\Gather around, Singles!\Ah, this is it.\Yes, yes! response:	Ah, so many people are here already...
context: Two gondoliers, one at the front and one at the back, transport the passengers.\The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be...\Gather around, Singles!\Ah, this is it.\Yes, yes!\Ah, so many people are here already... response:	Gather around, she said!
context: The traghetto is the only place where Singles are allowed to take customers without supervision.\Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be...\Gather around, Singles!\Ah, this is it.\Yes, yes!\Ah, so many people are here already...\Gather around, she said! response:	Huh?
context: Singles from different companies are paired up, so it's something of an attraction in Neo-Venezia.\Um, the meeting point should be...\Gather around, Singles!\Ah, this is it.\Yes, yes!\Ah, so many people are here already...\Gather around, she said!\Huh? response:	Right!
context: Um, the meeting point should be...\Gather around, Singles!\Ah, this is it.\Yes, yes!\Ah, so many people are here already...\Gather around, she said!\Huh?\Right! response:	I will now announce the groups for this district!
context: Gather around, Singles!\Ah, this is it.\Yes, yes!\Ah, so many people are here already...\Gather around, she said!\Huh?\Right!\I will now announce the groups for this district! response:	North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.
context: Ah, this is it.\Yes, yes!\Ah, so many people are here already...\Gather around, she said!\Huh?\Right!\I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce. response:	It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.
context: Yes, yes!\Ah, so many people are here already...\Gather around, she said!\Huh?\Right!\I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce. response:	Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.
context: Ah, so many people are here already...\Gather around, she said!\Huh?\Right!\I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce. response:	I'm still just an apprentice, but I'll do my very best!
context: Gather around, she said!\Huh?\Right!\I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best! response:	Excuse me... Hello?
context: Huh?\Right!\I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello? response:	Yes! I'm still just an apprentice, but!
context: Right!\I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello?\Yes! I'm still just an apprentice, but! response:	Huh? Where'd everyone go?
context: I will now announce the groups for this district!\North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello?\Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go? response:	They all went to their respective posts.
context: North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello?\Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go?\They all went to their respective posts. response:	Ah, I'm sorry.
context: It's finally time to scull the traghetto. North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello?\Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go?\They all went to their respective posts.\Ah, I'm sorry. response:	The four of us are in charge of this pier.
context: Meeting and working with people... North upstream will be Arabella Campbell, Arly Harvey and Irene Wolce.\I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello?\Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go?\They all went to their respective posts.\Ah, I'm sorry.\The four of us are in charge of this pier. response:	I look forward to working with you today.
context: I'm still just an apprentice, but I'll do my very best!\Excuse me... Hello?\Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go?\They all went to their respective posts.\Ah, I'm sorry.\The four of us are in charge of this pier.\I look forward to working with you today. response:	Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.
context: Excuse me... Hello?\Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go?\They all went to their respective posts.\Ah, I'm sorry.\The four of us are in charge of this pier.\I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you. response:	Here, have a candy.
context: Yes! I'm still just an apprentice, but!\Huh? Where'd everyone go?\They all went to their respective posts.\Ah, I'm sorry.\The four of us are in charge of this pier.\I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy. response:	When you're nervous, having something in your stomach helps calm you down.
context: Huh? Where'd everyone go?\They all went to their respective posts.\Ah, I'm sorry.\The four of us are in charge of this pier.\I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy.\When you're nervous, having something in your stomach helps calm you down. response:	Thank you very much.
context: They all went to their respective posts.\Ah, I'm sorry.\The four of us are in charge of this pier.\I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy.\When you're nervous, having something in your stomach helps calm you down.\Thank you very much. response:	I'm Atora from Orange Planet.
context: Ah, I'm sorry.\The four of us are in charge of this pier.\I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy.\When you're nervous, having something in your stomach helps calm you down.\Thank you very much.\I'm Atora from Orange Planet. response:	Let's do our best together.
context: The four of us are in charge of this pier.\I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy.\When you're nervous, having something in your stomach helps calm you down.\Thank you very much.\I'm Atora from Orange Planet.\Let's do our best together. response:	Is this your first time sculling a traghetto?
context: I look forward to working with you today.\Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy.\When you're nervous, having something in your stomach helps calm you down.\Thank you very much.\I'm Atora from Orange Planet.\Let's do our best together.\Is this your first time sculling a traghetto? response:	Y-Yes.
context: Yes! I'm Akari Mizunashi from the Aria Company. Pleased to meet you.\Here, have a candy.\When you're nervous, having something in your stomach helps calm you down.\Thank you very much.\I'm Atora from Orange Planet.\Let's do our best together.\Is this your first time sculling a traghetto?\Y-Yes. response:	Hey, Ayumi. It might be tough right off the bat, don't you think?
context: Here, have a candy.\When you're nervous, having something in your stomach helps calm you down.\Thank you very much.\I'm Atora from Orange Planet.\Let's do our best together.\Is this your first time sculling a traghetto?\Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think? response:	Hmm... Yeah, perhaps.
context: When you're nervous, having something in your stomach helps calm you down.\Thank you very much.\I'm Atora from Orange Planet.\Let's do our best together.\Is this your first time sculling a traghetto?\Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps. response:	Unlike a normal gondola, on a traghetto the customers will be standing,
context: Thank you very much.\I'm Atora from Orange Planet.\Let's do our best together.\Is this your first time sculling a traghetto?\Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing, response:	and some people might have lots of luggage, so it requires a unique sense of balance.
context: I'm Atora from Orange Planet.\Let's do our best together.\Is this your first time sculling a traghetto?\Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance. response:	Do you think I'll be all right?
context: Let's do our best together.\Is this your first time sculling a traghetto?\Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right? response:	You'll be fine. That's exactly why we scull in pairs.
context: Is this your first time sculling a traghetto?\Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs. response:	You'll have us assisting you.
context: Y-Yes.\Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you. response:	Well then, how about the three experienced members go on rotation first,
context: Hey, Ayumi. It might be tough right off the bat, don't you think?\Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you.\Well then, how about the three experienced members go on rotation first, response:	and whoever's on shore will give her a lecture?
context: Hmm... Yeah, perhaps.\Unlike a normal gondola, on a traghetto the customers will be standing,\and some people might have lots of luggage, so it requires a unique sense of balance.\Do you think I'll be all right?\You'll be fine. That's exactly why we scull in pairs.\You'll have us assisting you.\Well then, how about the three experienced members go on rotation first,\and whoever's on shore will give her a lecture? response:	Okay.
