context: Chi response:	ha
context: But...\Don't worry!\Let me handle this!\Okay...\Taichi.\Will any new students come?\It's hard to say.\I hope they fall in love with karuta. response:	Yeah.
context: Don't worry!\Let me handle this!\Okay...\Taichi.\Will any new students come?\It's hard to say.\I hope they fall in love with karuta.\Yeah. response:	The way we did...
context: Let me handle this!\Okay...\Taichi.\Will any new students come?\It's hard to say.\I hope they fall in love with karuta.\Yeah.\The way we did... response:	to set the Tatsuta River ablaze
context: Okay...\Taichi.\Will any new students come?\It's hard to say.\I hope they fall in love with karuta.\Yeah.\The way we did...\to set the Tatsuta River ablaze response:	Chihaya Furu
context: Taichi.\Will any new students come?\It's hard to say.\I hope they fall in love with karuta.\Yeah.\The way we did...\to set the Tatsuta River ablaze\Chihaya Furu response:	Verse 1
context: Will any new students come?\It's hard to say.\I hope they fall in love with karuta.\Yeah.\The way we did...\to set the Tatsuta River ablaze\Chihaya Furu\Verse 1 response:	So The Flower Has Wilted
context: It's hard to say.\I hope they fall in love with karuta.\Yeah.\The way we did...\to set the Tatsuta River ablaze\Chihaya Furu\Verse 1\So The Flower Has Wilted response:	Good morning.
context: I hope they fall in love with karuta.\Yeah.\The way we did...\to set the Tatsuta River ablaze\Chihaya Furu\Verse 1\So The Flower Has Wilted\Good morning. response:	Have you heard?
context: Yeah.\The way we did...\to set the Tatsuta River ablaze\Chihaya Furu\Verse 1\So The Flower Has Wilted\Good morning.\Have you heard? response:	The younger sister of the model
context: The way we did...\to set the Tatsuta River ablaze\Chihaya Furu\Verse 1\So The Flower Has Wilted\Good morning.\Have you heard?\The younger sister of the model response:	Ayase Chitose is in the class above ours!
context: to set the Tatsuta River ablaze\Chihaya Furu\Verse 1\So The Flower Has Wilted\Good morning.\Have you heard?\The younger sister of the model\Ayase Chitose is in the class above ours! response:	No way! I'm a fan!
context: Chihaya Furu\Verse 1\So The Flower Has Wilted\Good morning.\Have you heard?\The younger sister of the model\Ayase Chitose is in the class above ours!\No way! I'm a fan! response:	Let's go check her out!
context: Verse 1\So The Flower Has Wilted\Good morning.\Have you heard?\The younger sister of the model\Ayase Chitose is in the class above ours!\No way! I'm a fan!\Let's go check her out! response:	From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.
context: So The Flower Has Wilted\Good morning.\Have you heard?\The younger sister of the model\Ayase Chitose is in the class above ours!\No way! I'm a fan!\Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up. response:	Impossible...
context: Good morning.\Have you heard?\The younger sister of the model\Ayase Chitose is in the class above ours!\No way! I'm a fan!\Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible... response:	Impossible...
context: Have you heard?\The younger sister of the model\Ayase Chitose is in the class above ours!\No way! I'm a fan!\Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible...\Impossible... response:	I was dumped...
context: The younger sister of the model\Ayase Chitose is in the class above ours!\No way! I'm a fan!\Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible...\Impossible...\I was dumped... response:	I need to find a new boyfriend!
context: Ayase Chitose is in the class above ours!\No way! I'm a fan!\Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible...\Impossible...\I was dumped...\I need to find a new boyfriend! response:	The hottest guy in this school!
context: No way! I'm a fan!\Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible...\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school! response:	Available Clubs for New Students
context: Let's go check her out!\From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible...\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\Available Clubs for New Students response:	That's a cute strap!
context: From: Kazuki Subject: (none) First day of school for us both. I'm so tired. Feel lousy. Time for a new start, though, so why don't we both look for new partners? What I mean is, let's break up.\Impossible...\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\Available Clubs for New Students\That's a cute strap! response:	The tennis team's goal this year is to win Nationals.
context: Impossible...\Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\Available Clubs for New Students\That's a cute strap!\The tennis team's goal this year is to win Nationals. response:	Where'd you get it?
context: Impossible...\I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\Available Clubs for New Students\That's a cute strap!\The tennis team's goal this year is to win Nationals.\Where'd you get it? response:	These pink student IDs are so cute!
context: I was dumped...\I need to find a new boyfriend!\The hottest guy in this school!\Available Clubs for New Students\That's a cute strap!\The tennis team's goal this year is to win Nationals.\Where'd you get it?\These pink student IDs are so cute! response:	Our badges are cute, too!
context: I need to find a new boyfriend!\The hottest guy in this school!\Available Clubs for New Students\That's a cute strap!\The tennis team's goal this year is to win Nationals.\Where'd you get it?\These pink student IDs are so cute!\Our badges are cute, too! response:	We love everything cute.
context: The hottest guy in this school!\Available Clubs for New Students\That's a cute strap!\The tennis team's goal this year is to win Nationals.\Where'd you get it?\These pink student IDs are so cute!\Our badges are cute, too!\We love everything cute. response:	Um... Hanano-san, right?
context: Available Clubs for New Students\That's a cute strap!\The tennis team's goal this year is to win Nationals.\Where'd you get it?\These pink student IDs are so cute!\Our badges are cute, too!\We love everything cute.\Um... Hanano-san, right? response:	I'm Hinako.
context: That's a cute strap!\The tennis team's goal this year is to win Nationals.\Where'd you get it?\These pink student IDs are so cute!\Our badges are cute, too!\We love everything cute.\Um... Hanano-san, right?\I'm Hinako. response:	What's your first name?
context: The tennis team's goal this year is to win Nationals.\Where'd you get it?\These pink student IDs are so cute!\Our badges are cute, too!\We love everything cute.\Um... Hanano-san, right?\I'm Hinako.\What's your first name? response:	That's a lot of mascara.
context: Where'd you get it?\These pink student IDs are so cute!\Our badges are cute, too!\We love everything cute.\Um... Hanano-san, right?\I'm Hinako.\What's your first name?\That's a lot of mascara. response:	We love how cute we are.
context: These pink student IDs are so cute!\Our badges are cute, too!\We love everything cute.\Um... Hanano-san, right?\I'm Hinako.\What's your first name?\That's a lot of mascara.\We love how cute we are. response:	Hanano Sumire.
context: Our badges are cute, too!\We love everything cute.\Um... Hanano-san, right?\I'm Hinako.\What's your first name?\That's a lot of mascara.\We love how cute we are.\Hanano Sumire. response:	We search for someone who loves how cute we are.
context: We love everything cute.\Um... Hanano-san, right?\I'm Hinako.\What's your first name?\That's a lot of mascara.\We love how cute we are.\Hanano Sumire.\We search for someone who loves how cute we are. response:	Wh-What are you doing?
context: Um... Hanano-san, right?\I'm Hinako.\What's your first name?\That's a lot of mascara.\We love how cute we are.\Hanano Sumire.\We search for someone who loves how cute we are.\Wh-What are you doing? response:	I'm searching!
context: I'm Hinako.\What's your first name?\That's a lot of mascara.\We love how cute we are.\Hanano Sumire.\We search for someone who loves how cute we are.\Wh-What are you doing?\I'm searching! response:	Oh! There's a nice one in class 1!
context: What's your first name?\That's a lot of mascara.\We love how cute we are.\Hanano Sumire.\We search for someone who loves how cute we are.\Wh-What are you doing?\I'm searching!\Oh! There's a nice one in class 1! response:	I'm going to make him regret dumping me
context: That's a lot of mascara.\We love how cute we are.\Hanano Sumire.\We search for someone who loves how cute we are.\Wh-What are you doing?\I'm searching!\Oh! There's a nice one in class 1!\I'm going to make him regret dumping me response:	Next, we have the competitive Hundred Poets Karuta Club.
context: We love how cute we are.\Hanano Sumire.\We search for someone who loves how cute we are.\Wh-What are you doing?\I'm searching!\Oh! There's a nice one in class 1!\I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club. response:	because we went to different high schools
context: Hanano Sumire.\We search for someone who loves how cute we are.\Wh-What are you doing?\I'm searching!\Oh! There's a nice one in class 1!\I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools response:	by finding a super hot guy!
context: We search for someone who loves how cute we are.\Wh-What are you doing?\I'm searching!\Oh! There's a nice one in class 1!\I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools\by finding a super hot guy! response:	I'm the president, Mashima Taichi.
context: Wh-What are you doing?\I'm searching!\Oh! There's a nice one in class 1!\I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools\by finding a super hot guy!\I'm the president, Mashima Taichi. response:	I-I'm the captain, Ayase Chihaya.
context: I'm searching!\Oh! There's a nice one in class 1!\I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools\by finding a super hot guy!\I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya. response:	Dude!
context: Oh! There's a nice one in class 1!\I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools\by finding a super hot guy!\I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya.\Dude! response:	He's gorgeous!
context: I'm going to make him regret dumping me\Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools\by finding a super hot guy!\I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya.\Dude!\He's gorgeous! response:	They're wearing kimonos!
context: Next, we have the competitive Hundred Poets Karuta Club.\because we went to different high schools\by finding a super hot guy!\I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya.\Dude!\He's gorgeous!\They're wearing kimonos! response:	She's so cute!
context: because we went to different high schools\by finding a super hot guy!\I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya.\Dude!\He's gorgeous!\They're wearing kimonos!\She's so cute! response:	We have their attention now!
context: by finding a super hot guy!\I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya.\Dude!\He's gorgeous!\They're wearing kimonos!\She's so cute!\We have their attention now! response:	Recruitment Strategist Kana-chan
context: I'm the president, Mashima Taichi.\I-I'm the captain, Ayase Chihaya.\Dude!\He's gorgeous!\They're wearing kimonos!\She's so cute!\We have their attention now!\Recruitment Strategist Kana-chan response:	Karuta club? What's that?
context: I-I'm the captain, Ayase Chihaya.\Dude!\He's gorgeous!\They're wearing kimonos!\She's so cute!\We have their attention now!\Recruitment Strategist Kana-chan\Karuta club? What's that? response:	Sounds minor.
context: Dude!\He's gorgeous!\They're wearing kimonos!\She's so cute!\We have their attention now!\Recruitment Strategist Kana-chan\Karuta club? What's that?\Sounds minor. response:	Not interested.
context: He's gorgeous!\They're wearing kimonos!\She's so cute!\We have their attention now!\Recruitment Strategist Kana-chan\Karuta club? What's that?\Sounds minor.\Not interested. response:	Before the typical reactions can kick in,
context: They're wearing kimonos!\She's so cute!\We have their attention now!\Recruitment Strategist Kana-chan\Karuta club? What's that?\Sounds minor.\Not interested.\Before the typical reactions can kick in, response:	Was told to keep quiet
context: She's so cute!\We have their attention now!\Recruitment Strategist Kana-chan\Karuta club? What's that?\Sounds minor.\Not interested.\Before the typical reactions can kick in,\Was told to keep quiet response:	The karuta club plays a competitive one-on-one card game
context: We have their attention now!\Recruitment Strategist Kana-chan\Karuta club? What's that?\Sounds minor.\Not interested.\Before the typical reactions can kick in,\Was told to keep quiet\The karuta club plays a competitive one-on-one card game response:	we send out Chihaya-chan and the president in hakamas
context: Recruitment Strategist Kana-chan\Karuta club? What's that?\Sounds minor.\Not interested.\Before the typical reactions can kick in,\Was told to keep quiet\The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas response:	to make our club look important
context: Karuta club? What's that?\Sounds minor.\Not interested.\Before the typical reactions can kick in,\Was told to keep quiet\The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas\to make our club look important response:	based on the Ogura Hundred Poets.
context: Sounds minor.\Not interested.\Before the typical reactions can kick in,\Was told to keep quiet\The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas\to make our club look important\based on the Ogura Hundred Poets. response:	and grab the hearts of the first-years like an eagle's talons!
context: Not interested.\Before the typical reactions can kick in,\Was told to keep quiet\The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas\to make our club look important\based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons! response:	Hey, Hanano-san!
context: Before the typical reactions can kick in,\Was told to keep quiet\The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas\to make our club look important\based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san! response:	While the game is meant to be competitive, there is also a cultural aspect...
context: Was told to keep quiet\The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas\to make our club look important\based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect... response:	Isn't he hot?!
context: The karuta club plays a competitive one-on-one card game\we send out Chihaya-chan and the president in hakamas\to make our club look important\based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?! response:	Hana
context: we send out Chihaya-chan and the president in hakamas\to make our club look important\based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?!\Hana response:	Eagle?
context: to make our club look important\based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?!\Hana\Eagle? response:	Please drop by, if you're interested.
context: based on the Ogura Hundred Poets.\and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?!\Hana\Eagle?\Please drop by, if you're interested. response:	Finally, our captain would like to say a few words.
context: and grab the hearts of the first-years like an eagle's talons!\Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?!\Hana\Eagle?\Please drop by, if you're interested.\Finally, our captain would like to say a few words. response:	Huh?
context: Hey, Hanano-san!\While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?!\Hana\Eagle?\Please drop by, if you're interested.\Finally, our captain would like to say a few words.\Huh? response:	Um... Er...
context: While the game is meant to be competitive, there is also a cultural aspect...\Isn't he hot?!\Hana\Eagle?\Please drop by, if you're interested.\Finally, our captain would like to say a few words.\Huh?\Um... Er... response:	I-I don't...
context: Isn't he hot?!\Hana\Eagle?\Please drop by, if you're interested.\Finally, our captain would like to say a few words.\Huh?\Um... Er...\I-I don't... response:	but my goal is to become friends with all one hundred cards,
context: Hana\Eagle?\Please drop by, if you're interested.\Finally, our captain would like to say a few words.\Huh?\Um... Er...\I-I don't...\but my goal is to become friends with all one hundred cards, response:	so I want one hundred junior members!
context: Eagle?\Please drop by, if you're interested.\Finally, our captain would like to say a few words.\Huh?\Um... Er...\I-I don't...\but my goal is to become friends with all one hundred cards,\so I want one hundred junior members! response:	A hundred members?!
context: Please drop by, if you're interested.\Finally, our captain would like to say a few words.\Huh?\Um... Er...\I-I don't...\but my goal is to become friends with all one hundred cards,\so I want one hundred junior members!\A hundred members?! response:	You're too greedy!
context: Finally, our captain would like to say a few words.\Huh?\Um... Er...\I-I don't...\but my goal is to become friends with all one hundred cards,\so I want one hundred junior members!\A hundred members?!\You're too greedy! response:	She wants to be friends with cards!
context: Huh?\Um... Er...\I-I don't...\but my goal is to become friends with all one hundred cards,\so I want one hundred junior members!\A hundred members?!\You're too greedy!\She wants to be friends with cards! response:	Cute and clueless?
context: Um... Er...\I-I don't...\but my goal is to become friends with all one hundred cards,\so I want one hundred junior members!\A hundred members?!\You're too greedy!\She wants to be friends with cards!\Cute and clueless? response:	Annoying.
context: I-I don't...\but my goal is to become friends with all one hundred cards,\so I want one hundred junior members!\A hundred members?!\You're too greedy!\She wants to be friends with cards!\Cute and clueless?\Annoying. response:	She's so cute!
context: but my goal is to become friends with all one hundred cards,\so I want one hundred junior members!\A hundred members?!\You're too greedy!\She wants to be friends with cards!\Cute and clueless?\Annoying.\She's so cute! response:	But...
context: so I want one hundred junior members!\A hundred members?!\You're too greedy!\She wants to be friends with cards!\Cute and clueless?\Annoying.\She's so cute!\But... response:	I found my man!
context: A hundred members?!\You're too greedy!\She wants to be friends with cards!\Cute and clueless?\Annoying.\She's so cute!\But...\I found my man! response:	Are any new members going to come?!
context: You're too greedy!\She wants to be friends with cards!\Cute and clueless?\Annoying.\She's so cute!\But...\I found my man!\Are any new members going to come?! response:	Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi
context: She wants to be friends with cards!\Cute and clueless?\Annoying.\She's so cute!\But...\I found my man!\Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi response:	We'll be in trouble if no one comes.
context: Cute and clueless?\Annoying.\She's so cute!\But...\I found my man!\Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes. response:	The reaction to our introduction was promising.
context: Annoying.\She's so cute!\But...\I found my man!\Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes.\The reaction to our introduction was promising. response:	Really?!
context: She's so cute!\But...\I found my man!\Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes.\The reaction to our introduction was promising.\Really?! response:	Yes.
context: But...\I found my man!\Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes.\The reaction to our introduction was promising.\Really?!\Yes. response:	But we don't want too many.
context: I found my man!\Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes.\The reaction to our introduction was promising.\Really?!\Yes.\But we don't want too many. response:	Well, if we get some first-years to join,
context: Are any new members going to come?!\Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes.\The reaction to our introduction was promising.\Really?!\Yes.\But we don't want too many.\Well, if we get some first-years to join, response:	we'll have to figure out who's going to teach them.
context: Notice: If the karuta club does not recruit five new members next year, you will have to return the clubroom. Good luck. I was able to increase the club's budget to 30,000 yen. -Miyauchi\We'll be in trouble if no one comes.\The reaction to our introduction was promising.\Really?!\Yes.\But we don't want too many.\Well, if we get some first-years to join,\we'll have to figure out who's going to teach them. response:	What?!
context: We'll be in trouble if no one comes.\The reaction to our introduction was promising.\Really?!\Yes.\But we don't want too many.\Well, if we get some first-years to join,\we'll have to figure out who's going to teach them.\What?! response:	Why?!
context: The reaction to our introduction was promising.\Really?!\Yes.\But we don't want too many.\Well, if we get some first-years to join,\we'll have to figure out who's going to teach them.\What?!\Why?! response:	Me! Me! Me!
context: Really?!\Yes.\But we don't want too many.\Well, if we get some first-years to join,\we'll have to figure out who's going to teach them.\What?!\Why?!\Me! Me! Me! response:	Why are you volunteering when you're the worst possible candidate?!
context: Yes.\But we don't want too many.\Well, if we get some first-years to join,\we'll have to figure out who's going to teach them.\What?!\Why?!\Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?! response:	Don't you need to practice?!
context: But we don't want too many.\Well, if we get some first-years to join,\we'll have to figure out who's going to teach them.\What?!\Why?!\Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?! response:	Me! Me! Me! Me! Me!
context: Well, if we get some first-years to join,\we'll have to figure out who's going to teach them.\What?!\Why?!\Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?!\Me! Me! Me! Me! Me! response:	How many first-years are going to come?
context: we'll have to figure out who's going to teach them.\What?!\Why?!\Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?!\Me! Me! Me! Me! Me!\How many first-years are going to come? response:	We were able to buy new cards with the extra budget.
context: What?!\Why?!\Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?!\Me! Me! Me! Me! Me!\How many first-years are going to come?\We were able to buy new cards with the extra budget. response:	I hope they learn to love karuta.
context: Why?!\Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?!\Me! Me! Me! Me! Me!\How many first-years are going to come?\We were able to buy new cards with the extra budget.\I hope they learn to love karuta. response:	And then...
context: Me! Me! Me!\Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?!\Me! Me! Me! Me! Me!\How many first-years are going to come?\We were able to buy new cards with the extra budget.\I hope they learn to love karuta.\And then... response:	Hello!
context: Why are you volunteering when you're the worst possible candidate?!\Don't you need to practice?!\Me! Me! Me! Me! Me!\How many first-years are going to come?\We were able to buy new cards with the extra budget.\I hope they learn to love karuta.\And then...\Hello! response:	What's wrong, Senpai?
context: Don't you need to practice?!\Me! Me! Me! Me! Me!\How many first-years are going to come?\We were able to buy new cards with the extra budget.\I hope they learn to love karuta.\And then...\Hello!\What's wrong, Senpai? response:	Are you okay?
context: Me! Me! Me! Me! Me!\How many first-years are going to come?\We were able to buy new cards with the extra budget.\I hope they learn to love karuta.\And then...\Hello!\What's wrong, Senpai?\Are you okay? response:	I-I'm okay...
context: How many first-years are going to come?\We were able to buy new cards with the extra budget.\I hope they learn to love karuta.\And then...\Hello!\What's wrong, Senpai?\Are you okay?\I-I'm okay... response:	This is my application.
context: We were able to buy new cards with the extra budget.\I hope they learn to love karuta.\And then...\Hello!\What's wrong, Senpai?\Are you okay?\I-I'm okay...\This is my application. response:	Here's mine.
context: I hope they learn to love karuta.\And then...\Hello!\What's wrong, Senpai?\Are you okay?\I-I'm okay...\This is my application.\Here's mine. response:	I can't wait to get started!
context: And then...\Hello!\What's wrong, Senpai?\Are you okay?\I-I'm okay...\This is my application.\Here's mine.\I can't wait to get started! response:	Really? You're all going to join?
context: Hello!\What's wrong, Senpai?\Are you okay?\I-I'm okay...\This is my application.\Here's mine.\I can't wait to get started!\Really? You're all going to join? response:	I can't wait!
context: What's wrong, Senpai?\Are you okay?\I-I'm okay...\This is my application.\Here's mine.\I can't wait to get started!\Really? You're all going to join?\I can't wait! response:	Thank you! Thank you!
context: Are you okay?\I-I'm okay...\This is my application.\Here's mine.\I can't wait to get started!\Really? You're all going to join?\I can't wait!\Thank you! Thank you! response:	Glad to be here.
context: I-I'm okay...\This is my application.\Here's mine.\I can't wait to get started!\Really? You're all going to join?\I can't wait!\Thank you! Thank you!\Glad to be here. response:	Ni-Nira?
context: This is my application.\Here's mine.\I can't wait to get started!\Really? You're all going to join?\I can't wait!\Thank you! Thank you!\Glad to be here.\Ni-Nira? response:	Nira-chan?
context: Here's mine.\I can't wait to get started!\Really? You're all going to join?\I can't wait!\Thank you! Thank you!\Glad to be here.\Ni-Nira?\Nira-chan? response:	Nira-chan
context: I can't wait to get started!\Really? You're all going to join?\I can't wait!\Thank you! Thank you!\Glad to be here.\Ni-Nira?\Nira-chan?\Nira-chan response:	She can't even read my name right?!
context: Really? You're all going to join?\I can't wait!\Thank you! Thank you!\Glad to be here.\Ni-Nira?\Nira-chan?\Nira-chan\She can't even read my name right?! response:	Stupid! Chihaya, it's Sumire!
