context: Rebooting attitude control system. response:	Ensign Ledo, your resistance is without meaning.
context: Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside.\What?!\Unacceptable recommendation.\Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human. response:	I find it inconceivable that you are truly acting as a support interface to this number of members.
context: have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside.\What?!\Unacceptable recommendation.\Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members. response:	I have been entrusted with commanding and ruling.
context: Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside.\What?!\Unacceptable recommendation.\Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling. response:	My decisions are the consensus of the human race that is dependent on me.
context: Become part of the world over which I preside.\What?!\Unacceptable recommendation.\Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me. response:	As such, my current self is not a servant,
context: What?!\Unacceptable recommendation.\Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant, response:	but one who is served.
context: Unacceptable recommendation.\Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant,\but one who is served. response:	K6821 Chamber system
context: Informing X3752: Your logic does compute.\One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant,\but one who is served.\K6821 Chamber system response:	and I should be served by the human race that I have unified.
context: One who abandons thought and decision-making deviates from the definition of human.\I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant,\but one who is served.\K6821 Chamber system\and I should be served by the human race that I have unified. response:	Negative. I am a Pilot Support Enlightenment Interface System.
context: I find it inconceivable that you are truly acting as a support interface to this number of members.\I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant,\but one who is served.\K6821 Chamber system\and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System. response:	The subject of my service is humans.
context: I have been entrusted with commanding and ruling.\My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant,\but one who is served.\K6821 Chamber system\and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans. response:	It is not my function to serve as a being that claims to be god.
context: My decisions are the consensus of the human race that is dependent on me.\As such, my current self is not a servant,\but one who is served.\K6821 Chamber system\and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans.\It is not my function to serve as a being that claims to be god. response:	Chamber...
context: As such, my current self is not a servant,\but one who is served.\K6821 Chamber system\and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans.\It is not my function to serve as a being that claims to be god.\Chamber... response:	Striker, you have exposed a weakness in your programming.
context: but one who is served.\K6821 Chamber system\and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans.\It is not my function to serve as a being that claims to be god.\Chamber...\Striker, you have exposed a weakness in your programming. response:	Conjecture: If your pilot's course of action is wrong,
context: K6821 Chamber system\and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans.\It is not my function to serve as a being that claims to be god.\Chamber...\Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong, response:	your system will also reach that illogical conclusion.
context: and I should be served by the human race that I have unified.\Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans.\It is not my function to serve as a being that claims to be god.\Chamber...\Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion. response:	It is a regrettable case.
context: Negative. I am a Pilot Support Enlightenment Interface System.\The subject of my service is humans.\It is not my function to serve as a being that claims to be god.\Chamber...\Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion.\It is a regrettable case. response:	Your malfunction calls into question the design concept of us support systems
context: The subject of my service is humans.\It is not my function to serve as a being that claims to be god.\Chamber...\Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion.\It is a regrettable case.\Your malfunction calls into question the design concept of us support systems response:	and poses a danger to the worth of our very existence.
context: It is not my function to serve as a being that claims to be god.\Chamber...\Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion.\It is a regrettable case.\Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence. response:	Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.
context: Chamber...\Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion.\It is a regrettable case.\Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker. response:	I guess to you this is like a family shame.
context: Striker, you have exposed a weakness in your programming.\Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion.\It is a regrettable case.\Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame. response:	In this unexpected environment,
context: Conjecture: If your pilot's course of action is wrong,\your system will also reach that illogical conclusion.\It is a regrettable case.\Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame.\In this unexpected environment, response:	you have consistently thought and made the correct decisions as a human.
context: your system will also reach that illogical conclusion.\It is a regrettable case.\Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame.\In this unexpected environment,\you have consistently thought and made the correct decisions as a human. response:	As a result, even now I am maintaining my normal functions.
context: It is a regrettable case.\Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame.\In this unexpected environment,\you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions. response:	Negative. Both of you are out of control.
context: Your malfunction calls into question the design concept of us support systems\and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame.\In this unexpected environment,\you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control. response:	Let's take it down, Chamber. It's our duty.
context: and poses a danger to the worth of our very existence.\Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame.\In this unexpected environment,\you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty. response:	I am in full agreement.
context: Conclusion: The overriding priority is the immediate shutdown and destruction of Striker.\I guess to you this is like a family shame.\In this unexpected environment,\you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty.\I am in full agreement. response:	Legend of the Verdurous Planet
context: I guess to you this is like a family shame.\In this unexpected environment,\you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty.\I am in full agreement.\Legend of the Verdurous Planet response:	This is the moment of truth, people!
context: In this unexpected environment,\you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty.\I am in full agreement.\Legend of the Verdurous Planet\This is the moment of truth, people! response:	The engine's stopped! A fire broke out on the aft deck!
context: you have consistently thought and made the correct decisions as a human.\As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty.\I am in full agreement.\Legend of the Verdurous Planet\This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck! response:	Fleet commander, we need to evacuate!
context: As a result, even now I am maintaining my normal functions.\Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty.\I am in full agreement.\Legend of the Verdurous Planet\This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate! response:	No. Continue the cannon fire.
context: Negative. Both of you are out of control.\Let's take it down, Chamber. It's our duty.\I am in full agreement.\Legend of the Verdurous Planet\This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate!\No. Continue the cannon fire. response:	I will not let them have the relics!
context: Let's take it down, Chamber. It's our duty.\I am in full agreement.\Legend of the Verdurous Planet\This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate!\No. Continue the cannon fire.\I will not let them have the relics! response:	But, sir...
context: I am in full agreement.\Legend of the Verdurous Planet\This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate!\No. Continue the cannon fire.\I will not let them have the relics!\But, sir... response:	When we sought out our own course, we gave up being under Gargantia's protection.
context: Legend of the Verdurous Planet\This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate!\No. Continue the cannon fire.\I will not let them have the relics!\But, sir...\When we sought out our own course, we gave up being under Gargantia's protection. response:	We will not fall on our knees, under any circumstances!
context: This is the moment of truth, people!\The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate!\No. Continue the cannon fire.\I will not let them have the relics!\But, sir...\When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances! response:	Fleet Commander...
context: The engine's stopped! A fire broke out on the aft deck!\Fleet commander, we need to evacuate!\No. Continue the cannon fire.\I will not let them have the relics!\But, sir...\When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances!\Fleet Commander... response:	Evacuate all non-combatants!
context: Fleet commander, we need to evacuate!\No. Continue the cannon fire.\I will not let them have the relics!\But, sir...\When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances!\Fleet Commander...\Evacuate all non-combatants! response:	Pinion...
context: No. Continue the cannon fire.\I will not let them have the relics!\But, sir...\When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances!\Fleet Commander...\Evacuate all non-combatants!\Pinion... response:	That was the last one!
context: I will not let them have the relics!\But, sir...\When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances!\Fleet Commander...\Evacuate all non-combatants!\Pinion...\That was the last one! response:	All that's left is waitin' for those things to charge up!
context: But, sir...\When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances!\Fleet Commander...\Evacuate all non-combatants!\Pinion...\That was the last one!\All that's left is waitin' for those things to charge up! response:	When can we fire again?
context: When we sought out our own course, we gave up being under Gargantia's protection.\We will not fall on our knees, under any circumstances!\Fleet Commander...\Evacuate all non-combatants!\Pinion...\That was the last one!\All that's left is waitin' for those things to charge up!\When can we fire again? response:	The fastest is three minutes from now.
context: We will not fall on our knees, under any circumstances!\Fleet Commander...\Evacuate all non-combatants!\Pinion...\That was the last one!\All that's left is waitin' for those things to charge up!\When can we fire again?\The fastest is three minutes from now. response:	After that, even in order, it'll be one shot every five minutes!
context: Fleet Commander...\Evacuate all non-combatants!\Pinion...\That was the last one!\All that's left is waitin' for those things to charge up!\When can we fire again?\The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes! response:	Can't count on anything around here!
context: Evacuate all non-combatants!\Pinion...\That was the last one!\All that's left is waitin' for those things to charge up!\When can we fire again?\The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here! response:	I got a bunch of blockheads manning this junk!
context: Pinion...\That was the last one!\All that's left is waitin' for those things to charge up!\When can we fire again?\The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here!\I got a bunch of blockheads manning this junk! response:	None of this is worth a damn!
context: That was the last one!\All that's left is waitin' for those things to charge up!\When can we fire again?\The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here!\I got a bunch of blockheads manning this junk!\None of this is worth a damn! response:	I'm better off on my own here!
context: All that's left is waitin' for those things to charge up!\When can we fire again?\The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here!\I got a bunch of blockheads manning this junk!\None of this is worth a damn!\I'm better off on my own here! response:	Alright, you bastards, you've served your purpose! Now get the hell outta here!
context: When can we fire again?\The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here!\I got a bunch of blockheads manning this junk!\None of this is worth a damn!\I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here! response:	Lukkage! We're gonna vamoose, so secure a path of retreat!
context: The fastest is three minutes from now.\After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here!\I got a bunch of blockheads manning this junk!\None of this is worth a damn!\I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat! response:	Wha...?! Are you insane?
context: After that, even in order, it'll be one shot every five minutes!\Can't count on anything around here!\I got a bunch of blockheads manning this junk!\None of this is worth a damn!\I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane? response:	There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!
context: Can't count on anything around here!\I got a bunch of blockheads manning this junk!\None of this is worth a damn!\I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that! response:	Just go!
context: I got a bunch of blockheads manning this junk!\None of this is worth a damn!\I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go! response:	Pinion...
context: None of this is worth a damn!\I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go!\Pinion... response:	Don't get the wrong idea, Mayta.
context: I'm better off on my own here!\Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go!\Pinion...\Don't get the wrong idea, Mayta. response:	This castle is the treasure island my brother and I saw in our dreams.
context: Alright, you bastards, you've served your purpose! Now get the hell outta here!\Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go!\Pinion...\Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams. response:	There's no way I'm gonna let go of it again.
context: Lukkage! We're gonna vamoose, so secure a path of retreat!\Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go!\Pinion...\Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again. response:	I'm not lettin' anyone have it!
context: Wha...?! Are you insane?\There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go!\Pinion...\Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it! response:	So get your asses outta here! Get the hell out of my castle!
context: There's gonna be a ship comin' off the eastern bridge! Concentrate on guarding that!\Just go!\Pinion...\Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle! response:	Anybody who can escape can't do better than escaping. Right, Bro?
context: Just go!\Pinion...\Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro? response:	Isn't that what you'd say?
context: Pinion...\Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say? response:	How can it be so strong without a pilot?!
context: Don't get the wrong idea, Mayta.\This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say?\How can it be so strong without a pilot?! response:	Striker analyzed Commander Kugel's piloting skills
context: This castle is the treasure island my brother and I saw in our dreams.\There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say?\How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills response:	and has optimized its autonomic maneuvering program.
context: There's no way I'm gonna let go of it again.\I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say?\How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program. response:	When it comes to mobility, it is 47 superior to me.
context: I'm not lettin' anyone have it!\So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say?\How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me. response:	Surrender. Submit.
context: So get your asses outta here! Get the hell out of my castle!\Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say?\How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me.\Surrender. Submit. response:	How empty was I... to believe in that hollow shell?!
context: Anybody who can escape can't do better than escaping. Right, Bro?\Isn't that what you'd say?\How can it be so strong without a pilot?!\Striker analyzed Commander Kugel's piloting skills\and has optimized its autonomic maneuvering program.\When it comes to mobility, it is 47 superior to me.\Surrender. Submit.\How empty was I... to believe in that hollow shell?! response:	Just look up to it, rely on it, and obey...
