context: The silver pin, response:	given to the boy and girl in each class with the top test scores.
context: That you were class rep.\That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it.\Kariu, committee meeting time!\Yeah!\And...\Going to the cafeteria now?\O-Oga! response:	Y-Yeah, but I'm waiting for Honoka.
context: That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it.\Kariu, committee meeting time!\Yeah!\And...\Going to the cafeteria now?\O-Oga!\Y-Yeah, but I'm waiting for Honoka. response:	You?
context: and I was proud of myself when I wore it.\Kariu, committee meeting time!\Yeah!\And...\Going to the cafeteria now?\O-Oga!\Y-Yeah, but I'm waiting for Honoka.\You? response:	Oh, class rep work.
context: Kariu, committee meeting time!\Yeah!\And...\Going to the cafeteria now?\O-Oga!\Y-Yeah, but I'm waiting for Honoka.\You?\Oh, class rep work. response:	Yeah.
context: Yeah!\And...\Going to the cafeteria now?\O-Oga!\Y-Yeah, but I'm waiting for Honoka.\You?\Oh, class rep work.\Yeah. response:	And I'm starving, too!
context: And...\Going to the cafeteria now?\O-Oga!\Y-Yeah, but I'm waiting for Honoka.\You?\Oh, class rep work.\Yeah.\And I'm starving, too! response:	Sensei really runs us ragged!
context: Going to the cafeteria now?\O-Oga!\Y-Yeah, but I'm waiting for Honoka.\You?\Oh, class rep work.\Yeah.\And I'm starving, too!\Sensei really runs us ragged! response:	Right, Hishiro-san?
context: O-Oga!\Y-Yeah, but I'm waiting for Honoka.\You?\Oh, class rep work.\Yeah.\And I'm starving, too!\Sensei really runs us ragged!\Right, Hishiro-san? response:	Kazu-kun.
context: Y-Yeah, but I'm waiting for Honoka.\You?\Oh, class rep work.\Yeah.\And I'm starving, too!\Sensei really runs us ragged!\Right, Hishiro-san?\Kazu-kun. response:	Ryo's notebook was lying on the floor in the hallway.
context: You?\Oh, class rep work.\Yeah.\And I'm starving, too!\Sensei really runs us ragged!\Right, Hishiro-san?\Kazu-kun.\Ryo's notebook was lying on the floor in the hallway. response:	Huh?
context: Oh, class rep work.\Yeah.\And I'm starving, too!\Sensei really runs us ragged!\Right, Hishiro-san?\Kazu-kun.\Ryo's notebook was lying on the floor in the hallway.\Huh? response:	Who's Ryo?
context: Yeah.\And I'm starving, too!\Sensei really runs us ragged!\Right, Hishiro-san?\Kazu-kun.\Ryo's notebook was lying on the floor in the hallway.\Huh?\Who's Ryo? response:	Are you okay, Kazu-kun?
context: And I'm starving, too!\Sensei really runs us ragged!\Right, Hishiro-san?\Kazu-kun.\Ryo's notebook was lying on the floor in the hallway.\Huh?\Who's Ryo?\Are you okay, Kazu-kun? response:	Sorry, it got a bit heavy.
context: Sensei really runs us ragged!\Right, Hishiro-san?\Kazu-kun.\Ryo's notebook was lying on the floor in the hallway.\Huh?\Who's Ryo?\Are you okay, Kazu-kun?\Sorry, it got a bit heavy. response:	This is why I told you to let me carry half.
context: Right, Hishiro-san?\Kazu-kun.\Ryo's notebook was lying on the floor in the hallway.\Huh?\Who's Ryo?\Are you okay, Kazu-kun?\Sorry, it got a bit heavy.\This is why I told you to let me carry half. response:	Sorry.
context: Kazu-kun.\Ryo's notebook was lying on the floor in the hallway.\Huh?\Who's Ryo?\Are you okay, Kazu-kun?\Sorry, it got a bit heavy.\This is why I told you to let me carry half.\Sorry. response:	Give that here.
context: Ryo's notebook was lying on the floor in the hallway.\Huh?\Who's Ryo?\Are you okay, Kazu-kun?\Sorry, it got a bit heavy.\This is why I told you to let me carry half.\Sorry.\Give that here. response:	I'll take half.
context: Huh?\Who's Ryo?\Are you okay, Kazu-kun?\Sorry, it got a bit heavy.\This is why I told you to let me carry half.\Sorry.\Give that here.\I'll take half. response:	Oh, Ryo is Yoake-kun.
context: Who's Ryo?\Are you okay, Kazu-kun?\Sorry, it got a bit heavy.\This is why I told you to let me carry half.\Sorry.\Give that here.\I'll take half.\Oh, Ryo is Yoake-kun. response:	You friends with him?
context: Are you okay, Kazu-kun?\Sorry, it got a bit heavy.\This is why I told you to let me carry half.\Sorry.\Give that here.\I'll take half.\Oh, Ryo is Yoake-kun.\You friends with him? response:	He was just in the same class last year.
context: Sorry, it got a bit heavy.\This is why I told you to let me carry half.\Sorry.\Give that here.\I'll take half.\Oh, Ryo is Yoake-kun.\You friends with him?\He was just in the same class last year. response:	So... first name?
context: This is why I told you to let me carry half.\Sorry.\Give that here.\I'll take half.\Oh, Ryo is Yoake-kun.\You friends with him?\He was just in the same class last year.\So... first name? response:	What was with that victorious smirk?!
context: Sorry.\Give that here.\I'll take half.\Oh, Ryo is Yoake-kun.\You friends with him?\He was just in the same class last year.\So... first name?\What was with that victorious smirk?! response:	She was trying for a friendly smile.
context: Give that here.\I'll take half.\Oh, Ryo is Yoake-kun.\You friends with him?\He was just in the same class last year.\So... first name?\What was with that victorious smirk?!\She was trying for a friendly smile. response:	What part of that was friendly?!
context: I'll take half.\Oh, Ryo is Yoake-kun.\You friends with him?\He was just in the same class last year.\So... first name?\What was with that victorious smirk?!\She was trying for a friendly smile.\What part of that was friendly?! response:	She was sneering at me!
context: Oh, Ryo is Yoake-kun.\You friends with him?\He was just in the same class last year.\So... first name?\What was with that victorious smirk?!\She was trying for a friendly smile.\What part of that was friendly?!\She was sneering at me! response:	What's up?
context: You friends with him?\He was just in the same class last year.\So... first name?\What was with that victorious smirk?!\She was trying for a friendly smile.\What part of that was friendly?!\She was sneering at me!\What's up? response:	Are you mad about something?
context: He was just in the same class last year.\So... first name?\What was with that victorious smirk?!\She was trying for a friendly smile.\What part of that was friendly?!\She was sneering at me!\What's up?\Are you mad about something? response:	Nah.
context: So... first name?\What was with that victorious smirk?!\She was trying for a friendly smile.\What part of that was friendly?!\She was sneering at me!\What's up?\Are you mad about something?\Nah. response:	Argh, I can't stand it!
context: What was with that victorious smirk?!\She was trying for a friendly smile.\What part of that was friendly?!\She was sneering at me!\What's up?\Are you mad about something?\Nah.\Argh, I can't stand it! response:	I can't get that face out of my head!
context: She was trying for a friendly smile.\What part of that was friendly?!\She was sneering at me!\What's up?\Are you mad about something?\Nah.\Argh, I can't stand it!\I can't get that face out of my head! response:	Why's she flashing that gross face at me?!
context: What part of that was friendly?!\She was sneering at me!\What's up?\Are you mad about something?\Nah.\Argh, I can't stand it!\I can't get that face out of my head!\Why's she flashing that gross face at me?! response:	I don't get it!
context: She was sneering at me!\What's up?\Are you mad about something?\Nah.\Argh, I can't stand it!\I can't get that face out of my head!\Why's she flashing that gross face at me?!\I don't get it! response:	Rena, you're definitely pissed off.
context: What's up?\Are you mad about something?\Nah.\Argh, I can't stand it!\I can't get that face out of my head!\Why's she flashing that gross face at me?!\I don't get it!\Rena, you're definitely pissed off. response:	I feel sorry for your fried rice.
context: Are you mad about something?\Nah.\Argh, I can't stand it!\I can't get that face out of my head!\Why's she flashing that gross face at me?!\I don't get it!\Rena, you're definitely pissed off.\I feel sorry for your fried rice. response:	White Milk Non-homogenized
context: Nah.\Argh, I can't stand it!\I can't get that face out of my head!\Why's she flashing that gross face at me?!\I don't get it!\Rena, you're definitely pissed off.\I feel sorry for your fried rice.\White Milk Non-homogenized response:	You lack calcium.
context: Argh, I can't stand it!\I can't get that face out of my head!\Why's she flashing that gross face at me?!\I don't get it!\Rena, you're definitely pissed off.\I feel sorry for your fried rice.\White Milk Non-homogenized\You lack calcium. response:	Want some milk?
context: I can't get that face out of my head!\Why's she flashing that gross face at me?!\I don't get it!\Rena, you're definitely pissed off.\I feel sorry for your fried rice.\White Milk Non-homogenized\You lack calcium.\Want some milk? response:	Ew.
context: Why's she flashing that gross face at me?!\I don't get it!\Rena, you're definitely pissed off.\I feel sorry for your fried rice.\White Milk Non-homogenized\You lack calcium.\Want some milk?\Ew. response:	How do you drink milk with rice?
context: I don't get it!\Rena, you're definitely pissed off.\I feel sorry for your fried rice.\White Milk Non-homogenized\You lack calcium.\Want some milk?\Ew.\How do you drink milk with rice? response:	Huh? It's normal! All through grade school...
context: Rena, you're definitely pissed off.\I feel sorry for your fried rice.\White Milk Non-homogenized\You lack calcium.\Want some milk?\Ew.\How do you drink milk with rice?\Huh? It's normal! All through grade school... response:	They didn't give us an option back then!
context: I feel sorry for your fried rice.\White Milk Non-homogenized\You lack calcium.\Want some milk?\Ew.\How do you drink milk with rice?\Huh? It's normal! All through grade school...\They didn't give us an option back then! response:	I'm gonna drink a ton of milk and grow taller for volleyball.
context: White Milk Non-homogenized\You lack calcium.\Want some milk?\Ew.\How do you drink milk with rice?\Huh? It's normal! All through grade school...\They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball. response:	All that nutrition...
context: You lack calcium.\Want some milk?\Ew.\How do you drink milk with rice?\Huh? It's normal! All through grade school...\They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition... response:	Honoka wound up beating me on every part of the fitness test.
context: Want some milk?\Ew.\How do you drink milk with rice?\Huh? It's normal! All through grade school...\They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition...\Honoka wound up beating me on every part of the fitness test. response:	I knew it! You're really fast!
context: Ew.\How do you drink milk with rice?\Huh? It's normal! All through grade school...\They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition...\Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast! response:	As for your name, I'm sorry.
context: How do you drink milk with rice?\Huh? It's normal! All through grade school...\They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition...\Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast!\As for your name, I'm sorry. response:	I don't know it, so I couldn't use it.
context: Huh? It's normal! All through grade school...\They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition...\Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast!\As for your name, I'm sorry.\I don't know it, so I couldn't use it. response:	Honoka... and Hishiro.
context: They didn't give us an option back then!\I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition...\Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast!\As for your name, I'm sorry.\I don't know it, so I couldn't use it.\Honoka... and Hishiro. response:	I'm the only one who sees us as rivals.
context: I'm gonna drink a ton of milk and grow taller for volleyball.\All that nutrition...\Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast!\As for your name, I'm sorry.\I don't know it, so I couldn't use it.\Honoka... and Hishiro.\I'm the only one who sees us as rivals. response:	They just keep outdoing me easily, without even caring.
context: All that nutrition...\Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast!\As for your name, I'm sorry.\I don't know it, so I couldn't use it.\Honoka... and Hishiro.\I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring. response:	Rena?
context: Honoka wound up beating me on every part of the fitness test.\I knew it! You're really fast!\As for your name, I'm sorry.\I don't know it, so I couldn't use it.\Honoka... and Hishiro.\I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring.\Rena? response:	Are you okay?
context: I knew it! You're really fast!\As for your name, I'm sorry.\I don't know it, so I couldn't use it.\Honoka... and Hishiro.\I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring.\Rena?\Are you okay? response:	Sorry!
context: As for your name, I'm sorry.\I don't know it, so I couldn't use it.\Honoka... and Hishiro.\I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring.\Rena?\Are you okay?\Sorry! response:	I hate that I'm no match for her,
context: I don't know it, so I couldn't use it.\Honoka... and Hishiro.\I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring.\Rena?\Are you okay?\Sorry!\I hate that I'm no match for her, response:	but I love Honoka regardless.
context: Honoka... and Hishiro.\I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring.\Rena?\Are you okay?\Sorry!\I hate that I'm no match for her,\but I love Honoka regardless. response:	She's a good friend.
context: I'm the only one who sees us as rivals.\They just keep outdoing me easily, without even caring.\Rena?\Are you okay?\Sorry!\I hate that I'm no match for her,\but I love Honoka regardless.\She's a good friend. response:	But...
context: They just keep outdoing me easily, without even caring.\Rena?\Are you okay?\Sorry!\I hate that I'm no match for her,\but I love Honoka regardless.\She's a good friend.\But... response:	But that girl...
context: Rena?\Are you okay?\Sorry!\I hate that I'm no match for her,\but I love Honoka regardless.\She's a good friend.\But...\But that girl... response:	Kazu-kun...
context: Are you okay?\Sorry!\I hate that I'm no match for her,\but I love Honoka regardless.\She's a good friend.\But...\But that girl...\Kazu-kun... response:	I don't think I can ever come to terms with her!
context: Sorry!\I hate that I'm no match for her,\but I love Honoka regardless.\She's a good friend.\But...\But that girl...\Kazu-kun...\I don't think I can ever come to terms with her! response:	Why's she eating alone in the cafeteria?!
context: I hate that I'm no match for her,\but I love Honoka regardless.\She's a good friend.\But...\But that girl...\Kazu-kun...\I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?! response:	Trying to make herself look lonely?!
context: but I love Honoka regardless.\She's a good friend.\But...\But that girl...\Kazu-kun...\I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?! response:	Waiting for some dude to hit on her?!
context: She's a good friend.\But...\But that girl...\Kazu-kun...\I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?!\Waiting for some dude to hit on her?! response:	Rena...
context: But...\But that girl...\Kazu-kun...\I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?!\Waiting for some dude to hit on her?!\Rena... response:	We're truly ashamed.
context: But that girl...\Kazu-kun...\I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?!\Waiting for some dude to hit on her?!\Rena...\We're truly ashamed. response:	How long is this gonna go on?
context: Kazu-kun...\I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?!\Waiting for some dude to hit on her?!\Rena...\We're truly ashamed.\How long is this gonna go on? response:	It's only our third try!
context: I don't think I can ever come to terms with her!\Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?!\Waiting for some dude to hit on her?!\Rena...\We're truly ashamed.\How long is this gonna go on?\It's only our third try! response:	Yeah!
context: Why's she eating alone in the cafeteria?!\Trying to make herself look lonely?!\Waiting for some dude to hit on her?!\Rena...\We're truly ashamed.\How long is this gonna go on?\It's only our third try!\Yeah! response:	Counting the real one, it's your fourth!
context: Trying to make herself look lonely?!\Waiting for some dude to hit on her?!\Rena...\We're truly ashamed.\How long is this gonna go on?\It's only our third try!\Yeah!\Counting the real one, it's your fourth! response:	I dunno how you can take tests for a month straight!
context: Waiting for some dude to hit on her?!\Rena...\We're truly ashamed.\How long is this gonna go on?\It's only our third try!\Yeah!\Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight! response:	Don't you even want to be free?!
context: Rena...\We're truly ashamed.\How long is this gonna go on?\It's only our third try!\Yeah!\Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight!\Don't you even want to be free?! response:	I do!
context: We're truly ashamed.\How long is this gonna go on?\It's only our third try!\Yeah!\Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight!\Don't you even want to be free?!\I do! response:	Extremely.
context: How long is this gonna go on?\It's only our third try!\Yeah!\Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight!\Don't you even want to be free?!\I do!\Extremely. response:	At this rate, we'll need to hold study sessions through Golden Week...
context: It's only our third try!\Yeah!\Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight!\Don't you even want to be free?!\I do!\Extremely.\At this rate, we'll need to hold study sessions through Golden Week... response:	Huh?
context: Yeah!\Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight!\Don't you even want to be free?!\I do!\Extremely.\At this rate, we'll need to hold study sessions through Golden Week...\Huh? response:	Don't give me that!
context: Counting the real one, it's your fourth!\I dunno how you can take tests for a month straight!\Don't you even want to be free?!\I do!\Extremely.\At this rate, we'll need to hold study sessions through Golden Week...\Huh?\Don't give me that! response:	I'm sick of this!
context: I dunno how you can take tests for a month straight!\Don't you even want to be free?!\I do!\Extremely.\At this rate, we'll need to hold study sessions through Golden Week...\Huh?\Don't give me that!\I'm sick of this! response:	I'm starting to lose confidence in my teaching.
context: Don't you even want to be free?!\I do!\Extremely.\At this rate, we'll need to hold study sessions through Golden Week...\Huh?\Don't give me that!\I'm sick of this!\I'm starting to lose confidence in my teaching. response:	Does Hishiro-san eat lunch alone?
context: I do!\Extremely.\At this rate, we'll need to hold study sessions through Golden Week...\Huh?\Don't give me that!\I'm sick of this!\I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone? response:	He's right. She's eating alone.
context: Extremely.\At this rate, we'll need to hold study sessions through Golden Week...\Huh?\Don't give me that!\I'm sick of this!\I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone?\He's right. She's eating alone. response:	Come to think of it...
context: At this rate, we'll need to hold study sessions through Golden Week...\Huh?\Don't give me that!\I'm sick of this!\I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone?\He's right. She's eating alone.\Come to think of it... response:	I'm trying to take the first step toward not being a friendless loner.
context: Huh?\Don't give me that!\I'm sick of this!\I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone?\He's right. She's eating alone.\Come to think of it...\I'm trying to take the first step toward not being a friendless loner. response:	I know!
context: Don't give me that!\I'm sick of this!\I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone?\He's right. She's eating alone.\Come to think of it...\I'm trying to take the first step toward not being a friendless loner.\I know! response:	Let's invite her here to eat with us!
context: I'm sick of this!\I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone?\He's right. She's eating alone.\Come to think of it...\I'm trying to take the first step toward not being a friendless loner.\I know!\Let's invite her here to eat with us! response:	And we can have her help tutor you two!
context: I'm starting to lose confidence in my teaching.\Does Hishiro-san eat lunch alone?\He's right. She's eating alone.\Come to think of it...\I'm trying to take the first step toward not being a friendless loner.\I know!\Let's invite her here to eat with us!\And we can have her help tutor you two! response:	How lucky is that?
context: Does Hishiro-san eat lunch alone?\He's right. She's eating alone.\Come to think of it...\I'm trying to take the first step toward not being a friendless loner.\I know!\Let's invite her here to eat with us!\And we can have her help tutor you two!\How lucky is that? response:	Two silver pins teaching you!
context: He's right. She's eating alone.\Come to think of it...\I'm trying to take the first step toward not being a friendless loner.\I know!\Let's invite her here to eat with us!\And we can have her help tutor you two!\How lucky is that?\Two silver pins teaching you! response:	Thanks.
context: Come to think of it...\I'm trying to take the first step toward not being a friendless loner.\I know!\Let's invite her here to eat with us!\And we can have her help tutor you two!\How lucky is that?\Two silver pins teaching you!\Thanks. response:	I'll go ask.
context: I'm trying to take the first step toward not being a friendless loner.\I know!\Let's invite her here to eat with us!\And we can have her help tutor you two!\How lucky is that?\Two silver pins teaching you!\Thanks.\I'll go ask. response:	Yeah.
context: I know!\Let's invite her here to eat with us!\And we can have her help tutor you two!\How lucky is that?\Two silver pins teaching you!\Thanks.\I'll go ask.\Yeah. response:	Oga, wait!
context: Let's invite her here to eat with us!\And we can have her help tutor you two!\How lucky is that?\Two silver pins teaching you!\Thanks.\I'll go ask.\Yeah.\Oga, wait! response:	Huh?
context: And we can have her help tutor you two!\How lucky is that?\Two silver pins teaching you!\Thanks.\I'll go ask.\Yeah.\Oga, wait!\Huh? response:	What?
context: How lucky is that?\Two silver pins teaching you!\Thanks.\I'll go ask.\Yeah.\Oga, wait!\Huh?\What? response:	Oh, you wanna go?
context: Two silver pins teaching you!\Thanks.\I'll go ask.\Yeah.\Oga, wait!\Huh?\What?\Oh, you wanna go? response:	Right. You two are on friendly terms.
context: Thanks.\I'll go ask.\Yeah.\Oga, wait!\Huh?\What?\Oh, you wanna go?\Right. You two are on friendly terms. response:	Uh, no, that's not it...
context: I'll go ask.\Yeah.\Oga, wait!\Huh?\What?\Oh, you wanna go?\Right. You two are on friendly terms.\Uh, no, that's not it... response:	We'd better not ask her.
context: Yeah.\Oga, wait!\Huh?\What?\Oh, you wanna go?\Right. You two are on friendly terms.\Uh, no, that's not it...\We'd better not ask her. response:	Huh? Why not?
context: Oga, wait!\Huh?\What?\Oh, you wanna go?\Right. You two are on friendly terms.\Uh, no, that's not it...\We'd better not ask her.\Huh? Why not? response:	It's perfect!
context: Huh?\What?\Oh, you wanna go?\Right. You two are on friendly terms.\Uh, no, that's not it...\We'd better not ask her.\Huh? Why not?\It's perfect! response:	She's alone, and we could use the help!
context: What?\Oh, you wanna go?\Right. You two are on friendly terms.\Uh, no, that's not it...\We'd better not ask her.\Huh? Why not?\It's perfect!\She's alone, and we could use the help! response:	Yeah, I know that, but...
context: Oh, you wanna go?\Right. You two are on friendly terms.\Uh, no, that's not it...\We'd better not ask her.\Huh? Why not?\It's perfect!\She's alone, and we could use the help!\Yeah, I know that, but... response:	Then why not?
context: Right. You two are on friendly terms.\Uh, no, that's not it...\We'd better not ask her.\Huh? Why not?\It's perfect!\She's alone, and we could use the help!\Yeah, I know that, but...\Then why not? response:	Well...
context: Uh, no, that's not it...\We'd better not ask her.\Huh? Why not?\It's perfect!\She's alone, and we could use the help!\Yeah, I know that, but...\Then why not?\Well... response:	Oh...
context: We'd better not ask her.\Huh? Why not?\It's perfect!\She's alone, and we could use the help!\Yeah, I know that, but...\Then why not?\Well...\Oh... response:	I see now.
context: Huh? Why not?\It's perfect!\She's alone, and we could use the help!\Yeah, I know that, but...\Then why not?\Well...\Oh...\I see now. response:	I get it!
context: It's perfect!\She's alone, and we could use the help!\Yeah, I know that, but...\Then why not?\Well...\Oh...\I see now.\I get it! response:	You're jealous!
context: She's alone, and we could use the help!\Yeah, I know that, but...\Then why not?\Well...\Oh...\I see now.\I get it!\You're jealous! response:	You don't want any other guys getting close to Hishiro-san.
context: Yeah, I know that, but...\Then why not?\Well...\Oh...\I see now.\I get it!\You're jealous!\You don't want any other guys getting close to Hishiro-san. response:	Huh?!
context: Then why not?\Well...\Oh...\I see now.\I get it!\You're jealous!\You don't want any other guys getting close to Hishiro-san.\Huh?! response:	It'll be fine! Don't worry about me.
context: Well...\Oh...\I see now.\I get it!\You're jealous!\You don't want any other guys getting close to Hishiro-san.\Huh?!\It'll be fine! Don't worry about me. response:	That ain't it, dumbass!
context: Oh...\I see now.\I get it!\You're jealous!\You don't want any other guys getting close to Hishiro-san.\Huh?!\It'll be fine! Don't worry about me.\That ain't it, dumbass! response:	If you want to talk to me about love, come back in another ten years!
context: I see now.\I get it!\You're jealous!\You don't want any other guys getting close to Hishiro-san.\Huh?!\It'll be fine! Don't worry about me.\That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years! response:	Anyway,
context: I get it!\You're jealous!\You don't want any other guys getting close to Hishiro-san.\Huh?!\It'll be fine! Don't worry about me.\That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years!\Anyway, response:	An and I just have to buckle down and pass, right?
context: You're jealous!\You don't want any other guys getting close to Hishiro-san.\Huh?!\It'll be fine! Don't worry about me.\That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years!\Anyway,\An and I just have to buckle down and pass, right? response:	Put Hishiro-san on hold for now.
context: You don't want any other guys getting close to Hishiro-san.\Huh?!\It'll be fine! Don't worry about me.\That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years!\Anyway,\An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now. response:	Yikes. He ain't buying that at all.
context: Huh?!\It'll be fine! Don't worry about me.\That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years!\Anyway,\An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all. response:	I don't get it, but whatever.
context: It'll be fine! Don't worry about me.\That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years!\Anyway,\An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all.\I don't get it, but whatever. response:	If you insist.
context: That ain't it, dumbass!\If you want to talk to me about love, come back in another ten years!\Anyway,\An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all.\I don't get it, but whatever.\If you insist. response:	Yeah. We'll do our best to pass.
context: If you want to talk to me about love, come back in another ten years!\Anyway,\An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all.\I don't get it, but whatever.\If you insist.\Yeah. We'll do our best to pass. response:	Might be none of my business,
context: Anyway,\An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all.\I don't get it, but whatever.\If you insist.\Yeah. We'll do our best to pass.\Might be none of my business, response:	but I don't wanna see her and Kariu fight.
context: An and I just have to buckle down and pass, right?\Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all.\I don't get it, but whatever.\If you insist.\Yeah. We'll do our best to pass.\Might be none of my business,\but I don't wanna see her and Kariu fight. response:	I want to change.
context: Put Hishiro-san on hold for now.\Yikes. He ain't buying that at all.\I don't get it, but whatever.\If you insist.\Yeah. We'll do our best to pass.\Might be none of my business,\but I don't wanna see her and Kariu fight.\I want to change. response:	Am I really unapproachable?
context: Yikes. He ain't buying that at all.\I don't get it, but whatever.\If you insist.\Yeah. We'll do our best to pass.\Might be none of my business,\but I don't wanna see her and Kariu fight.\I want to change.\Am I really unapproachable? response:	But maybe I hurt Hishiro-san's chances a bit.
context: I don't get it, but whatever.\If you insist.\Yeah. We'll do our best to pass.\Might be none of my business,\but I don't wanna see her and Kariu fight.\I want to change.\Am I really unapproachable?\But maybe I hurt Hishiro-san's chances a bit. response:	Just when Oga thought to invite her over.
