context: It's been too long. response:	Episode 3 The Confession
context: Ha-\Hakim!\Long time no see, William.\Are you surprised to see me?\I can't believe you rode here on an elephant...\But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself. response:	By yourself, eh?
context: Hakim!\Long time no see, William.\Are you surprised to see me?\I can't believe you rode here on an elephant...\But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself.\By yourself, eh? response:	You always came to visit me.
context: Long time no see, William.\Are you surprised to see me?\I can't believe you rode here on an elephant...\But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself.\By yourself, eh?\You always came to visit me. response:	I thought I'd return the favor and come to visit you instead.
context: Are you surprised to see me?\I can't believe you rode here on an elephant...\But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself.\By yourself, eh?\You always came to visit me.\I thought I'd return the favor and come to visit you instead. response:	Brother...
context: I can't believe you rode here on an elephant...\But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself.\By yourself, eh?\You always came to visit me.\I thought I'd return the favor and come to visit you instead.\Brother... response:	Ah, let me introduce you. This is my friend from lndia, Hakim.
context: But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself.\By yourself, eh?\You always came to visit me.\I thought I'd return the favor and come to visit you instead.\Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim. response:	A pleasure to meet you.
context: My grandmother's been giving me a hard time at home.\Sometimes you just feel like taking a trip by yourself.\By yourself, eh?\You always came to visit me.\I thought I'd return the favor and come to visit you instead.\Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you. response:	I'm William's sister, Grace. He's told me about you.
context: Sometimes you just feel like taking a trip by yourself.\By yourself, eh?\You always came to visit me.\I thought I'd return the favor and come to visit you instead.\Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you.\I'm William's sister, Grace. He's told me about you. response:	Thank you for always looking after him.
context: By yourself, eh?\You always came to visit me.\I thought I'd return the favor and come to visit you instead.\Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you.\I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him. response:	Huh? I'm the one who was always looking after him...
context: You always came to visit me.\I thought I'd return the favor and come to visit you instead.\Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you.\I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him.\Huh? I'm the one who was always looking after him... response:	He's so exotic and handsome!
context: I thought I'd return the favor and come to visit you instead.\Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you.\I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him.\Huh? I'm the one who was always looking after him...\He's so exotic and handsome! response:	I can't believe he's a friend of brother Will's!
context: Brother...\Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you.\I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him.\Huh? I'm the one who was always looking after him...\He's so exotic and handsome!\I can't believe he's a friend of brother Will's! response:	Are you serious?
context: Ah, let me introduce you. This is my friend from lndia, Hakim.\A pleasure to meet you.\I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him.\Huh? I'm the one who was always looking after him...\He's so exotic and handsome!\I can't believe he's a friend of brother Will's!\Are you serious? response:	Even so...
context: A pleasure to meet you.\I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him.\Huh? I'm the one who was always looking after him...\He's so exotic and handsome!\I can't believe he's a friend of brother Will's!\Are you serious?\Even so... response:	If you like the elephants, I'll give you one.
context: I'm William's sister, Grace. He's told me about you.\Thank you for always looking after him.\Huh? I'm the one who was always looking after him...\He's so exotic and handsome!\I can't believe he's a friend of brother Will's!\Are you serious?\Even so...\If you like the elephants, I'll give you one. response:	Choose whichever one you want.
context: Thank you for always looking after him.\Huh? I'm the one who was always looking after him...\He's so exotic and handsome!\I can't believe he's a friend of brother Will's!\Are you serious?\Even so...\If you like the elephants, I'll give you one.\Choose whichever one you want. response:	Thanks, but no thanks. Besides, can those creatures be trusted?
context: Huh? I'm the one who was always looking after him...\He's so exotic and handsome!\I can't believe he's a friend of brother Will's!\Are you serious?\Even so...\If you like the elephants, I'll give you one.\Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted? response:	If something that large was to go on a rampage...
context: He's so exotic and handsome!\I can't believe he's a friend of brother Will's!\Are you serious?\Even so...\If you like the elephants, I'll give you one.\Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage... response:	Ah, no need to worry about that.
context: I can't believe he's a friend of brother Will's!\Are you serious?\Even so...\If you like the elephants, I'll give you one.\Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage...\Ah, no need to worry about that. response:	Elephants are really quite calm and docile.
context: Are you serious?\Even so...\If you like the elephants, I'll give you one.\Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage...\Ah, no need to worry about that.\Elephants are really quite calm and docile. response:	It's rare for them to attack a human.
context: Even so...\If you like the elephants, I'll give you one.\Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage...\Ah, no need to worry about that.\Elephants are really quite calm and docile.\It's rare for them to attack a human. response:	They're very clever, sacred creatures.
context: If you like the elephants, I'll give you one.\Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage...\Ah, no need to worry about that.\Elephants are really quite calm and docile.\It's rare for them to attack a human.\They're very clever, sacred creatures. response:	If that's true...
context: Choose whichever one you want.\Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage...\Ah, no need to worry about that.\Elephants are really quite calm and docile.\It's rare for them to attack a human.\They're very clever, sacred creatures.\If that's true... response:	Don't worry about him. He's just a bit cranky.
context: Thanks, but no thanks. Besides, can those creatures be trusted?\If something that large was to go on a rampage...\Ah, no need to worry about that.\Elephants are really quite calm and docile.\It's rare for them to attack a human.\They're very clever, sacred creatures.\If that's true...\Don't worry about him. He's just a bit cranky. response:	Anyway, I plan to stay for a week.
context: If something that large was to go on a rampage...\Ah, no need to worry about that.\Elephants are really quite calm and docile.\It's rare for them to attack a human.\They're very clever, sacred creatures.\If that's true...\Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week. response:	What?
context: Ah, no need to worry about that.\Elephants are really quite calm and docile.\It's rare for them to attack a human.\They're very clever, sacred creatures.\If that's true...\Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week.\What? response:	And since I'd like to keep things quiet,
context: Elephants are really quite calm and docile.\It's rare for them to attack a human.\They're very clever, sacred creatures.\If that's true...\Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week.\What?\And since I'd like to keep things quiet, response:	please don't tell anyone else that I'm here.
context: It's rare for them to attack a human.\They're very clever, sacred creatures.\If that's true...\Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week.\What?\And since I'd like to keep things quiet,\please don't tell anyone else that I'm here. response:	What?
context: They're very clever, sacred creatures.\If that's true...\Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week.\What?\And since I'd like to keep things quiet,\please don't tell anyone else that I'm here.\What? response:	Oh my!
context: If that's true...\Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week.\What?\And since I'd like to keep things quiet,\please don't tell anyone else that I'm here.\What?\Oh my! response:	A member of the lndian royal family, the son of Atawari, Hakim Atawari...
context: Don't worry about him. He's just a bit cranky.\Anyway, I plan to stay for a week.\What?\And since I'd like to keep things quiet,\please don't tell anyone else that I'm here.\What?\Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari... response:	Well, if it's in the newspaper, it's not much of a secret.
context: Anyway, I plan to stay for a week.\What?\And since I'd like to keep things quiet,\please don't tell anyone else that I'm here.\What?\Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret. response:	India, you say?
context: What?\And since I'd like to keep things quiet,\please don't tell anyone else that I'm here.\What?\Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret.\India, you say? response:	The Jones family is involved in trade. It's something to do with their work, no doubt.
context: And since I'd like to keep things quiet,\please don't tell anyone else that I'm here.\What?\Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret.\India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt. response:	India...
context: please don't tell anyone else that I'm here.\What?\Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret.\India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt.\India... response:	So then, did he come on an elephant?
context: What?\Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret.\India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt.\India...\So then, did he come on an elephant? response:	That's unlikely!
context: Oh my!\A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret.\India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt.\India...\So then, did he come on an elephant?\That's unlikely! response:	Master William.
context: A member of the lndian royal family, the son of Atawari, Hakim Atawari...\Well, if it's in the newspaper, it's not much of a secret.\India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt.\India...\So then, did he come on an elephant?\That's unlikely!\Master William. response:	Is that you, Stevens? What is it?
context: Well, if it's in the newspaper, it's not much of a secret.\India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt.\India...\So then, did he come on an elephant?\That's unlikely!\Master William.\Is that you, Stevens? What is it? response:	Mister Hakim would like to see you in his room, sir.
context: India, you say?\The Jones family is involved in trade. It's something to do with their work, no doubt.\India...\So then, did he come on an elephant?\That's unlikely!\Master William.\Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir. response:	Hakim, I'm coming in.
context: The Jones family is involved in trade. It's something to do with their work, no doubt.\India...\So then, did he come on an elephant?\That's unlikely!\Master William.\Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in. response:	Wha...?
context: India...\So then, did he come on an elephant?\That's unlikely!\Master William.\Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in.\Wha...? response:	Hakim... this is...
context: So then, did he come on an elephant?\That's unlikely!\Master William.\Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in.\Wha...?\Hakim... this is... response:	Impressive, isn't it? I can redecorate your room this way too if you like.
context: That's unlikely!\Master William.\Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in.\Wha...?\Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like. response:	No thanks... I'll pass.
context: Master William.\Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in.\Wha...?\Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass. response:	You really do need to relax more.
context: Is that you, Stevens? What is it?\Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in.\Wha...?\Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass.\You really do need to relax more. response:	Anyway, what did you want me for?
context: Mister Hakim would like to see you in his room, sir.\Hakim, I'm coming in.\Wha...?\Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass.\You really do need to relax more.\Anyway, what did you want me for? response:	Ah, yes.
context: Hakim, I'm coming in.\Wha...?\Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass.\You really do need to relax more.\Anyway, what did you want me for?\Ah, yes. response:	Since I've come all this way to England, I thought some sightseeing would be nice.
context: Wha...?\Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass.\You really do need to relax more.\Anyway, what did you want me for?\Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice. response:	Very well. I'll prepare a carriage for you.
context: Hakim... this is...\Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass.\You really do need to relax more.\Anyway, what did you want me for?\Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you. response:	That won't be necessary.
context: Impressive, isn't it? I can redecorate your room this way too if you like.\No thanks... I'll pass.\You really do need to relax more.\Anyway, what did you want me for?\Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you.\That won't be necessary. response:	What's that?
context: No thanks... I'll pass.\You really do need to relax more.\Anyway, what did you want me for?\Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you.\That won't be necessary.\What's that? response:	I haven't drank enough yet to be hallucinating.
context: You really do need to relax more.\Anyway, what did you want me for?\Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you.\That won't be necessary.\What's that?\I haven't drank enough yet to be hallucinating. response:	Has London zoo started up sightseeing trips?
context: Anyway, what did you want me for?\Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you.\That won't be necessary.\What's that?\I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips? response:	Large animals like elephants should use the tube tunnels, don't you think?
context: Ah, yes.\Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you.\That won't be necessary.\What's that?\I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think? response:	We're so conspicuous...!
context: Since I've come all this way to England, I thought some sightseeing would be nice.\Very well. I'll prepare a carriage for you.\That won't be necessary.\What's that?\I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...! response:	Impressive, huh? Even lndians don't often see this kind of thing.
context: Very well. I'll prepare a carriage for you.\That won't be necessary.\What's that?\I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing. response:	Well, it certainly is remarkable, but...
context: That won't be necessary.\What's that?\I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but... response:	But I can't get used to the swaying...
context: What's that?\I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but...\But I can't get used to the swaying... response:	I'm happy you approve.
context: I haven't drank enough yet to be hallucinating.\Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but...\But I can't get used to the swaying...\I'm happy you approve. response:	All right then, as a special favor, I'll show you how fast this one can go.
context: Has London zoo started up sightseeing trips?\Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but...\But I can't get used to the swaying...\I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go. response:	How fast?
context: Large animals like elephants should use the tube tunnels, don't you think?\We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but...\But I can't get used to the swaying...\I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go.\How fast? response:	Speed up!
context: We're so conspicuous...!\Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but...\But I can't get used to the swaying...\I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go.\How fast?\Speed up! response:	Hey now, what are you...?
context: Impressive, huh? Even lndians don't often see this kind of thing.\Well, it certainly is remarkable, but...\But I can't get used to the swaying...\I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go.\How fast?\Speed up!\Hey now, what are you...? response:	W-Wait a minute!
context: Well, it certainly is remarkable, but...\But I can't get used to the swaying...\I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go.\How fast?\Speed up!\Hey now, what are you...?\W-Wait a minute! response:	If we go faster, the swaying...
context: But I can't get used to the swaying...\I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go.\How fast?\Speed up!\Hey now, what are you...?\W-Wait a minute!\If we go faster, the swaying... response:	Isn't it wonderful? This is my fastest elephant.
context: I'm happy you approve.\All right then, as a special favor, I'll show you how fast this one can go.\How fast?\Speed up!\Hey now, what are you...?\W-Wait a minute!\If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant. response:	I understand that... can we please just...
context: All right then, as a special favor, I'll show you how fast this one can go.\How fast?\Speed up!\Hey now, what are you...?\W-Wait a minute!\If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just... response:	Mr. Jones?
context: How fast?\Speed up!\Hey now, what are you...?\W-Wait a minute!\If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just...\Mr. Jones? response:	Ha-Hakim! Please, stop!
context: Speed up!\Hey now, what are you...?\W-Wait a minute!\If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just...\Mr. Jones?\Ha-Hakim! Please, stop! response:	Wow, neat!
context: Hey now, what are you...?\W-Wait a minute!\If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just...\Mr. Jones?\Ha-Hakim! Please, stop!\Wow, neat! response:	Are you all right?
context: W-Wait a minute!\If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just...\Mr. Jones?\Ha-Hakim! Please, stop!\Wow, neat!\Are you all right? response:	You'll feel a bit better if you throw up...
context: If we go faster, the swaying...\Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just...\Mr. Jones?\Ha-Hakim! Please, stop!\Wow, neat!\Are you all right?\You'll feel a bit better if you throw up... response:	How disgraceful, for a grown man to feel ill from a simple ride.
context: Isn't it wonderful? This is my fastest elephant.\I understand that... can we please just...\Mr. Jones?\Ha-Hakim! Please, stop!\Wow, neat!\Are you all right?\You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride. response:	People were never meant to ride such things.
context: I understand that... can we please just...\Mr. Jones?\Ha-Hakim! Please, stop!\Wow, neat!\Are you all right?\You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things. response:	To think...
context: Mr. Jones?\Ha-Hakim! Please, stop!\Wow, neat!\Are you all right?\You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things.\To think... response:	You're sweating badly.
context: Ha-Hakim! Please, stop!\Wow, neat!\Are you all right?\You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things.\To think...\You're sweating badly. response:	Does that feel a bit better?
context: Wow, neat!\Are you all right?\You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things.\To think...\You're sweating badly.\Does that feel a bit better? response:	Yes, much better.
context: Are you all right?\You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things.\To think...\You're sweating badly.\Does that feel a bit better?\Yes, much better. response:	Honestly, you gave me such a scare!
context: You'll feel a bit better if you throw up...\How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things.\To think...\You're sweating badly.\Does that feel a bit better?\Yes, much better.\Honestly, you gave me such a scare! response:	You always drop in on people so unexpectedly!
context: How disgraceful, for a grown man to feel ill from a simple ride.\People were never meant to ride such things.\To think...\You're sweating badly.\Does that feel a bit better?\Yes, much better.\Honestly, you gave me such a scare!\You always drop in on people so unexpectedly! response:	Forgive me.
context: People were never meant to ride such things.\To think...\You're sweating badly.\Does that feel a bit better?\Yes, much better.\Honestly, you gave me such a scare!\You always drop in on people so unexpectedly!\Forgive me. response:	Well, I'll let you off the hook for today.
context: To think...\You're sweating badly.\Does that feel a bit better?\Yes, much better.\Honestly, you gave me such a scare!\You always drop in on people so unexpectedly!\Forgive me.\Well, I'll let you off the hook for today. response:	Yes, ma'am...
context: You're sweating badly.\Does that feel a bit better?\Yes, much better.\Honestly, you gave me such a scare!\You always drop in on people so unexpectedly!\Forgive me.\Well, I'll let you off the hook for today.\Yes, ma'am... response:	Pleased... to meet you.
context: Does that feel a bit better?\Yes, much better.\Honestly, you gave me such a scare!\You always drop in on people so unexpectedly!\Forgive me.\Well, I'll let you off the hook for today.\Yes, ma'am...\Pleased... to meet you. response:	Hakim...?
context: Yes, much better.\Honestly, you gave me such a scare!\You always drop in on people so unexpectedly!\Forgive me.\Well, I'll let you off the hook for today.\Yes, ma'am...\Pleased... to meet you.\Hakim...? response:	Oh! I'm sorry. This is Hakim.
context: Honestly, you gave me such a scare!\You always drop in on people so unexpectedly!\Forgive me.\Well, I'll let you off the hook for today.\Yes, ma'am...\Pleased... to meet you.\Hakim...?\Oh! I'm sorry. This is Hakim. response:	He's visiting from lndia.
context: You always drop in on people so unexpectedly!\Forgive me.\Well, I'll let you off the hook for today.\Yes, ma'am...\Pleased... to meet you.\Hakim...?\Oh! I'm sorry. This is Hakim.\He's visiting from lndia. response:	Emma.
context: Forgive me.\Well, I'll let you off the hook for today.\Yes, ma'am...\Pleased... to meet you.\Hakim...?\Oh! I'm sorry. This is Hakim.\He's visiting from lndia.\Emma. response:	Yes?
context: Well, I'll let you off the hook for today.\Yes, ma'am...\Pleased... to meet you.\Hakim...?\Oh! I'm sorry. This is Hakim.\He's visiting from lndia.\Emma.\Yes? response:	Everything's fine now. You may return to work.
context: Yes, ma'am...\Pleased... to meet you.\Hakim...?\Oh! I'm sorry. This is Hakim.\He's visiting from lndia.\Emma.\Yes?\Everything's fine now. You may return to work. response:	Yes, ma'am.
context: Pleased... to meet you.\Hakim...?\Oh! I'm sorry. This is Hakim.\He's visiting from lndia.\Emma.\Yes?\Everything's fine now. You may return to work.\Yes, ma'am. response:	Emma...
context: Hakim...?\Oh! I'm sorry. This is Hakim.\He's visiting from lndia.\Emma.\Yes?\Everything's fine now. You may return to work.\Yes, ma'am.\Emma... response:	It's not so bad when you get used to it.
context: Oh! I'm sorry. This is Hakim.\He's visiting from lndia.\Emma.\Yes?\Everything's fine now. You may return to work.\Yes, ma'am.\Emma...\It's not so bad when you get used to it. response:	And I was able to meet Emma.
context: He's visiting from lndia.\Emma.\Yes?\Everything's fine now. You may return to work.\Yes, ma'am.\Emma...\It's not so bad when you get used to it.\And I was able to meet Emma. response:	What is is, Hakim? You've been very quiet.
context: Emma.\Yes?\Everything's fine now. You may return to work.\Yes, ma'am.\Emma...\It's not so bad when you get used to it.\And I was able to meet Emma.\What is is, Hakim? You've been very quiet. response:	Are you feeling ill?
context: Yes?\Everything's fine now. You may return to work.\Yes, ma'am.\Emma...\It's not so bad when you get used to it.\And I was able to meet Emma.\What is is, Hakim? You've been very quiet.\Are you feeling ill? response:	Huh? Has someone gone out?
context: Everything's fine now. You may return to work.\Yes, ma'am.\Emma...\It's not so bad when you get used to it.\And I was able to meet Emma.\What is is, Hakim? You've been very quiet.\Are you feeling ill?\Huh? Has someone gone out? response:	Yes, sir. Your guest left a few minutes ago.
context: Yes, ma'am.\Emma...\It's not so bad when you get used to it.\And I was able to meet Emma.\What is is, Hakim? You've been very quiet.\Are you feeling ill?\Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago. response:	Hakim did?
context: Emma...\It's not so bad when you get used to it.\And I was able to meet Emma.\What is is, Hakim? You've been very quiet.\Are you feeling ill?\Huh? Has someone gone out?\Yes, sir. Your guest left a few minutes ago.\Hakim did? response:	Emma.
