context: I'm taking you off this case, Kougami. response:	The body was eroded by a special kind of chemical.
context: Makishima.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being response:	I roam, a lost being
context: My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being response:	This world is impossibly hard on me
context: My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me response:	This world is impossibly hard on me
context: that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me response:	It's an illusion that plays out before my eyes
context: that I can never tell anybody of\In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes response:	It's an illusion that plays out before my eyes
context: In this perfect world\In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes response:	Can I find its faults?
context: In this perfect world\I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults? response:	Can I find its faults?
context: I roam, a lost being\I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults? response:	Plastic, all is plastic
context: I roam, a lost being\This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic response:	Plastic, all is plastic
context: This world is impossibly hard on me\This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic response:	Nobody is allowed to be insane
context: This world is impossibly hard on me\It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane response:	Nobody is allowed to be insane
context: It's an illusion that plays out before my eyes\It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane response:	You're made of plastic too, like this beautiful world
context: It's an illusion that plays out before my eyes\Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world response:	You're made of plastic too, like this beautiful world
context: Can I find its faults?\Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world response:	In this beautiful world
context: Can I find its faults?\Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world response:	In this beautiful world
context: Plastic, all is plastic\Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world response:	there is something
context: Plastic, all is plastic\Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something response:	there is something
context: Nobody is allowed to be insane\Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something response:	that obscures all light for me
context: Nobody is allowed to be insane\You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me response:	that obscures all light for me
context: You're made of plastic too, like this beautiful world\You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me response:	My heart tries to break out
context: You're made of plastic too, like this beautiful world\In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out response:	My heart tries to break out
context: In this beautiful world\In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out response:	and finds no answer
context: In this beautiful world\there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer response:	and finds no answer
context: there is something\there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer response:	Secret kills for you
context: there is something\that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you response:	Secret kills for you
context: that obscures all light for me\My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you response:	Secret kills for you
context: My heart tries to break out\My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you response:	The secret remains for you
context: My heart tries to break out\and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you response:	The secret remains for you
context: and finds no answer\and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you response:	Don't show me a dark future
context: and finds no answer\Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future response:	Don't show me a dark future
context: Secret kills for you\Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future response:	nor a world of pretense
context: Secret kills for you\Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense response:	nor a world of pretense
context: Secret kills for you\Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense response:	Keep our motion secret
context: Secret kills for you\The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret response:	Keep our motion secret
context: The secret remains for you\The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret response:	08: The Rest Is Silence
context: The secret remains for you\Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\08: The Rest Is Silence response:	The security...
context: Don't show me a dark future\Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\08: The Rest Is Silence\The security... response:	has gotten really tight, hasn't it?
context: Don't show me a dark future\nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\08: The Rest Is Silence\The security...\has gotten really tight, hasn't it? response:	Two students fell victim in short succession to crimes that had the same MO.
context: nor a world of pretense\nor a world of pretense\Keep our motion secret\Keep our motion secret\08: The Rest Is Silence\The security...\has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO. response:	If the academy doesn't take action, they'll have to answer to the parents.
context: nor a world of pretense\Keep our motion secret\Keep our motion secret\08: The Rest Is Silence\The security...\has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents. response:	In addition, the suspect is Touma Kouzaburo, a former teacher at this school.
context: Keep our motion secret\Keep our motion secret\08: The Rest Is Silence\The security...\has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school. response:	That narrows the Public Safety Bureau's investigation
context: Keep our motion secret\08: The Rest Is Silence\The security...\has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation response:	down to this school, Ousou Academy.
context: 08: The Rest Is Silence\The security...\has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy. response:	I guess I'm bound hand and foot for a while.
context: The security...\has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while. response:	Why did you only choose students within this school for your works of art?
context: has gotten really tight, hasn't it?\Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art? response:	This academy is a girls' boarding school.
context: Two students fell victim in short succession to crimes that had the same MO.\If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school. response:	What do you think of their education policy, Mr. Makishima?
context: If the academy doesn't take action, they'll have to answer to the parents.\In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima? response:	It's out of date,
context: In addition, the suspect is Touma Kouzaburo, a former teacher at this school.\That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\It's out of date, response:	but that also makes it rare and therefore valuable... I guess.
context: That narrows the Public Safety Bureau's investigation\down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\It's out of date,\but that also makes it rare and therefore valuable... I guess. response:	In this day and age, if parents want their daughters to receive an education in an old-style environment,
context: down to this school, Ousou Academy.\I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\It's out of date,\but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment, response:	this is the only choice they have.
context: I guess I'm bound hand and foot for a while.\Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\It's out of date,\but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have. response:	Chastity and grace...
context: Why did you only choose students within this school for your works of art?\This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\It's out of date,\but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have.\Chastity and grace... response:	Traditional virtues that have been lost.
context: This academy is a girls' boarding school.\What do you think of their education policy, Mr. Makishima?\It's out of date,\but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have.\Chastity and grace...\Traditional virtues that have been lost. response:	They comprise the educational ideology of Ousou Academy.
context: What do you think of their education policy, Mr. Makishima?\It's out of date,\but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have.\Chastity and grace...\Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy. response:	They're priorities that are not valued in boys, only in girls.
context: It's out of date,\but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have.\Chastity and grace...\Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls. response:	After having them instilled in us,
context: but that also makes it rare and therefore valuable... I guess.\In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have.\Chastity and grace...\Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls.\After having them instilled in us, response:	we're shipped out as a brand-name product refined, sheltered maidens
context: In this day and age, if parents want their daughters to receive an education in an old-style environment,\this is the only choice they have.\Chastity and grace...\Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls.\After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens response:	and purchased by men who seek a classic piece of furniture called a good wife and mother...
context: this is the only choice they have.\Chastity and grace...\Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls.\After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother... response:	for a formality known as marriage.
context: Chastity and grace...\Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls.\After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage. response:	Students in this school are all components
context: Traditional virtues that have been lost.\They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls.\After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage.\Students in this school are all components response:	that will be processed into a piece of artwork called the lady.
context: They comprise the educational ideology of Ousou Academy.\They're priorities that are not valued in boys, only in girls.\After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage.\Students in this school are all components\that will be processed into a piece of artwork called the lady. response:	They are rough stones waiting to be polished and set.
context: They're priorities that are not valued in boys, only in girls.\After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage.\Students in this school are all components\that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set. response:	They live sad and boring lives,
context: After having them instilled in us,\we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage.\Students in this school are all components\that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set.\They live sad and boring lives, response:	even though there are many other possible ways they could bloom.
context: we're shipped out as a brand-name product refined, sheltered maidens\and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage.\Students in this school are all components\that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set.\They live sad and boring lives,\even though there are many other possible ways they could bloom. response:	That's an interesting perspective.
context: and purchased by men who seek a classic piece of furniture called a good wife and mother...\for a formality known as marriage.\Students in this school are all components\that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set.\They live sad and boring lives,\even though there are many other possible ways they could bloom.\That's an interesting perspective. response:	So that's the foundation for your art, is it?
context: for a formality known as marriage.\Students in this school are all components\that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set.\They live sad and boring lives,\even though there are many other possible ways they could bloom.\That's an interesting perspective.\So that's the foundation for your art, is it? response:	Once your new piece is ready,
context: Students in this school are all components\that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set.\They live sad and boring lives,\even though there are many other possible ways they could bloom.\That's an interesting perspective.\So that's the foundation for your art, is it?\Once your new piece is ready, response:	where do you plan to exhibit it this time?
context: that will be processed into a piece of artwork called the lady.\They are rough stones waiting to be polished and set.\They live sad and boring lives,\even though there are many other possible ways they could bloom.\That's an interesting perspective.\So that's the foundation for your art, is it?\Once your new piece is ready,\where do you plan to exhibit it this time? response:	Let's see...
context: They are rough stones waiting to be polished and set.\They live sad and boring lives,\even though there are many other possible ways they could bloom.\That's an interesting perspective.\So that's the foundation for your art, is it?\Once your new piece is ready,\where do you plan to exhibit it this time?\Let's see... response:	I wonder where would be good.
context: They live sad and boring lives,\even though there are many other possible ways they could bloom.\That's an interesting perspective.\So that's the foundation for your art, is it?\Once your new piece is ready,\where do you plan to exhibit it this time?\Let's see...\I wonder where would be good. response:	I have to find a lively place that attracts the attention of many.
context: even though there are many other possible ways they could bloom.\That's an interesting perspective.\So that's the foundation for your art, is it?\Once your new piece is ready,\where do you plan to exhibit it this time?\Let's see...\I wonder where would be good.\I have to find a lively place that attracts the attention of many. response:	No leads at all, huh?
context: That's an interesting perspective.\So that's the foundation for your art, is it?\Once your new piece is ready,\where do you plan to exhibit it this time?\Let's see...\I wonder where would be good.\I have to find a lively place that attracts the attention of many.\No leads at all, huh? response:	And there's more bad news to come.
context: So that's the foundation for your art, is it?\Once your new piece is ready,\where do you plan to exhibit it this time?\Let's see...\I wonder where would be good.\I have to find a lively place that attracts the attention of many.\No leads at all, huh?\And there's more bad news to come. response:	I heard there are two second-year students who disappeared from the dorms.
context: Once your new piece is ready,\where do you plan to exhibit it this time?\Let's see...\I wonder where would be good.\I have to find a lively place that attracts the attention of many.\No leads at all, huh?\And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms. response:	The school contacted their parents, but they're not at home either.
context: where do you plan to exhibit it this time?\Let's see...\I wonder where would be good.\I have to find a lively place that attracts the attention of many.\No leads at all, huh?\And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either. response:	They've gone completely missing.
context: Let's see...\I wonder where would be good.\I have to find a lively place that attracts the attention of many.\No leads at all, huh?\And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either.\They've gone completely missing. response:	This is strange, any way you look at it.
context: I wonder where would be good.\I have to find a lively place that attracts the attention of many.\No leads at all, huh?\And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either.\They've gone completely missing.\This is strange, any way you look at it. response:	The campus and dorms are all under the kind of lockdown you'd expect in a military facility.
context: I have to find a lively place that attracts the attention of many.\No leads at all, huh?\And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either.\They've gone completely missing.\This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility. response:	Is it even possible for him to get his victims out of the place?
context: No leads at all, huh?\And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either.\They've gone completely missing.\This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place? response:	To start with,
context: And there's more bad news to come.\I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either.\They've gone completely missing.\This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place?\To start with, response:	why is he only targeting Ousou Academy students now?
context: I heard there are two second-year students who disappeared from the dorms.\The school contacted their parents, but they're not at home either.\They've gone completely missing.\This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place?\To start with,\why is he only targeting Ousou Academy students now? response:	To Touma, this school is his old nest, so to speak.
context: The school contacted their parents, but they're not at home either.\They've gone completely missing.\This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place?\To start with,\why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak. response:	Maybe he knows a secret path that can bypass security.
context: They've gone completely missing.\This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place?\To start with,\why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security. response:	That could be it.
context: This is strange, any way you look at it.\The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place?\To start with,\why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security.\That could be it. response:	This academy is what, a hundred years old?
context: The campus and dorms are all under the kind of lockdown you'd expect in a military facility.\Is it even possible for him to get his victims out of the place?\To start with,\why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security.\That could be it.\This academy is what, a hundred years old? response:	The buildings on the premises have gone through numerous renovations,
context: Is it even possible for him to get his victims out of the place?\To start with,\why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security.\That could be it.\This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations, response:	so their blueprints look terrible, too.
context: To start with,\why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security.\That could be it.\This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too. response:	Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?
context: why is he only targeting Ousou Academy students now?\To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security.\That could be it.\This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds? response:	I knew it! You're reading about the case.
context: To Touma, this school is his old nest, so to speak.\Maybe he knows a secret path that can bypass security.\That could be it.\This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case. response:	This is Karanomori's doing, isn't it?
context: Maybe he knows a secret path that can bypass security.\That could be it.\This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case.\This is Karanomori's doing, isn't it? response:	What do you think? You've taken a look at the reports too, right?
context: That could be it.\This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case.\This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right? response:	What do I think? Well...
context: This academy is what, a hundred years old?\The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case.\This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right?\What do I think? Well... response:	Based on the chemical analysis,
context: The buildings on the premises have gone through numerous renovations,\so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case.\This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right?\What do I think? Well...\Based on the chemical analysis, response:	it seems to me that it's even more likely that this is the same culprit from three years ago.
context: so their blueprints look terrible, too.\Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case.\This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right?\What do I think? Well...\Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago. response:	I think it's exactly the opposite.
context: Could it be possible that the murder site and the killer's hideout both lie on Academy grounds?\I knew it! You're reading about the case.\This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right?\What do I think? Well...\Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago.\I think it's exactly the opposite. response:	The opposite?
context: I knew it! You're reading about the case.\This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right?\What do I think? Well...\Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago.\I think it's exactly the opposite.\The opposite? response:	Yeah. In the case three years ago...
context: This is Karanomori's doing, isn't it?\What do you think? You've taken a look at the reports too, right?\What do I think? Well...\Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago.\I think it's exactly the opposite.\The opposite?\Yeah. In the case three years ago... response:	Take a look at this guy, for example.
context: What do you think? You've taken a look at the reports too, right?\What do I think? Well...\Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago.\I think it's exactly the opposite.\The opposite?\Yeah. In the case three years ago...\Take a look at this guy, for example. response:	One of the victims.
context: What do I think? Well...\Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago.\I think it's exactly the opposite.\The opposite?\Yeah. In the case three years ago...\Take a look at this guy, for example.\One of the victims. response:	He was a Lower House member suspected of corruption.
context: Based on the chemical analysis,\it seems to me that it's even more likely that this is the same culprit from three years ago.\I think it's exactly the opposite.\The opposite?\Yeah. In the case three years ago...\Take a look at this guy, for example.\One of the victims.\He was a Lower House member suspected of corruption. response:	He was also alleged to have submit falsified reports of his Crime Coefficient, but he refused to have it re-measured.
