context: Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: Japan, City of Kinokawa\Sink!\Sink! Are you awake?\Yeah, I am!\Then come down already!\We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute!\Good morning, Becky. response:	Good morning, Sink.
context: Sink!\Sink! Are you awake?\Yeah, I am!\Then come down already!\We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute!\Good morning, Becky.\Good morning, Sink. response:	Yup, that was perfect.
context: Sink! Are you awake?\Yeah, I am!\Then come down already!\We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute!\Good morning, Becky.\Good morning, Sink.\Yup, that was perfect. response:	Speaking of which, tomorrow is the beginning of our spring break.
context: Yeah, I am!\Then come down already!\We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute!\Good morning, Becky.\Good morning, Sink.\Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break. response:	Where are you planning to go?
context: Then come down already!\We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute!\Good morning, Becky.\Good morning, Sink.\Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go? response:	My dad and mom will be away on a business trip as usual,
context: We're late. I'll leave without you!\Hey, wait up! I'll be down in a minute!\Good morning, Becky.\Good morning, Sink.\Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go?\My dad and mom will be away on a business trip as usual, response:	so I was wondering if I should pay a visit to my hometown.
context: Hey, wait up! I'll be down in a minute!\Good morning, Becky.\Good morning, Sink.\Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go?\My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown. response:	Your hometown?
context: Good morning, Becky.\Good morning, Sink.\Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go?\My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown.\Your hometown? response:	You mean back in England?
context: Good morning, Sink.\Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go?\My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown.\Your hometown?\You mean back in England? response:	Right, a visit to Cornwall.
context: Yup, that was perfect.\Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go?\My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown.\Your hometown?\You mean back in England?\Right, a visit to Cornwall. response:	Also, there are a lot of places to practice there.
context: Speaking of which, tomorrow is the beginning of our spring break.\Where are you planning to go?\My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown.\Your hometown?\You mean back in England?\Right, a visit to Cornwall.\Also, there are a lot of places to practice there. response:	You really love athletic things, huh?
context: Where are you planning to go?\My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown.\Your hometown?\You mean back in England?\Right, a visit to Cornwall.\Also, there are a lot of places to practice there.\You really love athletic things, huh? response:	Of course! They're fun.
context: My dad and mom will be away on a business trip as usual,\so I was wondering if I should pay a visit to my hometown.\Your hometown?\You mean back in England?\Right, a visit to Cornwall.\Also, there are a lot of places to practice there.\You really love athletic things, huh?\Of course! They're fun. response:	There'll be a big competition in July and September this year,
context: so I was wondering if I should pay a visit to my hometown.\Your hometown?\You mean back in England?\Right, a visit to Cornwall.\Also, there are a lot of places to practice there.\You really love athletic things, huh?\Of course! They're fun.\There'll be a big competition in July and September this year, response:	so I can't slack on practice.
context: Your hometown?\You mean back in England?\Right, a visit to Cornwall.\Also, there are a lot of places to practice there.\You really love athletic things, huh?\Of course! They're fun.\There'll be a big competition in July and September this year,\so I can't slack on practice. response:	The Iron Athletes Championship, right?
context: You mean back in England?\Right, a visit to Cornwall.\Also, there are a lot of places to practice there.\You really love athletic things, huh?\Of course! They're fun.\There'll be a big competition in July and September this year,\so I can't slack on practice.\The Iron Athletes Championship, right? response:	Right. The preliminary qualifying round is in July, and the official one is in September.
context: Right, a visit to Cornwall.\Also, there are a lot of places to practice there.\You really love athletic things, huh?\Of course! They're fun.\There'll be a big competition in July and September this year,\so I can't slack on practice.\The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September. response:	It was such a waste last year. You were so close to becoming the champion.
context: Also, there are a lot of places to practice there.\You really love athletic things, huh?\Of course! They're fun.\There'll be a big competition in July and September this year,\so I can't slack on practice.\The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion. response:	I know, right?
context: You really love athletic things, huh?\Of course! They're fun.\There'll be a big competition in July and September this year,\so I can't slack on practice.\The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion.\I know, right? response:	Even you came to cheer me on.
context: Of course! They're fun.\There'll be a big competition in July and September this year,\so I can't slack on practice.\The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion.\I know, right?\Even you came to cheer me on. response:	Well, I think getting second is already amazing enough.
context: There'll be a big competition in July and September this year,\so I can't slack on practice.\The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion.\I know, right?\Even you came to cheer me on.\Well, I think getting second is already amazing enough. response:	But I somehow still feel like winning this year!
context: so I can't slack on practice.\The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion.\I know, right?\Even you came to cheer me on.\Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year! response:	So I'll practice like hell this spring break!
context: The Iron Athletes Championship, right?\Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion.\I know, right?\Even you came to cheer me on.\Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year!\So I'll practice like hell this spring break! response:	Right, right. Good luck.
context: Right. The preliminary qualifying round is in July, and the official one is in September.\It was such a waste last year. You were so close to becoming the champion.\I know, right?\Even you came to cheer me on.\Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year!\So I'll practice like hell this spring break!\Right, right. Good luck. response:	Oh, right, I forgot.
context: It was such a waste last year. You were so close to becoming the champion.\I know, right?\Even you came to cheer me on.\Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year!\So I'll practice like hell this spring break!\Right, right. Good luck.\Oh, right, I forgot. response:	Yes?
context: I know, right?\Even you came to cheer me on.\Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year!\So I'll practice like hell this spring break!\Right, right. Good luck.\Oh, right, I forgot.\Yes? response:	During the last three days of spring break,
context: Even you came to cheer me on.\Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year!\So I'll practice like hell this spring break!\Right, right. Good luck.\Oh, right, I forgot.\Yes?\During the last three days of spring break, response:	will you and your parents be free?
context: Well, I think getting second is already amazing enough.\But I somehow still feel like winning this year!\So I'll practice like hell this spring break!\Right, right. Good luck.\Oh, right, I forgot.\Yes?\During the last three days of spring break,\will you and your parents be free? response:	I'm not sure. Why?
context: But I somehow still feel like winning this year!\So I'll practice like hell this spring break!\Right, right. Good luck.\Oh, right, I forgot.\Yes?\During the last three days of spring break,\will you and your parents be free?\I'm not sure. Why? response:	My parents will be back by then.
context: So I'll practice like hell this spring break!\Right, right. Good luck.\Oh, right, I forgot.\Yes?\During the last three days of spring break,\will you and your parents be free?\I'm not sure. Why?\My parents will be back by then. response:	Would you like to visit my villa?
context: Right, right. Good luck.\Oh, right, I forgot.\Yes?\During the last three days of spring break,\will you and your parents be free?\I'm not sure. Why?\My parents will be back by then.\Would you like to visit my villa? response:	Oh, really?
context: Oh, right, I forgot.\Yes?\During the last three days of spring break,\will you and your parents be free?\I'm not sure. Why?\My parents will be back by then.\Would you like to visit my villa?\Oh, really? response:	Yeah. Nanami said she'd come, too.
context: Yes?\During the last three days of spring break,\will you and your parents be free?\I'm not sure. Why?\My parents will be back by then.\Would you like to visit my villa?\Oh, really?\Yeah. Nanami said she'd come, too. response:	That's great! How wonderful!
context: During the last three days of spring break,\will you and your parents be free?\I'm not sure. Why?\My parents will be back by then.\Would you like to visit my villa?\Oh, really?\Yeah. Nanami said she'd come, too.\That's great! How wonderful! response:	Plus, it's just in time for the flower viewing season.
context: will you and your parents be free?\I'm not sure. Why?\My parents will be back by then.\Would you like to visit my villa?\Oh, really?\Yeah. Nanami said she'd come, too.\That's great! How wonderful!\Plus, it's just in time for the flower viewing season. response:	If your parents are too busy, you can come on your own.
context: I'm not sure. Why?\My parents will be back by then.\Would you like to visit my villa?\Oh, really?\Yeah. Nanami said she'd come, too.\That's great! How wonderful!\Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own. response:	R-Really? On second thought, no thanks.
context: My parents will be back by then.\Would you like to visit my villa?\Oh, really?\Yeah. Nanami said she'd come, too.\That's great! How wonderful!\Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks. response:	You'd just leave me alone like usual,
context: Would you like to visit my villa?\Oh, really?\Yeah. Nanami said she'd come, too.\That's great! How wonderful!\Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks.\You'd just leave me alone like usual, response:	and then do athletic or cudgel practice all day -
context: Oh, really?\Yeah. Nanami said she'd come, too.\That's great! How wonderful!\Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks.\You'd just leave me alone like usual,\and then do athletic or cudgel practice all day - response:	Don't worry!
context: Yeah. Nanami said she'd come, too.\That's great! How wonderful!\Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks.\You'd just leave me alone like usual,\and then do athletic or cudgel practice all day -\Don't worry! response:	I'll train like hell the day before until I can't stand properly!
context: That's great! How wonderful!\Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks.\You'd just leave me alone like usual,\and then do athletic or cudgel practice all day -\Don't worry!\I'll train like hell the day before until I can't stand properly! response:	Please don't overdo it, okay?
context: Plus, it's just in time for the flower viewing season.\If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks.\You'd just leave me alone like usual,\and then do athletic or cudgel practice all day -\Don't worry!\I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay? response:	I'll see you later, Becky! Make sure you confirm our arrangement!
context: If your parents are too busy, you can come on your own.\R-Really? On second thought, no thanks.\You'd just leave me alone like usual,\and then do athletic or cudgel practice all day -\Don't worry!\I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement! response:	Okay, I'll e-mail you!
context: R-Really? On second thought, no thanks.\You'd just leave me alone like usual,\and then do athletic or cudgel practice all day -\Don't worry!\I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you! response:	Have all of you enjoyed life on campus this year?
context: You'd just leave me alone like usual,\and then do athletic or cudgel practice all day -\Don't worry!\I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year? response:	Even though all of you were born in different countries,
context: and then do athletic or cudgel practice all day -\Don't worry!\I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries, response:	the days you have spent in Japan,
context: Don't worry!\I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries,\the days you have spent in Japan, response:	and the memories you have with your classmates, are all precious!
context: I'll train like hell the day before until I can't stand properly!\Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries,\the days you have spent in Japan,\and the memories you have with your classmates, are all precious! response:	So from tomorrow's spring break onward...
context: Please don't overdo it, okay?\I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries,\the days you have spent in Japan,\and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward... response:	Izumi, what's going on? Are you leaving early?
context: I'll see you later, Becky! Make sure you confirm our arrangement!\Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries,\the days you have spent in Japan,\and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early? response:	I'm sorry! I need to hurry to the airport!
context: Okay, I'll e-mail you!\Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries,\the days you have spent in Japan,\and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport! response:	I see. Be careful.
context: Have all of you enjoyed life on campus this year?\Even though all of you were born in different countries,\the days you have spent in Japan,\and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport!\I see. Be careful. response:	Okay!
context: Even though all of you were born in different countries,\the days you have spent in Japan,\and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport!\I see. Be careful.\Okay! response:	I think Japan is a really great country.
context: the days you have spent in Japan,\and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport!\I see. Be careful.\Okay!\I think Japan is a really great country. response:	Especially this city of Kinokawa.
context: and the memories you have with your classmates, are all precious!\So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport!\I see. Be careful.\Okay!\I think Japan is a really great country.\Especially this city of Kinokawa. response:	It's peaceful and convenient.
context: So from tomorrow's spring break onward...\Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport!\I see. Be careful.\Okay!\I think Japan is a really great country.\Especially this city of Kinokawa.\It's peaceful and convenient. response:	However, there aren't many places to move around and have fun.
context: Izumi, what's going on? Are you leaving early?\I'm sorry! I need to hurry to the airport!\I see. Be careful.\Okay!\I think Japan is a really great country.\Especially this city of Kinokawa.\It's peaceful and convenient.\However, there aren't many places to move around and have fun. response:	It's a little small
context: I'm sorry! I need to hurry to the airport!\I see. Be careful.\Okay!\I think Japan is a really great country.\Especially this city of Kinokawa.\It's peaceful and convenient.\However, there aren't many places to move around and have fun.\It's a little small response:	and boring.
context: I see. Be careful.\Okay!\I think Japan is a really great country.\Especially this city of Kinokawa.\It's peaceful and convenient.\However, there aren't many places to move around and have fun.\It's a little small\and boring. response:	If only there was a corpse somewhere.
context: Okay!\I think Japan is a really great country.\Especially this city of Kinokawa.\It's peaceful and convenient.\However, there aren't many places to move around and have fun.\It's a little small\and boring.\If only there was a corpse somewhere. response:	That kind of place where we can make a big fuss.
