context: Quick Dial response:	Redial
context: If I can figure out just where Josuke is,\I can shoot an air bullet from here, but...\Hey, you.\What do you think you're doing on this property?\What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house?\How long have you been watching? response:	Hey, I'm the one asking the questions here.
context: I can shoot an air bullet from here, but...\Hey, you.\What do you think you're doing on this property?\What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house?\How long have you been watching?\Hey, I'm the one asking the questions here. response:	I live next door.
context: Hey, you.\What do you think you're doing on this property?\What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house?\How long have you been watching?\Hey, I'm the one asking the questions here.\I live next door. response:	I was thinking about sleeping past noon
context: What do you think you're doing on this property?\What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house?\How long have you been watching?\Hey, I'm the one asking the questions here.\I live next door.\I was thinking about sleeping past noon response:	when I was woken up by some kind of noise.
context: What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house?\How long have you been watching?\Hey, I'm the one asking the questions here.\I live next door.\I was thinking about sleeping past noon\when I was woken up by some kind of noise. response:	You make me suspicious.
context: Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house?\How long have you been watching?\Hey, I'm the one asking the questions here.\I live next door.\I was thinking about sleeping past noon\when I was woken up by some kind of noise.\You make me suspicious. response:	Rio, from next door, said her underwear gets stolen all the time.
context: Is this your house?\How long have you been watching?\Hey, I'm the one asking the questions here.\I live next door.\I was thinking about sleeping past noon\when I was woken up by some kind of noise.\You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time. response:	And since everyone's gone around this time...
context: How long have you been watching?\Hey, I'm the one asking the questions here.\I live next door.\I was thinking about sleeping past noon\when I was woken up by some kind of noise.\You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time... response:	I'm envious...
context: Hey, I'm the one asking the questions here.\I live next door.\I was thinking about sleeping past noon\when I was woken up by some kind of noise.\You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time...\I'm envious... response:	Huh?
context: I live next door.\I was thinking about sleeping past noon\when I was woken up by some kind of noise.\You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time...\I'm envious...\Huh? response:	Of all the free time you seem to have.
context: I was thinking about sleeping past noon\when I was woken up by some kind of noise.\You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time...\I'm envious...\Huh?\Of all the free time you seem to have. response:	Hey, are you running away?
context: when I was woken up by some kind of noise.\You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time...\I'm envious...\Huh?\Of all the free time you seem to have.\Hey, are you running away? response:	Damn him... Going after Rio like that.
context: You make me suspicious.\Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time...\I'm envious...\Huh?\Of all the free time you seem to have.\Hey, are you running away?\Damn him... Going after Rio like that. response:	Pisses me off!
context: Rio, from next door, said her underwear gets stolen all the time.\And since everyone's gone around this time...\I'm envious...\Huh?\Of all the free time you seem to have.\Hey, are you running away?\Damn him... Going after Rio like that.\Pisses me off! response:	He was an underwear thief after all!
context: And since everyone's gone around this time...\I'm envious...\Huh?\Of all the free time you seem to have.\Hey, are you running away?\Damn him... Going after Rio like that.\Pisses me off!\He was an underwear thief after all! response:	These panties...
context: I'm envious...\Huh?\Of all the free time you seem to have.\Hey, are you running away?\Damn him... Going after Rio like that.\Pisses me off!\He was an underwear thief after all!\These panties... response:	Th-They're Rio's...
context: Huh?\Of all the free time you seem to have.\Hey, are you running away?\Damn him... Going after Rio like that.\Pisses me off!\He was an underwear thief after all!\These panties...\Th-They're Rio's... response:	P-P-Pan...
context: Of all the free time you seem to have.\Hey, are you running away?\Damn him... Going after Rio like that.\Pisses me off!\He was an underwear thief after all!\These panties...\Th-They're Rio's...\P-P-Pan... response:	Woohoo! I'm so lucky!
context: Hey, are you running away?\Damn him... Going after Rio like that.\Pisses me off!\He was an underwear thief after all!\These panties...\Th-They're Rio's...\P-P-Pan...\Woohoo! I'm so lucky! response:	Diamond is Unbreakable
context: Damn him... Going after Rio like that.\Pisses me off!\He was an underwear thief after all!\These panties...\Th-They're Rio's...\P-P-Pan...\Woohoo! I'm so lucky!\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: Pisses me off!\He was an underwear thief after all!\These panties...\Th-They're Rio's...\P-P-Pan...\Woohoo! I'm so lucky!\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Episode 38 Shining D (Diamond) is Unbreakable, Part 2
context: He was an underwear thief after all!\These panties...\Th-They're Rio's...\P-P-Pan...\Woohoo! I'm so lucky!\Diamond is Unbreakable\Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2 response:	I-It's no use! The phone line's been cut!
context: These panties...\Th-They're Rio's...\P-P-Pan...\Woohoo! I'm so lucky!\Diamond is Unbreakable\Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut! response:	Okuyasu is dead...
context: Th-They're Rio's...\P-P-Pan...\Woohoo! I'm so lucky!\Diamond is Unbreakable\Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut!\Okuyasu is dead... response:	I'm going to beat the crap out of
context: P-P-Pan...\Woohoo! I'm so lucky!\Diamond is Unbreakable\Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut!\Okuyasu is dead...\I'm going to beat the crap out of response:	Yoshikage Kira with my Shining Diamond and defeat him.
context: Woohoo! I'm so lucky!\Diamond is Unbreakable\Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut!\Okuyasu is dead...\I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him. response:	I'm going to end this within a few minutes.
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut!\Okuyasu is dead...\I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes. response:	Hayato, stay along the wall there so that Kira can't see you.
context: Jojo's Bizarre Adventure\Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut!\Okuyasu is dead...\I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you. response:	Where is he...
context: Episode 38 Shining D (Diamond) is Unbreakable, Part 2\I-It's no use! The phone line's been cut!\Okuyasu is dead...\I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you.\Where is he... response:	going to enter from... is the question.
context: I-It's no use! The phone line's been cut!\Okuyasu is dead...\I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you.\Where is he...\going to enter from... is the question. response:	Huh?!
context: Okuyasu is dead...\I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you.\Where is he...\going to enter from... is the question.\Huh?! response:	Wh-What?
context: I'm going to beat the crap out of\Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you.\Where is he...\going to enter from... is the question.\Huh?!\Wh-What? response:	J-Josuke!
context: Yoshikage Kira with my Shining Diamond and defeat him.\I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you.\Where is he...\going to enter from... is the question.\Huh?!\Wh-What?\J-Josuke! response:	It's an air bullet!
context: I'm going to end this within a few minutes.\Hayato, stay along the wall there so that Kira can't see you.\Where is he...\going to enter from... is the question.\Huh?!\Wh-What?\J-Josuke!\It's an air bullet! response:	There's one heading toward you right now!
context: Hayato, stay along the wall there so that Kira can't see you.\Where is he...\going to enter from... is the question.\Huh?!\Wh-What?\J-Josuke!\It's an air bullet!\There's one heading toward you right now! response:	It's about the same size as earlier...
context: Where is he...\going to enter from... is the question.\Huh?!\Wh-What?\J-Josuke!\It's an air bullet!\There's one heading toward you right now!\It's about the same size as earlier... response:	B-But that's impossible!
context: going to enter from... is the question.\Huh?!\Wh-What?\J-Josuke!\It's an air bullet!\There's one heading toward you right now!\It's about the same size as earlier...\B-But that's impossible! response:	There's no way he can tell where you are from outside!
context: Huh?!\Wh-What?\J-Josuke!\It's an air bullet!\There's one heading toward you right now!\It's about the same size as earlier...\B-But that's impossible!\There's no way he can tell where you are from outside! response:	How does he know?!
context: Wh-What?\J-Josuke!\It's an air bullet!\There's one heading toward you right now!\It's about the same size as earlier...\B-But that's impossible!\There's no way he can tell where you are from outside!\How does he know?! response:	Great...
context: J-Josuke!\It's an air bullet!\There's one heading toward you right now!\It's about the same size as earlier...\B-But that's impossible!\There's no way he can tell where you are from outside!\How does he know?!\Great... response:	I know, Josuke Higashikata...
context: It's an air bullet!\There's one heading toward you right now!\It's about the same size as earlier...\B-But that's impossible!\There's no way he can tell where you are from outside!\How does he know?!\Great...\I know, Josuke Higashikata... response:	I know the exact distance.
context: There's one heading toward you right now!\It's about the same size as earlier...\B-But that's impossible!\There's no way he can tell where you are from outside!\How does he know?!\Great...\I know, Josuke Higashikata...\I know the exact distance. response:	Three meters until impact...
context: It's about the same size as earlier...\B-But that's impossible!\There's no way he can tell where you are from outside!\How does he know?!\Great...\I know, Josuke Higashikata...\I know the exact distance.\Three meters until impact... response:	We can tell where the ball of air is.
context: B-But that's impossible!\There's no way he can tell where you are from outside!\How does he know?!\Great...\I know, Josuke Higashikata...\I know the exact distance.\Three meters until impact...\We can tell where the ball of air is. response:	Yes!
context: There's no way he can tell where you are from outside!\How does he know?!\Great...\I know, Josuke Higashikata...\I know the exact distance.\Three meters until impact...\We can tell where the ball of air is.\Yes! response:	You'll be able to dodge it!
context: How does he know?!\Great...\I know, Josuke Higashikata...\I know the exact distance.\Three meters until impact...\We can tell where the ball of air is.\Yes!\You'll be able to dodge it! response:	No matter how many come through, you'll be able to dodge them... now...
context: Great...\I know, Josuke Higashikata...\I know the exact distance.\Three meters until impact...\We can tell where the ball of air is.\Yes!\You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now... response:	What?
context: I know, Josuke Higashikata...\I know the exact distance.\Three meters until impact...\We can tell where the ball of air is.\Yes!\You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now...\What? response:	I-It's going after Josuke?
context: I know the exact distance.\Three meters until impact...\We can tell where the ball of air is.\Yes!\You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now...\What?\I-It's going after Josuke? response:	Yoshikage Kira knows where I am.
context: Three meters until impact...\We can tell where the ball of air is.\Yes!\You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now...\What?\I-It's going after Josuke?\Yoshikage Kira knows where I am. response:	Where is he? How is he seeing me?
context: We can tell where the ball of air is.\Yes!\You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now...\What?\I-It's going after Josuke?\Yoshikage Kira knows where I am.\Where is he? How is he seeing me? response:	There were no windows in that room!
context: Yes!\You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now...\What?\I-It's going after Josuke?\Yoshikage Kira knows where I am.\Where is he? How is he seeing me?\There were no windows in that room! response:	The curtains are all drawn, too!
context: You'll be able to dodge it!\No matter how many come through, you'll be able to dodge them... now...\What?\I-It's going after Josuke?\Yoshikage Kira knows where I am.\Where is he? How is he seeing me?\There were no windows in that room!\The curtains are all drawn, too! response:	There's no way he can see you from outside!
context: No matter how many come through, you'll be able to dodge them... now...\What?\I-It's going after Josuke?\Yoshikage Kira knows where I am.\Where is he? How is he seeing me?\There were no windows in that room!\The curtains are all drawn, too!\There's no way he can see you from outside! response:	It's automatic! It must be automatically chasing you!
context: What?\I-It's going after Josuke?\Yoshikage Kira knows where I am.\Where is he? How is he seeing me?\There were no windows in that room!\The curtains are all drawn, too!\There's no way he can see you from outside!\It's automatic! It must be automatically chasing you! response:	No, that's not right.
context: I-It's going after Josuke?\Yoshikage Kira knows where I am.\Where is he? How is he seeing me?\There were no windows in that room!\The curtains are all drawn, too!\There's no way he can see you from outside!\It's automatic! It must be automatically chasing you!\No, that's not right. response:	The version of Deadly Queen that's
context: Yoshikage Kira knows where I am.\Where is he? How is he seeing me?\There were no windows in that room!\The curtains are all drawn, too!\There's no way he can see you from outside!\It's automatic! It must be automatically chasing you!\No, that's not right.\The version of Deadly Queen that's response:	automatic goes after heat and is called Heart Attack.
context: Where is he? How is he seeing me?\There were no windows in that room!\The curtains are all drawn, too!\There's no way he can see you from outside!\It's automatic! It must be automatically chasing you!\No, that's not right.\The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack. response:	But... It's not going after the lit cigarette there.
context: There were no windows in that room!\The curtains are all drawn, too!\There's no way he can see you from outside!\It's automatic! It must be automatically chasing you!\No, that's not right.\The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there. response:	More importantly, if it was automatically tracking me,
context: The curtains are all drawn, too!\There's no way he can see you from outside!\It's automatic! It must be automatically chasing you!\No, that's not right.\The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me, response:	the air bullet wouldn't be able to go through the wall,
context: There's no way he can see you from outside!\It's automatic! It must be automatically chasing you!\No, that's not right.\The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall, response:	and Yoshikage Kira plans to do the final detonation himself to finish me off.
context: It's automatic! It must be automatically chasing you!\No, that's not right.\The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off. response:	It's a mystery, but he knows exactly where I am!
context: No, that's not right.\The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am! response:	It's getting faster!
context: The version of Deadly Queen that's\automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am!\It's getting faster! response:	Find Kira for me!
context: automatic goes after heat and is called Heart Attack.\But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am!\It's getting faster!\Find Kira for me! response:	Find out how he's watching me!
context: But... It's not going after the lit cigarette there.\More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am!\It's getting faster!\Find Kira for me!\Find out how he's watching me! response:	I-I found him!
context: More importantly, if it was automatically tracking me,\the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am!\It's getting faster!\Find Kira for me!\Find out how he's watching me!\I-I found him! response:	H-He's right outside the gate.
context: the air bullet wouldn't be able to go through the wall,\and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am!\It's getting faster!\Find Kira for me!\Find out how he's watching me!\I-I found him!\H-He's right outside the gate. response:	Two meters until impact...
context: and Yoshikage Kira plans to do the final detonation himself to finish me off.\It's a mystery, but he knows exactly where I am!\It's getting faster!\Find Kira for me!\Find out how he's watching me!\I-I found him!\H-He's right outside the gate.\Two meters until impact... response:	He's outside?
context: It's a mystery, but he knows exactly where I am!\It's getting faster!\Find Kira for me!\Find out how he's watching me!\I-I found him!\H-He's right outside the gate.\Two meters until impact...\He's outside? response:	I can't figure out how he's able to pinpoint your location from there, Josuke.
context: It's getting faster!\Find Kira for me!\Find out how he's watching me!\I-I found him!\H-He's right outside the gate.\Two meters until impact...\He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke. response:	Hurry and run!
context: Find Kira for me!\Find out how he's watching me!\I-I found him!\H-He's right outside the gate.\Two meters until impact...\He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run! response:	That bastard! I don't know how he's watching me...
context: Find out how he's watching me!\I-I found him!\H-He's right outside the gate.\Two meters until impact...\He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run!\That bastard! I don't know how he's watching me... response:	One more meter!
context: I-I found him!\H-He's right outside the gate.\Two meters until impact...\He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run!\That bastard! I don't know how he's watching me...\One more meter! response:	But I didn't want you chasing me in the first place!
context: H-He's right outside the gate.\Two meters until impact...\He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run!\That bastard! I don't know how he's watching me...\One more meter!\But I didn't want you chasing me in the first place! response:	Shining Diamond!
context: Two meters until impact...\He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run!\That bastard! I don't know how he's watching me...\One more meter!\But I didn't want you chasing me in the first place!\Shining Diamond! response:	All right, it's going to impact on Josuke!
context: He's outside?\I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run!\That bastard! I don't know how he's watching me...\One more meter!\But I didn't want you chasing me in the first place!\Shining Diamond!\All right, it's going to impact on Josuke! response:	Detonate!
context: I can't figure out how he's able to pinpoint your location from there, Josuke.\Hurry and run!\That bastard! I don't know how he's watching me...\One more meter!\But I didn't want you chasing me in the first place!\Shining Diamond!\All right, it's going to impact on Josuke!\Detonate! response:	Yes! It was a direct hit!
context: Hurry and run!\That bastard! I don't know how he's watching me...\One more meter!\But I didn't want you chasing me in the first place!\Shining Diamond!\All right, it's going to impact on Josuke!\Detonate!\Yes! It was a direct hit! response:	Deadly Queen!
context: That bastard! I don't know how he's watching me...\One more meter!\But I didn't want you chasing me in the first place!\Shining Diamond!\All right, it's going to impact on Josuke!\Detonate!\Yes! It was a direct hit!\Deadly Queen! response:	My, my, that was close.
context: One more meter!\But I didn't want you chasing me in the first place!\Shining Diamond!\All right, it's going to impact on Josuke!\Detonate!\Yes! It was a direct hit!\Deadly Queen!\My, my, that was close. response:	But I was on my guard.
context: But I didn't want you chasing me in the first place!\Shining Diamond!\All right, it's going to impact on Josuke!\Detonate!\Yes! It was a direct hit!\Deadly Queen!\My, my, that was close.\But I was on my guard. response:	Your willpower to try to get one final blow in...
context: Shining Diamond!\All right, it's going to impact on Josuke!\Detonate!\Yes! It was a direct hit!\Deadly Queen!\My, my, that was close.\But I was on my guard.\Your willpower to try to get one final blow in... response:	That's why I won't go near you, Josuke Higashikata.
context: All right, it's going to impact on Josuke!\Detonate!\Yes! It was a direct hit!\Deadly Queen!\My, my, that was close.\But I was on my guard.\Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata. response:	J-Josuke!
context: Detonate!\Yes! It was a direct hit!\Deadly Queen!\My, my, that was close.\But I was on my guard.\Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata.\J-Josuke! response:	H-He's alive...
context: Yes! It was a direct hit!\Deadly Queen!\My, my, that was close.\But I was on my guard.\Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata.\J-Josuke!\H-He's alive... response:	Hmph. It was a direct hit, but he wasn't blown away.
context: Deadly Queen!\My, my, that was close.\But I was on my guard.\Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata.\J-Josuke!\H-He's alive...\Hmph. It was a direct hit, but he wasn't blown away. response:	There's a slight discrepancy when I detonate by hand...
context: My, my, that was close.\But I was on my guard.\Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata.\J-Josuke!\H-He's alive...\Hmph. It was a direct hit, but he wasn't blown away.\There's a slight discrepancy when I detonate by hand... response:	But the damage is absolute.
context: But I was on my guard.\Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata.\J-Josuke!\H-He's alive...\Hmph. It was a direct hit, but he wasn't blown away.\There's a slight discrepancy when I detonate by hand...\But the damage is absolute. response:	I can finish him off with the next shot!
context: Your willpower to try to get one final blow in...\That's why I won't go near you, Josuke Higashikata.\J-Josuke!\H-He's alive...\Hmph. It was a direct hit, but he wasn't blown away.\There's a slight discrepancy when I detonate by hand...\But the damage is absolute.\I can finish him off with the next shot! response:	W-We... We have to get away from here!
