context: A Day at the Marui House response:	We're leaving!
context: You can't go to gym.\Can too...\This HAS to be Youngest-san!\That's so rude.\Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san.\But she's right...\Th-There's two of them! response:	Can you not even see her without the aura?
context: Can too...\This HAS to be Youngest-san!\That's so rude.\Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san.\But she's right...\Th-There's two of them!\Can you not even see her without the aura? response:	F-Futaba-chan!
context: This HAS to be Youngest-san!\That's so rude.\Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san.\But she's right...\Th-There's two of them!\Can you not even see her without the aura?\F-Futaba-chan! response:	N-No...
context: That's so rude.\Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san.\But she's right...\Th-There's two of them!\Can you not even see her without the aura?\F-Futaba-chan!\N-No... response:	She passed out too!
context: Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san.\But she's right...\Th-There's two of them!\Can you not even see her without the aura?\F-Futaba-chan!\N-No...\She passed out too! response:	We need to get them both to the nurse's office, now!
context: See? Nipples only ever runs up to Youngest-san.\But she's right...\Th-There's two of them!\Can you not even see her without the aura?\F-Futaba-chan!\N-No...\She passed out too!\We need to get them both to the nurse's office, now! response:	Full recovery!
context: But she's right...\Th-There's two of them!\Can you not even see her without the aura?\F-Futaba-chan!\N-No...\She passed out too!\We need to get them both to the nurse's office, now!\Full recovery! response:	I just needed to sleep it off!
context: Th-There's two of them!\Can you not even see her without the aura?\F-Futaba-chan!\N-No...\She passed out too!\We need to get them both to the nurse's office, now!\Full recovery!\I just needed to sleep it off! response:	Well that was easy.
context: Can you not even see her without the aura?\F-Futaba-chan!\N-No...\She passed out too!\We need to get them both to the nurse's office, now!\Full recovery!\I just needed to sleep it off!\Well that was easy. response:	Where's Youngest-san?
context: F-Futaba-chan!\N-No...\She passed out too!\We need to get them both to the nurse's office, now!\Full recovery!\I just needed to sleep it off!\Well that was easy.\Where's Youngest-san? response:	She's got a fever, they're sending her home.
context: N-No...\She passed out too!\We need to get them both to the nurse's office, now!\Full recovery!\I just needed to sleep it off!\Well that was easy.\Where's Youngest-san?\She's got a fever, they're sending her home. response:	Did your cold transfer to her?
context: She passed out too!\We need to get them both to the nurse's office, now!\Full recovery!\I just needed to sleep it off!\Well that was easy.\Where's Youngest-san?\She's got a fever, they're sending her home.\Did your cold transfer to her? response:	Wait a sec...
context: We need to get them both to the nurse's office, now!\Full recovery!\I just needed to sleep it off!\Well that was easy.\Where's Youngest-san?\She's got a fever, they're sending her home.\Did your cold transfer to her?\Wait a sec... response:	If that cold made Futaba as weak as it did,
context: Full recovery!\I just needed to sleep it off!\Well that was easy.\Where's Youngest-san?\She's got a fever, they're sending her home.\Did your cold transfer to her?\Wait a sec...\If that cold made Futaba as weak as it did, response:	who knows how bad it'll affect Youngest-san.
context: I just needed to sleep it off!\Well that was easy.\Where's Youngest-san?\She's got a fever, they're sending her home.\Did your cold transfer to her?\Wait a sec...\If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san. response:	Probably so bad she'll be able to curse us with a single glance!
context: Well that was easy.\Where's Youngest-san?\She's got a fever, they're sending her home.\Did your cold transfer to her?\Wait a sec...\If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance! response:	Hito!
context: Where's Youngest-san?\She's got a fever, they're sending her home.\Did your cold transfer to her?\Wait a sec...\If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance!\Hito! response:	Hit the deck!
context: She's got a fever, they're sending her home.\Did your cold transfer to her?\Wait a sec...\If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance!\Hito!\Hit the deck! response:	You okay, Hito?
context: Did your cold transfer to her?\Wait a sec...\If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance!\Hito!\Hit the deck!\You okay, Hito? response:	Who's the babe?!
context: Wait a sec...\If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance!\Hito!\Hit the deck!\You okay, Hito?\Who's the babe?! response:	P-Please, be my friend!
context: If that cold made Futaba as weak as it did,\who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance!\Hito!\Hit the deck!\You okay, Hito?\Who's the babe?!\P-Please, be my friend! response:	Please!
context: who knows how bad it'll affect Youngest-san.\Probably so bad she'll be able to curse us with a single glance!\Hito!\Hit the deck!\You okay, Hito?\Who's the babe?!\P-Please, be my friend!\Please! response:	That's one hell of a cold.
context: Probably so bad she'll be able to curse us with a single glance!\Hito!\Hit the deck!\You okay, Hito?\Who's the babe?!\P-Please, be my friend!\Please!\That's one hell of a cold. response:	Mitsudomoe...
context: Hito!\Hit the deck!\You okay, Hito?\Who's the babe?!\P-Please, be my friend!\Please!\That's one hell of a cold.\Mitsudomoe... response:	This's the cat you were talking about?
context: Hit the deck!\You okay, Hito?\Who's the babe?!\P-Please, be my friend!\Please!\That's one hell of a cold.\Mitsudomoe...\This's the cat you were talking about? response:	We feed it every day.
context: You okay, Hito?\Who's the babe?!\P-Please, be my friend!\Please!\That's one hell of a cold.\Mitsudomoe...\This's the cat you were talking about?\We feed it every day. response:	Yeah, yeah.
context: Who's the babe?!\P-Please, be my friend!\Please!\That's one hell of a cold.\Mitsudomoe...\This's the cat you were talking about?\We feed it every day.\Yeah, yeah. response:	Tonight's the night we convince dad to let us keep it!
context: P-Please, be my friend!\Please!\That's one hell of a cold.\Mitsudomoe...\This's the cat you were talking about?\We feed it every day.\Yeah, yeah.\Tonight's the night we convince dad to let us keep it! response:	It'll never happen.
context: Please!\That's one hell of a cold.\Mitsudomoe...\This's the cat you were talking about?\We feed it every day.\Yeah, yeah.\Tonight's the night we convince dad to let us keep it!\It'll never happen. response:	It said Meow, I wanna live with the Maruis!
context: That's one hell of a cold.\Mitsudomoe...\This's the cat you were talking about?\We feed it every day.\Yeah, yeah.\Tonight's the night we convince dad to let us keep it!\It'll never happen.\It said Meow, I wanna live with the Maruis! response:	It did not!
context: Mitsudomoe...\This's the cat you were talking about?\We feed it every day.\Yeah, yeah.\Tonight's the night we convince dad to let us keep it!\It'll never happen.\It said Meow, I wanna live with the Maruis!\It did not! response:	You bring a cat into this house
context: This's the cat you were talking about?\We feed it every day.\Yeah, yeah.\Tonight's the night we convince dad to let us keep it!\It'll never happen.\It said Meow, I wanna live with the Maruis!\It did not!\You bring a cat into this house response:	and there's a real chance it could get hurt.
context: We feed it every day.\Yeah, yeah.\Tonight's the night we convince dad to let us keep it!\It'll never happen.\It said Meow, I wanna live with the Maruis!\It did not!\You bring a cat into this house\and there's a real chance it could get hurt. response:	See, I told you so! I knew it'd never happen.
context: Yeah, yeah.\Tonight's the night we convince dad to let us keep it!\It'll never happen.\It said Meow, I wanna live with the Maruis!\It did not!\You bring a cat into this house\and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen. response:	It'll be fine!
context: Tonight's the night we convince dad to let us keep it!\It'll never happen.\It said Meow, I wanna live with the Maruis!\It did not!\You bring a cat into this house\and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen.\It'll be fine! response:	Besides, the kitty even said, Meow, I wanna live with the Maruis!
context: It'll never happen.\It said Meow, I wanna live with the Maruis!\It did not!\You bring a cat into this house\and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen.\It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis! response:	IT DID NOT!
context: It said Meow, I wanna live with the Maruis!\It did not!\You bring a cat into this house\and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen.\It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT! response:	Well, if that's what the cat said I guess I've got no choice.
context: It did not!\You bring a cat into this house\and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen.\It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT!\Well, if that's what the cat said I guess I've got no choice. response:	Really?!
context: You bring a cat into this house\and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen.\It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT!\Well, if that's what the cat said I guess I've got no choice.\Really?! response:	Hey!
context: and there's a real chance it could get hurt.\See, I told you so! I knew it'd never happen.\It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT!\Well, if that's what the cat said I guess I've got no choice.\Really?!\Hey! response:	Yay, hooray!
context: See, I told you so! I knew it'd never happen.\It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT!\Well, if that's what the cat said I guess I've got no choice.\Really?!\Hey!\Yay, hooray! response:	That stupid cat didn't say a thing!
context: It'll be fine!\Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT!\Well, if that's what the cat said I guess I've got no choice.\Really?!\Hey!\Yay, hooray!\That stupid cat didn't say a thing! response:	Did so.
context: Besides, the kitty even said, Meow, I wanna live with the Maruis!\IT DID NOT!\Well, if that's what the cat said I guess I've got no choice.\Really?!\Hey!\Yay, hooray!\That stupid cat didn't say a thing!\Did so. response:	Geez...fine, do whatever you want!
context: IT DID NOT!\Well, if that's what the cat said I guess I've got no choice.\Really?!\Hey!\Yay, hooray!\That stupid cat didn't say a thing!\Did so.\Geez...fine, do whatever you want! response:	The Next Day
context: Well, if that's what the cat said I guess I've got no choice.\Really?!\Hey!\Yay, hooray!\That stupid cat didn't say a thing!\Did so.\Geez...fine, do whatever you want!\The Next Day response:	This is way too much.
context: Really?!\Hey!\Yay, hooray!\That stupid cat didn't say a thing!\Did so.\Geez...fine, do whatever you want!\The Next Day\This is way too much. response:	Why do I have to carry this stupid cat stuff...
context: Hey!\Yay, hooray!\That stupid cat didn't say a thing!\Did so.\Geez...fine, do whatever you want!\The Next Day\This is way too much.\Why do I have to carry this stupid cat stuff... response:	You keep complaining but you're still helping.
context: Yay, hooray!\That stupid cat didn't say a thing!\Did so.\Geez...fine, do whatever you want!\The Next Day\This is way too much.\Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping. response:	I just happened to have some free time!
context: That stupid cat didn't say a thing!\Did so.\Geez...fine, do whatever you want!\The Next Day\This is way too much.\Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping.\I just happened to have some free time! response:	The...the kitty's not here!
context: Did so.\Geez...fine, do whatever you want!\The Next Day\This is way too much.\Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping.\I just happened to have some free time!\The...the kitty's not here! response:	Even that cardboard box is gone.
context: Geez...fine, do whatever you want!\The Next Day\This is way too much.\Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping.\I just happened to have some free time!\The...the kitty's not here!\Even that cardboard box is gone. response:	I'm sure a really nice, kind person picked it up.
context: The Next Day\This is way too much.\Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping.\I just happened to have some free time!\The...the kitty's not here!\Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up. response:	Hito...
context: This is way too much.\Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping.\I just happened to have some free time!\The...the kitty's not here!\Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up.\Hito... response:	Do something!
context: Why do I have to carry this stupid cat stuff...\You keep complaining but you're still helping.\I just happened to have some free time!\The...the kitty's not here!\Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up.\Hito...\Do something! response:	What?
context: You keep complaining but you're still helping.\I just happened to have some free time!\The...the kitty's not here!\Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up.\Hito...\Do something!\What? response:	I know!
context: I just happened to have some free time!\The...the kitty's not here!\Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up.\Hito...\Do something!\What?\I know! response:	See, one pet's more than enough for the Marui household!
context: The...the kitty's not here!\Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up.\Hito...\Do something!\What?\I know!\See, one pet's more than enough for the Marui household! response:	Oh, it's saying please train me to be an obedient slave!
context: Even that cardboard box is gone.\I'm sure a really nice, kind person picked it up.\Hito...\Do something!\What?\I know!\See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave! response:	I did not!
context: I'm sure a really nice, kind person picked it up.\Hito...\Do something!\What?\I know!\See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave!\I did not! response:	Don't just go back to normal, stupid!
context: Hito...\Do something!\What?\I know!\See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave!\I did not!\Don't just go back to normal, stupid! response:	All right then...
context: Do something!\What?\I know!\See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave!\I did not!\Don't just go back to normal, stupid!\All right then... response:	Here kitty kitty kitty!
context: What?\I know!\See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave!\I did not!\Don't just go back to normal, stupid!\All right then...\Here kitty kitty kitty! response:	Hey cut it out, you're making a mess.
context: I know!\See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave!\I did not!\Don't just go back to normal, stupid!\All right then...\Here kitty kitty kitty!\Hey cut it out, you're making a mess. response:	She's fully transformed...
context: See, one pet's more than enough for the Marui household!\Oh, it's saying please train me to be an obedient slave!\I did not!\Don't just go back to normal, stupid!\All right then...\Here kitty kitty kitty!\Hey cut it out, you're making a mess.\She's fully transformed... response:	Oh come on, you're ignoring me now?
context: Oh, it's saying please train me to be an obedient slave!\I did not!\Don't just go back to normal, stupid!\All right then...\Here kitty kitty kitty!\Hey cut it out, you're making a mess.\She's fully transformed...\Oh come on, you're ignoring me now? response:	You were my pet to begin with, you know!
context: I did not!\Don't just go back to normal, stupid!\All right then...\Here kitty kitty kitty!\Hey cut it out, you're making a mess.\She's fully transformed...\Oh come on, you're ignoring me now?\You were my pet to begin with, you know! response:	Come on, shake hands!
context: Don't just go back to normal, stupid!\All right then...\Here kitty kitty kitty!\Hey cut it out, you're making a mess.\She's fully transformed...\Oh come on, you're ignoring me now?\You were my pet to begin with, you know!\Come on, shake hands! response:	Cats don't shake hands.
context: All right then...\Here kitty kitty kitty!\Hey cut it out, you're making a mess.\She's fully transformed...\Oh come on, you're ignoring me now?\You were my pet to begin with, you know!\Come on, shake hands!\Cats don't shake hands. response:	Need something...that works on cats...
context: Here kitty kitty kitty!\Hey cut it out, you're making a mess.\She's fully transformed...\Oh come on, you're ignoring me now?\You were my pet to begin with, you know!\Come on, shake hands!\Cats don't shake hands.\Need something...that works on cats... response:	Jackpot!
context: Hey cut it out, you're making a mess.\She's fully transformed...\Oh come on, you're ignoring me now?\You were my pet to begin with, you know!\Come on, shake hands!\Cats don't shake hands.\Need something...that works on cats...\Jackpot! response:	Now for my ultimate trick, silvervine powder!
context: She's fully transformed...\Oh come on, you're ignoring me now?\You were my pet to begin with, you know!\Come on, shake hands!\Cats don't shake hands.\Need something...that works on cats...\Jackpot!\Now for my ultimate trick, silvervine powder! response:	S-See? I win, she's my pet!
context: Oh come on, you're ignoring me now?\You were my pet to begin with, you know!\Come on, shake hands!\Cats don't shake hands.\Need something...that works on cats...\Jackpot!\Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet! response:	I'm home.
context: You were my pet to begin with, you know!\Come on, shake hands!\Cats don't shake hands.\Need something...that works on cats...\Jackpot!\Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet!\I'm home. response:	How'd...
context: Come on, shake hands!\Cats don't shake hands.\Need something...that works on cats...\Jackpot!\Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet!\I'm home.\How'd... response:	Aah, I picked it up by the river on the way home from work
context: Cats don't shake hands.\Need something...that works on cats...\Jackpot!\Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet!\I'm home.\How'd...\Aah, I picked it up by the river on the way home from work response:	but the cops took me in for questioning three times,
context: Need something...that works on cats...\Jackpot!\Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet!\I'm home.\How'd...\Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times, response:	which is why I'm late.
context: Jackpot!\Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet!\I'm home.\How'd...\Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times,\which is why I'm late. response:	How sweet.
context: Now for my ultimate trick, silvervine powder!\S-See? I win, she's my pet!\I'm home.\How'd...\Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times,\which is why I'm late.\How sweet. response:	Too heavy...ouch! Get off!
context: S-See? I win, she's my pet!\I'm home.\How'd...\Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times,\which is why I'm late.\How sweet.\Too heavy...ouch! Get off! response:	You two are really getting along today!
context: I'm home.\How'd...\Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times,\which is why I'm late.\How sweet.\Too heavy...ouch! Get off!\You two are really getting along today! response:	I don't want a pet like this!
context: How'd...\Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times,\which is why I'm late.\How sweet.\Too heavy...ouch! Get off!\You two are really getting along today!\I don't want a pet like this! response:	Mitsudomoe!
context: Aah, I picked it up by the river on the way home from work\but the cops took me in for questioning three times,\which is why I'm late.\How sweet.\Too heavy...ouch! Get off!\You two are really getting along today!\I don't want a pet like this!\Mitsudomoe! response:	Serious Squadron!
context: but the cops took me in for questioning three times,\which is why I'm late.\How sweet.\Too heavy...ouch! Get off!\You two are really getting along today!\I don't want a pet like this!\Mitsudomoe!\Serious Squadron! response:	Gachi Rangers!
context: which is why I'm late.\How sweet.\Too heavy...ouch! Get off!\You two are really getting along today!\I don't want a pet like this!\Mitsudomoe!\Serious Squadron!\Gachi Rangers! response:	It shines.
context: How sweet.\Too heavy...ouch! Get off!\You two are really getting along today!\I don't want a pet like this!\Mitsudomoe!\Serious Squadron!\Gachi Rangers!\It shines. response:	It flies.
context: Too heavy...ouch! Get off!\You two are really getting along today!\I don't want a pet like this!\Mitsudomoe!\Serious Squadron!\Gachi Rangers!\It shines.\It flies. response:	Now you can battle monsters all by yourself!
context: You two are really getting along today!\I don't want a pet like this!\Mitsudomoe!\Serious Squadron!\Gachi Rangers!\It shines.\It flies.\Now you can battle monsters all by yourself! response:	Serious Squadron Gachi Rangers!
context: I don't want a pet like this!\Mitsudomoe!\Serious Squadron!\Gachi Rangers!\It shines.\It flies.\Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers! response:	The Serious Alloy Gachi Red analog model!
context: Mitsudomoe!\Serious Squadron!\Gachi Rangers!\It shines.\It flies.\Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model! response:	Analog model...
context: Serious Squadron!\Gachi Rangers!\It shines.\It flies.\Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model!\Analog model... response:	Ooh, Serious Alloy Gachi Red!
context: Gachi Rangers!\It shines.\It flies.\Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model!\Analog model...\Ooh, Serious Alloy Gachi Red! response:	Another toy? You're such a baby, Hitoha.
context: It shines.\It flies.\Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model!\Analog model...\Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha. response:	Ooh, the belt shines!
context: It flies.\Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model!\Analog model...\Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha.\Ooh, the belt shines! response:	Ooh, the head launches!
context: Now you can battle monsters all by yourself!\Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model!\Analog model...\Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha.\Ooh, the belt shines!\Ooh, the head launches! response:	No, kitty-
context: Serious Squadron Gachi Rangers!\The Serious Alloy Gachi Red analog model!\Analog model...\Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha.\Ooh, the belt shines!\Ooh, the head launches!\No, kitty- response:	I'm super nervous this week because
context: The Serious Alloy Gachi Red analog model!\Analog model...\Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha.\Ooh, the belt shines!\Ooh, the head launches!\No, kitty-\I'm super nervous this week because response:	I'm going around visiting parents at home.
context: Analog model...\Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha.\Ooh, the belt shines!\Ooh, the head launches!\No, kitty-\I'm super nervous this week because\I'm going around visiting parents at home. response:	A strong link between the home and school
context: Ooh, Serious Alloy Gachi Red!\Another toy? You're such a baby, Hitoha.\Ooh, the belt shines!\Ooh, the head launches!\No, kitty-\I'm super nervous this week because\I'm going around visiting parents at home.\A strong link between the home and school response:	environments is essential to a good education!
context: Another toy? You're such a baby, Hitoha.\Ooh, the belt shines!\Ooh, the head launches!\No, kitty-\I'm super nervous this week because\I'm going around visiting parents at home.\A strong link between the home and school\environments is essential to a good education! response:	Of course, now I'm on
context: Ooh, the belt shines!\Ooh, the head launches!\No, kitty-\I'm super nervous this week because\I'm going around visiting parents at home.\A strong link between the home and school\environments is essential to a good education!\Of course, now I'm on response:	my way to the biggest hurdle of my career, the Marui house...
context: Ooh, the head launches!\No, kitty-\I'm super nervous this week because\I'm going around visiting parents at home.\A strong link between the home and school\environments is essential to a good education!\Of course, now I'm on\my way to the biggest hurdle of my career, the Marui house... response:	Who knows what'll happen.
context: No, kitty-\I'm super nervous this week because\I'm going around visiting parents at home.\A strong link between the home and school\environments is essential to a good education!\Of course, now I'm on\my way to the biggest hurdle of my career, the Marui house...\Who knows what'll happen. response:	What the hell's that aura?!
