context: *Episode 10 response:	Episode title: Cooperation
context: The enemy's going to try to block you.\Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head.\You know what I mean?\They're pumped up.\Sports day's coming up.\Sawako-chan.\Keep your knees bent. response:	And then sort of grind the ball out with the inside of your foot.
context: Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head.\You know what I mean?\They're pumped up.\Sports day's coming up.\Sawako-chan.\Keep your knees bent.\And then sort of grind the ball out with the inside of your foot. response:	And push! Push! Push! Push! Push!
context: You have to, like, picture how the game's going to unfold in your head.\You know what I mean?\They're pumped up.\Sports day's coming up.\Sawako-chan.\Keep your knees bent.\And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push! response:	I see.
context: You know what I mean?\They're pumped up.\Sports day's coming up.\Sawako-chan.\Keep your knees bent.\And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push!\I see. response:	Grind the ball out?
context: They're pumped up.\Sports day's coming up.\Sawako-chan.\Keep your knees bent.\And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push!\I see.\Grind the ball out? response:	Sawako-chan.
context: Sports day's coming up.\Sawako-chan.\Keep your knees bent.\And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push!\I see.\Grind the ball out?\Sawako-chan. response:	Bye bye.
context: Sawako-chan.\Keep your knees bent.\And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push!\I see.\Grind the ball out?\Sawako-chan.\Bye bye. response:	Bye bye.
context: Keep your knees bent.\And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push!\I see.\Grind the ball out?\Sawako-chan.\Bye bye.\Bye bye. response:	What?
context: And then sort of grind the ball out with the inside of your foot.\And push! Push! Push! Push! Push!\I see.\Grind the ball out?\Sawako-chan.\Bye bye.\Bye bye.\What? response:	We're friends.
context: And push! Push! Push! Push! Push!\I see.\Grind the ball out?\Sawako-chan.\Bye bye.\Bye bye.\What?\We're friends. response:	Really?
context: I see.\Grind the ball out?\Sawako-chan.\Bye bye.\Bye bye.\What?\We're friends.\Really? response:	Dammit, seriously?
context: Grind the ball out?\Sawako-chan.\Bye bye.\Bye bye.\What?\We're friends.\Really?\Dammit, seriously? response:	You really don't like her, do you?
context: Sawako-chan.\Bye bye.\Bye bye.\What?\We're friends.\Really?\Dammit, seriously?\You really don't like her, do you? response:	How can you tell, Yano-chin?
context: Bye bye.\Bye bye.\What?\We're friends.\Really?\Dammit, seriously?\You really don't like her, do you?\How can you tell, Yano-chin? response:	Because you're simple-minded.
context: Bye bye.\What?\We're friends.\Really?\Dammit, seriously?\You really don't like her, do you?\How can you tell, Yano-chin?\Because you're simple-minded. response:	Not that it's a bad thing that Sadako has new friends.
context: What?\We're friends.\Really?\Dammit, seriously?\You really don't like her, do you?\How can you tell, Yano-chin?\Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends. response:	Friends, huh?
context: We're friends.\Really?\Dammit, seriously?\You really don't like her, do you?\How can you tell, Yano-chin?\Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends.\Friends, huh? response:	Bye bye.
context: Really?\Dammit, seriously?\You really don't like her, do you?\How can you tell, Yano-chin?\Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends.\Friends, huh?\Bye bye. response:	Bye bye.
context: Dammit, seriously?\You really don't like her, do you?\How can you tell, Yano-chin?\Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends.\Friends, huh?\Bye bye.\Bye bye. response:	But seriously, I'd be so pissed if she became closer to her than to us.
context: You really don't like her, do you?\How can you tell, Yano-chin?\Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends.\Friends, huh?\Bye bye.\Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us. response:	You're cute, Chizu.
context: How can you tell, Yano-chin?\Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends.\Friends, huh?\Bye bye.\Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu. response:	I made a new friend again.
context: Because you're simple-minded.\Not that it's a bad thing that Sadako has new friends.\Friends, huh?\Bye bye.\Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu.\I made a new friend again. response:	Honestly, it's not like I put in any effort, so I don't know what to think.
context: Not that it's a bad thing that Sadako has new friends.\Friends, huh?\Bye bye.\Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think. response:	We're friends now, right?
context: Friends, huh?\Bye bye.\Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right? response:	I guess this is what it's like to make friends.
context: Bye bye.\Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends. response:	It hasn't really hit me, but I still feel happy.
context: Bye bye.\But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy. response:	Kuronuma.
context: But seriously, I'd be so pissed if she became closer to her than to us.\You're cute, Chizu.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kuronuma. response:	Wh-Why did I just see Kazehaya-kun's face?
context: You're cute, Chizu.\I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kuronuma.\Wh-Why did I just see Kazehaya-kun's face? response:	It has nothing to do with anything.
context: I made a new friend again.\Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kuronuma.\Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything. response:	I can't sleep!
context: Honestly, it's not like I put in any effort, so I don't know what to think.\We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kuronuma.\Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything.\I can't sleep! response:	Kurumi-chan's my friend now too.
context: We're friends now, right?\I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kuronuma.\Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything.\I can't sleep!\Kurumi-chan's my friend now too. response:	I'm so blessed, yet I feel the opposite...
context: I guess this is what it's like to make friends.\It hasn't really hit me, but I still feel happy.\Kuronuma.\Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything.\I can't sleep!\Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite... response:	Here.
context: It hasn't really hit me, but I still feel happy.\Kuronuma.\Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything.\I can't sleep!\Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite...\Here. response:	T-Thanks.
context: Kuronuma.\Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything.\I can't sleep!\Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite...\Here.\T-Thanks. response:	What's up with them?
context: Wh-Why did I just see Kazehaya-kun's face?\It has nothing to do with anything.\I can't sleep!\Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite...\Here.\T-Thanks.\What's up with them? response:	Don't you get it?
context: It has nothing to do with anything.\I can't sleep!\Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite...\Here.\T-Thanks.\What's up with them?\Don't you get it? response:	Tension, you know, tension.
context: I can't sleep!\Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite...\Here.\T-Thanks.\What's up with them?\Don't you get it?\Tension, you know, tension. response:	Oh no.
context: Kurumi-chan's my friend now too.\I'm so blessed, yet I feel the opposite...\Here.\T-Thanks.\What's up with them?\Don't you get it?\Tension, you know, tension.\Oh no. response:	I can't really talk to Kazehaya-kun too well.
context: I'm so blessed, yet I feel the opposite...\Here.\T-Thanks.\What's up with them?\Don't you get it?\Tension, you know, tension.\Oh no.\I can't really talk to Kazehaya-kun too well. response:	Kazehaya.
context: Here.\T-Thanks.\What's up with them?\Don't you get it?\Tension, you know, tension.\Oh no.\I can't really talk to Kazehaya-kun too well.\Kazehaya. response:	What's up?
context: T-Thanks.\What's up with them?\Don't you get it?\Tension, you know, tension.\Oh no.\I can't really talk to Kazehaya-kun too well.\Kazehaya.\What's up? response:	I have to give you the committee form.
context: What's up with them?\Don't you get it?\Tension, you know, tension.\Oh no.\I can't really talk to Kazehaya-kun too well.\Kazehaya.\What's up?\I have to give you the committee form. response:	Here.
context: Don't you get it?\Tension, you know, tension.\Oh no.\I can't really talk to Kazehaya-kun too well.\Kazehaya.\What's up?\I have to give you the committee form.\Here. response:	Thanks.
context: Tension, you know, tension.\Oh no.\I can't really talk to Kazehaya-kun too well.\Kazehaya.\What's up?\I have to give you the committee form.\Here.\Thanks. response:	Oh yeah, the CD.
context: Oh no.\I can't really talk to Kazehaya-kun too well.\Kazehaya.\What's up?\I have to give you the committee form.\Here.\Thanks.\Oh yeah, the CD. response:	Hold on.
context: I can't really talk to Kazehaya-kun too well.\Kazehaya.\What's up?\I have to give you the committee form.\Here.\Thanks.\Oh yeah, the CD.\Hold on. response:	You brought it? Thanks.
context: Kazehaya.\What's up?\I have to give you the committee form.\Here.\Thanks.\Oh yeah, the CD.\Hold on.\You brought it? Thanks. response:	Here.
context: What's up?\I have to give you the committee form.\Here.\Thanks.\Oh yeah, the CD.\Hold on.\You brought it? Thanks.\Here. response:	Yay, thanks.
context: I have to give you the committee form.\Here.\Thanks.\Oh yeah, the CD.\Hold on.\You brought it? Thanks.\Here.\Yay, thanks. response:	So natural.
context: Here.\Thanks.\Oh yeah, the CD.\Hold on.\You brought it? Thanks.\Here.\Yay, thanks.\So natural. response:	She's so cute, nice and friendly.
context: Thanks.\Oh yeah, the CD.\Hold on.\You brought it? Thanks.\Here.\Yay, thanks.\So natural.\She's so cute, nice and friendly. response:	She's something else.
context: Oh yeah, the CD.\Hold on.\You brought it? Thanks.\Here.\Yay, thanks.\So natural.\She's so cute, nice and friendly.\She's something else. response:	Thank you.
context: Hold on.\You brought it? Thanks.\Here.\Yay, thanks.\So natural.\She's so cute, nice and friendly.\She's something else.\Thank you. response:	Kurumi-chan doesn't get nervous like that.
context: You brought it? Thanks.\Here.\Yay, thanks.\So natural.\She's so cute, nice and friendly.\She's something else.\Thank you.\Kurumi-chan doesn't get nervous like that. response:	She's so smooth.
context: Here.\Yay, thanks.\So natural.\She's so cute, nice and friendly.\She's something else.\Thank you.\Kurumi-chan doesn't get nervous like that.\She's so smooth. response:	So nice...
context: Yay, thanks.\So natural.\She's so cute, nice and friendly.\She's something else.\Thank you.\Kurumi-chan doesn't get nervous like that.\She's so smooth.\So nice... response:	Sawako-chan.
context: So natural.\She's so cute, nice and friendly.\She's something else.\Thank you.\Kurumi-chan doesn't get nervous like that.\She's so smooth.\So nice...\Sawako-chan. response:	What's up?
context: She's so cute, nice and friendly.\She's something else.\Thank you.\Kurumi-chan doesn't get nervous like that.\She's so smooth.\So nice...\Sawako-chan.\What's up? response:	Thanks.
context: She's something else.\Thank you.\Kurumi-chan doesn't get nervous like that.\She's so smooth.\So nice...\Sawako-chan.\What's up?\Thanks. response:	Sorry I surprised you.
context: Thank you.\Kurumi-chan doesn't get nervous like that.\She's so smooth.\So nice...\Sawako-chan.\What's up?\Thanks.\Sorry I surprised you. response:	You didn't notice me calling you.
context: Kurumi-chan doesn't get nervous like that.\She's so smooth.\So nice...\Sawako-chan.\What's up?\Thanks.\Sorry I surprised you.\You didn't notice me calling you. response:	No, I'm sorry for everything.
context: She's so smooth.\So nice...\Sawako-chan.\What's up?\Thanks.\Sorry I surprised you.\You didn't notice me calling you.\No, I'm sorry for everything. response:	Here you go.
context: So nice...\Sawako-chan.\What's up?\Thanks.\Sorry I surprised you.\You didn't notice me calling you.\No, I'm sorry for everything.\Here you go. response:	Thanks.
context: Sawako-chan.\What's up?\Thanks.\Sorry I surprised you.\You didn't notice me calling you.\No, I'm sorry for everything.\Here you go.\Thanks. response:	I, uh...
context: What's up?\Thanks.\Sorry I surprised you.\You didn't notice me calling you.\No, I'm sorry for everything.\Here you go.\Thanks.\I, uh... response:	Ku
context: Thanks.\Sorry I surprised you.\You didn't notice me calling you.\No, I'm sorry for everything.\Here you go.\Thanks.\I, uh...\Ku response:	K-Kurumi-chan.
context: Sorry I surprised you.\You didn't notice me calling you.\No, I'm sorry for everything.\Here you go.\Thanks.\I, uh...\Ku\K-Kurumi-chan. response:	I called her by name.
context: You didn't notice me calling you.\No, I'm sorry for everything.\Here you go.\Thanks.\I, uh...\Ku\K-Kurumi-chan.\I called her by name. response:	Was that uncalled for?
context: No, I'm sorry for everything.\Here you go.\Thanks.\I, uh...\Ku\K-Kurumi-chan.\I called her by name.\Was that uncalled for? response:	You finally called me Kurumi-chan.
context: Here you go.\Thanks.\I, uh...\Ku\K-Kurumi-chan.\I called her by name.\Was that uncalled for?\You finally called me Kurumi-chan. response:	I'm so happy.
context: Thanks.\I, uh...\Ku\K-Kurumi-chan.\I called her by name.\Was that uncalled for?\You finally called me Kurumi-chan.\I'm so happy. response:	It went alright!
context: I, uh...\Ku\K-Kurumi-chan.\I called her by name.\Was that uncalled for?\You finally called me Kurumi-chan.\I'm so happy.\It went alright! response:	Isn't that heavy?
context: Ku\K-Kurumi-chan.\I called her by name.\Was that uncalled for?\You finally called me Kurumi-chan.\I'm so happy.\It went alright!\Isn't that heavy? response:	Want me to carry half?
context: K-Kurumi-chan.\I called her by name.\Was that uncalled for?\You finally called me Kurumi-chan.\I'm so happy.\It went alright!\Isn't that heavy?\Want me to carry half? response:	It's fine.
context: I called her by name.\Was that uncalled for?\You finally called me Kurumi-chan.\I'm so happy.\It went alright!\Isn't that heavy?\Want me to carry half?\It's fine. response:	This is my job.
context: Was that uncalled for?\You finally called me Kurumi-chan.\I'm so happy.\It went alright!\Isn't that heavy?\Want me to carry half?\It's fine.\This is my job. response:	Job? You're funny.
context: You finally called me Kurumi-chan.\I'm so happy.\It went alright!\Isn't that heavy?\Want me to carry half?\It's fine.\This is my job.\Job? You're funny. response:	I wish I could be like Kurumi-chan.
context: I'm so happy.\It went alright!\Isn't that heavy?\Want me to carry half?\It's fine.\This is my job.\Job? You're funny.\I wish I could be like Kurumi-chan. response:	Here's the form, yo. Pass me the CD.
context: It went alright!\Isn't that heavy?\Want me to carry half?\It's fine.\This is my job.\Job? You're funny.\I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD. response:	Okay.
context: Isn't that heavy?\Want me to carry half?\It's fine.\This is my job.\Job? You're funny.\I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD.\Okay. response:	Woohoo! Thanks dude!
context: Want me to carry half?\It's fine.\This is my job.\Job? You're funny.\I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD.\Okay.\Woohoo! Thanks dude! response:	Woo!
context: It's fine.\This is my job.\Job? You're funny.\I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD.\Okay.\Woohoo! Thanks dude!\Woo! response:	American?
context: This is my job.\Job? You're funny.\I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD.\Okay.\Woohoo! Thanks dude!\Woo!\American? response:	Sawako-chan?
context: Job? You're funny.\I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD.\Okay.\Woohoo! Thanks dude!\Woo!\American?\Sawako-chan? response:	Is something bothering you?
context: I wish I could be like Kurumi-chan.\Here's the form, yo. Pass me the CD.\Okay.\Woohoo! Thanks dude!\Woo!\American?\Sawako-chan?\Is something bothering you? response:	You can talk to me about it if you want.
context: Here's the form, yo. Pass me the CD.\Okay.\Woohoo! Thanks dude!\Woo!\American?\Sawako-chan?\Is something bothering you?\You can talk to me about it if you want. response:	I'll hear you out.
context: Okay.\Woohoo! Thanks dude!\Woo!\American?\Sawako-chan?\Is something bothering you?\You can talk to me about it if you want.\I'll hear you out. response:	No, not really.
context: Woohoo! Thanks dude!\Woo!\American?\Sawako-chan?\Is something bothering you?\You can talk to me about it if you want.\I'll hear you out.\No, not really. response:	Talk to me about anything.
context: Woo!\American?\Sawako-chan?\Is something bothering you?\You can talk to me about it if you want.\I'll hear you out.\No, not really.\Talk to me about anything. response:	My role model wants to hear me out.
context: American?\Sawako-chan?\Is something bothering you?\You can talk to me about it if you want.\I'll hear you out.\No, not really.\Talk to me about anything.\My role model wants to hear me out. response:	Bring it on pitcher!
context: Sawako-chan?\Is something bothering you?\You can talk to me about it if you want.\I'll hear you out.\No, not really.\Talk to me about anything.\My role model wants to hear me out.\Bring it on pitcher! response:	Pitcher, pitch to contact!
context: Is something bothering you?\You can talk to me about it if you want.\I'll hear you out.\No, not really.\Talk to me about anything.\My role model wants to hear me out.\Bring it on pitcher!\Pitcher, pitch to contact! response:	You have a hard time talking to Kazehaya?
context: You can talk to me about it if you want.\I'll hear you out.\No, not really.\Talk to me about anything.\My role model wants to hear me out.\Bring it on pitcher!\Pitcher, pitch to contact!\You have a hard time talking to Kazehaya? response:	Maybe boys and girls are too different.
context: I'll hear you out.\No, not really.\Talk to me about anything.\My role model wants to hear me out.\Bring it on pitcher!\Pitcher, pitch to contact!\You have a hard time talking to Kazehaya?\Maybe boys and girls are too different. response:	You get too self-conscious.
context: No, not really.\Talk to me about anything.\My role model wants to hear me out.\Bring it on pitcher!\Pitcher, pitch to contact!\You have a hard time talking to Kazehaya?\Maybe boys and girls are too different.\You get too self-conscious. response:	I knew it.
context: Talk to me about anything.\My role model wants to hear me out.\Bring it on pitcher!\Pitcher, pitch to contact!\You have a hard time talking to Kazehaya?\Maybe boys and girls are too different.\You get too self-conscious.\I knew it. response:	I've known him since middle school, and my guess is...
context: My role model wants to hear me out.\Bring it on pitcher!\Pitcher, pitch to contact!\You have a hard time talking to Kazehaya?\Maybe boys and girls are too different.\You get too self-conscious.\I knew it.\I've known him since middle school, and my guess is... response:	Kazehaya's always been really nice to kids that don't fit in.
context: Bring it on pitcher!\Pitcher, pitch to contact!\You have a hard time talking to Kazehaya?\Maybe boys and girls are too different.\You get too self-conscious.\I knew it.\I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in. response:	He talks to anyone and everyone really casually.
context: Pitcher, pitch to contact!\You have a hard time talking to Kazehaya?\Maybe boys and girls are too different.\You get too self-conscious.\I knew it.\I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually. response:	So I think he talks to you normally too.
context: You have a hard time talking to Kazehaya?\Maybe boys and girls are too different.\You get too self-conscious.\I knew it.\I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually.\So I think he talks to you normally too. response:	That's so true.
context: Maybe boys and girls are too different.\You get too self-conscious.\I knew it.\I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually.\So I think he talks to you normally too.\That's so true. response:	So it's not anything special that he talks to you.
context: You get too self-conscious.\I knew it.\I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually.\So I think he talks to you normally too.\That's so true.\So it's not anything special that he talks to you. response:	I don't think you need to get so tense.
context: I knew it.\I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually.\So I think he talks to you normally too.\That's so true.\So it's not anything special that he talks to you.\I don't think you need to get so tense. response:	I see.
context: I've known him since middle school, and my guess is...\Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually.\So I think he talks to you normally too.\That's so true.\So it's not anything special that he talks to you.\I don't think you need to get so tense.\I see. response:	But then again, you're so different from Kazehaya.
context: Kazehaya's always been really nice to kids that don't fit in.\He talks to anyone and everyone really casually.\So I think he talks to you normally too.\That's so true.\So it's not anything special that he talks to you.\I don't think you need to get so tense.\I see.\But then again, you're so different from Kazehaya. response:	Yeah.
context: He talks to anyone and everyone really casually.\So I think he talks to you normally too.\That's so true.\So it's not anything special that he talks to you.\I don't think you need to get so tense.\I see.\But then again, you're so different from Kazehaya.\Yeah. response:	So maybe you'll have a better time talking to someone not as outgoing,
context: So I think he talks to you normally too.\That's so true.\So it's not anything special that he talks to you.\I don't think you need to get so tense.\I see.\But then again, you're so different from Kazehaya.\Yeah.\So maybe you'll have a better time talking to someone not as outgoing, response:	someone like you.
context: That's so true.\So it's not anything special that he talks to you.\I don't think you need to get so tense.\I see.\But then again, you're so different from Kazehaya.\Yeah.\So maybe you'll have a better time talking to someone not as outgoing,\someone like you. response:	You know, people get along with some people better than others.
context: So it's not anything special that he talks to you.\I don't think you need to get so tense.\I see.\But then again, you're so different from Kazehaya.\Yeah.\So maybe you'll have a better time talking to someone not as outgoing,\someone like you.\You know, people get along with some people better than others. response:	Oh, I see.
context: I don't think you need to get so tense.\I see.\But then again, you're so different from Kazehaya.\Yeah.\So maybe you'll have a better time talking to someone not as outgoing,\someone like you.\You know, people get along with some people better than others.\Oh, I see. response:	I guess that's why you talk to him so casually.
context: I see.\But then again, you're so different from Kazehaya.\Yeah.\So maybe you'll have a better time talking to someone not as outgoing,\someone like you.\You know, people get along with some people better than others.\Oh, I see.\I guess that's why you talk to him so casually. response:	I wonder.
context: But then again, you're so different from Kazehaya.\Yeah.\So maybe you'll have a better time talking to someone not as outgoing,\someone like you.\You know, people get along with some people better than others.\Oh, I see.\I guess that's why you talk to him so casually.\I wonder. response:	We're sort of alike in a way.
context: Yeah.\So maybe you'll have a better time talking to someone not as outgoing,\someone like you.\You know, people get along with some people better than others.\Oh, I see.\I guess that's why you talk to him so casually.\I wonder.\We're sort of alike in a way. response:	Wow.
context: So maybe you'll have a better time talking to someone not as outgoing,\someone like you.\You know, people get along with some people better than others.\Oh, I see.\I guess that's why you talk to him so casually.\I wonder.\We're sort of alike in a way.\Wow. response:	Kazehaya-kun was calling her by name.
context: someone like you.\You know, people get along with some people better than others.\Oh, I see.\I guess that's why you talk to him so casually.\I wonder.\We're sort of alike in a way.\Wow.\Kazehaya-kun was calling her by name. response:	You're close to him, aren't you?
context: You know, people get along with some people better than others.\Oh, I see.\I guess that's why you talk to him so casually.\I wonder.\We're sort of alike in a way.\Wow.\Kazehaya-kun was calling her by name.\You're close to him, aren't you? response:	Close to him? No, that's just normal.
context: Oh, I see.\I guess that's why you talk to him so casually.\I wonder.\We're sort of alike in a way.\Wow.\Kazehaya-kun was calling her by name.\You're close to him, aren't you?\Close to him? No, that's just normal. response:	Normal? Really?
context: I guess that's why you talk to him so casually.\I wonder.\We're sort of alike in a way.\Wow.\Kazehaya-kun was calling her by name.\You're close to him, aren't you?\Close to him? No, that's just normal.\Normal? Really? response:	Really? The standards are so high!
context: I wonder.\We're sort of alike in a way.\Wow.\Kazehaya-kun was calling her by name.\You're close to him, aren't you?\Close to him? No, that's just normal.\Normal? Really?\Really? The standards are so high! response:	I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.
context: We're sort of alike in a way.\Wow.\Kazehaya-kun was calling her by name.\You're close to him, aren't you?\Close to him? No, that's just normal.\Normal? Really?\Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous. response:	Maybe we should head back now.
context: Wow.\Kazehaya-kun was calling her by name.\You're close to him, aren't you?\Close to him? No, that's just normal.\Normal? Really?\Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now. response:	O-Okay.
context: Kazehaya-kun was calling her by name.\You're close to him, aren't you?\Close to him? No, that's just normal.\Normal? Really?\Really? The standards are so high!\I see; if that's normal for Kurumi-chan, then no wonder I feel nervous.\Maybe we should head back now.\O-Okay. response:	Morning, Kuronuma.
