context: Hishiron! Let's get lunch. response:	What about Kariu-san?
context: Stop, Hishiron! Don't be mean!\Ugly? Weird?\It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything,\was it bees?\Uh, yeah!\Guess I was stung in my sleep!\I see. Get well soon. response:	Say, Hishiron...
context: Ugly? Weird?\It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything,\was it bees?\Uh, yeah!\Guess I was stung in my sleep!\I see. Get well soon.\Say, Hishiron... response:	Have you ever hurt someone or clashed with them because you're too smart?
context: It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything,\was it bees?\Uh, yeah!\Guess I was stung in my sleep!\I see. Get well soon.\Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart? response:	Made people give up,
context: If you didn't bump into anything,\was it bees?\Uh, yeah!\Guess I was stung in my sleep!\I see. Get well soon.\Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart?\Made people give up, response:	or tell you to do everything by yourself?
context: was it bees?\Uh, yeah!\Guess I was stung in my sleep!\I see. Get well soon.\Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart?\Made people give up,\or tell you to do everything by yourself? response:	Anything like that?
context: Uh, yeah!\Guess I was stung in my sleep!\I see. Get well soon.\Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart?\Made people give up,\or tell you to do everything by yourself?\Anything like that? response:	I don't really understand.
context: Guess I was stung in my sleep!\I see. Get well soon.\Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart?\Made people give up,\or tell you to do everything by yourself?\Anything like that?\I don't really understand. response:	Sorry, weird question.
context: I see. Get well soon.\Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart?\Made people give up,\or tell you to do everything by yourself?\Anything like that?\I don't really understand.\Sorry, weird question. response:	Forget it.
context: Say, Hishiron...\Have you ever hurt someone or clashed with them because you're too smart?\Made people give up,\or tell you to do everything by yourself?\Anything like that?\I don't really understand.\Sorry, weird question.\Forget it. response:	Excuse me.
context: Have you ever hurt someone or clashed with them because you're too smart?\Made people give up,\or tell you to do everything by yourself?\Anything like that?\I don't really understand.\Sorry, weird question.\Forget it.\Excuse me. response:	Rena!
context: Made people give up,\or tell you to do everything by yourself?\Anything like that?\I don't really understand.\Sorry, weird question.\Forget it.\Excuse me.\Rena! response:	How's your ankle?
context: or tell you to do everything by yourself?\Anything like that?\I don't really understand.\Sorry, weird question.\Forget it.\Excuse me.\Rena!\How's your ankle? response:	You went to the hospital, right?
context: Anything like that?\I don't really understand.\Sorry, weird question.\Forget it.\Excuse me.\Rena!\How's your ankle?\You went to the hospital, right? response:	Here.
context: I don't really understand.\Sorry, weird question.\Forget it.\Excuse me.\Rena!\How's your ankle?\You went to the hospital, right?\Here. response:	Nice spike!
context: Sorry, weird question.\Forget it.\Excuse me.\Rena!\How's your ankle?\You went to the hospital, right?\Here.\Nice spike! response:	One more!
context: Forget it.\Excuse me.\Rena!\How's your ankle?\You went to the hospital, right?\Here.\Nice spike!\One more! response:	Right!
context: Excuse me.\Rena!\How's your ankle?\You went to the hospital, right?\Here.\Nice spike!\One more!\Right! response:	Tamarai-senpai!
context: Rena!\How's your ankle?\You went to the hospital, right?\Here.\Nice spike!\One more!\Right!\Tamarai-senpai! response:	Get the nurse!
context: How's your ankle?\You went to the hospital, right?\Here.\Nice spike!\One more!\Right!\Tamarai-senpai!\Get the nurse! response:	It's a sprain. It'll take two weeks to heal.
context: You went to the hospital, right?\Here.\Nice spike!\One more!\Right!\Tamarai-senpai!\Get the nurse!\It's a sprain. It'll take two weeks to heal. response:	I can exercise after that, but with caution.
context: Here.\Nice spike!\One more!\Right!\Tamarai-senpai!\Get the nurse!\It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution. response:	Whew.
context: Nice spike!\One more!\Right!\Tamarai-senpai!\Get the nurse!\It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution.\Whew. response:	Then you can make the tournament!
context: One more!\Right!\Tamarai-senpai!\Get the nurse!\It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution.\Whew.\Then you can make the tournament! response:	You can come by practice until it heals. Just to show your face.
context: Right!\Tamarai-senpai!\Get the nurse!\It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution.\Whew.\Then you can make the tournament!\You can come by practice until it heals. Just to show your face. response:	They'll all be relieved.
context: Tamarai-senpai!\Get the nurse!\It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution.\Whew.\Then you can make the tournament!\You can come by practice until it heals. Just to show your face.\They'll all be relieved. response:	About that...
context: Get the nurse!\It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution.\Whew.\Then you can make the tournament!\You can come by practice until it heals. Just to show your face.\They'll all be relieved.\About that... response:	I think I'd drag the team down if I played in a match after taking two weeks off.
context: It's a sprain. It'll take two weeks to heal.\I can exercise after that, but with caution.\Whew.\Then you can make the tournament!\You can come by practice until it heals. Just to show your face.\They'll all be relieved.\About that...\I think I'd drag the team down if I played in a match after taking two weeks off. response:	And I don't know if I'll be able to move right.
context: I can exercise after that, but with caution.\Whew.\Then you can make the tournament!\You can come by practice until it heals. Just to show your face.\They'll all be relieved.\About that...\I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right. response:	I think I'm just gonna retire.
context: Whew.\Then you can make the tournament!\You can come by practice until it heals. Just to show your face.\They'll all be relieved.\About that...\I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right.\I think I'm just gonna retire. response:	Let the others know for me.
context: Then you can make the tournament!\You can come by practice until it heals. Just to show your face.\They'll all be relieved.\About that...\I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right.\I think I'm just gonna retire.\Let the others know for me. response:	Bye.
context: You can come by practice until it heals. Just to show your face.\They'll all be relieved.\About that...\I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right.\I think I'm just gonna retire.\Let the others know for me.\Bye. response:	Wait, Rena!
context: They'll all be relieved.\About that...\I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right.\I think I'm just gonna retire.\Let the others know for me.\Bye.\Wait, Rena! response:	You should try the rice omelet next time!
context: About that...\I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right.\I think I'm just gonna retire.\Let the others know for me.\Bye.\Wait, Rena!\You should try the rice omelet next time! response:	Kariu-san...
context: I think I'd drag the team down if I played in a match after taking two weeks off.\And I don't know if I'll be able to move right.\I think I'm just gonna retire.\Let the others know for me.\Bye.\Wait, Rena!\You should try the rice omelet next time!\Kariu-san... response:	I've gotta use the bathroom.
context: And I don't know if I'll be able to move right.\I think I'm just gonna retire.\Let the others know for me.\Bye.\Wait, Rena!\You should try the rice omelet next time!\Kariu-san...\I've gotta use the bathroom. response:	Okay.
context: I think I'm just gonna retire.\Let the others know for me.\Bye.\Wait, Rena!\You should try the rice omelet next time!\Kariu-san...\I've gotta use the bathroom.\Okay. response:	No, Aki, stop.
context: Let the others know for me.\Bye.\Wait, Rena!\You should try the rice omelet next time!\Kariu-san...\I've gotta use the bathroom.\Okay.\No, Aki, stop. response:	What were you gonna do?
context: Bye.\Wait, Rena!\You should try the rice omelet next time!\Kariu-san...\I've gotta use the bathroom.\Okay.\No, Aki, stop.\What were you gonna do? response:	Drag her in front of Tama and make her apologize.
context: Wait, Rena!\You should try the rice omelet next time!\Kariu-san...\I've gotta use the bathroom.\Okay.\No, Aki, stop.\What were you gonna do?\Drag her in front of Tama and make her apologize. response:	You can't!
context: You should try the rice omelet next time!\Kariu-san...\I've gotta use the bathroom.\Okay.\No, Aki, stop.\What were you gonna do?\Drag her in front of Tama and make her apologize.\You can't! response:	You heard what Tama-chan said.
context: Kariu-san...\I've gotta use the bathroom.\Okay.\No, Aki, stop.\What were you gonna do?\Drag her in front of Tama and make her apologize.\You can't!\You heard what Tama-chan said. response:	She wants to stay friends with Kariu-san,
context: I've gotta use the bathroom.\Okay.\No, Aki, stop.\What were you gonna do?\Drag her in front of Tama and make her apologize.\You can't!\You heard what Tama-chan said.\She wants to stay friends with Kariu-san, response:	so she'll figure this out herself.
context: Okay.\No, Aki, stop.\What were you gonna do?\Drag her in front of Tama and make her apologize.\You can't!\You heard what Tama-chan said.\She wants to stay friends with Kariu-san,\so she'll figure this out herself. response:	Watch over her.
context: No, Aki, stop.\What were you gonna do?\Drag her in front of Tama and make her apologize.\You can't!\You heard what Tama-chan said.\She wants to stay friends with Kariu-san,\so she'll figure this out herself.\Watch over her. response:	I've been doing that all day.
context: What were you gonna do?\Drag her in front of Tama and make her apologize.\You can't!\You heard what Tama-chan said.\She wants to stay friends with Kariu-san,\so she'll figure this out herself.\Watch over her.\I've been doing that all day. response:	Show more patience.
context: Drag her in front of Tama and make her apologize.\You can't!\You heard what Tama-chan said.\She wants to stay friends with Kariu-san,\so she'll figure this out herself.\Watch over her.\I've been doing that all day.\Show more patience. response:	She was finally smiling at practice.
context: You can't!\You heard what Tama-chan said.\She wants to stay friends with Kariu-san,\so she'll figure this out herself.\Watch over her.\I've been doing that all day.\Show more patience.\She was finally smiling at practice. response:	Now it's making her cry again.
context: You heard what Tama-chan said.\She wants to stay friends with Kariu-san,\so she'll figure this out herself.\Watch over her.\I've been doing that all day.\Show more patience.\She was finally smiling at practice.\Now it's making her cry again. response:	It's hard for me to watch.
context: She wants to stay friends with Kariu-san,\so she'll figure this out herself.\Watch over her.\I've been doing that all day.\Show more patience.\She was finally smiling at practice.\Now it's making her cry again.\It's hard for me to watch. response:	Kariu, are you not going to practice?
context: so she'll figure this out herself.\Watch over her.\I've been doing that all day.\Show more patience.\She was finally smiling at practice.\Now it's making her cry again.\It's hard for me to watch.\Kariu, are you not going to practice? response:	I'm gonna study a bit today.
context: Watch over her.\I've been doing that all day.\Show more patience.\She was finally smiling at practice.\Now it's making her cry again.\It's hard for me to watch.\Kariu, are you not going to practice?\I'm gonna study a bit today. response:	Then since I'm not working today, maybe I should do my homework before I go home.
context: I've been doing that all day.\Show more patience.\She was finally smiling at practice.\Now it's making her cry again.\It's hard for me to watch.\Kariu, are you not going to practice?\I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home. response:	Arata, you're staying, right? For make-up prep?
context: Show more patience.\She was finally smiling at practice.\Now it's making her cry again.\It's hard for me to watch.\Kariu, are you not going to practice?\I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep? response:	Sorry, I've got somewhere to be today.
context: She was finally smiling at practice.\Now it's making her cry again.\It's hard for me to watch.\Kariu, are you not going to practice?\I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today. response:	Dude, what?
context: Now it's making her cry again.\It's hard for me to watch.\Kariu, are you not going to practice?\I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today.\Dude, what? response:	At this rate, you'll fail next week, too!
context: It's hard for me to watch.\Kariu, are you not going to practice?\I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today.\Dude, what?\At this rate, you'll fail next week, too! response:	Shut up.
context: Kariu, are you not going to practice?\I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today.\Dude, what?\At this rate, you'll fail next week, too!\Shut up. response:	Bye.
context: I'm gonna study a bit today.\Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today.\Dude, what?\At this rate, you'll fail next week, too!\Shut up.\Bye. response:	I'm being a nosy old man and leaving you two alone together.
context: Then since I'm not working today, maybe I should do my homework before I go home.\Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today.\Dude, what?\At this rate, you'll fail next week, too!\Shut up.\Bye.\I'm being a nosy old man and leaving you two alone together. response:	Be grateful and enjoy your youth.
context: Arata, you're staying, right? For make-up prep?\Sorry, I've got somewhere to be today.\Dude, what?\At this rate, you'll fail next week, too!\Shut up.\Bye.\I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth. response:	How long is he gonna stay?!
context: Sorry, I've got somewhere to be today.\Dude, what?\At this rate, you'll fail next week, too!\Shut up.\Bye.\I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth.\How long is he gonna stay?! response:	I was just waiting for everyone to leave...
context: Dude, what?\At this rate, you'll fail next week, too!\Shut up.\Bye.\I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth.\How long is he gonna stay?!\I was just waiting for everyone to leave... response:	I don't want to be seen dragging my foot like this!
context: At this rate, you'll fail next week, too!\Shut up.\Bye.\I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth.\How long is he gonna stay?!\I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this! response:	Okay! Guess I'd better be go
context: Shut up.\Bye.\I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth.\How long is he gonna stay?!\I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go response:	Okay! All done!
context: Bye.\I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth.\How long is he gonna stay?!\I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go\Okay! All done! response:	You finished, too?
context: I'm being a nosy old man and leaving you two alone together.\Be grateful and enjoy your youth.\How long is he gonna stay?!\I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go\Okay! All done!\You finished, too? response:	Then let's go home together!
context: Be grateful and enjoy your youth.\How long is he gonna stay?!\I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go\Okay! All done!\You finished, too?\Then let's go home together! response:	His timing is the worst!
context: How long is he gonna stay?!\I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go\Okay! All done!\You finished, too?\Then let's go home together!\His timing is the worst! response:	You go on ahead, Oga.
context: I was just waiting for everyone to leave...\I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go\Okay! All done!\You finished, too?\Then let's go home together!\His timing is the worst!\You go on ahead, Oga. response:	Why? Aren't you done, too?
context: I don't want to be seen dragging my foot like this!\Okay! Guess I'd better be go\Okay! All done!\You finished, too?\Then let's go home together!\His timing is the worst!\You go on ahead, Oga.\Why? Aren't you done, too? response:	Just go.
context: Okay! Guess I'd better be go\Okay! All done!\You finished, too?\Then let's go home together!\His timing is the worst!\You go on ahead, Oga.\Why? Aren't you done, too?\Just go. response:	You're not making any sense.
context: Okay! All done!\You finished, too?\Then let's go home together!\His timing is the worst!\You go on ahead, Oga.\Why? Aren't you done, too?\Just go.\You're not making any sense. response:	Just go!
context: You finished, too?\Then let's go home together!\His timing is the worst!\You go on ahead, Oga.\Why? Aren't you done, too?\Just go.\You're not making any sense.\Just go! response:	Don't try to make sense of it!
context: Then let's go home together!\His timing is the worst!\You go on ahead, Oga.\Why? Aren't you done, too?\Just go.\You're not making any sense.\Just go!\Don't try to make sense of it! response:	Take a hint already!
context: His timing is the worst!\You go on ahead, Oga.\Why? Aren't you done, too?\Just go.\You're not making any sense.\Just go!\Don't try to make sense of it!\Take a hint already! response:	What? Man, you're extra grumpy today.
context: You go on ahead, Oga.\Why? Aren't you done, too?\Just go.\You're not making any sense.\Just go!\Don't try to make sense of it!\Take a hint already!\What? Man, you're extra grumpy today. response:	Don't talk like I'm always grumpy!
context: Why? Aren't you done, too?\Just go.\You're not making any sense.\Just go!\Don't try to make sense of it!\Take a hint already!\What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy! response:	Come on. Stop sulking, and let's go!
context: Just go.\You're not making any sense.\Just go!\Don't try to make sense of it!\Take a hint already!\What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go! response:	Hey! Stop that, you wimpy...
context: You're not making any sense.\Just go!\Don't try to make sense of it!\Take a hint already!\What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy... response:	Kariu!
context: Just go!\Don't try to make sense of it!\Take a hint already!\What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy...\Kariu! response:	Sorry, are
context: Don't try to make sense of it!\Take a hint already!\What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy...\Kariu!\Sorry, are response:	Don't look!
context: Take a hint already!\What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy...\Kariu!\Sorry, are\Don't look! response:	Ow...
context: What? Man, you're extra grumpy today.\Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy...\Kariu!\Sorry, are\Don't look!\Ow... response:	Just leave me alone!
context: Don't talk like I'm always grumpy!\Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy...\Kariu!\Sorry, are\Don't look!\Ow...\Just leave me alone! response:	Why, you...
context: Come on. Stop sulking, and let's go!\Hey! Stop that, you wimpy...\Kariu!\Sorry, are\Don't look!\Ow...\Just leave me alone!\Why, you... response:	Didn't you hear me?
context: Hey! Stop that, you wimpy...\Kariu!\Sorry, are\Don't look!\Ow...\Just leave me alone!\Why, you...\Didn't you hear me? response:	Why are you still here?!
context: Kariu!\Sorry, are\Don't look!\Ow...\Just leave me alone!\Why, you...\Didn't you hear me?\Why are you still here?! response:	Just leave already!
context: Sorry, are\Don't look!\Ow...\Just leave me alone!\Why, you...\Didn't you hear me?\Why are you still here?!\Just leave already! response:	I can't just leave a crying girl alone and go home.
context: Don't look!\Ow...\Just leave me alone!\Why, you...\Didn't you hear me?\Why are you still here?!\Just leave already!\I can't just leave a crying girl alone and go home. response:	I'm too wimpy to carry you,
context: Ow...\Just leave me alone!\Why, you...\Didn't you hear me?\Why are you still here?!\Just leave already!\I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you, response:	but I can lend you a shoulder,
context: Just leave me alone!\Why, you...\Didn't you hear me?\Why are you still here?!\Just leave already!\I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you,\but I can lend you a shoulder, response:	and get you down the stairs.
context: Why, you...\Didn't you hear me?\Why are you still here?!\Just leave already!\I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you,\but I can lend you a shoulder,\and get you down the stairs. response:	The last thing you need is a fall.
context: Didn't you hear me?\Why are you still here?!\Just leave already!\I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you,\but I can lend you a shoulder,\and get you down the stairs.\The last thing you need is a fall. response:	If I were a boy,
context: Why are you still here?!\Just leave already!\I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you,\but I can lend you a shoulder,\and get you down the stairs.\The last thing you need is a fall.\If I were a boy, response:	I'd hate girls like me.
context: Just leave already!\I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you,\but I can lend you a shoulder,\and get you down the stairs.\The last thing you need is a fall.\If I were a boy,\I'd hate girls like me. response:	Stupidly proud, short-tempered, and utterly incomprehensible.
context: I can't just leave a crying girl alone and go home.\I'm too wimpy to carry you,\but I can lend you a shoulder,\and get you down the stairs.\The last thing you need is a fall.\If I were a boy,\I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible. response:	I was so mean to Honoka.
context: I'm too wimpy to carry you,\but I can lend you a shoulder,\and get you down the stairs.\The last thing you need is a fall.\If I were a boy,\I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka. response:	She might never speak to me again.
context: but I can lend you a shoulder,\and get you down the stairs.\The last thing you need is a fall.\If I were a boy,\I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka.\She might never speak to me again. response:	But I can't be honest about my feelings.
context: and get you down the stairs.\The last thing you need is a fall.\If I were a boy,\I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka.\She might never speak to me again.\But I can't be honest about my feelings. response:	I'm really starting to hate myself.
context: The last thing you need is a fall.\If I were a boy,\I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka.\She might never speak to me again.\But I can't be honest about my feelings.\I'm really starting to hate myself. response:	Man, I just don't know.
context: If I were a boy,\I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka.\She might never speak to me again.\But I can't be honest about my feelings.\I'm really starting to hate myself.\Man, I just don't know. response:	About what?
context: I'd hate girls like me.\Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka.\She might never speak to me again.\But I can't be honest about my feelings.\I'm really starting to hate myself.\Man, I just don't know.\About what? response:	There's just so much happening that the subject doesn't see.
context: Stupidly proud, short-tempered, and utterly incomprehensible.\I was so mean to Honoka.\She might never speak to me again.\But I can't be honest about my feelings.\I'm really starting to hate myself.\Man, I just don't know.\About what?\There's just so much happening that the subject doesn't see. response:	Even though one of the goals of ReLIFE
context: I was so mean to Honoka.\She might never speak to me again.\But I can't be honest about my feelings.\I'm really starting to hate myself.\Man, I just don't know.\About what?\There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE response:	is to reinvigorate emotions that have withered with age
context: She might never speak to me again.\But I can't be honest about my feelings.\I'm really starting to hate myself.\Man, I just don't know.\About what?\There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age response:	by getting him involved with adolescent kids.
context: But I can't be honest about my feelings.\I'm really starting to hate myself.\Man, I just don't know.\About what?\There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids. response:	by getting him involved with adolescent kids.
context: I'm really starting to hate myself.\Man, I just don't know.\About what?\There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids.\by getting him involved with adolescent kids. response:	Will he actually get involved?
context: Man, I just don't know.\About what?\There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids.\by getting him involved with adolescent kids.\Will he actually get involved? response:	Well, I'm sure Kaizaki-san will notice something's wrong soon.
context: About what?\There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids.\by getting him involved with adolescent kids.\Will he actually get involved?\Well, I'm sure Kaizaki-san will notice something's wrong soon. response:	But what then?
context: There's just so much happening that the subject doesn't see.\Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids.\by getting him involved with adolescent kids.\Will he actually get involved?\Well, I'm sure Kaizaki-san will notice something's wrong soon.\But what then? response:	friends acting weird help
context: Even though one of the goals of ReLIFE\is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids.\by getting him involved with adolescent kids.\Will he actually get involved?\Well, I'm sure Kaizaki-san will notice something's wrong soon.\But what then?\friends acting weird help response:	I knew it. Something's wrong.
context: is to reinvigorate emotions that have withered with age\by getting him involved with adolescent kids.\by getting him involved with adolescent kids.\Will he actually get involved?\Well, I'm sure Kaizaki-san will notice something's wrong soon.\But what then?\friends acting weird help\I knew it. Something's wrong. response:	Weird...
