context: Josuke, how long are you going to be playing that? response:	If you don't turn off that video game now,
context: Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1\Why'd you come here?\Don't ask that now.\I've been stopping by here every now and then for a while now.\What?\So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu, response:	the younger brother of Keicho, whom I got rid of,
context: Episode 11 Chili Pepper, Part 1\Why'd you come here?\Don't ask that now.\I've been stopping by here every now and then for a while now.\What?\So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of, response:	and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.
context: Why'd you come here?\Don't ask that now.\I've been stopping by here every now and then for a while now.\What?\So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well. response:	And I know that Toshikazu Hazamada
context: Don't ask that now.\I've been stopping by here every now and then for a while now.\What?\So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada response:	and Tamami Kobayashi are both in the hospital.
context: I've been stopping by here every now and then for a while now.\What?\So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital. response:	What I'm asking you is what are you actually doing in front of me,
context: What?\So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me, response:	when all this time you've been sneaking around like a gutless coward?
context: So this bastard's been watching me for a long time?\I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward? response:	I doubt this is it,
context: I've been frequently going to visit Okuyasu,\the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward?\I doubt this is it, response:	but you're not dumb enough to actually think you're going to kick my ass, are you?
context: the younger brother of Keicho, whom I got rid of,\and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward?\I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you? response:	Kick your ass?
context: and I'm very familiar with Koichi Hirose's Reverb and Yukako Yamagishi, as well.\And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward?\I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass? response:	I'd never do anything that awful to you.
context: And I know that Toshikazu Hazamada\and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward?\I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass?\I'd never do anything that awful to you. response:	I'm here to kill you painlessly.
context: and Tamami Kobayashi are both in the hospital.\What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward?\I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass?\I'd never do anything that awful to you.\I'm here to kill you painlessly. response:	I just can't laugh at your sad excuse for a joke,
context: What I'm asking you is what are you actually doing in front of me,\when all this time you've been sneaking around like a gutless coward?\I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass?\I'd never do anything that awful to you.\I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke, response:	good sir.
context: when all this time you've been sneaking around like a gutless coward?\I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass?\I'd never do anything that awful to you.\I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke,\good sir. response:	I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.
context: I doubt this is it,\but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass?\I'd never do anything that awful to you.\I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke,\good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me. response:	It's the fact that Jotaro is too attentive
context: but you're not dumb enough to actually think you're going to kick my ass, are you?\Kick your ass?\I'd never do anything that awful to you.\I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke,\good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive response:	and the fact that Star Platinum has the power to stop time.
context: Kick your ass?\I'd never do anything that awful to you.\I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke,\good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time. response:	So I just wanted to see just how much stronger my Stand has gotten over time.
context: I'd never do anything that awful to you.\I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke,\good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time. response:	Before I fight Jotaro,
context: I'm here to kill you painlessly.\I just can't laugh at your sad excuse for a joke,\good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro, response:	I thought I'd test myself against you, Josuke Higashikata.
context: I just can't laugh at your sad excuse for a joke,\good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata. response:	Come a bit closer.
context: good sir.\I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer. response:	Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!
context: I told Jotaro this before, but Jotaro's Star Platinum is a menace to me.\It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke! response:	Come on! If you're that far away, your punches will be too weak.
context: It's the fact that Jotaro is too attentive\and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak. response:	Are you mocking me?
context: and the fact that Star Platinum has the power to stop time.\So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak.\Are you mocking me? response:	Of course not.
context: So I just wanted to see just how much stronger my Stand has gotten over time.\Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak.\Are you mocking me?\Of course not. response:	I've just seen through your abilities.
context: Before I fight Jotaro,\I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak.\Are you mocking me?\Of course not.\I've just seen through your abilities. response:	Come closer and give me a super sharp one.
context: I thought I'd test myself against you, Josuke Higashikata.\Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak.\Are you mocking me?\Of course not.\I've just seen through your abilities.\Come closer and give me a super sharp one. response:	Here. Hit me right here. Come on. Come closer!
context: Come a bit closer.\Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak.\Are you mocking me?\Of course not.\I've just seen through your abilities.\Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer! response:	Crack!
context: Closer! Until you can attack as quickly and precisely as Star Platinum, Josuke!\Come on! If you're that far away, your punches will be too weak.\Are you mocking me?\Of course not.\I've just seen through your abilities.\Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer!\Crack! response:	Huh? H-He's fast...
context: Come on! If you're that far away, your punches will be too weak.\Are you mocking me?\Of course not.\I've just seen through your abilities.\Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer!\Crack!\Huh? H-He's fast... response:	Quit your daydreaming!
context: Are you mocking me?\Of course not.\I've just seen through your abilities.\Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer!\Crack!\Huh? H-He's fast...\Quit your daydreaming! response:	Much faster than I thought!
context: Of course not.\I've just seen through your abilities.\Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer!\Crack!\Huh? H-He's fast...\Quit your daydreaming!\Much faster than I thought! response:	If you want to keep daydreaming,
context: I've just seen through your abilities.\Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer!\Crack!\Huh? H-He's fast...\Quit your daydreaming!\Much faster than I thought!\If you want to keep daydreaming, response:	maybe I'll just help you sleep!
context: Come closer and give me a super sharp one.\Here. Hit me right here. Come on. Come closer!\Crack!\Huh? H-He's fast...\Quit your daydreaming!\Much faster than I thought!\If you want to keep daydreaming,\maybe I'll just help you sleep! response:	Listen up! Jotaro's Star Platinum is nothing like this!
context: Here. Hit me right here. Come on. Come closer!\Crack!\Huh? H-He's fast...\Quit your daydreaming!\Much faster than I thought!\If you want to keep daydreaming,\maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this! response:	I regret my actions.
context: Crack!\Huh? H-He's fast...\Quit your daydreaming!\Much faster than I thought!\If you want to keep daydreaming,\maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions. response:	I got a little cocky and underestimated him.
context: Huh? H-He's fast...\Quit your daydreaming!\Much faster than I thought!\If you want to keep daydreaming,\maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions.\I got a little cocky and underestimated him. response:	What?!
context: Quit your daydreaming!\Much faster than I thought!\If you want to keep daydreaming,\maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions.\I got a little cocky and underestimated him.\What?! response:	Josuke! What the hell is all that noise?
context: Much faster than I thought!\If you want to keep daydreaming,\maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions.\I got a little cocky and underestimated him.\What?!\Josuke! What the hell is all that noise? response:	What was that Stand power? It felt like a jet engine going off...
context: If you want to keep daydreaming,\maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions.\I got a little cocky and underestimated him.\What?!\Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off... response:	He might just be stronger than Jotaro...
context: maybe I'll just help you sleep!\Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions.\I got a little cocky and underestimated him.\What?!\Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro... response:	You, too, Josuke.
context: Listen up! Jotaro's Star Platinum is nothing like this!\I regret my actions.\I got a little cocky and underestimated him.\What?!\Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro...\You, too, Josuke. response:	Your Shining Diamond surprised me.
context: I regret my actions.\I got a little cocky and underestimated him.\What?!\Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro...\You, too, Josuke.\Your Shining Diamond surprised me. response:	Looks like I'm not the only one that's grown.
context: I got a little cocky and underestimated him.\What?!\Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro...\You, too, Josuke.\Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown. response:	I'll wait a little longer.
context: What?!\Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro...\You, too, Josuke.\Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown.\I'll wait a little longer. response:	Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.
context: Josuke! What the hell is all that noise?\What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro...\You, too, Josuke.\Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown.\I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro. response:	He can show up anywhere there's electricity.
context: What was that Stand power? It felt like a jet engine going off...\He might just be stronger than Jotaro...\You, too, Josuke.\Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown.\I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity. response:	Not only does he have tremendous power, but he can control his Stand remotely.
context: He might just be stronger than Jotaro...\You, too, Josuke.\Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown.\I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely. response:	Josuke, I just asked you what all that noise was!
context: You, too, Josuke.\Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown.\I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was! response:	It's nothing.
context: Your Shining Diamond surprised me.\Looks like I'm not the only one that's grown.\I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was!\It's nothing. response:	Man, a bug totally just bit me.
context: Looks like I'm not the only one that's grown.\I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was!\It's nothing.\Man, a bug totally just bit me. response:	Damn it! Bugs only come to me.
context: I'll wait a little longer.\Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was!\It's nothing.\Man, a bug totally just bit me.\Damn it! Bugs only come to me. response:	Ah, Josuke!
context: Until my Chili Pepper grows stronger, I won't be able to defeat Jotaro.\He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was!\It's nothing.\Man, a bug totally just bit me.\Damn it! Bugs only come to me.\Ah, Josuke! response:	Sorry to keep you guys waiting.
context: He can show up anywhere there's electricity.\Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was!\It's nothing.\Man, a bug totally just bit me.\Damn it! Bugs only come to me.\Ah, Josuke!\Sorry to keep you guys waiting. response:	What did you want to talk about, Josuke?
context: Not only does he have tremendous power, but he can control his Stand remotely.\Josuke, I just asked you what all that noise was!\It's nothing.\Man, a bug totally just bit me.\Damn it! Bugs only come to me.\Ah, Josuke!\Sorry to keep you guys waiting.\What did you want to talk about, Josuke? response:	Why call us out to a lonely-looking place like this?
context: Josuke, I just asked you what all that noise was!\It's nothing.\Man, a bug totally just bit me.\Damn it! Bugs only come to me.\Ah, Josuke!\Sorry to keep you guys waiting.\What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this? response:	Couldn't we go to Tonio's or the usual cafe?
context: It's nothing.\Man, a bug totally just bit me.\Damn it! Bugs only come to me.\Ah, Josuke!\Sorry to keep you guys waiting.\What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe? response:	I'm not the one who called you guys out here. It was Jotaro.
context: Man, a bug totally just bit me.\Damn it! Bugs only come to me.\Ah, Josuke!\Sorry to keep you guys waiting.\What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro. response:	Jotaro did? I wonder what he wants.
context: Damn it! Bugs only come to me.\Ah, Josuke!\Sorry to keep you guys waiting.\What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants. response:	It's probably about Chili Pepper.
context: Ah, Josuke!\Sorry to keep you guys waiting.\What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants.\It's probably about Chili Pepper. response:	What?! Chili Pepper?
context: Sorry to keep you guys waiting.\What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants.\It's probably about Chili Pepper.\What?! Chili Pepper? response:	You mean the Stand, Chili Pepper?!
context: What did you want to talk about, Josuke?\Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants.\It's probably about Chili Pepper.\What?! Chili Pepper?\You mean the Stand, Chili Pepper?! response:	So he appeared?
context: Why call us out to a lonely-looking place like this?\Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants.\It's probably about Chili Pepper.\What?! Chili Pepper?\You mean the Stand, Chili Pepper?!\So he appeared? response:	Yeah, he did. At my place last night.
context: Couldn't we go to Tonio's or the usual cafe?\I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants.\It's probably about Chili Pepper.\What?! Chili Pepper?\You mean the Stand, Chili Pepper?!\So he appeared?\Yeah, he did. At my place last night. response:	You bastard! Why didn't you let me know right away?!
context: I'm not the one who called you guys out here. It was Jotaro.\Jotaro did? I wonder what he wants.\It's probably about Chili Pepper.\What?! Chili Pepper?\You mean the Stand, Chili Pepper?!\So he appeared?\Yeah, he did. At my place last night.\You bastard! Why didn't you let me know right away?! response:	Okuyasu... He acts completely different when it comes to Chili Pepper.
