context: Why? response:	Why couldn't you find it anywhere in Izumo?
context: There are a whole bunch of other colors, too.\Whatever.\Don't you know what day it is?\As a festival priestess,\I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit.\Fine, then that one.\This one? I thought it'd be nice, too. response:	Saizo!
context: Whatever.\Don't you know what day it is?\As a festival priestess,\I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit.\Fine, then that one.\This one? I thought it'd be nice, too.\Saizo! response:	Dark and Light
context: Don't you know what day it is?\As a festival priestess,\I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit.\Fine, then that one.\This one? I thought it'd be nice, too.\Saizo!\Dark and Light response:	I don't care about her dance or festival.
context: As a festival priestess,\I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit.\Fine, then that one.\This one? I thought it'd be nice, too.\Saizo!\Dark and Light\I don't care about her dance or festival. response:	I don't have time for this crap.
context: I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit.\Fine, then that one.\This one? I thought it'd be nice, too.\Saizo!\Dark and Light\I don't care about her dance or festival.\I don't have time for this crap. response:	A woman?
context: I'm just asking you to help me choose my outfit.\Fine, then that one.\This one? I thought it'd be nice, too.\Saizo!\Dark and Light\I don't care about her dance or festival.\I don't have time for this crap.\A woman? response:	With blonde hair?
context: Fine, then that one.\This one? I thought it'd be nice, too.\Saizo!\Dark and Light\I don't care about her dance or festival.\I don't have time for this crap.\A woman?\With blonde hair? response:	It can't be...
context: This one? I thought it'd be nice, too.\Saizo!\Dark and Light\I don't care about her dance or festival.\I don't have time for this crap.\A woman?\With blonde hair?\It can't be... response:	Iga Ice Technique!
context: Saizo!\Dark and Light\I don't care about her dance or festival.\I don't have time for this crap.\A woman?\With blonde hair?\It can't be...\Iga Ice Technique! response:	Sohyoga!
context: Dark and Light\I don't care about her dance or festival.\I don't have time for this crap.\A woman?\With blonde hair?\It can't be...\Iga Ice Technique!\Sohyoga! response:	Whoa, wai
context: I don't care about her dance or festival.\I don't have time for this crap.\A woman?\With blonde hair?\It can't be...\Iga Ice Technique!\Sohyoga!\Whoa, wai response:	Ana!
context: I don't have time for this crap.\A woman?\With blonde hair?\It can't be...\Iga Ice Technique!\Sohyoga!\Whoa, wai\Ana! response:	Is that you, Saizo?
context: A woman?\With blonde hair?\It can't be...\Iga Ice Technique!\Sohyoga!\Whoa, wai\Ana!\Is that you, Saizo? response:	Yeah, nice to
context: With blonde hair?\It can't be...\Iga Ice Technique!\Sohyoga!\Whoa, wai\Ana!\Is that you, Saizo?\Yeah, nice to response:	Kak dela?
context: It can't be...\Iga Ice Technique!\Sohyoga!\Whoa, wai\Ana!\Is that you, Saizo?\Yeah, nice to\Kak dela? response:	You've grown so much, I hardly recognized you.
context: Iga Ice Technique!\Sohyoga!\Whoa, wai\Ana!\Is that you, Saizo?\Yeah, nice to\Kak dela?\You've grown so much, I hardly recognized you. response:	Don't hug me!
context: Sohyoga!\Whoa, wai\Ana!\Is that you, Saizo?\Yeah, nice to\Kak dela?\You've grown so much, I hardly recognized you.\Don't hug me! response:	What are you talking about? We're childhood friends.
context: Whoa, wai\Ana!\Is that you, Saizo?\Yeah, nice to\Kak dela?\You've grown so much, I hardly recognized you.\Don't hug me!\What are you talking about? We're childhood friends. response:	I heard you got yourself a master.
context: Ana!\Is that you, Saizo?\Yeah, nice to\Kak dela?\You've grown so much, I hardly recognized you.\Don't hug me!\What are you talking about? We're childhood friends.\I heard you got yourself a master. response:	Yukimura? Are you serious?
context: Is that you, Saizo?\Yeah, nice to\Kak dela?\You've grown so much, I hardly recognized you.\Don't hug me!\What are you talking about? We're childhood friends.\I heard you got yourself a master.\Yukimura? Are you serious? response:	Why?
context: Yeah, nice to\Kak dela?\You've grown so much, I hardly recognized you.\Don't hug me!\What are you talking about? We're childhood friends.\I heard you got yourself a master.\Yukimura? Are you serious?\Why? response:	What do you mean, why?
context: Kak dela?\You've grown so much, I hardly recognized you.\Don't hug me!\What are you talking about? We're childhood friends.\I heard you got yourself a master.\Yukimura? Are you serious?\Why?\What do you mean, why? response:	What's a talented girl like you doing working for a crazy guy like him?
context: You've grown so much, I hardly recognized you.\Don't hug me!\What are you talking about? We're childhood friends.\I heard you got yourself a master.\Yukimura? Are you serious?\Why?\What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him? response:	I went out for wool and came home shorn, I guess.
context: Don't hug me!\What are you talking about? We're childhood friends.\I heard you got yourself a master.\Yukimura? Are you serious?\Why?\What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess. response:	I tried to kill him in his sleep, but screwed up the job.
context: What are you talking about? We're childhood friends.\I heard you got yourself a master.\Yukimura? Are you serious?\Why?\What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job. response:	But he said he'd hire me, so I defected.
context: I heard you got yourself a master.\Yukimura? Are you serious?\Why?\What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected. response:	What?
context: Yukimura? Are you serious?\Why?\What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected.\What? response:	You'll understand someday.
context: Why?\What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected.\What?\You'll understand someday. response:	Who's the girl?
context: What do you mean, why?\What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected.\What?\You'll understand someday.\Who's the girl? response:	Huh?
context: What's a talented girl like you doing working for a crazy guy like him?\I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected.\What?\You'll understand someday.\Who's the girl?\Huh? response:	Isanami.
context: I went out for wool and came home shorn, I guess.\I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected.\What?\You'll understand someday.\Who's the girl?\Huh?\Isanami. response:	Oh, she's my...
context: I tried to kill him in his sleep, but screwed up the job.\But he said he'd hire me, so I defected.\What?\You'll understand someday.\Who's the girl?\Huh?\Isanami.\Oh, she's my... response:	Saizo, you cheater!
context: But he said he'd hire me, so I defected.\What?\You'll understand someday.\Who's the girl?\Huh?\Isanami.\Oh, she's my...\Saizo, you cheater! response:	That's enough.
context: What?\You'll understand someday.\Who's the girl?\Huh?\Isanami.\Oh, she's my...\Saizo, you cheater!\That's enough. response:	Yukimura-sama!
context: You'll understand someday.\Who's the girl?\Huh?\Isanami.\Oh, she's my...\Saizo, you cheater!\That's enough.\Yukimura-sama! response:	Old man!
context: Who's the girl?\Huh?\Isanami.\Oh, she's my...\Saizo, you cheater!\That's enough.\Yukimura-sama!\Old man! response:	Saizo, you've got to treat women better.
context: Huh?\Isanami.\Oh, she's my...\Saizo, you cheater!\That's enough.\Yukimura-sama!\Old man!\Saizo, you've got to treat women better. response:	Do you need me to show you?
context: Isanami.\Oh, she's my...\Saizo, you cheater!\That's enough.\Yukimura-sama!\Old man!\Saizo, you've got to treat women better.\Do you need me to show you? response:	No.
context: Oh, she's my...\Saizo, you cheater!\That's enough.\Yukimura-sama!\Old man!\Saizo, you've got to treat women better.\Do you need me to show you?\No. response:	Ana, how did things look at the border?
context: Saizo, you cheater!\That's enough.\Yukimura-sama!\Old man!\Saizo, you've got to treat women better.\Do you need me to show you?\No.\Ana, how did things look at the border? response:	There were rumors going around about an uwabami.
context: That's enough.\Yukimura-sama!\Old man!\Saizo, you've got to treat women better.\Do you need me to show you?\No.\Ana, how did things look at the border?\There were rumors going around about an uwabami. response:	Uwabami? Isn't that a snake?
context: Yukimura-sama!\Old man!\Saizo, you've got to treat women better.\Do you need me to show you?\No.\Ana, how did things look at the border?\There were rumors going around about an uwabami.\Uwabami? Isn't that a snake? response:	That's right.
context: Old man!\Saizo, you've got to treat women better.\Do you need me to show you?\No.\Ana, how did things look at the border?\There were rumors going around about an uwabami.\Uwabami? Isn't that a snake?\That's right. response:	It's so big, it can swallow people and beasts whole.
context: Saizo, you've got to treat women better.\Do you need me to show you?\No.\Ana, how did things look at the border?\There were rumors going around about an uwabami.\Uwabami? Isn't that a snake?\That's right.\It's so big, it can swallow people and beasts whole. response:	We can't have that. It'd ruin the festival.
context: Do you need me to show you?\No.\Ana, how did things look at the border?\There were rumors going around about an uwabami.\Uwabami? Isn't that a snake?\That's right.\It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival. response:	Would Sasuke be fine on his own?
context: No.\Ana, how did things look at the border?\There were rumors going around about an uwabami.\Uwabami? Isn't that a snake?\That's right.\It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own? response:	If he's not, he'll let us know.
context: Ana, how did things look at the border?\There were rumors going around about an uwabami.\Uwabami? Isn't that a snake?\That's right.\It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own?\If he's not, he'll let us know. response:	But the festival's more important.
context: There were rumors going around about an uwabami.\Uwabami? Isn't that a snake?\That's right.\It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own?\If he's not, he'll let us know.\But the festival's more important. response:	I'm counting on you, Isanami.
context: Uwabami? Isn't that a snake?\That's right.\It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own?\If he's not, he'll let us know.\But the festival's more important.\I'm counting on you, Isanami. response:	Heave, ho!
context: That's right.\It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own?\If he's not, he'll let us know.\But the festival's more important.\I'm counting on you, Isanami.\Heave, ho! response:	We're grateful for another bountiful harvest.
context: It's so big, it can swallow people and beasts whole.\We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own?\If he's not, he'll let us know.\But the festival's more important.\I'm counting on you, Isanami.\Heave, ho!\We're grateful for another bountiful harvest. response:	Eat and drink your fill today.
context: We can't have that. It'd ruin the festival.\Would Sasuke be fine on his own?\If he's not, he'll let us know.\But the festival's more important.\I'm counting on you, Isanami.\Heave, ho!\We're grateful for another bountiful harvest.\Eat and drink your fill today. response:	Cheers!
context: Would Sasuke be fine on his own?\If he's not, he'll let us know.\But the festival's more important.\I'm counting on you, Isanami.\Heave, ho!\We're grateful for another bountiful harvest.\Eat and drink your fill today.\Cheers! response:	Cheers!
context: If he's not, he'll let us know.\But the festival's more important.\I'm counting on you, Isanami.\Heave, ho!\We're grateful for another bountiful harvest.\Eat and drink your fill today.\Cheers!\Cheers! response:	He's oddly charming, isn't he?
context: But the festival's more important.\I'm counting on you, Isanami.\Heave, ho!\We're grateful for another bountiful harvest.\Eat and drink your fill today.\Cheers!\Cheers!\He's oddly charming, isn't he? response:	You've got strange taste.
context: I'm counting on you, Isanami.\Heave, ho!\We're grateful for another bountiful harvest.\Eat and drink your fill today.\Cheers!\Cheers!\He's oddly charming, isn't he?\You've got strange taste. response:	So, you're jealous.
context: Heave, ho!\We're grateful for another bountiful harvest.\Eat and drink your fill today.\Cheers!\Cheers!\He's oddly charming, isn't he?\You've got strange taste.\So, you're jealous. response:	Huh? Of what?
context: We're grateful for another bountiful harvest.\Eat and drink your fill today.\Cheers!\Cheers!\He's oddly charming, isn't he?\You've got strange taste.\So, you're jealous.\Huh? Of what? response:	Saizo, you're scared, aren't you?
context: Eat and drink your fill today.\Cheers!\Cheers!\He's oddly charming, isn't he?\You've got strange taste.\So, you're jealous.\Huh? Of what?\Saizo, you're scared, aren't you? response:	Of what?
context: Cheers!\Cheers!\He's oddly charming, isn't he?\You've got strange taste.\So, you're jealous.\Huh? Of what?\Saizo, you're scared, aren't you?\Of what? response:	Of fighting for someone.
context: Cheers!\He's oddly charming, isn't he?\You've got strange taste.\So, you're jealous.\Huh? Of what?\Saizo, you're scared, aren't you?\Of what?\Of fighting for someone. response:	Even though everyone yearns to find a master to serve, or something to protect.
context: He's oddly charming, isn't he?\You've got strange taste.\So, you're jealous.\Huh? Of what?\Saizo, you're scared, aren't you?\Of what?\Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect. response:	What?
context: You've got strange taste.\So, you're jealous.\Huh? Of what?\Saizo, you're scared, aren't you?\Of what?\Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect.\What? response:	Bull's-eye.
context: So, you're jealous.\Huh? Of what?\Saizo, you're scared, aren't you?\Of what?\Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect.\What?\Bull's-eye. response:	That's ridiculous.
context: Huh? Of what?\Saizo, you're scared, aren't you?\Of what?\Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect.\What?\Bull's-eye.\That's ridiculous. response:	I'm happiest doing whatever I want.
context: Saizo, you're scared, aren't you?\Of what?\Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect.\What?\Bull's-eye.\That's ridiculous.\I'm happiest doing whatever I want. response:	You're so stubborn.
context: Of what?\Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect.\What?\Bull's-eye.\That's ridiculous.\I'm happiest doing whatever I want.\You're so stubborn. response:	People like you float away if they don't have anything to hold them down.
context: Of fighting for someone.\Even though everyone yearns to find a master to serve, or something to protect.\What?\Bull's-eye.\That's ridiculous.\I'm happiest doing whatever I want.\You're so stubborn.\People like you float away if they don't have anything to hold them down. response:	I've had enough of this.
context: Even though everyone yearns to find a master to serve, or something to protect.\What?\Bull's-eye.\That's ridiculous.\I'm happiest doing whatever I want.\You're so stubborn.\People like you float away if they don't have anything to hold them down.\I've had enough of this. response:	Oh? Running away?
context: What?\Bull's-eye.\That's ridiculous.\I'm happiest doing whatever I want.\You're so stubborn.\People like you float away if they don't have anything to hold them down.\I've had enough of this.\Oh? Running away? response:	I'm not into festivals and dancing.
context: Bull's-eye.\That's ridiculous.\I'm happiest doing whatever I want.\You're so stubborn.\People like you float away if they don't have anything to hold them down.\I've had enough of this.\Oh? Running away?\I'm not into festivals and dancing. response:	I'm gonna go stretch my legs.
context: That's ridiculous.\I'm happiest doing whatever I want.\You're so stubborn.\People like you float away if they don't have anything to hold them down.\I've had enough of this.\Oh? Running away?\I'm not into festivals and dancing.\I'm gonna go stretch my legs. response:	What's with Saizo?
context: I'm happiest doing whatever I want.\You're so stubborn.\People like you float away if they don't have anything to hold them down.\I've had enough of this.\Oh? Running away?\I'm not into festivals and dancing.\I'm gonna go stretch my legs.\What's with Saizo? response:	I can't let it get to me. I'm a priestess.
context: You're so stubborn.\People like you float away if they don't have anything to hold them down.\I've had enough of this.\Oh? Running away?\I'm not into festivals and dancing.\I'm gonna go stretch my legs.\What's with Saizo?\I can't let it get to me. I'm a priestess. response:	She's rather frantic, isn't she?
context: People like you float away if they don't have anything to hold them down.\I've had enough of this.\Oh? Running away?\I'm not into festivals and dancing.\I'm gonna go stretch my legs.\What's with Saizo?\I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she? response:	It's novel, but it's not bad.
context: I've had enough of this.\Oh? Running away?\I'm not into festivals and dancing.\I'm gonna go stretch my legs.\What's with Saizo?\I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she?\It's novel, but it's not bad. response:	Good job, Isanami!
context: Oh? Running away?\I'm not into festivals and dancing.\I'm gonna go stretch my legs.\What's with Saizo?\I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she?\It's novel, but it's not bad.\Good job, Isanami! response:	Saizo?
context: I'm not into festivals and dancing.\I'm gonna go stretch my legs.\What's with Saizo?\I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she?\It's novel, but it's not bad.\Good job, Isanami!\Saizo? response:	Saizo!
context: I'm gonna go stretch my legs.\What's with Saizo?\I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she?\It's novel, but it's not bad.\Good job, Isanami!\Saizo?\Saizo! response:	Where are you going? I'll go with you.
context: What's with Saizo?\I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she?\It's novel, but it's not bad.\Good job, Isanami!\Saizo?\Saizo!\Where are you going? I'll go with you. response:	But you're the festival priestess.
context: I can't let it get to me. I'm a priestess.\She's rather frantic, isn't she?\It's novel, but it's not bad.\Good job, Isanami!\Saizo?\Saizo!\Where are you going? I'll go with you.\But you're the festival priestess. response:	Let go of me.
context: She's rather frantic, isn't she?\It's novel, but it's not bad.\Good job, Isanami!\Saizo?\Saizo!\Where are you going? I'll go with you.\But you're the festival priestess.\Let go of me. response:	No. I'm finished dancing, and I want to always be with you.
context: It's novel, but it's not bad.\Good job, Isanami!\Saizo?\Saizo!\Where are you going? I'll go with you.\But you're the festival priestess.\Let go of me.\No. I'm finished dancing, and I want to always be with you. response:	You'll only be a burden to Saizo if you cling to him like that.
context: Good job, Isanami!\Saizo?\Saizo!\Where are you going? I'll go with you.\But you're the festival priestess.\Let go of me.\No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that. response:	I'm gonna go kill that uwabami.
context: Saizo?\Saizo!\Where are you going? I'll go with you.\But you're the festival priestess.\Let go of me.\No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami. response:	You stay here.
context: Saizo!\Where are you going? I'll go with you.\But you're the festival priestess.\Let go of me.\No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami.\You stay here. response:	I'll be fine because you'll protect me!
context: Where are you going? I'll go with you.\But you're the festival priestess.\Let go of me.\No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami.\You stay here.\I'll be fine because you'll protect me! response:	Fine, do what you want.
context: But you're the festival priestess.\Let go of me.\No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami.\You stay here.\I'll be fine because you'll protect me!\Fine, do what you want. response:	Enjoy yourselves.
context: Let go of me.\No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami.\You stay here.\I'll be fine because you'll protect me!\Fine, do what you want.\Enjoy yourselves. response:	Ana!
context: No. I'm finished dancing, and I want to always be with you.\You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami.\You stay here.\I'll be fine because you'll protect me!\Fine, do what you want.\Enjoy yourselves.\Ana! response:	Wait!
context: You'll only be a burden to Saizo if you cling to him like that.\I'm gonna go kill that uwabami.\You stay here.\I'll be fine because you'll protect me!\Fine, do what you want.\Enjoy yourselves.\Ana!\Wait! response:	Enough, you...
context: I'm gonna go kill that uwabami.\You stay here.\I'll be fine because you'll protect me!\Fine, do what you want.\Enjoy yourselves.\Ana!\Wait!\Enough, you... response:	Over there.
context: You stay here.\I'll be fine because you'll protect me!\Fine, do what you want.\Enjoy yourselves.\Ana!\Wait!\Enough, you...\Over there. response:	There's something scary over there.
context: I'll be fine because you'll protect me!\Fine, do what you want.\Enjoy yourselves.\Ana!\Wait!\Enough, you...\Over there.\There's something scary over there. response:	There's nothing here.
context: Fine, do what you want.\Enjoy yourselves.\Ana!\Wait!\Enough, you...\Over there.\There's something scary over there.\There's nothing here. response:	That's what doesn't make sense.
context: Enjoy yourselves.\Ana!\Wait!\Enough, you...\Over there.\There's something scary over there.\There's nothing here.\That's what doesn't make sense. response:	I haven't heard a single bird chirp all day.
context: Ana!\Wait!\Enough, you...\Over there.\There's something scary over there.\There's nothing here.\That's what doesn't make sense.\I haven't heard a single bird chirp all day. response:	It is pretty dark in here.
context: Wait!\Enough, you...\Over there.\There's something scary over there.\There's nothing here.\That's what doesn't make sense.\I haven't heard a single bird chirp all day.\It is pretty dark in here. response:	What's wrong?
context: Enough, you...\Over there.\There's something scary over there.\There's nothing here.\That's what doesn't make sense.\I haven't heard a single bird chirp all day.\It is pretty dark in here.\What's wrong? response:	I couldn't sense its presence at all!
context: Over there.\There's something scary over there.\There's nothing here.\That's what doesn't make sense.\I haven't heard a single bird chirp all day.\It is pretty dark in here.\What's wrong?\I couldn't sense its presence at all! response:	Because it's a snake!
context: There's something scary over there.\There's nothing here.\That's what doesn't make sense.\I haven't heard a single bird chirp all day.\It is pretty dark in here.\What's wrong?\I couldn't sense its presence at all!\Because it's a snake! response:	I hate snakes.
context: There's nothing here.\That's what doesn't make sense.\I haven't heard a single bird chirp all day.\It is pretty dark in here.\What's wrong?\I couldn't sense its presence at all!\Because it's a snake!\I hate snakes. response:	Hey!
context: That's what doesn't make sense.\I haven't heard a single bird chirp all day.\It is pretty dark in here.\What's wrong?\I couldn't sense its presence at all!\Because it's a snake!\I hate snakes.\Hey! response:	You really are a burden.
context: I haven't heard a single bird chirp all day.\It is pretty dark in here.\What's wrong?\I couldn't sense its presence at all!\Because it's a snake!\I hate snakes.\Hey!\You really are a burden. response:	Saizo?
context: It is pretty dark in here.\What's wrong?\I couldn't sense its presence at all!\Because it's a snake!\I hate snakes.\Hey!\You really are a burden.\Saizo? response:	Run, Isanami.
context: What's wrong?\I couldn't sense its presence at all!\Because it's a snake!\I hate snakes.\Hey!\You really are a burden.\Saizo?\Run, Isanami. response:	I'll save you.
context: I couldn't sense its presence at all!\Because it's a snake!\I hate snakes.\Hey!\You really are a burden.\Saizo?\Run, Isanami.\I'll save you. response:	Are you stupid? I can't protect you now.
context: Because it's a snake!\I hate snakes.\Hey!\You really are a burden.\Saizo?\Run, Isanami.\I'll save you.\Are you stupid? I can't protect you now. response:	Just go.
context: I hate snakes.\Hey!\You really are a burden.\Saizo?\Run, Isanami.\I'll save you.\Are you stupid? I can't protect you now.\Just go. response:	You'll be okay.
context: Hey!\You really are a burden.\Saizo?\Run, Isanami.\I'll save you.\Are you stupid? I can't protect you now.\Just go.\You'll be okay. response:	You're strong.
context: You really are a burden.\Saizo?\Run, Isanami.\I'll save you.\Are you stupid? I can't protect you now.\Just go.\You'll be okay.\You're strong. response:	Get back.
context: Saizo?\Run, Isanami.\I'll save you.\Are you stupid? I can't protect you now.\Just go.\You'll be okay.\You're strong.\Get back. response:	Saizo.
context: Run, Isanami.\I'll save you.\Are you stupid? I can't protect you now.\Just go.\You'll be okay.\You're strong.\Get back.\Saizo. response:	That took all my gunpowder.
context: I'll save you.\Are you stupid? I can't protect you now.\Just go.\You'll be okay.\You're strong.\Get back.\Saizo.\That took all my gunpowder. response:	A puppet technique?
context: Are you stupid? I can't protect you now.\Just go.\You'll be okay.\You're strong.\Get back.\Saizo.\That took all my gunpowder.\A puppet technique? response:	It's being controlled.
context: Just go.\You'll be okay.\You're strong.\Get back.\Saizo.\That took all my gunpowder.\A puppet technique?\It's being controlled. response:	Don't move, Isanami.
context: You'll be okay.\You're strong.\Get back.\Saizo.\That took all my gunpowder.\A puppet technique?\It's being controlled.\Don't move, Isanami. response:	Saizo, you're bleeding.
context: You're strong.\Get back.\Saizo.\That took all my gunpowder.\A puppet technique?\It's being controlled.\Don't move, Isanami.\Saizo, you're bleeding. response:	I'm fine.
context: Get back.\Saizo.\That took all my gunpowder.\A puppet technique?\It's being controlled.\Don't move, Isanami.\Saizo, you're bleeding.\I'm fine. response:	Saizo!
context: Saizo.\That took all my gunpowder.\A puppet technique?\It's being controlled.\Don't move, Isanami.\Saizo, you're bleeding.\I'm fine.\Saizo! response:	That uwabami was set to explode when it died.
context: That took all my gunpowder.\A puppet technique?\It's being controlled.\Don't move, Isanami.\Saizo, you're bleeding.\I'm fine.\Saizo!\That uwabami was set to explode when it died. response:	Whoever was controlling it must be a hell of a puppeteer.
context: A puppet technique?\It's being controlled.\Don't move, Isanami.\Saizo, you're bleeding.\I'm fine.\Saizo!\That uwabami was set to explode when it died.\Whoever was controlling it must be a hell of a puppeteer. response:	Saizo?
