context: Edolas's King Faust ordered the merciless annihilation of all in his way. response:	Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.
context: Collect more magic power!\Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power...\And that is precisely why you must be ours!\Salamander, use your breath.\You too, brat!\All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen. response:	But we got no choice!
context: Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power...\And that is precisely why you must be ours!\Salamander, use your breath.\You too, brat!\All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice! response:	Understood!
context: I can feel it... This world is running out of magic power...\And that is precisely why you must be ours!\Salamander, use your breath.\You too, brat!\All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice!\Understood! response:	All right!
context: And that is precisely why you must be ours!\Salamander, use your breath.\You too, brat!\All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice!\Understood!\All right! response:	Roar of the...
context: Salamander, use your breath.\You too, brat!\All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice!\Understood!\All right!\Roar of the... response:	Roar of the...
context: You too, brat!\All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice!\Understood!\All right!\Roar of the...\Roar of the... response:	Roar of the...
context: All three at the same time?\I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice!\Understood!\All right!\Roar of the...\Roar of the...\Roar of the... response:	Their magic power is rising again?
context: I didn't want to suggest it'cause I'm not sure what'll happen.\But we got no choice!\Understood!\All right!\Roar of the...\Roar of the...\Roar of the...\Their magic power is rising again? response:	Fire Dragon!
context: But we got no choice!\Understood!\All right!\Roar of the...\Roar of the...\Roar of the...\Their magic power is rising again?\Fire Dragon! response:	Iron Dragon!
context: Understood!\All right!\Roar of the...\Roar of the...\Roar of the...\Their magic power is rising again?\Fire Dragon!\Iron Dragon! response:	Sky Dragon!
context: All right!\Roar of the...\Roar of the...\Roar of the...\Their magic power is rising again?\Fire Dragon!\Iron Dragon!\Sky Dragon! response:	Did that do it?
context: Roar of the...\Roar of the...\Roar of the...\Their magic power is rising again?\Fire Dragon!\Iron Dragon!\Sky Dragon!\Did that do it? response:	Above!
context: Roar of the...\Roar of the...\Their magic power is rising again?\Fire Dragon!\Iron Dragon!\Sky Dragon!\Did that do it?\Above! response:	It could jump that high?
context: Roar of the...\Their magic power is rising again?\Fire Dragon!\Iron Dragon!\Sky Dragon!\Did that do it?\Above!\It could jump that high? response:	Oh, no! Our triple roar didn't hit!
context: Their magic power is rising again?\Fire Dragon!\Iron Dragon!\Sky Dragon!\Did that do it?\Above!\It could jump that high?\Oh, no! Our triple roar didn't hit! response:	We'll do it again!
context: Fire Dragon!\Iron Dragon!\Sky Dragon!\Did that do it?\Above!\It could jump that high?\Oh, no! Our triple roar didn't hit!\We'll do it again! response:	You won't get a chance!
context: Iron Dragon!\Sky Dragon!\Did that do it?\Above!\It could jump that high?\Oh, no! Our triple roar didn't hit!\We'll do it again!\You won't get a chance! response:	Dragon Knight Spread Cannon!
context: Sky Dragon!\Did that do it?\Above!\It could jump that high?\Oh, no! Our triple roar didn't hit!\We'll do it again!\You won't get a chance!\Dragon Knight Spread Cannon! response:	For the world... For our Edolas...
context: Did that do it?\Above!\It could jump that high?\Oh, no! Our triple roar didn't hit!\We'll do it again!\You won't get a chance!\Dragon Knight Spread Cannon!\For the world... For our Edolas... response:	That's the difference between you and I.
context: Above!\It could jump that high?\Oh, no! Our triple roar didn't hit!\We'll do it again!\You won't get a chance!\Dragon Knight Spread Cannon!\For the world... For our Edolas...\That's the difference between you and I. response:	You said that you didn't know anything about this world, didn't you?
context: It could jump that high?\Oh, no! Our triple roar didn't hit!\We'll do it again!\You won't get a chance!\Dragon Knight Spread Cannon!\For the world... For our Edolas...\That's the difference between you and I.\You said that you didn't know anything about this world, didn't you? response:	What the living creatures of this world require aren't guilds... It's eternal magic power!
context: Oh, no! Our triple roar didn't hit!\We'll do it again!\You won't get a chance!\Dragon Knight Spread Cannon!\For the world... For our Edolas...\That's the difference between you and I.\You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power! response:	It's required by the citizens.
context: We'll do it again!\You won't get a chance!\Dragon Knight Spread Cannon!\For the world... For our Edolas...\That's the difference between you and I.\You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens. response:	You don't have any of the burden of responsibility!
context: You won't get a chance!\Dragon Knight Spread Cannon!\For the world... For our Edolas...\That's the difference between you and I.\You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens.\You don't have any of the burden of responsibility! response:	This is bad... My magic power is... almost...
context: Dragon Knight Spread Cannon!\For the world... For our Edolas...\That's the difference between you and I.\You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens.\You don't have any of the burden of responsibility!\This is bad... My magic power is... almost... response:	Looks like you're running on empty.
context: For the world... For our Edolas...\That's the difference between you and I.\You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens.\You don't have any of the burden of responsibility!\This is bad... My magic power is... almost...\Looks like you're running on empty. response:	No matter how infinite it may be, it takes time to regenerate once used up, yes?
context: That's the difference between you and I.\You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens.\You don't have any of the burden of responsibility!\This is bad... My magic power is... almost...\Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes? response:	Now don't struggle, and become the magic power of our world!
context: You said that you didn't know anything about this world, didn't you?\What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens.\You don't have any of the burden of responsibility!\This is bad... My magic power is... almost...\Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world! response:	How well you are treated will depend on your attitude.
context: What the living creatures of this world require aren't guilds... It's eternal magic power!\It's required by the citizens.\You don't have any of the burden of responsibility!\This is bad... My magic power is... almost...\Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude. response:	It's no use... I can't stand up...
context: It's required by the citizens.\You don't have any of the burden of responsibility!\This is bad... My magic power is... almost...\Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude.\It's no use... I can't stand up... response:	Is this the end?
context: You don't have any of the burden of responsibility!\This is bad... My magic power is... almost...\Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude.\It's no use... I can't stand up...\Is this the end? response:	Don't give up!
context: This is bad... My magic power is... almost...\Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude.\It's no use... I can't stand up...\Is this the end?\Don't give up! response:	It ain't over yet!
context: Looks like you're running on empty.\No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude.\It's no use... I can't stand up...\Is this the end?\Don't give up!\It ain't over yet! response:	Bring it on, you bastard!
context: No matter how infinite it may be, it takes time to regenerate once used up, yes?\Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude.\It's no use... I can't stand up...\Is this the end?\Don't give up!\It ain't over yet!\Bring it on, you bastard! response:	I'm standin' right here!
context: Now don't struggle, and become the magic power of our world!\How well you are treated will depend on your attitude.\It's no use... I can't stand up...\Is this the end?\Don't give up!\It ain't over yet!\Bring it on, you bastard!\I'm standin' right here! response:	You are one obstinate brat!
context: How well you are treated will depend on your attitude.\It's no use... I can't stand up...\Is this the end?\Don't give up!\It ain't over yet!\Bring it on, you bastard!\I'm standin' right here!\You are one obstinate brat! response:	Natsu-san...
context: It's no use... I can't stand up...\Is this the end?\Don't give up!\It ain't over yet!\Bring it on, you bastard!\I'm standin' right here!\You are one obstinate brat!\Natsu-san... response:	Fool... What can you do without any magic power?
context: Is this the end?\Don't give up!\It ain't over yet!\Bring it on, you bastard!\I'm standin' right here!\You are one obstinate brat!\Natsu-san...\Fool... What can you do without any magic power? response:	I squeeze it out!
context: Don't give up!\It ain't over yet!\Bring it on, you bastard!\I'm standin' right here!\You are one obstinate brat!\Natsu-san...\Fool... What can you do without any magic power?\I squeeze it out! response:	Natsu-san!
context: It ain't over yet!\Bring it on, you bastard!\I'm standin' right here!\You are one obstinate brat!\Natsu-san...\Fool... What can you do without any magic power?\I squeeze it out!\Natsu-san! response:	I squeeze it out from tomorrow's!
context: Bring it on, you bastard!\I'm standin' right here!\You are one obstinate brat!\Natsu-san...\Fool... What can you do without any magic power?\I squeeze it out!\Natsu-san!\I squeeze it out from tomorrow's! response:	Don't underestimate a Dragon Slayer!
context: I'm standin' right here!\You are one obstinate brat!\Natsu-san...\Fool... What can you do without any magic power?\I squeeze it out!\Natsu-san!\I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer! response:	From... tomorrow's?
context: You are one obstinate brat!\Natsu-san...\Fool... What can you do without any magic power?\I squeeze it out!\Natsu-san!\I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer!\From... tomorrow's? response:	Then I'll beat it into you!
context: Natsu-san...\Fool... What can you do without any magic power?\I squeeze it out!\Natsu-san!\I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer!\From... tomorrow's?\Then I'll beat it into you! response:	You'll learn just who I am!
context: Fool... What can you do without any magic power?\I squeeze it out!\Natsu-san!\I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer!\From... tomorrow's?\Then I'll beat it into you!\You'll learn just who I am! response:	What?
context: I squeeze it out!\Natsu-san!\I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer!\From... tomorrow's?\Then I'll beat it into you!\You'll learn just who I am!\What? response:	We don't need to combine our powers!
context: Natsu-san!\I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer!\From... tomorrow's?\Then I'll beat it into you!\You'll learn just who I am!\What?\We don't need to combine our powers! response:	All we need is our power, our wishes, to be as one!
context: I squeeze it out from tomorrow's!\Don't underestimate a Dragon Slayer!\From... tomorrow's?\Then I'll beat it into you!\You'll learn just who I am!\What?\We don't need to combine our powers!\All we need is our power, our wishes, to be as one! response:	My foot...
context: Don't underestimate a Dragon Slayer!\From... tomorrow's?\Then I'll beat it into you!\You'll learn just who I am!\What?\We don't need to combine our powers!\All we need is our power, our wishes, to be as one!\My foot... response:	Locked down! Now you can't escape into the air!
context: From... tomorrow's?\Then I'll beat it into you!\You'll learn just who I am!\What?\We don't need to combine our powers!\All we need is our power, our wishes, to be as one!\My foot...\Locked down! Now you can't escape into the air! response:	Damn you!
context: Then I'll beat it into you!\You'll learn just who I am!\What?\We don't need to combine our powers!\All we need is our power, our wishes, to be as one!\My foot...\Locked down! Now you can't escape into the air!\Damn you! response:	Go, Salamander!
context: You'll learn just who I am!\What?\We don't need to combine our powers!\All we need is our power, our wishes, to be as one!\My foot...\Locked down! Now you can't escape into the air!\Damn you!\Go, Salamander! response:	It's got to be you!
context: What?\We don't need to combine our powers!\All we need is our power, our wishes, to be as one!\My foot...\Locked down! Now you can't escape into the air!\Damn you!\Go, Salamander!\It's got to be you! response:	You do it!
context: We don't need to combine our powers!\All we need is our power, our wishes, to be as one!\My foot...\Locked down! Now you can't escape into the air!\Damn you!\Go, Salamander!\It's got to be you!\You do it! response:	Wendy!
context: All we need is our power, our wishes, to be as one!\My foot...\Locked down! Now you can't escape into the air!\Damn you!\Go, Salamander!\It's got to be you!\You do it!\Wendy! response:	Roar towards me!
context: My foot...\Locked down! Now you can't escape into the air!\Damn you!\Go, Salamander!\It's got to be you!\You do it!\Wendy!\Roar towards me! response:	Stand up!!
context: Locked down! Now you can't escape into the air!\Damn you!\Go, Salamander!\It's got to be you!\You do it!\Wendy!\Roar towards me!\Stand up!! response:	Right!
context: Damn you!\Go, Salamander!\It's got to be you!\You do it!\Wendy!\Roar towards me!\Stand up!!\Right! response:	I believe in you, Natsu-san!
context: Go, Salamander!\It's got to be you!\You do it!\Wendy!\Roar towards me!\Stand up!!\Right!\I believe in you, Natsu-san! response:	You stubborn little... Get off!
context: It's got to be you!\You do it!\Wendy!\Roar towards me!\Stand up!!\Right!\I believe in you, Natsu-san!\You stubborn little... Get off! response:	Never, you pile of scrap!
context: You do it!\Wendy!\Roar towards me!\Stand up!!\Right!\I believe in you, Natsu-san!\You stubborn little... Get off!\Never, you pile of scrap! response:	Roar of the... Sky Dragon!!
context: Wendy!\Roar towards me!\Stand up!!\Right!\I believe in you, Natsu-san!\You stubborn little... Get off!\Never, you pile of scrap!\Roar of the... Sky Dragon!! response:	Do it... Use the special vortex of her breath, and...
context: Roar towards me!\Stand up!!\Right!\I believe in you, Natsu-san!\You stubborn little... Get off!\Never, you pile of scrap!\Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and... response:	Is this... a fantasy?
context: Stand up!!\Right!\I believe in you, Natsu-san!\You stubborn little... Get off!\Never, you pile of scrap!\Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and...\Is this... a fantasy? response:	Sword Edge of the Fire Dragon!
context: Right!\I believe in you, Natsu-san!\You stubborn little... Get off!\Never, you pile of scrap!\Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and...\Is this... a fantasy?\Sword Edge of the Fire Dragon! response:	Is... Is this what I desired?
context: I believe in you, Natsu-san!\You stubborn little... Get off!\Never, you pile of scrap!\Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and...\Is this... a fantasy?\Sword Edge of the Fire Dragon!\Is... Is this what I desired? response:	S-Save me...
context: You stubborn little... Get off!\Never, you pile of scrap!\Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and...\Is this... a fantasy?\Sword Edge of the Fire Dragon!\Is... Is this what I desired?\S-Save me... response:	We defeated the King!
context: Never, you pile of scrap!\Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and...\Is this... a fantasy?\Sword Edge of the Fire Dragon!\Is... Is this what I desired?\S-Save me...\We defeated the King! response:	What do you call that again? Checkmate?
context: Roar of the... Sky Dragon!!\Do it... Use the special vortex of her breath, and...\Is this... a fantasy?\Sword Edge of the Fire Dragon!\Is... Is this what I desired?\S-Save me...\We defeated the King!\What do you call that again? Checkmate? response:	You're supposed to say that before you capture the king!
context: Do it... Use the special vortex of her breath, and...\Is this... a fantasy?\Sword Edge of the Fire Dragon!\Is... Is this what I desired?\S-Save me...\We defeated the King!\What do you call that again? Checkmate?\You're supposed to say that before you capture the king! response:	Idiot.
context: Is this... a fantasy?\Sword Edge of the Fire Dragon!\Is... Is this what I desired?\S-Save me...\We defeated the King!\What do you call that again? Checkmate?\You're supposed to say that before you capture the king!\Idiot. response:	W-What's that?
context: Sword Edge of the Fire Dragon!\Is... Is this what I desired?\S-Save me...\We defeated the King!\What do you call that again? Checkmate?\You're supposed to say that before you capture the king!\Idiot.\W-What's that? response:	Reinforcements?
context: Is... Is this what I desired?\S-Save me...\We defeated the King!\What do you call that again? Checkmate?\You're supposed to say that before you capture the king!\Idiot.\W-What's that?\Reinforcements? response:	You've gotta be kiddin' me... I'm really out of magic power now.
context: S-Save me...\We defeated the King!\What do you call that again? Checkmate?\You're supposed to say that before you capture the king!\Idiot.\W-What's that?\Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now. response:	No, it's not... It's...
context: We defeated the King!\What do you call that again? Checkmate?\You're supposed to say that before you capture the king!\Idiot.\W-What's that?\Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's... response:	The floating islands are falling.
context: What do you call that again? Checkmate?\You're supposed to say that before you capture the king!\Idiot.\W-What's that?\Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's...\The floating islands are falling. response:	What's this? The islands in the sky are...
context: You're supposed to say that before you capture the king!\Idiot.\W-What's that?\Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's...\The floating islands are falling.\What's this? The islands in the sky are... response:	Whoa, whoa! What's happening?
context: Idiot.\W-What's that?\Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's...\The floating islands are falling.\What's this? The islands in the sky are...\Whoa, whoa! What's happening? response:	We're in big trouble!
context: W-What's that?\Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's...\The floating islands are falling.\What's this? The islands in the sky are...\Whoa, whoa! What's happening?\We're in big trouble! response:	This is bad.
context: Reinforcements?\You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's...\The floating islands are falling.\What's this? The islands in the sky are...\Whoa, whoa! What's happening?\We're in big trouble!\This is bad. response:	The floating islands of Edolas work using the world's magic power.
context: You've gotta be kiddin' me... I'm really out of magic power now.\No, it's not... It's...\The floating islands are falling.\What's this? The islands in the sky are...\Whoa, whoa! What's happening?\We're in big trouble!\This is bad.\The floating islands of Edolas work using the world's magic power. response:	So if they are falling, that means...
context: No, it's not... It's...\The floating islands are falling.\What's this? The islands in the sky are...\Whoa, whoa! What's happening?\We're in big trouble!\This is bad.\The floating islands of Edolas work using the world's magic power.\So if they are falling, that means... response:	The magic is disappearing from this world.
context: The floating islands are falling.\What's this? The islands in the sky are...\Whoa, whoa! What's happening?\We're in big trouble!\This is bad.\The floating islands of Edolas work using the world's magic power.\So if they are falling, that means...\The magic is disappearing from this world. response:	What's happening?
context: What's this? The islands in the sky are...\Whoa, whoa! What's happening?\We're in big trouble!\This is bad.\The floating islands of Edolas work using the world's magic power.\So if they are falling, that means...\The magic is disappearing from this world.\What's happening? response:	I don't know... But, this is...
context: Whoa, whoa! What's happening?\We're in big trouble!\This is bad.\The floating islands of Edolas work using the world's magic power.\So if they are falling, that means...\The magic is disappearing from this world.\What's happening?\I don't know... But, this is... response:	This is... magic power?
context: We're in big trouble!\This is bad.\The floating islands of Edolas work using the world's magic power.\So if they are falling, that means...\The magic is disappearing from this world.\What's happening?\I don't know... But, this is...\This is... magic power? response:	Why is this happening?
context: This is bad.\The floating islands of Edolas work using the world's magic power.\So if they are falling, that means...\The magic is disappearing from this world.\What's happening?\I don't know... But, this is...\This is... magic power?\Why is this happening? response:	The time has finally come...
context: The floating islands of Edolas work using the world's magic power.\So if they are falling, that means...\The magic is disappearing from this world.\What's happening?\I don't know... But, this is...\This is... magic power?\Why is this happening?\The time has finally come... response:	Byro!
context: So if they are falling, that means...\The magic is disappearing from this world.\What's happening?\I don't know... But, this is...\This is... magic power?\Why is this happening?\The time has finally come...\Byro! response:	Oh, it's you two.
context: The magic is disappearing from this world.\What's happening?\I don't know... But, this is...\This is... magic power?\Why is this happening?\The time has finally come...\Byro!\Oh, it's you two. response:	Pretty, don't you think?
context: What's happening?\I don't know... But, this is...\This is... magic power?\Why is this happening?\The time has finally come...\Byro!\Oh, it's you two.\Pretty, don't you think? response:	Pretty? What do you mean, Sugar Boy?
context: I don't know... But, this is...\This is... magic power?\Why is this happening?\The time has finally come...\Byro!\Oh, it's you two.\Pretty, don't you think?\Pretty? What do you mean, Sugar Boy? response:	I mean the magic power...
context: This is... magic power?\Why is this happening?\The time has finally come...\Byro!\Oh, it's you two.\Pretty, don't you think?\Pretty? What do you mean, Sugar Boy?\I mean the magic power... response:	I expected flowing magic power to be more... fearsome.
context: Why is this happening?\The time has finally come...\Byro!\Oh, it's you two.\Pretty, don't you think?\Pretty? What do you mean, Sugar Boy?\I mean the magic power...\I expected flowing magic power to be more... fearsome. response:	Prince...
context: The time has finally come...\Byro!\Oh, it's you two.\Pretty, don't you think?\Pretty? What do you mean, Sugar Boy?\I mean the magic power...\I expected flowing magic power to be more... fearsome.\Prince... response:	This will do.
context: Byro!\Oh, it's you two.\Pretty, don't you think?\Pretty? What do you mean, Sugar Boy?\I mean the magic power...\I expected flowing magic power to be more... fearsome.\Prince...\This will do. response:	As long as there is magic power, people will fight over it.
context: Oh, it's you two.\Pretty, don't you think?\Pretty? What do you mean, Sugar Boy?\I mean the magic power...\I expected flowing magic power to be more... fearsome.\Prince...\This will do.\As long as there is magic power, people will fight over it. response:	Therefore I will rid this world of magic completely.
context: Pretty, don't you think?\Pretty? What do you mean, Sugar Boy?\I mean the magic power...\I expected flowing magic power to be more... fearsome.\Prince...\This will do.\As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely. response:	The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.
context: Pretty? What do you mean, Sugar Boy?\I mean the magic power...\I expected flowing magic power to be more... fearsome.\Prince...\This will do.\As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland. response:	In Earthland, already overflowing with magic,
context: I mean the magic power...\I expected flowing magic power to be more... fearsome.\Prince...\This will do.\As long as there is magic power, people will fight over it.\Therefore I will rid this world of magic completely.\The Anima I have set in reverse will flow all the magic power from Edolas to Earthland.\In Earthland, already overflowing with magic, response:	this magic power will quickly be transformed into a part of nature there.
