context: I hate everything about this. response:	This sunshine, beating down on you from morning onward...
context: I'm not interested in them.\Nishimi-kun...\Not interested in radios, either...\Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous... response:	Nishimi-san...
context: Nishimi-kun...\Not interested in radios, either...\Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san... response:	Nishimi-san?
context: Not interested in radios, either...\Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san...\Nishimi-san? response:	I'm Mukae Ritsuko, the class representative.
context: Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san...\Nishimi-san?\I'm Mukae Ritsuko, the class representative. response:	I was instructed to show you around the school during lunch break.
context: It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san...\Nishimi-san?\I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break. response:	I'm glad to meet you.
context: He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san...\Nishimi-san?\I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break.\I'm glad to meet you. response:	So the gymnasium is back there.
context: His name is Kawabuchi and if he zeros in on you, it's all over.\Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san...\Nishimi-san?\I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break.\I'm glad to meet you.\So the gymnasium is back there. response:	And the infirmary is in this building...
context: Oh, no. Just thinking about it makes me feel nauseous...\Nishimi-san...\Nishimi-san?\I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break.\I'm glad to meet you.\So the gymnasium is back there.\And the infirmary is in this building... response:	A-Are you okay, Nishimi-san?!
context: Nishimi-san...\Nishimi-san?\I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break.\I'm glad to meet you.\So the gymnasium is back there.\And the infirmary is in this building...\A-Are you okay, Nishimi-san?! response:	Whatcha think you're doin'?!
context: Nishimi-san?\I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break.\I'm glad to meet you.\So the gymnasium is back there.\And the infirmary is in this building...\A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?! response:	Whoops! It slipped outta my hands!
context: I'm Mukae Ritsuko, the class representative.\I was instructed to show you around the school during lunch break.\I'm glad to meet you.\So the gymnasium is back there.\And the infirmary is in this building...\A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?!\Whoops! It slipped outta my hands! response:	Sorry'bout that!
context: I was instructed to show you around the school during lunch break.\I'm glad to meet you.\So the gymnasium is back there.\And the infirmary is in this building...\A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?!\Whoops! It slipped outta my hands!\Sorry'bout that! response:	What is it?
context: I'm glad to meet you.\So the gymnasium is back there.\And the infirmary is in this building...\A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?!\Whoops! It slipped outta my hands!\Sorry'bout that!\What is it? response:	Who's that?
context: So the gymnasium is back there.\And the infirmary is in this building...\A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?!\Whoops! It slipped outta my hands!\Sorry'bout that!\What is it?\Who's that? response:	Never saw'im before...
context: And the infirmary is in this building...\A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?!\Whoops! It slipped outta my hands!\Sorry'bout that!\What is it?\Who's that?\Never saw'im before... response:	Um... Mukae-san, where's the roof?
context: A-Are you okay, Nishimi-san?!\Whatcha think you're doin'?!\Whoops! It slipped outta my hands!\Sorry'bout that!\What is it?\Who's that?\Never saw'im before...\Um... Mukae-san, where's the roof? response:	I've moved from school to school ever since first grade...
context: Whatcha think you're doin'?!\Whoops! It slipped outta my hands!\Sorry'bout that!\What is it?\Who's that?\Never saw'im before...\Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade... response:	If something unexpected happened, I would lose my equilibrium,
context: Whoops! It slipped outta my hands!\Sorry'bout that!\What is it?\Who's that?\Never saw'im before...\Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium, response:	and even minor stress would trigger nausea.
context: Sorry'bout that!\What is it?\Who's that?\Never saw'im before...\Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea. response:	But one time, I found a place at school where I could regain my bearings.
context: What is it?\Who's that?\Never saw'im before...\Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings. response:	That's right. If I can just get to the roof...
context: Who's that?\Never saw'im before...\Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof... response:	What's this?
context: Never saw'im before...\Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof...\What's this? response:	You finally...
context: Um... Mukae-san, where's the roof?\I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof...\What's this?\You finally... response:	Who the hell are you?
context: I've moved from school to school ever since first grade...\If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof...\What's this?\You finally...\Who the hell are you? response:	Why you holdin' my hand?
context: If something unexpected happened, I would lose my equilibrium,\and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof...\What's this?\You finally...\Who the hell are you?\Why you holdin' my hand? response:	You're the one that grabbed my hand!
context: and even minor stress would trigger nausea.\But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof...\What's this?\You finally...\Who the hell are you?\Why you holdin' my hand?\You're the one that grabbed my hand! response:	I get it... You're the key burglar, huh?
context: But one time, I found a place at school where I could regain my bearings.\That's right. If I can just get to the roof...\What's this?\You finally...\Who the hell are you?\Why you holdin' my hand?\You're the one that grabbed my hand!\I get it... You're the key burglar, huh? response:	In that case, I ain't gonna hold back.
context: That's right. If I can just get to the roof...\What's this?\You finally...\Who the hell are you?\Why you holdin' my hand?\You're the one that grabbed my hand!\I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back. response:	You Sentaro?
context: What's this?\You finally...\Who the hell are you?\Why you holdin' my hand?\You're the one that grabbed my hand!\I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back.\You Sentaro? response:	This what you're lookin' for?
context: You finally...\Who the hell are you?\Why you holdin' my hand?\You're the one that grabbed my hand!\I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back.\You Sentaro?\This what you're lookin' for? response:	Then you goons are the thieves, huh?
context: Who the hell are you?\Why you holdin' my hand?\You're the one that grabbed my hand!\I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back.\You Sentaro?\This what you're lookin' for?\Then you goons are the thieves, huh? response:	The roof belongs to us senior smokers!
context: Why you holdin' my hand?\You're the one that grabbed my hand!\I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back.\You Sentaro?\This what you're lookin' for?\Then you goons are the thieves, huh?\The roof belongs to us senior smokers! response:	W-Wait!
context: You're the one that grabbed my hand!\I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back.\You Sentaro?\This what you're lookin' for?\Then you goons are the thieves, huh?\The roof belongs to us senior smokers!\W-Wait! response:	I want the key to the roof.
context: I get it... You're the key burglar, huh?\In that case, I ain't gonna hold back.\You Sentaro?\This what you're lookin' for?\Then you goons are the thieves, huh?\The roof belongs to us senior smokers!\W-Wait!\I want the key to the roof. response:	A candyass like you better get the hell outta here!
context: In that case, I ain't gonna hold back.\You Sentaro?\This what you're lookin' for?\Then you goons are the thieves, huh?\The roof belongs to us senior smokers!\W-Wait!\I want the key to the roof.\A candyass like you better get the hell outta here! response:	You want the key that badly?
context: You Sentaro?\This what you're lookin' for?\Then you goons are the thieves, huh?\The roof belongs to us senior smokers!\W-Wait!\I want the key to the roof.\A candyass like you better get the hell outta here!\You want the key that badly? response:	I-I want it!
context: This what you're lookin' for?\Then you goons are the thieves, huh?\The roof belongs to us senior smokers!\W-Wait!\I want the key to the roof.\A candyass like you better get the hell outta here!\You want the key that badly?\I-I want it! response:	Keep a holda this for me.
context: Then you goons are the thieves, huh?\The roof belongs to us senior smokers!\W-Wait!\I want the key to the roof.\A candyass like you better get the hell outta here!\You want the key that badly?\I-I want it!\Keep a holda this for me. response:	H-Hey! Are you all right?!
context: The roof belongs to us senior smokers!\W-Wait!\I want the key to the roof.\A candyass like you better get the hell outta here!\You want the key that badly?\I-I want it!\Keep a holda this for me.\H-Hey! Are you all right?! response:	Hey, come on, wake up!
context: W-Wait!\I want the key to the roof.\A candyass like you better get the hell outta here!\You want the key that badly?\I-I want it!\Keep a holda this for me.\H-Hey! Are you all right?!\Hey, come on, wake up! response:	How reckless can you be, going up against three seniors?
context: I want the key to the roof.\A candyass like you better get the hell outta here!\You want the key that badly?\I-I want it!\Keep a holda this for me.\H-Hey! Are you all right?!\Hey, come on, wake up!\How reckless can you be, going up against three seniors? response:	This is what you wanted, right?
context: A candyass like you better get the hell outta here!\You want the key that badly?\I-I want it!\Keep a holda this for me.\H-Hey! Are you all right?!\Hey, come on, wake up!\How reckless can you be, going up against three seniors?\This is what you wanted, right? response:	I can really have it?
context: You want the key that badly?\I-I want it!\Keep a holda this for me.\H-Hey! Are you all right?!\Hey, come on, wake up!\How reckless can you be, going up against three seniors?\This is what you wanted, right?\I can really have it? response:	Yeah, here...
context: I-I want it!\Keep a holda this for me.\H-Hey! Are you all right?!\Hey, come on, wake up!\How reckless can you be, going up against three seniors?\This is what you wanted, right?\I can really have it?\Yeah, here... response:	For 100,000.
context: Keep a holda this for me.\H-Hey! Are you all right?!\Hey, come on, wake up!\How reckless can you be, going up against three seniors?\This is what you wanted, right?\I can really have it?\Yeah, here...\For 100,000. response:	Don't tell me you thought I'd give it to you gratis?
context: H-Hey! Are you all right?!\Hey, come on, wake up!\How reckless can you be, going up against three seniors?\This is what you wanted, right?\I can really have it?\Yeah, here...\For 100,000.\Don't tell me you thought I'd give it to you gratis? response:	I put my ass on the line gettin' it.
context: Hey, come on, wake up!\How reckless can you be, going up against three seniors?\This is what you wanted, right?\I can really have it?\Yeah, here...\For 100,000.\Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it. response:	100,000 is cheap.
context: How reckless can you be, going up against three seniors?\This is what you wanted, right?\I can really have it?\Yeah, here...\For 100,000.\Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it.\100,000 is cheap. response:	Dammit!
context: This is what you wanted, right?\I can really have it?\Yeah, here...\For 100,000.\Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it.\100,000 is cheap.\Dammit! response:	Well, I'm goin' home.
context: I can really have it?\Yeah, here...\For 100,000.\Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it.\100,000 is cheap.\Dammit!\Well, I'm goin' home. response:	Come to think of it, I didn't even go to class once today, though...
context: Yeah, here...\For 100,000.\Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it.\100,000 is cheap.\Dammit!\Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though... response:	City boy like that's got no common ground with us country boys.
context: For 100,000.\Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it.\100,000 is cheap.\Dammit!\Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys. response:	I can't believe you, Sentaro! You got in another fight?!
context: Don't tell me you thought I'd give it to you gratis?\I put my ass on the line gettin' it.\100,000 is cheap.\Dammit!\Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?! response:	It's just some scratches...
context: I put my ass on the line gettin' it.\100,000 is cheap.\Dammit!\Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?!\It's just some scratches... response:	You... Hey!
context: 100,000 is cheap.\Dammit!\Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?!\It's just some scratches...\You... Hey! response:	Ri'ko, who's this guy?
context: Dammit!\Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?!\It's just some scratches...\You... Hey!\Ri'ko, who's this guy? response:	I'm not gonna answer a guy who does nothin' but fight.
context: Well, I'm goin' home.\Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?!\It's just some scratches...\You... Hey!\Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight. response:	Maruo! You tell me.
context: Come to think of it, I didn't even go to class once today, though...\City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?!\It's just some scratches...\You... Hey!\Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me. response:	H-He's Nishimi Kaoru-kun, a kid that just transferred in today,
context: City boy like that's got no common ground with us country boys.\I can't believe you, Sentaro! You got in another fight?!\It's just some scratches...\You... Hey!\Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today, response:	supposed to be rich and a real brainiac...
context: I can't believe you, Sentaro! You got in another fight?!\It's just some scratches...\You... Hey!\Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac... response:	Oh?
context: It's just some scratches...\You... Hey!\Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac...\Oh? response:	Later, Maruo!
context: You... Hey!\Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac...\Oh?\Later, Maruo! response:	Hi there, rich boy.
context: Ri'ko, who's this guy?\I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac...\Oh?\Later, Maruo!\Hi there, rich boy. response:	From now on, your name is Richie.
context: I'm not gonna answer a guy who does nothin' but fight.\Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac...\Oh?\Later, Maruo!\Hi there, rich boy.\From now on, your name is Richie. response:	Let's me and you be pals, huh?
context: Maruo! You tell me.\H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac...\Oh?\Later, Maruo!\Hi there, rich boy.\From now on, your name is Richie.\Let's me and you be pals, huh? response:	Sentaro's got a new target.
context: H-He's Nishimi Kaoru-kun, a kid that just transferred in today,\supposed to be rich and a real brainiac...\Oh?\Later, Maruo!\Hi there, rich boy.\From now on, your name is Richie.\Let's me and you be pals, huh?\Sentaro's got a new target. response:	It's curtains for him.
context: supposed to be rich and a real brainiac...\Oh?\Later, Maruo!\Hi there, rich boy.\From now on, your name is Richie.\Let's me and you be pals, huh?\Sentaro's got a new target.\It's curtains for him. response:	I feel sorry for him.
context: Oh?\Later, Maruo!\Hi there, rich boy.\From now on, your name is Richie.\Let's me and you be pals, huh?\Sentaro's got a new target.\It's curtains for him.\I feel sorry for him. response:	Oh, no... I feel sick again...
context: Later, Maruo!\Hi there, rich boy.\From now on, your name is Richie.\Let's me and you be pals, huh?\Sentaro's got a new target.\It's curtains for him.\I feel sorry for him.\Oh, no... I feel sick again... response:	Sorry. I've got a favor to ask...
context: Hi there, rich boy.\From now on, your name is Richie.\Let's me and you be pals, huh?\Sentaro's got a new target.\It's curtains for him.\I feel sorry for him.\Oh, no... I feel sick again...\Sorry. I've got a favor to ask... response:	Huh?
context: From now on, your name is Richie.\Let's me and you be pals, huh?\Sentaro's got a new target.\It's curtains for him.\I feel sorry for him.\Oh, no... I feel sick again...\Sorry. I've got a favor to ask...\Huh? response:	I can't pay 100,000, but could you lend me the key just this once?
context: Let's me and you be pals, huh?\Sentaro's got a new target.\It's curtains for him.\I feel sorry for him.\Oh, no... I feel sick again...\Sorry. I've got a favor to ask...\Huh?\I can't pay 100,000, but could you lend me the key just this once? response:	Oh, this?
context: Sentaro's got a new target.\It's curtains for him.\I feel sorry for him.\Oh, no... I feel sick again...\Sorry. I've got a favor to ask...\Huh?\I can't pay 100,000, but could you lend me the key just this once?\Oh, this? response:	But right now it's...
context: It's curtains for him.\I feel sorry for him.\Oh, no... I feel sick again...\Sorry. I've got a favor to ask...\Huh?\I can't pay 100,000, but could you lend me the key just this once?\Oh, this?\But right now it's... response:	Hey! It's raining outside!
context: I feel sorry for him.\Oh, no... I feel sick again...\Sorry. I've got a favor to ask...\Huh?\I can't pay 100,000, but could you lend me the key just this once?\Oh, this?\But right now it's...\Hey! It's raining outside! response:	There's no problem if I take an umbrella!
context: Oh, no... I feel sick again...\Sorry. I've got a favor to ask...\Huh?\I can't pay 100,000, but could you lend me the key just this once?\Oh, this?\But right now it's...\Hey! It's raining outside!\There's no problem if I take an umbrella! response:	It sounds like fun! I'll go, too!
context: Sorry. I've got a favor to ask...\Huh?\I can't pay 100,000, but could you lend me the key just this once?\Oh, this?\But right now it's...\Hey! It's raining outside!\There's no problem if I take an umbrella!\It sounds like fun! I'll go, too! response:	What the hell? This ain't much fun at all.
context: Huh?\I can't pay 100,000, but could you lend me the key just this once?\Oh, this?\But right now it's...\Hey! It's raining outside!\There's no problem if I take an umbrella!\It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all. response:	Of course not. I'm not up here to have fun.
context: I can't pay 100,000, but could you lend me the key just this once?\Oh, this?\But right now it's...\Hey! It's raining outside!\There's no problem if I take an umbrella!\It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun. response:	Then why bother comin' up here?
context: Oh, this?\But right now it's...\Hey! It's raining outside!\There's no problem if I take an umbrella!\It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun.\Then why bother comin' up here? response:	If you're bored, you can always go back.
context: But right now it's...\Hey! It's raining outside!\There's no problem if I take an umbrella!\It sounds like fun! I'll go, too!\What the hell? This ain't much fun at all.\Of course not. I'm not up here to have fun.\Then why bother comin' up here?\If you're bored, you can always go back. response:	Nah. Class ain't my style.
