context: How enjoyable! How truly enjoyable! response:	But this isn't all!
context: Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps!\I'm not done yet!\Clinching Victory\The figures for this rate of increase are insane!\You need to stop him right now!\But RM-C's already ceded Limit Control,\so there's nothing I can do now. response:	You can still force-quit, can't you?
context: Six Slaying Wasps!\I'm not done yet!\Clinching Victory\The figures for this rate of increase are insane!\You need to stop him right now!\But RM-C's already ceded Limit Control,\so there's nothing I can do now.\You can still force-quit, can't you? response:	The puppet's central system could sustain some damage,
context: I'm not done yet!\Clinching Victory\The figures for this rate of increase are insane!\You need to stop him right now!\But RM-C's already ceded Limit Control,\so there's nothing I can do now.\You can still force-quit, can't you?\The puppet's central system could sustain some damage, response:	but that's what should be done if necessary!
context: Clinching Victory\The figures for this rate of increase are insane!\You need to stop him right now!\But RM-C's already ceded Limit Control,\so there's nothing I can do now.\You can still force-quit, can't you?\The puppet's central system could sustain some damage,\but that's what should be done if necessary! response:	That's your responsibility.
context: The figures for this rate of increase are insane!\You need to stop him right now!\But RM-C's already ceded Limit Control,\so there's nothing I can do now.\You can still force-quit, can't you?\The puppet's central system could sustain some damage,\but that's what should be done if necessary!\That's your responsibility. response:	Responsibility, huh?
context: You need to stop him right now!\But RM-C's already ceded Limit Control,\so there's nothing I can do now.\You can still force-quit, can't you?\The puppet's central system could sustain some damage,\but that's what should be done if necessary!\That's your responsibility.\Responsibility, huh? response:	See, it might not be so obvious, but I really do have faith...
context: But RM-C's already ceded Limit Control,\so there's nothing I can do now.\You can still force-quit, can't you?\The puppet's central system could sustain some damage,\but that's what should be done if necessary!\That's your responsibility.\Responsibility, huh?\See, it might not be so obvious, but I really do have faith... response:	in them, that is.
context: so there's nothing I can do now.\You can still force-quit, can't you?\The puppet's central system could sustain some damage,\but that's what should be done if necessary!\That's your responsibility.\Responsibility, huh?\See, it might not be so obvious, but I really do have faith...\in them, that is. response:	Ayato...
context: You can still force-quit, can't you?\The puppet's central system could sustain some damage,\but that's what should be done if necessary!\That's your responsibility.\Responsibility, huh?\See, it might not be so obvious, but I really do have faith...\in them, that is.\Ayato... response:	What on earth is that?
context: The puppet's central system could sustain some damage,\but that's what should be done if necessary!\That's your responsibility.\Responsibility, huh?\See, it might not be so obvious, but I really do have faith...\in them, that is.\Ayato...\What on earth is that? response:	We should've realized it sooner.
context: but that's what should be done if necessary!\That's your responsibility.\Responsibility, huh?\See, it might not be so obvious, but I really do have faith...\in them, that is.\Ayato...\What on earth is that?\We should've realized it sooner. response:	No matter how ironclad that protective wall may be,
context: That's your responsibility.\Responsibility, huh?\See, it might not be so obvious, but I really do have faith...\in them, that is.\Ayato...\What on earth is that?\We should've realized it sooner.\No matter how ironclad that protective wall may be, response:	it can't possibly trade blows head-on with the Ser=Versta.
context: Responsibility, huh?\See, it might not be so obvious, but I really do have faith...\in them, that is.\Ayato...\What on earth is that?\We should've realized it sooner.\No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta. response:	The only thing that was able to do that was...
context: See, it might not be so obvious, but I really do have faith...\in them, that is.\Ayato...\What on earth is that?\We should've realized it sooner.\No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was... response:	The Gravi-Sheath, eh?
context: in them, that is.\Ayato...\What on earth is that?\We should've realized it sooner.\No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was...\The Gravi-Sheath, eh? response:	That's right.
context: Ayato...\What on earth is that?\We should've realized it sooner.\No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was...\The Gravi-Sheath, eh?\That's right. response:	Unless it's another Ogre Lux,
context: What on earth is that?\We should've realized it sooner.\No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was...\The Gravi-Sheath, eh?\That's right.\Unless it's another Ogre Lux, response:	it shouldn't be able to block the Ser=Versta's attacks.
context: We should've realized it sooner.\No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was...\The Gravi-Sheath, eh?\That's right.\Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks. response:	AR-D must be using Ulm Manadite as his engine.
context: No matter how ironclad that protective wall may be,\it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was...\The Gravi-Sheath, eh?\That's right.\Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine. response:	Wait!
context: it can't possibly trade blows head-on with the Ser=Versta.\The only thing that was able to do that was...\The Gravi-Sheath, eh?\That's right.\Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine.\Wait! response:	You mean that was AR-D rampaging out of control right now?
context: The only thing that was able to do that was...\The Gravi-Sheath, eh?\That's right.\Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine.\Wait!\You mean that was AR-D rampaging out of control right now? response:	No, though I'm sure all that power's more than he can manage,
context: The Gravi-Sheath, eh?\That's right.\Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine.\Wait!\You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage, response:	most likely AR-D is...
context: That's right.\Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine.\Wait!\You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage,\most likely AR-D is... response:	I see!
context: Unless it's another Ogre Lux,\it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine.\Wait!\You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage,\most likely AR-D is...\I see! response:	So this is it! This is my true power!
context: it shouldn't be able to block the Ser=Versta's attacks.\AR-D must be using Ulm Manadite as his engine.\Wait!\You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage,\most likely AR-D is...\I see!\So this is it! This is my true power! response:	No wonder my master warned me about it!
context: AR-D must be using Ulm Manadite as his engine.\Wait!\You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage,\most likely AR-D is...\I see!\So this is it! This is my true power!\No wonder my master warned me about it! response:	He has it under control?
context: Wait!\You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage,\most likely AR-D is...\I see!\So this is it! This is my true power!\No wonder my master warned me about it!\He has it under control? response:	Now, then, I hate to see this end, but what do you say we settle this now?
context: You mean that was AR-D rampaging out of control right now?\No, though I'm sure all that power's more than he can manage,\most likely AR-D is...\I see!\So this is it! This is my true power!\No wonder my master warned me about it!\He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now? response:	Let's go!
context: No, though I'm sure all that power's more than he can manage,\most likely AR-D is...\I see!\So this is it! This is my true power!\No wonder my master warned me about it!\He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now?\Let's go! response:	Ayato, get back!
context: most likely AR-D is...\I see!\So this is it! This is my true power!\No wonder my master warned me about it!\He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now?\Let's go!\Ayato, get back! response:	Come out, Rafflesia!
context: I see!\So this is it! This is my true power!\No wonder my master warned me about it!\He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now?\Let's go!\Ayato, get back!\Come out, Rafflesia! response:	Impossible...
context: So this is it! This is my true power!\No wonder my master warned me about it!\He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now?\Let's go!\Ayato, get back!\Come out, Rafflesia!\Impossible... response:	Now, then, it's my turn to pay you back!
context: No wonder my master warned me about it!\He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now?\Let's go!\Ayato, get back!\Come out, Rafflesia!\Impossible...\Now, then, it's my turn to pay you back! response:	No way!
context: He has it under control?\Now, then, I hate to see this end, but what do you say we settle this now?\Let's go!\Ayato, get back!\Come out, Rafflesia!\Impossible...\Now, then, it's my turn to pay you back!\No way! response:	Now, then... you will explode!
context: Now, then, I hate to see this end, but what do you say we settle this now?\Let's go!\Ayato, get back!\Come out, Rafflesia!\Impossible...\Now, then, it's my turn to pay you back!\No way!\Now, then... you will explode! response:	Now, then, why don't we pick up where we left off?
context: Let's go!\Ayato, get back!\Come out, Rafflesia!\Impossible...\Now, then, it's my turn to pay you back!\No way!\Now, then... you will explode!\Now, then, why don't we pick up where we left off? response:	Ayato, are you all right?
context: Ayato, get back!\Come out, Rafflesia!\Impossible...\Now, then, it's my turn to pay you back!\No way!\Now, then... you will explode!\Now, then, why don't we pick up where we left off?\Ayato, are you all right? response:	Julis!
context: Come out, Rafflesia!\Impossible...\Now, then, it's my turn to pay you back!\No way!\Now, then... you will explode!\Now, then, why don't we pick up where we left off?\Ayato, are you all right?\Julis! response:	I-I'm all right.
context: Impossible...\Now, then, it's my turn to pay you back!\No way!\Now, then... you will explode!\Now, then, why don't we pick up where we left off?\Ayato, are you all right?\Julis!\I-I'm all right. response:	Or at least I'd like to say so, but maybe not this time.
context: Now, then, it's my turn to pay you back!\No way!\Now, then... you will explode!\Now, then, why don't we pick up where we left off?\Ayato, are you all right?\Julis!\I-I'm all right.\Or at least I'd like to say so, but maybe not this time. response:	If only I could eclipse his speed, then I could strike a decisive blow.
context: No way!\Now, then... you will explode!\Now, then, why don't we pick up where we left off?\Ayato, are you all right?\Julis!\I-I'm all right.\Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow. response:	Speed, eh?
context: Now, then... you will explode!\Now, then, why don't we pick up where we left off?\Ayato, are you all right?\Julis!\I-I'm all right.\Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh? response:	H-Hold up!
context: Now, then, why don't we pick up where we left off?\Ayato, are you all right?\Julis!\I-I'm all right.\Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh?\H-Hold up! response:	Julis, what are you...
context: Ayato, are you all right?\Julis!\I-I'm all right.\Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh?\H-Hold up!\Julis, what are you... response:	I remember Claudia telling me once
context: Julis!\I-I'm all right.\Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh?\H-Hold up!\Julis, what are you...\I remember Claudia telling me once response:	that the Ser=Versta is known to assume the form that best suits its wielder.
context: I-I'm all right.\Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh?\H-Hold up!\Julis, what are you...\I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder. response:	If we can make it do that, wouldn't that give us some chance of winning?
context: Or at least I'd like to say so, but maybe not this time.\If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh?\H-Hold up!\Julis, what are you...\I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning? response:	Look, I'm not good at making minor tweaks to my Prana.
context: If only I could eclipse his speed, then I could strike a decisive blow.\Speed, eh?\H-Hold up!\Julis, what are you...\I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana. response:	I mean I'm hopeless.
context: Speed, eh?\H-Hold up!\Julis, what are you...\I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless. response:	Then let me handle that part.
context: H-Hold up!\Julis, what are you...\I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless.\Then let me handle that part. response:	All you have to do is pour your Prana into this sword.
context: Julis, what are you...\I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless.\Then let me handle that part.\All you have to do is pour your Prana into this sword. response:	A-All right!
context: I remember Claudia telling me once\that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless.\Then let me handle that part.\All you have to do is pour your Prana into this sword.\A-All right! response:	Ayato, try to picture it.
context: that the Ser=Versta is known to assume the form that best suits its wielder.\If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless.\Then let me handle that part.\All you have to do is pour your Prana into this sword.\A-All right!\Ayato, try to picture it. response:	The ideal Ser=Versta that you can wield most comfortably
context: If we can make it do that, wouldn't that give us some chance of winning?\Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless.\Then let me handle that part.\All you have to do is pour your Prana into this sword.\A-All right!\Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably response:	in terms of shape and size!
context: Look, I'm not good at making minor tweaks to my Prana.\I mean I'm hopeless.\Then let me handle that part.\All you have to do is pour your Prana into this sword.\A-All right!\Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size! response:	It's done!
context: I mean I'm hopeless.\Then let me handle that part.\All you have to do is pour your Prana into this sword.\A-All right!\Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size!\It's done! response:	This is your...
context: Then let me handle that part.\All you have to do is pour your Prana into this sword.\A-All right!\Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size!\It's done!\This is your... response:	Ayato Amagiri's Ser=Versta!
context: All you have to do is pour your Prana into this sword.\A-All right!\Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size!\It's done!\This is your...\Ayato Amagiri's Ser=Versta! response:	This is...
context: A-All right!\Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size!\It's done!\This is your...\Ayato Amagiri's Ser=Versta!\This is... response:	the ideal form for me?
context: Ayato, try to picture it.\The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size!\It's done!\This is your...\Ayato Amagiri's Ser=Versta!\This is...\the ideal form for me? response:	This is all that I can do in this match.
context: The ideal Ser=Versta that you can wield most comfortably\in terms of shape and size!\It's done!\This is your...\Ayato Amagiri's Ser=Versta!\This is...\the ideal form for me?\This is all that I can do in this match. response:	Julis!
context: in terms of shape and size!\It's done!\This is your...\Ayato Amagiri's Ser=Versta!\This is...\the ideal form for me?\This is all that I can do in this match.\Julis! response:	I'm leaving the rest to you, Ayato!
context: It's done!\This is your...\Ayato Amagiri's Ser=Versta!\This is...\the ideal form for me?\This is all that I can do in this match.\Julis!\I'm leaving the rest to you, Ayato! response:	Roger that, Julis.
context: This is your...\Ayato Amagiri's Ser=Versta!\This is...\the ideal form for me?\This is all that I can do in this match.\Julis!\I'm leaving the rest to you, Ayato!\Roger that, Julis. response:	Sorry. Did I keep you waiting?
context: Ayato Amagiri's Ser=Versta!\This is...\the ideal form for me?\This is all that I can do in this match.\Julis!\I'm leaving the rest to you, Ayato!\Roger that, Julis.\Sorry. Did I keep you waiting? response:	No, no, as it happens, I was a bit out of shape myself.
context: This is...\the ideal form for me?\This is all that I can do in this match.\Julis!\I'm leaving the rest to you, Ayato!\Roger that, Julis.\Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself. response:	Now I'm going to end this!
context: the ideal form for me?\This is all that I can do in this match.\Julis!\I'm leaving the rest to you, Ayato!\Roger that, Julis.\Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this! response:	This match is mine!
context: This is all that I can do in this match.\Julis!\I'm leaving the rest to you, Ayato!\Roger that, Julis.\Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this!\This match is mine! response:	I won't let you!
context: Julis!\I'm leaving the rest to you, Ayato!\Roger that, Julis.\Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this!\This match is mine!\I won't let you! response:	Amagiri Shinmei Style Hidden Technique...
context: I'm leaving the rest to you, Ayato!\Roger that, Julis.\Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this!\This match is mine!\I won't let you!\Amagiri Shinmei Style Hidden Technique... response:	Moon of Carnage!
context: Roger that, Julis.\Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this!\This match is mine!\I won't let you!\Amagiri Shinmei Style Hidden Technique...\Moon of Carnage! response:	AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE
context: Sorry. Did I keep you waiting?\No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this!\This match is mine!\I won't let you!\Amagiri Shinmei Style Hidden Technique...\Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE response:	Ernesta Kuhne... Badge broken!
context: No, no, as it happens, I was a bit out of shape myself.\Now I'm going to end this!\This match is mine!\I won't let you!\Amagiri Shinmei Style Hidden Technique...\Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken! response:	Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!
context: Now I'm going to end this!\This match is mine!\I won't let you!\Amagiri Shinmei Style Hidden Technique...\Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld! response:	We lost!
context: This match is mine!\I won't let you!\Amagiri Shinmei Style Hidden Technique...\Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost! response:	I have been trounced!
context: I won't let you!\Amagiri Shinmei Style Hidden Technique...\Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost!\I have been trounced! response:	A-At last! At last, it's over!
context: Amagiri Shinmei Style Hidden Technique...\Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost!\I have been trounced!\A-At last! At last, it's over! response:	After a showdown of epic proportions, the Phoenix Festa has been won by...
context: Moon of Carnage!\AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost!\I have been trounced!\A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by... response:	Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!
context: AMAGIRI SHINMEI STYLE HIDDEN TECHNIQUE MOON OF CARNAGE\Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost!\I have been trounced!\A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld! response:	The two-week-long Phoenix Festa.
context: Ernesta Kuhne... Badge broken!\Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost!\I have been trounced!\A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa. response:	Once again, we've seen numerous epic battles.
context: Winners, Ayato Amagiri and Julis-Alexia von Riessfeld!\We lost!\I have been trounced!\A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles. response:	And we were particularly astonished by AR-D and RM-C's fighting skills, right?
context: We lost!\I have been trounced!\A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right? response:	Oh, yes!
context: I have been trounced!\A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes! response:	And the team that prevailed against them in that slugfest of a final was...
context: A-At last! At last, it's over!\After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes!\And the team that prevailed against them in that slugfest of a final was... response:	Seidoukan Academy's Amagiri/Riessfield team!
context: After a showdown of epic proportions, the Phoenix Festa has been won by...\Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes!\And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team! response:	And now, offering his congratulations to Ayato Amagiri
context: Seidoukan Academy's Ayato Amagiri and Julis-Alexia von Riessfeld!\The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes!\And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri response:	is the Steering Committee chairman, Mr. Madiath Mesa!
context: The two-week-long Phoenix Festa.\Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes!\And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa! response:	Ayato Amagiri and Julis-Alexia von Riessfeld,
context: Once again, we've seen numerous epic battles.\And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes!\And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld, response:	I commend you both for your brilliant triumph,
context: And we were particularly astonished by AR-D and RM-C's fighting skills, right?\Oh, yes!\And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph, response:	your unbreakable spirit and this glorious victory.
context: Oh, yes!\And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory. response:	I found your matches extremely compelling.
context: And the team that prevailed against them in that slugfest of a final was...\Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory.\I found your matches extremely compelling. response:	I'm looking forward to seeing what you'll accomplish in the next festa.
context: Seidoukan Academy's Amagiri/Riessfield team!\And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory.\I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa. response:	Congratulations on your victory.
context: And now, offering his congratulations to Ayato Amagiri\is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory.\I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory. response:	Thank you very much.
context: is the Steering Committee chairman, Mr. Madiath Mesa!\Ayato Amagiri and Julis-Alexia von Riessfeld,\I commend you both for your brilliant triumph,\your unbreakable spirit and this glorious victory.\I found your matches extremely compelling.\I'm looking forward to seeing what you'll accomplish in the next festa.\Congratulations on your victory.\Thank you very much. response:	Ladies and gentlemen, please give Mr. Amagiri a warm round of applause!
