context: I think we should use the same members we've been using for the next match. response:	I think we should go without Desktomu-kun.
context: What order do I go with?\I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs.\What do I do?\Taichi, give me that.\Um, Shoyo from Kyoto...\There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada... response:	They're all right-handed.
context: I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs.\What do I do?\Taichi, give me that.\Um, Shoyo from Kyoto...\There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed. response:	Two girls and three boys...
context: but this isn't the mood we want before the playoffs.\What do I do?\Taichi, give me that.\Um, Shoyo from Kyoto...\There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed.\Two girls and three boys... response:	Everyone!
context: What do I do?\Taichi, give me that.\Um, Shoyo from Kyoto...\There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed.\Two girls and three boys...\Everyone! response:	You should have lunch now if you haven't eaten yet.
context: Taichi, give me that.\Um, Shoyo from Kyoto...\There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed.\Two girls and three boys...\Everyone!\You should have lunch now if you haven't eaten yet. response:	We only have thirty minutes left.
context: Um, Shoyo from Kyoto...\There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed.\Two girls and three boys...\Everyone!\You should have lunch now if you haven't eaten yet.\We only have thirty minutes left. response:	There aren't any vending machines, so here.
context: There we go.\Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed.\Two girls and three boys...\Everyone!\You should have lunch now if you haven't eaten yet.\We only have thirty minutes left.\There aren't any vending machines, so here. response:	I need to be more proactive as their advisor.
context: Sano, Ooka, Kawabe, Tashiro, Sanada...\They're all right-handed.\Two girls and three boys...\Everyone!\You should have lunch now if you haven't eaten yet.\We only have thirty minutes left.\There aren't any vending machines, so here.\I need to be more proactive as their advisor. response:	The advisor is supposed to decide on what order to use.
context: They're all right-handed.\Two girls and three boys...\Everyone!\You should have lunch now if you haven't eaten yet.\We only have thirty minutes left.\There aren't any vending machines, so here.\I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use. response:	Especially when the going gets tough...
context: Two girls and three boys...\Everyone!\You should have lunch now if you haven't eaten yet.\We only have thirty minutes left.\There aren't any vending machines, so here.\I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use.\Especially when the going gets tough... response:	Ayase-san can only be counted on to play in matches.
context: Everyone!\You should have lunch now if you haven't eaten yet.\We only have thirty minutes left.\There aren't any vending machines, so here.\I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use.\Especially when the going gets tough...\Ayase-san can only be counted on to play in matches. response:	There's too much pressure on Mashima-kun.
context: You should have lunch now if you haven't eaten yet.\We only have thirty minutes left.\There aren't any vending machines, so here.\I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use.\Especially when the going gets tough...\Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun. response:	Okay, I got it.
context: We only have thirty minutes left.\There aren't any vending machines, so here.\I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use.\Especially when the going gets tough...\Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun.\Okay, I got it. response:	We'll rest Desktomu-kun and use
context: There aren't any vending machines, so here.\I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use.\Especially when the going gets tough...\Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun.\Okay, I got it.\We'll rest Desktomu-kun and use response:	the same five from the group stage.
context: I need to be more proactive as their advisor.\The advisor is supposed to decide on what order to use.\Especially when the going gets tough...\Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun.\Okay, I got it.\We'll rest Desktomu-kun and use\the same five from the group stage. response:	Chihaya Furu
context: The advisor is supposed to decide on what order to use.\Especially when the going gets tough...\Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun.\Okay, I got it.\We'll rest Desktomu-kun and use\the same five from the group stage.\Chihaya Furu response:	Verse 11
context: Especially when the going gets tough...\Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun.\Okay, I got it.\We'll rest Desktomu-kun and use\the same five from the group stage.\Chihaya Furu\Verse 11 response:	I feel as though my body is on fire with Ibuki mugwort
context: Ayase-san can only be counted on to play in matches.\There's too much pressure on Mashima-kun.\Okay, I got it.\We'll rest Desktomu-kun and use\the same five from the group stage.\Chihaya Furu\Verse 11\I feel as though my body is on fire with Ibuki mugwort response:	What now? What now?! What now?!
context: There's too much pressure on Mashima-kun.\Okay, I got it.\We'll rest Desktomu-kun and use\the same five from the group stage.\Chihaya Furu\Verse 11\I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?! response:	Curry Rice
context: Okay, I got it.\We'll rest Desktomu-kun and use\the same five from the group stage.\Chihaya Furu\Verse 11\I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?!\Curry Rice response:	Why did I have to say that right before the playoffs?!
context: We'll rest Desktomu-kun and use\the same five from the group stage.\Chihaya Furu\Verse 11\I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?!\Curry Rice\Why did I have to say that right before the playoffs?! response:	Another one!
context: the same five from the group stage.\Chihaya Furu\Verse 11\I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?!\Curry Rice\Why did I have to say that right before the playoffs?!\Another one! response:	Back again?!
context: Chihaya Furu\Verse 11\I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?!\Curry Rice\Why did I have to say that right before the playoffs?!\Another one!\Back again?! response:	Don't you have a match coming up?
context: Verse 11\I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?!\Curry Rice\Why did I have to say that right before the playoffs?!\Another one!\Back again?!\Don't you have a match coming up? response:	Sure you won't regret this?
context: I feel as though my body is on fire with Ibuki mugwort\What now? What now?! What now?!\Curry Rice\Why did I have to say that right before the playoffs?!\Another one!\Back again?!\Don't you have a match coming up?\Sure you won't regret this? response:	I don't regret it...
context: What now? What now?! What now?!\Curry Rice\Why did I have to say that right before the playoffs?!\Another one!\Back again?!\Don't you have a match coming up?\Sure you won't regret this?\I don't regret it... response:	If I didn't say something now,
context: Curry Rice\Why did I have to say that right before the playoffs?!\Another one!\Back again?!\Don't you have a match coming up?\Sure you won't regret this?\I don't regret it...\If I didn't say something now, response:	Desktomu-kun would drift into a supporting role.
context: Why did I have to say that right before the playoffs?!\Another one!\Back again?!\Don't you have a match coming up?\Sure you won't regret this?\I don't regret it...\If I didn't say something now,\Desktomu-kun would drift into a supporting role. response:	He wouldn't be one of the players anymore.
context: Another one!\Back again?!\Don't you have a match coming up?\Sure you won't regret this?\I don't regret it...\If I didn't say something now,\Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore. response:	Hang in there!
context: Back again?!\Don't you have a match coming up?\Sure you won't regret this?\I don't regret it...\If I didn't say something now,\Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore.\Hang in there! response:	Finish the whole plate!
context: Don't you have a match coming up?\Sure you won't regret this?\I don't regret it...\If I didn't say something now,\Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore.\Hang in there!\Finish the whole plate! response:	But what now?
context: Sure you won't regret this?\I don't regret it...\If I didn't say something now,\Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore.\Hang in there!\Finish the whole plate!\But what now? response:	If nobody does anything and he's removed from the lineup...
context: I don't regret it...\If I didn't say something now,\Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore.\Hang in there!\Finish the whole plate!\But what now?\If nobody does anything and he's removed from the lineup... response:	And if that familiar-looking person over there really is my sister...
context: If I didn't say something now,\Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore.\Hang in there!\Finish the whole plate!\But what now?\If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister... response:	Porky!
context: Desktomu-kun would drift into a supporting role.\He wouldn't be one of the players anymore.\Hang in there!\Finish the whole plate!\But what now?\If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister...\Porky! response:	What are you doing?! We've been looking for you!
context: He wouldn't be one of the players anymore.\Hang in there!\Finish the whole plate!\But what now?\If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister...\Porky!\What are you doing?! We've been looking for you! response:	The match is about to begin! Hurry!
context: Hang in there!\Finish the whole plate!\But what now?\If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister...\Porky!\What are you doing?! We've been looking for you!\The match is about to begin! Hurry! response:	There's no time for us to talk strategy now.
context: Finish the whole plate!\But what now?\If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister...\Porky!\What are you doing?! We've been looking for you!\The match is about to begin! Hurry!\There's no time for us to talk strategy now. response:	Why were you in the cafeteria?
context: But what now?\If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister...\Porky!\What are you doing?! We've been looking for you!\The match is about to begin! Hurry!\There's no time for us to talk strategy now.\Why were you in the cafeteria? response:	We bought three lunches.
context: If nobody does anything and he's removed from the lineup...\And if that familiar-looking person over there really is my sister...\Porky!\What are you doing?! We've been looking for you!\The match is about to begin! Hurry!\There's no time for us to talk strategy now.\Why were you in the cafeteria?\We bought three lunches. response:	Oh, we'll be going with the same lineup we used in the group stage.
context: And if that familiar-looking person over there really is my sister...\Porky!\What are you doing?! We've been looking for you!\The match is about to begin! Hurry!\There's no time for us to talk strategy now.\Why were you in the cafeteria?\We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage. response:	Playoff teams, please head inside.
context: Porky!\What are you doing?! We've been looking for you!\The match is about to begin! Hurry!\There's no time for us to talk strategy now.\Why were you in the cafeteria?\We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside. response:	Really?
context: What are you doing?! We've been looking for you!\The match is about to begin! Hurry!\There's no time for us to talk strategy now.\Why were you in the cafeteria?\We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside.\Really? response:	So you don't want to play?
context: The match is about to begin! Hurry!\There's no time for us to talk strategy now.\Why were you in the cafeteria?\We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside.\Really?\So you don't want to play? response:	Porky!
context: There's no time for us to talk strategy now.\Why were you in the cafeteria?\We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside.\Really?\So you don't want to play?\Porky! response:	If you're matched up against Kawabe, try to stay calm!
context: Why were you in the cafeteria?\We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside.\Really?\So you don't want to play?\Porky!\If you're matched up against Kawabe, try to stay calm! response:	I don't need your help.
context: We bought three lunches.\Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside.\Really?\So you don't want to play?\Porky!\If you're matched up against Kawabe, try to stay calm!\I don't need your help. response:	He's just guessing!
context: Oh, we'll be going with the same lineup we used in the group stage.\Playoff teams, please head inside.\Really?\So you don't want to play?\Porky!\If you're matched up against Kawabe, try to stay calm!\I don't need your help.\He's just guessing! response:	Hurry up.
context: Playoff teams, please head inside.\Really?\So you don't want to play?\Porky!\If you're matched up against Kawabe, try to stay calm!\I don't need your help.\He's just guessing!\Hurry up. response:	No, I'm not...
context: Really?\So you don't want to play?\Porky!\If you're matched up against Kawabe, try to stay calm!\I don't need your help.\He's just guessing!\Hurry up.\No, I'm not... response:	Don't need your help...
context: So you don't want to play?\Porky!\If you're matched up against Kawabe, try to stay calm!\I don't need your help.\He's just guessing!\Hurry up.\No, I'm not...\Don't need your help... response:	Shoyo High School Mizusawa High School
context: Porky!\If you're matched up against Kawabe, try to stay calm!\I don't need your help.\He's just guessing!\Hurry up.\No, I'm not...\Don't need your help...\Shoyo High School Mizusawa High School response:	The playoffs...
context: If you're matched up against Kawabe, try to stay calm!\I don't need your help.\He's just guessing!\Hurry up.\No, I'm not...\Don't need your help...\Shoyo High School Mizusawa High School\The playoffs... response:	Featuring the eight schools that won their groups.
context: I don't need your help.\He's just guessing!\Hurry up.\No, I'm not...\Don't need your help...\Shoyo High School Mizusawa High School\The playoffs...\Featuring the eight schools that won their groups. response:	One loss, and the team is out.
context: He's just guessing!\Hurry up.\No, I'm not...\Don't need your help...\Shoyo High School Mizusawa High School\The playoffs...\Featuring the eight schools that won their groups.\One loss, and the team is out. response:	Our opponent is Shoyo High School, representing Kyoto.
context: Hurry up.\No, I'm not...\Don't need your help...\Shoyo High School Mizusawa High School\The playoffs...\Featuring the eight schools that won their groups.\One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto. response:	Show you...
context: No, I'm not...\Don't need your help...\Shoyo High School Mizusawa High School\The playoffs...\Featuring the eight schools that won their groups.\One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto.\Show you... response:	Shoyo...
context: Don't need your help...\Shoyo High School Mizusawa High School\The playoffs...\Featuring the eight schools that won their groups.\One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto.\Show you...\Shoyo... response:	Shoyo...
context: Shoyo High School Mizusawa High School\The playoffs...\Featuring the eight schools that won their groups.\One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto.\Show you...\Shoyo...\Shoyo... response:	A pun?!
context: The playoffs...\Featuring the eight schools that won their groups.\One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto.\Show you...\Shoyo...\Shoyo...\A pun?! response:	Is it a coincidence that all their faces
context: Featuring the eight schools that won their groups.\One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto.\Show you...\Shoyo...\Shoyo...\A pun?!\Is it a coincidence that all their faces response:	resemble ancient officials in textbooks?
context: One loss, and the team is out.\Our opponent is Shoyo High School, representing Kyoto.\Show you...\Shoyo...\Shoyo...\A pun?!\Is it a coincidence that all their faces\resemble ancient officials in textbooks? response:	Two minutes left.
context: Our opponent is Shoyo High School, representing Kyoto.\Show you...\Shoyo...\Shoyo...\A pun?!\Is it a coincidence that all their faces\resemble ancient officials in textbooks?\Two minutes left. response:	Let's do this, Shoyo!
context: Show you...\Shoyo...\Shoyo...\A pun?!\Is it a coincidence that all their faces\resemble ancient officials in textbooks?\Two minutes left.\Let's do this, Shoyo! response:	Yeah!
context: Shoyo...\Shoyo...\A pun?!\Is it a coincidence that all their faces\resemble ancient officials in textbooks?\Two minutes left.\Let's do this, Shoyo!\Yeah! response:	where Wakamiya Shinobu is from.
context: Shoyo...\A pun?!\Is it a coincidence that all their faces\resemble ancient officials in textbooks?\Two minutes left.\Let's do this, Shoyo!\Yeah!\where Wakamiya Shinobu is from. response:	They look very imposing.
context: A pun?!\Is it a coincidence that all their faces\resemble ancient officials in textbooks?\Two minutes left.\Let's do this, Shoyo!\Yeah!\where Wakamiya Shinobu is from.\They look very imposing. response:	Komano-kun?
context: Is it a coincidence that all their faces\resemble ancient officials in textbooks?\Two minutes left.\Let's do this, Shoyo!\Yeah!\where Wakamiya Shinobu is from.\They look very imposing.\Komano-kun? response:	What are you doing?
context: resemble ancient officials in textbooks?\Two minutes left.\Let's do this, Shoyo!\Yeah!\where Wakamiya Shinobu is from.\They look very imposing.\Komano-kun?\What are you doing? response:	Didn't we tell you to get some rest?
context: Two minutes left.\Let's do this, Shoyo!\Yeah!\where Wakamiya Shinobu is from.\They look very imposing.\Komano-kun?\What are you doing?\Didn't we tell you to get some rest? response:	You should grab something to eat, too.
context: Let's do this, Shoyo!\Yeah!\where Wakamiya Shinobu is from.\They look very imposing.\Komano-kun?\What are you doing?\Didn't we tell you to get some rest?\You should grab something to eat, too. response:	Yes...
context: Yeah!\where Wakamiya Shinobu is from.\They look very imposing.\Komano-kun?\What are you doing?\Didn't we tell you to get some rest?\You should grab something to eat, too.\Yes... response:	Thank you very much.
context: where Wakamiya Shinobu is from.\They look very imposing.\Komano-kun?\What are you doing?\Didn't we tell you to get some rest?\You should grab something to eat, too.\Yes...\Thank you very much. response:	Here comes spring, now the flower blooms
context: They look very imposing.\Komano-kun?\What are you doing?\Didn't we tell you to get some rest?\You should grab something to eat, too.\Yes...\Thank you very much.\Here comes spring, now the flower blooms response:	Here comes spring, now the flower blooms
context: Komano-kun?\What are you doing?\Didn't we tell you to get some rest?\You should grab something to eat, too.\Yes...\Thank you very much.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms response:	Though I prayed to the god of mercy that the one I love not shun me,
context: What are you doing?\Didn't we tell you to get some rest?\You should grab something to eat, too.\Yes...\Thank you very much.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me, response:	He's fast!
context: Didn't we tell you to get some rest?\You should grab something to eat, too.\Yes...\Thank you very much.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me,\He's fast! response:	Seriously?
context: You should grab something to eat, too.\Yes...\Thank you very much.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me,\He's fast!\Seriously? response:	Is everyone from Kyoto this fast?
context: Yes...\Thank you very much.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me,\He's fast!\Seriously?\Is everyone from Kyoto this fast? response:	Like Wakamiya Shinobu?
context: Thank you very much.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me,\He's fast!\Seriously?\Is everyone from Kyoto this fast?\Like Wakamiya Shinobu? response:	One loss in this tournament...
context: Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me,\He's fast!\Seriously?\Is everyone from Kyoto this fast?\Like Wakamiya Shinobu?\One loss in this tournament... response:	and our team is out.
context: Here comes spring, now the flower blooms\Though I prayed to the god of mercy that the one I love not shun me,\He's fast!\Seriously?\Is everyone from Kyoto this fast?\Like Wakamiya Shinobu?\One loss in this tournament...\and our team is out. response:	May it be that I...
context: Though I prayed to the god of mercy that the one I love not shun me,\He's fast!\Seriously?\Is everyone from Kyoto this fast?\Like Wakamiya Shinobu?\One loss in this tournament...\and our team is out.\May it be that I... response:	This is bad. Very bad.
context: He's fast!\Seriously?\Is everyone from Kyoto this fast?\Like Wakamiya Shinobu?\One loss in this tournament...\and our team is out.\May it be that I...\This is bad. Very bad. response:	Empress' jacket of love
context: Seriously?\Is everyone from Kyoto this fast?\Like Wakamiya Shinobu?\One loss in this tournament...\and our team is out.\May it be that I...\This is bad. Very bad.\Empress' jacket of love response:	We should let him sleep.
context: Is everyone from Kyoto this fast?\Like Wakamiya Shinobu?\One loss in this tournament...\and our team is out.\May it be that I...\This is bad. Very bad.\Empress' jacket of love\We should let him sleep. response:	I'll go see how the match is going.
context: Like Wakamiya Shinobu?\One loss in this tournament...\and our team is out.\May it be that I...\This is bad. Very bad.\Empress' jacket of love\We should let him sleep.\I'll go see how the match is going. response:	Can you watch Komano-kun?
context: One loss in this tournament...\and our team is out.\May it be that I...\This is bad. Very bad.\Empress' jacket of love\We should let him sleep.\I'll go see how the match is going.\Can you watch Komano-kun? response:	But I want to watch the match...
context: and our team is out.\May it be that I...\This is bad. Very bad.\Empress' jacket of love\We should let him sleep.\I'll go see how the match is going.\Can you watch Komano-kun?\But I want to watch the match... response:	You also need to get some rest.
context: May it be that I...\This is bad. Very bad.\Empress' jacket of love\We should let him sleep.\I'll go see how the match is going.\Can you watch Komano-kun?\But I want to watch the match...\You also need to get some rest. response:	Okay...
