context: Last time on Fairy Tail... response:	We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.
context: Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot!\Lucy-neesan!\Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield!\Run!\Footprints of the Myth!\They're not chasing us... response:	Maybe we got lucky and they got buried.
context: Hot-hot-hot-hot-hot!\Lucy-neesan!\Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield!\Run!\Footprints of the Myth!\They're not chasing us...\Maybe we got lucky and they got buried. response:	Just like I planned!
context: Lucy-neesan!\Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield!\Run!\Footprints of the Myth!\They're not chasing us...\Maybe we got lucky and they got buried.\Just like I planned! response:	You're such a liar!
context: Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield!\Run!\Footprints of the Myth!\They're not chasing us...\Maybe we got lucky and they got buried.\Just like I planned!\You're such a liar! response:	Anyway, we've gotta search for that part!
context: Just like before, he's got that great nuisance of a shield!\Run!\Footprints of the Myth!\They're not chasing us...\Maybe we got lucky and they got buried.\Just like I planned!\You're such a liar!\Anyway, we've gotta search for that part! response:	Oh-ho!
context: Run!\Footprints of the Myth!\They're not chasing us...\Maybe we got lucky and they got buried.\Just like I planned!\You're such a liar!\Anyway, we've gotta search for that part!\Oh-ho! response:	Lulu-chama, we need to establish the bond of love!
context: Footprints of the Myth!\They're not chasing us...\Maybe we got lucky and they got buried.\Just like I planned!\You're such a liar!\Anyway, we've gotta search for that part!\Oh-ho!\Lulu-chama, we need to establish the bond of love! response:	Would you stop calling me that?!
context: They're not chasing us...\Maybe we got lucky and they got buried.\Just like I planned!\You're such a liar!\Anyway, we've gotta search for that part!\Oh-ho!\Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?! response:	Dan-san! Right now, finding that part takes priority!
context: Maybe we got lucky and they got buried.\Just like I planned!\You're such a liar!\Anyway, we've gotta search for that part!\Oh-ho!\Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority! response:	We have an important duty to carry out!
context: Just like I planned!\You're such a liar!\Anyway, we've gotta search for that part!\Oh-ho!\Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out! response:	I know! But love is important, too!
context: You're such a liar!\Anyway, we've gotta search for that part!\Oh-ho!\Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out!\I know! But love is important, too! response:	You don't know...
context: Anyway, we've gotta search for that part!\Oh-ho!\Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out!\I know! But love is important, too!\You don't know... response:	L-O-V-E!
context: Oh-ho!\Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out!\I know! But love is important, too!\You don't know...\L-O-V-E! response:	I'm sick of hearin' that!
context: Lulu-chama, we need to establish the bond of love!\Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out!\I know! But love is important, too!\You don't know...\L-O-V-E!\I'm sick of hearin' that! response:	Hot-hot-hot-hot!
context: Would you stop calling me that?!\Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out!\I know! But love is important, too!\You don't know...\L-O-V-E!\I'm sick of hearin' that!\Hot-hot-hot-hot! response:	Nee-san is on fire!
context: Dan-san! Right now, finding that part takes priority!\We have an important duty to carry out!\I know! But love is important, too!\You don't know...\L-O-V-E!\I'm sick of hearin' that!\Hot-hot-hot-hot!\Nee-san is on fire! response:	Crap! I did it again!
context: We have an important duty to carry out!\I know! But love is important, too!\You don't know...\L-O-V-E!\I'm sick of hearin' that!\Hot-hot-hot-hot!\Nee-san is on fire!\Crap! I did it again! response:	Anybody who dares interfere with two people in love
context: I know! But love is important, too!\You don't know...\L-O-V-E!\I'm sick of hearin' that!\Hot-hot-hot-hot!\Nee-san is on fire!\Crap! I did it again!\Anybody who dares interfere with two people in love response:	will get sliced up like a fish and put back together on the table!
context: You don't know...\L-O-V-E!\I'm sick of hearin' that!\Hot-hot-hot-hot!\Nee-san is on fire!\Crap! I did it again!\Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table! response:	I don't know what he means...
context: L-O-V-E!\I'm sick of hearin' that!\Hot-hot-hot-hot!\Nee-san is on fire!\Crap! I did it again!\Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table!\I don't know what he means... response:	Feel the might of my magic spear, Happy Lucky!
context: I'm sick of hearin' that!\Hot-hot-hot-hot!\Nee-san is on fire!\Crap! I did it again!\Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table!\I don't know what he means...\Feel the might of my magic spear, Happy Lucky! response:	Be careful, Natsu-san!
context: Hot-hot-hot-hot!\Nee-san is on fire!\Crap! I did it again!\Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table!\I don't know what he means...\Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san! response:	If you get hit, you'll shrink again like last time!
context: Nee-san is on fire!\Crap! I did it again!\Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table!\I don't know what he means...\Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san!\If you get hit, you'll shrink again like last time! response:	I know it! I don't wanna get trampled by you again!
context: Crap! I did it again!\Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table!\I don't know what he means...\Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san!\If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again! response:	I'm not done yet!
context: Anybody who dares interfere with two people in love\will get sliced up like a fish and put back together on the table!\I don't know what he means...\Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san!\If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again!\I'm not done yet! response:	Nee-san!
context: will get sliced up like a fish and put back together on the table!\I don't know what he means...\Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san!\If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again!\I'm not done yet!\Nee-san! response:	What is this?!
context: I don't know what he means...\Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san!\If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again!\I'm not done yet!\Nee-san!\What is this?! response:	Oh, no!
context: Feel the might of my magic spear, Happy Lucky!\Be careful, Natsu-san!\If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again!\I'm not done yet!\Nee-san!\What is this?!\Oh, no! response:	Forgive me! I didn't mean to do it! I shrunk the woman that I love!
context: Be careful, Natsu-san!\If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again!\I'm not done yet!\Nee-san!\What is this?!\Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love! response:	I-I'm a failure as a lover!
context: If you get hit, you'll shrink again like last time!\I know it! I don't wanna get trampled by you again!\I'm not done yet!\Nee-san!\What is this?!\Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover! response:	If that's how you feel, then get me back to normal!
context: I know it! I don't wanna get trampled by you again!\I'm not done yet!\Nee-san!\What is this?!\Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover!\If that's how you feel, then get me back to normal! response:	Of course!
context: I'm not done yet!\Nee-san!\What is this?!\Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover!\If that's how you feel, then get me back to normal!\Of course! response:	W-What?!
context: Nee-san!\What is this?!\Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover!\If that's how you feel, then get me back to normal!\Of course!\W-What?! response:	This actually isn't so bad!
context: What is this?!\Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover!\If that's how you feel, then get me back to normal!\Of course!\W-What?!\This actually isn't so bad! response:	A tiny Lulu-chama has a charm that I'm reluctant to give up!
context: Oh, no!\Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover!\If that's how you feel, then get me back to normal!\Of course!\W-What?!\This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up! response:	I think I'll keep you like this as my mascot!
context: Forgive me! I didn't mean to do it! I shrunk the woman that I love!\I-I'm a failure as a lover!\If that's how you feel, then get me back to normal!\Of course!\W-What?!\This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot! response:	You gotta be kidding me!
context: I-I'm a failure as a lover!\If that's how you feel, then get me back to normal!\Of course!\W-What?!\This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot!\You gotta be kidding me! response:	Nah, I think I will leave you like this.
context: If that's how you feel, then get me back to normal!\Of course!\W-What?!\This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot!\You gotta be kidding me!\Nah, I think I will leave you like this. response:	And when I get home, I'll put you on my desk and appreciate you at my leisure!
context: Of course!\W-What?!\This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot!\You gotta be kidding me!\Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure! response:	I'm not room decoration!
context: W-What?!\This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot!\You gotta be kidding me!\Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration! response:	This way, we'll always be together.
context: This actually isn't so bad!\A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot!\You gotta be kidding me!\Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration!\This way, we'll always be together. response:	He's made Lucy-nee into a strap!
context: A tiny Lulu-chama has a charm that I'm reluctant to give up!\I think I'll keep you like this as my mascot!\You gotta be kidding me!\Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration!\This way, we'll always be together.\He's made Lucy-nee into a strap! response:	But she is cute like this!
context: I think I'll keep you like this as my mascot!\You gotta be kidding me!\Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration!\This way, we'll always be together.\He's made Lucy-nee into a strap!\But she is cute like this! response:	I kind of want one myself!
context: You gotta be kidding me!\Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration!\This way, we'll always be together.\He's made Lucy-nee into a strap!\But she is cute like this!\I kind of want one myself! response:	Stop talking stupid and help me!
context: Nah, I think I will leave you like this.\And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration!\This way, we'll always be together.\He's made Lucy-nee into a strap!\But she is cute like this!\I kind of want one myself!\Stop talking stupid and help me! response:	Now, the woman that I love and I are one! There is nothing that I fear!
context: And when I get home, I'll put you on my desk and appreciate you at my leisure!\I'm not room decoration!\This way, we'll always be together.\He's made Lucy-nee into a strap!\But she is cute like this!\I kind of want one myself!\Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear! response:	So let's get back to what we were doing!
context: I'm not room decoration!\This way, we'll always be together.\He's made Lucy-nee into a strap!\But she is cute like this!\I kind of want one myself!\Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing! response:	Dan-san, attack him later! Right now, we've got to look for that part!
context: This way, we'll always be together.\He's made Lucy-nee into a strap!\But she is cute like this!\I kind of want one myself!\Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part! response:	I've got him right where I want him! You go on ahead!
context: He's made Lucy-nee into a strap!\But she is cute like this!\I kind of want one myself!\Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead! response:	Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!
context: But she is cute like this!\I kind of want one myself!\Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san! response:	What should we do?! We have to hurry up and find that part, too!
context: I kind of want one myself!\Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too! response:	But we can't leave Lucy-neesan like that!
context: Stop talking stupid and help me!\Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that! response:	This is making me dizzy! Oh, that's right! The Celestial Spirits!
context: Now, the woman that I love and I are one! There is nothing that I fear!\So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits! response:	Gate of the Archer, I open thee!
context: So let's get back to what we were doing!\Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee! response:	Sagittarius!
context: Dan-san, attack him later! Right now, we've got to look for that part!\I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee!\Sagittarius! response:	You called-moshimoshi?
context: I've got him right where I want him! You go on ahead!\Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee!\Sagittarius!\You called-moshimoshi? response:	What's going on here-moshimoshi?
context: Samuel-san didn't tell me any of the details! I can't search without you, Dan-san!\What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee!\Sagittarius!\You called-moshimoshi?\What's going on here-moshimoshi? response:	Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!
context: What should we do?! We have to hurry up and find that part, too!\But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee!\Sagittarius!\You called-moshimoshi?\What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?! response:	However, I've been summoned,
context: But we can't leave Lucy-neesan like that!\This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee!\Sagittarius!\You called-moshimoshi?\What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned, response:	and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!
context: This is making me dizzy! Oh, that's right! The Celestial Spirits!\Gate of the Archer, I open thee!\Sagittarius!\You called-moshimoshi?\What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi! response:	Take this! I shall attack with all my might!
context: Gate of the Archer, I open thee!\Sagittarius!\You called-moshimoshi?\What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might! response:	This is perfect!
context: Sagittarius!\You called-moshimoshi?\What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might!\This is perfect! response:	I had a little bone caught between my teeth from the fish I had for breakfast this morning.
context: You called-moshimoshi?\What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might!\This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning. response:	I attacked with all my might, but it had no effect on him, as it were-moshimoshi!
context: What's going on here-moshimoshi?\Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might!\This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi! response:	Now that I've got relief in my teeth, I'm going to finish up here, starting with you!
context: Since I, their owner, have been shrunken down, the Celestial Spirits are little, too?!\However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might!\This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you! response:	Watch out, Sagittarius!
context: However, I've been summoned,\and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might!\This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius! response:	Sorry! I stepped on another little one!
context: and it's the duty of a Celestial Spirit to aid the master, as it were-moshimoshi!\Take this! I shall attack with all my might!\This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius!\Sorry! I stepped on another little one! response:	That's enough. You can go back!
context: Take this! I shall attack with all my might!\This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius!\Sorry! I stepped on another little one!\That's enough. You can go back! response:	I apologize for not being of any use, as it were-moshimoshi!
context: This is perfect!\I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius!\Sorry! I stepped on another little one!\That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi! response:	We're not getting anywhere this way.
context: I had a little bone caught between my teeth from the fish I had for breakfast this morning.\I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius!\Sorry! I stepped on another little one!\That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way. response:	I've got it!
context: I attacked with all my might, but it had no effect on him, as it were-moshimoshi!\Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius!\Sorry! I stepped on another little one!\That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way.\I've got it! response:	Dan-san, what would you say to getting married to Lucy-neesan right here?
context: Now that I've got relief in my teeth, I'm going to finish up here, starting with you!\Watch out, Sagittarius!\Sorry! I stepped on another little one!\That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way.\I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here? response:	Why would we do that?!
context: Watch out, Sagittarius!\Sorry! I stepped on another little one!\That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way.\I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?! response:	This is a holy place with a lot of history, isn't it? I think it would be perfect!
context: Sorry! I stepped on another little one!\That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way.\I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect! response:	That's a good idea!
context: That's enough. You can go back!\I apologize for not being of any use, as it were-moshimoshi!\We're not getting anywhere this way.\I've got it!\Dan-san, what would you say to getting married to Lucy-neesan right here?\Why would we do that?!\This is a holy place with a lot of history, isn't it? I think it would be perfect!\That's a good idea! response:	You know this is a graveyard...
