context: I'm sure that I'll never forget... response:	We once lived in a hopelessly sweet, miraculous time.
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta response:	aki ni nari mata fuyu ni nari hitotsu toshi wo totta
context: sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta response:	tooku made nigete iru tsumori demo owaranai kimi no story
context: sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story response:	niya niya waratte iru
context: katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru response:	fugainaiya iya
context: hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya response:	sugari nagara oikakete mitemo ashige ni saretemo
context: dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo response:	aita ana wo fusagou
context: tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou response:	chigai nai ya iya
context: kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya response:	fugainai ya iya
context: aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya response:	tsurai naa iya iya
context: tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya response:	My hometown lay buried in snow the morning I was born.
context: niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born. response:	I looked up at the blue sky with my tiny hands.
context: fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands. response:	The face of the girl next door that I've known so well...
context: sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well... response:	It's as familiar as the graduation canon.
context: aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon. response:	Thriving in solitude has been mistaken as my life story.
context: chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story. response:	I want to blame it on someone.
context: fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone. response:	It's so difficult. No, I hate it.
context: tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it. response:	Tears and sorrow caused me to miss my chance.
context: My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance. response:	Autumn passed, winter came again, and I became a year older.
context: I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older. response:	You think you've run far away, but your story never ends.
context: The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends. response:	And yet, you're smirking.
context: It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking. response:	It's so cowardly. I hate it.
context: Thriving in solitude has been mistaken as my life story.\I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it. response:	Even if I have to cling to you, chase after you, and get kicked down...
context: I want to blame it on someone.\It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down... response:	It's so cowardly. No...
context: It's so difficult. No, I hate it.\Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No... response:	It's so difficult. I hate it. I hate it.
context: Tears and sorrow caused me to miss my chance.\Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it. response:	Our time together started in an apartment building...
context: Autumn passed, winter came again, and I became a year older.\You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Our time together started in an apartment building... response:	Back then, unable to find my way in life, I was drifting about...
context: You think you've run far away, but your story never ends.\And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about... response:	Yo, Takemoto.
context: And yet, you're smirking.\It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto. response:	I bought bentos for us at the convenience store, so let's eat them together.
context: It's so cowardly. I hate it.\Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together. response:	Mayama-san!
context: Even if I have to cling to you, chase after you, and get kicked down...\It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san! response:	What? Food?
context: It's so cowardly. No...\It's so difficult. I hate it. I hate it.\Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san!\What? Food? response:	Revived!
context: It's so difficult. I hate it. I hate it.\Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san!\What? Food?\Revived! response:	Do you have mine?
context: Our time together started in an apartment building...\Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san!\What? Food?\Revived!\Do you have mine? response:	I'll eat anything!
context: Back then, unable to find my way in life, I was drifting about...\Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san!\What? Food?\Revived!\Do you have mine?\I'll eat anything! response:	W-What are you doing, Morita-san?
context: Yo, Takemoto.\I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san!\What? Food?\Revived!\Do you have mine?\I'll eat anything!\W-What are you doing, Morita-san? response:	I don't care! Gimme the chicken!
context: I bought bentos for us at the convenience store, so let's eat them together.\Mayama-san!\What? Food?\Revived!\Do you have mine?\I'll eat anything!\W-What are you doing, Morita-san?\I don't care! Gimme the chicken! response:	Whoa, Morita-san!
context: Mayama-san!\What? Food?\Revived!\Do you have mine?\I'll eat anything!\W-What are you doing, Morita-san?\I don't care! Gimme the chicken!\Whoa, Morita-san! response:	But those ordinary days with the people I love were also enjoyable.
context: What? Food?\Revived!\Do you have mine?\I'll eat anything!\W-What are you doing, Morita-san?\I don't care! Gimme the chicken!\Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable. response:	Morita-san!
context: Revived!\Do you have mine?\I'll eat anything!\W-What are you doing, Morita-san?\I don't care! Gimme the chicken!\Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable.\Morita-san! response:	Takemoto...
context: Do you have mine?\I'll eat anything!\W-What are you doing, Morita-san?\I don't care! Gimme the chicken!\Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable.\Morita-san!\Takemoto... response:	Nice, Takemoto!
context: I'll eat anything!\W-What are you doing, Morita-san?\I don't care! Gimme the chicken!\Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable.\Morita-san!\Takemoto...\Nice, Takemoto! response:	They were fun...
context: W-What are you doing, Morita-san?\I don't care! Gimme the chicken!\Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable.\Morita-san!\Takemoto...\Nice, Takemoto!\They were fun... response:	Food!
context: I don't care! Gimme the chicken!\Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable.\Morita-san!\Takemoto...\Nice, Takemoto!\They were fun...\Food! response:	And during that time...
context: Whoa, Morita-san!\But those ordinary days with the people I love were also enjoyable.\Morita-san!\Takemoto...\Nice, Takemoto!\They were fun...\Food!\And during that time... response:	I met you...
context: But those ordinary days with the people I love were also enjoyable.\Morita-san!\Takemoto...\Nice, Takemoto!\They were fun...\Food!\And during that time...\I met you... response:	Hagu-chan...
context: Morita-san!\Takemoto...\Nice, Takemoto!\They were fun...\Food!\And during that time...\I met you...\Hagu-chan... response:	My love for you began back then.
context: Takemoto...\Nice, Takemoto!\They were fun...\Food!\And during that time...\I met you...\Hagu-chan...\My love for you began back then. response:	And I'm sure it was the same for Morita-san.
context: Nice, Takemoto!\They were fun...\Food!\And during that time...\I met you...\Hagu-chan...\My love for you began back then.\And I'm sure it was the same for Morita-san. response:	But we weren't the only ones who had begun to revolve.
context: They were fun...\Food!\And during that time...\I met you...\Hagu-chan...\My love for you began back then.\And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve. response:	Mayama!
context: Food!\And during that time...\I met you...\Hagu-chan...\My love for you began back then.\And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve.\Mayama! response:	Guard!
context: And during that time...\I met you...\Hagu-chan...\My love for you began back then.\And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve.\Mayama!\Guard! response:	You still haven't gotten over her?
context: I met you...\Hagu-chan...\My love for you began back then.\And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve.\Mayama!\Guard!\You still haven't gotten over her? response:	Hurry up and end it!
context: Hagu-chan...\My love for you began back then.\And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve.\Mayama!\Guard!\You still haven't gotten over her?\Hurry up and end it! response:	Yamada...
context: My love for you began back then.\And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve.\Mayama!\Guard!\You still haven't gotten over her?\Hurry up and end it!\Yamada... response:	Actually, how many more girls will have to cry for you to be satisfied?
context: And I'm sure it was the same for Morita-san.\But we weren't the only ones who had begun to revolve.\Mayama!\Guard!\You still haven't gotten over her?\Hurry up and end it!\Yamada...\Actually, how many more girls will have to cry for you to be satisfied? response:	Yamada! Yamada! Yamada!
context: But we weren't the only ones who had begun to revolve.\Mayama!\Guard!\You still haven't gotten over her?\Hurry up and end it!\Yamada...\Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada! response:	Say...
context: Mayama!\Guard!\You still haven't gotten over her?\Hurry up and end it!\Yamada...\Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada!\Say... response:	Why is it me?
context: Guard!\You still haven't gotten over her?\Hurry up and end it!\Yamada...\Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada!\Say...\Why is it me? response:	No matter how much you blow steam at me...
context: You still haven't gotten over her?\Hurry up and end it!\Yamada...\Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada!\Say...\Why is it me?\No matter how much you blow steam at me... response:	I probably won't change.
context: Hurry up and end it!\Yamada...\Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada!\Say...\Why is it me?\No matter how much you blow steam at me...\I probably won't change. response:	You're better off finding another guy.
context: Yamada...\Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada!\Say...\Why is it me?\No matter how much you blow steam at me...\I probably won't change.\You're better off finding another guy. response:	You should stop looking at me.
context: Actually, how many more girls will have to cry for you to be satisfied?\Yamada! Yamada! Yamada!\Say...\Why is it me?\No matter how much you blow steam at me...\I probably won't change.\You're better off finding another guy.\You should stop looking at me. response:	Hello?
context: Yamada! Yamada! Yamada!\Say...\Why is it me?\No matter how much you blow steam at me...\I probably won't change.\You're better off finding another guy.\You should stop looking at me.\Hello? response:	Sure, I'll be there right away.
context: Say...\Why is it me?\No matter how much you blow steam at me...\I probably won't change.\You're better off finding another guy.\You should stop looking at me.\Hello?\Sure, I'll be there right away. response:	Well, I've got work to do.
context: Why is it me?\No matter how much you blow steam at me...\I probably won't change.\You're better off finding another guy.\You should stop looking at me.\Hello?\Sure, I'll be there right away.\Well, I've got work to do. response:	You idiot...
context: No matter how much you blow steam at me...\I probably won't change.\You're better off finding another guy.\You should stop looking at me.\Hello?\Sure, I'll be there right away.\Well, I've got work to do.\You idiot... response:	Mayama, you idiot!
context: I probably won't change.\You're better off finding another guy.\You should stop looking at me.\Hello?\Sure, I'll be there right away.\Well, I've got work to do.\You idiot...\Mayama, you idiot! response:	Yamada-san's feelings...
context: You're better off finding another guy.\You should stop looking at me.\Hello?\Sure, I'll be there right away.\Well, I've got work to do.\You idiot...\Mayama, you idiot!\Yamada-san's feelings... response:	Mayama-san's feelings...
context: You should stop looking at me.\Hello?\Sure, I'll be there right away.\Well, I've got work to do.\You idiot...\Mayama, you idiot!\Yamada-san's feelings...\Mayama-san's feelings... response:	It was a terrible accident.
context: Hello?\Sure, I'll be there right away.\Well, I've got work to do.\You idiot...\Mayama, you idiot!\Yamada-san's feelings...\Mayama-san's feelings...\It was a terrible accident. response:	If a passing truck driver hadn't pulled Rika out, she would've burned up, too.
context: Sure, I'll be there right away.\Well, I've got work to do.\You idiot...\Mayama, you idiot!\Yamada-san's feelings...\Mayama-san's feelings...\It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too. response:	Rika was the one driving.
context: Well, I've got work to do.\You idiot...\Mayama, you idiot!\Yamada-san's feelings...\Mayama-san's feelings...\It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving. response:	Because of that event, I lost my best friend and Rika's husband at once.
context: You idiot...\Mayama, you idiot!\Yamada-san's feelings...\Mayama-san's feelings...\It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once. response:	Hey, Yamada...
context: Mayama, you idiot!\Yamada-san's feelings...\Mayama-san's feelings...\It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada... response:	Grab on tight. You'll fall off.
context: Yamada-san's feelings...\Mayama-san's feelings...\It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada...\Grab on tight. You'll fall off. response:	Hey, Yamada... Why did you fall in love with me?
context: Mayama-san's feelings...\It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada...\Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me? response:	You're precious to me.
context: It was a terrible accident.\If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada...\Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me?\You're precious to me. response:	So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.
context: If a passing truck driver hadn't pulled Rika out, she would've burned up, too.\Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada...\Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me?\You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me. response:	But... I thought that you'd go away somewhere if I turned you down.
context: Rika was the one driving.\Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada...\Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me?\You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down. response:	When I looked at you, it hurt me because it was like looking at myself.
context: Because of that event, I lost my best friend and Rika's husband at once.\Hey, Yamada...\Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me?\You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself. response:	I thought, Ah, I wonder if I look like that from Rika-san's perspective...
context: Hey, Yamada...\Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me?\You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective... response:	Uncool and persistent...
context: Grab on tight. You'll fall off.\Hey, Yamada... Why did you fall in love with me?\You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent... response:	But that doesn't matter anymore.
context: Hey, Yamada... Why did you fall in love with me?\You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent...\But that doesn't matter anymore. response:	Even thought I tried to act cool, I couldn't change a thing.
context: You're precious to me.\So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent...\But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing. response:	And I'm still uncool.
context: So, I've been thinking that I needed to turn you down properly if you ever told me that you liked me.\But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent...\But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool. response:	And I wasn't able to give up on her.
context: But... I thought that you'd go away somewhere if I turned you down.\When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent...\But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool.\And I wasn't able to give up on her. response:	Yamada, did you just drool on me?
context: When I looked at you, it hurt me because it was like looking at myself.\I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent...\But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool.\And I wasn't able to give up on her.\Yamada, did you just drool on me? response:	Mayama, I love you!
context: I thought, Ah, I wonder if I look like that from Rika-san's perspective...\Uncool and persistent...\But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool.\And I wasn't able to give up on her.\Yamada, did you just drool on me?\Mayama, I love you! response:	I love you!
context: Uncool and persistent...\But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool.\And I wasn't able to give up on her.\Yamada, did you just drool on me?\Mayama, I love you!\I love you! response:	Yeah.
context: But that doesn't matter anymore.\Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool.\And I wasn't able to give up on her.\Yamada, did you just drool on me?\Mayama, I love you!\I love you!\Yeah. response:	I love you so much!
context: Even thought I tried to act cool, I couldn't change a thing.\And I'm still uncool.\And I wasn't able to give up on her.\Yamada, did you just drool on me?\Mayama, I love you!\I love you!\Yeah.\I love you so much! response:	Yeah.
context: And I'm still uncool.\And I wasn't able to give up on her.\Yamada, did you just drool on me?\Mayama, I love you!\I love you!\Yeah.\I love you so much!\Yeah. response:	I love you!
context: And I wasn't able to give up on her.\Yamada, did you just drool on me?\Mayama, I love you!\I love you!\Yeah.\I love you so much!\Yeah.\I love you! response:	Yeah.
context: Yamada, did you just drool on me?\Mayama, I love you!\I love you!\Yeah.\I love you so much!\Yeah.\I love you!\Yeah. response:	Mayama, I love you!
context: Mayama, I love you!\I love you!\Yeah.\I love you so much!\Yeah.\I love you!\Yeah.\Mayama, I love you! response:	Yeah.
context: I love you!\Yeah.\I love you so much!\Yeah.\I love you!\Yeah.\Mayama, I love you!\Yeah. response:	I love you!
context: Yeah.\I love you so much!\Yeah.\I love you!\Yeah.\Mayama, I love you!\Yeah.\I love you! response:	Yeah.
context: I love you so much!\Yeah.\I love you!\Yeah.\Mayama, I love you!\Yeah.\I love you!\Yeah. response:	I love you so much!
context: Yeah.\I love you!\Yeah.\Mayama, I love you!\Yeah.\I love you!\Yeah.\I love you so much! response:	Yeah.
context: I love you!\Yeah.\Mayama, I love you!\Yeah.\I love you!\Yeah.\I love you so much!\Yeah. response:	Thank you.
context: Yeah.\Mayama, I love you!\Yeah.\I love you!\Yeah.\I love you so much!\Yeah.\Thank you. response:	H-Hey, Takemoto...
context: Mayama, I love you!\Yeah.\I love you!\Yeah.\I love you so much!\Yeah.\Thank you.\H-Hey, Takemoto... response:	Is H-Hagu f-f-friends with Morita now?
