context: Ladies and gentlemen, good evening. response:	The youth, who had been ravaged by poison, was restored to life through my friend's efforts.
context: Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper.\That is no threat.\But the things that are happening in this house are...\Are none of your business!\Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family! response:	I myself was almost...
context: I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper.\That is no threat.\But the things that are happening in this house are...\Are none of your business!\Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost... response:	By someone, you say?
context: The instant you do, I'll have you arrested as a kidnapper.\That is no threat.\But the things that are happening in this house are...\Are none of your business!\Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost...\By someone, you say? response:	If there is anyone close to hand who could be described as suspicious,
context: That is no threat.\But the things that are happening in this house are...\Are none of your business!\Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost...\By someone, you say?\If there is anyone close to hand who could be described as suspicious, response:	Are we clear?! From now on, this is strictly a family matter!
context: But the things that are happening in this house are...\Are none of your business!\Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost...\By someone, you say?\If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter! response:	I strictly forbid you from interfering!
context: Are none of your business!\Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost...\By someone, you say?\If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering! response:	The following is a report regarding my investigation on the Count of Monte Cristo.
context: Get out! You too, Albert.\Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost...\By someone, you say?\If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo. response:	In the course of visiting the various locations indicated by Your Honor,
context: Begging your pardon, sir, but someone is trying to kill your family!\I myself was almost...\By someone, you say?\If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor, response:	He has visited this area several times during the past three months.
context: I myself was almost...\By someone, you say?\If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months. response:	The priest seems to be gathering information on an old man who died penniless here.
context: By someone, you say?\If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here. response:	The old man's name was Louis Dantes.
context: If there is anyone close to hand who could be described as suspicious,\Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes. response:	In order to ascertain the priest's objectives,
context: Are we clear?! From now on, this is strictly a family matter!\I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes.\In order to ascertain the priest's objectives, response:	The old man's name was Louis Dantes.
context: I strictly forbid you from interfering!\The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes.\In order to ascertain the priest's objectives,\The old man's name was Louis Dantes. response:	Dantes...
context: The following is a report regarding my investigation on the Count of Monte Cristo.\In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes.\In order to ascertain the priest's objectives,\The old man's name was Louis Dantes.\Dantes... response:	Dantes?!
context: In the course of visiting the various locations indicated by Your Honor,\He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes.\In order to ascertain the priest's objectives,\The old man's name was Louis Dantes.\Dantes...\Dantes?! response:	Papa, my school play is today. You're coming, aren't you?
context: He has visited this area several times during the past three months.\The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes.\In order to ascertain the priest's objectives,\The old man's name was Louis Dantes.\Dantes...\Dantes?!\Papa, my school play is today. You're coming, aren't you? response:	Didn't your mother tell you? I'm sorry, but some urgent business has come up.
context: The priest seems to be gathering information on an old man who died penniless here.\The old man's name was Louis Dantes.\In order to ascertain the priest's objectives,\The old man's name was Louis Dantes.\Dantes...\Dantes?!\Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up. response:	But you promised! You said that you would come this time, no matter what!
context: The old man's name was Louis Dantes.\In order to ascertain the priest's objectives,\The old man's name was Louis Dantes.\Dantes...\Dantes?!\Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what! response:	Papa's work keeps him very busy, Edouard.
context: In order to ascertain the priest's objectives,\The old man's name was Louis Dantes.\Dantes...\Dantes?!\Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard. response:	I don't care about that! You're a liar, Papa!
context: The old man's name was Louis Dantes.\Dantes...\Dantes?!\Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa! response:	Get him out of here. It's your job as his mother to explain these things to him!
context: Dantes...\Dantes?!\Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him! response:	But Edouard has been so excited about today.
context: Dantes?!\Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today. response:	I don't care how excited he was! Stop bothering me!
context: Papa, my school play is today. You're coming, aren't you?\Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me! response:	Tell my teacher that the yellow dwarf isn't gonna be in the play!
context: Didn't your mother tell you? I'm sorry, but some urgent business has come up.\But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play! response:	Monsieur.
context: But you promised! You said that you would come this time, no matter what!\Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur. response:	What?
context: Papa's work keeps him very busy, Edouard.\I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur.\What? response:	You're still here? Hurry up and get your bags packed.
context: I don't care about that! You're a liar, Papa!\Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur.\What?\You're still here? Hurry up and get your bags packed. response:	An invitation... An invitation to a funeral just arrived.
context: Get him out of here. It's your job as his mother to explain these things to him!\But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur.\What?\You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived. response:	What's the meaning of this?
context: But Edouard has been so excited about today.\I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur.\What?\You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived.\What's the meaning of this? response:	It's all well and good that I've inherited vast land holdings,
context: I don't care how excited he was! Stop bothering me!\Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur.\What?\You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived.\What's the meaning of this?\It's all well and good that I've inherited vast land holdings, response:	The first thing is to learn the law inside and out.
context: Tell my teacher that the yellow dwarf isn't gonna be in the play!\Monsieur.\What?\You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived.\What's the meaning of this?\It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out. response:	That goes doubly so when you've come into possession of a huge inheritance.
context: Monsieur.\What?\You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived.\What's the meaning of this?\It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance. response:	If we don't keep estate taxes and whatnot under control, it can become a big problem.
context: What?\You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived.\What's the meaning of this?\It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem. response:	Oh, I had no idea.
context: You're still here? Hurry up and get your bags packed.\An invitation... An invitation to a funeral just arrived.\What's the meaning of this?\It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea. response:	Truth be told, I'm looking for a partner who will be able to effectively manage my assets.
context: An invitation... An invitation to a funeral just arrived.\What's the meaning of this?\It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets. response:	Oh, a partner, you say?
context: What's the meaning of this?\It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say? response:	Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?
context: It's all well and good that I've inherited vast land holdings,\The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done? response:	I'm sorry, I'm in the middle of my piano lessons.
context: The first thing is to learn the law inside and out.\That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons. response:	Oh, for Heaven's sake... Please forgive her lack of charm.
context: That goes doubly so when you've come into possession of a huge inheritance.\If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm. response:	Not at all.
context: If we don't keep estate taxes and whatnot under control, it can become a big problem.\Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all. response:	This is just between you and me,
context: Oh, I had no idea.\Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all.\This is just between you and me, response:	Is something the matter?
context: Truth be told, I'm looking for a partner who will be able to effectively manage my assets.\Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all.\This is just between you and me,\Is something the matter? response:	N-No, it's nothing.
context: Oh, a partner, you say?\Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all.\This is just between you and me,\Is something the matter?\N-No, it's nothing. response:	I have a letter here for the General.
context: Mademoiselle Eugenie, would it be all right if I paid you a visit in your room after I'm done?\I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all.\This is just between you and me,\Is something the matter?\N-No, it's nothing.\I have a letter here for the General. response:	Oh. Thanks.
context: I'm sorry, I'm in the middle of my piano lessons.\Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all.\This is just between you and me,\Is something the matter?\N-No, it's nothing.\I have a letter here for the General.\Oh. Thanks. response:	Edmond Dantes?
context: Oh, for Heaven's sake... Please forgive her lack of charm.\Not at all.\This is just between you and me,\Is something the matter?\N-No, it's nothing.\I have a letter here for the General.\Oh. Thanks.\Edmond Dantes? response:	Yes?
context: Not at all.\This is just between you and me,\Is something the matter?\N-No, it's nothing.\I have a letter here for the General.\Oh. Thanks.\Edmond Dantes?\Yes? response:	I'm sorry, are you working?
context: This is just between you and me,\Is something the matter?\N-No, it's nothing.\I have a letter here for the General.\Oh. Thanks.\Edmond Dantes?\Yes?\I'm sorry, are you working? response:	No, that's all right. I was just finishing up.
context: Is something the matter?\N-No, it's nothing.\I have a letter here for the General.\Oh. Thanks.\Edmond Dantes?\Yes?\I'm sorry, are you working?\No, that's all right. I was just finishing up. response:	There's something that I want to talk to you about.
context: N-No, it's nothing.\I have a letter here for the General.\Oh. Thanks.\Edmond Dantes?\Yes?\I'm sorry, are you working?\No, that's all right. I was just finishing up.\There's something that I want to talk to you about. response:	There is, eh? Have a seat.
context: I have a letter here for the General.\Oh. Thanks.\Edmond Dantes?\Yes?\I'm sorry, are you working?\No, that's all right. I was just finishing up.\There's something that I want to talk to you about.\There is, eh? Have a seat. response:	Now that the election is drawing near, there are a lot of matters that have to be taken care of.
context: Oh. Thanks.\Edmond Dantes?\Yes?\I'm sorry, are you working?\No, that's all right. I was just finishing up.\There's something that I want to talk to you about.\There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of. response:	I can imagine. Oh, this was addressed to you.
context: Edmond Dantes?\Yes?\I'm sorry, are you working?\No, that's all right. I was just finishing up.\There's something that I want to talk to you about.\There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you. response:	A funeral invitation?
context: Yes?\I'm sorry, are you working?\No, that's all right. I was just finishing up.\There's something that I want to talk to you about.\There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you.\A funeral invitation? response:	The thing is, I just got back from Villefort Manor.
context: I'm sorry, are you working?\No, that's all right. I was just finishing up.\There's something that I want to talk to you about.\There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you.\A funeral invitation?\The thing is, I just got back from Villefort Manor. response:	I'd like to get Valentine away from that place.
context: No, that's all right. I was just finishing up.\There's something that I want to talk to you about.\There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you.\A funeral invitation?\The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place. response:	I was wondering if there was anything that you could do to persuade her father.
context: There's something that I want to talk to you about.\There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you.\A funeral invitation?\The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father. response:	She's in great danger every minute she stays there.
context: There is, eh? Have a seat.\Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you.\A funeral invitation?\The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there. response:	If the request came from you, Monsieur Villefort might listen to...
context: Now that the election is drawing near, there are a lot of matters that have to be taken care of.\I can imagine. Oh, this was addressed to you.\A funeral invitation?\The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to... response:	Why do you feel the need to poke your nose into another family's affairs?
context: I can imagine. Oh, this was addressed to you.\A funeral invitation?\The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs? response:	What do you mean, why? My friend is...
context: A funeral invitation?\The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is... response:	Neither you nor your friend have any right to throw someone else's house into turmoil!
context: The thing is, I just got back from Villefort Manor.\I'd like to get Valentine away from that place.\I was wondering if there was anything that you could do to persuade her father.\She's in great danger every minute she stays there.\If the request came from you, Monsieur Villefort might listen to...\Why do you feel the need to poke your nose into another family's affairs?\What do you mean, why? My friend is...\Neither you nor your friend have any right to throw someone else's house into turmoil! response:	How can you say that?! You have no idea what's going on!
