context: The sound of the waves is clearer than usual, and the moonlight is very bright. response:	They gently surround me, filling me with warmth.
context: it's just been Aika and I at joint practice lately.\It's gotten really cold, hasn't it, Aika?\Huh?\Autumn is almost over, isn't it?\Hey, Aika.\Yeah?\Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but... response:	We just need to catch up to her, don't we?
context: It's gotten really cold, hasn't it, Aika?\Huh?\Autumn is almost over, isn't it?\Hey, Aika.\Yeah?\Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we? response:	All right! Let's focus on becoming Primas, and do our best!
context: Huh?\Autumn is almost over, isn't it?\Hey, Aika.\Yeah?\Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best! response:	Huh?
context: Autumn is almost over, isn't it?\Hey, Aika.\Yeah?\Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best!\Huh? response:	Aika?
context: Hey, Aika.\Yeah?\Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best!\Huh?\Aika? response:	I'm sorry, Akari.
context: Yeah?\Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best!\Huh?\Aika?\I'm sorry, Akari. response:	I'm sorry.
context: Doesn't practice with just the two of us remind you of when we first met?\I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best!\Huh?\Aika?\I'm sorry, Akari.\I'm sorry. response:	What?!
context: I'd be lying if I said it doesn't feel a bit lonely, but...\We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best!\Huh?\Aika?\I'm sorry, Akari.\I'm sorry.\What?! response:	Why are you apologizing?
context: We just need to catch up to her, don't we?\All right! Let's focus on becoming Primas, and do our best!\Huh?\Aika?\I'm sorry, Akari.\I'm sorry.\What?!\Why are you apologizing? response:	Well...
context: All right! Let's focus on becoming Primas, and do our best!\Huh?\Aika?\I'm sorry, Akari.\I'm sorry.\What?!\Why are you apologizing?\Well... response:	You've been dreaming of this day and working hard for it, haven't you?
context: Huh?\Aika?\I'm sorry, Akari.\I'm sorry.\What?!\Why are you apologizing?\Well...\You've been dreaming of this day and working hard for it, haven't you? response:	Congratulations on your promotion to Prima, Aika!
context: Aika?\I'm sorry, Akari.\I'm sorry.\What?!\Why are you apologizing?\Well...\You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika! response:	Thanks. I knew you'd say that.
context: I'm sorry, Akari.\I'm sorry.\What?!\Why are you apologizing?\Well...\You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that. response:	Also...
context: I'm sorry.\What?!\Why are you apologizing?\Well...\You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that.\Also... response:	What?!
context: What?!\Why are you apologizing?\Well...\You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that.\Also...\What?! response:	Do you remember that day Oboeteimasuka ano hi o
context: Why are you apologizing?\Well...\You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that.\Also...\What?!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: Well...\You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that.\Also...\What?!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: You've been dreaming of this day and working hard for it, haven't you?\Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that.\Also...\What?!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Congratulations on your promotion to Prima, Aika!\Thanks. I knew you'd say that.\Also...\What?!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: Thanks. I knew you'd say that.\Also...\What?!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Also...\What?!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi
context: What?!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi response:	Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita response:	Surely, it's a spiral Kitto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare response:	The days passed by, each one filled with warmth Atataka na mainichi o kasanetara
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara response:	And before I knew it, off in the distance... Itsunomanika tooku ni
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni response:	Embraced By That Blue Sea And Wind...
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind... response:	My!
context: It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind...\My! response:	Aika was promoted to Prima?
context: As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind...\My!\Aika was promoted to Prima? response:	Yes!
context: Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind...\My!\Aika was promoted to Prima?\Yes! response:	My, my! Well, well!
context: Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind...\My!\Aika was promoted to Prima?\Yes!\My, my! Well, well! response:	That's wonderful news, isn't it?
context: The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind...\My!\Aika was promoted to Prima?\Yes!\My, my! Well, well!\That's wonderful news, isn't it? response:	Yes! Her alias is Rosen Queen.
context: And before I knew it, off in the distance... Itsunomanika tooku ni\Embraced By That Blue Sea And Wind...\My!\Aika was promoted to Prima?\Yes!\My, my! Well, well!\That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen. response:	The Queen of Roses!
context: Embraced By That Blue Sea And Wind...\My!\Aika was promoted to Prima?\Yes!\My, my! Well, well!\That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen.\The Queen of Roses! response:	So that's the one she chose.
context: My!\Aika was promoted to Prima?\Yes!\My, my! Well, well!\That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen.\The Queen of Roses!\So that's the one she chose. response:	Eh?
context: Aika was promoted to Prima?\Yes!\My, my! Well, well!\That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen.\The Queen of Roses!\So that's the one she chose.\Eh? response:	For a while now, Akira has been agonizing about when to give Aika her promotion exam.
context: Yes!\My, my! Well, well!\That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen.\The Queen of Roses!\So that's the one she chose.\Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam. response:	Not only does Aika have to become a Prima,
context: My, my! Well, well!\That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen.\The Queen of Roses!\So that's the one she chose.\Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima, response:	but she'll also have to carry Himeya someday, she said.
context: That's wonderful news, isn't it?\Yes! Her alias is Rosen Queen.\The Queen of Roses!\So that's the one she chose.\Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said. response:	Ah, I see.
context: Yes! Her alias is Rosen Queen.\The Queen of Roses!\So that's the one she chose.\Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said.\Ah, I see. response:	I'm sure Aika will be fine, though.
context: The Queen of Roses!\So that's the one she chose.\Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said.\Ah, I see.\I'm sure Aika will be fine, though. response:	Actually, I have another piece of good news.
context: So that's the one she chose.\Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said.\Ah, I see.\I'm sure Aika will be fine, though.\Actually, I have another piece of good news. response:	A new Himeya branch will be opening near the Santa Lucia Station,
context: Eh?\For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said.\Ah, I see.\I'm sure Aika will be fine, though.\Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station, response:	and Aika will be working there as the branch manager.
context: For a while now, Akira has been agonizing about when to give Aika her promotion exam.\Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said.\Ah, I see.\I'm sure Aika will be fine, though.\Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager. response:	So, she said she'll be really busy from now on.
context: Not only does Aika have to become a Prima,\but she'll also have to carry Himeya someday, she said.\Ah, I see.\I'm sure Aika will be fine, though.\Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on. response:	But, I wonder why?
context: but she'll also have to carry Himeya someday, she said.\Ah, I see.\I'm sure Aika will be fine, though.\Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on.\But, I wonder why? response:	She should have been really happy about it, but Aika was in tears.
context: Ah, I see.\I'm sure Aika will be fine, though.\Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on.\But, I wonder why?\She should have been really happy about it, but Aika was in tears. response:	Akari.
context: I'm sure Aika will be fine, though.\Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on.\But, I wonder why?\She should have been really happy about it, but Aika was in tears.\Akari. response:	Yes?
context: Actually, I have another piece of good news.\A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on.\But, I wonder why?\She should have been really happy about it, but Aika was in tears.\Akari.\Yes? response:	Your Prima Promotion Exam will take place tomorrow.
context: A new Himeya branch will be opening near the Santa Lucia Station,\and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on.\But, I wonder why?\She should have been really happy about it, but Aika was in tears.\Akari.\Yes?\Your Prima Promotion Exam will take place tomorrow. response:	Okay.
context: and Aika will be working there as the branch manager.\So, she said she'll be really busy from now on.\But, I wonder why?\She should have been really happy about it, but Aika was in tears.\Akari.\Yes?\Your Prima Promotion Exam will take place tomorrow.\Okay. response:	President Aria...
context: So, she said she'll be really busy from now on.\But, I wonder why?\She should have been really happy about it, but Aika was in tears.\Akari.\Yes?\Your Prima Promotion Exam will take place tomorrow.\Okay.\President Aria... response:	I feel kind of nervous.
context: But, I wonder why?\She should have been really happy about it, but Aika was in tears.\Akari.\Yes?\Your Prima Promotion Exam will take place tomorrow.\Okay.\President Aria...\I feel kind of nervous. response:	I can't fall asleep.
context: She should have been really happy about it, but Aika was in tears.\Akari.\Yes?\Your Prima Promotion Exam will take place tomorrow.\Okay.\President Aria...\I feel kind of nervous.\I can't fall asleep. response:	Ai, my Prima Promotion Exam will finally happen tomorrow.
context: Akari.\Yes?\Your Prima Promotion Exam will take place tomorrow.\Okay.\President Aria...\I feel kind of nervous.\I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow. response:	I'm too nervous to fall asleep,
context: Yes?\Your Prima Promotion Exam will take place tomorrow.\Okay.\President Aria...\I feel kind of nervous.\I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep, response:	so even though it's the middle of the night, I'm going to go practice for a bit.
context: Your Prima Promotion Exam will take place tomorrow.\Okay.\President Aria...\I feel kind of nervous.\I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit. response:	Akari, it's finally time, huh?
context: Okay.\President Aria...\I feel kind of nervous.\I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh? response:	I'm getting kind of nervous, too.
context: President Aria...\I feel kind of nervous.\I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh?\I'm getting kind of nervous, too. response:	Thank you for keeping me company, President Aria.
context: I feel kind of nervous.\I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh?\I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria. response:	Calm down. Just do what you always do during practice.
context: I can't fall asleep.\Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh?\I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice. response:	Huh? That voice...
context: Ai, my Prima Promotion Exam will finally happen tomorrow.\I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh?\I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice.\Huh? That voice... response:	I dropped it!
context: I'm too nervous to fall asleep,\so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh?\I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice.\Huh? That voice...\I dropped it! response:	Sideburns!
context: so even though it's the middle of the night, I'm going to go practice for a bit.\Akari, it's finally time, huh?\I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice.\Huh? That voice...\I dropped it!\Sideburns! response:	Hey, I'm in trouble!
context: Akari, it's finally time, huh?\I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice.\Huh? That voice...\I dropped it!\Sideburns!\Hey, I'm in trouble! response:	I dropped it! I can't believe I dropped it!
context: I'm getting kind of nervous, too.\Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice.\Huh? That voice...\I dropped it!\Sideburns!\Hey, I'm in trouble!\I dropped it! I can't believe I dropped it! response:	What happened?
context: Thank you for keeping me company, President Aria.\Calm down. Just do what you always do during practice.\Huh? That voice...\I dropped it!\Sideburns!\Hey, I'm in trouble!\I dropped it! I can't believe I dropped it!\What happened? response:	I was on the way back from my middle school reunion.
context: Calm down. Just do what you always do during practice.\Huh? That voice...\I dropped it!\Sideburns!\Hey, I'm in trouble!\I dropped it! I can't believe I dropped it!\What happened?\I was on the way back from my middle school reunion. response:	And then I realized my wallet was gone!
context: Huh? That voice...\I dropped it!\Sideburns!\Hey, I'm in trouble!\I dropped it! I can't believe I dropped it!\What happened?\I was on the way back from my middle school reunion.\And then I realized my wallet was gone! response:	I even had it tied to an elastic band! But I still dropped it!
context: I dropped it!\Sideburns!\Hey, I'm in trouble!\I dropped it! I can't believe I dropped it!\What happened?\I was on the way back from my middle school reunion.\And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it! response:	But hey, what are you doing out this late, Sideburns?
context: Sideburns!\Hey, I'm in trouble!\I dropped it! I can't believe I dropped it!\What happened?\I was on the way back from my middle school reunion.\And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns? response:	My Prima Promotion Exam is tomorrow. So...
context: Hey, I'm in trouble!\I dropped it! I can't believe I dropped it!\What happened?\I was on the way back from my middle school reunion.\And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So... response:	What? I see.
context: I dropped it! I can't believe I dropped it!\What happened?\I was on the way back from my middle school reunion.\And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So...\What? I see. response:	I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.
context: What happened?\I was on the way back from my middle school reunion.\And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So...\What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns. response:	Let's both do our best!
context: I was on the way back from my middle school reunion.\And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So...\What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best! response:	Akatsuki...
context: And then I realized my wallet was gone!\I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So...\What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best!\Akatsuki... response:	Right!
context: I even had it tied to an elastic band! But I still dropped it!\But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So...\What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best!\Akatsuki...\Right! response:	Hey, Akatsukin!
context: But hey, what are you doing out this late, Sideburns?\My Prima Promotion Exam is tomorrow. So...\What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best!\Akatsuki...\Right!\Hey, Akatsukin! response:	I found your wallet!
context: My Prima Promotion Exam is tomorrow. So...\What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best!\Akatsuki...\Right!\Hey, Akatsukin!\I found your wallet! response:	What?! Where was it?
context: What? I see.\I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best!\Akatsuki...\Right!\Hey, Akatsukin!\I found your wallet!\What?! Where was it? response:	It fell in the restaurant toilet!
context: I'll be taking my promotion exam soon, as well. So I know exactly how you feel, Sideburns.\Let's both do our best!\Akatsuki...\Right!\Hey, Akatsukin!\I found your wallet!\What?! Where was it?\It fell in the restaurant toilet! response:	It fell in?!
context: Let's both do our best!\Akatsuki...\Right!\Hey, Akatsukin!\I found your wallet!\What?! Where was it?\It fell in the restaurant toilet!\It fell in?! response:	It fell in!
context: Akatsuki...\Right!\Hey, Akatsukin!\I found your wallet!\What?! Where was it?\It fell in the restaurant toilet!\It fell in?!\It fell in! response:	Curse you, wallet! How dare you fall in such a place!
context: Right!\Hey, Akatsukin!\I found your wallet!\What?! Where was it?\It fell in the restaurant toilet!\It fell in?!\It fell in!\Curse you, wallet! How dare you fall in such a place! response:	Stupid thing! I can't even go to the bathroom in peace!
context: Hey, Akatsukin!\I found your wallet!\What?! Where was it?\It fell in the restaurant toilet!\It fell in?!\It fell in!\Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace! response:	Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!
context: I found your wallet!\What?! Where was it?\It fell in the restaurant toilet!\It fell in?!\It fell in!\Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace! response:	Calm down, Akatsukin! Calm down!
context: What?! Where was it?\It fell in the restaurant toilet!\It fell in?!\It fell in!\Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! response:	You little!
context: It fell in the restaurant toilet!\It fell in?!\It fell in!\Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down!\You little! response:	Huh? Akari! You little!
context: It fell in?!\It fell in!\Curse you, wallet! How dare you fall in such a place!\Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down! Stupid thing! I can't even go to the bathroom in peace!\Calm down, Akatsukin! Calm down!\You little!\Huh? Akari! You little! response:	You're practicing at this hour?
