context: He vanished? response:	This is Kami's doing, I'll bet.
context: It seems to be able to tell an opponent's strength and location.\Kuririn?\Right.\Here.\That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right?\So this here does that...\This is an incredible mechanism! response:	It's a little bit damaged, but I think I can do something with it.
context: Kuririn?\Right.\Here.\That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right?\So this here does that...\This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it. response:	You sure are incredible, Bulma- san.
context: Right.\Here.\That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right?\So this here does that...\This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san. response:	Once I take this back, study it, and make some alterations,
context: Here.\That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right?\So this here does that...\This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations, response:	we just might be able to find out
context: That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right?\So this here does that...\This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations,\we just might be able to find out response:	where Yamucha and Tenshinhan and the others are.
context: S- sure. H- he's not about to come back to life or anything, right?\So this here does that...\This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations,\we just might be able to find out\where Yamucha and Tenshinhan and the others are. response:	Whatever we do, let's go back to the Kame House for the time being.
context: So this here does that...\This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations,\we just might be able to find out\where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being. response:	Right. There's nothing more we can do here, huh?
context: This is an incredible mechanism!\It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations,\we just might be able to find out\where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh? response:	Okay then, right after that, I'll go looking for the Dragon Balls.
context: It's a little bit damaged, but I think I can do something with it.\You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations,\we just might be able to find out\where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls. response:	Piccolo, what do you plan to-
context: You sure are incredible, Bulma- san.\Once I take this back, study it, and make some alterations,\we just might be able to find out\where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to- response:	Just like a lizard's tail!
context: Once I take this back, study it, and make some alterations,\we just might be able to find out\where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to-\Just like a lizard's tail! response:	You guys search for the Dragon Balls.
context: we just might be able to find out\where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to-\Just like a lizard's tail!\You guys search for the Dragon Balls. response:	Kami doesn't have the kind of power it takes to restore life.
context: where Yamucha and Tenshinhan and the others are.\Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to-\Just like a lizard's tail!\You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life. response:	However, I'm going to be taking charge of Son Goku's son there.
context: Whatever we do, let's go back to the Kame House for the time being.\Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to-\Just like a lizard's tail!\You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there. response:	What?
context: Right. There's nothing more we can do here, huh?\Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to-\Just like a lizard's tail!\You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there.\What? response:	You're kidding, right!? What do you plan to do with him!?
context: Okay then, right after that, I'll go looking for the Dragon Balls.\Piccolo, what do you plan to-\Just like a lizard's tail!\You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there.\What?\You're kidding, right!? What do you plan to do with him!? response:	I know what it is!
context: Piccolo, what do you plan to-\Just like a lizard's tail!\You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there.\What?\You're kidding, right!? What do you plan to do with him!?\I know what it is! response:	You're planning to eat him, huh!?
context: Just like a lizard's tail!\You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there.\What?\You're kidding, right!? What do you plan to do with him!?\I know what it is!\You're planning to eat him, huh!? response:	Eat him!?
context: You guys search for the Dragon Balls.\Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there.\What?\You're kidding, right!? What do you plan to do with him!?\I know what it is!\You're planning to eat him, huh!?\Eat him!? response:	W- what are you going to do?
context: Kami doesn't have the kind of power it takes to restore life.\However, I'm going to be taking charge of Son Goku's son there.\What?\You're kidding, right!? What do you plan to do with him!?\I know what it is!\You're planning to eat him, huh!?\Eat him!?\W- what are you going to do? response:	This Gohan kid should give us some powerful fighting potential,
context: However, I'm going to be taking charge of Son Goku's son there.\What?\You're kidding, right!? What do you plan to do with him!?\I know what it is!\You're planning to eat him, huh!?\Eat him!?\W- what are you going to do?\This Gohan kid should give us some powerful fighting potential, response:	depending on the training he gets.
context: What?\You're kidding, right!? What do you plan to do with him!?\I know what it is!\You're planning to eat him, huh!?\Eat him!?\W- what are you going to do?\This Gohan kid should give us some powerful fighting potential,\depending on the training he gets. response:	For us to confront the two Saiyans who are to arrive here in another year,
context: You're kidding, right!? What do you plan to do with him!?\I know what it is!\You're planning to eat him, huh!?\Eat him!?\W- what are you going to do?\This Gohan kid should give us some powerful fighting potential,\depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year, response:	we're going to need his power.
context: I know what it is!\You're planning to eat him, huh!?\Eat him!?\W- what are you going to do?\This Gohan kid should give us some powerful fighting potential,\depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power. response:	To that end, I'm going to have to train him.
context: You're planning to eat him, huh!?\Eat him!?\W- what are you going to do?\This Gohan kid should give us some powerful fighting potential,\depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power.\To that end, I'm going to have to train him. response:	Y- you can't seriously be saying that...
context: Eat him!?\W- what are you going to do?\This Gohan kid should give us some powerful fighting potential,\depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power.\To that end, I'm going to have to train him.\Y- you can't seriously be saying that... response:	I'm not sure if that's going to be agreeable, you know?
context: W- what are you going to do?\This Gohan kid should give us some powerful fighting potential,\depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power.\To that end, I'm going to have to train him.\Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know? response:	We'll first have to take it up with Goku, as well as his mother, Chichi...
context: This Gohan kid should give us some powerful fighting potential,\depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power.\To that end, I'm going to have to train him.\Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi... response:	We don't have the time to spare for that!
context: depending on the training he gets.\For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power.\To that end, I'm going to have to train him.\Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that! response:	Keep up that bickering, and I'll take him away,
context: For us to confront the two Saiyans who are to arrive here in another year,\we're going to need his power.\To that end, I'm going to have to train him.\Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that!\Keep up that bickering, and I'll take him away, response:	even if it means killing you to do so!
context: we're going to need his power.\To that end, I'm going to have to train him.\Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that!\Keep up that bickering, and I'll take him away,\even if it means killing you to do so! response:	After a year has passed, I'll be coming to your house, together with this kid.
context: To that end, I'm going to have to train him.\Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that!\Keep up that bickering, and I'll take him away,\even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid. response:	When Son Goku comes back to life,
context: Y- you can't seriously be saying that...\I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that!\Keep up that bickering, and I'll take him away,\even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life, response:	tell him he can wait in expectation until then.
context: I'm not sure if that's going to be agreeable, you know?\We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that!\Keep up that bickering, and I'll take him away,\even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life,\tell him he can wait in expectation until then. response:	I don't know... I don't know about this...
context: We'll first have to take it up with Goku, as well as his mother, Chichi...\We don't have the time to spare for that!\Keep up that bickering, and I'll take him away,\even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life,\tell him he can wait in expectation until then.\I don't know... I don't know about this... response:	He's going to die! Even if he's lucky, he's still going to become a delinquent!
context: We don't have the time to spare for that!\Keep up that bickering, and I'll take him away,\even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life,\tell him he can wait in expectation until then.\I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent! response:	Goku and Chichi- san are going to be upset.
context: Keep up that bickering, and I'll take him away,\even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life,\tell him he can wait in expectation until then.\I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset. response:	And so, about that same time, in the Other World...
context: even if it means killing you to do so!\After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life,\tell him he can wait in expectation until then.\I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World... response:	Okay, okay, all of you spirits,
context: After a year has passed, I'll be coming to your house, together with this kid.\When Son Goku comes back to life,\tell him he can wait in expectation until then.\I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World...\Okay, okay, all of you spirits, response:	please remain orderly in line!
context: When Son Goku comes back to life,\tell him he can wait in expectation until then.\I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World...\Okay, okay, all of you spirits,\please remain orderly in line! response:	Okay, you there! Do not form two lines!
context: tell him he can wait in expectation until then.\I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World...\Okay, okay, all of you spirits,\please remain orderly in line!\Okay, you there! Do not form two lines! response:	Be sure to maintain one orderly line, please!
context: I don't know... I don't know about this...\He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World...\Okay, okay, all of you spirits,\please remain orderly in line!\Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please! response:	to ask that he be allowed to train.
context: He's going to die! Even if he's lucky, he's still going to become a delinquent!\Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World...\Okay, okay, all of you spirits,\please remain orderly in line!\Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please!\to ask that he be allowed to train. response:	If you please, Great King Yama- sama, allow him to call on Kaio- sama.
context: Goku and Chichi- san are going to be upset.\And so, about that same time, in the Other World...\Okay, okay, all of you spirits,\please remain orderly in line!\Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please!\to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama. response:	Son Goku, huh? Indeed, his achievements have been outstanding.
context: And so, about that same time, in the Other World...\Okay, okay, all of you spirits,\please remain orderly in line!\Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please!\to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding. response:	So you're asking that someone
context: Okay, okay, all of you spirits,\please remain orderly in line!\Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please!\to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone response:	who could go to heaven be allowed to put himself at risk of danger,
context: please remain orderly in line!\Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please!\to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger, response:	travel the Serpentine Road, and meet with Kaio- sama, then?
context: Okay, you there! Do not form two lines!\Be sure to maintain one orderly line, please!\to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then? response:	Yes.
context: Be sure to maintain one orderly line, please!\to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then?\Yes. response:	Say, does everyone come here when they die?
context: to ask that he be allowed to train.\If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then?\Yes.\Say, does everyone come here when they die? response:	That's right.
context: If you please, Great King Yama- sama, allow him to call on Kaio- sama.\Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then?\Yes.\Say, does everyone come here when they die?\That's right. response:	Even aliens?
context: Son Goku, huh? Indeed, his achievements have been outstanding.\So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then?\Yes.\Say, does everyone come here when they die?\That's right.\Even aliens? response:	Mm-hmm. All who die have judgment passed upon them here,
context: So you're asking that someone\who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then?\Yes.\Say, does everyone come here when they die?\That's right.\Even aliens?\Mm-hmm. All who die have judgment passed upon them here, response:	to determine whether they are to go to heaven or hell.
context: who could go to heaven be allowed to put himself at risk of danger,\travel the Serpentine Road, and meet with Kaio- sama, then?\Yes.\Say, does everyone come here when they die?\That's right.\Even aliens?\Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell. response:	Hey! Just a little bit before me, did a guy named Raditz wash up here?
context: travel the Serpentine Road, and meet with Kaio- sama, then?\Yes.\Say, does everyone come here when they die?\That's right.\Even aliens?\Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here? response:	N- now look here! You need to say did he come through?
context: Yes.\Say, does everyone come here when they die?\That's right.\Even aliens?\Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through? response:	He was here, all right. He was your brother, huh?
context: Say, does everyone come here when they die?\That's right.\Even aliens?\Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh? response:	He's now hell-bound, of course.
context: That's right.\Even aliens?\Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh?\He's now hell-bound, of course. response:	Didn't he raise a commotion?
context: Even aliens?\Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh?\He's now hell-bound, of course.\Didn't he raise a commotion? response:	He did, he did! He did raise a commotion, but I put him down!
context: Mm-hmm. All who die have judgment passed upon them here,\to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh?\He's now hell-bound, of course.\Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down! response:	You sure are strong, huh? You took care of somebody that awesome?
context: to determine whether they are to go to heaven or hell.\Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh?\He's now hell-bound, of course.\Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome? response:	Maybe I should get Pops here to train me!
context: Hey! Just a little bit before me, did a guy named Raditz wash up here?\N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh?\He's now hell-bound, of course.\Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me! response:	Shh! Your voice is too loud!
context: N- now look here! You need to say did he come through?\He was here, all right. He was your brother, huh?\He's now hell-bound, of course.\Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me!\Shh! Your voice is too loud! response:	You shouldn't be addressing Yama- sama in that tone!
context: He was here, all right. He was your brother, huh?\He's now hell-bound, of course.\Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me!\Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone! response:	But...
context: He's now hell-bound, of course.\Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me!\Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone!\But... response:	Keep quiet! Kaio- sama is even stronger.
context: Didn't he raise a commotion?\He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me!\Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone!\But...\Keep quiet! Kaio- sama is even stronger. response:	I heard that, Kami of Earth!
context: He did, he did! He did raise a commotion, but I put him down!\You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me!\Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone!\But...\Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth! response:	When you die, maybe I ought to send you to hell.
context: You sure are strong, huh? You took care of somebody that awesome?\Maybe I should get Pops here to train me!\Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone!\But...\Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell. response:	P- please forgive me! Surely, I never thought that would reach your ears!
context: Maybe I should get Pops here to train me!\Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone!\But...\Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears! response:	I should have expected as much of someone who has the devil's own ears.
context: Shh! Your voice is too loud!\You shouldn't be addressing Yama- sama in that tone!\But...\Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears. response:	Just kidding!
context: You shouldn't be addressing Yama- sama in that tone!\But...\Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears.\Just kidding! response:	You've got no sense of humor, huh?
context: But...\Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears.\Just kidding!\You've got no sense of humor, huh? response:	Nope.
context: Keep quiet! Kaio- sama is even stronger.\I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears.\Just kidding!\You've got no sense of humor, huh?\Nope. response:	Very well. If you wish to go that badly,
context: I heard that, Kami of Earth!\When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears.\Just kidding!\You've got no sense of humor, huh?\Nope.\Very well. If you wish to go that badly, response:	you may go to where Kaio- sama is.
context: When you die, maybe I ought to send you to hell.\P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears.\Just kidding!\You've got no sense of humor, huh?\Nope.\Very well. If you wish to go that badly,\you may go to where Kaio- sama is. response:	T- thank you very much.
context: P- please forgive me! Surely, I never thought that would reach your ears!\I should have expected as much of someone who has the devil's own ears.\Just kidding!\You've got no sense of humor, huh?\Nope.\Very well. If you wish to go that badly,\you may go to where Kaio- sama is.\T- thank you very much. response:	I'll call a guide over for you. Leave through there and wait for him.
context: I should have expected as much of someone who has the devil's own ears.\Just kidding!\You've got no sense of humor, huh?\Nope.\Very well. If you wish to go that badly,\you may go to where Kaio- sama is.\T- thank you very much.\I'll call a guide over for you. Leave through there and wait for him. response:	Okay!
context: Just kidding!\You've got no sense of humor, huh?\Nope.\Very well. If you wish to go that badly,\you may go to where Kaio- sama is.\T- thank you very much.\I'll call a guide over for you. Leave through there and wait for him.\Okay! response:	However... I can't be responsible for you if you fall from the Serpentine Road.
