context: Kansei University response:	Promises of Economic Cooperation
context: Go back to bed.\Did it snow overnight?\We're all in the same boat.\Go to sleep.\I'm worried.\Will I trip on the slope?\Will my shoelaces break?\You'll be fine. response:	You could even win your section.
context: Did it snow overnight?\We're all in the same boat.\Go to sleep.\I'm worried.\Will I trip on the slope?\Will my shoelaces break?\You'll be fine.\You could even win your section. response:	Can't you be more realistic in your encouragement?
context: We're all in the same boat.\Go to sleep.\I'm worried.\Will I trip on the slope?\Will my shoelaces break?\You'll be fine.\You could even win your section.\Can't you be more realistic in your encouragement? response:	You always do what you say you'll do.
context: Go to sleep.\I'm worried.\Will I trip on the slope?\Will my shoelaces break?\You'll be fine.\You could even win your section.\Can't you be more realistic in your encouragement?\You always do what you say you'll do. response:	That goes for both the bar exam and the Hakone Ekiden.
context: I'm worried.\Will I trip on the slope?\Will my shoelaces break?\You'll be fine.\You could even win your section.\Can't you be more realistic in your encouragement?\You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden. response:	The exam and the Ekiden are different.
context: Will I trip on the slope?\Will my shoelaces break?\You'll be fine.\You could even win your section.\Can't you be more realistic in your encouragement?\You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different. response:	Tell me you'll try to win your section.
context: Will my shoelaces break?\You'll be fine.\You could even win your section.\Can't you be more realistic in your encouragement?\You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different.\Tell me you'll try to win your section. response:	Okay, okay.
context: You'll be fine.\You could even win your section.\Can't you be more realistic in your encouragement?\You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different.\Tell me you'll try to win your section.\Okay, okay. response:	I'll go for it. I'll try to win.
context: You could even win your section.\Can't you be more realistic in your encouragement?\You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different.\Tell me you'll try to win your section.\Okay, okay.\I'll go for it. I'll try to win. response:	I promise I'll try.
context: Can't you be more realistic in your encouragement?\You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different.\Tell me you'll try to win your section.\Okay, okay.\I'll go for it. I'll try to win.\I promise I'll try. response:	Good. Then you'll be fine.
context: You always do what you say you'll do.\That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different.\Tell me you'll try to win your section.\Okay, okay.\I'll go for it. I'll try to win.\I promise I'll try.\Good. Then you'll be fine. response:	If only I could've supported you like this yesterday...
context: That goes for both the bar exam and the Hakone Ekiden.\The exam and the Ekiden are different.\Tell me you'll try to win your section.\Okay, okay.\I'll go for it. I'll try to win.\I promise I'll try.\Good. Then you'll be fine.\If only I could've supported you like this yesterday... response:	Huh?
context: The exam and the Ekiden are different.\Tell me you'll try to win your section.\Okay, okay.\I'll go for it. I'll try to win.\I promise I'll try.\Good. Then you'll be fine.\If only I could've supported you like this yesterday...\Huh? response:	I'm useless.
context: Tell me you'll try to win your section.\Okay, okay.\I'll go for it. I'll try to win.\I promise I'll try.\Good. Then you'll be fine.\If only I could've supported you like this yesterday...\Huh?\I'm useless. response:	Run with the Wind
context: Okay, okay.\I'll go for it. I'll try to win.\I promise I'll try.\Good. Then you'll be fine.\If only I could've supported you like this yesterday...\Huh?\I'm useless.\Run with the Wind response:	There's a 60 chance of rain in Kanto,
context: I'll go for it. I'll try to win.\I promise I'll try.\Good. Then you'll be fine.\If only I could've supported you like this yesterday...\Huh?\I'm useless.\Run with the Wind\There's a 60 chance of rain in Kanto, response:	Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later
context: I promise I'll try.\Good. Then you'll be fine.\If only I could've supported you like this yesterday...\Huh?\I'm useless.\Run with the Wind\There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later response:	Tokyo 3C/Snow, rain later Kofu 1C/Snow
context: Good. Then you'll be fine.\If only I could've supported you like this yesterday...\Huh?\I'm useless.\Run with the Wind\There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow response:	and it's snowing out on the plains.
context: If only I could've supported you like this yesterday...\Huh?\I'm useless.\Run with the Wind\There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains. response:	The current temperature in the city is 2 below zero.
context: Huh?\I'm useless.\Run with the Wind\There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains.\The current temperature in the city is 2 below zero. response:	There's a strong northeasterly wind,
context: I'm useless.\Run with the Wind\There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains.\The current temperature in the city is 2 below zero.\There's a strong northeasterly wind, response:	and we expect temperatures to remain below 5 this afternoon.
context: Run with the Wind\There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains.\The current temperature in the city is 2 below zero.\There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon. response:	Out for a jog? You're up early.
context: There's a 60 chance of rain in Kanto,\Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains.\The current temperature in the city is 2 below zero.\There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early. response:	Where's Haiji?
context: Utsunomiya 4C/Cloudy Yokohama 2C/Snow, cloudy later\Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains.\The current temperature in the city is 2 below zero.\There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early.\Where's Haiji? response:	In his room, probably. Why?
context: Tokyo 3C/Snow, rain later Kofu 1C/Snow\and it's snowing out on the plains.\The current temperature in the city is 2 below zero.\There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early.\Where's Haiji?\In his room, probably. Why? response:	It's unusual for him not to be running at this time.
context: and it's snowing out on the plains.\The current temperature in the city is 2 below zero.\There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early.\Where's Haiji?\In his room, probably. Why?\It's unusual for him not to be running at this time. response:	Oh, right...
context: The current temperature in the city is 2 below zero.\There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early.\Where's Haiji?\In his room, probably. Why?\It's unusual for him not to be running at this time.\Oh, right... response:	But he's Section 10.
context: There's a strong northeasterly wind,\and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early.\Where's Haiji?\In his room, probably. Why?\It's unusual for him not to be running at this time.\Oh, right...\But he's Section 10. response:	Prince and Hana said they're getting ready right now.
context: and we expect temperatures to remain below 5 this afternoon.\Out for a jog? You're up early.\Where's Haiji?\In his room, probably. Why?\It's unusual for him not to be running at this time.\Oh, right...\But he's Section 10.\Prince and Hana said they're getting ready right now. response:	Hana?!
context: Out for a jog? You're up early.\Where's Haiji?\In his room, probably. Why?\It's unusual for him not to be running at this time.\Oh, right...\But he's Section 10.\Prince and Hana said they're getting ready right now.\Hana?! response:	Wh-Who
context: Where's Haiji?\In his room, probably. Why?\It's unusual for him not to be running at this time.\Oh, right...\But he's Section 10.\Prince and Hana said they're getting ready right now.\Hana?!\Wh-Who response:	Who was that guy?!
context: In his room, probably. Why?\It's unusual for him not to be running at this time.\Oh, right...\But he's Section 10.\Prince and Hana said they're getting ready right now.\Hana?!\Wh-Who\Who was that guy?! response:	We're in a hotel!
context: It's unusual for him not to be running at this time.\Oh, right...\But he's Section 10.\Prince and Hana said they're getting ready right now.\Hana?!\Wh-Who\Who was that guy?!\We're in a hotel! response:	What are you talking about?
context: Oh, right...\But he's Section 10.\Prince and Hana said they're getting ready right now.\Hana?!\Wh-Who\Who was that guy?!\We're in a hotel!\What are you talking about? response:	He just came out of Haiji's room.
context: But he's Section 10.\Prince and Hana said they're getting ready right now.\Hana?!\Wh-Who\Who was that guy?!\We're in a hotel!\What are you talking about?\He just came out of Haiji's room. response:	What?
context: Prince and Hana said they're getting ready right now.\Hana?!\Wh-Who\Who was that guy?!\We're in a hotel!\What are you talking about?\He just came out of Haiji's room.\What? response:	He's my sports doctor.
context: Hana?!\Wh-Who\Who was that guy?!\We're in a hotel!\What are you talking about?\He just came out of Haiji's room.\What?\He's my sports doctor. response:	It's your leg, isn't it?
context: Wh-Who\Who was that guy?!\We're in a hotel!\What are you talking about?\He just came out of Haiji's room.\What?\He's my sports doctor.\It's your leg, isn't it? response:	Did something happen? How long has it been feeling off?
context: Who was that guy?!\We're in a hotel!\What are you talking about?\He just came out of Haiji's room.\What?\He's my sports doctor.\It's your leg, isn't it?\Did something happen? How long has it been feeling off? response:	There's nothing wrong with it. I was just being careful.
context: We're in a hotel!\What are you talking about?\He just came out of Haiji's room.\What?\He's my sports doctor.\It's your leg, isn't it?\Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful. response:	Haiji!
context: What are you talking about?\He just came out of Haiji's room.\What?\He's my sports doctor.\It's your leg, isn't it?\Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful.\Haiji! response:	Focus on yourself.
context: He just came out of Haiji's room.\What?\He's my sports doctor.\It's your leg, isn't it?\Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful.\Haiji!\Focus on yourself. response:	Aren't you going to run the best you ever have?
context: What?\He's my sports doctor.\It's your leg, isn't it?\Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful.\Haiji!\Focus on yourself.\Aren't you going to run the best you ever have? response:	Goodbye, Beautiful World
context: He's my sports doctor.\It's your leg, isn't it?\Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful.\Haiji!\Focus on yourself.\Aren't you going to run the best you ever have?\Goodbye, Beautiful World response:	New Year Sports Special Hakone Ekiden
context: It's your leg, isn't it?\Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful.\Haiji!\Focus on yourself.\Aren't you going to run the best you ever have?\Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden response:	After finishing second in the first half,
context: Did something happen? How long has it been feeling off?\There's nothing wrong with it. I was just being careful.\Haiji!\Focus on yourself.\Aren't you going to run the best you ever have?\Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden\After finishing second in the first half, response:	Fujioka Kazuma
context: There's nothing wrong with it. I was just being careful.\Haiji!\Focus on yourself.\Aren't you going to run the best you ever have?\Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden\After finishing second in the first half,\Fujioka Kazuma response:	it's no surprise that Fujioka Kazuma's running for Rikudo.
context: Haiji!\Focus on yourself.\Aren't you going to run the best you ever have?\Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden\After finishing second in the first half,\Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo. response:	Kurahara Kakeru
context: Focus on yourself.\Aren't you going to run the best you ever have?\Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden\After finishing second in the first half,\Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru response:	They must be hoping their captain will lead them to a comeback.
context: Aren't you going to run the best you ever have?\Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden\After finishing second in the first half,\Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru\They must be hoping their captain will lead them to a comeback. response:	Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners
context: Goodbye, Beautiful World\New Year Sports Special Hakone Ekiden\After finishing second in the first half,\Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru\They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners response:	Well, that's hardly surprising.
context: New Year Sports Special Hakone Ekiden\After finishing second in the first half,\Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru\They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising. response:	I'll tell the others.
context: After finishing second in the first half,\Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru\They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising.\I'll tell the others. response:	Sure.
context: Fujioka Kazuma\it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru\They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising.\I'll tell the others.\Sure. response:	As far as Rikudo's concerned, it's all going according to plan.
context: it's no surprise that Fujioka Kazuma's running for Rikudo.\Kurahara Kakeru\They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising.\I'll tell the others.\Sure.\As far as Rikudo's concerned, it's all going according to plan. response:	Haiji and I will go to Tsurumi.
context: Kurahara Kakeru\They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising.\I'll tell the others.\Sure.\As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi. response:	Kakeru and I will go to Totsuka.
context: They must be hoping their captain will lead them to a comeback.\Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising.\I'll tell the others.\Sure.\As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka. response:	I'll be waiting at Otemachi.
context: Tokyo-Hakone Round-Trip College Ekiden Race First Half Runners\Well, that's hardly surprising.\I'll tell the others.\Sure.\As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi. response:	I look forward to seeing you there.
context: Well, that's hardly surprising.\I'll tell the others.\Sure.\As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi.\I look forward to seeing you there. response:	Nine,
context: I'll tell the others.\Sure.\As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi.\I look forward to seeing you there.\Nine, response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Sure.\As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi.\I look forward to seeing you there.\Nine,\Tokyo-Hakone Round-Trip College Ekiden Race response:	eight, seven, six,
context: As far as Rikudo's concerned, it's all going according to plan.\Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi.\I look forward to seeing you there.\Nine,\Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six, response:	five,
context: Haiji and I will go to Tsurumi.\Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi.\I look forward to seeing you there.\Nine,\Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six,\five, response:	four,
context: Kakeru and I will go to Totsuka.\I'll be waiting at Otemachi.\I look forward to seeing you there.\Nine,\Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six,\five,\four, response:	three,
context: I'll be waiting at Otemachi.\I look forward to seeing you there.\Nine,\Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six,\five,\four,\three, response:	two, one.
context: I look forward to seeing you there.\Nine,\Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six,\five,\four,\three,\two, one. response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: Nine,\Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six,\five,\four,\three,\two, one.\Tokyo-Hakone Round-Trip College Ekiden Race response:	It's 8:00 AM. Boso Uni, who won the first half, has started.
context: Tokyo-Hakone Round-Trip College Ekiden Race\eight, seven, six,\five,\four,\three,\two, one.\Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started. response:	Second place finisher Rikudo will start 1:39 later.
context: eight, seven, six,\five,\four,\three,\two, one.\Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later. response:	Rikudo
context: five,\four,\three,\two, one.\Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later.\Rikudo response:	Universities who finished more than ten minutes behind Boso
context: four,\three,\two, one.\Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later.\Rikudo\Universities who finished more than ten minutes behind Boso response:	1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei
context: three,\two, one.\Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later.\Rikudo\Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei response:	will be starting together ten minutes from now.
context: two, one.\Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later.\Rikudo\Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now. response:	This year's simultaneous start includes Eurasia, Tokyo Academy,
context: Tokyo-Hakone Round-Trip College Ekiden Race\It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later.\Rikudo\Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy, response:	Shinsei, Kansei, and the Kanto Student Association.
context: It's 8:00 AM. Boso Uni, who won the first half, has started.\Second place finisher Rikudo will start 1:39 later.\Rikudo\Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association. response:	We finished 11:53 behind Boso.
context: Second place finisher Rikudo will start 1:39 later.\Rikudo\Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso. response:	We may be starting simultaneously ten minutes later,
context: Rikudo\Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later, response:	but that doesn't erase the 1:53 difference.
context: Universities who finished more than ten minutes behind Boso\1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference. response:	Our rank will ultimately be determined by the sum of our first and second half times.
context: 1 Boso Rikudo Daiwa Kitakan Kino Saikyo Do Yokohama Kofu Academy Nihonbashi Tech Tokyo Sport Manaka Teito Ake Jonan Bunka Kanagawa OP Student Association Eurasia Tokyo Academy Shinsei Kansei\will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times. response:	Odahara Relay Point
context: will be starting together ten minutes from now.\This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point response:	In other words, your apparent position at the end of the second half
context: This year's simultaneous start includes Eurasia, Tokyo Academy,\Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point\In other words, your apparent position at the end of the second half response:	can be different from your time-based rank.
context: Shinsei, Kansei, and the Kanto Student Association.\We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point\In other words, your apparent position at the end of the second half\can be different from your time-based rank. response:	Members running the second half have to do tedious calculations
context: We finished 11:53 behind Boso.\We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point\In other words, your apparent position at the end of the second half\can be different from your time-based rank.\Members running the second half have to do tedious calculations response:	while trying to improve their position.
context: We may be starting simultaneously ten minutes later,\but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point\In other words, your apparent position at the end of the second half\can be different from your time-based rank.\Members running the second half have to do tedious calculations\while trying to improve their position. response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: but that doesn't erase the 1:53 difference.\Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point\In other words, your apparent position at the end of the second half\can be different from your time-based rank.\Members running the second half have to do tedious calculations\while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race response:	The simultaneous start is soon!
context: Our rank will ultimately be determined by the sum of our first and second half times.\Odahara Relay Point\In other words, your apparent position at the end of the second half\can be different from your time-based rank.\Members running the second half have to do tedious calculations\while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race\The simultaneous start is soon! response:	All teams to the starting line!
context: Odahara Relay Point\In other words, your apparent position at the end of the second half\can be different from your time-based rank.\Members running the second half have to do tedious calculations\while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race\The simultaneous start is soon!\All teams to the starting line! response:	See you in Otemachi!
context: In other words, your apparent position at the end of the second half\can be different from your time-based rank.\Members running the second half have to do tedious calculations\while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race\The simultaneous start is soon!\All teams to the starting line!\See you in Otemachi! response:	See you in Otemachi!
context: can be different from your time-based rank.\Members running the second half have to do tedious calculations\while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race\The simultaneous start is soon!\All teams to the starting line!\See you in Otemachi!\See you in Otemachi! response:	The final five teams have started at once.
context: Members running the second half have to do tedious calculations\while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race\The simultaneous start is soon!\All teams to the starting line!\See you in Otemachi!\See you in Otemachi!\The final five teams have started at once. response:	All 21 runners are now engaged in the battle ending in Otemachi.
context: while trying to improve their position.\Tokyo-Hakone Round-Trip College Ekiden Race\The simultaneous start is soon!\All teams to the starting line!\See you in Otemachi!\See you in Otemachi!\The final five teams have started at once.\All 21 runners are now engaged in the battle ending in Otemachi. response:	They're speeding ahead.
