context: Kokoro response:	Kokoro
context: Everything is bright and green.\I considered myself the closest to you out of all of the guys.\But that's not necessarily true.\What did he mean by that?\How should I have responded to that?\I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with... response:	That was so rude of me!
context: I considered myself the closest to you out of all of the guys.\But that's not necessarily true.\What did he mean by that?\How should I have responded to that?\I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with...\That was so rude of me! response:	Man, he's so thick. He didn't even wait for you!
context: But that's not necessarily true.\What did he mean by that?\How should I have responded to that?\I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with...\That was so rude of me!\Man, he's so thick. He didn't even wait for you! response:	Seriously. Maybe it's all in my head.
context: What did he mean by that?\How should I have responded to that?\I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with...\That was so rude of me!\Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head. response:	It must be because of how he compliments you!
context: How should I have responded to that?\I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with...\That was so rude of me!\Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head.\It must be because of how he compliments you! response:	Maybe I really am... creepy.
context: I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with...\That was so rude of me!\Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head.\It must be because of how he compliments you!\Maybe I really am... creepy. response:	I want to have a natural relationship with Kazehaya... Like before.
context: K-Kazehaya only said that to me out of kindness,\but I overreacted and responded to him with...\That was so rude of me!\Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head.\It must be because of how he compliments you!\Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before. response:	But now I don't remember what that was like.
context: but I overreacted and responded to him with...\That was so rude of me!\Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head.\It must be because of how he compliments you!\Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like. response:	Hey, Kazehaya!
context: That was so rude of me!\Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head.\It must be because of how he compliments you!\Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like.\Hey, Kazehaya! response:	Are you doing anything during lunch break today?
context: Man, he's so thick. He didn't even wait for you!\Seriously. Maybe it's all in my head.\It must be because of how he compliments you!\Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like.\Hey, Kazehaya!\Are you doing anything during lunch break today? response:	It's so nice out I thought I'd go play soccer.
context: Seriously. Maybe it's all in my head.\It must be because of how he compliments you!\Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like.\Hey, Kazehaya!\Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer. response:	I'll show you my bicycle kick!
context: It must be because of how he compliments you!\Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like.\Hey, Kazehaya!\Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick! response:	Kazehaya and his buddies are going out to play soccer again?
context: Maybe I really am... creepy.\I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like.\Hey, Kazehaya!\Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again? response:	Hey Nakai, Negishi. Why don't you guys play with us?
context: I want to have a natural relationship with Kazehaya... Like before.\But now I don't remember what that was like.\Hey, Kazehaya!\Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us? response:	What?
context: But now I don't remember what that was like.\Hey, Kazehaya!\Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us?\What? response:	Really? You sure?
context: Hey, Kazehaya!\Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us?\What?\Really? You sure? response:	You guys are on the soccer team!
context: Are you doing anything during lunch break today?\It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us?\What?\Really? You sure?\You guys are on the soccer team! response:	I bet you guys are really good.
context: It's so nice out I thought I'd go play soccer.\I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us?\What?\Really? You sure?\You guys are on the soccer team!\I bet you guys are really good. response:	Teach us how to head the ball!
context: I'll show you my bicycle kick!\Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us?\What?\Really? You sure?\You guys are on the soccer team!\I bet you guys are really good.\Teach us how to head the ball! response:	Sure, of course!
context: Kazehaya and his buddies are going out to play soccer again?\Hey Nakai, Negishi. Why don't you guys play with us?\What?\Really? You sure?\You guys are on the soccer team!\I bet you guys are really good.\Teach us how to head the ball!\Sure, of course! response:	Awesome!
context: Hey Nakai, Negishi. Why don't you guys play with us?\What?\Really? You sure?\You guys are on the soccer team!\I bet you guys are really good.\Teach us how to head the ball!\Sure, of course!\Awesome! response:	Morning, Kuronuma.
context: What?\Really? You sure?\You guys are on the soccer team!\I bet you guys are really good.\Teach us how to head the ball!\Sure, of course!\Awesome!\Morning, Kuronuma. response:	Okay, be nice and friendly, natural...
context: Really? You sure?\You guys are on the soccer team!\I bet you guys are really good.\Teach us how to head the ball!\Sure, of course!\Awesome!\Morning, Kuronuma.\Okay, be nice and friendly, natural... response:	M-Morning.
context: You guys are on the soccer team!\I bet you guys are really good.\Teach us how to head the ball!\Sure, of course!\Awesome!\Morning, Kuronuma.\Okay, be nice and friendly, natural...\M-Morning. response:	Kazehaya?
context: I bet you guys are really good.\Teach us how to head the ball!\Sure, of course!\Awesome!\Morning, Kuronuma.\Okay, be nice and friendly, natural...\M-Morning.\Kazehaya? response:	What's up?
context: Teach us how to head the ball!\Sure, of course!\Awesome!\Morning, Kuronuma.\Okay, be nice and friendly, natural...\M-Morning.\Kazehaya?\What's up? response:	Kazehaya treated me the same way he treats everyone...
context: Sure, of course!\Awesome!\Morning, Kuronuma.\Okay, be nice and friendly, natural...\M-Morning.\Kazehaya?\What's up?\Kazehaya treated me the same way he treats everyone... response:	Wow. I guess that's why he's known as Mr. Lively.
context: Awesome!\Morning, Kuronuma.\Okay, be nice and friendly, natural...\M-Morning.\Kazehaya?\What's up?\Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively. response:	It's hard not to stare after being greeted with such a beaming smile.
context: Morning, Kuronuma.\Okay, be nice and friendly, natural...\M-Morning.\Kazehaya?\What's up?\Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile. response:	What are you talking about?
context: Okay, be nice and friendly, natural...\M-Morning.\Kazehaya?\What's up?\Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile.\What are you talking about? response:	Good morning, Sadako.
context: M-Morning.\Kazehaya?\What's up?\Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile.\What are you talking about?\Good morning, Sadako. response:	H-He's being so nice and friendly and normal this morning too!
context: Kazehaya?\What's up?\Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile.\What are you talking about?\Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too! response:	G-Good mo
context: What's up?\Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile.\What are you talking about?\Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too!\G-Good mo response:	No good, no good. You look so tense.
context: Kazehaya treated me the same way he treats everyone...\Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile.\What are you talking about?\Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too!\G-Good mo\No good, no good. You look so tense. response:	Morning
context: Wow. I guess that's why he's known as Mr. Lively.\It's hard not to stare after being greeted with such a beaming smile.\What are you talking about?\Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too!\G-Good mo\No good, no good. You look so tense.\Morning response:	Morning?
context: It's hard not to stare after being greeted with such a beaming smile.\What are you talking about?\Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too!\G-Good mo\No good, no good. You look so tense.\Morning\Morning? response:	Your forehead!
context: What are you talking about?\Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too!\G-Good mo\No good, no good. You look so tense.\Morning\Morning?\Your forehead! response:	MORNING!
context: Good morning, Sadako.\H-He's being so nice and friendly and normal this morning too!\G-Good mo\No good, no good. You look so tense.\Morning\Morning?\Your forehead!\MORNING! response:	No, more like this.
context: H-He's being so nice and friendly and normal this morning too!\G-Good mo\No good, no good. You look so tense.\Morning\Morning?\Your forehead!\MORNING!\No, more like this. response:	Morninggg!
context: G-Good mo\No good, no good. You look so tense.\Morning\Morning?\Your forehead!\MORNING!\No, more like this.\Morninggg! response:	Okay, your turn.
context: No good, no good. You look so tense.\Morning\Morning?\Your forehead!\MORNING!\No, more like this.\Morninggg!\Okay, your turn. response:	MoRn
context: Morning\Morning?\Your forehead!\MORNING!\No, more like this.\Morninggg!\Okay, your turn.\MoRn response:	Morninggg!!!
context: Morning?\Your forehead!\MORNING!\No, more like this.\Morninggg!\Okay, your turn.\MoRn\Morninggg!!! response:	They're at it again.
context: Your forehead!\MORNING!\No, more like this.\Morninggg!\Okay, your turn.\MoRn\Morninggg!!!\They're at it again. response:	Morning
context: MORNING!\No, more like this.\Morninggg!\Okay, your turn.\MoRn\Morninggg!!!\They're at it again.\Morning response:	He just doesn't quit.
context: No, more like this.\Morninggg!\Okay, your turn.\MoRn\Morninggg!!!\They're at it again.\Morning\He just doesn't quit. response:	Morning!
context: Morninggg!\Okay, your turn.\MoRn\Morninggg!!!\They're at it again.\Morning\He just doesn't quit.\Morning! response:	MORNING!
context: Okay, your turn.\MoRn\Morninggg!!!\They're at it again.\Morning\He just doesn't quit.\Morning!\MORNING! response:	Mooorning!
context: MoRn\Morninggg!!!\They're at it again.\Morning\He just doesn't quit.\Morning!\MORNING!\Mooorning! response:	MorninG!
context: Morninggg!!!\They're at it again.\Morning\He just doesn't quit.\Morning!\MORNING!\Mooorning!\MorninG! response:	What a pair.
context: They're at it again.\Morning\He just doesn't quit.\Morning!\MORNING!\Mooorning!\MorninG!\What a pair. response:	What is it?
context: Morning\He just doesn't quit.\Morning!\MORNING!\Mooorning!\MorninG!\What a pair.\What is it? response:	Nothing.
context: He just doesn't quit.\Morning!\MORNING!\Mooorning!\MorninG!\What a pair.\What is it?\Nothing. response:	Even if we think of it as kindness,
context: Morning!\MORNING!\Mooorning!\MorninG!\What a pair.\What is it?\Nothing.\Even if we think of it as kindness, response:	that kindness means something completely different to Kazehaya than it does to me.
context: MORNING!\Mooorning!\MorninG!\What a pair.\What is it?\Nothing.\Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me. response:	Ow, my stomach hurts...
context: Mooorning!\MorninG!\What a pair.\What is it?\Nothing.\Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts... response:	I've been kind of constipated lately...
context: MorninG!\What a pair.\What is it?\Nothing.\Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts...\I've been kind of constipated lately... response:	That sucks.
context: What a pair.\What is it?\Nothing.\Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts...\I've been kind of constipated lately...\That sucks. response:	Huh?
context: What is it?\Nothing.\Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts...\I've been kind of constipated lately...\That sucks.\Huh? response:	Where'd Sawako go?
context: Nothing.\Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts...\I've been kind of constipated lately...\That sucks.\Huh?\Where'd Sawako go? response:	Maybe the bathroom?
context: Even if we think of it as kindness,\that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts...\I've been kind of constipated lately...\That sucks.\Huh?\Where'd Sawako go?\Maybe the bathroom? response:	This is good for constipation...
context: that kindness means something completely different to Kazehaya than it does to me.\Ow, my stomach hurts...\I've been kind of constipated lately...\That sucks.\Huh?\Where'd Sawako go?\Maybe the bathroom?\This is good for constipation... response:	That plant?
context: Ow, my stomach hurts...\I've been kind of constipated lately...\That sucks.\Huh?\Where'd Sawako go?\Maybe the bathroom?\This is good for constipation...\That plant? response:	What should I do with that?
context: I've been kind of constipated lately...\That sucks.\Huh?\Where'd Sawako go?\Maybe the bathroom?\This is good for constipation...\That plant?\What should I do with that? response:	There she goes again.
context: That sucks.\Huh?\Where'd Sawako go?\Maybe the bathroom?\This is good for constipation...\That plant?\What should I do with that?\There she goes again. response:	Shota?
context: Huh?\Where'd Sawako go?\Maybe the bathroom?\This is good for constipation...\That plant?\What should I do with that?\There she goes again.\Shota? response:	Ready?
context: Where'd Sawako go?\Maybe the bathroom?\This is good for constipation...\That plant?\What should I do with that?\There she goes again.\Shota?\Ready? response:	Did something happen?
context: Maybe the bathroom?\This is good for constipation...\That plant?\What should I do with that?\There she goes again.\Shota?\Ready?\Did something happen? response:	You've been kinda down lately.
context: This is good for constipation...\That plant?\What should I do with that?\There she goes again.\Shota?\Ready?\Did something happen?\You've been kinda down lately. response:	Have I?
context: That plant?\What should I do with that?\There she goes again.\Shota?\Ready?\Did something happen?\You've been kinda down lately.\Have I? response:	Yeah.
context: What should I do with that?\There she goes again.\Shota?\Ready?\Did something happen?\You've been kinda down lately.\Have I?\Yeah. response:	Alright, next!
context: There she goes again.\Shota?\Ready?\Did something happen?\You've been kinda down lately.\Have I?\Yeah.\Alright, next! response:	We're in a new class now.
context: Shota?\Ready?\Did something happen?\You've been kinda down lately.\Have I?\Yeah.\Alright, next!\We're in a new class now. response:	I thought maybe it was normal to say something like that to help her get used to the new class.
context: Ready?\Did something happen?\You've been kinda down lately.\Have I?\Yeah.\Alright, next!\We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class. response:	But I made her even more uncomfortable instead.
context: Did something happen?\You've been kinda down lately.\Have I?\Yeah.\Alright, next!\We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead. response:	Who?
context: You've been kinda down lately.\Have I?\Yeah.\Alright, next!\We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead.\Who? response:	Kuronuma.
context: Have I?\Yeah.\Alright, next!\We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead.\Who?\Kuronuma. response:	Something like that...
context: Yeah.\Alright, next!\We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead.\Who?\Kuronuma.\Something like that... response:	What exactly did you
context: Alright, next!\We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead.\Who?\Kuronuma.\Something like that...\What exactly did you response:	I don't wanna talk about it.
context: We're in a new class now.\I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead.\Who?\Kuronuma.\Something like that...\What exactly did you\I don't wanna talk about it. response:	So selfish.
context: I thought maybe it was normal to say something like that to help her get used to the new class.\But I made her even more uncomfortable instead.\Who?\Kuronuma.\Something like that...\What exactly did you\I don't wanna talk about it.\So selfish. response:	That's right.
context: But I made her even more uncomfortable instead.\Who?\Kuronuma.\Something like that...\What exactly did you\I don't wanna talk about it.\So selfish.\That's right. response:	Deep down, I'm pretty selfish, possessive, and like things my way.
context: Who?\Kuronuma.\Something like that...\What exactly did you\I don't wanna talk about it.\So selfish.\That's right.\Deep down, I'm pretty selfish, possessive, and like things my way. response:	And quick tempered.
context: Kuronuma.\Something like that...\What exactly did you\I don't wanna talk about it.\So selfish.\That's right.\Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered. response:	That's why I'm just about out of patience.
context: Something like that...\What exactly did you\I don't wanna talk about it.\So selfish.\That's right.\Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered.\That's why I'm just about out of patience. response:	I know it'll be difficult for her, but I really want to stop beating around the bush.
context: What exactly did you\I don't wanna talk about it.\So selfish.\That's right.\Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered.\That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush. response:	This...
context: I don't wanna talk about it.\So selfish.\That's right.\Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered.\That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush.\This... response:	is your idea of patience?
context: So selfish.\That's right.\Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered.\That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush.\This...\is your idea of patience? response:	But it's not like I want to make things difficult for her.
context: That's right.\Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered.\That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush.\This...\is your idea of patience?\But it's not like I want to make things difficult for her. response:	I've tried so hard to get this far.
context: Deep down, I'm pretty selfish, possessive, and like things my way.\And quick tempered.\That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush.\This...\is your idea of patience?\But it's not like I want to make things difficult for her.\I've tried so hard to get this far. response:	But doesn't she like you too?
context: And quick tempered.\That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush.\This...\is your idea of patience?\But it's not like I want to make things difficult for her.\I've tried so hard to get this far.\But doesn't she like you too? response:	Well, she doesn't dislike me.
context: That's why I'm just about out of patience.\I know it'll be difficult for her, but I really want to stop beating around the bush.\This...\is your idea of patience?\But it's not like I want to make things difficult for her.\I've tried so hard to get this far.\But doesn't she like you too?\Well, she doesn't dislike me. response:	He didn't
context: I know it'll be difficult for her, but I really want to stop beating around the bush.\This...\is your idea of patience?\But it's not like I want to make things difficult for her.\I've tried so hard to get this far.\But doesn't she like you too?\Well, she doesn't dislike me.\He didn't response:	He got (courtesy) chocolate
context: This...\is your idea of patience?\But it's not like I want to make things difficult for her.\I've tried so hard to get this far.\But doesn't she like you too?\Well, she doesn't dislike me.\He didn't\He got (courtesy) chocolate response:	Kazehaya is just so lively!
context: is your idea of patience?\But it's not like I want to make things difficult for her.\I've tried so hard to get this far.\But doesn't she like you too?\Well, she doesn't dislike me.\He didn't\He got (courtesy) chocolate\Kazehaya is just so lively! response:	I admire him so much!
