context: Otani's Catastrophic Declaration!! response:	Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,
context: I was choking back tears when I finally decided not to go.\I see...\Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard.\Are you mocking me?\Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani. response:	Be quiet. Why are you following me, anyway?
context: I see...\Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard.\Are you mocking me?\Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani.\Be quiet. Why are you following me, anyway? response:	No need to put it like that.
context: Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard.\Are you mocking me?\Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani.\Be quiet. Why are you following me, anyway?\No need to put it like that. response:	I've got a reason for coming this way.
context: Exam students sure have it hard.\Are you mocking me?\Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani.\Be quiet. Why are you following me, anyway?\No need to put it like that.\I've got a reason for coming this way. response:	Huh? A reason?
context: Are you mocking me?\Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani.\Be quiet. Why are you following me, anyway?\No need to put it like that.\I've got a reason for coming this way.\Huh? A reason? response:	My part-time job.
context: Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani.\Be quiet. Why are you following me, anyway?\No need to put it like that.\I've got a reason for coming this way.\Huh? A reason?\My part-time job. response:	It's at the restaurant opposite your prep school.
context: If not, stop talking to me while I'm trying to memorize English vocabulary.\Wait, Otani.\Be quiet. Why are you following me, anyway?\No need to put it like that.\I've got a reason for coming this way.\Huh? A reason?\My part-time job.\It's at the restaurant opposite your prep school. response:	Why are you working all of a sudden?
context: Wait, Otani.\Be quiet. Why are you following me, anyway?\No need to put it like that.\I've got a reason for coming this way.\Huh? A reason?\My part-time job.\It's at the restaurant opposite your prep school.\Why are you working all of a sudden? response:	This way I can at least walk you halfway home.
context: Be quiet. Why are you following me, anyway?\No need to put it like that.\I've got a reason for coming this way.\Huh? A reason?\My part-time job.\It's at the restaurant opposite your prep school.\Why are you working all of a sudden?\This way I can at least walk you halfway home. response:	Your ribbon isn't on straight.
context: No need to put it like that.\I've got a reason for coming this way.\Huh? A reason?\My part-time job.\It's at the restaurant opposite your prep school.\Why are you working all of a sudden?\This way I can at least walk you halfway home.\Your ribbon isn't on straight. response:	Sorry.
context: I've got a reason for coming this way.\Huh? A reason?\My part-time job.\It's at the restaurant opposite your prep school.\Why are you working all of a sudden?\This way I can at least walk you halfway home.\Your ribbon isn't on straight.\Sorry. response:	And your nails are too long.
context: Huh? A reason?\My part-time job.\It's at the restaurant opposite your prep school.\Why are you working all of a sudden?\This way I can at least walk you halfway home.\Your ribbon isn't on straight.\Sorry.\And your nails are too long. response:	Please cut them before you come tomorrow.
context: My part-time job.\It's at the restaurant opposite your prep school.\Why are you working all of a sudden?\This way I can at least walk you halfway home.\Your ribbon isn't on straight.\Sorry.\And your nails are too long.\Please cut them before you come tomorrow. response:	And tie your hair up tighter.
context: It's at the restaurant opposite your prep school.\Why are you working all of a sudden?\This way I can at least walk you halfway home.\Your ribbon isn't on straight.\Sorry.\And your nails are too long.\Please cut them before you come tomorrow.\And tie your hair up tighter. response:	S-Sure!
context: Why are you working all of a sudden?\This way I can at least walk you halfway home.\Your ribbon isn't on straight.\Sorry.\And your nails are too long.\Please cut them before you come tomorrow.\And tie your hair up tighter.\S-Sure! response:	How strict.
context: This way I can at least walk you halfway home.\Your ribbon isn't on straight.\Sorry.\And your nails are too long.\Please cut them before you come tomorrow.\And tie your hair up tighter.\S-Sure!\How strict. response:	Kohori-kun!
context: Your ribbon isn't on straight.\Sorry.\And your nails are too long.\Please cut them before you come tomorrow.\And tie your hair up tighter.\S-Sure!\How strict.\Kohori-kun! response:	You're five minutes late.
context: Sorry.\And your nails are too long.\Please cut them before you come tomorrow.\And tie your hair up tighter.\S-Sure!\How strict.\Kohori-kun!\You're five minutes late. response:	I-I'm sorry.
context: And your nails are too long.\Please cut them before you come tomorrow.\And tie your hair up tighter.\S-Sure!\How strict.\Kohori-kun!\You're five minutes late.\I-I'm sorry. response:	And this is the second day in a row.
context: Please cut them before you come tomorrow.\And tie your hair up tighter.\S-Sure!\How strict.\Kohori-kun!\You're five minutes late.\I-I'm sorry.\And this is the second day in a row. response:	I was held back at school by my teacher.
context: And tie your hair up tighter.\S-Sure!\How strict.\Kohori-kun!\You're five minutes late.\I-I'm sorry.\And this is the second day in a row.\I was held back at school by my teacher. response:	I already told you to call ahead if that happens.
context: S-Sure!\How strict.\Kohori-kun!\You're five minutes late.\I-I'm sorry.\And this is the second day in a row.\I was held back at school by my teacher.\I already told you to call ahead if that happens. response:	Another part-timer? What a cute boy.
context: How strict.\Kohori-kun!\You're five minutes late.\I-I'm sorry.\And this is the second day in a row.\I was held back at school by my teacher.\I already told you to call ahead if that happens.\Another part-timer? What a cute boy. response:	An Umibouzu wristband!
context: Kohori-kun!\You're five minutes late.\I-I'm sorry.\And this is the second day in a row.\I was held back at school by my teacher.\I already told you to call ahead if that happens.\Another part-timer? What a cute boy.\An Umibouzu wristband! response:	And it's the limited edition one that you can only get at his concerts!
context: You're five minutes late.\I-I'm sorry.\And this is the second day in a row.\I was held back at school by my teacher.\I already told you to call ahead if that happens.\Another part-timer? What a cute boy.\An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts! response:	Don't tell me you're a huge Umibouzu fan too?
context: I-I'm sorry.\And this is the second day in a row.\I was held back at school by my teacher.\I already told you to call ahead if that happens.\Another part-timer? What a cute boy.\An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too? response:	A mega fan!
context: And this is the second day in a row.\I was held back at school by my teacher.\I already told you to call ahead if that happens.\Another part-timer? What a cute boy.\An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too?\A mega fan! response:	Same here!
context: I was held back at school by my teacher.\I already told you to call ahead if that happens.\Another part-timer? What a cute boy.\An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too?\A mega fan!\Same here! response:	It's awesome to have another Umibouzu fan around!
context: I already told you to call ahead if that happens.\Another part-timer? What a cute boy.\An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too?\A mega fan!\Same here!\It's awesome to have another Umibouzu fan around! response:	Yay! I'm feeling all excited now!
context: Another part-timer? What a cute boy.\An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too?\A mega fan!\Same here!\It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now! response:	Koizumi-san! Kohori-kun! Stop that right now!
context: An Umibouzu wristband!\And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too?\A mega fan!\Same here!\It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now! response:	Sorry...
context: And it's the limited edition one that you can only get at his concerts!\Don't tell me you're a huge Umibouzu fan too?\A mega fan!\Same here!\It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now!\Sorry... response:	These dumplings are just delicious!
context: Don't tell me you're a huge Umibouzu fan too?\A mega fan!\Same here!\It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now!\Sorry...\These dumplings are just delicious! response:	They really are.
context: A mega fan!\Same here!\It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now!\Sorry...\These dumplings are just delicious!\They really are. response:	You like them?
context: Same here!\It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now!\Sorry...\These dumplings are just delicious!\They really are.\You like them? response:	Of course. You made them, after all.
context: It's awesome to have another Umibouzu fan around!\Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now!\Sorry...\These dumplings are just delicious!\They really are.\You like them?\Of course. You made them, after all. response:	So what's this younger co-worker of yours like?
context: Yay! I'm feeling all excited now!\Koizumi-san! Kohori-kun! Stop that right now!\Sorry...\These dumplings are just delicious!\They really are.\You like them?\Of course. You made them, after all.\So what's this younger co-worker of yours like? response:	Oh, Kohori-kun?
context: Koizumi-san! Kohori-kun! Stop that right now!\Sorry...\These dumplings are just delicious!\They really are.\You like them?\Of course. You made them, after all.\So what's this younger co-worker of yours like?\Oh, Kohori-kun? response:	His face is kind of cute,
context: Sorry...\These dumplings are just delicious!\They really are.\You like them?\Of course. You made them, after all.\So what's this younger co-worker of yours like?\Oh, Kohori-kun?\His face is kind of cute, response:	Is your midget fetish speaking to you?
context: These dumplings are just delicious!\They really are.\You like them?\Of course. You made them, after all.\So what's this younger co-worker of yours like?\Oh, Kohori-kun?\His face is kind of cute,\Is your midget fetish speaking to you? response:	Who's got a midget fetish?!
context: They really are.\You like them?\Of course. You made them, after all.\So what's this younger co-worker of yours like?\Oh, Kohori-kun?\His face is kind of cute,\Is your midget fetish speaking to you?\Who's got a midget fetish?! response:	Come to think of it, Otani-kun seems to be working really hard.
context: You like them?\Of course. You made them, after all.\So what's this younger co-worker of yours like?\Oh, Kohori-kun?\His face is kind of cute,\Is your midget fetish speaking to you?\Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard. response:	No way. Otani-kun is?
context: Of course. You made them, after all.\So what's this younger co-worker of yours like?\Oh, Kohori-kun?\His face is kind of cute,\Is your midget fetish speaking to you?\Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is? response:	I heard he stayed behind yesterday,
context: So what's this younger co-worker of yours like?\Oh, Kohori-kun?\His face is kind of cute,\Is your midget fetish speaking to you?\Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is?\I heard he stayed behind yesterday, response:	Otani really is trying.
context: Oh, Kohori-kun?\His face is kind of cute,\Is your midget fetish speaking to you?\Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is?\I heard he stayed behind yesterday,\Otani really is trying. response:	That's correct.
context: His face is kind of cute,\Is your midget fetish speaking to you?\Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is?\I heard he stayed behind yesterday,\Otani really is trying.\That's correct. response:	N-No way!
context: Is your midget fetish speaking to you?\Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is?\I heard he stayed behind yesterday,\Otani really is trying.\That's correct.\N-No way! response:	Seriously?
context: Who's got a midget fetish?!\Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is?\I heard he stayed behind yesterday,\Otani really is trying.\That's correct.\N-No way!\Seriously? response:	At this rate, getting into college won't be impossible for him.
context: Come to think of it, Otani-kun seems to be working really hard.\No way. Otani-kun is?\I heard he stayed behind yesterday,\Otani really is trying.\That's correct.\N-No way!\Seriously?\At this rate, getting into college won't be impossible for him. response:	In comparison, I...
context: No way. Otani-kun is?\I heard he stayed behind yesterday,\Otani really is trying.\That's correct.\N-No way!\Seriously?\At this rate, getting into college won't be impossible for him.\In comparison, I... response:	Maybe I should just start doing this full time...
context: I heard he stayed behind yesterday,\Otani really is trying.\That's correct.\N-No way!\Seriously?\At this rate, getting into college won't be impossible for him.\In comparison, I...\Maybe I should just start doing this full time... response:	Koizumi-san!
context: Otani really is trying.\That's correct.\N-No way!\Seriously?\At this rate, getting into college won't be impossible for him.\In comparison, I...\Maybe I should just start doing this full time...\Koizumi-san! response:	I'm sorry.
context: That's correct.\N-No way!\Seriously?\At this rate, getting into college won't be impossible for him.\In comparison, I...\Maybe I should just start doing this full time...\Koizumi-san!\I'm sorry. response:	Sorr
context: N-No way!\Seriously?\At this rate, getting into college won't be impossible for him.\In comparison, I...\Maybe I should just start doing this full time...\Koizumi-san!\I'm sorry.\Sorr response:	Koizumi-san!
context: Seriously?\At this rate, getting into college won't be impossible for him.\In comparison, I...\Maybe I should just start doing this full time...\Koizumi-san!\I'm sorry.\Sorr\Koizumi-san! response:	You shouldn't always make such a fuss.
context: At this rate, getting into college won't be impossible for him.\In comparison, I...\Maybe I should just start doing this full time...\Koizumi-san!\I'm sorry.\Sorr\Koizumi-san!\You shouldn't always make such a fuss. response:	Man... I really can't do anything.
context: In comparison, I...\Maybe I should just start doing this full time...\Koizumi-san!\I'm sorry.\Sorr\Koizumi-san!\You shouldn't always make such a fuss.\Man... I really can't do anything. response:	And I was thinking of doing this full time?
context: Maybe I should just start doing this full time...\Koizumi-san!\I'm sorry.\Sorr\Koizumi-san!\You shouldn't always make such a fuss.\Man... I really can't do anything.\And I was thinking of doing this full time? response:	I'm sorry.
context: Koizumi-san!\I'm sorry.\Sorr\Koizumi-san!\You shouldn't always make such a fuss.\Man... I really can't do anything.\And I was thinking of doing this full time?\I'm sorry. response:	Good morning!
context: I'm sorry.\Sorr\Koizumi-san!\You shouldn't always make such a fuss.\Man... I really can't do anything.\And I was thinking of doing this full time?\I'm sorry.\Good morning! response:	I think it needs more salt.
context: Sorr\Koizumi-san!\You shouldn't always make such a fuss.\Man... I really can't do anything.\And I was thinking of doing this full time?\I'm sorry.\Good morning!\I think it needs more salt. response:	It was too sweet, was it?
context: Koizumi-san!\You shouldn't always make such a fuss.\Man... I really can't do anything.\And I was thinking of doing this full time?\I'm sorry.\Good morning!\I think it needs more salt.\It was too sweet, was it? response:	I don't get this part.
context: You shouldn't always make such a fuss.\Man... I really can't do anything.\And I was thinking of doing this full time?\I'm sorry.\Good morning!\I think it needs more salt.\It was too sweet, was it?\I don't get this part. response:	Let's see...
context: Man... I really can't do anything.\And I was thinking of doing this full time?\I'm sorry.\Good morning!\I think it needs more salt.\It was too sweet, was it?\I don't get this part.\Let's see... response:	Use this formula...
context: And I was thinking of doing this full time?\I'm sorry.\Good morning!\I think it needs more salt.\It was too sweet, was it?\I don't get this part.\Let's see...\Use this formula... response:	Wh-What's up with all of you?!
context: I'm sorry.\Good morning!\I think it needs more salt.\It was too sweet, was it?\I don't get this part.\Let's see...\Use this formula...\Wh-What's up with all of you?! response:	It's like you're all ready to fly off into the future!
context: Good morning!\I think it needs more salt.\It was too sweet, was it?\I don't get this part.\Let's see...\Use this formula...\Wh-What's up with all of you?!\It's like you're all ready to fly off into the future! response:	Oh, Risa, you're here? Good morning.
context: I think it needs more salt.\It was too sweet, was it?\I don't get this part.\Let's see...\Use this formula...\Wh-What's up with all of you?!\It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning. response:	Maybe I should add yams to the recipe.
context: It was too sweet, was it?\I don't get this part.\Let's see...\Use this formula...\Wh-What's up with all of you?!\It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe. response:	Darling, you're a genius!
context: I don't get this part.\Let's see...\Use this formula...\Wh-What's up with all of you?!\It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe.\Darling, you're a genius! response:	You'll definitely become a great artisan.
context: Let's see...\Use this formula...\Wh-What's up with all of you?!\It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe.\Darling, you're a genius!\You'll definitely become a great artisan. response:	Wh-What's going on?
context: Use this formula...\Wh-What's up with all of you?!\It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe.\Darling, you're a genius!\You'll definitely become a great artisan.\Wh-What's going on? response:	Somehow... somehow...
context: Wh-What's up with all of you?!\It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe.\Darling, you're a genius!\You'll definitely become a great artisan.\Wh-What's going on?\Somehow... somehow... response:	My face looks terrible.
context: It's like you're all ready to fly off into the future!\Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe.\Darling, you're a genius!\You'll definitely become a great artisan.\Wh-What's going on?\Somehow... somehow...\My face looks terrible. response:	I'll get yelled at again.
context: Oh, Risa, you're here? Good morning.\Maybe I should add yams to the recipe.\Darling, you're a genius!\You'll definitely become a great artisan.\Wh-What's going on?\Somehow... somehow...\My face looks terrible.\I'll get yelled at again. response:	Smile, smile.
context: Maybe I should add yams to the recipe.\Darling, you're a genius!\You'll definitely become a great artisan.\Wh-What's going on?\Somehow... somehow...\My face looks terrible.\I'll get yelled at again.\Smile, smile. response:	What did you come here for?!
context: Darling, you're a genius!\You'll definitely become a great artisan.\Wh-What's going on?\Somehow... somehow...\My face looks terrible.\I'll get yelled at again.\Smile, smile.\What did you come here for?! response:	You're saying What did you come here for to your customers?
context: You'll definitely become a great artisan.\Wh-What's going on?\Somehow... somehow...\My face looks terrible.\I'll get yelled at again.\Smile, smile.\What did you come here for?!\You're saying What did you come here for to your customers? response:	How rude.
context: Wh-What's going on?\Somehow... somehow...\My face looks terrible.\I'll get yelled at again.\Smile, smile.\What did you come here for?!\You're saying What did you come here for to your customers?\How rude. response:	Working hard?
context: Somehow... somehow...\My face looks terrible.\I'll get yelled at again.\Smile, smile.\What did you come here for?!\You're saying What did you come here for to your customers?\How rude.\Working hard? response:	What is this? Did you come here just to laugh at me?
context: My face looks terrible.\I'll get yelled at again.\Smile, smile.\What did you come here for?!\You're saying What did you come here for to your customers?\How rude.\Working hard?\What is this? Did you come here just to laugh at me? response:	Excuse me!
context: I'll get yelled at again.\Smile, smile.\What did you come here for?!\You're saying What did you come here for to your customers?\How rude.\Working hard?\What is this? Did you come here just to laugh at me?\Excuse me! response:	This employee's attitude is terrible.
context: Smile, smile.\What did you come here for?!\You're saying What did you come here for to your customers?\How rude.\Working hard?\What is this? Did you come here just to laugh at me?\Excuse me!\This employee's attitude is terrible. response:	Please let me know what you would like to order.
context: What did you come here for?!\You're saying What did you come here for to your customers?\How rude.\Working hard?\What is this? Did you come here just to laugh at me?\Excuse me!\This employee's attitude is terrible.\Please let me know what you would like to order. response:	How weird!
context: You're saying What did you come here for to your customers?\How rude.\Working hard?\What is this? Did you come here just to laugh at me?\Excuse me!\This employee's attitude is terrible.\Please let me know what you would like to order.\How weird! response:	How funny!
context: How rude.\Working hard?\What is this? Did you come here just to laugh at me?\Excuse me!\This employee's attitude is terrible.\Please let me know what you would like to order.\How weird!\How funny! response:	At least me finish.
context: Working hard?\What is this? Did you come here just to laugh at me?\Excuse me!\This employee's attitude is terrible.\Please let me know what you would like to order.\How weird!\How funny!\At least me finish. response:	P-P-Please go ahead...
context: What is this? Did you come here just to laugh at me?\Excuse me!\This employee's attitude is terrible.\Please let me know what you would like to order.\How weird!\How funny!\At least me finish.\P-P-Please go ahead... response:	Hey, that hurt, you idiot! I'm a customer, you know.
context: Excuse me!\This employee's attitude is terrible.\Please let me know what you would like to order.\How weird!\How funny!\At least me finish.\P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know. response:	What happened to studying?
context: This employee's attitude is terrible.\Please let me know what you would like to order.\How weird!\How funny!\At least me finish.\P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying? response:	I am.
context: Please let me know what you would like to order.\How weird!\How funny!\At least me finish.\P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying?\I am. response:	I'm going to prep class in a bit.
context: How weird!\How funny!\At least me finish.\P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying?\I am.\I'm going to prep class in a bit. response:	They even hold them on Sundays?
context: How funny!\At least me finish.\P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying?\I am.\I'm going to prep class in a bit.\They even hold them on Sundays? response:	There are no weekends for exam students.
context: At least me finish.\P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying?\I am.\I'm going to prep class in a bit.\They even hold them on Sundays?\There are no weekends for exam students. response:	Especially not for the ones with bad grades.
context: P-P-Please go ahead...\Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying?\I am.\I'm going to prep class in a bit.\They even hold them on Sundays?\There are no weekends for exam students.\Especially not for the ones with bad grades. response:	Exactly, exact
context: Hey, that hurt, you idiot! I'm a customer, you know.\What happened to studying?\I am.\I'm going to prep class in a bit.\They even hold them on Sundays?\There are no weekends for exam students.\Especially not for the ones with bad grades.\Exactly, exact response:	Hey. Enough, enough.
context: What happened to studying?\I am.\I'm going to prep class in a bit.\They even hold them on Sundays?\There are no weekends for exam students.\Especially not for the ones with bad grades.\Exactly, exact\Hey. Enough, enough. response:	Say Risa, where's that cute guy you mentioned last time?
context: I am.\I'm going to prep class in a bit.\They even hold them on Sundays?\There are no weekends for exam students.\Especially not for the ones with bad grades.\Exactly, exact\Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time? response:	Not working today?
context: I'm going to prep class in a bit.\They even hold them on Sundays?\There are no weekends for exam students.\Especially not for the ones with bad grades.\Exactly, exact\Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time?\Not working today? response:	Oh, Kohori-kun? Doesn't look like he's here today.
context: They even hold them on Sundays?\There are no weekends for exam students.\Especially not for the ones with bad grades.\Exactly, exact\Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time?\Not working today?\Oh, Kohori-kun? Doesn't look like he's here today. response:	Who is this guy?
context: There are no weekends for exam students.\Especially not for the ones with bad grades.\Exactly, exact\Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time?\Not working today?\Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy? response:	Midget fetishist Risa's next target.
context: Especially not for the ones with bad grades.\Exactly, exact\Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time?\Not working today?\Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy?\Midget fetishist Risa's next target. response:	Midget fetishist?
context: Exactly, exact\Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time?\Not working today?\Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy?\Midget fetishist Risa's next target.\Midget fetishist? response:	I told you it's not like that!
context: Hey. Enough, enough.\Say Risa, where's that cute guy you mentioned last time?\Not working today?\Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy?\Midget fetishist Risa's next target.\Midget fetishist?\I told you it's not like that! response:	What? So that guy is short too?
context: Say Risa, where's that cute guy you mentioned last time?\Not working today?\Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy?\Midget fetishist Risa's next target.\Midget fetishist?\I told you it's not like that!\What? So that guy is short too? response:	No! That's not important!
context: Not working today?\Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy?\Midget fetishist Risa's next target.\Midget fetishist?\I told you it's not like that!\What? So that guy is short too?\No! That's not important! response:	He's a huge Umibouzu fan.
context: Oh, Kohori-kun? Doesn't look like he's here today.\Who is this guy?\Midget fetishist Risa's next target.\Midget fetishist?\I told you it's not like that!\What? So that guy is short too?\No! That's not important!\He's a huge Umibouzu fan. response:	No way! Seriously?
context: Who is this guy?\Midget fetishist Risa's next target.\Midget fetishist?\I told you it's not like that!\What? So that guy is short too?\No! That's not important!\He's a huge Umibouzu fan.\No way! Seriously? response:	I'll get yelled at if I keep talking.
