context: Whoa! response:	A Rising Meowstball!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Good work, Rin.
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Good work, Rin. response:	You're growing into a real pitcher now.
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Good work, Rin.\You're growing into a real pitcher now. response:	Really?
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Good work, Rin.\You're growing into a real pitcher now.\Really? response:	The locker room's gotten pretty messy.
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Good work, Rin.\You're growing into a real pitcher now.\Really?\The locker room's gotten pretty messy. response:	I know! Let's all clean up this room!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Good work, Rin.\You're growing into a real pitcher now.\Really?\The locker room's gotten pretty messy.\I know! Let's all clean up this room! response:	Let's have a cleaning party!
context: Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Good work, Rin.\You're growing into a real pitcher now.\Really?\The locker room's gotten pretty messy.\I know! Let's all clean up this room!\Let's have a cleaning party! response:	Wafu!
context: Rin learned the Purrveball Slidepurr!\Good work, Rin.\You're growing into a real pitcher now.\Really?\The locker room's gotten pretty messy.\I know! Let's all clean up this room!\Let's have a cleaning party!\Wafu! response:	Let's cleaning!
context: Good work, Rin.\You're growing into a real pitcher now.\Really?\The locker room's gotten pretty messy.\I know! Let's all clean up this room!\Let's have a cleaning party!\Wafu!\Let's cleaning! response:	No.
context: You're growing into a real pitcher now.\Really?\The locker room's gotten pretty messy.\I know! Let's all clean up this room!\Let's have a cleaning party!\Wafu!\Let's cleaning!\No. response:	Dirt is the essence of youth.
context: Really?\The locker room's gotten pretty messy.\I know! Let's all clean up this room!\Let's have a cleaning party!\Wafu!\Let's cleaning!\No.\Dirt is the essence of youth. response:	You just don't want to clean.
context: The locker room's gotten pretty messy.\I know! Let's all clean up this room!\Let's have a cleaning party!\Wafu!\Let's cleaning!\No.\Dirt is the essence of youth.\You just don't want to clean. response:	How did you know that?
context: I know! Let's all clean up this room!\Let's have a cleaning party!\Wafu!\Let's cleaning!\No.\Dirt is the essence of youth.\You just don't want to clean.\How did you know that? response:	I'm about to hit the best part of the story.
context: Let's have a cleaning party!\Wafu!\Let's cleaning!\No.\Dirt is the essence of youth.\You just don't want to clean.\How did you know that?\I'm about to hit the best part of the story. response:	I don't wanna clean either.
context: Wafu!\Let's cleaning!\No.\Dirt is the essence of youth.\You just don't want to clean.\How did you know that?\I'm about to hit the best part of the story.\I don't wanna clean either. response:	It's not like you'd die with a dirty room.
context: Let's cleaning!\No.\Dirt is the essence of youth.\You just don't want to clean.\How did you know that?\I'm about to hit the best part of the story.\I don't wanna clean either.\It's not like you'd die with a dirty room. response:	On the other hand, you might die if you clean!
context: No.\Dirt is the essence of youth.\You just don't want to clean.\How did you know that?\I'm about to hit the best part of the story.\I don't wanna clean either.\It's not like you'd die with a dirty room.\On the other hand, you might die if you clean! response:	How does that work?
context: Dirt is the essence of youth.\You just don't want to clean.\How did you know that?\I'm about to hit the best part of the story.\I don't wanna clean either.\It's not like you'd die with a dirty room.\On the other hand, you might die if you clean!\How does that work? response:	For example...
context: You just don't want to clean.\How did you know that?\I'm about to hit the best part of the story.\I don't wanna clean either.\It's not like you'd die with a dirty room.\On the other hand, you might die if you clean!\How does that work?\For example... response:	Cleaning, cleaning!
context: How did you know that?\I'm about to hit the best part of the story.\I don't wanna clean either.\It's not like you'd die with a dirty room.\On the other hand, you might die if you clean!\How does that work?\For example...\Cleaning, cleaning! response:	Whoops, I tripped!
context: I'm about to hit the best part of the story.\I don't wanna clean either.\It's not like you'd die with a dirty room.\On the other hand, you might die if you clean!\How does that work?\For example...\Cleaning, cleaning!\Whoops, I tripped! response:	And then the lockers fall on top of you! Bang!
context: I don't wanna clean either.\It's not like you'd die with a dirty room.\On the other hand, you might die if you clean!\How does that work?\For example...\Cleaning, cleaning!\Whoops, I tripped!\And then the lockers fall on top of you! Bang! response:	The building collapses!
context: It's not like you'd die with a dirty room.\On the other hand, you might die if you clean!\How does that work?\For example...\Cleaning, cleaning!\Whoops, I tripped!\And then the lockers fall on top of you! Bang!\The building collapses! response:	Oh no! Run away!
context: On the other hand, you might die if you clean!\How does that work?\For example...\Cleaning, cleaning!\Whoops, I tripped!\And then the lockers fall on top of you! Bang!\The building collapses!\Oh no! Run away! response:	Dragon Lines
context: How does that work?\For example...\Cleaning, cleaning!\Whoops, I tripped!\And then the lockers fall on top of you! Bang!\The building collapses!\Oh no! Run away!\Dragon Lines response:	Dragon Lines
context: For example...\Cleaning, cleaning!\Whoops, I tripped!\And then the lockers fall on top of you! Bang!\The building collapses!\Oh no! Run away!\Dragon Lines\Dragon Lines response:	Turns out the room stands atop the convergence of all dragon lines!
context: Cleaning, cleaning!\Whoops, I tripped!\And then the lockers fall on top of you! Bang!\The building collapses!\Oh no! Run away!\Dragon Lines\Dragon Lines\Turns out the room stands atop the convergence of all dragon lines! response:	Tectonic Plate Shift
context: Whoops, I tripped!\And then the lockers fall on top of you! Bang!\The building collapses!\Oh no! Run away!\Dragon Lines\Dragon Lines\Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift response:	Tectonic Plate Shift
context: And then the lockers fall on top of you! Bang!\The building collapses!\Oh no! Run away!\Dragon Lines\Dragon Lines\Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift\Tectonic Plate Shift response:	Tectonic plates shift, and the seven continents are torn asunder!
context: The building collapses!\Oh no! Run away!\Dragon Lines\Dragon Lines\Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift\Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder! response:	Tectonic Plate Shift
context: Oh no! Run away!\Dragon Lines\Dragon Lines\Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift\Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift response:	Tectonic Plate Shift
context: Dragon Lines\Dragon Lines\Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift\Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift\Tectonic Plate Shift response:	What?!
context: Dragon Lines\Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift\Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift\Tectonic Plate Shift\What?! response:	What will become of the Earth?!
context: Turns out the room stands atop the convergence of all dragon lines!\Tectonic Plate Shift\Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift\Tectonic Plate Shift\What?!\What will become of the Earth?! response:	And then the poles shift, and a Grand Cross occurs!
context: Tectonic Plate Shift\Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift\Tectonic Plate Shift\What?!\What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs! response:	Boom-ba-ba-kraka-ba-baom!
context: Tectonic Plate Shift\Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift\Tectonic Plate Shift\What?!\What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom! response:	And so, cleaning destroyed the Earth.
context: Tectonic plates shift, and the seven continents are torn asunder!\Tectonic Plate Shift\Tectonic Plate Shift\What?!\What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth. response:	Part One
context: Tectonic Plate Shift\Tectonic Plate Shift\What?!\What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth.\Part One response:	Part One
context: Tectonic Plate Shift\What?!\What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth.\Part One\Part One response:	The End
context: What?!\What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth.\Part One\Part One\The End response:	The End
context: What will become of the Earth?!\And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth.\Part One\Part One\The End\The End response:	I filled the bucket with water.
context: And then the poles shift, and a Grand Cross occurs!\Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth.\Part One\Part One\The End\The End\I filled the bucket with water. response:	This is completely covered in mold! Yuck!
context: Boom-ba-ba-kraka-ba-baom!\And so, cleaning destroyed the Earth.\Part One\Part One\The End\The End\I filled the bucket with water.\This is completely covered in mold! Yuck! response:	Mopping! Mopping!
context: And so, cleaning destroyed the Earth.\Part One\Part One\The End\The End\I filled the bucket with water.\This is completely covered in mold! Yuck!\Mopping! Mopping! response:	Man, you guys aren't any fun.
context: Part One\Part One\The End\The End\I filled the bucket with water.\This is completely covered in mold! Yuck!\Mopping! Mopping!\Man, you guys aren't any fun. response:	I would clean too, if Kudryavka-kun were to wear a maid outfit.
context: Part One\The End\The End\I filled the bucket with water.\This is completely covered in mold! Yuck!\Mopping! Mopping!\Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit. response:	Wh-What?
context: The End\The End\I filled the bucket with water.\This is completely covered in mold! Yuck!\Mopping! Mopping!\Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What? response:	Or perhaps Naoe-san could wear one.
context: The End\I filled the bucket with water.\This is completely covered in mold! Yuck!\Mopping! Mopping!\Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What?\Or perhaps Naoe-san could wear one. response:	I see.
context: I filled the bucket with water.\This is completely covered in mold! Yuck!\Mopping! Mopping!\Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What?\Or perhaps Naoe-san could wear one.\I see. response:	That's something to keep in mind.
context: This is completely covered in mold! Yuck!\Mopping! Mopping!\Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What?\Or perhaps Naoe-san could wear one.\I see.\That's something to keep in mind. response:	No way!
context: Mopping! Mopping!\Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What?\Or perhaps Naoe-san could wear one.\I see.\That's something to keep in mind.\No way! response:	But it'd be cute.
context: Man, you guys aren't any fun.\I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What?\Or perhaps Naoe-san could wear one.\I see.\That's something to keep in mind.\No way!\But it'd be cute. response:	You won't wear it?
context: I would clean too, if Kudryavka-kun were to wear a maid outfit.\Wh-What?\Or perhaps Naoe-san could wear one.\I see.\That's something to keep in mind.\No way!\But it'd be cute.\You won't wear it? response:	Nope.
context: Wh-What?\Or perhaps Naoe-san could wear one.\I see.\That's something to keep in mind.\No way!\But it'd be cute.\You won't wear it?\Nope. response:	That's too bad.
context: Or perhaps Naoe-san could wear one.\I see.\That's something to keep in mind.\No way!\But it'd be cute.\You won't wear it?\Nope.\That's too bad. response:	Doesn't it make you feel happy knowing the room is clean?
context: I see.\That's something to keep in mind.\No way!\But it'd be cute.\You won't wear it?\Nope.\That's too bad.\Doesn't it make you feel happy knowing the room is clean? response:	It does!
context: That's something to keep in mind.\No way!\But it'd be cute.\You won't wear it?\Nope.\That's too bad.\Doesn't it make you feel happy knowing the room is clean?\It does! response:	Maybe this once.
context: No way!\But it'd be cute.\You won't wear it?\Nope.\That's too bad.\Doesn't it make you feel happy knowing the room is clean?\It does!\Maybe this once. response:	I guess I'll help too.
context: But it'd be cute.\You won't wear it?\Nope.\That's too bad.\Doesn't it make you feel happy knowing the room is clean?\It does!\Maybe this once.\I guess I'll help too. response:	Kyousuke and Kurugaya-san too?
context: You won't wear it?\Nope.\That's too bad.\Doesn't it make you feel happy knowing the room is clean?\It does!\Maybe this once.\I guess I'll help too.\Kyousuke and Kurugaya-san too? response:	What are you doing, Masato?
context: Nope.\That's too bad.\Doesn't it make you feel happy knowing the room is clean?\It does!\Maybe this once.\I guess I'll help too.\Kyousuke and Kurugaya-san too?\What are you doing, Masato? response:	I thought up a way to work my dorsals by flopping on the floor.
context: That's too bad.\Doesn't it make you feel happy knowing the room is clean?\It does!\Maybe this once.\I guess I'll help too.\Kyousuke and Kurugaya-san too?\What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor. response:	And I've been cleaning with my hands tied together to make the workout harder.
context: Doesn't it make you feel happy knowing the room is clean?\It does!\Maybe this once.\I guess I'll help too.\Kyousuke and Kurugaya-san too?\What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder. response:	Hey! Hey!
context: It does!\Maybe this once.\I guess I'll help too.\Kyousuke and Kurugaya-san too?\What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey! response:	Hey, what the hell are you doing?!
context: Maybe this once.\I guess I'll help too.\Kyousuke and Kurugaya-san too?\What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey!\Hey, what the hell are you doing?! response:	Haru-chin's turned into a clean freak too!
context: I guess I'll help too.\Kyousuke and Kurugaya-san too?\What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey!\Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too! response:	I can't fight back!
context: Kyousuke and Kurugaya-san too?\What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey!\Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too!\I can't fight back! response:	Wafu!
context: What are you doing, Masato?\I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey!\Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too!\I can't fight back!\Wafu! response:	He's squeaky clean!
context: I thought up a way to work my dorsals by flopping on the floor.\And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey!\Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too!\I can't fight back!\Wafu!\He's squeaky clean! response:	He seems so fresh when he's clean!
context: And I've been cleaning with my hands tied together to make the workout harder.\Hey! Hey!\Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too!\I can't fight back!\Wafu!\He's squeaky clean!\He seems so fresh when he's clean! response:	Strangely enough, I feel the same way.
context: Hey! Hey!\Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too!\I can't fight back!\Wafu!\He's squeaky clean!\He seems so fresh when he's clean!\Strangely enough, I feel the same way. response:	Your muscles are all shiny!
context: Hey, what the hell are you doing?!\Haru-chin's turned into a clean freak too!\I can't fight back!\Wafu!\He's squeaky clean!\He seems so fresh when he's clean!\Strangely enough, I feel the same way.\Your muscles are all shiny! response:	Yeah! My muscles are all shiny!
context: Haru-chin's turned into a clean freak too!\I can't fight back!\Wafu!\He's squeaky clean!\He seems so fresh when he's clean!\Strangely enough, I feel the same way.\Your muscles are all shiny!\Yeah! My muscles are all shiny! response:	Yeah!
context: I can't fight back!\Wafu!\He's squeaky clean!\He seems so fresh when he's clean!\Strangely enough, I feel the same way.\Your muscles are all shiny!\Yeah! My muscles are all shiny!\Yeah! response:	Stay away! That's gross!
context: Wafu!\He's squeaky clean!\He seems so fresh when he's clean!\Strangely enough, I feel the same way.\Your muscles are all shiny!\Yeah! My muscles are all shiny!\Yeah!\Stay away! That's gross! response:	The Little Busters are in perfect condition as usual.
context: He's squeaky clean!\He seems so fresh when he's clean!\Strangely enough, I feel the same way.\Your muscles are all shiny!\Yeah! My muscles are all shiny!\Yeah!\Stay away! That's gross!\The Little Busters are in perfect condition as usual. response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: He seems so fresh when he's clean!\Strangely enough, I feel the same way.\Your muscles are all shiny!\Yeah! My muscles are all shiny!\Yeah!\Stay away! That's gross!\The Little Busters are in perfect condition as usual.\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
context: Strangely enough, I feel the same way.\Your muscles are all shiny!\Yeah! My muscles are all shiny!\Yeah!\Stay away! That's gross!\The Little Busters are in perfect condition as usual.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands response:	hitori ga tsurai kara futatsu no te wo tsunaida
context: Your muscles are all shiny!\Yeah! My muscles are all shiny!\Yeah!\Stay away! That's gross!\The Little Busters are in perfect condition as usual.\hitori ga tsurai kara futatsu no te wo tsunaida\It was too hard for one to do, so two of us held hands\hitori ga tsurai kara futatsu no te wo tsunaida response:	It was too hard for one to do, so two of us held hands
